ParlaMint-FR_2020-10-26-O1040.u1	The next item is the debate on the second part of the finance bill for 2021 (No. 3360, 3399).
ParlaMint-FR_2020-10-26-O1040.u12	The current health crisis illustrates how our ability to respond to tomorrow's crises depends on today's research effort. This is true for this pandemic as well as for the consequences of global warming. Research is essential to anticipate, mitigate and, of course, adapt to them. However, when we analyse both the main budget appropriations for research and those of the more specific areas in which I am concerned, the balance sheet is at least mixed. I would like to share with you some satisfactions, but also, I regret, many reservations. The Committee on Sustainable Development and Regional Planning has taken up programmes 172, 190 and 193 for its opinion. The appropriations for the programme 172 "Multidisciplinary scientific and technological research" are largely upgraded, which deserves to be welcomed. Much of the new resources will be used to boost the National Research Agency, which is good news, even if we need to ensure that funds are shifted towards sustainable development. The increase in appropriations results in an increase in appropriations for research organisations, but this is mainly intended to cover the cost of the wage measures provided for in the future law on the programming of research. It is thus difficult to say that the increase in appropriations for actions 17 "Scientific and technological research in the field of energy" and 18 "Scientific and technological research in the field of the environment" will result in more dynamic scientific research in such important areas. Much more worrying is the planned evolution of the 190 programme "Research in the fields of sustainable energy, development and mobility", the most at the heart of environmental issues. The increase in funding for these issues is unfortunately troubling, since 270 million commitment authorizations for the financing of research in the field of aeronautics are foreseen over two years. Moreover, this appropriation corresponds to appropriations identified as stimulus credits – there would be much to say about the cross-borrowing of appropriations induced by the existence of the "Relaunch Plan" mission, which undoubtedly undermines the readability of this budget. I would like to alert my colleagues to the risk that Program 190 will become a variable for adjusting the increase for other programs in this mission. Would we not need more research in the field of the environment? At a time when we are suffering the consequences of a pandemic, which prompts us to question our impact on the environment, this trajectory seems to me to go backwards in history, the least we can say. Finally, the programme 193 "Space research" saw its appropriations decrease, which is explained, as previous speakers have explained, by the fact that France has paid its financing debt to the European Space Agency. With regard to all these programmes, the situation of research organisations, following the crisis of coronavirus, is worrying; We'll have to take care of them. Institutions with a very large share of own resources are particularly affected by the decline in activity of their partners, as has just been pointed out. As such, the situation of the IFP Energies nouvelles is critical. Without going back to all the topics covered in my opinion, I would like to refer here to research in the prevention of zoonoses. All the stakeholders interviewed stressed that there was a well-known lack of or even a lack of specific monitoring of the resources devoted to research in this area. This lack of monitoring and readability more broadly reflects a lack of a comprehensive strategy in this area. The example of Lyme disease, which is close to my heart, illustrates it perfectly. The disparate and heterogeneous nature of the projects is clear, as is the absence of a guideline and the weakness of funding. Yet, again, the stakes are of importance, and the link with the manifest global warming, with the number of tick bites constantly increasing, as well as the number of patients identified. I therefore advocate an increase in funding for research in this area and a strengthening of the monitoring of its coordination. In this regard, Minister, what about budgetary support for INSERM, which is working on a single agency project on infectious diseases? In conclusion, these appropriations, despite some efforts, do not show sufficient ambition. I therefore expressed an opinion against their adoption.
ParlaMint-FR_2020-10-26-O1040.u13	Mr Philippe Berta, draftsman of the opinion of the Committee on Cultural Affairs and Education, has the floor.
ParlaMint-FR_2020-10-26-O1040.u14	Again this year, higher education appropriations are increasing sharply. Combined, programs 150 "Superior Training and University Research" and 231 "Student Life" increased by 1.9% in commitment authorities and 2.3% in payment appropriations. The upward momentum initiated at the beginning of the quinquennium is not only prolonged, but also amplified, despite the unprecedented health crisis that we are going through. I welcome this commitment, renewed by the Government, to the higher education of our youth, which is a guarantee of innovation, competitiveness and scientific excellence. This year, more than €110 million is allocated for higher education, and the fourth investment programme for the future, or PIA4, which aims to strengthen the transformation dynamics of academic sites and to develop demonstration campuses. Even more than in previous years, this draft budget is ambitious. It makes it possible to draw the consequences of the health crisis on the world of higher education, without compromising the continuation of the reforms undertaken since the beginning of the quinquennium. For example, the increase in funding ensures that reforms launched since 2017 will continue, including the "students" plan, which provides for the creation of additional places in higher education, the reform of health studies, the extension of the scope of the strategic and management dialogue, or the increase in English-language certification for students from the bachelor's level. The financial effort made in this draft budget also makes it possible to implement the numerous measures designed to strengthen the attractiveness of scientific careers, included in the research programming bill for the years 2021 to 2030, adopted at first reading by our assembly. These include the diversification of recruitment channels, the upgrading of doctoral contracts and an increase in the number of doctoral contracts financed, a statute for post-doctoral fellows, and measures to revalue indemnities. In parallel with these reforms, the draft budget for 2021 draws the consequences of the health crisis on the world of higher education and student life. In particular, I would like to commend the strong measures taken in favour of the most fragile students, who are known to have made significant progress during the crisis. First, it foresees an increase of almost €81 million in the resources devoted to social grants, in order to finance the forecast increase in the number of student fellows, as well as the upgrading of the grant rate for the second consecutive year, but also the possibility for students to calculate the opening of their grant rights on the basis of not the income received by their parents in 2018, as is usually the rule, but of those received in 2020. Secondly, it includes the appropriations necessary to set up the university meal at 1 euro for student fellows, the cost of which is estimated at almost 50 million euros by 2021. Third, it will finance the substantial increase in the student loan guarantee fund scheme. This financial effort of almost €20 million is expected to increase the number of student beneficiaries by five as early as 2021. With these measures, the budget for 2021 will extend the effort undertaken during the fiscal year 2020, including the introduction of two emergency aid for students, one in the amount of 200 euros last May and the other in the amount of 150 euros, which will be paid to all students who are fellows or beneficiaries of the LPA – the personalized housing aid – before the end of the year. It also does not neglect the higher education component since it finances the creation of an additional 30,000 places in higher education by the start of the 2021 school year, of which a maximum of 10,000 are from the start of the 2020 school year, in response to the increase in student demography as a result of the increase in the number of bachelor's degrees and the increased difficulties of young graduates to enter the labour market. Finally, the Recovery Plan will fund a number of new measures aimed at preparing the world of higher education for the challenges of tomorrow; €3.7 billion is planned in particular to speed up the thermal renovation of the buildings of higher education institutions and the network of university works. Before the Committee on Cultural Affairs, the Minister said that higher education could benefit from about 40% of the total budget, or about €1.5 billion. In addition, an additional €35 million is allocated for the digital transition, more than ever necessary since distance learning is becoming more widespread as a result of the epidemic. Nearly €20 million is earmarked for cross-cutting innovative projects, selected as part of a call for projects; €6 million will help to promote the development of teaching practices and €10 million will have to be invested in the development of digital tools for students. The fourth investment programme for the future is aimed at prolonging the transformation dynamics of academic sites and developing demonstration campuses. [[Applause on the benches of the Dem and LaREM groups]] In total, it is therefore a very significant effort that is being made in this finance bill in favour of higher education and student life. The Committee on Cultural Affairs and Education has taken note of this progress by issuing, as I had called for, an opinion in favour of the adoption of these appropriations; I invite you to do the same.
ParlaMint-FR_2020-10-26-O1040.u15	We will now hear the spokespersons of the groups. Mrs Josette Manin has the floor.
ParlaMint-FR_2020-10-26-O1040.u16	The "Research and Higher Education" mission is now, with an envelope of €24 billion, the third state budget. For example, priority projects in higher education and the implementation of the research programming bill will benefit from an increase of €600 million by 2021. We have noted the abundance of programmes 150 and 231, amounting to €237 million, intended for the "students" plan and designed to increase the capacity for reception in the voltage fields. In addition to the recovery plan, we should also note the introduction of the "one young person, one solution" scheme, amounting to EUR 60 million. However, in the context of a health crisis, this draft budget remains insufficient to achieve the stated objectives, given that there are more than 16,300 additional students in the higher education cycle and that universities need material, real estate and financial resources to adapt to health regulations and protect all students and staff. Student precariousness has been greatly exacerbated by the crisis: 74% of young people aged 18 to 25 say they have encountered enormous difficulties in recent months, including more than a third who have had to give up being treated with confinement, while others have missed a first job. We also note the over-mobilization of staff and researchers to respond to the health emergency, while, at the same time, their precariousness and the weakening of public research are being developed. However, over the last three years we have consistently called for the strengthening of the resources of higher education. More recently, in the Committee on Finance, we have stressed the need to extend the price of university meals to 1 euro to all students and not to reserve it to fellows, who make up only 40 % of them, but we have been told that the State does not have the means to do so. We have also advocated for the upgrading of direct aids – mobility Coursup, assistance for mobility in master's degree or help for learners of the Grande École du Numérique – as well as for the increase of indirect aid to students and for the construction or development of additional housing of 4 million euros. We stressed the need to finance the operating and intervention costs of associative, cultural, sporting and success-oriented activities other than through student contributions alone. Unfortunately, we must reiterate our complaints about research. This text only slightly increases the means of higher education and, although the main focus is on research, it remains on the verge of dropping out – we refer you to the opinions of the EESC, the Economic, Social and Environmental Council, and the CNESER, the National Council for Higher Education and Research. Despite the ambitions proclaimed by the Government, the resources allocated are still too modest compared to our country's delay in funding research – less than 1 per cent of GDP for the next ten years – and given the constant erosion of staff over the past ten years, the salaries of our researchers being 30 per cent below the OECD average, the Organisation for Economic Co-operation and Development. In addition, the weight of our international scientific publications is declining. We'll alert you again. It would take an additional €1.315 billion each year for seven years to fund research, almost equivalent to the increase in appropriations for the Mission as a whole over the past three years. Here again, we advocate prioritising core funding rather than project funding, given that many research programmes have seen their industrial credits melt down, and we recommend that research units involved in the experimenting with the "all researchers" scheme should be supported to the tune of EUR 1.6 million. Finally, we would like to see the creation of a budget plan of EUR 50 million to compensate for the technological shift in old age, as well as the increase in the appropriations allocated to research operators to put an end to the erosion of their wage bill. [[Applause on the benches of the FI group]] This budget is marked by uncertainty and insecurity, which does not allow us to support it.
ParlaMint-FR_2020-10-26-O1040.u17	Mr Benoit Potterie has the floor.
ParlaMint-FR_2020-10-26-O1040.u18	We are looking at this budget for research, higher education and student life in a very particular context, that of the health crisis but also that of an unprecedented effort to promote research and innovation. This effort is in line with the multi-year research programming bill that we passed last month at first reading. The PBDA will be a real step forward, which will give visibility to our universities and research organizations, and thus help increase our attractiveness. In particular, it provides for a strengthening of research resources, which is reflected in the budget for 2021. In 2021, the budget of the Ministry of Higher Education, Research and Innovation increased by 600 million euros, an amount that has been part of a continuous upward trend since 2017. By 2021, payment appropriations will reach almost €24 billion, an increase of 8% over three years. This is compounded by the means of the recovery plan and the fourth investment programme for the future. The recovery plan devotes an additional €400 million to research, giving the National Research Agency a stronger strike force to finance calls for projects. These new means will consolidate and strengthen a sector that can rely on many assets. The draft budget for 2021 also reflects the much expected increase in the salaries of researchers and higher education staff. In this regard, we welcome the agreement reached on 12 October between the Government and the social partners: €650 million will be made available to increase the salaries of researchers and more broadly the 250,000 technical and documentary staff concerned. This draft budget is also a major effort to promote student life. No less than 100 million euros will be invested in the upgrading of scholarships and in the financing of the university ticket to 1 euro for scholarship students. The Group welcomed the fact that the Government had taken into account the difficulties faced by thousands of students in precarious situations. The precariousness was greatly aggravated by the crisis, since social distancing measures such as administrative closures limited the supply of student jobs. Containment has meant financial hardship for three-quarters of young people. For half of them, having a healthy and balanced diet was not possible between March and June 2020. In this context, the funding of the 1 euro university meal, proposed since the beginning of 2020 to all students on social criteria, is a public health measure that we welcome. Other strong measures in favour of the purchasing power of students are the 1.2 per cent increase in grants at the start of 2020 and the freeze on fees paid by non-students. We must also take into account the students' legitimate concerns about an uncertain future and do everything possible not to leave young people at the edge of the road. The Action Together Group therefore welcomes the implementation of the "one young person, one solution" plan, which will enable young people between the ages of 16 and 25 to be accompanied in the wake of the crisis, thanks in particular to recruitment aid and an ambitious training plan, focusing mainly on the fields and professions in tension. The aim, in the continuity of the law on the guidance and success of students, is to leave no young person without a solution and to enable all to acquire additional training if they encounter difficulties of integration into the labour market. Our responsibility is not limited to this day-to-day support; It is also about preparing for the future. That is why we welcome the resources available to our research and to our students, which are part of an ambitious dynamic for the next decade. These means are indispensable to our future. There is an urgent need to upgrade the research professions to make our young people want to invest in them and to be the players in our industrial and economic future. If we want to innovate and relocate, we need skills. I invite you to vote for the appropriations for the research and higher education mission.
ParlaMint-FR_2020-10-26-O1040.u19	Mrs Beatrice Descamps has the floor.
ParlaMint-FR_2020-10-26-O1040.u20	Following the review of the research programming bill passed by our assembly at first reading, we are here again to discuss its funding for the year 2021 and to see how the first steps of this law will be realized through the examination of this mission, which is particularly important to our students, universities, researchers and all those who put so much hope in research. First of all, I would like to welcome the agreement between the social partners and the Government on the salaries and careers of researchers, which can be described as historical, since more than 80 million euros are foreseen from the budget for 2021. This agreement was necessary, let us recall, to strengthen France's scientific attractiveness. We wonder, however, about the seven-year period that we asked for in the discussions on the PLPPR: how will this period be agreed with the ten-year programming, up to 2030, planned for the bill? As with the research programming bill, there is the question of long-term commitment, particularly that of future governments. Of course, we agree with the increase in the budget of more than EUR 4 million allocated to doctoral students, which offers the prospect of an additional 220 PhD students, which is in line with the commitments made in the PLPPR. While the upgrading of doctoral contracts is also welcome, we regret that the current contracts cannot benefit from it. We also hope for progress in the value and management of additional hours. We must also admit our surprise at the apparent transfer of nearly EUR 600 million from this budget mission to the recovery plan: this leads us to question the EUR 100 million foreseen in the recovery plan and the future of the research and higher education mission. However, we welcome, of course, the increase in RNA appropriations, both in this budgetary mission and through the recovery plan. This academic year is still going to be difficult for students; particular attention will have to be paid to the most fragile of them. I will also defend an amendment aimed at increasing the number of contracts offered to students within their university itself. The images of amphitheatres crowded during the re-entry show more than uncertain respect for health conditions, while everyone's will is to protect students as best they can. We can therefore welcome the commitment of the Ministry, which has earmarked EUR 35 million for educational and digital transformation. However, will the strengthening of digital services to students be sufficient? The question remains for real estate needs, all the more notorious in this period of health crisis. I'm talking about the classrooms that are being run, but I've also asked you in committee, minister, about the housing needs of students. You work there with the local authorities, but you told me that land was a problem. Are there any other avenues for reflection on the subject? The resources devoted to student life are up by 134 million euros. The upgrading of student scholarships and their increase on the basis of social criteria is good news, but we regret that they do not take into account the inequalities in the cost of living between the territories, to the detriment of those in the overseas territories, more specifically the Pacific. We also welcome, of course, the change in the price of university meals to 1 euro for fellows. Before concluding, I would like to share with you my concern about the health of our students, especially psychological ones. The President of the Republic said it was hard to be 20 years old in 2020; For my part, I would say that it is hard to be a student in 2020. Shouldn't additional human resources be unlocked to accompany these young people? Finally, I would like to return to the hope I was talking about in the introduction: the hope of the parents of sick children with cancer, bulbo-spinal amyotrophy or another serious, often incurable disease. I know we all share the hope of these families. You understand that, as you do, we want to support higher education and research. That is why we will defend certain amendments, while welcoming, as a whole, the proposal for appropriations allocated to this mission.
ParlaMint-FR_2020-10-26-O1040.u21	Mrs Geraldine Bannier has the floor.
