ParlaMint-FR_2020-07-30-E1025.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2658, 3181).
ParlaMint-FR_2020-07-30-E1025.u65	I fully understand your intention to fill the gaps in some parts of the territory. The extension of the collection, collection and conservation of gametes to private for-profit institutions with a public service mission would indeed improve things. However, my dear colleague, you understand that the aim is not to organise competition between establishments. I would add that there is no need to provide for new ones where they already exist. Therefore, I propose that you withdraw your amendment in favour of the amendment according to which permission for an establishment to carry out these techniques will be given only in areas where, in the opinion of the directors of ARS, women face real difficulties in accessing this service. If you agree, share the following message: do not exclude private institutions, including for profit, but under the control of the SRAs and ensure that this is the exercise of a public service mission, that is, without exceeding fees.
ParlaMint-FR_2020-07-30-E1025.u66	What is the Government's opinion?
ParlaMint-FR_2020-07-30-E1025.u67	I agree with the rapporteur. While the measure to allow gamete self-conservation was proposed by the Government, there had never been any question of campaigning in that direction. Our country is not faced with a supply deficit and there is therefore no need to increase the number of authorised establishments, especially since this could create inopportune competition. The Government therefore does not wish to generalize the access of private for-profit institutions to this new activity. However, I am well aware, honourable Member, that the absence of a public or private non-profit institution, particularly in certain ultramarine territories, may prevent women from gaining access to self-conservation. There is therefore a real inequality of access between territories, which is not acceptable. This can be settled on the basis of authorisations granted on an exceptional and non-systematic basis for private for-profit institutions – this will include avoiding the potential competition logics denounced by the rapporteur. That is why I propose that you withdraw your amendment in favour of identical amendments No 2171 tabled in your personal capacity by the rapporteur and Mr Raphaël Gérard's 2196, both of which will be the subject of a subamendment by Mrs Vanceunbrock.
ParlaMint-FR_2020-07-30-E1025.u68	Mrs Anne-France Brunet has the floor.
ParlaMint-FR_2020-07-30-E1025.u69	For-profit centres that practice self-conservation under a medical prescription are subject to RSA approval. They are monitored against the risk of drift. The shortage of supply on metropolitan territory forced couples to wait five years before they could practice an LDC. In the absence of a medical prescription, they must travel abroad to obtain the self-conservation of gametes. It is not a question of introducing competition, but of avoiding travel abroad and giving all couples the opportunity to ensure the conservation of gametes. In accordance with the rapporteur's request in committee, the amendment specifies that institutions have a public service mission. I therefore maintain my amendment.
ParlaMint-FR_2020-07-30-E1025.u70	Mr Thibault Bazin has the floor.
ParlaMint-FR_2020-07-30-E1025.u71	This amendment is evidence of profound confusion. Private centres already conserve gametes, in the case of LDCs, within the couple. The case covered by the amendment is different: it is a precautionary self-conservation, without any medical reason. If private centres are allowed to carry out such an operation, the incentive to use it will only be stronger – let us not be fooled. I am not satisfied with the rapporteur's forthcoming amendment, which is identical to that of Mr Gérard. The conservation of gametes, especially in a context of scarcity, cannot be carried out by for-profit centres.
ParlaMint-FR_2020-07-30-E1025.u72	I call Mr Marilossian to support Amendment No. 970.
ParlaMint-FR_2020-07-30-E1025.u73	The amendment, which is intended to delete the words "when authorized" in paragraph 14, is the result of reflection with many doctors in the Hauts-de-Seine. Several of them have indeed alerted me that some of their patients, especially those with serious diseases such as cancer, cannot deposit gametes in a non-profit institution located near their home if they do not receive a special authorisation from the High Health Authority. Such a constraint is heavy for patients who then have to look for another facility with the said authorization that may be at the other end of the department. This represents both an abnormal administrative complication and an additional source of anxiety for patients – I am thinking in particular of those who have to undergo chemotherapy. You have to put yourself in their place, it's very complicated. This difficulty is certainly not specific to the Hauts-de-Seine; It concerns all departments of metropolis and overseas. By this amendment I therefore propose to abolish the authorisation in order to allow gametes to be deposited in all private non-profit institutions.
ParlaMint-FR_2020-07-30-E1025.u74	What is the opinion of the committee?
ParlaMint-FR_2020-07-30-E1025.u75	I understand your concern. Nevertheless, the director of the RSA grants the authorisation on the basis of two criteria: the need for proximity in the territory but also the quality of the establishment – the expertise, the equipment – in order to ensure that the acts will be carried out under optimal conditions. The requirement for authorisation cannot be removed with impunity, if not at risk of degrading quality. Instead, I propose that you adopt the solution provided for in my amendment, namely to allow private for-profit institutions to carry out the acts, which will remain under the control of the ARS and in which the excesses of fees will be prohibited in order to guarantee a service rendered identical. I therefore request the withdrawal of your amendment; Otherwise, my opinion will be unfavorable.
ParlaMint-FR_2020-07-30-E1025.u76	What is the Government's opinion?
ParlaMint-FR_2020-07-30-E1025.u77	I understand the need to ensure a territorial grid allowing couples to access techniques without difficulty. However, as the rapporteur has pointed out, women should be provided with a quality environment, which is possible under the authorisation procedure. I therefore call for the withdrawal in favour of Amendment No 2171; in the absence of an unfavourable opinion.
ParlaMint-FR_2020-07-30-E1025.u78	I have before me three identical amendments, Nos 585, 621 and 1470. Mr Xavier Breton has the floor to support Amendment No. 585.
ParlaMint-FR_2020-07-30-E1025.u79	The amendment tends to require gametes to be kept in an establishment in France. The logic of the text will lead to the creation of a reproductive market, which generates significant financial appetites. It is therefore important to avoid reproductive tourism between countries. That is why the amendment envisages restricting the conservation of gametes to the national territory and thus limiting international movements and the business that accompanies them.
ParlaMint-FR_2020-07-30-E1025.u80	Very good amendment!
ParlaMint-FR_2020-07-30-E1025.u81	I call Mr Patrick Hetzel to support Amendment No. 621.
ParlaMint-FR_2020-07-30-E1025.u82	Defended, we examined it at first reading.
ParlaMint-FR_2020-07-30-E1025.u83	I call Mr Le Fur to support Amendment No. 1470.
ParlaMint-FR_2020-07-30-E1025.u84	Defensive, but this amendment is essential for us!
ParlaMint-FR_2020-07-30-E1025.u85	What is the opinion of the committee?
ParlaMint-FR_2020-07-30-E1025.u86	These amendments are so essential that they are already satisfied. French law already provides that the samples and products kept must remain in French laboratories equipped for this purpose. The samples may not be extracted, at the request of the person, from these laboratories, unless they have an authorisation, which is very rarely granted, and only after ascertaining that the ethical conditions of the operation strictly comply with French legislation. So you can be reassured. I share your recurring concern about the risk of commercial drift or commodification. France is certainly one of the most protected countries in the world against such a drift. Neighboring countries are already facing it, so you are right to be concerned about it, but, I repeat, the law is already responding to it. Previous legislators on bioethics have taken the precaution of prohibiting the transfer of preserved products to countries where ethical rules are less stringent than at home.
ParlaMint-FR_2020-07-30-E1025.u87	What is the Government's opinion?
ParlaMint-FR_2020-07-30-E1025.u88	I fully agree with the rapporteur. In the particular case of moving abroad, the transfer of gametes may be authorized, but it is subject to very strict conditions, as provided for in article L. 2141-11-1 of the Public Health Code. An authorisation issued by the Biomedicine Agency is therefore required. Unfavorable opinion.
ParlaMint-FR_2020-07-30-E1025.u89	Mr Thibault Bazin has the floor.
ParlaMint-FR_2020-07-30-E1025.u90	What text of our legislation imposes conservation in France? While neighbouring countries are experiencing scandalous trade drifts, can you assure us that free movement in the European area does not apply to the products we are talking about?
ParlaMint-FR_2020-07-30-E1025.u91	No, no, no, no, no, no, no,
ParlaMint-FR_2020-07-30-E1025.u92	The rapporteur, Mr Jean-Louis Touraine, has the floor.
ParlaMint-FR_2020-07-30-E1025.u93	Regional health agencies are responsible for enforcing the provisions of the Public Health Code. The rules applicable to gametes and other products of the human body are codified. The transfer of these at the request of the persons is not authorized. It can be done on an exceptional basis, after an analysis...
ParlaMint-FR_2020-07-30-E1025.u94	On the basis of which text?
ParlaMint-FR_2020-07-30-E1025.u95	... to verify that the places where the products will be used comply with the rules applicable in France. This is therefore a guarantee. You'd like belt and straps, I know that, but we already have both.
ParlaMint-FR_2020-07-30-E1025.u96	Mr Xavier Breton has the floor.
ParlaMint-FR_2020-07-30-E1025.u97	According to Article L. 2141-11, "the import and export of gametes or germinal tissues from the human body shall be subject to an authorisation issued by the Biomedicine Agency". The transfer abroad is therefore subject to an authorisation regime, but the principle is therefore to allow such a transfer. On the contrary, we wish to make it impossible, to admit it only in exceptional and entirely justified cases, such as moving. The current regime gives the possibility of making the transfer. However, if the text were unfortunately to be adopted, there would be increasing pressure for the development of the reproductive business.
ParlaMint-FR_2020-07-30-E1025.u98	The rapporteur has the floor.
ParlaMint-FR_2020-07-30-E1025.u99	The Agency for Biomedicine and regional health agencies are subject to French law. They can't give an authorization that would get away with it. He was pleased that authorization could be granted in some cases: it allowed people who had moved to Belgium, Germany, or the United Kingdom to continue their lives. In these cases, it was ensured that the use of the products would comply with the strict conditions of French law and ethics.
ParlaMint-FR_2020-07-30-E1025.u100	I have before me two identical amendments, Nos 2171 and 2196. The rapporteur has the floor to support Amendment No. 2171.
ParlaMint-FR_2020-07-30-E1025.u101	The amendment seeks to solve the problem already mentioned of territorial inequalities, which deprive women, in certain areas of the metropolis and even more so overseas, of easy access to the collection, collection and conservation of gametes. We are all concerned about this problem, and several amendments have already tried to address it. My aim is to extend to private for-profit institutions the possibility of engaging in such an activity when the deficiency has been found by the SRAs. This possibility would only be granted in the absence of a public or private non-profit institution. It concerns circumscribed, less urban areas where deficiencies need to be addressed – the Paris, Lyon and Marseille regions, for example, are not targeted given the presence of public institutions. In the special committee, the amendment had been rejected. I therefore considered a solution that would respond to the argument that had been opposed to me. This solution is to ensure that the practice of private for-profit institutions does not differ from that prevailing in public institutions – in particular, that they do not impose additional costs or exceed fees: ultimately, the private institution would make a public service mission. I therefore invite you to adopt Mrs Vanceunebrock's sub-amendment, which complements this amendment, which received an unfavourable opinion from the Special Committee: this would address all the concerns expressed.
ParlaMint-FR_2020-07-30-E1025.u102	Mrs Laurence Vanceunebrock has the floor to support Amendment No. 2196.
ParlaMint-FR_2020-07-30-E1025.u103	It was written by Raphaël Gérard, for whom I have a very special thought. We are defending it collectively, together with several of my fellow members of the delegation to the overseas countries and territories. The bill provides that only public health institutions and private non-profit institutions or organizations may engage in gamete collection, collection and conservation activities. However, this provision is likely to deprive couples and women living in the overseas countries of access to the LDC. Indeed, there are only CECOS – centres for the study and conservation of eggs and human semen – in Réunion, and the difficulties of the CHU in the West Indies and Guyana make it unlikely that CECOS would open up in these territories in the medium term. The question of equal access to this medical practice for all citizens is therefore of major importance and it is essential to remedy the current shortcomings. In addition, associations report on the difficulties experienced by Afro-descendants in gaining access to the LDC due to practices relating to matching physical characteristics, with the number of Afro-descendant donors currently very low. The amendment is therefore intended to allow, in departments where the clinical and biological activities of MPA related to gametes for donation are not already provided by a public or private not-for-profit health institution, for-profit health institutions to engage in such activities. This opening would remain highly framed, as the authorization would be controlled by the Director General of the SRA and would be granted as required at the local level.
ParlaMint-FR_2020-07-30-E1025.u104	You have tabled, dear colleague, a sub-amendment to the identical amendments previously defended. To the extent that a Member cannot under-amend his own amendment, I suggest that if you wish to defend the sub-amendment, you withdraw your amendment.
ParlaMint-FR_2020-07-30-E1025.u105	You have the floor again, Mrs Vanceunebrock, to support sub-amendment No 2289.
ParlaMint-FR_2020-07-30-E1025.u106	The opening up of the self-conservation gamete collection activity to the for-profit private sector occurs in the event of a lack of public service provision, but it must not lead to unequal access for self-conservation applicants. It is therefore necessary to provide that the establishments so authorised and the doctors who carry out them apply the rates applicable to the benefits covered by the health insurance, in particular with regard to the acts of levy.
ParlaMint-FR_2020-07-30-E1025.u107	What is the opinion of the committee on the amendment still under discussion and on the sub-amendment?
ParlaMint-FR_2020-07-30-E1025.u108	The sub-amendment has not been discussed by the Special Committee, although I am very much in favour of it in my personal capacity. With regard to the amendment itself, the committee had delivered an unfavourable opinion, but it has since been amended. On the other hand, the Secretary of State will be able to take a decision on the amendment.
ParlaMint-FR_2020-07-30-E1025.u109	What is the Government's opinion?
ParlaMint-FR_2020-07-30-E1025.u110	First, I would like to reiterate that the Government is opposed to the widespread opening of gamete collection activities to private for-profit institutions, for the reasons I have outlined above, particularly where a public offer exists. However, as has been mentioned at the moment, certain territories, particularly overseas territories, are characterized by a lack of supply which makes it difficult, if not impossible, to access the self-conservation of gametes for certain women and for certain couples of women. In the face of this territorial inequality suffered by some of our fellow citizens overseas, the rapporteur's amendment makes it possible to offer this possibility, in a targeted way, to the women concerned, with a framework to avoid overruns of fees, as Mrs Vanceunebrock proposes through her sub-amendment. Under these conditions – authorizations reserved for departments where a supply deficit is found, in compliance with strict rules and with a framework of fees overruns – the Government gives a favourable opinion.
ParlaMint-FR_2020-07-30-E1025.u111	Mrs Monique Limon has the floor.
ParlaMint-FR_2020-07-30-E1025.u112	As the amendment was under-amended, the Special Committee could not decide on its new wording. His position was to reserve this activity to the public sector. I cannot speak on behalf of the committee but, in my personal capacity and in the light of the explanations given by the Secretary of State, I believe that it may be considered that, in the territories where this service is not rendered to the population, the opening of this activity to the private sector can be envisaged. However, I would like to stress that the fear of a drift towards commodification is real and that we must guard against it.
ParlaMint-FR_2020-07-30-E1025.u113	That's what we denounced!
ParlaMint-FR_2020-07-30-E1025.u114	Yes! We said it!
ParlaMint-FR_2020-07-30-E1025.u115	So it really needs to be extremely well framed so that we do not fall into this drift.
ParlaMint-FR_2020-07-30-E1025.u116	Mrs Elsa Faucillon has the floor.
ParlaMint-FR_2020-07-30-E1025.u117	This issue was discussed in a special committee, the majority of which expressed strong opposition to the private for-profit sector taking on this type of act.
ParlaMint-FR_2020-07-30-E1025.u118	That's right!
ParlaMint-FR_2020-07-30-E1025.u119	I am not the chairman or vice-chairman of the special committee, but, to be a member of it for a year, I can say that, in our various debates, this position has always emerged. I am surprised, moreover, that the Government, which, since the beginning of the examination of the text at second reading, is firmly committed to keeping the first version of it, today explains that it would be necessary, by pragmatism – since it is a term that the majority loves – to accept such an amendment. For my part, I see this pragmatism as a renunciation of territorial inequalities, which, unfortunately, are very prevalent in the health sector. I mean, because the collection and collection of gametes by public institutions would be impossible in some territories, we should allow the for-profit private sector to operate in this area. Of course, you are planning frames – still happy! – but it seems absolutely unacceptable to me that, in the face of these inequalities, we, as a public authority, renounce to assert with force the republican will to equal access to the care provided by the public service. That is the message we should hear from the representatives of the people and the Government! I cannot resolve that, under the guise of pragmatism, we accept this renunciation. If there are, of course, departments in which there is no public service offer – the amendment refers to cases in which "no public or private not-for-profit health organization or institution carries out this activity" – there are others where this offer exists, but it is difficult to meet an extremely high demand. You come like me from the Hauts-de-Seine, Secretary of State: you know that the queues to be taken care of by the public sector are extremely long. We did not sufficiently seize the opportunity, during the review of the bill, to report on the reality of the public sector in terms of reproduction and treatment of infertility. Access to such care requires months and months of waiting, which for a 41-year-old woman, who cannot wait another one or two years, is a real problem. We are about to open the LDC to all women, but we will also need to ensure the effectiveness of this measure. How will we do it? By ensuring a strong public service, which will ensure its implementation. [[Applause on the benches of the GDR and SOC groups as well as on several benches of the LaREM group]] I see the proposed amendment as a renunciation, which I cannot resolve.
ParlaMint-FR_2020-07-30-E1025.u120	Mr Marc Delatte has the floor.
ParlaMint-FR_2020-07-30-E1025.u121	The greatness of France lies in that of its public service. For the past three years, it has appeared that the French care system, though very good, needs to be rethought. We defend the "my health 2022" strategy through the law of 24 July 2019 on the organization and transformation of the health system, which we have completed with the Ségur de la santé. It is our responsibility to ensure access to care for the French, whether they live in hexagon or overseas. In my view, pretending to frame the gift of gametes while at the same time endorsing the term "profit" is not acceptable. If I come from the liberal world, I have always worked with the public sector – I grew up through it and I know what I owe it. I'm from the secular and republican school. Our sincere will, as legislators, is to develop the activity of reception centres for people wishing to keep their gametes, but they must remain public and not for profit. That is the spirit of the law: abandoning it would be an ethical shift. The purpose of the amendment is to propose a medical solution in the absence of an alternative. But this lack of public offer, it is up to us to solve it! We are the legislator, we represent France and the nation.
ParlaMint-FR_2020-07-30-E1025.u122	We represent the people!
ParlaMint-FR_2020-07-30-E1025.u123	[[Applause on several benches of the LaREM group. – Mrs Elsa Faucillon also applauds]] Let us not accept this shift in favour of for-profit institutions, even if I recognize the quality of private service. I appeal to your consciences: the terms "profit" and "gift" are contradictory.
ParlaMint-FR_2020-07-30-E1025.u124	Mrs Anne-France Brunet has the floor.
ParlaMint-FR_2020-07-30-E1025.u125	I hear in what has just been said a very strong fear of the private sector. Let us remember, however, that he was asked a few months ago to open beds during the epidemic.
ParlaMint-FR_2020-07-30-E1025.u126	That's not the point, dear colleague!
ParlaMint-FR_2020-07-30-E1025.u127	Let us not oppose public and private institutions: they are complementary and we must also be able to count on the private sector. It is explained that there would be no shortage of public supply in metropolitan France. But are delays of two or even five years of waiting, which require French people to go abroad to access the self-conservation of their gametes? Should we not retain these skills on French territory and take care of these people, opening up this activity to new centres so that our society better accepts this approach? You mention fears about private institutions. It must be borne in mind, however, that they already practice acts relating to the donation of gametes, on the basis of medical prescription. In order to do so, they must obtain approval from the SRA, which can be withdrawn from them in any doubt. I am therefore surprised at the fear expressed and at your refusal to allow the private sector to participate in absorbing demand, because the public sector alone cannot do everything. The heads of public institutions also call for the private sector to be involved in their work.
ParlaMint-FR_2020-07-30-E1025.u128	Mr Thibault Bazin has the floor.
ParlaMint-FR_2020-07-30-E1025.u129	Our bioethics laws provide that not-for-profit organizations have a monopoly on the collection, preservation and allocation of human body elements – otherwise we would pave the way in the future for requests for other types of tissues or elements of the human body, with the incentives that everyone knows. By adopting this amendment, you would again cross a red line towards the commodification of the human body. However, as we have seen in the area of bioethics, derogations are open doors to generalisation.
ParlaMint-FR_2020-07-30-E1025.u130	That's right!
ParlaMint-FR_2020-07-30-E1025.u131	Mrs Buzyn had opposed it, even referring to the need to introduce safeguards. Again, you are taking the risk of making the project worse.
ParlaMint-FR_2020-07-30-E1025.u132	Excellent!
ParlaMint-FR_2020-07-30-E1025.u133	Mrs Marie Tamarelle-Verhaeghe has the floor.
ParlaMint-FR_2020-07-30-E1025.u134	The subject we are talking about is very serious. We can hear the desires and needs of each other. However, we also had discussions with CECOS. However, on such issues, it seems to me very important to be able to take into account the words of professionals who already work in this field and have expertise. Currently, gamete conservation needs are being met and can be further addressed through collaborations. Opening up this activity to the private sector is a major risk because at some point it will lead to an economic struggle. What's the deadline? I can't tell you. But this will inevitably happen because the financial stakes are very important for the LDC.
ParlaMint-FR_2020-07-30-E1025.u135	Of course!
ParlaMint-FR_2020-07-30-E1025.u136	On the other hand, with this bill, we are opening up the possibility for many couples to apply to the LDC. In view of the resulting increase in demand, the supply must be guaranteed by the public service. We are all defending here the idea that it is his responsibility. The role of the private sector is not to remedy the shortcomings of the public sector.
ParlaMint-FR_2020-07-30-E1025.u137	It's merchandising!
ParlaMint-FR_2020-07-30-E1025.u138	I really ask you to be more than vigilant about the risk that we would take by opening up this activity to the private sector, thus promoting commercialization. This is not benign, even though we rely on institutions such as RSAs. It is certain that, in the medium or long term, we will be confronted with the problems that already exist in other countries.
ParlaMint-FR_2020-07-30-E1025.u139	Mrs Laurence Vanceunebrock has the floor.
ParlaMint-FR_2020-07-30-E1025.u140	I fully understand the comments made by Ms. Faucillon and Mr. Delatte on the role of the Republic, and in particular on the public service to be rendered to all women who will soon have access to the LDC. However, while we have already fallen behind in this bill, do the French overseas have to wait for years to be able to benefit from an LDC because of the red tape and administrative delays? I wonder. I fully agree – as everyone here, I think – with Mrs Faucillon and Mr Delatte that it is up to the public service to propose this activity. The problem is that in some territories, especially overseas, no public service is able to meet the demand of women. So, what do we do?
ParlaMint-FR_2020-07-30-E1025.u141	Mrs Annie Genevard has the floor.
ParlaMint-FR_2020-07-30-E1025.u142	The AMP market represents billions of euros in the world: this is what Olivia Sarton denounces in a small book that I recommend you to read. Mr rapporteur, you tell us that in France this problem does not exist because our ethical system protects us from the emergence of such a market. But do you know, ladies and gentlemen, that on September 5 and 6, in the Champerret area, in France, we are holding a national event on infertility entitled "Child's desire"? The website that promotes it announces a conference proposed by a gamete bank, another by the World Center of Baby, the World Baby Centre, which is none other than a Ukrainian factory of surrogate mothers.
ParlaMint-FR_2020-07-30-E1025.u143	What are you doing to prevent that?
ParlaMint-FR_2020-07-30-E1025.u144	I had tabled an amendment to Article 1 to prevent these serious breaches of our ethical model and to recall our essential principles: the MPA cannot be organised as a trade; the donation and use of the body and its products cannot give rise to remuneration; the sale of embryos, even on catalogue and in a future state of completion, is prohibited and criminally sanctioned. You have rebutted my amendment, declaring it inadmissible, which is incomprehensible.
ParlaMint-FR_2020-07-30-E1025.u145	That's right!
ParlaMint-FR_2020-07-30-E1025.u146	I wrote to the keeper of the seals about this demonstration and I received no reply! However, this concerns GPA, which is prohibited in France!
ParlaMint-FR_2020-07-30-E1025.u147	You're complicit!
