ParlaMint-FR_2020-07-27-E1020.u1	The meeting was suspended.
ParlaMint-FR_2020-07-27-E1020.u41	... to open up the LDC, medically assisted reproduction, to all heterosexual couples, women's couples and unmarried women. The refusal to introduce a filtering mechanism that would restrict access to it is, in our view, the condition of equality before the law that we would like to see included in this text. From this point of view, the examination of the latter in committee allowed it to be placed in the line adopted by the Assembly at first reading. It was also our responsibility to restore full health insurance coverage for the constituent acts of the AGP – reproductive medical assistance – which was removed by the Senate. Similarly, we wanted to eliminate the psychological and social dimension of the pre-AGP assessment, as it would have been a stigma that was not appropriate. With respect to section 2, which provides for the relaxation of gamete donation and self-conservation, we believe that the version that the commission has achieved is balanced and that it has allowed us to take into account the debates that have taken place in our assembly and in the Senate on private health facilities of collective interest and on the collection of consent for the authorization to collect gametes. Our Assembly had also voted, at first reading, on provisions to combat the causes of infertility. These provisions have been removed by the Senate and we are pleased to see that their reintroduction into the bill has been the subject of a broad vote in this chamber. Our discussions at first reading had shown the importance of this issue and the inadequacy of the measures taken to this end in our country. In our mind, this plan would include both research effort and specific training of health professionals and information and communication to the general public, especially young people. Access to origins, a complex issue, has also occupied a large part of our discussions. In this area, we can welcome the significant development of the text since the beginning of its consideration; its current version gives important guarantees to persons born of an MPA by allowing them access to certain non-identifiable data as well as to the identity of the donor. We measure what this possibility implies on the part of the donor; This is why a wide-ranging awareness-raising campaign will have to be conducted to avoid a temporary collapse of donations. Many amendments have also clarified and regulated this practice; These include consent at the time of donation and the involvement of the CECOS physician, the centre for the study and conservation of eggs and semen. The establishment of the filiation of children born from the use of an MPA with third-party donors within a couple of women has again been the subject of lengthy discussions; Everyone remembers the many developments in the text before the last proposal made by the rapporteur Coralie Dubost in a special committee. In this regard, we thank the Ministry, which, thanks to the listening qualities of the former seal guard, Nicole Belloubet, has been able, in close connection with the rapporteur and all parliamentarians, to find an editorial that guarantees the principles of our Republic while providing maximum security to the unborn children. Let us recall some of the developments obtained in this field: the establishment of filiation towards the woman who gave birth, and by joint recognition for the woman who did not give birth; revocation before a notary of consent to the AGP; consideration of the case of women's couples who used an MPA abroad before the law came into force. We also note with satisfaction that, with regard to pregnancy for others – GPA – the solution found, based on adoption, is based on the jurisprudence of the Court of Cassation validated by the European Court of Human Rights. This decision is unambiguous as to the recognition of the GPA, to which my group is firmly opposed. [[Mr Maxime Minot applauds]] As far as the title first is concerned, two subjects still seem to have to be deepened and debated: the directed donation of gametes and matching. The possibilities brought about by the votes in the special committee on these issues seem to deviate from a consensus which we wish to see as broad as possible. [[Applause on several benches of the LaREM group. – Mr Maxime Minot also applauds, as does Mrs Aina Kuric]] The text contains important societal advances that correspond to commitments made by our majority before the French in 2017. They are expected and hoped for by many of our fellow citizens; It is our duty to make them possible from now on. The Group of the Democratic and Related Movement is committed to doing so with conviction.
ParlaMint-FR_2020-07-27-E1020.u42	Mr Pascal Brindeau has the floor for a point of order – still on the same subject, Mr Brindeau?
ParlaMint-FR_2020-07-27-E1020.u43	Yes, since the deputies of the majority are still not there! Did you text them, ladies and gentlemen?
ParlaMint-FR_2020-07-27-E1020.u44	[[Approval on the benches of the LR group]] [[Applause on the benches of the LR group. – Mrs Agnes Thill also applauds]] I ask for a suspension of the sitting on the basis of Rule 58 of our Rules of Procedure, so that the majority can return to the Chamber. The fact that only two or three deputies of the majority were present at the general debate was disrespectful to Parliament as to the Secretary of State who sat on the bench of the Government.
ParlaMint-FR_2020-07-27-E1020.u45	The suspension is on its own right. For how long, Mr. Brindeau? It's up to you to say, since you're asking for it.
ParlaMint-FR_2020-07-27-E1020.u46	Fifteen minutes.
ParlaMint-FR_2020-07-27-E1020.u47	I would remind you that the duration of the suspension is deducted from the speaking time of your group, since the examination of the text is subject to the scheduled legislative time.
ParlaMint-FR_2020-07-27-E1020.u48	I know.
ParlaMint-FR_2020-07-27-E1020.u49	So you want to take 15 minutes of your speaking time for a suspension?
ParlaMint-FR_2020-07-27-E1020.u50	[[Applause on the benches of the LR group]] Let's say ten minutes.
ParlaMint-FR_2020-07-27-E1020.u51	The meeting was suspended.
ParlaMint-FR_2020-07-27-E1020.u52	The meeting was resumed.
ParlaMint-FR_2020-07-27-E1020.u53	Once again having received a request for a point of order, I would remind you of the rule on the matter: if the point of order lasts more than two minutes, its duration is deducted from the speaking time of the group concerned – I would like to point out this, because it seemed to me that there was a vagueness about the implementation of the scheduled legislative time; and if the points of order are repetitive, I will inform you, as this also leads to the attribution of their duration to the speaking time of the group. For these reasons, I ask you not to abuse the point of order. I accept one more; If there is another one on the same subject, I will be forced to charge the duration of it to the time of the group. Mr Xavier Breton has the floor.
ParlaMint-FR_2020-07-27-E1020.u54	[[Applause on the benches of the LR group]] I will be very brief because, in this case, it would be rather the absence of our colleagues that would be repetitive. Some spoke of this text, earlier, as a law of progress, or even a law of love. However, if we were to take such an important step, the ranks of the majority should be crowded. However, the re-slaughter of the troops seems to be laborious, which marks your contempt for our colleagues who will speak to express their opinion.
ParlaMint-FR_2020-07-27-E1020.u55	Yes!
ParlaMint-FR_2020-07-27-E1020.u56	Divorce already!
ParlaMint-FR_2020-07-27-E1020.u57	[[Applause on the benches of the LR group]] Mr President, make sure that the debates are held in the best possible conditions. That is not the case at the moment.
ParlaMint-FR_2020-07-27-E1020.u58	Excellent!
ParlaMint-FR_2020-07-27-E1020.u59	Mrs Cécile Untermaier has the floor.
ParlaMint-FR_2020-07-27-E1020.u60	The opposition listens to you!
ParlaMint-FR_2020-07-27-E1020.u61	At least we're here to listen to you!
ParlaMint-FR_2020-07-27-E1020.u62	[[Smile]] However, it is not said that you are being applauded.
ParlaMint-FR_2020-07-27-E1020.u63	[[Applause on the SOC, LR, FI and GDR benches]] [[Exclaims on several banks in the LR group at the entry of Gilles Le Gendre into the Chamber]] Ladies and gentlemen, especially from the opposition, since those of the majority are rare, not being a member of the special commission to examine the bioethics bill, but appointed ex officio, it is only as a spokesperson for the Socialist and related group that I speak before you.
ParlaMint-FR_2020-07-27-E1020.u64	Ladies and gentlemen, out of respect for the speaker, please listen to Mrs Untermaier!
ParlaMint-FR_2020-07-27-E1020.u65	The honourable senators, having changed to the spirit of the text – I am thinking in particular of the amendments to Title 1, which marked a sharp reduction in rights – have, at the same time, enriched the other titles of the text, which we are delighted to hear. The text, submitted long months ago to the national representation, is intended to be a text of authorizations, which are all new rights for many of our citizens and their children. They are waiting for them and certain situations, apparently inextricable until then, are in the process of being resolved. This is the case with the extension of the LDC's openness to women's couples and unmarried women, which meets a societal aspiration. The keeper of the seals reminded him today: the law comes to say in law an imperfect social reality. In doing so, it protects and guarantees the interests of the child. Similarly, the committee has adopted certain amendments to the initiative of the Socialist and Related Group, in particular the one aimed at putting an end to discrimination on the basis of sexual orientation when giving blood. This transpassionate amendment, carried by the rapporteur Hervé Saulignac – present tonight – was supported by more than one hundred Members. This measure was also supported by the Minister of Solidarity and Health, who wrote in July 2013 in his report on the blood industry in France that "the mistake is to limit oneself to sexuality, even though sexual behaviour may be at risk, regardless of sexual orientation elsewhere. » We also obtained guidance, in accordance with the recommendations of the National Advisory Commission on Human Rights, on the search for a donor whose characteristics are closest to the recipient couple – blood type, skin colour, hair or eyes. This practice penalizes couples receiving ethnic origin for whom donors are lacking. These advances, which the Special Commission has made with a large majority, should be included in the marble of the law at the end of the debate. [[Applause on the benches of the LR group]] However, this text does not provide an answer in certain areas and the debate, which honours this House when Members are present, must take place. We will have to ask ourselves the question of the opening of the post-mortem LDC and the self-conservation of oocytes, which the Government wishes to authorize for medical reasons. In this case, why would only women over the age of 32 be affected? Many suffer from pathologies such as endometriosis, which manifests itself from puberty, or premature ovarian insufficiency. Here again, the Socialist Group will be able to propose to remove the last barriers that create injustice. Moreover, the Socialist and related group defends a filiation that would be the same for women's couples as for heterosexual couples. Finally, with regard to intersex, it should be borne in mind that in all cases the concept of vital urgency is satisfied by the Code of Public Health. The doctor shall provide the necessary care without the obligation to obtain the consent of the minor or the parents. The subject is therefore not so much medical necessity as the collection of consent when sexual conformation operations are envisaged. Again, my group will be able to make a proposal and lead the debate. Our debates must, to the very end, live up to the ambition of this law. We must address the most sensitive issues and respond by building on the potential of medical, scientific and technological progress, while respecting the ethical principles that drive our society and affect everyone's consciences. [[Applause on the SOC benches. – Mrs Caroline Fiat also applauds]] As a more personal matter, I consider that having rights does not reduce existing rights. The opening of the LDC to single women or couples does not reduce the rights of men, as I heard earlier. On the contrary, it allows to accommodate the difference and to protect the child. Let's not worry about opening up rights. On the other hand, we must fear the opposite reasoning. To fear opening up rights is to corset society. However, I do not see in this Chamber any will to destroy our fundamentals but, on the contrary, a determination to strengthen them.
ParlaMint-FR_2020-07-27-E1020.u66	Mr Pascal Brindeau has the floor.
ParlaMint-FR_2020-07-27-E1020.u67	[[Applause on the benches of the IDU-I and LR groups. – Mr. Charles de Courson also applauds]] I had not planned to begin my speech this way: while several members of the Government and the majority have recalled the respect that must govern our debates on a subject as sensitive as bioethics, it took almost forty minutes for the majority to be represented by just over two deputies and for the normal functioning of the parliamentary institution to resume. [[Same movements]] [[Same movements]] What image do we give to the citizens who look at us and misunderstand that only a few dozen Members are sitting at night to participate in the debates? We already had every difficulty in explaining the reasons for this in our constituencies: how will we do if the majority group does not respect the parliamentary institution and its work?
ParlaMint-FR_2020-07-27-E1020.u68	Excellent!
ParlaMint-FR_2020-07-27-E1020.u69	This is a scandal, indeed!
ParlaMint-FR_2020-07-27-E1020.u70	Mr Secretary of State, by forcing the National Assembly to consider the bioethics bill at second reading on 27 July and in the following days, the Government bears a heavy responsibility and commits several mistakes.
ParlaMint-FR_2020-07-27-E1020.u71	Bravo!
ParlaMint-FR_2020-07-27-E1020.u72	The first is political. Today, our fellow citizens fear for their future, ignoring the evolution of the covid-19 epidemic in the coming weeks or months. This concern is shared by the public authorities, which multiply the reminders of prudence, respect for the actions of barriers and the rules of physical distancing. This issue is in all minds, not to mention the economic crisis and the social crisis that will hit our fellow citizens very hard, if not already.
ParlaMint-FR_2020-07-27-E1020.u73	That's right.
ParlaMint-FR_2020-07-27-E1020.u74	She's the top priority.
ParlaMint-FR_2020-07-27-E1020.u75	Except for the majority.
ParlaMint-FR_2020-07-27-E1020.u76	In this context, the Government's priority should not have been to include in the agenda the second reading of the bioethics bill, especially since the Minister of Solidarity and Health, Olivier Véran, himself, had made it clear that the accelerated procedure had not been chosen and that the text could be fully debated in both chambers of Parliament. And yet, the second reading is held at the National Assembly in the heart of the summer. Forgive me for repeating it, at the risk of displeasing some, but you are trying to put this text into catini. You will certainly recite yourself, and that is how our fellow citizens feel about it.
ParlaMint-FR_2020-07-27-E1020.u77	[[Applause on the benches of the IDU-I and LR groups]] He's right.
ParlaMint-FR_2020-07-27-E1020.u78	[[Exclaims on the benches of the LR group]] What were the reasons for placing this text on the agenda of our assembly the week of July 27th? It was that you had to give the left wing of your majority, unsolved after the debacle of the municipal elections.
ParlaMint-FR_2020-07-27-E1020.u79	We'd love to!
ParlaMint-FR_2020-07-27-E1020.u80	Then you make a democratic mistake by not allowing the debate to be as thorough as possible. This text touches on the intimate, the conception that each of us has of life, of the family, of the child, of research, of the relationship between science, technology and law. That is why the freedom to vote within all groups must be total. In this case, if I speak on behalf of my group, I am also speaking in a personal capacity. [[Applause on the benches of the LR group]] In this regard, it is a pity that the Prime Minister, who was questioned during questions to the Government, does not simply give us his point of view when he arrives at the head of the Government...
ParlaMint-FR_2020-07-27-E1020.u81	He's right!
ParlaMint-FR_2020-07-27-E1020.u82	... and where the balance of the text was changed at first reading and after its passage to the Senate, but also following its consideration by the special commission which, three weeks ago, swept away almost all of the Senate's proposals, going so far as to adopt new measures which had not been approved by the Government at first reading. These questions cannot be summarized in a parliamentary debate held at the heart of the summer, without the Government as a whole being able or unwilling to express itself, thus preventing our citizens from being informed, in full transparency, of their intentions.
ParlaMint-FR_2020-07-27-E1020.u83	The Government was not at the hearings. They're all absent, we only have a second-class minister tonight!
ParlaMint-FR_2020-07-27-E1020.u84	Where's the Minister of Health?
ParlaMint-FR_2020-07-27-E1020.u85	Because I don't want to prolong...
ParlaMint-FR_2020-07-27-E1020.u86	The torture.
ParlaMint-FR_2020-07-27-E1020.u87	[["At last! » on the benches of the LaREM group]] ...my point, I come to the bottom.
ParlaMint-FR_2020-07-27-E1020.u88	It's important, shape!
ParlaMint-FR_2020-07-27-E1020.u89	The Gendre, on the microphone!
ParlaMint-FR_2020-07-27-E1020.u90	[[Exclaims on the banks of the LaREM Group]] You know that the shape is nothing but the bottom that goes up to the surface. In such a debate, form is as important as substance. I would just like to express my concern about the consequences of what some have called the opening of new rights. It is true that children are born, growing up and growing up in single-parent, homoparental or simply heterosexual families. This is not the point, since, regardless of the family type, you will find happy and unhappy children, with life making that sometimes adults do not respect the rights of the child and compromise his or her future. On the other hand, by opening up new rights, you are obliged to adapt and transform the law of filiation. You will tell us that the bioethics bill is not about transforming the law of filiation, but it will affect it very strongly. The complaint I make to you is that, wanting to place both mothers on an equal footing as part of a couple of women who use the AMP, you are competing with both origins of filiation. Natural or maternal filiation is based on the fact that a woman is a mother because she gave birth. The special commission, after having worked, has certainly established a form of balance since the text makes a new reference to Article 311-25 of the Civil Code. But you establish in the same paragraph of Article 4 an obligation of joint recognition,...
ParlaMint-FR_2020-07-27-E1020.u91	Yes!
ParlaMint-FR_2020-07-27-E1020.u92	... which guarantees your understanding of the equality of the two mothers while making the notions of biological mother and mother of intention clash, the first having signed the same joint recognition document as the second.
ParlaMint-FR_2020-07-27-E1020.u93	That's right!
ParlaMint-FR_2020-07-27-E1020.u94	There is a fragility here,...
ParlaMint-FR_2020-07-27-E1020.u95	That's right!
ParlaMint-FR_2020-07-27-E1020.u96	...on which I would have liked to hear the guard of the seals – it will be there when we examine Article 4. The fundamental problem is that you go so far as to challenge the biological reality that makes a child, whether you like it or not, by medical intervention or not, come from a man and a woman. The exclusion of a man from his fatherhood by law is a fact that you record in the law,...
ParlaMint-FR_2020-07-27-E1020.u97	That's not true. No one's excluded.
ParlaMint-FR_2020-07-27-E1020.u98	... in order to promote all forms of parenting: you give priority to parentality of will, to desire more than to power, which, in my view, already carries the seeds of another type of parenting which can, tomorrow, be claimed by one or more persons. You will not cut off the debate on pregnancy for others.
ParlaMint-FR_2020-07-27-E1020.u99	It's important!
ParlaMint-FR_2020-07-27-E1020.u100	[[Applause on the benches of the IDU-I and LR groups. – Mr. Charles de Courson also applauds]] It is necessarily the "after fight": we will find the notion of meaning of history, often developed here or there, as an argument to justify what you consider today to be unjustifiable. We will be ready to debate over the course of these five days.
ParlaMint-FR_2020-07-27-E1020.u101	Mrs Sylvia Pinel has the floor.
