ParlaMint-FR_2020-07-30-E1026.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2658, 3181).
ParlaMint-FR_2020-07-30-E1026.u34	You pretend you don't want a chatty law, but I feel like we're in the middle of it! You have just referred, Madam rapporteur, to the complexity and length of the questionnaire which the donor must already provide. Paragraph 19 of this article also tends to oblige him to justify his donation. I think the donor is aware of what he is doing and that there is no need to ask him for the written expression of his consent. I think I already know what your position is, Madam rapporteur, in the light of one of your amendments which we will have to consider later, but I believe that the motivation for their donation is their private life and that this paragraph does not comply with Article 8 of the ECHR. In addition, I believe that this obligation to motivate your donation is likely to result in a reduction in the number of donations. In fact, besides adding complexity, it can scare potential donors, who will inevitably question their raison d'être. I know that many of us are concerned about the shortage of donations, particularly among my colleagues in the LR Group, who, I am sure, will support this amendment for once.
ParlaMint-FR_2020-07-30-E1026.u35	It's about time!
ParlaMint-FR_2020-07-30-E1026.u36	What is the opinion of the committee?
ParlaMint-FR_2020-07-30-E1026.u37	It seems to me, Mr.Minot, that at the first reading in committee we had talked at length about the need for genetic and identity accounts that shed light on the path that led to the gift. The motivation for a donation is very broad, and Article 8 of the ECHR is fully respected: there is no constraint on the donor, who is free to indicate the motivation he wishes. This may be the difficulties of procreation encountered by a sister who would have made her realize that her gametes could be useful to others but this can be many other motivations.
ParlaMint-FR_2020-07-30-E1026.u38	I'm talking about the obligation!
ParlaMint-FR_2020-07-30-E1026.u39	He may even simply indicate that he does not know why he does it, but this element could be passed on to the person from his gift.
ParlaMint-FR_2020-07-30-E1026.u40	Obligation, no motivation! It's a dialogue of the deaf!
ParlaMint-FR_2020-07-30-E1026.u41	Will there be an obligation to state reasons?
ParlaMint-FR_2020-07-30-E1026.u42	It is requested that the donor indicate the reasons for his donation. Furthermore, if article 3 indicates the general characteristics of non-identifiable data, they will be specified by decree in the Council of State. It's the right joint: We set out the outline and framework and then, over the years, when the department will have enough time to know how to manage the situation, it will be able to specify how these motivations are expressed and how comprehensive they are.
ParlaMint-FR_2020-07-30-E1026.u43	What is the Government's opinion?
ParlaMint-FR_2020-07-30-E1026.u44	Same opinion for the same reasons.
ParlaMint-FR_2020-07-30-E1026.u45	Your amendment No 2263 seeks to correct a material error, Madam rapporteur?
ParlaMint-FR_2020-07-30-E1026.u46	That's right!
ParlaMint-FR_2020-07-30-E1026.u47	I have before me two identical amendments, Nos 500 and 1424, which are the subject of sub-amendment No 2288. Mrs Marie-Noëlle Battistel has the floor to support Amendment No. 500.
ParlaMint-FR_2020-07-30-E1026.u48	The amendment is not intended to limit the non-identifiable data that third-party donors leave when they consent to the donation. Thus, in addition to the six elements of the list provided for in Article 3, donors wishing to do so could leave all the non-identifiable elements or information that they consider useful. There is no reason to lock the list of data collected, since the Commission will be able, no matter what, to rule on the non-identifying nature of certain data.
ParlaMint-FR_2020-07-30-E1026.u49	Mrs Elsa Faucillon has the floor to support Amendment No. 1424.
ParlaMint-FR_2020-07-30-E1026.u50	The amendment allows donors to leave information or non-identifiable elements, not to respond to the search for origins but to clarify the meaning of the gift, in accordance with the philosophy that Pierre Dharréville and I share about the anonymous and free character of the gift. The donor who wishes to do so must have the opportunity to explain the meaning of his or her gift, which can, in part, help in the search for origins.
ParlaMint-FR_2020-07-30-E1026.u51	I call Mr Dharréville to support sub-amendment No. 2288.
ParlaMint-FR_2020-07-30-E1026.u52	This is a clarification sub-amendment to dispel possible confusion. In our mind, the donor can communicate information and immaterial elements only.
ParlaMint-FR_2020-07-30-E1026.u53	What is the opinion of the committee?
ParlaMint-FR_2020-07-30-E1026.u54	The wording of the amendments, on the one hand, is too broad, and on the other hand, could lead to a break in equality because people born from an MPA with third-party donors would have information that others do not have access to in their search for their origins. It would be a shame to create differentiated frameworks. As for the sub-amendment, its wording is far too broad as it may allow the donor to leave objects,...
ParlaMint-FR_2020-07-30-E1026.u55	No, it's the opposite!
ParlaMint-FR_2020-07-30-E1026.u56	...which absolutely does not correspond to the objective sought.
ParlaMint-FR_2020-07-30-E1026.u57	What is the Government's opinion?
ParlaMint-FR_2020-07-30-E1026.u58	Unfavorable opinion for the same reasons as the rapporteur.
ParlaMint-FR_2020-07-30-E1026.u59	Mrs Marie-Noëlle Battistel has the floor.
ParlaMint-FR_2020-07-30-E1026.u60	Where the additional information is transmitted on a voluntary basis, it shall not be harmful. These may be important and deserve to be known to the recipient. I misunderstand your rejection of the amendment.
ParlaMint-FR_2020-07-30-E1026.u61	The rapporteur has the floor.
ParlaMint-FR_2020-07-30-E1026.u62	The list of non-identifiable donor data provided for in the text – age; the general condition as described at the time of donation; the physical characteristics; the family and work situation; the country of birth; the motivations of the gift – seems to me already very complete. It is not necessary to complete it, unless you want to add objects to it.
ParlaMint-FR_2020-07-30-E1026.u63	Amendment No 1489 by Mrs Agnes Thill is being defended.
ParlaMint-FR_2020-07-30-E1026.u64	Due to the time schedule, which does not allow us to develop our arguments!
ParlaMint-FR_2020-07-30-E1026.u65	What is the opinion of the committee?
ParlaMint-FR_2020-07-30-E1026.u66	My answer applies to the amendment which Mrs Ménard was unable to defend and to the following. It is proposed that a specific medical questionnaire be provided to the donor to indicate the donor's complete genetic history. But that is already the case. A questionnaire on clinical and genetic data should be completed. The gamete donor must undergo medical biology tests, in particular to establish the risk of HIV 1 and 2, HTLV-1 and 2 – human T-lymphotropic virus – hepatitis B and C, cytomegalovirus, syphilis, chlamydia, and microbiological examinations. Depending on the preliminary results, additional examinations may be requested. Your amendment therefore seems superfluous to me.
ParlaMint-FR_2020-07-30-E1026.u67	What is the Government's opinion?
ParlaMint-FR_2020-07-30-E1026.u68	Same opinion for the same reasons.
ParlaMint-FR_2020-07-30-E1026.u69	Amendment No 32 by Mr Xavier Breton is being defended. I call Mr Patrick Hetzel to support Amendment No. 167.
ParlaMint-FR_2020-07-30-E1026.u70	It is defended because of the time programmed.
ParlaMint-FR_2020-07-30-E1026.u71	Amendment No 1483 by Mr Le Fur is being defended. I call Mr Gosselin to support Amendment No. 1857.
ParlaMint-FR_2020-07-30-E1026.u72	Defended because of the time programmed!
ParlaMint-FR_2020-07-30-E1026.u73	Mrs Gisèle Biémouret has the floor to support Amendment No. 501.
ParlaMint-FR_2020-07-30-E1026.u74	The amendment seeks to allow a person conceived by gift of gametes or embryos to gain access to any consent to the gift of his or her parents by making a request to the ad hoc committee. It is therefore proposed that the Biomedicine Agency retain a copy of the consent and inform those who request it of the possible existence of that document.
ParlaMint-FR_2020-07-30-E1026.u75	What is the opinion of the committee?
ParlaMint-FR_2020-07-30-E1026.u76	Consent to donation is an act before a notary, while the Biomedicine Agency retains medical acts. There is currently no register of consents to donation, which are personal acts that should not be transmitted to the Biomedicine Agency. Such a register may be created by future bioethics laws, but, to date, consent remains a personal act, detached from the medical component. I therefore call for the amendment to be withdrawn; Failing that, adverse notice.
ParlaMint-FR_2020-07-30-E1026.u77	What is the Government's opinion?
ParlaMint-FR_2020-07-30-E1026.u78	Same opinion.
ParlaMint-FR_2020-07-30-E1026.u79	Amendment No 894 by Mrs Emmanuelle Ménard is being defended.
ParlaMint-FR_2020-07-30-E1026.u80	Because of the time programmed!
ParlaMint-FR_2020-07-30-E1026.u81	Amendments Nos 1501 by Mrs Agnes Thill and 1541 by Mrs Emmanuelle Ménard are defended.
ParlaMint-FR_2020-07-30-E1026.u82	Always because of the time programmed!
ParlaMint-FR_2020-07-30-E1026.u83	Amendment No 1176 by Mr Xavier Breton is being defended. I call Mr Gosselin to support Amendment No. 1861.
ParlaMint-FR_2020-07-30-E1026.u84	Defended because of the time programmed!
ParlaMint-FR_2020-07-30-E1026.u85	Mrs Blandine Brocard has the floor to support Amendment No. 1271.
ParlaMint-FR_2020-07-30-E1026.u86	The amendment is intended to return to the text adopted by the Senate, which entrusts the National Council for Access to Personal Origins – CNAOP – with the task of receiving requests from persons conceived by reproductive medical assistance – MPA – with third-party donors to access non-identifiable data concerning the donor and the identity of the donor. Indeed, since there is already a structure capable of receiving and processing requests from persons born of donation, it is necessary to avoid the multiplication of structures and the resulting dispersion of public money.
ParlaMint-FR_2020-07-30-E1026.u87	All right!
ParlaMint-FR_2020-07-30-E1026.u88	What is the opinion of the committee?
ParlaMint-FR_2020-07-30-E1026.u89	The discussion has already taken place in committee. The Senate has abolished the ad hoc commission set up by the bill whose tasks are to collect all the identifying and non-identifying information about the donor and perhaps one day to communicate this information to persons designed by AMP with third party donors. That's not the right solution. First, because the legal and psychological situations are very different; the questions of the persons entrusted to them at birth or in childhood are not the same as those of those born from AMP with third-party donors.
ParlaMint-FR_2020-07-30-E1026.u90	We'll see about that in 20 years!
ParlaMint-FR_2020-07-30-E1026.u91	Secondly, the composition of the two bodies is not identical. We attach great importance to the balance that has been found for the ad hoc committee. The committee is chaired by a family judge, including representatives of the Ministry of Health and the Ministry of Justice, magistrates, representatives of associations of parents, donors and children from AMPs. Perhaps the CNAOP will evolve in the years to come, but the existence of a commission for children born to AMPs with third-party donors seems indispensable to us. I therefore ask for withdrawal, failing which the opinion is unfavourable.
ParlaMint-FR_2020-07-30-E1026.u92	What is the Government's opinion?
ParlaMint-FR_2020-07-30-E1026.u93	The demand for the proper management of public funds that you put forward does not necessarily seem to me satisfied by the creation of a sub-committee within the NACOP instead of the ad hoc committee, which is legitimate and necessary for the reasons that the rapporteur has recalled. The situation of a child born in secret is distinct from that of a child born to a third-party donor. It is necessary to preserve the specificity of each other in order not to destabilize either.
ParlaMint-FR_2020-07-30-E1026.u94	You looked badly, Mr. President.
ParlaMint-FR_2020-07-30-E1026.u95	The identical amendments Nos 168 by Mr Patrick Hetzel and 1485 by Mr Marc Le Fur are being defended.
ParlaMint-FR_2020-07-30-E1026.u96	Because of the time programmed!
ParlaMint-FR_2020-07-30-E1026.u97	I have before me two amendments, Nos 502 and 1658, which can be discussed jointly. I call Mr Philippe Naillet to support Amendment No. 502.
ParlaMint-FR_2020-07-30-E1026.u98	The amendment supplements Amendment No 500 and provides for the possibility of transmitting non-identifiable data concerning the donor to parents who so request. A recent survey within the CECOS federation shows that approximately 70% of donors and CECOS professionals support the transmission of non-identifiable data to couples. Almost 50% of recipients want unidentifiable donor data. As for the third-party donor's medical history, 95% would like to have access to it.
ParlaMint-FR_2020-07-30-E1026.u99	Mrs Geraldine Bannier has the floor to support Amendment No. 1658.
ParlaMint-FR_2020-07-30-E1026.u100	The amendment allows the parents of a child conceived by gift to access their request, during the minority of the child, to one or more non-identifiable data. It is a question of accompanying access to origins by allowing parents to gradually communicate information to their child, thus avoiding the revelation at the age of 18, which can be a little brutal. They can choose the best time, with the child.
ParlaMint-FR_2020-07-30-E1026.u101	It's very questionable!
ParlaMint-FR_2020-07-30-E1026.u102	Before the age of 18, a child conceived by gift may need to know each other better, to understand what he or she is, thanks to information about his or her breeder, who undeniably influences his or her identity, astonishes or disturbs him or her, in particular physically. It is also a significant way to reassure parents, who can ask many questions about the donor. This does not in any way call into question the conditions for access to the identity of the donor, which is possible only from the age of 18. For almost fifty years, the policy chosen by France and deployed by the CECOS – which has always been followed, contrary to what was stated earlier – was that of the lie about origins, a strategy in which the matching of blood groups and physical characteristics took place. This policy was based on the misconception that a gamete donation was no different from a blood or organ donation.
ParlaMint-FR_2020-07-30-E1026.u103	It's not just a gift, then!
ParlaMint-FR_2020-07-30-E1026.u104	If this amendment were adopted, it would offer parents the keys to a truth story that they can master, without taboo, in accordance with the right to know its origins long recognized by the European Court of Human Rights.
ParlaMint-FR_2020-07-30-E1026.u105	Excellent!
ParlaMint-FR_2020-07-30-E1026.u106	So there are still some Christian roots at MODEM!
ParlaMint-FR_2020-07-30-E1026.u107	What is the opinion of the committee?
ParlaMint-FR_2020-07-30-E1026.u108	I know, I recognize and I salute your fight, Mrs. Bannier. For hearing associations of receiving parents, I know how difficult it is for them to tell their story to their children – to consider that they want it – because the donor remains an unknown, a kind of dark matter in the narrative of origins.
ParlaMint-FR_2020-07-30-E1026.u109	Yes!
ParlaMint-FR_2020-07-30-E1026.u110	Many parents would like to share this with their children but do not know how to do so, for lack of information in particular. I therefore understand the purpose of your amendments, Mrs Bannier and Mr Naillet, and I believe that it would be a step in their direction – provided that the information is only available well after the birth of the child, in order to avoid any interference with anonymity between the donor and the recipient. The committee, meeting under Rule 88 of the Rules of Procedure, gave an unfavorable opinion on these amendments, although I was in favour of them. She fears that by communicating to the parents non-identifying elements before the majority of the child, so that they can appropriate his or her account and pass it on to him or her, the anonymity of the gift is expected. That is the Commission's position. Personally, I think that would be a step forward. I therefore rely on the wisdom of the House, knowing that the committee, meeting under Rule 88, rejected both amendments, while I personally support them.
ParlaMint-FR_2020-07-30-E1026.u111	Would biology matter?
ParlaMint-FR_2020-07-30-E1026.u112	What is the Government's opinion?
ParlaMint-FR_2020-07-30-E1026.u113	Although I hear the arguments put forward by the rapporteur in her personal capacity, I express an unfavorable opinion on both amendments.
ParlaMint-FR_2020-07-30-E1026.u114	The rapporteur heard voices! The committee did not debate it in Rule 88!
ParlaMint-FR_2020-07-30-E1026.u115	These amendments are intended to ensure that the parents of a child conceived with a third-party donor have unidentifiable information about the third-party donor. I understand their object, but the anonymity between donor and recipient, the cardinal principle of our law and bioethics laws, must remain strict. It is a condition for the success and balance of the reform that we are undertaking. The right established by this bill applies exclusively to persons born to a third-party donor, once they have reached their majority. It is not open to parents but belongs only to children, who can share it if they wish. I was not aware of the numbers you cited, Mr. Naillet, and there is a question about the usefulness of parents having information about the donor. Once again – and I address Mr. Pierre Dharréville in particular – we must be careful not to go back to the anonymity of gamete donors, the central principle of our bioethical laws.
ParlaMint-FR_2020-07-30-E1026.u116	Mrs Caroline Fiat has the floor.
ParlaMint-FR_2020-07-30-E1026.u117	I find it hard to understand your answer, Secretary of State. This amendment is intended to allow access to non-identifiable data, and you believe that it runs counter to anonymity. By definition, however, non-identifiable data respect the anonymity of the donor! You also say that these data are the only possession of the child. However, it is often during her teenage crisis, at 13, 14, or 15, that a young person needs answers. His parents can't tell him to wait for his majority! Anyone who's had a teenager at home knows that when he asks for an answer, it's better to give it to him! Let us simply provide answers to the children. I shall vote for one or the other of these amendments, which are common sense and which, I repeat, relate exclusively to non-identifiable data, which respects the anonymity of the donor.
ParlaMint-FR_2020-07-30-E1026.u118	Mr Bruno Millienne has the floor.
ParlaMint-FR_2020-07-30-E1026.u119	I fully agree with Mrs Caroline Fiat.
ParlaMint-FR_2020-07-30-E1026.u120	That's it!
ParlaMint-FR_2020-07-30-E1026.u121	It happens, Mrs. Fiat, when it's common sense!
ParlaMint-FR_2020-07-30-E1026.u122	He's right!
ParlaMint-FR_2020-07-30-E1026.u123	We are talking very well here about non-identifiable data. Thank you for reminding her, rapporteur, and thank you for pointing out that you were in favour of these amendments in your personal capacity. Imagine how violent it can be for an 18-year-old to suddenly discover unidentifiable information about his donor. His parents may worry about it long before, seeing their teenager wonder from 13, 14 or 15 years old; It's better if they can come with him. Since anonymity is protected, I do not see why a child would not be accompanied in the discovery of unidentifiable data on his or her origin, if that could prevent him or her from being traumatized. These amendments are common sense and aim to protect the child's psychological balance. I'm in favour of it.
ParlaMint-FR_2020-07-30-E1026.u124	Mrs Marie-Noëlle Battistel has the floor.
ParlaMint-FR_2020-07-30-E1026.u125	I share the arguments of Caroline Fiat and Bruno Millienne. Under no circumstances are these amendments intended to remove the anonymity of the donor! In addition, it may be useful to know a child's medical history before the age of 18, which is not necessarily possible today.
ParlaMint-FR_2020-07-30-E1026.u126	This information is already available!
ParlaMint-FR_2020-07-30-E1026.u127	Don't get mad, Secretary of State! In any event, your argument that our amendment would remove the anonymity of the donation is not admissible.
ParlaMint-FR_2020-07-30-E1026.u128	Mr Bruno Fuchs has the floor.
ParlaMint-FR_2020-07-30-E1026.u129	The law is not cold, immutable and detached from everyday life; it refers to concrete situations. This bill has made significant progress, without always imagining its scope in fifteen, twenty or twenty-five years. The least we can do is to give a mother, father or family the means to accompany their child in a difficult and sometimes even violent way. Finally, I repeat, the communication of non-identifiable information, of a technical nature, does not in any way violate the principle of anonymity of the donor.
ParlaMint-FR_2020-07-30-E1026.u130	Mr Yannick Kerlogot has the floor.
ParlaMint-FR_2020-07-30-E1026.u131	[[Mr. Philippe Gosselin applauds]] I have not voted on Article 1, and I do not intend to reopen the debate. I believe in the otherness and the need for the child to have at least two referents. But these amendments deserve agreement, because they are intended to help young people accept that they have no biological connection with a parent who raises them on a daily basis. Clearly, it is useful that even before adolescence, parents can gradually distill information to their child that will help him build his story.
ParlaMint-FR_2020-07-30-E1026.u132	Of course!
ParlaMint-FR_2020-07-30-E1026.u133	[[Applause on several benches in the MODEM group]] We therefore have every reason to adopt this proposal.
ParlaMint-FR_2020-07-30-E1026.u134	Mr Adrien Taquet has the floor.
ParlaMint-FR_2020-07-30-E1026.u135	I apologize to you, Mrs Battistel, for expressing my reactions too strongly from the bench – especially since yesterday I promised you not to do so anymore!
ParlaMint-FR_2020-07-30-E1026.u136	Apologies accepted!
ParlaMint-FR_2020-07-30-E1026.u137	The medical history of a child born of a gift is accessible at any time, if necessary, before the age of majority. So rest assured. Moreover, access to origins is not attached to parents, but to the child and to him alone.
ParlaMint-FR_2020-07-30-E1026.u138	Still!
ParlaMint-FR_2020-07-30-E1026.u139	You are placed in a configuration, fortunately the majority, where the relations between the parents and the child are good, and where everything is going well within the family unit. Imagine, however, more complicated, more confrontational and more complex situations.
ParlaMint-FR_2020-07-30-E1026.u140	It's worth it in the other case!
ParlaMint-FR_2020-07-30-E1026.u141	We are here to anticipate situations of vulnerability and to protect children. You want to give parents a right that is child-specific, while you don't know what can result from it in a conflict context. The right of access to origins must be confined to the individual concerned. This morning, we discussed the age at which a person could access information about his or her origins, and you voted against an amendment by Mrs Florence Provendier to lower him or her to 16 years of age. We felt that at this age, a teenager might not have the maturity to confront the story of his origins, and that it was more reasonable for him to wait to be a major.
ParlaMint-FR_2020-07-30-E1026.u142	It's not the same thing!
ParlaMint-FR_2020-07-30-E1026.u143	In all consistency, let him reach the majority to access this information on his own initiative, if he wishes. Finally, I defend a very strict conception of the principle of anonymity between the donor and the recipient, which obliges access to non-identifiable data. We must preserve anonymity, the central principle of giving in our country. For all these reasons, I reiterate my unfavorable opinion on these two amendments.
ParlaMint-FR_2020-07-30-E1026.u144	Mrs Geraldine Bannier has the floor.
ParlaMint-FR_2020-07-30-E1026.u145	I am in complete disagreement with the arguments put forward by the Secretary of State. Any parenting project involves the parents, the donor and the child who will be born of this gift: there is a kind of partnership between them, not a unique link between the child and the donor. This is simply about allowing parents to get out of fifty years of lies. For fifty years, a lie has been instituted in France between parents and children; In the first years, we even encouraged the first to not tell the truth to the children. We're getting out of this lie policy. Finally, parents will be able to talk to their child! What's better for a family, Secretary of State, than dialogue? I will take a concrete example. Imagine a child born small, blond with blue eyes in a family of tall browns with brown eyes. This child will realize, at some point, that there is no one in his blond family with blue eyes: he will not necessarily live well. Well, the fact that the parents can communicate with him, tell him that the donor was blond with blue eyes, and that it is written on a document, I think it can do the child good; And maybe he'll need it before he's 18, because, you're right, adolescence attacks do exist, and it's often at that time that children realize things. I therefore call on my colleagues to vote in favour of my amendment.
ParlaMint-FR_2020-07-30-E1026.u146	All right!
ParlaMint-FR_2020-07-30-E1026.u147	The Secretary of State has the floor.
ParlaMint-FR_2020-07-30-E1026.u148	I am for my part, Mrs Bannier, in full agreement with what you have just said, with one exception. The purpose of this article – and, like you, I am proud of it – is to put an end to lies and family secrets, which children often feel deep inside themselves, and to allow dialogue. I spoke a lot about transparency and dialogue this morning, so I am perfectly on this ground. It is hoped that, tomorrow, parents who have resorted to a third-party donor will be able to talk about it with their child in a dispassionate and deculpabilized manner. Nevertheless, let me take the other point of view: that of the child. Imagine a 15- or sixteen-year-old, in conflict with his parents. Will he want his parents to have a right attached to him, which relates to his origins and of which he does not know what they will do? Let us therefore stay on the affirmation of a general, protective principle, which respects the freedom and responsibility of everyone, and which will allow the child, by his or her majority, to have access to the account of his or her origins and thus to build up himself or herself fully – for that is our objective. I think it is a right that must remain attached to the child; access to his origins is a matter of his free choice, of his personal decision – moreover, he can very well, at the age of 18, decide not to go see what happened. I do not see why we would transfer this right to others, even though – and without wishing to oppose them – it would be his parents.
ParlaMint-FR_2020-07-30-E1026.u149	Mrs Caroline Fiat has the floor.
ParlaMint-FR_2020-07-30-E1026.u150	We can return the argument to you, Mr Secretary of State: if the child is in conflict with his parents, precisely because of the problem that you raise, if he is going through a complicated teenage crisis because he is looking for the difference that can come from the difference that he perceives and that you refuse him the only solution that is available to him by preventing him from accessing unidentifiable information and also forbidding him to his parents, you are not going to stop the conflict, you are going to energize him! It is a journey that must be made with the parents, together, with the family. Moreover, as Secretary of State for Children and Families, you are well placed to know that, at present, when a child wants to access his or her medical records, he or she must go with his or her parents. If we adopted your logic, we would have to change a lot in our country to cover cases of conflict with parents!
ParlaMint-FR_2020-07-30-E1026.u151	The rapporteur has the floor.
ParlaMint-FR_2020-07-30-E1026.u152	As I myself am in conflict with the committee on this subject, since we do not have the same opinion, I have listened very carefully to all of you – and I find the Secretary of State's last argument to be percussive.
ParlaMint-FR_2020-07-30-E1026.u153	It's rare!
ParlaMint-FR_2020-07-30-E1026.u154	[["What a disappointment! » on some benches of the LaREM group]] This is indeed a personal choice and right of the child, and we cannot rule out that there may be conflicting family situations. Without conflict, in the best of the worlds, I would be in favour of parents being able to benefit from elements of personal narratives to be transmitted, but perhaps we have not explored enough the range of possibilities. In the absence of absolute certainty, perhaps we should allow reasonable doubt to be expressed and set aside the question for the next bioethics law.
ParlaMint-FR_2020-07-30-E1026.u155	Why wait?
ParlaMint-FR_2020-07-30-E1026.u156	Mr Bruno Millienne has the floor.
ParlaMint-FR_2020-07-30-E1026.u157	This debate is complicated, but exciting. The arguments made on both sides can be agreed. For my part, I will plead in favour of these two amendments, and this for a simple reason, is that we are emerging from fifty years of hypocrisy and lies and that the conflicts that will arise at the time of the adolescence of children from third-party donors will, in most cases, relate to the question of their origin. So let the parents accompany the children and go further than is currently planned – even if it is already very good. Why wait, rapporteur? If it is to adopt this provision in three years' time, let us do it now, knowingly! Frankly, what's better than accompanying a teenager who asks himself existential questions? His parents, if they have procreated through a gift, it is, in general – even though I know that there may be special cases – that they experience unconditional love for their child; They don't want to destroy him, they want to accompany him, and as best they can! Mrs Fiat is right – you will note, dear colleague, that this is the second time that I am right in the same afternoon:...
ParlaMint-FR_2020-07-30-E1026.u158	[[Smile]] Let it be on the record!
ParlaMint-FR_2020-07-30-E1026.u159	[[Applause on certain benches of the LaREM group]] ... if, at the age of 13 or 14, the child asks himself questions and if a conflict arises about his or her origins, the parents must have the ability to accompany him or her, otherwise the conflict may increase.
