ParlaMint-FR_2020-07-31-E1030.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2658, 3181).
ParlaMint-FR_2020-07-31-E1030.u48	I wanted to hear your explanations, Mr rapporteur, because I know how much you care about this issue. I wish I could have followed you... [[Applause on several benches in the LR group. – Mrs Agnes Thill also applauds]] Let me read what René Frydman recently said: "When we started proposing and then getting the birth of the first double hope baby in France, we didn't have enough cord reserves in the banks. But since then, the donation of cord blood has been organized. [...] It is thus almost exceptional today that we need to consider the child of double hope. Indeed, this technique has not been used for six years. I would remind you that in Besançon is the first placental blood bank. So, is it useful to maintain this provision of the baby medicine? We don't think so.
ParlaMint-FR_2020-07-31-E1030.u49	Mr Thibault Bazin has the floor.
ParlaMint-FR_2020-07-31-E1030.u50	Minister Buzyn told us that this is the most fundamental ethical issue in this bill. It seems to me that this reminder is important to enlighten our vote.
ParlaMint-FR_2020-07-31-E1030.u51	Give us back Buzyn!
ParlaMint-FR_2020-07-31-E1030.u52	The rapporteur has the floor.
ParlaMint-FR_2020-07-31-E1030.u53	An affected recipient of this type of pathology has a chance on 1 million or even 10 million, or even on 100 million, to find, depending on his genetic formation, a related donor in the placental blood banks – and not on the register of hematopoietic stem cell donors – which are not, in fact, very important in France, because the Government decided so a few years ago. Even in Besançon, chances are low.
ParlaMint-FR_2020-07-31-E1030.u54	I put to the vote identical amendments Nos 110, 286, 676, 763, 1056, 1117, 1283 and 1626.
ParlaMint-FR_2020-07-31-E1030.u55	The result of the vote is as follows: Number of voters 83 Number of votes cast 80 Absolute majority 41 For adoption 31 Against 49
ParlaMint-FR_2020-07-31-E1030.u56	The rapporteur's amendment No 2185 is drafting.
ParlaMint-FR_2020-07-31-E1030.u57	I put to the vote rule 19 bis A.
ParlaMint-FR_2020-07-31-E1030.u58	The result of the vote is as follows: Number of voters 80 Number of votes cast 78 Absolute majority 40 For adoption 48 Against 30
ParlaMint-FR_2020-07-31-E1030.u59	Mrs Aude Bono-Vandorme has the floor on Rule 19 bis.
ParlaMint-FR_2020-07-31-E1030.u60	I am astonished that, in considering the bill as amended by the Senate, the special committee thought it was appropriate to go back to provisions that we had rejected at first reading. The question is therefore asked again: should we allow a pre-implantatory diagnosis with search for anuploidies aimed at sorting embryos with anomalies in chromosome number? Let me recall what Mrs Buzyn, then Minister of Solidarity and Health, said at the first reading on this subject: "This leads to the myth of the "healthy" child. [...] The next step, the natural shift is to look for other common genetic diseases. " She concluded her hearing before the commission by pointing out that parents should not be made to believe that all problems would be resolved with these tests. In concrete terms, what diseases would be to be sought, and who would decide? For her, there was, ethically, "a clear eugenic drift", the genetic analysis of embryos leading to a society that did not decide to be eugenic, but in which everyone would want to ask for a healthy child. As a result, natural-procreation couples may find themselves disadvantaged and may have to apply for an LDC. Now, who would want to implant an embryo with Down syndrome? We'd slide to embryo sorting. "It's horrible, a eugenic society," Buzyn added, adding that it was "a drift... that we won't even see coming." So why reopen this debate? I have heard many times in this chamber the word "love" to defend this text. Allowing embryo sorting is a message of intolerance and rejection of different people. It's not love. My values are those of an inclusive society that accepts differences: I have the certainty that we can grow with them. Humanity is not built in laboratories. [[Applause on many benches in the LR group and on several benches in the LaREM group. – Mrs Valérie Six and Mrs Agnes Thill also applaud]] I therefore ask you to go back to the text adopted at first reading and to reject all the amendments which would send the word "benevolence" to the oblivion. I see, at this moment, the images of the President of the Republic at Café Joyeux.
ParlaMint-FR_2020-07-31-E1030.u61	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2020-07-31-E1030.u62	According to Professor Stéphane Viville, a specialist in reproductive biology and genetics and founder of the first IPR centre in France in Strasbourg, "this technique has existed since 1993. In twenty-seven years, she never proved that she was bringing anything. In IVF – in vitro fertilization – between a woman to whom one makes an IPR-A and another to whom one does not make it, there is no difference... except for your bank account. He continued: "The majority of miscarriages are not due to chromosomal anomalies but to 40,000 other reasons. This can be intrinsic to the embryo, to the uterus of the woman, to the dialogue between the two..." [[Applause on the benches of the LR group]] The experts are regularly mentioned, I quote one in turn, a professor at the University of Strasbourg and heavily invested in these fields. I hope that his recommendation will be followed.
ParlaMint-FR_2020-07-31-E1030.u63	I have before me several identical amendments, Nos 2169, 869, 974, 1064, 1118, 1284, 1313, 1603, 1637, 2155, 2192 and 2275, aimed at deleting Article 19a. On these amendments, I am seized by the Republicans and IDU groups and independents of a request for a public vote. The vote is announced in the National Assembly. The Minister has the floor to support Amendment No. 2169.
ParlaMint-FR_2020-07-31-E1030.u64	The question of IPR-A, or pre-implantation diagnosis of aneuploidies, is very complex from an ethical point of view and, above all, from a scientific and medical point of view.
ParlaMint-FR_2020-07-31-E1030.u65	You voted on it at first reading!
ParlaMint-FR_2020-07-31-E1030.u66	As a doctor, a doctor who wants to advance research and reduce any health problems, I tend to approve it, in principle, the procedure of allowing pre-implantation diagnosis in search of aneuploidy to eliminate the risks of malformations or chromosomal abnormalities that could lead to miscarriage or the occurrence of serious health problems for a child. However, among the arguments I have heard, there is one to which I do not agree. At first reading, he made me waver in conscience, but today I propose that you do not hold him back, and vote differently. Indeed, I do not believe in the argument of eugenics. I consider that neither parents involved in an IPR-A process nor doctors wishing these diagnoses to be performed have a eugenic vision of society or the intention to eliminate a child because it would carry a chromosomal anomaly. I don't believe it. So, you'll tell me, why don't you start? Because in fact, we don't know. It is not known today, even without certainty, whether mosaicism, chromosomal mosaics, certainly produces chromosomal number anomalies when the embryo develops, and it is not known whether the child will carry a trisomy or other form of disease, or whether the miscarriage is certain. Now, in medicine – and again the doctor speaks – when you don't know, you do research. The Government is not offering you the status quo. It is not a question of closing the door to parents who want to know or doctors who want parents to know, invoking a risk of drift. We propose a multi-centre research project, a PHRC – a hospital clinical research programme – carried out in six CHUs, notably in Paris, Nantes, Clermont-Ferrand, Strasbourg and Dijon, with a protocol managed by Professor Catherine Patrat in Cochin, seven centres in total who want to experiment to understand, know and respond. This approach to advancing medical research seems sound to me. Does mosaicism lead to chromosomal abnormalities of the embryo and an over-risk of miscarriage? This is how medicine is advanced. We come out of a few complicated months during which we saw that when the search wanted to rush, we made mistakes. We do not ask you to delete a provision without proposing anything instead, but to trust researchers who want to engage in the multi-centre research project. [[Applause on several benches of the LaREM group]] Because you are pragmatic and like me, you want things to move forward quickly, you will be sensitive to the fact that the PHRC will begin this fall: in two to three months, we will have a clinical research project. If we kept on experimenting in two institutions – and why, by the way, only two centres? – it would only come into force late in 2021. Between an experiment inscribed in the marble of the law without control of the ins and outs, which concerns only two centres and which will only begin in a year and a half, with a direct objective of practical realization, and, on the other hand, a multicentre clinical research project that will begin in three months, carried out by the hospital-universal community and allowing to obtain answers before moving forward in practice if these answers receive the support of families and doctors, I prefer the second solution, that of the PHRC. I therefore ask you, in confidence, to vote for the Government's amendment to delete the IPR-A as it appears in the text before us.
ParlaMint-FR_2020-07-31-E1030.u67	Amendment No 869 by Mr Jérôme Nury is being defended. I call Mr Marilossian to support Amendment No. 974.
ParlaMint-FR_2020-07-31-E1030.u68	It also seeks to delete Article 19 bis, which allows for the experimental extension of the IPR-A to aneuploidies. We already know how to detect trisomies in a simple IPR, as well as those that cause miscarriages in women for whom an IPR has been performed because of a genetic disease. The term "experiments" in Article 19 bis appears to me as a potential circumvention of current legislation to legalize IPR-A. It seems to me that we are facing a fundamental ethical issue. By allowing, even on an experimental basis, this type of IPR-A, since it is simple today to detect trisomies, we risk creating a gear that would lead to the search for other genes of pathology at the same time. Without it being – I fully understand – the intention of the Members who support this mechanism, the IPR-A would thus pave the way for eugenic practices, which could lead us, as we have already mentioned, to the search for a perfect child. The rapporteur, Jean-François Eliaou, explained at first reading that opening this mechanism will inevitably mean that couples whose children are not suffering from genetic diseases will go to ask for an IPR-A and that it will then be very difficult to refuse it to them. For these reasons, even if it is experimental, the device as currently introduced must be removed from the bill.
ParlaMint-FR_2020-07-31-E1030.u69	The deletion amendment No. 1064 by Mrs Annie Genevard is being defended. I call Mr Thibault Bazin to support Amendment No. 1118.
ParlaMint-FR_2020-07-31-E1030.u70	This issue must be addressed in the prism of the other provisions of the draft law, in particular the development of the LDC – medically assisted reproduction – with third-party donors, which will multiply in vitro fertilization before the transfer of the embryo. It is also necessary to examine this subject in the light of the therapeutic criterion that has been removed, whether for a homosexual or heterosexual couple, or for a single woman. If we legalize the pre-implantation diagnosis of aneuploidies by creating a right to sort the embryos ab initio according to the genome, with embryos that could be described as imperfect, we create a temptation and finally allow a form of potential drift, with the use of the LDC having to be certain, even without problems of fertility, to have a genetically correct child. Minister, I am a little surprised by your argument and, as Aimé Jacquet would say to Robert Pirès, I would have liked to see you further muscle your game. Indeed, your predecessor had clearly told us that allowing this practice would clearly lead to eugenic drift. I do not understand why you reject this argument, objectively relevant. This technique gives information that goes far beyond the mere detection of non-viable embryos, which raises an ethical question that we need to frame. This is not a problem that, as is the case with other provisions of the bill, concerns only a few people a year. In this case, it is for all LDCs with third-party donors, who are actually FIVET – in vitro fertilization and embryo transfer – that one could have the temptation to resort to IPR-A. Behind this question is the acceptance of different and vulnerable people and our relationship to disability. Will our society accept tomorrow the existence of people with disabilities? Consistency with the desire to make society more and more inclusive means that steps should not be initiated in the opposite direction. That is why we must oppose this system and vote for the deletion amendments.
ParlaMint-FR_2020-07-31-E1030.u71	Mrs Blandine Brocard has the floor to support Amendment No. 1284.
ParlaMint-FR_2020-07-31-E1030.u72	Colleagues, five days ago, when I first spoke about this text, it was to share my doubts and questions with you; allow me to continue this momentum. Can you explain to me, for example, why those of you who are slamming the whole business and the whole business are among the first to call for the authorisation and generalization of techniques necessarily involving the development of new economic markets to the detriment of the fragility and soul of our humanity? Or – another question that I have a lot of difficulty in answering – at a time when ecology stands at the forefront of the stage and weighs in all the decisions that we have to make, at a time when we see the dramatic misdeeds of man's action on nature and the limits of the technological whole on our environment and on our humanity itself, how can we still decide to be, towards and against everything, masters and possessors of nature? Descartes moreover, encouraging us to behave in this way, reveals in reality that man can indeed seek to dominate nature, that he can always fend for this conquest; His knowledge will always be imperfect and he must be aware of his limitations. [[Olivier Marleix applauds]] [[Applause on the benches of the LR group. – Mr Dominique Potier also applauds]] What we have done to nature for fifty years, we are doing to humans. Which society do we want? A society that refuses any signs of weakness and vulnerability? Or a society that takes care of the weakest and most vulnerable? Yes, our humanity is fragile and that is what makes it beautiful. Rationalizing it at all costs, at any cost, is to make him lose his soul. Let us be imperfect, let us accept not to control and control everything in order, on the contrary, to preserve our humanity in its natural environment. We are moving towards a uniform world where the different is eradicated, as opposed to an inclusive society that is claimed to want to build with fragile people. How can we go to an inclusive society if we start by saying that these people must not exist? It is our deep humanity that we are talking about, our relationship to otherness, to the difference, to fragility. Isn't that what we call fraternity?
ParlaMint-FR_2020-07-31-E1030.u73	Identical Amendments Nos 1313 by Mr Marc Le Fur and 1603 by Mrs Emmanuelle Ménard are being defended. Mrs Tamarelle-Verhaeghe has the floor to support Amendment No. 1637.
ParlaMint-FR_2020-07-31-E1030.u74	The subject is obviously complex. He asks a lot of questions and we don't have all the answers. The argument put forward is that by eliminating embryos carrying aneuploidy, embryo development that causes miscarriages will be prevented. But as the minister rightly pointed out, the state of knowledge does not allow us to determine with confidence the weight of this factor. Some argue that the diagnosis of Down syndrome would prevent a medical interruption of pregnancy by preventing the implantation of infected embryos. But this argument questions the purpose of IPR-A: to avoid miscarriages or to avoid the implantation of embryos that may have chromosomal abnormalities? Article 19 bis is very painfully perceived by many associations and parents of children with disabilities, who see it as an intention to eliminate children who may bear this anomaly, and thus as a denial of their children or as violence against them. A reflection is necessary on the different situations in relation to the AMP, depending on whether it is for example the pre-implantation stage or pregnancy, but the extension of the IPR to the detection of chromosomal abnormalities opens the possibility and creates the temptation to search for other genetic anomalies, with all the potential slides that this implies. Even if the Minister considers that there is no risk, the problem lies in this temptation to check, in case of eligibility for IPR-A, whether or not the child bears defective chromosomes. For all these reasons, we ask you not to retain this article.
ParlaMint-FR_2020-07-31-E1030.u75	Mrs Bénédicte Pételle has the floor to support Amendment No. 2155.
ParlaMint-FR_2020-07-31-E1030.u76	It is with humility and great doubt that I ask you to delete Article 19a which proposes, on an experimental basis and for a period of three years, in two establishments, to extend the pre-implantation diagnosis to the numeration of autosomes, i.e. to the detection of trisomy. This article makes me uncomfortable. First of all, if the experiment is voted, it will be difficult to go back. However, physicians do not share the same view on the effectiveness of IPR-A in limiting miscarriages. Moreover, while the article may a priori appear as progress, it is not without consequences for our society: it opens the door to other diagnoses whose drifts are not measured. How far will we go in the future? Is it not possible to move insidiously towards the search for the perfect child according to specific criteria? Isn't there a risk of a decline in the inclusive society that we are trying to build?
ParlaMint-FR_2020-07-31-E1030.u77	Mr Jean-François Eliaou has the floor to support Amendment No. 2192.
ParlaMint-FR_2020-07-31-E1030.u78	I would point out that I am speaking in my personal capacity and not as rapporteur, as the special committee has adopted the text before you. Mr Hetzel, it is certain that, as you have said, miscarriages are not always linked to chromosomal anomalies and often have multiparametric causes, but there are still elements that suggest that anomalies in chromosome numbers can contribute, to some extent, to repeat miscarriages or to the failure of AMP interventions – medical aid in reproduction. Moreover, if we were sure that the abnormal number of chromosomes in the embryo did not cause any damage, there would be no need to conduct a research project in this direction. Currently, there is general agreement that the IPR-A technique has not been sufficiently explored so that it can be brought into the mainstream care by legislation. On the other hand, thanks to our work, in particular Article 14, clinical research on the embryo is possible. It was in this context that the PHRC was finally able to be obtained by the principal investigators whom the Minister spoke about earlier. Let me enumerate, in order to inform the national representation, the indications on which the PHRC will focus: women over 35 years of age, in whom the risk of embryonic aneuploidy is greatly increased; women undergoing repeated miscarriages and justifying an IVF – because we look at the embryo; women who have failed implantation, who have made several IVF attempts not followed by pregnancy; couples with one limb carrying a chromosome translocation – a chromosome rearrangement. These couples already use the IPR, which is an existing technique. Yes, Mr. Bazin, the IPD, a pre-implantation diagnosis for genetic abnormalities, exists in the current law.
ParlaMint-FR_2020-07-31-E1030.u79	Yes, since 1999, under certain conditions!
ParlaMint-FR_2020-07-31-E1030.u80	Pre-implantation diagnoses are already being made with a search for genetic mutations, which allows couples who have had a firstborn with a disease to have a child free of them, because we check whether or not the embryos have the genetic mutation responsible for this disease, and only for that disease. That is the state of positive law. Why today create a parallel legislative framework when the PHRC has received funding – in a way, thanks to us – and will be able to bring us very quickly, in three years, results that will allow us to know whether, in the context of an IPR, it can be useful, in some cases, to count the number of non-sexual, autosomal chromosomes? When we have these results, there will no longer be a need for legislation: if it is useful in a number of indications, the IPR-A will be able to enter into the current care by means of validation by the High Health Authority and, of course, by the Agency for Biomedicine. That is why I am in favour of deleting this article: wait for these results, which we believe is important to evaluate. It is possible that, as in the 100 or 150 clinical studies conducted around the world, the results may not be conclusive. As a very recent study, published in 2019, which compares morphological techniques – current techniques of looking at embryos before implantation – with more sophisticated molecular biology techniques to count the number of chromosomes, they do not differ from the point of view of usefulness. That is why, personally, I am in favour of deleting this article.
ParlaMint-FR_2020-07-31-E1030.u81	Mrs Aurore Bergé has the floor to support Amendment No. 2275.
