ParlaMint-NO_2005-06-15.ana.ud2566e113	The representative Heikki Holmås has asked for the word to withdraw a private proposal.
ParlaMint-NO_2005-06-15.ana.ud2566e234	No one has asked for the floor. [[See page 2946]]
ParlaMint-NO_2005-06-15.ana.ud2566e250	At the request of the Foreign Affairs Committee, the President will propose that the maximum speaking time for speeches by main speakers from each party group and members of the Government be set at 10 minutes, for the other speakers 5 minutes. Furthermore, the President will propose that there be a replication of up to three lines with replies from the main speakers of each party group and five lines with replies from members of the Government. – It shall be deemed to have been adopted.
ParlaMint-NO_2005-06-15.ana.ud2566e257	The aim of a foreign policy, for Norway as for other countries, is to promote and protect its interests. When asked where the main emphasis of Norway’s vital interests lies — the interests that no one other than Norway can define and defend — it is appropriate to respond with a strofe from Rolf Jacobsen’s fine poem ‘Nord’. He says, ‘It is far from this country. Most of it is north.’ Most of Norway is north. The majority of the Norwegian economic zone and one third of the mainland coastline are north of the Arctic Circle. Including Svalbard, Norwegian territory goes far into the Arctic Ocean. The important strategic resources available in these areas say that most are north, not only in the geographical sense, but also in the form of vital social interests. Norwegian Northern Territory Policy is important for the whole country. Just as the inhabitants of all the high-block floors have an interest in the sound and safeness of the roof of the building, it is important for the whole country that the Norwegian authorities respect sovereignty, rights and administrative responsibilities in the northern regions. This is what the Norwegian authorities do every day. However, with increased international interest in the north, we need to take greater account of other countries’ interests and activities affecting development and opportunities here. We manage resources that are not only important to us, but important to the whole of Europe and, in fact, also in a global perspective. Therefore, Northern Region policy belongs to the Ministry of Foreign Affairs and the Foreign Affairs Committee. The Nordgebiet Message has created a lot of activity in a number of environments. The government has also been honoured for the first time to have taken the initiative of setting up a Northern Region Committee, led by the Director of the Polar Institute, Olav Orheim, who delivered his in-depth investigation in 2003, and then for the first time to develop a Northern Region policy. The Foreign Affairs Committee has agreed to make a significant effort to deal with the notification. There are several trips and hearings organised. In other words, there is a comprehensive and broad process behind the Northern Region policy that is now anchored in the Stortinget. An overall committee supports the core elements of the Government's strategy in the setting. Bilateral North-Area dialogues with central and western countries and actors and extensive bilateral cooperation with Russia constitute the two main pillars. Measures to strengthen Norwegian North Sea Research and Competence both on the mainland and on Svalbard, the initiative on regional cooperation forums – Barents Cooperation and Arctic Councils – measures for increased food cooperation across the Norwegian-Russian border, strengthening cooperation on nuclear safety and extensive project cooperation with Russia are also widely endorsed. People-to-people cooperation and regional cooperation are important to ensure both political stability and sustainable development, which are the main objectives of the Government's Northern Region policy. The background to the increased international interest in the northern regions is largely related to the oil and gas deposits. At the same time, the north is rich in living natural resources, which have been the basis for living conditions and housing — and still must be. Climate change in the Arctic is a fact. The Intergovernmental Panel on Climate Change indicates that global temperatures may rise between 1.4 and 5.8 oC over the next hundred years. The glaciers in the Arctic have melted and retreated over the past few years. This has an impact on the natural basis and on all human activity in the north. In view of this, in particular, two challenges are at the heart. Firstly, economic activity in the north cannot happen without the consideration of the vulnerable environment in the north. Fishing activity and oil and gas activity must live side by side. A majority of the Committee believes that this is the case. Yes, not only that, a majority believe Norwegian petroleum activity is important for Norway to get a hand on the steering wheel. There is no question of whether there should be petroleum activity in the Barents Sea or not. Russia is currently producing oil in the Pechora Sea. Oil transport from Russian ports in the Barents Sea is increasing year by year. There is great tension in the expansion of the world’s assumed largest gas field – the Shtokman field – off the coast of the Kola Peninsula. The question is to what extent Norway is going to participate in the oil and gas activity. In today's Evening Post, we read that the head of the Russian gas giant Gazprom boasts Norwegian companies, pointing out that in the technological field, Hydro and Statoil are world leaders. Not least Norwegian companies have a significant environmental competence which is in Norwegian interest to get to the Russian side in the Barents Sea. The government has opened up exploration in the Norwegian part of the Barents Sea within some of the most stringent environmental frameworks in the world. The snow-white development took place with a very close dialogue and in cooperation between the developers and the fisheries interests in the area. The Norwegian oil industry has shown that technology only evolves with activity. We would not have had any Troll, Worm Lange, or Snow White expansion if we had been sitting waiting for technology to come down from the sky. A clean protection strategy in the Barents Sea, as SV advocates, will weaken our position and our ability to influence. The second important point is that several countries need to have a common understanding of the challenges we face in the north and of Norwegian needs and interests. The government conducts a very active energy dialogue with Russia, and has close bilateral cooperation in a number of areas. Nordic dialogues are underway with a number of countries — the United States, Canada, Germany and the EU. We also need to involve civil society and business, which through its channels and in its way can contribute to sustainable development in the north. The oil and gas perspectives in the north update the international legal challenges facing Norway in the north. For a total of 35 years, negotiations with Russia on a demarcation line for continental shelf and 200-mile zones have been ongoing without results. The majority of the Committee agrees with the Government that a prerequisite for fully exploiting the energy potential in the north is that a demarcation line is negotiated. Until this happens, a more thorough monitoring of the undisputed part of the Barents Sea will be useful to provide a better overview of the resources and thereby further develop Norwegian competence in and in the area. The zone of fishing protection is disputed. Few countries support the Norwegian primary view that Norway has access to a 200-mile economic zone around the island. The fishing zone and the provisions of Norway have been designed, widely respected, albeit not recognised. In particular, our closest neighbours – Iceland and Russia – dispute the Norwegian administrative measures and refer to the provisions of the Svalbard Treaty. Therefore, credibility, predictability and sustainable management are essential in order to achieve a longer-term international understanding of Norwegian rights, regulations and control measures. Today, illegal and unreported fishing is the main threat to responsible resource management. Therefore, the main focus of cooperation between Norway and Russia on management and control in the Barents Sea has also been on strengthening control of trans-shipment of fish in the Barents Sea. The agreements established for the mutual satellite tracking of fishing vessels are of major importance. Of course, the role of the Coast Guard is very central. An overall committee points out that Norway lacks multilateral fora to address central Norwegian interests in. The Committee also points out that other European countries have this possibility in the EU. EU countries have a strong interest in stable energy supplies and have therefore established an active energy dialogue with Russia. Norway, the second largest energy exporter in Europe, is not at the table. The Director of the NUPI, Sverre Lodgaard, has pointed out that as long as Norway is outside the EU, there is reason to believe that Russia weighs more heavily on EU countries than Norway does. Therefore, a unanimous committee requires the Government to give top priority to dialogue with the EU and with the EU Member States. We need to ensure Norwegian influence on the northern dimension of the EU, the development of EU neighbourhood policy and the EU strategic partnership with Russia. The Committee attaches great importance to the development of Norwegian competence in the north. Here we have a lot to build on. In the foreword of «Knowledge and Odour», written by Peter Wessel Zaffe, we can read that «the tree of knowledge felt little tempted by the twilight between the cliffs». The book came out in 1942, and a lot has happened since then. There is more sense than ignorance in the north, and the environments of competence are many and strong, and in particular our climate and environmental competence is significant. The government proposes to create a bar institute. In addition, the Government proposes to establish an international research fund linked to the Arctic Council. The international polar year 2007-2008 needs to be exploited through research projects and activities related to the north. Knowledge is likely to be the most critical resource for Norway in the policy of the North, both in day-to-day management and control of marine areas, in ensuring ecosystem-based resource management and in bilateral and international negotiations. Norway must be the best in the north. Nordic policy affects a number of departments and departments. A clear challenge is to ensure better coordination of Norwegian north-eastern policies, both at political and administrative level. Here the Government has taken important steps, both by providing coordination responsibility with an early anchoring in the Ministry of Foreign Affairs and by setting up a separate Northern Region Selection in the administration. The interministerial Polar Committee, which coordinates ongoing work on Norwegian polar policy, is a model that has worked well. In addition, the Government establishes a contact committee for the Nordic regions. The latter is not least important, given the important role played by regional and local authorities, as well as business organisations and civil society organisations.
ParlaMint-NO_2005-06-15.ana.ud2566e312	It's going to be line change.
ParlaMint-NO_2005-06-15.ana.ud2566e315	The message suggests a so-called "decreased oil and gas extraction" in the Nordic region. We know that there are already major environmental problems in the Arctic. Of course, most are linked to chemicals that have come from your long-distance, air transport and water transport. Back to the late oil and gas extraction: A lot of this argument is based on a feeling that the Russians are going to start pretty fast. I'd like to ask the case leader if she, after the meetings we've had in Moscow, in Murmansk or in other contexts, has received a clear, clear signal that Russia is going to go offshore in the near future. Or is it like this, as I interpret it, that it will be long, long time before Russia comes to go offshore?
ParlaMint-NO_2005-06-15.ana.ud2566e322	The answer to the last question is that the Russians are already offshore, in the Pechora Sea. I also think there is reason to attach trust to the further Russian plans to seek to develop the big gas field, the Shtokman field. If that happens, and when it does, it also opens up for further extraction of other fields in the Barents Sea. What is important, however, is that Norway and Norwegian companies are given a hand on the steering wheel as much as possible. Norwegian companies have world-class offshore and environmental competence. And to say like one of the people we met at Svalbard, who worked with the employment man, said, from Svalbard it doesn't matter if any emissions come from the Norwegian or Russian side in the Barents Sea. We must have an influence on evolution.
ParlaMint-NO_2005-06-15.ana.ud2566e329	Several have not asked for the word for a line.
ParlaMint-NO_2005-06-15.ana.ud2566e332	As the rapporteur said, increasing interest in the northern regions is primarily justified by the prospect of large volumes of oil and gas in the northern regions, and this could be the most important energy region in the world. But we should not forget the fish resources and the biological resources in the sea, and of course we should not forget the old challenges we face, which are linked to nuclear safety and also to major social problems in North-West Russia, that is our neighbouring country. This new approach offers great opportunities, and it also poses challenges. I would say that it increases the importance of our foreign policy as an interest-based policy, a policy to take care of Norwegian interests in this area. This is easy to understand when you know that Norway has access to sea areas six times the size of our territory. In addition, the Barents Sea divider is not resolved. The disputed area is more than half the territory of the country. And the protection zone around Svalbard, which we have set up unilaterally, does not have international recognition. It is almost three times larger than the territory of Norway itself. In addition, the major actors, such as the EU, the United States, India, China and Japan, are throwing their eyes on the north. Both Western and Eastern Ural countries want these resources to benefit them, that they should simply go either east or west — or perhaps both. So we have a great need to decide what we want: a clear policy. Only then can we safeguard our own interests, and only then can we intervene with other actors, including those involved. as regards how Russia will develop its socket. This is of great importance to Norway. For example, what does it want? happen in the Shtokman field? The bear Jacobsen just asked a question about whether there are any prospects that the Russians will get started. We have to plan for this to be expanded. I don't know when, but sooner or later I think it'll come. One of the big questions is, where will the gas go? I must remind you that Norway has invested SEK 190 billion in its North Sea pipeline network to Europe. This pipeline network can therefore be used for 50 years longer than we have gas for – what is developed in the Norwegian Sea and the North Sea. We are obliged to deliver to the European continent. So we have a great need to fill our pipeline network lying there, with these difficult investments, also to secure deliveries to the European continent, so that we become credible. That's why there's a big question where the gas from the Shtokman field will go. Will it go to the Baltic Sea, through the Baltic Sea and directly to Europe? Or is there a possibility that we can get a pipeline to the west of the sea, which can be connected to the existing Norwegian pipeline network? Maybe she needs both. I believe it is very important that Norway takes care of its interests in this area, but then we have to intervene, and we need a clear Norwegian policy. I think we can meet the challenges we face in three ways. One is presence and enforcement. We can do this primarily through a predictable and consistent Norwegian policy. Of course, the Coast Guard is a very important instrument in this, and we do. seen in the protection zone around Svalbard. But I would like to stress that the Coast Guard is not supposed to be a military deterrence. It underlined the head of defense at a seminar yesterday. The Coast Guard is going to enforce Norwegian regulations. We cannot solve the problem, for example. that the fishing protection zone around Svalbard is not internationally recognised, using military instruments. We need to realize that these challenges can grow in the future. To date, the Norwegian view of the Svalbard socket has been respected, although it has not been recognised, because everyone has seen that the Norwegian provisions have been in everyone’s interest. But I have to raise the question: what will happen if, for example, that happens? would it be about finding oil and gas in the protection zone? Is it so certain that we will experience the same thing that we are doing now in relation to the fishing resources in the protection zone? It's important for the Coast Guard, with predictable policies, but we can't deal with these future challenges just by using this. Then I get to the second point that we need to focus on, that it's primarily politics, foreign policy, this is about. Although it is not in the position, because the majority did not want to decide on how to organise work on the Northern Region policy, I would like to say – for their own account – that in such a perspective it must be wrong to deprive the Ministry of the Ministry of Foreign Affairs of responsibility for the Northern Region policy. I have seen that it is in the position that the Senterpartiet wants its own Northern Region Minister, the Progress Party wants its own directorate. In my opinion, this would be to make North Norway a province in Norway. In fact, North Norway is the opposite. This must be part of national policies, uplifted at national level. Norway must have one clear policy, in particular a clear foreign policy. The government must have clear instruments, as many instruments as are necessary for us to be able to influence our neighbouring countries, Europe and the United States in our best interests, and it can only be handled by the Minister of Foreign Affairs. This cannot be fragmented. In my opinion, the Government as such must exert power in expanding bilateral relations with Russia. It's incredibly important. It's foreign policy of rank. We have to make sure that old friends remain friends, for example. U.S.A. I fully agree that we must develop bilateral relations with the European countries. However, I would like to point out the somewhat dry and laconic comment of the Committee on Foreign Affairs, namely that the other European countries can now use the EU as a framework for promoting their interests. We can't. For the first time, we have no multilateral body to exercise our foreign policy in relation to. It requires an even stronger bilateral effort in relation to the European countries and the European Union. This is again foreign policy of rank. All of this must be put in place, of course, and it must be a coordinated, comprehensive policy. The third thing I want to get into is participation. We must try to become participants in the Russian oil and gas business. It's just through our technology and our knowledge that we have the opportunity to have our hands on the wheel. The second is that when environmental conditions so warrant, we should try to shift the Norwegian oil and gas business north and east of the Barents Sea. There's also a way to be present, and thus exert influence over what's going to happen in the Barents Sea itself. These three points – enforcement, a clear, offensive and interest-based Norwegian foreign policy and participation in the activities already under way in the Barents Sea – make me feel like the most important things Norway needs to put into effect. Finally, I would like to point out a relationship, a special feature of the setting – namely that the Progress Party has opted out of all comments relating to the situation of the communities and indigenous peoples. In my opinion, this demonstrates that the Progress Party does not respect the international commitments of Norway and that the Party is not involved in a common struggle across the globe to preserve the common cultural heritage of humanity and the diversity of the human race, which is as important as the biodiversity of nature. I allow myself to be a little bit party-political in the end. I think this may be the deeper reason why the government parties have been so careful to let the people of the Advance Party into leading positions in the country, because if you are going to be there, you have to take care of the rights of all groups. The moral base of society is, of course, the ability to take care of minorities and the position of the weakest in society. I think that here we find a deeper reason for what I said. I must say I have great respect for the firmness shown in that question by both the Prime Minister, the Christian People's Party and the Right. I think the setting sort of reveals something quite essential, but I'm glad that there's a majority for everything else.
ParlaMint-NO_2005-06-15.ana.ud2566e364	It's going to be line change.
ParlaMint-NO_2005-06-15.ana.ud2566e367	Although this is not particularly surprising, there is reason to say that the Workers' Party is very commendable to contribute to a broad support for Norwegian Northern Region policy. It is very important that such an important policy area be brought together widely. The only thing that gets hurt if we get a big split in the political environment on these issues is Norwegian influence in the north. The committee leader placed great emphasis on Norwegian participation in the north as a condition for us to be able to exercise our influence, including participation in the oil and gas business. Now we are faced with a choice, and the Workers' Party is going to vote for a cooperation with SV and the Center Party – both parties that do not want offensive Norwegian oil and gas activities in the Barents Sea. How will the Workers' Party resolve that conflict if that situation arises?
ParlaMint-NO_2005-06-15.ana.ud2566e376	There were elections four years ago, too, and then the parties that are now in government did not have a clear agreement and a clear understanding of how energy policy in the country should be pursued. So I think the situation is going to be something of the same now, that you have to sit down after the election to discuss what is going to be the government's basis. In addition, I would like to remind you that there are no questions whether we should start up in the Barents Sea or not. We've started up in the Barents Sea South. There's also a difference between SV and the central part. I think we have to be careful, be careful. We have done that, and we should continue to do that. There is also a broad majority in this Chamber. If there should be no earthquake at the time of the option, this will continue after the option is given. After all, it's not fair to negotiate a large majority in the Storting and turn it into a minority.
ParlaMint-NO_2005-06-15.ana.ud2566e384	I'm going to be allowed to come back in my contribution to the attack that came from the representative of Jagland in terms of our indigenous policy. I want to take care of something else. In today's VG, the head of the Foreign Affairs Committee has a chronicle, where he points out: ‘It is therefore important that no matter what kind of government Norway receives after the elections, it must be formed on a European basis. We cannot care for our huge interests in the north based on anti-EU rhetoric and military construction.’ Given that it would be a red-green majority and given that the red-greens would form a government, is Iland convinced that it will be a 'European' government and that that government will not bring any sort of 'anti-EU rhetoric'? It is precisely the two parties that he intends to cooperate with, the Centre Party and the SV, which, a little further forward in the chronicle, are being attacked to stand for a policy that, in its form, may not take this into account.
ParlaMint-NO_2005-06-15.ana.ud2566e396	There will certainly be, even from the parties that will form such a government, a lot of scepticism and criticism of the European Union. I can also say that. But what I didn't get into this chronicle is that you don't have to resort to such rhetoric as I've seen, that the European countries are looking to drain the resources in the north. We must take into account the following: the European countries, the United States and also the countries of the east, in Asia, are keenly interested in these resources. We have to respect that, and then we have to work on that basis in a dialogue, get everyone who needs these resources, to work together, so that we can manage the Barents Sea properly. This oil and gas only makes sense if it's going to some markets, and the big markets are the ones I'm pointing at. Then we have to be in dialogue with them and not assume that they're really trying to rob us of something, as I've heard, among other things. One from the Center Party has spoken up in North Norway.
ParlaMint-NO_2005-06-15.ana.ud2566e403	First, a few comments on the article by the head of the Foreign Affairs Committee. The first one goes on this with pipework. It's a pretty big activity to build, for example. a new pipeline from the Worm Lange and all the way to the Austhavet. But when we look at the Worm Lange, the field of production comes in 2007. The reason why it pays off, and the reason why the whole field is built out, is that then the production of gas in the British sector goes down. Then fill one up there. So same thing: when you're going to use the capacity of an oil pipeline, it has to be done in accordance with either that other fields go out, or that new ones are being built out. So here we are totally dependent on international cooperation. At least one shall not use it as a cause for forced expansion. But my question goes on with old friends. Of course, we're going to have a good relationship with old friends. But we see, in other contexts, that we are dependent on countries that have also ratified the Kyoto Agreement, and countries that are energy producers. We must not make this an EU matter, but rather extend our alliances to ensure our policy in the north.
ParlaMint-NO_2005-06-15.ana.ud2566e412	I agree that we should not make this an EU matter, but we must recognise that this is one of the major markets for energy resources in the northern regions. Only the fact that the European Union has started a strategic energy dialogue with Russia speaks for it. That's just the way it is! One of the questions they're probably discussing is the direction in which the gas is going. It has to go in some direction. So we have to intervene with all of these actors in a good way, including the United States, of course. At the bottom of all this, there must also be a very well-developed bilateral relationship with Russia, but we cannot escape having a clear Norwegian foreign policy in relation to the other major actors.
ParlaMint-NO_2005-06-15.ana.ud2566e419	The cord shift is over.
ParlaMint-NO_2005-06-15.ana.ud2566e422	The Northern Territory Communication from the Government was promising, but needed to be strengthened, and the Progress Party believes that the work of the Foreign Affairs Committee has contributed to this strengthening. We are pleased that we are now leaving this magnification session with a governance paper for the northern regions, and that in itself has immeasurably great value. For Norwegian foreign policy, there are some of the major challenges and opportunities in the Arctic and the Barents region. This has been commented by both the case rapporteur and the head of the Committee on Foreign Affairs. The awareness and priority of the issues in the north is very important for the future, and I fully agree with those who say that this must be a national effort. It must be an overall task for Norway, and in particular for Norwegian foreign service, to promote our interests in the north. We know that we don't always want to find support, but we also know that without constant attention and work, we risk a lot. The diplomatic dimension of the communication is therefore important. What about alliance partners? What about the EU? Who are we going to lean on? The important message must be that we should deal with all relevant actors. We need to seek support and cooperation where that is reasonable and possible. Would we be better equipped in the north with EU membership? I have heard, and believe absolutely, that it is possible to make good arguments for both yes and no to this question. However, the reality is that we are not, and we are probably not going to be a member of the European Union in a good time either. This does not mean that we are not going to discuss what Norwegian EU membership could have meant for the northern regions, but that means that now and for a while in the future we must use all the forces to promote a policy that takes care of the national interests, given the current situation, and not use too much energy to discuss how much better or worse the situation could have been if people had not acted as they did in 1994. In addition to the overall foreign policy, our interests in the north must be safeguarded primarily by activity and presence, and this is a clear point in the attitude. I would like to point out some areas that the Progress Party believes are essential for this. Military presence is important and stressed by many. The Progress Party is concerned whether we will in the future have the resources to be sufficiently present and assert our sovereignty. These are good objectives of the majority of the Committee on Petroleum Activities in the Barents Sea, but we are uncertain whether this positive attitude will survive the harvest's choices. We record that the SV and the Center Party are critical to oil and gas extraction in the Barents Sea, and we are concerned if this view were to be implemented. The progress party wants to go beyond the other parties in signaling that we want to go ahead in the activity of the Barents Sea. We believe it is right to get started, and that this will be the best policy for improved employment, economics and well-being – for Finnmark in particular, but also for the rest of the country. Otherwise, I would like to refer to what the representative, Mr Jagland, said about the pipeline network and the opportunities it offers, by exploiting existing infrastructure. The Progress Party believes that the importance of the northern regions means that we need to strengthen our efforts in many areas. As far as the administration is concerned, we believe that by setting up our own Northern Region Directorate in Finnmark, we will have a permanent body to carry out activities in the north and to carry out the necessary coordination, under the auspices of the Prime Minister's office. This directorate will then have the necessary weight required in the cross-sectoral processes that will have to be carried out. We do not believe that this is essential for getting a good policy on the North. The crucial thing is the policy and the force that politics has, so I don't want to go as far as making the organization a major issue either in one way or another. It is the policy that must be in focus. Russia is important to Norway at many levels. We manage common fishing resources, we share a sea that is expected to be the subject of major petroleum activities, and we can promote each other's interests through constructive and active cooperation. We applaud the renewed vitamin injection that is now taking place in Barents' cooperation. We are pleased that the Barents Secretariat continues to be an engine of cooperation, and the establishment of a barn institute in Kirkenes will give a new dimension to the professional work on north-eastern issues. We are very pleased that the border station in Storskog is now becoming open 24 hours and hope this will further stimulate trade with Russia. The challenges facing Russia are many, including in problematic areas such as the environment, health and trafficking. These areas need to be given a lot of attention. In previous debates, we have called for the possibility of using some of our aid funds to alleviate poverty and distress in North-West Russia, but unfortunately we have to record that this is not supported. However, we hope that in other ways we can contribute to the important work in which many Norwegian non-governmental organisations are involved, in order to improve the conditions of the population of North-West Russia in particular. It brings me to one of the Committee's leaders, Thorbjørn Jagland, who made his point: our absence in relation to the comments on indigenous peoples. Yeah, that's right. What we might be criticizing is that we're not saying constructively what we mean, but just jumping off these remarks. We believe that these are not the major issues and challenges related to the dimension of this communication. This, of course, does not mean that we do not respect minorities and the position of weak groups. In a foreign policy perspective, we have, among other things, in the context of the Development Communication and the Globalisation Communication, I will address this in detail, and I will refer to our views and comments there. We therefore believe that the representative of Mr Jagland here is not holding. He expresses an understanding that the government parties will keep out the Progress Party, with the vision we might have here. The rights of the group in Norway were discussed in this Chamber not long ago in the examination of the Finnish law. We also recorded here that there were not only representatives from the Progress Party who agreed with our view. If you think we're going to be put on the side of Norwegian politics, I think you're going to go a few rounds in different forums in that way. I found this comment strange, and not in accordance with the positions and opinions we have expressed – and the work we have done – in the Foreign Affairs Committee and in other committees on the Stortinget. So to some other dimensions that may not have been so much commented on in the debate so far. The research dimension is very important. I think research also shows presence. I am thinking about research in the polar areas and research on Svalbard. Also, research in Antarctica is important, although it is not part of this Communication. We experienced that Norway is in the process of being overlooked, among other things. by Germany in respect of the number of days of research. It should be noted, and see if it is in line with the presence we want, for example. on Svalbard. The Committee points to the need and need for exchange of training between Norwegian and Russian students. I think getting further speed on it and getting to new, exciting ways to promote exchange between students will be important in future cooperation. Finally, the Committee points out that a further and detailed assessment of the possibility of connecting the Churches to the Russian network in Nikel is required. In the Communication, the Government considers that this is something the industry should do. But I am pleased that the Committee unanimously asks the Government to take a round on this to see if it is not possible to achieve a relationship that can be cost-effective and that can be an important contribution to future and close cooperation between Norway and Russia.
ParlaMint-NO_2005-06-15.ana.ud2566e459	It's going to be line change.
ParlaMint-NO_2005-06-15.ana.ud2566e462	First just a little comment on this with a separate directorate. I think it has something Soviet over it, and it's going to be a red tape of something that's political, and to a large extent a foreign policy question. We are talking here about how we deal with the heavy players in global policy. And how it's going to be solved by a directorate isn't that easy for me to understand. With regard to the issue of the common people and the indigenous peoples, I just have to say that, by not joining the remarks made by the majority, the Progress Party has sat outside, among other things. the international conventions in existence. This has also been done in the past. I did not say that this is the only reason that the government parties have the attitude they have towards the Progress Party, but this is, what to say, an example of how the Progress Party deals in many respects with minorities and weak groups that have been used to lower votes, whether they have been finnmarks, single mothers or cohabitants. There is something about respect for Norway's international obligations, and that as a society we have obligations vis-à-vis minorities and vulnerable groups.
