ParlaMint-NO_2005-06-10.ana.ud1319e122	The representative, Jan Simonsen, will make a private proposal.
ParlaMint-NO_2005-06-10.ana.ud1319e304	The Christian People's Party is very pleased that the municipalities are building kindergartens like never before, and that over 95 pst. by the kindergartens pay the maximum price or less. The reduction in price has been highest in private kindergartens, so that the previous price differences between public and private kindergartens are almost balanced. More than 25 000 new children have had kindergarten seats, and government appropriations for the kindergarten sector have increased from just under 7 billion in 2001 to less than 12 billion in 2005. In the 2003 kindergarten agreement, it was established that the maximum parental payment price in kindergartens should be introduced in two stages. The first stage was introduced with effect from 1 May 2004. Provided that the objective of full childcare was achieved during 2005, Step 2 was to be implemented with effect from 1 August of this year. The objective of full needs coverage is not to be achieved during 2005, and therefore, in line with the kindergarten agreement, the time for the introduction of step 2 at the maximum price has to be postponed. The reason why full childcare coverage is not achieved in 2005 is the structural consequences of the introduction of the first stage of the maximum price. Lower parental pay makes it attractive for parents with children in part-time working in kindergarten to expand it to full capacity. It is therefore necessary to create more new places than new children to enter kindergartens. The Christian People's Party believes that kindergarten places for all are more important than the rapid introduction of further cuts in parental pay to those who already have room, and we are pleased that a broad majority, all with the exception of the Socialist Left, want a postponement of the maximum price step 2. The Socialist Left Party claims that there is no reason to wait with a maximum price of step 2 because 15 000 children were in kindergarten queues at the turn of the year, and the predictions from the Ministry of Children and the Family say that they do. 17 000 new places in 2005. Then SV forgets the structure change from part-time to full-time. 17 000 places does not mean that 17 000 new children can fit. In 2004, we had to build 1.43 new full-time places to bring in one new child. In addition, we have to take into account those who are actually going to implement what we decide. 70 pst. in the ECON Analysis study, municipalities have replied that the deadlines for the implementation of the maximum price and equivalent treatment were too short. The evaluation of the child care reform carried out by social and business research on behalf of the KS confirms that the time aspect is what most municipalities have experienced as problematic. Only one in four municipalities believe that they had sufficient time to implement the reform. These are honest feedback from those who have felt the reform on the body. As politicians, we must listen to that. The goal of the Christian People's Party is full coverage during 2006. It's realistic. Once full coverage is reached, we will also introduce maximum price step 2. For municipalities it is more beneficial than ever to establish new kindergartens. The State completes new places of normal standard through an investment grant and an earmarked operating grant. In addition, new sites are triggering beauties from the state that cover what would otherwise be the municipality's market share for the operation of the new sites. Through the discretionary means, municipalities are also compensated for the increased costs associated with the legislation for the equivalent treatment of municipal and non-municipal kindergartens. Many children are eight to nine hours in kindergarten every day. They also deserve a high-quality offer. Therefore, kindergarten owners must be able to go beyond the maximum price if quality is affected. The Christian People's Party believes that the rule of exception related to the quality of the nursery provision should also be continued when step 2 of the maximum price is introduced. The exemption provision shall apply primarily if manning needs to be reduced to such an extent that the pedagogical offer is significantly affected. We must not be so focused on the price that we lose focus on children's everyday lives. The educational offer is the very foundation of the kindergarten. Qualified staff are essential for children to have a good working life. Therefore, the Christian People's Party believes that the parental payment must be able to go beyond the maximum price when the quality is threatened, assuming that the parental council gives its consent.
ParlaMint-NO_2005-06-10.ana.ud1319e330	The Storting Message shows that introducing the maximum price step 1 in the kindergarten reform works according to Stortinget’s intention when we adopted the reform. Practically all kindergartens have introduced a maximum price. The next step in the kindergarten reform is the introduction of step 2. The center party would like to see that we had achieved the goal of full needs coverage. Although both private and municipal kindergarten owners have made a significant effort, we lack about 15 000 kindergartens. The fact that over 18 000 new sites are under construction or planning is very pleasing, and it gives a positive signal that one can reach the target of full needs coverage early in 2006. The Central Party is committed to the decision in the Kindergarten Reform that the maximum price step 2 should be introduced when there is almost full coverage of needs. The 2006 budget proposal should provide a good indication of developments in the kindergarten sector. I think that the Stortinget should then have a better basis than today to decide when the maximum price step 2 can be introduced. I hope that the Council of State in its article can also get a little bit involved in the progress of when we can expect to get a little more firmer hold when it concerns the number of seats. After the central party's view, we should introduce step 2 as soon as it is practically possible when we have reached the goal of nearly full coverage. The centre party would stress that the kindergarten reform should be fully funded, which was also part of the conciliation process. The State contribution should and should be ear-marked until we have reached full needs coverage. I have noticed that the department of the message does not recommend the introduction of the unit cost principle at present, and that the department gives it the basis that it will result in a monthly redistribution of public funds for the municipal sector – mainly from municipal kindergartens to private kindergartens. The message says that without reallocation, this will result in an extra cost of NOK 1.3 billion per person. years. It is also shown that this would be contrary to the kindergarten agreement on state full funding. The message also points to a pressed community economy as an argument for not joining it now. I note that the Ministry recommends instead a combination of the cost-coverage principle and the unit-cost principle, with the changes KS has made in its hearing response. The changes are limited to the fact that changes in the grant decisions that will increase the costs of municipalities are fully covered by the State. The central part of the message is fully shared by the Government with the view that it has attached to this message. I also expect that when we get the 2006 budget proposal, we will have a review of the economic situation when it comes to both private and municipal kindergartens, and that a proposal will be presented on how the Government has planned this funding. Otherwise, the setting shows that there is a relatively wide cross-political settlement in relation to the kindergarten reform, even when it relates to the maximum price and full coverage of needs. Now we have introduced step 1. The centre party hopes that we will get full coverage early in 2006, and then it will be step 2. Like the representative from the Progress Party, I would like to point out that we do not have to ignore the fact that there will be a new and greater need for childcare space when the price is significantly reduced. We're set to follow this up, and I'll finally stress that only when everyone who wants to do that gets a kindergarten, do young children's parents have real choice when it comes to the form of care for their children.
ParlaMint-NO_2005-06-10.ana.ud1319e349	I'm glad to say that during the period of ageing that is about to happen, kindergarten policy has been more focused than ever. At the tame of the period, Stortinget also deals with two important issues about kindergartens. Odelstingen will be considering proposals for new kindergarten laws later today to strengthen the prerequisite for the kindergarten to provide children with care and a good educational offer. The Storing Communication on the evaluation of the maximum price addresses the largest reform in the kindergarten sector so far. The Communication explains the results of the kindergarten reform so far and the way forward. Tomorrow it is two years since the kindergarten agreement was concluded. The main elements of the agreement were launched just over a year ago. The evaluation is broadly positive, especially when we consider the scale of the reform and the short time period for its implementation. We've managed to increase the rate of expansion, so the goal of full coverage is within reach. We've met the objective of introducing the maximum price. We have, through new financial instruments and the equivalent treatment regulation, maintained the operating conditions of introducing the maximum price, despite the fact that the cost situations of kindergartens and municipalities were initially very different. The latest development figures and forecasts show that more kindergartens are being built now than in a long time. Many new children have been accommodated in kindergarten in 2004, and there has been a significant increase in the number of full-time jobs. Measured in the number of hours of residence, the development of the sector is about five times as high in 2004 as it was at the end of the previous metropolitan period. The Government considers that the remaining development will have been completed during 2005 and 2006. I am pleased that the majority at Stortinget agrees with the Government that full coverage is most important now, and that the maximum price step 2 is not implemented until full coverage is reached. The evaluation also shows that the introduction of the maximum price has in all cases had a desired effect. The housing payment is reduced and the price differences between private and municipal kindergartens are almost balanced. Almost all parents with children in kindergarten pay the maximum price or less. The evaluation also shows that some municipalities and kindergartens are in breach of the regulations on sibling moderation. I will follow this up, and I will make sure that the parents are familiar with the possibility to complain about the determination of the parental payment. The notification also deals with economically equivalent treatment. The main objective of the first phase of the phase-in of equivalent treatment has been to enable kindergartens to introduce maximum prices despite large variations in cost levels. The evaluation shows that this objective has been met. From 1 August this year, the next phase of the phase-in of equivalent treatment is initiated. Six out of ten private kindergartens will then receive increased government grants. The goal of the Government is fully equivalent treatment through equal grants to all kindergartens in each municipality. The government will return to this issue in the 2006 budget. Although some elements of the kindergarten reform remain, I am pleased to be able to establish that the main frameworks have been established, and that we are closer by achieving the objectives of full coverage, lower parental pay and economically equivalent treatment. This has brought us a long step towards real freedom of choice for young children's parents.
ParlaMint-NO_2005-06-10.ana.ud1319e366	It's going to be line change.
ParlaMint-NO_2005-06-10.ana.ud1319e370	I have a question for the Council of State regarding the relationship between the maximum price and the rate of expansion. We've already put in place a maximum price system, and you might say that if you could get paid freely in the kindergartens, you might have built up faster, because then there would have been more money to make, you could push more of the bills over to your parents, and investors might then have a greater chance of profit. But now we have a max price regime in place. And then we're talking about introducing max. 2, which is really just moving some of the expenses from the parents over to the state. It will reveal a greater need and thus make the queues longer, but the queues already exist, they are just not visible, because of the high kindergarten price. On the contrary, the expansion of kindergartens may go faster, especially in those municipalities that already have kindergarten coverage, but also in those municipalities where the queue is longer, there will be further pressure to build faster. Can the Council explain to me why a maximum price of 2 will actually delay the development of kindergarten? In my reasoning, it's actually the opposite.
ParlaMint-NO_2005-06-10.ana.ud1319e377	Firstly, I would like to state that in the kindergarten agreement it is stated that the maximum price step 2 is to be introduced on condition that we reach almost full coverage in 2005. That's my starting point. We don't seem to be able to reach it now. Then we are concerned that the introduction of step 2 may have consequences that may have a negative impact on the development of those municipalities that have not achieved the goal of full needs coverage. Some of the reasons are that there is a huge reform we are implementing, at a very rapid pace. This has been a major challenge both for municipalities and for private developers. The suspension is primarily justified by the desire to allow all municipalities to land with full child-care coverage before changing the framework conditions again. We believe it is more important not to put ourselves in a situation where we can inhibit the good development operation we now have.
ParlaMint-NO_2005-06-10.ana.ud1319e384	The message says that you have a forecast of approx. 17 000 kindergartens to be built in 2005, but these figures are very uncertain — that is forecast. I want to ask the Council of State if she's getting a little bit safer on those numbers. In addition to that, I also wonder if she has any predictions about how many people will be without a children's playground offer from 1 August 2005.
ParlaMint-NO_2005-06-10.ana.ud1319e391	This is a difficult question the representative comes up with, because the forecast figures are very uncertain. The forecast figures we got from the municipalities a little earlier in the year suggested a planned construction of 17 000-18 000 new kindergartens this year. That's really nice, and it's really nice if you actually had to do it. But also for last year and the year before, we have the experience with the forecast figures you had at the same time in the previous years, that some of these places were still not finished during the year you thought. Some places were, for example: first completed at the beginning of the following year. That's why we're saying that the prognosis numbers are uncertain. We don't dare be exact about this. What we know, however, is that 15 400 children were on the waiting list at the beginning of 2005. It's relatively safe numbers. Then there's also a great uncertainty that we don't yet know if we still have to build 1.43 full-time places per. child – that is, how many more people will go from part time to full time. It's also an uncertain number.
ParlaMint-NO_2005-06-10.ana.ud1319e400	It has been a problem to get municipalities to maintain the nominal level of their efforts in kindergartens. There has been a decrease every year since we made this agreement, and the decrease from 2003 to 2004 was also quite significant. I would like to ask the Council of State what measures it might be appropriate to use in relation to those municipalities that do not maintain their nominal level. You're totally dependent on them doing it. Another question concerns the cost model, which has failed to work out too many kindergartens. Some kindergartens are now taking out large millions of profits, while others, private kindergartens, have problems with pay payments and are threatened with bankruptcy and closure. What model does the Council of State think we should put in place in the future in order to achieve more stable operation in private kindergartens?
ParlaMint-NO_2005-06-10.ana.ud1319e407	The kindergarten agreement presupposes that the nominal contribution of the municipal sector to the kindergartens should not be reduced in proportion to the level at which the conciliation was concluded. What the representative here is asking for, we have actually described in the circular on beauty products allocated to kindergartens in 2004. I quote from it: ‘It is a prerequisite that the discretionary means should not compensate for a reduction in municipal self-financing.’ At the very end of the circular, it says: «Communities which have not benefited from the grant in accordance with the assumptions must expect to repay the corresponding share of the grant» – after the financial statements for 2004. So this is explained in the writing about beauty products that went out to the municipalities this year. We will get the final COSTRA numbers only approx. June 15th. On the basis of these figures, we'll go through and see how we're going to deal with this in relation to the municipalities. To the last question: I think that in some way something has been said about this also in the notification of the maximum price. We now have a two-part system, both a cost model and a unit cost model. We're moving more and more towards a unit cost model.
ParlaMint-NO_2005-06-10.ana.ud1319e430	The fact that there is a great deal of uncertainty in predictions is quite understandable. But when it applies to the year of introduction of step 2, a total increase has said ‘1. August 2005». So, ‘in the course of 2006’ has flourished, and in the media lately, I have reported that it has been a great deal about ‘out in 2007’. I think it's important for young children's parents to try to get a little more concrete pointer when it comes to time – it's not a decision that the Storting has made in any way. My question relates to something that I was also a little bit concerned with in my speech: when the Council of State presents the 2006 budget, what kind of language did it use to gain experience? Can it be obtained from that numbering material e.g. mention any time during the course of 2006 that this should take effect from now on?
ParlaMint-NO_2005-06-10.ana.ud1319e444	We have said in the Communication that we will come back to this issue in the 2006 budget. The numbers that are then taken into account will also be based on the absorption in kindergartens. To what extent we've got the exact recording numbers, I can't answer, but it's clear that we want better numbers than what we want per. the date of issue. I can't say from the pulpit today that we want to come with, for example. the maximum price step 2 from a certain date – it is too early for me to say. We have also said that in the communication.
