ParlaMint-NO_2005-02-10.ana.ud635e33	The called alternate of the Telemark County, Inger Stokstad, has taken the seat.
ParlaMint-NO_2005-02-10.ana.ud635e234	I can join the ranks of congratulations when the southern part of the country can now improve a very busy road section. The centre party has previously agreed that one or more of the parcels of the route Eyegardsdalen-Animal Park may be built with OPS organisation. We know that the couple Grimstad-Kristiansand has had a bad accident count. So it's positive that this distance can now be improved. As mentioned before, the parcel we are now going to make is the largest of the three pilot projects agreed as a OPS project. The centre batch has previously opened to support the OPS test project, but it has been suggested that the projects be evaluated before one opens for more than three of which we are now adopting the last one. When it comes to evaluation, the Central Party, together with the Workers' Party and the SV, has again pointed out that we need to have an evaluation of the OPS test projects before we proceed. We mean that it's trying out the OPS funding method and evaluating the scheme gradually, that we can figure out whether the scheme is socio-economically reasonable. We often talk about getting as much money as possible. When the Central Party is busy with the very evaluation section, it's because we have to be willing to assess whether this funding method is the one that gives us the most way for the money. Therefore, it is important that we look at different elements of the evaluation. I'm not going to go into the different elements - Oddbjørg Ausdal Starrfelt also talks about that piece - but that's different. what will be the level of interest, the size of the bonds and the consequences of the bonds using the OPS method. If the evaluation proves to be positive for the benefit of the OPS project, it is clear that it may be a method to proceed. But we have to be open so that there may be negative elements in this method, and therefore I think we should take the time to evaluate before we open up to many new projects like this.
ParlaMint-NO_2005-02-10.ana.ud635e247	Let me share the reflections expressed both by the Workers' Party and by the Centre's Party on OPS funding. I think we deserve a thorough evaluation. I also think we'll see that there will be positive elements in that way of financing. The positive elements may also need to be passed on in new forms of financing that do not necessarily involve Public Private Cooperation. We have also supported that there should be three pilot projects, this is one of them. But I can't, after the news yesterday, stop having a little reflection in the end. Yesterday, the figures from the Statistical Central Bureau showed a sharp increase in Norwegian greenhouse gas emissions. They've increased by 9 pst. since 1990. So we're going to be 8 pst. over the target we will achieve by 2008-2012. What's increasing the most is offshore. Number two is road traffic. When we make the decisions about a little stump that we're making today, it might be hard to take the big perspective. It is difficult to see that it is the sum of all such individual decisions that make car traffic grow, which makes emissions grow. At the same time, we must recognise that we are in favour of the transport sector per year. Today, there is no effective strategy to reduce emissions of hazardous greenhouse gases. In the area we're talking about, there's no big plans for a railway development that could have taken away some of that traffic in a more environmentally friendly way. I think there are problems we have to take inwards, spend more time in the future and be able to pull with us when we discuss individual projects. We have come so far that climate change is about to happen, and we have to dry down the question every time we make a decision, big or small: will this help to increase emissions, or will it help to reduce emissions? It's a shame to say that, but this is a matter that, in isolation, is likely to help increase emissions. But we've said that we're going to be involved, because we see that it can also help save lives, given that it's a road that has too bad a standard of safety. But the matter also deserves to be reflected in the fact that it has both sides in it. Then we'll get back to what we can do to prevent that road construction from leading to strong traffic growth in the regions, so that the South too can achieve sustainable development in terms of the use of transport other than cars.
ParlaMint-NO_2005-02-10.ana.ud635e258	E18 between Oslo and Kristiansand is one of the most important tribal routes we have here in the country. The road is of great importance to both population and business. The current standard of the section Grimstad-Kristiansand is poor in terms of accessibility, road safety and the environment. The road today is for a large part close to both residential and open air areas. There are very few means of passing by, and there have been many serious accidents on the route. From 1999 until now, 177 people have been injured or killed on the route. The Grimstad-Kristiansand project is the last of the two projects included in the Aust-Agder package. The first part of this package was the route Brokelandsheia-Vinterkjær, which was opened for traffic in the autumn of 2004. When the Grimstad-Kristiansand project is completed, 74 out of 110 km on the E18 through East Agder will have a good standard. This is a very good project, which will bring benefits to road users and businesses by significantly improving road safety and accessibility. I am pleased that the Committee on Transport also agrees that this is an important project and that the project will have a major positive impact on the region, the business community, the drivers and the environment. I have noticed with pleasure that the majority of the committee is pleased that the Government has followed up the Storting's treatment of the national transport plan by making the road a four-field road instead of a two-field road, which was originally planned. There has also been a strong local desire to do this. The government attaches great importance to building a forward-looking and safe road. The project includes the construction of a total of 38 km by quadruple road and shall be carried out as a OPS project. The total cost is probably NOK 3 billion, divided by SEK 2.7 billion on the Øygardsdalen-Dyreparken route and SEK 300 million. kr on the route Tierparken-Rona. This project is the last of the three OPS test projects we have here in the country that several people have been involved in. OPS is a supplement to the traditional implementation of road projects, and I believe that the OPS model can provide us with useful knowledge and an important basis for comparison. I would like to stress that my view of OPS is that there is no sesame sesame solution to what we experience as a scarce economic framework in the transport sector. The use of OPS does not change our main challenges, namely a great need for transport investment and for getting more out of every penny we spend on all types of projects. Through these three pilot projects, we will learn more about the appropriateness and usefulness of using other and new forms of organisation for the development of transport. The Ministry will make an overall assessment after the acquisition processes have been completed. The OPS project E18 Grimstad-Kristiansand will be financed by a continuation of the toll facility referred to in the East Agderpakket, see: St. pp. No 30 for 2000-2001. Reduced toll revenue and increased costs resulting from the construction of the road as a quadruple road prolong the tolling period by five years. There will also be a real tariff increase of 20 pst. when the road is opened for traffic. There is local political support for such a scheme. I am pleased that the Committee has joined the Government's proposal to implement the E18 Grimstad-Kristiansand as a OPS test project with partial toll financing. The road service will immediately start the acquisition process of the project.
ParlaMint-NO_2005-02-10.ana.ud635e279	It's going to be line change.
ParlaMint-NO_2005-02-10.ana.ud635e283	The project is positive, but I am pleased that the Council of State is also quite sober about whether this can solve all problems in the road sector in the future. It's a paradox that we have enough money in the state, and yet let us borrow private money to be repaid over a whole generation. This has some elements in it that we need to look closer to; we need to see if we can do it another way. So the Council of State said a few words about evaluation. I could have thought that she had been a little more specific about what she wanted to evaluate. At least we see an increase in pressure on this: the combination of low interest rates and many cars makes it tempting for a lot of people to come to both the council and us and say that here we have a good project. The sum of such projects may be quite demanding, although the projects individually are good. So I want to ask the council: how many projects does she care about at the same time? Furthermore, I have to say that once I have looked at the organisation card for the projects we have, it is not particularly clarifying how the responsibility is. Is the Council sure that these projects will be organised in a way that makes it clear who is responsible for what?
ParlaMint-NO_2005-02-10.ana.ud635e292	It is true that in Norway we are in a unique situation in relation to the economy to which the country is affected, to put it this way. At the same time, I also see that there is quite a consensus on the principles underlying the use of public funds and that the Workers' Party is also involved in the leadership of the action rule. I think that makes sense, precisely for the sake of the generations, that the representative here was in. That being said, I would like to stress that we have not started more than the three long-term pilot projects in respect of OPS on the roadside. We've been aware of this because we've wanted to have experience with it. I am concerned that the precise roles and responsibilities should be clear. That's what we're adding up to, but now we want all the way to see if they're clumsy clear. Experience so far is good, but there has been a little too little time for us to draw the big conclusions, and it is important to carry out evaluations along the way.
ParlaMint-NO_2005-02-10.ana.ud635e299	Several have not asked for the word for a line. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2005-02-10.ana.ud635e304	I noticed that the case rapporteur mentioned several times in his post that this was a jubilee day for Southern Sweden. Yes, it is a jubilee day for the South, and I have been looking forward to this day for many years. As a big representative from Aust-Agder and from Sørlanden, I would also like to say that this is a happy day for my part of the country - one day I have been looking forward to experiencing for a long time. We know that there has been a bad tribal road on the South, actually one of the worst in the country. Of course, the fact that the South is now finally being accommodated with one of the largest continuous road projects in the country is very positive for the whole of South Africa and for both Agder countries. With this I will give great praise to the many forces that together, on behalf of the Agder forces, have for a long time fought intensely for a better E18 in the South. Today we have to be satisfied with the counting after several years of fighting for a better tribal road in the South, as it is now finally clear that there will be a large-scale expansion of the new four-field road from Grimstad to Kristiansand. It is a sorely intrusive road development that is about to start up, and that will mean a great deal of positive for the country in all contexts of the years to come. Not least because of the very negative accident rate that we have had over many years at the current E18 in Agder, we are now looking with great expectations to a much safer and safer road. When the new four-field route is put into service in 2009, the number of fatal accidents will be significantly reduced. Of course, the Progress Party welcomes the fact that the project can now be implemented as an OPS project, and believes this will be both an effective implementation and a rapid progress of this entire very large road project to around DKK 3 billion. The only worm in the beggar is that all the other batches once again choose to resort to this horrific and unnecessary toll financing. On the other hand, the Progress Party believes that it is, of course, the state of search that should finance this road project in its entirety, and we are therefore opposed in the strongest number of decades toll collection and extra-fleet of the drivers in the South. The Progress Party therefore proposes that the project be financed entirely from the State budget, based on optical reading per year. the passage and payment over a period of 10 years from completion in 2009. I hope, therefore, that it will be possible to remove every toll station on the E18 as soon as possible, but until then, after all, we will be well pleased that what is to happen now is a historic event that will be of great and invaluable importance to South Africa in the future.
ParlaMint-NO_2005-02-10.ana.ud635e317	Yes, there's a certain hallelujah mood on the East Agder bench today, for this is a great day for the county. Today's decision opens up a major work on the E18 where most, 33 km away from a total of 38 km, are located in East Agder. It's almost 50 years since this road section got a standard lift. The standard that was good in 1960 is too mature for the scrapheugen, and the time is far more in favour of raising the standard not only to today's requirements, but to future requirements. With the decision we have today, we achieve this. The section has four areas with middle parts, and considerable funds are invested in the running and cycling routes and in facilitating public transport. As I said, a happy day for Aust-Agder. A lot has happened in the road sector in East Agder in recent years. Three months ago, as the Council of State said, a new parcel on the E18 east of East Agder was opened by the Council of State. Now give the starting signal for the large extension west of the county. Completely developed, that means that approx. 70 pst. by E18 through the county is of good standard. What's left is the distance between Arendal and Tvedestrand. This route has received a very good comment in the setting of the national transport plan, and I know that the municipalities concerned are doing well in the planning process, so that this route can be included when the national transport plan is to be rolled. I believe that there is reason to commend both the Council of State and not least the Committee for the expeditious finalisation of this matter. It was important that the Council of State got four blocks into the proposition. The Committee adopted its rapporteur-general's opinion in mid-January, and now, on 10 February, the matter is under consideration in the Stortinget. It says that respect, and I would like to thank the rapporteur and the committee for a quick but thorough work. This is the maximum OPS test project so far adopted. That this organisation has also in this case given faster progress towards decision making, and will make faster progress during the construction period, I feel quite certain. Faster progress is speeding up completion, providing more efficient use of both financial and human resources – all for the benefit of users. It is therefore good that the large majority support both the project as such and its organisation. I noticed that the Progress Party does not want to receive toll funding. It's not surprising, but there's reason to remember that the funding of the Progress Party would probably not have given a new way on this route for the next 10-15 years. SV’s arguments that a large-scale bet on the quadruple motorway would impair the competitiveness of the rail compared to the road cannot be considered to apply to this route, as there is no such route and has never been a railway on this route. The deployment of any coastal railway is so advanced in time that this route is likely to have been repaired both once and twice before it had to arrive. That may have been said before, but I repeat it: this is a great day for East Agder - a great thank you to the committee's majority for great work!
ParlaMint-NO_2005-02-10.ana.ud635e330	Yeah, this just gets better and better.
ParlaMint-NO_2005-02-10.ana.ud635e333	Today, hopefully, when we decide to build a new four-field road between Kristiansand and Grimstad, it will be the largest single investment ever made in East Agder: $3 billion, 3,000 million. kr. If someone a few years ago had said that in my lifetime I would drive on the four-field road from Grimstad to Kristiansand, I would not have believed them. So even though I am 60 years old this year, I now have a realistic hope of being allowed to drive on the four-field road in 2009. There are now three pilot projects for road construction with Public Private Cooperation that provide this rapid development. Two of these projects are in Agder, the Lister package of SEK 1.3 billion and now this project Grimstad-Kristiansand. There is nothing to hide that there are many who are envious of what we now get into Agder. Maybe it's time to say that it's in the South that it happens, and it happens because the whole part of the country is together. For many years 30 municipalities, two county municipalities, the business community and all the population representatives have been working together on this road project. So the most important thing in society is that personal injury accidents are going to fall dramatically and that environmental benefits are high. The advent of four-field roads means that the five miles from Grimstad to Kristiansand will be about Half an hour. On the Arendal-Kristiansand route, 150 000 people can benefit from a common housing and labour market much better. The University of Agder is also on the Kristiansand-Grimstad-Arendal section, and people in East Agder have Kjevik as their main airfield. The road section, which is the most trafficked and located in the centre of Agder, will also have a major impact on regional development. It may be beneficial for the county merger debate that is now taking place in East and West Agder. Indeed, road construction helps to link the area more closely. It's maybe this and new road constructions that will now make folding easier.
ParlaMint-NO_2005-02-10.ana.ud635e342	Several have not asked for the floor on case No. 2nd@item: inlistbox This happy debate is over. [[Votation, see below]] Then it might be a good idea to end with a Trysil poem: "Oh, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go, go!
ParlaMint-NO_2005-02-10.ana.ud635e359	Then Stortinget goes to voting in case No. 1 and 2 on today's map.
ParlaMint-NO_2005-02-10.ana.ud635e380	During the debate, Mr Nistad put forward a proposal on behalf of the Progress Party. The proposal reads as follows: ‘1. The size consents to E18 Grimstad-Kristiansand being conducted as a OPS test project.2. The project is financed by the State budget with payment per pass based on optical reading.3. The amortisation period shall be set at 10 years from the completion.» This proposal will be replaced by the Committee's vote.
