ParlaMint-NO_2005-12-13.ana.ud1051e57	The representative of Bjørg Tørresdal will make a private proposal.
ParlaMint-NO_2005-12-13.ana.ud1051e219	We're on track for a new and better reality to be found not so far from here. It's hopefully in the vicinity of what the heart understands. This was written by the poet Kate Næss in "Blindgangere" published at Ashehoug in 1969. Yeah, we're on track. After four lean years, cultural life now experiences a new boost. The red-green parties opted for a cultural promise, and the new government has fulfilled the first part of the promise. 166 million more cultural crowns are in place, and we've come a little bit further on the way to achieving the 1 pst goal in 2014. At the same time, I have to remember the cultural debate last autumn where both the Advance Party and the Christian People's Party Ola T. Lånke accused us of overbidden policy when we proposed a corresponding increase in the budget, as the red-green government has now done. It tells us that we're serious about the cultural promise, and our ambitions are realistic. This is only about political will, and we are believed in, including by the cultural workers. Now we no longer hear that it is unrealistic, but that there is no profile of the escalation of the cultural budget by the red-green government; that it only lubricates thinly beyond for all good purposes. Anyone who knows the 15 points of the Cultural Lift will see that there is a clear profile on the basis of the increase: In the Soria Moria Declaration, we say that we should introduce a simple and general cultural law.We propose a 1-million grant. kr to launch the announced living conditions survey for artists.We will ensure that municipalities are significantly improved next year. This will have an impact on the municipal cultural effort and, among other things, on: ensure that many of the municipal cultural schools have better conditions. We're supporting the Norwegian film success by adding another $14 million. kr for film purposes.Our aim is to produce at least 20 long films each year, and 25 pst. the cinema search shall be in Norwegian films. We are therefore increasing production support, and at the same time we are increasing the allocation of regional film funds.We are facilitating a commitment to music, as we have said in point 6 of the cultural promise. We want to spend more money on the purchasing system for new Norwegian phonograms.We are stepping up the tour and organizer support for pop and rock to allow more people to experience music, and more venues are being developed. We give the first money to put in place a national scene for folk music and folk dance in Oslo, and money is spent on the pre-projecting of experience centers and networks for the dissemination of pop and rock history.As we have promised in the Cultural Promise, dance art also gets extra, and there is extra initiative on stage art.We also fix the cuts in Freefonds, and ensure that teams and organisations still get money on the state budget and not just through the key.We have an ambition that all young people should be guaranteed the opportunity to take advantage of different cultural offers, by establishing a system of cultural cards for young people and students. Through our proposal for a budget, we set up a test scheme with cultural cards for young people.For the red-green government, it is important to strengthen the Norwegian language and to invest in Norwegian literature. An important measure in this respect is the establishment of a digital neo-Norwegian lexicon. So we're proposing to spend 1.5 million. kr to start this project. In addition, we provide Norwegian literature with an additional boost in the future by supporting literature festivals and book cities.Samian culture and identity are also promoted in the Cultural Promise. We know that in recent years Sami culture has blossomed. In our near past, the Norwegian authorities have pursued a policy towards the Sami minority that we are not particularly proud of today. In parallel with the fact that the Storting has now given the people of Finland and reunite the right to self-determination, it is the Workers' Party's ambition that, together with a strong escalation of the appropriations for Sami cultural purposes, this will contribute to the strengthening of Sami language, culture and identity. Through the increase in the cultural budget, the allocation to the Sameting cultural budget is increased by more than 20 p.m. In the cultural promise we also promise increased support for multicultural purposes – also here it is delivered. There will be increased festival support for the Mela Festival and the Great World. And in the last of these 15 points, we're going to hit a blow for the Cultural Boat. We're now saying that we're going to get a proper investigation of the Culture boat, so we're going to be able to see if it's realistic to carry it out. Point by point, we've followed the cultural promise. It is a clear and clear profile of the new cultural policy of the red-green government, namely that we are following the cultural promise. In the evening post we could read on Friday that the new opposition now promises an ideological settlement with Gish and the red-green cultural policy. I must be ashamed to report that through this budgetary process I am unable to see any indications of ideological settlement with us. Basically, the Christian People's Party, the Left and the Right give their full support to the Government's proposals. If I were to try with good glasses to interpret an ideological settlement, it must be that these parties do not want to add the National Pop and Rock Experience Center to the Trendelag. The ideological thing we can then draw from this is that they want to centralize the cultural crowns of Oslo, while the Workers' Party and the other red-greens want to contribute to the spread of the cultural offer across the country. If this is the case, of course, we are ready to take the debate right away. But a clear ideological distinction we can't say it's there either. On the other hand, as I mentioned in the reply to Mr Grimstad, there is a clear ideological distinction in cultural policy, namely in the area of press support. It will be exciting and interesting in the coming years to follow the ideological debate between the former government parties in this area. The real distinction in cultural policy is between the Progress Party and the others. Over 800 million. kr they cut on the cultural budget. It's dramatic. With the Advance Party at the rudder, we would have had a poorer cultural life, dominated by one-sided commercial expressions. When the Culture Fund is cut by 40 million. SEK and post 74 under the Council of Culture cut by nearly 50 million. kr, it is dramatic for all these young artists trying to establish themselves. It helps to give far fewer opportunities. For the theatres, it's also dramatic when their budgets are cut by almost 100 million. kr. Then there won't be a lot of children's theaters left at the Rogaland Theatre or musical at the Dream Team Theatre. With the cultural policy of the Progress Party, we are moving from cultural diversity to cultural simplicity. A cultural life governed by the Advance Party may not be so different from what we saw in the former Communist regimes, but today with a market liberalistic face. There are now a majority to add the new pop and rock experience centre to the trombone layer. During the consultation round, the trøndelag option has been supported by heavy industry players, whether it is produced differently in the media. Trondheim and Namsos have delivered much to Norwegian popular music over time. Since the 1950s, Trondheim has had rock traditions. Many groups and musicians have their origins in Trøndelag. We can mention the link and Åge Alexandersen, TNT and Dum Dum Boys. There has been a wonderful turnaround in this case since the first time was dealt with in the spring of 2004. At that time, the Progress Party was the most active trailer of a national pop and rock centre for Trøndelag. The representative Per Sandberg accused the majority of fear of thunder at the time, since one would not be involved in the proposal. Where are Per Sandberg and the other two Trøndelag representatives from the Progress Party today? Today, the Progress Party is voting for the National Pop and Rock Experience Centre to be added to Oslo. Has the fear of thunder taken over even in the Advancement Party? And where is the representative Sandberg, who in his speech in connection with the Culture Communication called for individual representatives who were willing to stand on the barricades for a good project and for the trombone rock? When it really happened, it was Sandberg who was not willing to stand on the barricades. To close almost as I started: We are on track – on the trail of a better life for cultural life in Norway.
ParlaMint-NO_2005-12-13.ana.ud1051e304	It's going to be line change.
ParlaMint-NO_2005-12-13.ana.ud1051e307	I will draw attention to St.meld. No 25 for 2003-2004, economic framework conditions for film production, in which the majority of the Committee, which then consisted, inter alia, of The Progress Party and the Labour Party were too incentive schemes to help produce more foreign films in Norway. After the election it seems that the Labour Party has forgotten this. This is why the Progress Party has presented a proposal asking the Government to put in place incentives to attract foreign film production to Norway – there may be reimbursement schemes or tax arrangements. The answer from the government parties is to return to the realities of the proposal. The fact is, the Storing has decided the realities, it's just about putting this into life. My impression is that the government wants to train this. My question is: will the representative Gjul put pressure on the Minister of Culture to introduce what the Minister of Culture actually was a few months ago?
ParlaMint-NO_2005-12-13.ana.ud1051e316	I don't think there's any need to put any pressure on a culture minister who's so busy with film, and who saw until those degrees deliver a good product in film, which is worth 14 million. kr extra on film, which has said that in the years to come we will also do it. In terms of the incentive arrangement for foreign films, we've been for it before, and we're for it today as well. What we're saying is that for 2006, we know that the need will not be there, and that's why we have said that we're going to come back to it. The Progress Party knows just as well as the rest of us that a government that has had 24 days before it submitted the budget cannot be resolved in all flocks. But what I can guarantee is that we are going to have an offensive investment in Norwegian films in the years to come, too, and to facilitate that foreign filmmakers also come to Norway and produce films.
ParlaMint-NO_2005-12-13.ana.ud1051e325	I have listened with pleasure to the representative Gjul's review of all the myriads of good actions that represent a clear profile. One of these profile-creating measures is rally-VM, which we also think is a good measure in many ways. But it's a question of whether it's an event that really belongs on our budget. This is an event that is primarily a sports event, we consider motorsport to be part of the sport. It is also an event — or rather, several events — that has its reasons for its importance for this area. Would it not then be right that this found its funding primarily within the resources of sport and within the Ministry of Industry’s chapters, type SND and others??
ParlaMint-NO_2005-12-13.ana.ud1051e334	I note that the representative from Oppland is a bit counterproductive in the proposal for a rally-VM. I'm sure that if you go back to maybe not exactly the Right Elections in Uppland, but to most people in Uppland, one will feel that the message is clear: Rally-VM you want in the inland region. Most people support it. It is quite clear that it will have an enormous impact on that region in terms of business development and business creation. If we're going to get to this solution at all, you have to spend money on the budget. But as I see it, this will be expenditure on the acquisition of income. It will contribute to an enormous focus on the rally World Cup and Norway, and I am convinced that it will bring great joy to both the inland region and the representative Thommessen in the future.
ParlaMint-NO_2005-12-13.ana.ud1051e341	Rally-VM can be exciting. But what we see out of the budget is that the money literally comes out. So what I'm wondering is how much money the new government is actually willing to spend on the rally-WM. There's come a proposition about the desired path for the present year and likeins a strong promise next year. The money will easily go out, while for other good purposes the money will go in. When you look at how they've been exposed, you can see that they're cutting for church purposes. It is not the case that the cultural budget has had few years. For the current year, 2005, there was an increase in the cultural budget of 9 pst. A lot of work has gone to construction, and now it's important that we increase our permissions to direct activity. So trying to make it look as if culture has had meager years is not right. If one could have continued to have an increasing pace, as our government began, I believe that we could still see bright times in meetings. What I was thinking about is the tax deduction for gifts to voluntary teams and organizations. Since the money was released in the new government, why has an increase not been supported when it applies?
ParlaMint-NO_2005-12-13.ana.ud1051e350	It is only to note that the money is loose in the new government in terms of cultural and sporting purposes. We're proud of it! I understand that the former government partners with sorrow find that this is the case, and really will not take on board that it has become a new life for Culture-Norway – a new and better existence, in fact, for Culture-Norway. If you look at the last four years and ask the cultural workers in Norway if they think they've had a rough year, the answer is quite clear that the four years of Valgerd Svarstad Haugland were quite short years, and that they've looked forward to a new red-green government that contributed more to cultural purposes. And it's obvious that when you give me $170 million. kr extra for cultural purposes, it is important. There is no doubt that with Valgerd Svarstad Haugland it was both crushed and taken money from toys that should have been extra, which made cultural workers feel that their lives were not as good as they are in the future.
ParlaMint-NO_2005-12-13.ana.ud1051e359	The cord shift is over.
ParlaMint-NO_2005-12-13.ana.ud1051e362	For the Progress Party, culture is a concept that expresses the values and qualities that individuals attribute to high self-esteem. For us, it is important to point out that what is good culture for one does not have to be good culture for another. And so it should be; this is what contributes to the diversity of expressions and forms in the cultural sector. Even more importantly, culture should be free and highly independent of political governance. The day when a political majority will decide or, where appropriate, set its profile on what to see, hear and not least feel of different cultural expressions, on which democracy has lost. I heard that the representative Gjul compared our policy with what we saw in the Communist regimes. But I must say that on the day that the political majority controls what I should see and hear, that day the Communist regime has also won in Norway on this front. And that's what we're about to see. But having a free and independent cultural life does not mean that all forms of culture are to be funded by the state. Rather, on the contrary, only when the different sectors of cultural life dare to see new ways and think of alternative funding, and not least finding some form of financial support other than public support, will I claim that we have a free cultural life. I know that many people don't agree with the Progress Party here, but it's not going to come from an ever-increasing debate in cultural forums. Most recently, private initiative and sponsorship were the subject of debate at the Annual Conference of the Council of Culture this autumn. This stands for respect. And we in the Progress Party would very much like to be involved in the further debate on the financing of culture in Norway. For the Progress Party, it has always been important that we should never forget that the money that comes from the public is actually the tax money of the Norwegian people. Of course, it's going to keep getting money from the public to the culture, of course, but this money belongs to most people. And when money's going to be spent on culture, we have to make sure that most people benefit and enjoy. It is not possible to undermine the fact that for the Progress Party, one of the most important things in cultural policy is to take care of our traditions – and our cultural treasures. Therefore, it is very important for us that these are properly secured, both in terms of conservation and in terms of safety. Norway's population should know that our cultural taxes are well taken care of for the posterity. I do not intend, as some of my colleagues have done, to congratulate the Council of State on the budget. If there had not been such an increase in the cultural budget, the Council of State had lost all credibility in relation to what he promised in the election campaign. Having said that, I also hope that the Council of State will remember that he himself has been on the Committee on Culture and supported the Progress Party's proposal for a new distribution of the key in 2002. The Progress Party was given a majority in favour of this proposal because the present government parties supported our proposal. This contributed much more money than the government has increased its budget, both for sport and for culture. The reason why I remember The Storing about this is that we now have a responsibility to follow up the grip that the majority did at the time. In some counties, the distribution of money from the surplus to Norwegian Tipping seems very bad, in other counties it seems very bad. I hope we get some kind of evaluation of the cultural school bag when it's been a while, so we see that it works according to the intentions. So to the voluntary teams and organizations. The Progress Party has always taken forward the work of voluntary teams and organisations. The volunteers capture the latitude activities and not least the work being done for children and young people. There are an incredible number of people who benefit from the offers made by the voluntary teams and organisations, both in terms of the cultural front with corps, theatres and music schools, and also in terms of sports. Unfortunately, as politicians, we have little influence and insight into what is happening on the sport front, but I have a hope that the new Council of State will also take the opportunity to present a communication on what public funding means for sport in Norway, especially given that the economy of sports around Norway is currently somewhat unpredictable. The reason for this is that it has been decided to await the introduction of a monopoly on ATMs until further notice. However, no one has had the courage to present the impact of such a monopoly on sport, as well as on the voluntary teams and organisations, which receive most of their income from vending machines. As a volunteer minister, perhaps the Council of State should present a communication on this. I don't think it's just us in Stortinget who need clarification and for more predictability on these questions, I think the whole of volunteer Norway also has, including sport. The Progress Party shall promote proposals for two different cultural funds. We believe targeted funds provide good, verifiable results. The first proposal is a proposal to establish a fund for voluntary and participating cultural activities. We believe that it is the many amateurs involved in culture that should get better status. Specialised, professional culture for the few does not necessarily give a rich cultural life, but it does the culture where people participate themselves. We believe that it's in width that we get the most. The Progress Party believes that the voluntary and participating culture may not be the one giving the big headlines, nor the big achievement either. Nevertheless, the culture of amateurism can give the most joy and experience in the many communities. We believe it is important that the valuable local amateur culture is given a safe and stable framework. That is why we want a fund to be set up. The Fund’s return should be targeted specifically at activities for children. The second fund we want to set up is a fund for cooperation between cultural enterprises and private businesses. During the treatment of the Culture and Business Communication by the Storting, all parties expressed views on artistic and cultural activities such as good industrial policy and activities. The Progress Party wishes, on the basis of such views, to facilitate the development of viable and creative cultural activities. We are very pleased that the other bourgeois parties this year support our proposal for such a fund. Unfortunately, this time only the Progress Party has found money for such a fund, but we hope that the other bourgeois parties, and to the extent that the socialist government parties, too, can follow us – in a year or two, when the idea has matured. The Fund shall provide opportunities for cooperation between cultural and private enterprises. Here it's important to see the great potential that lies at the intersection of creative souls and everyone else. Here, in fact, both sides are potentially both donors and recipients of skills, ideas and help. Finally, I hope that all those who still claim that the Progress Party has no cultural policy, will now take on board that we have actually made ourselves big, but also small, thoughts around the whole cultural sector. It's a continuous red thread in our cultural policy, and I hope that our political opponents and also the cultural people see and understand. We're not going to ruin our cultural life in Norway. Nor do we aim to kill those who feed on art and culture. As politicians, we don't want to decide what's good or what's bad culture – we think people should decide for themselves. Cultural life is best served to conform to people's wishes. Then it becomes possible to reach more people with more culture. What separates the Progress Party from the other parties in the cultural debate is that we dare to challenge, we dare to think new, and not least: we dare to say so.
ParlaMint-NO_2005-12-13.ana.ud1051e401	It's going to be line change.
ParlaMint-NO_2005-12-13.ana.ud1051e405	I have been amazed at the cultural policy of the Advancement Party many times – so surprised that sometimes I don't know if I should take everything seriously. The progress party is the largest opposition party, so we actually have to take seriously both what those program parties say and what they say. I therefore have a question for the representative of the Progress Party, led by an introduction. When the Advance Party cuts over 800 million. kr on this year's cultural budget, which then affects freelance artists, Sami cultural initiatives, opera, films and other good purposes, how does the Progress Party think that the voluntary amateurs, the popular actors to whom the Advance Party will give money, will be able to find inspiration for being culturally active? If it turns out that the market and sponsors are not able to fill the cuts in the public budgets, where are the professional models, the teachers of amateurs and volunteers?
ParlaMint-NO_2005-12-13.ana.ud1051e412	It's true that we're cutting 800 million. kr on the cultural budget. We see a different priority than that the state necessarily has to stand there and pour out mild gifts to anyone who wants to be creative. We're absolutely sure of that, and that's exactly why, as I also said in my post, we challenge. We dare to challenge cultural life to think new, to think alternately. What's so good about this is that the Culture Council is also afraid to take this debate. I think that both the active and professional artists, the practitioners, in different sectors should be able to dry up and discuss whether it is possible to look at other funding. We see in other countries that we can compare to, that this actually, by the fact that the practitioners themselves dare to take hold of it, also generate a whole lot of new, fresh money. In addition to that, I would like to stress that the key has been changed, and we thus added 400 million to cultural life. kr per. years. I therefore believe that the volunteers have good money only if they come out to the volunteers.
ParlaMint-NO_2005-12-13.ana.ud1051e421	I have a question for the Progress Party. That's something I've been wondering about for years, in fact, and now I hope to get a good answer. It is linked to the comments of the Progress Party on the external item. I read: ‘The members of the Committee of the Progressive Party want to reduce this entry somewhat’. — That’s okay, but then it comes: ‘These members believe that ‘different items’ in a budget are illogical.’ You make it sound like the external post is kind of an unspecified, odd post. So what we're aiming for here is heading 78 to the top. 320. Does this mean that the Progress Party believes that Norwegian festivals, the Nordnorsk Cultural Council, the National Council of Norwegian Children's and Youth Organisations, the Forum for Culture and Business, the Folkeakademies Landsförbund, etc. won't get any money? Is that what you mean? What is the meaning of this comment?
ParlaMint-NO_2005-12-13.ana.ud1051e433	Yes, you can wonder what you mean, but it's not that hard. In fact, the Progress Party believes what it says that ‘different items’ are a udder. We believe that the purposes to be included in the state budget should be given their own posts, whether it be festivals, Nordic party games or whatever it may be. In fact, they should be made visible in the State budget rather than in a mixed item, which is large and incomprehensible to those who do not have the annexes. It's that simple.
ParlaMint-NO_2005-12-13.ana.ud1051e440	After the war, there has been a consensus on Norwegian cultural policy. It is based on two basic elements, which have well marked the whole of the Nordic region, namely public responsibility for framework conditions and organisation and the principle of arm's length distance. The Progress Party says that culture should be free, not least for political governance. If we're talking about direct control, that's exactly why we established the Nordic model. It was precisely in view of the examples used by the Progress Party itself in the budgetary position, namely from the Soviet Union, from Nazi Germany, etc., that we introduced the principle of arm's length distance. As I read the budget of the Progress Party today, they will remove the principle of arm's length distance. Is it possible for the Progress Party to confirm that they will not remove the arm's length principle?
ParlaMint-NO_2005-12-13.ana.ud1051e447	I can reassure the representative Lund Bergo that we might want more than an arm's length distance between us and cultural life, and unfortunately it doesn't look like the new government wants it. That's why we're writing this, because the more money the state spends on priority purposes, the closer they push the culture to the breasts of the state. That's exactly what we don't want. We want it to be open to different funding, that culture itself should be allowed to flourish freely, and not least that people themselves should decide what they want to see, hear and read. I refer to the proposal of the Advance Party in the vote.
ParlaMint-NO_2005-12-13.ana.ud1051e454	The representative Karin S. Woldseth has taken up the suggestions she referred to. The cord shift is over.
