ParlaMint-NO_2005-05-25.ana.ud521e28	The representative of Jørund Leknes will make a private proposal.
ParlaMint-NO_2005-05-25.ana.ud521e330	I guess I also think the representative, Bjarne Håkon Hanssen, should go a little behind the statistics and ask himself what this is all about. So this is the proportion of those that are under the so-called median income, which is a middle income. In fact, there may be several of them, although one increases the level of income at the bottom. I'm not saying this as an excuse, but as a fact. That's probably what's behind it. This was a statistic until 2003. Then the unemployment rate was quite high, the increase in income was high, and together it made this happen. That doesn't mean that those who really need it the most have got less. I'm asking Bjarne Håkon Hanssen to notice. Now the time off is coming down, among other things. because of this government's policy. We've got a more moderate income statement. Things indicate, also in the case of statistics on social assistance payments, that the trend is turning around. With regard to the cuts Bjarne Håkon Hanssen pointed out – without me having time to go into them in detail – they have the workline as their purpose, namely to bring people back to work instead of being on passive social security. It makes sense to bring people out of poverty.
ParlaMint-NO_2005-05-25.ana.ud521e341	Magnhild Melting Group Kleppa – for follow-up questions.
ParlaMint-NO_2005-05-25.ana.ud521e344	In 1999, the Prime Minister’s strategy was a policy for smoothing out. Then it was important to step up efforts to get more people to work. It was important with a more social housing policy, with better public services, with a tighter social security network and with a more equitable tax system. Today's government has changed strategy, from smoothing to targeted measures for the most difficult jobs, financed by cuts for the second poorest. That means that it has become more difficult financially to get sick, to get free and to be alone in this country. My question is: is the Prime Minister now willing to reconsider his strategy, not to listen to the Right, and to look at what he stood with the Center Party about in 1999, in order to avoid more ugly social cuts against the second poorest?
ParlaMint-NO_2005-05-25.ana.ud521e354	I am still convinced that we need targeted action against the poorest. It does not help the poorest if we take action for other groups. The poorest must be helped by targeted action against the poorest. We need the general welfare arrangements. We've had them in Norway for many years, and we're building them up. But they did not prevent us from having an increasing poverty problem, which we also had under previous governments — and under our common government. Using, inter alia: At the time, Social Minister Kleppa, we were able to analyse which groups are the poorest in Norway. Then I hope we can agree that we need to take action against them, because now we know more about them. We know that there are some immigrant environments, we know that it's addicts, we know it's homeless, and we know it's about long-term social welfare recipients. Yes, we took action against them! We have increased the appropriations over this period with – as far as I remember – a place between NOK 3 and 4 billion for these, and we are bringing further measures into the revised budget now. We have to keep doing that. We're also going to work to smooth out. This is not a question of listening to the Right, this is a question of helping the poor.
ParlaMint-NO_2005-05-25.ana.ud521e363	Let's move on to the next main question.
ParlaMint-NO_2005-05-25.ana.ud521e366	I have a question for the Prime Minister. The local economy is under intense pressure. It affects well-being, it affects the provision of school, and it affects the care of the elderly. The NRC reports today that fewer sick homes are available today than in 2001 and that there are fewer employees in the care of the elderly than before. Very many people understand that the local economy is under pressure. The only people today seem to have difficulty understanding that the municipalities are in a tight economic situation are the current government. The centre party does not so often agree with VG's lead writers, but even they seem to have understood the point, when it is written in a manager that when the slimming of the municipalities has gone so far as to hit old and sick, and that school offers are cut, then the knitting is too far. It should also be agreed by the Government, writes VG. The question is: does not the Prime Minister also agree that the strike against a tight local economy is too far? Today’s economic policy affects local welfare, it affects school provision, and it affects care for the elderly.
ParlaMint-NO_2005-05-25.ana.ud521e379	In the case of the local economy, the picture is quite nuanced. There are some municipalities that still have a very difficult time, and I agree with the representative of Arnstad. But there are also many municipalities that have come into a clearly better economic situation, and in general there has been a growth. That growth shall continue, including in state transfers. This has been proposed by the Government in the municipal proposal, which is now under consideration in Stortinget. When I bring out some numbers now, it's not to suggest that I know that it's difficult in many municipalities. But the truth is that, in line with what we promised in the Sem Declaration, it has been a real growth in municipal income during this period of 1.6 pst. and in free receipts of 0,9 pst. The truth is that a user survey shows that users of municipal services were more satisfied last year than they were the year before. There has also been a better balance in the local economy. The total net operating surplus for the local government sector was 2.4 pst. in 2004, against 0,6 pst. The year before, that is, a clear improvement. With regard to the care sector, for which there were special figures in the news today, we are not at the target yet. However, the truth is that if one takes into account sick leave, the number of annual jobs carried out in the care sector is about the same in 2004 as in 2003. There is an increase in the number of recipients of home services, from 161,000 to 163,000, and we have maintained the number of places in institutions and nursing homes overall. Today, there was a special focus on hospitals. In that case, one should take into account the fact that almost 39,000 new hospital and nursing homes have been built during the elderly action plan period. In particular, there have been many nursing homes, and it may be that the number of nursing homes has fallen somewhat, because several of them may be in nursing homes.
ParlaMint-NO_2005-05-25.ana.ud521e390	I don't know if operating results should be a success criterion for this government. The operating performance of the municipal sector in 2003 was historically low, so it would be lacking if it did not rise slightly in 2004. I also see that the government has often used the fact that there are no more municipalities under administration. But it is not a matter of getting out of the list of those who are under administration. It's just to cut welfare for the population of the municipalities. It's just cutting into your leg, you get out of it, but there's no good success criterion for the well-being of a municipality. I understand that the government maintains that they think things are going better in the municipal sector. At the same time, the Prime Minister says that one is not at the finish line. The question then is: What ambitions does the Government have in order to step up efforts in local welfare, after a municipal proposition where the Government proposes to grant only one third of what the municipalities feel is necessary to operate properly? How, then, does the Government intend to achieve the goal that they think they are not fully at?
ParlaMint-NO_2005-05-25.ana.ud521e399	With regard to the objectives of stepping up welfare in the municipal sector, first of all, I would like to say a strong commitment to psychiatry. It's the group that really needs it the most. It happens. We are now following the action plan for the escalation of psychiatry, including the proportion of municipalities. Another objective for the welfare of municipalities is the freedom of choice for young children’s parents, the choice between kindergarten and cash support. That welfare measure will remove a red government because they want to remove the cash support. Thirdly, the goal is for all those in need of nursing homes and nursing homes to have it, and those in need of an exclusive room to have it. We're about to reach the final goal. It's now over 90 pst. coverage in nursing homes, so we're about to reach the goal that those who want an exclusive room will get it. In order to achieve this, the local economy needs to be further stepped up. The government is set up within a totally sound framework, so the economy does not come out of control. That is why we are proposing a growth in total revenue of between DKK 2 billion and DKK 3 billion in 2006.
ParlaMint-NO_2005-05-25.ana.ud521e410	There will be four follow-up questions – first Karl Eirik Schjøtt-Pedersen.
ParlaMint-NO_2005-05-25.ana.ud521e413	I think it is serious that the Prime Minister is trying to talk away that we are constantly getting new reports that older people are being hit by cuts in the provision of services, because while older people are getting older, we are seeing fewer people working in the care and care sector in the municipalities. Getting home help becomes more difficult, getting sicker in relation to the number of older people. This is, of course, because this government has chosen to spend the money on tax relief for those who have the most, rather than giving the necessary appropriations to the elderly in the municipalities. The government has raised an economic situation that has become dramatically worse in the municipal sector during these years. What will the Government now do to grasp the reality that all people in this country see, that older people do not get the services they need, and not just talk it away with numbers that do not give a proper picture of what is happening in the municipal sector?
ParlaMint-NO_2005-05-25.ana.ud521e420	The last thing I think is Schjött-Pedersen is going to think through. I don't think the numbers I've just given you give you a wrong picture. I think maybe others should think a little bit more about what numbers you throw out. I don't intend to talk away the problems. I travel around the municipality of Norway enough to know that there are still major problems, both in the elderly care sector and in other welfare areas in the municipal sector. That's not what I'm going to talk about. On the contrary, I intend to continue working to solve these problems. The mantra to the Workers' Party that all things are solved if we don't give taxes, of course, doesn't last. The Labour Party has voted in favour of most of the tax administrations. It has been important to secure jobs. Creating new jobs is also key in the fight against poverty and for well-being. As far as the number of employees is concerned, Schjøtt-Pedersen does not say that the number in the care sector has decreased. It's actually increased by 13 000. However, precisely in the elderly care sector, the figure, taking into account the change in sick leave, is roughly stable in the number of annual work.
ParlaMint-NO_2005-05-25.ana.ud521e431	Magnhild Melting Group Kleppa – for follow-up questions.
ParlaMint-NO_2005-05-25.ana.ud521e434	My best advice to the Prime Minister in this matter is to do as he asks when it comes to poverty: to go behind the speech, to go behind the statistics and check out the real world out in the Commune-Noreg. Then the prime minister will see that it's not just about spending a billion or two on income to the municipalities, but that it's actually about lending money to the local authorities. If he wants to fight poverty, the social offices need to avoid cutting positions, and the schools need to get more and not less money. If he wants to strengthen the care of the elderly, he must take inward the fact that per. the date becomes less aid per. In fact, there is a need for more annual work than the 13 000 that the action plan provided.
