ParlaMint-NO_2005-03-02.ana.ud817e28	The called alternate of the Hordaland County, Pål Berberfjord, has taken the seat.
ParlaMint-NO_2005-03-02.ana.ud817e229	The question concerned a principle as to whether it should be such that hospitals cancel doctors, nurses and other staff in a situation where patients are waiting for treatment. In other words, you have a customer stock, an order reserve, but lack money to pay wages. We have the principle in the Progress Party that we will not accept that lack of money is the reason for reducing health capacity. When the Prime Minister asked if we were a credible partner, and pointed out that we had voted in favour of the budget, he may think it was the final budget for 2005 we voted in favour, but we have a passport to review the entire economy of hospitals and health businesses in revised form. That is why we could vote in favour of an overall package. We've always been attuned to this principle. I would like to repeat the question: does the Prime Minister share the principle that there should not be a lack of money that is the reason for cancelling doctors, nurses or other staff, as long as patients are waiting for treatment?
ParlaMint-NO_2005-03-02.ana.ud817e238	I am fully aware of the passport to come back to this in the revised national budget. I have now assured you several times that we will. Now the revision of the budget shall be an audit. This is not a completely new budgetary procedure. But things that must have appeared in the meantime, new information, could of course be adjusted for in a revised national budget. There are restructurings in the Norwegian hospital system, and I think that is also true. Applying such a rigid principle as Carl I. Hagen is now asking about, for the record, can also prevent the necessary changes and division of tasks between hospitals. That's why I can't go straight to this rigidity that Carl I. Hagen now prescribes. But we have the opportunity to come back to this in connection with the treatment of the revised national budget.
ParlaMint-NO_2005-03-02.ana.ud817e249	There will be four follow-up questions – first John I. Alvheim.
ParlaMint-NO_2005-03-02.ana.ud817e252	I am a little surprised at the Labour Party, which is so dissatisfied with the budgetary agreement with the Advance Party this time. What did the Workers' Party do last year? The situation was just as bad then. My question to the Prime Minister is based on the fact that one of our most competent hospital directors, namely Åge Danielsen at the Rikshospitalet-Radium Hospital, has gone out and announced that he must cut 1000 posts at his two hospitals if the budget is not increased for our national hospital. This will not only result in patients not being treated at a high professional level, but it will also reduce the competence of this national overall hospital. Will the Prime Minister and the Government accept such a development this year at our only national hospital?
ParlaMint-NO_2005-03-02.ana.ud817e261	The Ministry of Health is in close dialogue with health businesses, including the health business covering those hospitals, in order to review the situation. We'll be able to explain it in more detail. Of course, we will not accept a reduction in our central hospitals, which also have functions for the whole country, and which are very important for the competence. But now we must first be allowed to go through the material, see what lies behind the advertised problems, and see how they can be solved, inside or outside the healthcare companies' own economy. Health companies have been given autonomous management responsibility for the hospitals within their region. We must have the opportunity to go further into the seams before I can start to give money over the Stortings pulpit.
ParlaMint-NO_2005-03-02.ana.ud817e268	Jens Stoltenberg – for follow-up questions.
ParlaMint-NO_2005-03-02.ana.ud817e271	I fully agree with former Minister of Health Dagfinn Højbräten, who has said on several occasions that the hospital reform has helped to bring down the waiting lists, that we have reduced waiting times, that we are treating more patients than ever, and that we are getting more health for each krone in the healthcare system. It is a little unclear to me whether the Prime Minister agrees with Dagfinn Højbräten, or whether we now see that there are two different views within the Christian People's Party on how the health reform has worked. It is essential that any reform, any health system, should be financed. The problem now is that for the first time an absolute demand is made for hospitals to go zero dollars in deficit, and then the problem of spending greater than income is significantly more serious than in previous years. We have proposed savings, but we believe that the savings made by the Government and the Advance Party together are far too large, and therefore there will be unacceptable cuts in the Norwegian hospital system for months to come. It is okay to say that you should wait for the revised national budget, but it is allowed to notify even before there is more money. The party of progress and the government parties now have a very serious responsibility for the problems at the hospitals.
ParlaMint-NO_2005-03-02.ana.ud817e280	No, there is no difference between the Prime Minister and the former Minister of Health for current reform. We've had a reduced waiting time, and we've been treated for more patients. The extent to which it is linked to the reform or to increased appropriations, which one could of course also have had under another system, is difficult to say. We were given the task of managing this reform, which Stoltenberg proposed and was adopted. That means it didn't exist under the central government, which I was going to say in a previous answer. That was also the Minister of Health – that was what caused the confusion. But the reform came between the central government and the co-operation government, and the Høybräten, who was Minister of Health in the first year of the Co-operation Government, started to manage it as well as possible. I believe that both he and Gabrielsen, who have taken over, have done it in a good way. I have always noticed that when the Workers' Party is in opposition, they believe that the savings are too large, and when they are in government, they are perfectly fit. So this I'm going to write a little bit in that account. But we're going to go through this in the revised national budget, as Stoltenberg himself used to do when he was Minister of Finance and Prime Minister.
ParlaMint-NO_2005-03-02.ana.ud817e292	Olav Gunnar Ballo – for follow-up questions.
ParlaMint-NO_2005-03-02.ana.ud817e295	One reason the hospitals are struggling with the economy may be that the balance sheet requirement should be met in 2005, as the Progress Party has supported the Government in the 2005 budgetary procedure. Otherwise, we see that the deficits that occur in the hospital sector occur within areas that the Storting initially has not prioritised, much based on the fact that the input-funded part is as high as 60 pst, and that you get activity in some areas completely beyond what the Storing has foreseen. In this way, deficits arise that affect businesses that the Storting has actually prioritised. In particular, there is the Psychiatric reform, but also the treatment of drug addicts. Does the Prime Minister find it unfortunate that the funding of hospitals has as high an effort-based share as 60 p.m., and that therefore there are unfortunate distortions as a consequence, so that groups that were to be given priority are not?
ParlaMint-NO_2005-03-02.ana.ud817e304	The establishment of the 60% was the result of a budgetary settlement, and of course we stand by that. In the past, we have suggested a slightly lower ISF share to be sure that there are no mishaps. Therefore, in the 2005 Regional Health Companies Order Document, we have emphasised that the ISF system should not guide the priorities of which patients are to be offered treatment. It is clarified that resource use and efforts should be in line with health policy objectives and priorities. As I mentioned earlier, we have given particular attention to the importance of an even stronger growth in psychiatry and drug care. When the year is over, we'll see how it has worked with an ISF share of 60 pst. There is nothing wrong with that, for example. daily surgery increases and many patients are treated in a short period of time, but it is important that it does not lead to distortions, so that priority offers are in practice lowered.
ParlaMint-NO_2005-03-02.ana.ud817e309	Ola D. Lukewarm – for follow-up questions.
ParlaMint-NO_2005-03-02.ana.ud817e312	The centre party has been – and is – concerned about the hospital economy and the quality of health care in this country. We have proposed increased operating resources, and we have also proposed reorganization of debt, which we have remained alone here in the Chamber. The progress party has not supported us on it, so what Carl I. Hagen said was wrong. Otherwise, it's interesting to notice how market thinking comes in. The lead party spoke of ‘customer mass’ and ‘order reserve’. For me and the Center Party, the customer masses are people and the order server waiting lists, and then it's important to know what the Prime Minister thinks is the best medicine to get the best health policy possible. Isn't it the best medicine to increase the framework funds rather than increase the price? So to this with the balance sheet requirement in 2005, which we're now in. Is the Prime Minister satisfied with the status records and the depreciation rules for health businesses, and does he believe that this is a proper model to build on when it is now required to have a budgetary balance sheet already this year? In my opinion, what has happened to balance sheets is scandalous.
ParlaMint-NO_2005-03-02.ana.ud817e321	Then it's up to the Prime Minister to prescribe the right medicine to the health service.
ParlaMint-NO_2005-03-02.ana.ud817e324	Thank you, President! At least I agree with Joy that this is about people, about the situation of sick people. There are many who have received a better offer, but there are still many who have not received the offer they should receive. As a result, the appropriations allocated to health care will certainly increase in the years to come, just as there has been a sharp increase during this government. There has been a discussion about the ISF share of the total allocation. It has varied as far as I remember from 40 pst. and up to 60 pst. Now it's 60 pst. We'll see how it works now, but at least we've taken action so that it doesn't lead to a biased priority. Regarding the issue of depreciation rules and balance sheet status, I ask for understanding that I cannot address the relatively detailed questions now. I know that the Minister of Health is in dialogue with health businesses about this, and of course it will come under the evaluation of the reform, as the Government has announced it will do.
ParlaMint-NO_2005-03-02.ana.ud817e335	Let's move on to the next main question.
ParlaMint-NO_2005-03-02.ana.ud817e338	I also have a question for the Prime Minister. It's not just in health companies and hospitals there's trouble with the economy by day, it's not least in defense, where you're struggling with big financial problems. Back to 2001 and 2002, there have been difficulties. For 2003, we have a budget that has not been approved, and in 2004 we have a billion coins that are now being dealt with by the Supervisory and Constitutional Committee here in the United Kingdom. I am not going to run and process the matter that is being dealt with in Stortinget, because it is a matter that is being dealt with in the very most serious way. But there is reason to question some of the debatability that has been of the defence problems, and that is why I am interested in hearing the Prime Minister's view on this. In the oral question procedure on 20 October, Foss replied to a question: ‘There has never been better economic governance in Defence than under this Council of States’, i.e. under the Council of State of Krohn Devold. This opinion is in a rather strange light today, and it would have been interesting to hear the Prime Minister assess this opinion and the opinions of other government members on the defence economy.
ParlaMint-NO_2005-03-02.ana.ud817e349	Firstly, I would like to stress that the Government is looking seriously at the large budget line that has been in the 2004 defence budget. The government then deals with the matter – with great seriousness – and we have announced that we will bring a case to the Stortinget about the exceedances in 2004. The 2003 budget did not have an exceedance, but was not approved by the National Audit Office for other reasons – mainly due to misposting, which may also have had something to do with the introduction of a new accounting system, which was demanding. As a background to this case, let me also stress that the defence is in the midst of a comprehensive conversion that is very demanding, and I do not think it is possible to implement it without friction. In this way I can also refer to what former Minister of Defence Bjørn Tore Godal wrote in St.prp. No 45 for 2000–2001: ‘The defence is in a deep and sustained structural crisis’. The overall lead is that the defence migration targets are to be maintained and implemented in 2005, and there is reason to believe that these targets are being met. The Minister of Defence is prepared to provide as much information as possible, in writing and orally, as well as in a new hearing, where she would like to set up. It is true that, after the 2004 budget has been exceeded, we cannot say that governance has never been better. But this was something the Minister of Defense didn't know until after Christmas. There is no reason – with the overview we have – to believe otherwise. This will give Stortinget a good opportunity to go closer. However, measures have been taken to improve financial management in the defence sector.
ParlaMint-NO_2005-03-02.ana.ud817e362	I thank the Prime Minister for the answer. This statement from Per-Kristian Foss seems a bit curous with the knowledge we have today. But there is reason to believe that the defense is still unable to deal with the errors and deficiencies of their computer systems. In today's newspaper this is confirmed by the general inspector of the Army, Lars J. Silverberg, who says the exact same thing: ‘The data we get now is as crazy as in 2004. In January we registered a number of errors." That means that this whole computer system, Golf, which has been introduced and which has created many problems, should have been reviewed, something SV and the Progress Party also suggested at some point. But that's not the main point. The main point is whether the Prime Minister can guarantee that the problem currently facing the defence will be cleared up, so that this situation as described here by Silverberg will not take place in 2005 and that the Stortinget will be able to obtain approval from the Defence for the next year.
ParlaMint-NO_2005-03-02.ana.ud817e375	What I can at least guarantee is that the Government takes this seriously and implements measures that we hope will contribute to better financial management in all parts of the Defence. Now there is a need to draw attention to the fact that maritime defence, air defence and home security have kept their budgets for 2004. It's not least impressive for the Home Guard, which in recent years has undergone a massive transformation. It broke in the logistics organization and the Army. There's something the government looks at seriously, and we'll explain it to the Storing. The commander himself said at a press conference yesterday: I have had a picture of the reality that was not true. I thought we were heading toward zero, so balance. That's what the General Inspector of the Army also believed. It was also the information the Minister of Defence received as late as December 21. Then it turns out over New Year that this was not the case for the Army and the logistics organisation. We're doing what we can to avoid such situations for the afterlife.
ParlaMint-NO_2005-03-02.ana.ud817e384	There will be four follow-up questions – first Siri Hall Arnøy.
ParlaMint-NO_2005-03-02.ana.ud817e387	I hear the Prime Minister says that the Home Secretary, the Naval Defence and the Air Force have kept their budgets, and we are, of course, pleased about that. When the Prime Minister points out that the Government is seriously looking at what has happened, and wants to clean up, I could imagine asking the Prime Minister where he is putting the list. How much order does it take for it to be good enough? It's okay that you keep the budgets in three out of four branches, and it's okay that we've heard in this room on a number of occasions that you take a serious look at what's happening. But time and time again, you see “serious” that there is still a mess in the defense, you say you clean up – and then you come back here, and we see that it is not right. Where will the Prime Minister put the government list in relation to cleaning up the defense, and what can we expect to see in the future?
ParlaMint-NO_2005-03-02.ana.ud817e392	The starting point and assumption is that budgets are to be kept, both within the individual level and in the defence as a whole. Obviously, that's where we put the list. Now, a lot of previous accounts will also see that one has sometimes not come out exactly on the crown – if that's what Siri Hall Arnøy asked me to put on the list. But this exceedance in 2004 is, of course, serious and unacceptable. We take the consequences of that, and it has its consequences. The Government will also take further action to improve budgetary management. Now there is a report, which was ordered by the Army itself and delivered to the Army, with explanations of the exceedance that occurred there, and which was a very large proportion of the total exceedance. The commander himself said that he thought he was heading towards zero, and was therefore also surprised that there was such a gigantic crack. But the starting point is that budgets are to be kept.
ParlaMint-NO_2005-03-02.ana.ud817e401	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2005-03-02.ana.ud817e406	This is not just about the budgets of the various sectors of defence. It's about the whole conversion process in Defense. What happens and is going to happen in the future of the Defence Logistics Organisation will not least be important in that context. The review report now presented by the Army shows that there is a large degree of implementation of the transition, which is a problem. There's too much happening too fast within the defense. There are several of the parties here in the house that have warned against. We have said that things happen so quickly that unnecessary new costs are incurred along the way. We have said that jobs are removed before the tasks have been removed, and that this must lead to costly consulting and overtime work. In many cases, consolidation of the migration process is needed before moving on. A pause and an independent review of the entire conversion process is needed. The question is whether the Government will now take seriously the type of warnings that the Army's investigation committee comes with and review the entire conversion process with a view to correcting the error.
ParlaMint-NO_2005-03-02.ana.ud817e417	I agree with the representative Arnstad that it is a demanding process of conversion, and we have never concealed that. The objectives of this migration process have been joined by the bulk of population. The Minister of Defence did not have information that suggested that they could not be reached within the adopted budgets, at the time before Christmas. This is being reviewed. The Chief of Defence has delivered a report of 15 February, in which all arms have recorded their views, leading to the Chief of Defense's report. To the sample report that has now come from a sample set up by the Army and delivered to the Army: If the commander believes that it causes new information from him to the head of defence, we expect him to initiate it. The Chief of Defense will then give his comment to the Minister of Defense. We do not have the basis today to say that we are now going to stop the conversion process. We think it can be implemented as foreseen during 2005.
ParlaMint-NO_2005-03-02.ana.ud817e424	Carl I. Hagen – for follow-up questions.
ParlaMint-NO_2005-03-02.ana.ud817e427	The Prime Minister said in one of his answers that the Minister of Defence was ready to come and answer questions, and that was nice. He also said that he wanted openness. I want to ask the Prime Minister a question about something he has always been very concerned about, namely that any government has obligations to comply with the disclosure obligation to Stortinget. I would like to ask the Prime Minister, for the sake of this matter as well, whether he will personally consider very carefully – as regards the new information that came to the Department in November 2003, while the Defence Committee set up and dealt with the 2004 Defence Budget – whether it would not be natural, under strict legislation, that information from the external office, the Defence Staff, to the Department, had been communicated to the Committee, so that the Committee had the latest information from the external office. It would be normal in other budgetary contexts that if there are any views of great importance from the external level, it should be communicated to the Stortinget. Will the Prime Minister assure him that he will evaluate this very carefully?
ParlaMint-NO_2005-03-02.ana.ud817e434	We consider all aspects of this matter very carefully, and not least that relating to the obligation to provide information. It is a fundamental principle in the relationship between government and greatness, to which the Prime Minister himself attaches great importance. With the information and the overview I now have, I have no reason to say that it has not been complied with. The Minister of Defence will be able to come back to this point and to respond fully to questions raised in the advertised hearing on Friday. As regards the letter of November 2003, there was a discussion on downtime — how to calculate downtime in order to carry out the conversion during 2005. This was, in fact, an agreement between the Ministry of Defence and the Defence Directorate, and it has been stated by the Chief of Defence Sigurd Frisvold in a letter sent to the Committee of Inquiry this Monday, two days ago, explaining that, on the basis of this letter from November, they have reached an agreement and that the programme of conversion has been laid down further.
ParlaMint-NO_2005-03-02.ana.ud817e441	Marit Nybakk – to the last follow-up question.
ParlaMint-NO_2005-03-02.ana.ud817e445	The Workers' Party and the Government's parties have agreed on the important and necessary conversion in the Defence. However, there is no excuse for economic root causes, for lack of accounting competence, for not approving the annual accounts – we are talking about NOK 30 billion – for lack of governance, lack of audit control and for uncontrolled use of consultants, just to mention some factors. We've had other states that have had big shifts, without the entire financial management going overboard. Does the Prime Minister agree with Minister of Finance Per-Kristian Foss, who said in an earlier Question Time that financial management has never been better than under the current Minister of Defence?
ParlaMint-NO_2005-03-02.ana.ud817e452	Now I have answered that question, which was asked by a previous questioner. In the light of what has emerged with regard to the budget excesses in the logistical organisation and in the army, it is clear that budgetary management in these sectors is not as it should have been. On the other hand, it seems to have been satisfactory in the others. It also includes, so that you don't talk about the defense here in general. Otherwise, I agree that even though we have agreed – the parties among them – in the Storting on the objectives of the restructuring of the defence, there is of course no excuse for large budget exceedances and lack of control in this way within the branches of the defence. That's why the government takes this seriously. Then I now think that the committees involved and the Stortinget will work to find out where the failure has been. I'm dealing with the Minister of Defense and I think she's given information based on what she knew, at least with the overview we're sitting with today. Then you get to ask about this in the hearing and in other ways in the Stortinget.
ParlaMint-NO_2005-03-02.ana.ud817e459	Let's move on to the next main question.
ParlaMint-NO_2005-03-02.ana.ud817e462	I have a question for the Minister of Justice – it is important to ensure full employment. In the last two years, warning lights have been lit up too fully in connection with highly suspicious network sales activities in Norway and so-called pyramids. This type of network activity and pyramids largely conceal a large black economy and also contribute to other types of crime. It may also appear to be a great place for money laundering. In these days, we experience that Finland is helping to prosecute the Nordics involved in known pyramids. This includes, inter alia: the background to the last year's Workers' Party's call for an extended ban in relation to this type of activity, as well as registration and also obligation to compensate and increased police action. What is the reason why such an important work is waiting?
