ParlaMint-NO_2005-03-03.ana.ud1791e43	The representative of Øyvind Vaksdal will make a private proposal.
ParlaMint-NO_2005-03-03.ana.ud1791e268	Today's debate on the NSB's business has many positive elements in it. In connection with St.meld. No 6 for 2004-2005, both the NSB and the board have made their contributions, and the Ministry has followed them up in the message. It is more unusual that the parties representing the Government, especially at one point, place completely different leaderships, for example. when reading the comments on Nettbuss, on the fear that the company will become an overly large and dominant operator, or that Nettbuss will largely take care of accommodation services for trains, and that bus services seem to be far in excess of this need. Yeah, Nettbuss is big, a mess today, about a quarter of the Norwegian bus park. The message states in an indent that the Ministry of Transport is concerned that NSB AS should ‘use the synergies of being a broad group’. In the future, the NSB shall compete with international groups offering both bus and train, even ferry operations. The government party wants to postpone competition, but will at the same time bind the Norwegian player, so that there will be no real competition. It is incomprehensible with the detailed adjustment provided by the plural. The working party has been skeptical about parallel running between bus and train, but keep in mind that the freeway of express bus running has come too far under the sitting government. Friendship clippings and obstacles to a state-owned Norwegian company, while accepting that international companies operate their business in such a way, cannot stand behind the Labour Party. On the contrary, we are pleased that the NSB, with its subsidiaries, has come up from a wave valley. There are no passenger movements of the train; there is a monthly increase in punctuality. The train comes when they are going to, and is at the right time much more frequent than before. The working party is concerned that the NSB should primarily be a train crew member. It is the interaction between the NSB and the Railway Agency that can provide even better access conditions both for passengers and with a view to getting more goods on the track. The rail is screaming for initial investment and maintenance, which is what the majority also meant during the treatment of the national transport plan last year. The action plan shows that investments in the years ahead will provide better times for train transport. The working party is busy getting more goods onto the track. CargoNet invests in combined transport and has found its niche in the market. On many sections, the freight load increases smoothly, but the wagon load wears, etc. based on route charges. With small margins in transport, if we want this development, we have to give a level playing field for wagon loads and combined transports. Timber transport is a good example, which would benefit from a tax exemption. That is why the Labour Party supports this. The NSB and the board want a freer position in relation to the percentage ownership of CargoNet. The working party is disunited in this. We believe that CargoNet should be the dominant freight company for rail transport, and are concerned that at the hall to under 50 pst. can get a less focus in the NSB than today. It is organised for competition on the ground for other carriers, but the state's ownership of the NSB gives us opportunities for national leadership based on a willful policy. The working party is also concerned that the NSB should be given the opportunity to invest in an international market, especially in the Nordic, passenger and international markets. This is in line with the EU’s long-distance transport strategy, and trade with Europe depends on Norway. It is gratifying that the party of government is also united in this. We believe that the NSB, on the same line with others operating cross-border traffic, must be given access to the tax-free hall. That the government party doesn't want this is incomprehensible, but the Progress Party saves the majority. We expect this to be followed up as quickly as possible. The development of the GSM-R network and the co-location of the use of GSM associated with these investments are positive and long-term. In the letter of reply from the Council of State to the Committee, she sees it well, but the government party does not agree to this either. The NSB and the Ministry enter into agreements for government purchases of approximately NOK 1.5 billion a year. It is important that the parties agree on the amount of VAT refund to the NSB after the train company is now included in the VAT regime. Correspondence with the department suggests that at least 50 million people are missing. Of course, the train production results. I dare remember that it is for commuter traffic in the vicinity of the city that most of the public purchases go on. Cut in the boxes by not getting the sum negotiated, districts where the train supply is the only collective offer happen. I hope this will be cleared up in the revised national budget. The ownership relationship between the Railway Works and the NSB in respect of stations and other building masses is unclear. Undeserved responsibilities make their lack of maintenance. The Labour Party believes that one should continue to work to clarify this. We are familiar with the meetings that have been held, and expect the Ministry of Transport to actively contribute to finding economic solutions that the parties can accept. This is a forward-looking message. Adding her organisations thought she was good. This provides a good basis for even more improvements for the NSB. With an addition to the team and seeing the results of downsizing and manning reductions giving positive results, the transport company NSB, with primarily train operation, and bus as a complement, will be able to see future encounters with optimism. The working party does not support the conversion of NSB to NSB AS. When this happens, one must stick to the decisions that have been taken. This message gives instructions for the ownership message. We're probably a little surprised by the government party's eagerness to release and launch competition, as well as seeing how detailed the plurality is to a company that is now an AS. Talk about double accounting. The working party is concerned that the dividend policy should provide the company with long-term viability. Years after tax, dividends may not be able to jump to the large heights and drain the company for equity and reduce changes, which are necessary in a competitive market. Perhaps one in the long run should provide somewhat equal guidelines for dividends for state companies.
ParlaMint-NO_2005-03-03.ana.ud1791e300	The notification of the NSB shows that the company still needs to reduce its costs and increase its revenues. The Ministry of Transport considers that the Governing Board should focus strongly on this part of the business. I agree with them, of course. But, and it's a big one: I think the biggest service we can do is to make sure they get competition. Competitiveness sharpens the senses. This should be done both to attract customers, which will result in greater performance, and to focus on savings. That is why I am pleased that after several years of pressure from the Progress Party, the Government has now started the process of launching more sections of the track. Although, in my view, this goes slowly and one should have come much further, it is a start to something very positive. I record that the socialist parties, the Workers' Party, SV and the Centre, who love to give the impression that they are the parties fighting for public transport, do not see that competition is one of the best ways to get customers to use the track. Although I believe that the railways are far behind, for example, buses both in terms of flexibility and economy, it is obvious that competition on the track will lead to rail strengthening its position in the collective market. This, unfortunately for the users, does not see the socialist parties. The Communication provides for the continued state ownership of NSB AS, supported by the majority of the Committee. This is incomprehensible to me for several reasons. First of all, the NSB is nothing but an ordinary transport company that transports people from point A to point B. So there's nothing that should suggest that the state should be the owner. Otherwise in society, we have a significant number of transport companies. Many of these are monopolistic companies and have high security requirements. Common to most people is that they are private owned. I dare mention the Hurtigruten, who for over a hundred years has been running the coast with at least the same security challenges as the NSB AS have and that have been, and still are, private owned. The same applies to Unterøe, who has had monopoly and strict security requirements, without a single wish for that company to be owned by the State. But also from a user point of view, it is regrettable that NSB AS is not quoted and sold out. There is no doubt that selling and listing will lead to a revitalisation of the company, with access to new capital and new ideas that will benefit the operation of Norwegian railways. And if there's something NSB needs, it's just innovation and alternative solutions. This, of course, must not be misunderstood in that the employees do not do their job, but it is also competition and demands for returns from the shareholders that force new thoughts and solutions that benefit both customers, owners and employees. On this basis, we suggest that NSB AS be listed and then sold. As I said, it's our goal that NSB be quoted and sold out, but that doesn't mean that we don't also see that it has to be thought of in the short term. One of the problems that arise when the NSB is now going to compete is ownership, i.e.: the Ministry of Transport shall be the owner of the company. This, in turn, means that the Ministry must both draw up the tender criteria, negotiate the ambiguities of the tender procedure and finally award the tender. That's not good. And even though the ministry has put a lot of emphasis on not giving itself special advantages as owner, this ownership would create doubts in the market as to whether special advantages are given to the NSB. Therefore, the Progress Party proposes that ownership of the NSB be transferred to the Ministry of Economic Affairs, initially. Following the initiative of the Progress Party, it was opened for the express buses to be able to compete with trains on the routes where the train also goes – in our view, a matter of course, on which this government finally agreed. This has led to a much better and a much more reasonable offer for the travellers. Unfortunately, there are still some anti-competitive elements left in the legislation and regulations for free competition between bus and train. Such competition, in the view of the Progress Party, will lead to a much cheaper and better offer for both society and users. That is why we are proposing to remove such obstacles. In the new situation that arises when NSB has to compete with other companies for assignments, it is important that the NSB does not have any special advantages over ownership of the infrastructure. Today, the NSB owns a significant part of the infrastructure through its ownership of buildings and properties. The Party considers that all such infrastructure should be grouped in the railway works or in an independent management company, so that the NSB does not confer any specific advantages in the new competitive situation. The NSB has gradually bought up to become the largest operator in the bus market. The Party of Progress is sceptical that the NSB should become a leading player in this market, both because there is no need for the State to own a transport agency through its ownership of the NSB in a market that works very well, and not least because the NSB achieves a monopoly-like power in that market, which is also considered by the Competition Authority. The Progress Party therefore proposes that the NSB be required to sell Nettbuss AS. NSB is also a large owner in CargoNet AS with its 55 pst. of the shares. There are currently several private operators established on this market and there is therefore no basis for the State to be a significant owner of a freight carrier through the NSB. It is a market that already works well, and therefore the Progress Party proposes that the NSB sell out of CargoNet and concentrate on its core tasks, namely passenger transport by train. The Progress Party also wants cross-border transport by train to have the same benefits as the airlines have and proposes that railway companies operating such transport be allowed to sell tax-free goods. I am therefore addressing the proposals that we have made.
ParlaMint-NO_2005-03-03.ana.ud1791e330	The representative Kenneth Svendsen has taken up the suggestions he referred to.
ParlaMint-NO_2005-03-03.ana.ud1791e333	It is gratifying to note that the NSB has had a positive development. This is important, because we need a good, modern and environmentally friendly transport company in Norway that can operate efficient and good train traffic. In addition to the fact that passenger development has been good, punctuality has also improved dramatically in recent years. The NSB has taken action which has led passengers to return to the NSB. I want to pay tribute to the campaign that was run, where you could travel how far you wanted, for 150 kroner. It turned out to be a success. It has also become significantly easier to order tickets from the NSB, not least through a very efficient system on the Internet. The NSB is in a competitive situation. I hear that the Right and Advance Party have not registered it, but the NSB competes every day against the car, against the planes and partly against the bus. That competition is for the NSB to win. I have had the dubious pleasure of trying a competitive train market, where trains were to compete against trains, in the United Kingdom. It took me two days to get a ticket. I had to have the travel manual by hand, and Lonely Planet’s travel guide for the United Kingdom uses three pages to describe how to get a ticket to travel from A to B. The United Kingdom is no model for us if we are to build efficient train traffic in Norway. There's one area where punctuality isn't good enough yet, and it's local traffic around Oslo. I think it's hard to load the NSB for that. The infrastructure we have around the capital does not have enough capacity to cope with a good enough traffic development. This is especially true for the Oslo–Ski route, where we have had problems, and where we are waiting for the development of double tracks to get a new and better situation. I would like to pay tribute to the Government for providing a good message. When I read through the first time, I thought this would be an easy job in the committee. Here we can get to a broad majority, of course minus the party that does not really want trains in Norway, the Progress Party. I am therefore a little sorry that we do not agree on more than what we actually do, in this setting. This applies in particular to Netbuss. I have to say that the way the government fraction argues in that case surprises me a little. It seems that it is not competition itself that is an objective, but almost to be allowed to kneel the state company. I don't think that's an honorable motive. It's the concession policy that decides whether we're going to have competition between the bus and the railway. When the Government Parties, with the support of the Progress Party, decide that such competition should exist, it must be fair and proper for the NSB to be allowed to compete on equal terms with the other companies to enter the market. We see that when tenders are on the Gjøvik Railway, it is the major international players, such as Arriva and Connex, who submit tenders, and those companies, of course, operate both by rail and by bus. Then it seems strange that the government fraction, unlike the Government, sees it as a problem that the state company should also operate both by rail and by bus. It has been said that it is a problem that NSB runs a bus in parallel with the fact that trains are running. I am unable with my best will to understand why it is not a problem if Connex was going to drive the same bus next to the train. So a little bit of rice in the end. In the case of stations, the situation should be better than it is today. It is not pleasant to go on the train neither at Holmlia nor at Hauketo. Now someone might think that there are small stations of little importance, but we're talking about stations that are among the ten-twelve most trafficked in Norway. I hope we get to a system. And if we are to say that the Committee agrees on at least one sentence, it must be said that ‘stations and station areas must be used for the benefit of passengers’. I hope so.
ParlaMint-NO_2005-03-03.ana.ud1791e352	Let me begin by stating that now everything is going so much better for the NSB. After a period of negative trends, from 2000 to 2003, the number of passengers on the railway has increased in the last year. After this period, punctuality has improved and customer satisfaction has increased. 2004 was a good year for NSB Persontog. Never again have NSB trains been in the route. Customer satisfaction increased, and traffic development was positive. So the offer to customers has improved. This gives more satisfied customers and more customers. The punctuality of NSB trains is now better than ever. While four sections reached the punctuality target of 90 pst. in 2003, this target was achieved for a total of 12 sections in 2004. No better punctuality has been recorded since measurements started in 1971 on NSB Regiontog. Customer satisfaction has increased overall at NSB. This is very pleasant. All NSB regional trains had positive traffic growth in 2004. For some distances, the growth was very strong. For example, the eastern stretch from Halden to Oslo had a total growth of 23 pst. This is very good and absolutely necessary to dampen up the increased queues on the roads. So at the NSB Region train on the Eastfold Railway, it was 23 pst. more customers in 2004 than in 2003. The NSB carried in 2004 attracted 936,000 passengers on the regional train between Oslo and Halden. In 2004, NSB regional trains on the Eastfold Railway had an average punctuality of 90 pst. This applies to the left line. There is also a need to improve equipment and lines in the Inner Eastfold in order to increase the market share of the east fold roads on the railways. So it's going better now for the NSB. The Christian People's Party is committed to having a strong national railway company. With the great environmental benefits of rail transport over other transport, it is of great importance that we facilitate the widest possible share of traffic on rail. That is why we in the Christian People's Party will also stress that the railway must be the main focus of the NSB, not the bus operation. We fully agree with what is stated in Chapter 4 of the Ownership Communication on the Governing Board's objectives and strategies for the coming period: ‘The steering principle is that the train forms the base of the NSB’s collective service.’ NSB AS is strongly involved in the bus sector and now has more than 2100 of the country's 8,000 buses. We in the Christian People's Party will warn against a weakening of railway competitiveness. We believe that the NSB should be able to operate bus services, but that NSB’s bus operations should primarily be complementary to its railway operations on individual routes. In particular, they shall take care of the accommodation service. The NSB’s main role must be to provide good train services and to continuously strengthen rail’s competitive advantage. In dealing with the ownership message, the security perspective has been a topic. And it's important that the NSB continuously work to improve road safety. It has developed positively over the period 2001–2003. This positive development is linked to the fact that work on increased road safety is a high priority in the group. That's a positive and proper priority. We hope that the NSB will continue to rise, both in terms of the number of customers, punctuality and security – and with the satisfied and secure customers.
ParlaMint-NO_2005-03-03.ana.ud1791e374	The NSB AS activity message is an important matter. This message gives the Storting a comprehensive review of developments in the previous planning period and the NSB's main challenges, strategies and plans for the coming years. I would like to comment on some points in this message. Let me first say that the Center Party wants the NSB AS to also be state owned in the future. We want a strong national player on the railway side. For the Central Party, it is important that the Stortinget be briefed on major organisational changes, such as: the separation of support functions. Major changes in the provision of trains or the closure of sections of track should also be matters that the Storting should handle. The centre party is busy taking advantage of its advantages. It's e.g. good environmental policy and the right resource strategy to bet on the train as a collective service in and around the major cities and in the InterCity connection where there is a high demand for transport services. It is positive that the NSB has implemented adjustments that have led to increased efficiency and reduced costs. This has also increased regularity and given more satisfied customers. After years of decline in the number of passengers, the increase in the number of passengers arriving at the end of 2003 and continuing in 2004 has been a positive turning point in the development of passenger traffic in relation to trains. It is important that NSB AS adapts to the demand of the passengers so that the NSB can continue a positive development on the passenger transport side. The Central Party supports the Government's assessment that the bus business should still be part of the NSB group's bet, but that the train should be the base. Bus interaction with trains will strengthen public transport and make the NSB group more complete to its customers. In my view, NSB AS will also strengthen its ownership of Nettbuss AS in terms of competitiveness of the NSB group in relation to multinationals, such as the United States. Connex and Arriva. The two companies are examples of transport companies investing in both trains and buses, and it is important that NSB AS has the same conditions as its competitors. Otherwise, it is also worth noting that Nettbuss – as it says in the message – makes a monthly positive financial contribution to the NSB group. The Central Party agrees with the Ministry that the NSB bus business should be further developed with a view to strengthening public transport as a whole by supporting and complementing the provision of trains. So I wonder that the government party in a comment on the bus business of NSB AS – at least as I see it – is partly on a collision course with what is in the proposition, when these parties together with the Progress Party ask the Ministry to carefully assess the size of the NSB's bus business and form of involvement in this area in the future. The railways also have advantages in freight transport, especially when transporting large quantities of goods over long distances. The goal of the centre party is to get more goods onto the railway, and so the growth is 18 pst. positive developments in the transport of containers and semi-trailers by rail in 2004 with which we are very pleased. The ownership of the NSB has been a major part of the values of the group since the creation of NSB as a special-law entity. I support what is stated in the message that it is important to clear the responsibility when dealing with stations. The lack of maintenance of many station buildings indicates that responsibility is unclear, or at least that responsibility for maintenance is not taken seriously. In a note with the Workers' Party and SV, the Centre Party points out that a solution may be that the Railway Agency is given sole responsibility for station areas. In any case, a solution should be found as soon as possible and acceptable to the parties. Finally, I would like to stress that it is important for NSB AS to have a sound framework so that the company can have long-term development, planning and operation. A premise for this is that the dividends and return policies of the company are also reliable.
ParlaMint-NO_2005-03-03.ana.ud1791e397	The government adds St.meld. No 6 prior to the third reporting of ownership of the activities of the NSB. Important lines are drawn here on how the Government will exercise its ownership, while briefing and assessing the company's plans and strategies. The railway is an important investment area for the Government. In 2005, we spend well over NOK 6 billion on rail, and the rail budget is strengthened by over 30 pst. since we took over in 2001. The government proposes that the State should also be the owner of the NSB group in the future. As more passenger transport by train becomes exposed to competition, a State-owned NSB group can participate and ensure greater diversity of operators and real competition in the transport sector. I am very pleased that the number of travelers with the NSB and the freight volume to CargoNet has increased in recent times. This represents a positive turning point for the group. Punctuality has improved, and customers are more satisfied now than before. In order to continue this positive development, it is also important that the NSB has predictable framework conditions. Priority should be given to maintenance and investment in railway infrastructure. The NSB’s targeted work on road safety has produced results. Security has developed positively after 2000. The NSB is currently undertaking major shifts to reduce costs and make operations more efficient. This is explained in more detail in the notification. The company has and should have a major focus on the core business itself. Several support and service functions are separated and exposed to competition. This gives economic gains. Like the committee, I want to give the NSB credit for the ability to have implemented the necessary change processes in recent years. The profitability of the NSB group has not been as intended due to the low revenues generated by the passenger train and freight train operations. However, the comprehensive conversion of the NSB during the previous period has helped to reduce its negative effects. As the Committee also points out, without this work, the NSB would have been in a significantly worse economic situation. I expect the NSB to continue its efforts to reduce costs. The Government considers it appropriate to exploit the possibility of collecting synergies between trains and buses within the current group structure. This will contribute to the most cost-effective provision of transport and support the main objective of the most profitable operation of trains overall. I have noticed the majority in the Committee on Transport that Nettbuss is becoming a dominant player in the bus market. I don't see this as a collision course with the government's policy – on the contrary. It is important that there is effective competition in the bus market and that we gradually achieve effective competition on the rail market as well. I will therefore follow this development closely. At the same time, the majority points out that a new situation would arise as to whether the NSB would have a high level of competition in the railway sector from companies that are also bus operators. This is an important indication, which demonstrates an understanding of the company’s strategy and underlines the importance of gaining experience with the upcoming competitive developments. As rail freight competition develops in Norway, the Government considers that the condition that the State should own a minimum of 51 pst. of the shares in CargoNet, may be cancelled and the NSB, in consultation with the Ministry of Transport, should have the freedom to assess the reduction in its holding. The majority of the Committee agrees. The properties of the NSB have been a major part of the company’s values since the establishment of the NSB as a special-law company. The majority of the Transport Committee asks the Government to carefully assess the management and ownership of the stations and terminals in the NSB. The issue of ownership and their management is extensive and complex. How to organise an alternative management and operation will therefore have to come back to me. Railways are the most environmentally friendly means of transport we have, and further rail investment is essential to achieve good environmental benefits and to make more people travel collectively. The good developments of the railway show that we're on the right track.
ParlaMint-NO_2005-03-03.ana.ud1791e425	It's going to be line change.
ParlaMint-NO_2005-03-03.ana.ud1791e429	I agree with the Council of State in most of what she said. The Government supports NSB AS being owned by Netbus in the future. I guess that's because it's going to give the best possible total supply, and it'll give the state that owns the most for values and licenses to NSB AS. The government party is concerned, as the state council said, that this should lead Nettbuss to drown companies that win the offer on trains, in competing bus operations, to site the case leader. At the same time, we know that current competitors, such as Connex and Arriva, have both trains and buses – they are even quite large on buses. Then I wonder: is the government party agreed with the government that NSB AS should not have too much bus? What would the Council of State do if other companies drowned NSB AS in competing bus operations if they won the offer of routes?
ParlaMint-NO_2005-03-03.ana.ud1791e438	I would like to remind you that what we are talking about now is a transport company that is going to have railway activities as the root of its core business. I agree with the majority that we need to have the attention to the fact that this is exactly where the greatest and heaviest focus is going to be. So it's true that other operators who want to compete here, will largely also have bus business. That's what we want to be open for, that's what the NSB is going to have. But it will be, I think, important that we are clear on what is the strategy of the state-owned transport company, and then I'm talking about the rail transport company. I don't think a state-owned railway company should have as a strategy to compete out of train transport. There is the majority and I fully agree.
ParlaMint-NO_2005-03-03.ana.ud1791e443	Governments spent a lot of their time establishing and stressing the importance of the state ownership of NSB. As I said in my post, Onøe is a private company that has developed very well, with new routes and good service, and they have got many new users. The same is true of Hurtigruta. Hurtigruta is also a privately owned company with monopoly, which also has Widerøe. They invest in new boats, and they look at new ways of selling their products, among other things. they have started routes to Greenland and to Antarctica. They also focus strongly on safety, at least as strongly as the NSB. Why is it that it is entirely right to have these private players in the market, while the NSB must be absolutely state-owned? I'd like to get an explanation for that. The same applies to why you still have the Ministry of Transport as the owner of the NSB.
ParlaMint-NO_2005-03-03.ana.ud1791e448	The ownership of the NSB will continue to be in the Ministry of Transport under this government. Any government can assess the location and department of ownership of the establishments. The NSB will continue to be a very important player in the railway field in Norway. It's important that we make sure that we have an actor who can perform the kind of tasks we're talking about here, that we have an actor who specializes in railway operations and is able to do those tasks. In Norway, after all, there are 4.5 million people. So it's even so that not all of the 4.5 million have the opportunity to travel by train. We have to make sure, we have to take care of the opportunities that lie in the NSB, and I think the state will be a good owner in that way for a long time to come. The NSB is important in sectoral policy.
ParlaMint-NO_2005-03-03.ana.ud1791e453	I am very much in agreement with most of what the Council of State said in its statement. But I was amazed at the answer she gave to Oddbjørg Ausdal Starrfelt. If you think that a state company, NSB, should not be able to compete with trains on the bus side, I have to ask: is it better that that competition is conducted by a private company, and what is the difference in principle? Or is it that when we have a corridor or a stretch, is it the concession policy that determines whether there should be competition between trains and buses? If the concession policy says it should, what's the difference in principle as to whether it's Netbuss or Connex running the same route?
ParlaMint-NO_2005-03-03.ana.ud1791e458	Actually, this is a strange debate, because I have experienced that the parties that are most concerned with the fact that the NSB will be allowed to drive both bus and train, have been very sceptical about them driving parallel bus and train. So this debate is kind of put on the head, in my opinion. Should the strategy of a state-owned railway company be that they should drive a bus, and preferably a bus, where we can compete with those who try to establish a good and environmentally friendly railway business? I believe that competition law is such that it says what can happen here, and not least what concessions we give. I think it's wrong if a state company should have as a strategy to possibly compete out the railway business – it's like it exists or if it comes new, and maybe especially when it comes new.
ParlaMint-NO_2005-03-03.ana.ud1791e463	The cord shift is over.
ParlaMint-NO_2005-03-03.ana.ud1791e466	Trains are a safe, land-efficient and environmentally friendly travel option. We've got to get more of this! For this reason, with the support of a majority in this room, the Labour Party has stepped in to increase investment to better rail tracks, double tracks and some new sections. It's in the infrastructure problem, not that NSB AS is working badly, because it doesn't. As many people have said, things are still going better. Taxfree hall can be a means of attracting more people to trains instead of more impure means of transport – and it will also provide income. That's why we're in the Labour Party for equal terms here, and it's getting multiples today. I am pleased that the Government has submitted such a positive message about the NSB, a message that follows mainly up the NSB board's § 10 message. I am pleased that the government party also supports NSB AS being able to compete outside. This should be lacking only when the majority has opened up competition for passenger transport for other companies in Norway. The Labour Party opposed the conversion of the NSB into a limited liability company. When it is decided, we will work confidently and confidently to take an important social dimension in the future when it comes to rail transport. We will work to ensure that NSB AS has a framework that allows them to provide the best possible range of services and follow-up with sufficient public purchases to maintain socially important services that do not go hand in hand with business economy. We want to give the NSB the opportunity to have a dividend policy that is far-reaching and hanging on its hands, and to take advantage of the value that lies there for the country on behalf of the people and for the NSB AS. We will give the NSB such conditions that the State that owns will have the best possible exchange of the values in the company. The majority act as capitalists, but I think they're basically poor capitalists, because they want their own state-owned companies to have worse framework conditions than their competitors. It is alarming, whatever the state council is now trying to say, that the government party does not follow up the Government's proposal to allow NSB AS to take advantage of the advantage of both train and bus operations. It's okay, we've been critical of parallel running, but once the majority of the head councils have liberalized this completely, we can't see the difference whether Connex is going to compete with the NSB in the whole or whether the NSB is going to compete with Connex in the whole of competing bus transport. There's only one way to discriminate against their own company, that is to say, to be bad owners of capital and values and administrators. Sometimes you can wonder if the right side will actually show that the state is not good at running a store, so they make it as difficult as they can for them. So some other points. Ownership in CargoNet: The labor party is opposed to selling down. We want the NSB to have interests in both passenger and freight traffic. We see that there are some potential areas of conflict there. I see that there can be a downsal to enter into any strategic alliances to increase the supply of goods in Norway. It may affect us when or if it comes. We will even promise to deal with it quickly, if necessary. So a little bit back to the exchange policy. The entry deals with us in the § 10 message, or in the ownership message, in March last year, I believe. Then we said we'd take that and so much exchange. When the revised national budget came, the proposal was much higher. And when the revised national budget was agreed, it was completely on the roof, and far from what is acceptable. On Tuesday, a proposal was made here in the Chamber relating to a matter of State power, to create a rule in which the General Assembly cannot review the Board's decisions on exchange. We still think it might have been a good idea, and we'd like to get back to it if we get another multiple after the election. Before the world it was often that if someone were to justify each of them politically, he said that the reason he was a worker party was that his father was a railwayman. The automation is probably not so absolute anymore, but I believe that if the railway workers and women read the position and heard the debate today, and insofar as earlier debates on rail operations in Norway, there would be many who saw the red-green option – also called the red-hazard – as the red possibility.
ParlaMint-NO_2005-03-03.ana.ud1791e492	The President will hope that it does not increase the frequency of trains running towards red.
ParlaMint-NO_2005-03-03.ana.ud1791e495	In the almost four years I've been here at Stortinget, the close contact with the NSB has become bigger than before. I have actually learned to appreciate the train as a good collective offer, suitable for both commuting and tourist trips. But that the train to Grenland takes three hours should be part of the story. Travel time here is a major competitive disadvantage, and of course part of the reason why people instead use other means of entry when, for example. the capital shall be visited. But in this case, the NSB AS is going to be debated, and I'm going to deal with it. For there are also other explanations that the NSB is struggling to bring passenger transport on some routes, including to Grenland. One of the premises to be dealt with by the NSB is to ensure a public-friendly train offer. Therefore, in spring 2003 the NSB also launched a comprehensive market-oriented conversion programme. An overall objective of this programme is to make it much easier to be a customer of the NSB. And that's where I stay as a question mark. As a train customer on the Skien–Oslo route, I have actually not noticed much about this goal. Punctuality has improved. But it has triggered me repeatedly how inaccessible the NSB has made itself in Grenland. The train offer is not marketed, stations are closed, and until all over-measures the train has now been replaced on certain departures from Grenland by bus to Larvik, and on some departures there is now a bus from Larvik to Grenland. Does NSB think that the audience will then use the train? I don't think so. The government puts in place a concentration of effort on urban areas where the railways are the most important for the environment and transport. I fully agree with that. And I dare say that Grenland, with its 100,000 inhabitants, a continuous city band, looks forward to this bet. In the light of my experience with the NSB, it must be timely to ask whether the NSB has not engaged too heavily in the bus sector and thus become its own competitor, negatively viewed. I agree with the majority of the committee that is concerned about the NSB as one for dominant buses. I think the railway can be confused that way. Good marketing combined with greater customer focus and active accommodation to and from the track is important to get people to take the train. It is therefore necessary to assess the size of the NSB’s bus activities and the type of involvement in this area, just as the Government Parties and the Advance Party are now asking the Ministry to do in this case. And I'm addressing this further work.
ParlaMint-NO_2005-03-03.ana.ud1791e510	A strong NSB in the future is an important strategy for achieving national objectives in transport policy, for increasing rail passenger transport and for increasing rail freight. The railway has only 4 pst. of passenger transport and 8-9 pst. of the carriage of goods. It's too little. From a significant decline in passenger traffic in the years 2000–03, we now see an increase. The NSB reports increased passenger numbers and is positive. The report ‘Development of rail passenger traffic’, prepared by the NSB and the Railway Agency, tells a good deal about the reason for the decline we had: punctuality problems, three major railway accidents and unfortunate incidents on the railways, the introduction of new ticket systems, the conversion of ticket sales, the increase in the number of express buses and the quality of other travel services such as cars, buses and aircraft. The central thing here is that NSB can do a lot of things on its own to improve the offer. They have, but it's still a potential for improvement. I see that the report mentions the introduction of short- and medium-distance trains on the Nordlandsbahn, i.e. the seven-hour journey between Trondheim and Bodø, as a negative factor. Nothing has been done about the day train offer on the Nordlandsbahn. The NSB must have the right train equipment with good comfort on all routes where they carry passengers, whether long distance, medium or short distance, regardless of whether there are many or few people travelling by train. It's about the reputation of the NSB. My impression is that the NSB is on the right track, and that a good job is done in the company. Political decisions here in Stortinget also affect the development of the NSB, not least in terms of how much is invested in the railway track and how other transport areas are prioritised. Here in SV we believe that there needs to be significantly more investment in the infrastructure in the years to come, if we are to increase the share of freight and passenger transport. Several train companies are now entering the Norwegian rail market. The majority of the population have decided to put off competition. In this perspective, we in SV believe that there is every reason to conclude on the NSB and to ensure that the company is equipped in the future to meet the competition of the major international players who are now in several transport areas on their way into the Norwegian market. These are companies that are twice or three times the size of the NSB and operate in all transport areas – trains, buses, boats, etc. This does not mean the majority here in the Chamber. The progress party will sell the NSB. At the same time, they will strip the company, separate both the freight part and the bus part. What kind of national transport strategy is that? The Government Parties and the Advance Party are engaged in building up the NSB group. There is considerable concern that the bus business has become too large and they ask the Government to carefully assess the size of the NSB’s bus business. Here the original argument is used that the bus business can undermine the NSB’s commitment to railway operations. It is pure speculation — and at least not from the strategies of the NSB Board of Directors and management for the company’s business. It's a strength for the NSB that they have more legs to stand on, and that they can develop a collective offer where buses and trains can complement each other. This is done in other large companies in all other countries. Why is it so wrong to do it in Norway? It is also a proper strategy — in the light of the forthcoming competition — that the NSB is regarded as its domestic market for passenger transport and Europe for freight. Here we fully agree with the Government in SV. If you want more people to travel by train, you have to travel by train, among other things. stations are accessible and public friendly. There must be opening times adapted to the need, no closed waiting rooms and good public information, and there must be open stations on all routes where trains are running and where trains are stopped. The standard in many stations is too poor. Train stations must be upgraded. We call for a clarification of who should own and be responsible for the railway stations in the future. At the beginning of this pouring period, it was announced that the train stations would be transferred to the railway station and that the railway station would develop the stations for good public transport hubs. This has not happened, and we now expect the Council of State to take the initiative to clarify the future responsibilities quickly. Finally, there is a majority to introduce tax-free sales on foreign routes, as is the case on aircraft and ferries. I would just like to point out that it was intended to apply to all foreign sections, even where other than the NSB is responsible for the operation of the train. I could imagine asking the council to confirm that she interprets it the same way.
