ParlaMint-NO_2005-05-11.ana.ud1891e28	The representative of Øystein Hedstrom will make a private proposal.
ParlaMint-NO_2005-05-11.ana.ud1891e181	We do not, on the part of the Christian People's Party, make any point in itself of marking a distance from the Progress Party and the Development Policy area. We note that there are different views, and that is what I have also done in my answers in this debate. Nor do we make state-to-state assistance a principle in Norwegian aid. We just note that if you have to raise 20, 30, 35 million. people out of poverty in a country, providing education for everyone, not only do thousands of individual projects from non-governmental organisations benefit, then we need to have a education system and a education sector that can deliver this service to the entire population. And then state-to-state assistance is necessary. It's the fight against poverty and getting results for as many of the world's poor as possible that's important here. That's why we have the device we have on our development policy. And then, of course, we're going to evaluate the results. I think there is hardly any area in the state sector that has been so thoroughly evaluated as everything we do on the development side and in Norwegian aid, and we will continue to do so, because this is very important. And we're pragmatic. We cooperate on a case-by-case basis.
ParlaMint-NO_2005-05-11.ana.ud1891e192	The only thing you're not allowed to be pragmatic about is speaking time! Let's move on to the next main question.
ParlaMint-NO_2005-05-11.ana.ud1891e197	I will be allowed to ask a question to the Minister for Employment and Social Affairs. We have been made aware in a series of articles in the evening post of some extensive social security benefits, either by Nordics living abroad or others receiving social benefits from Norway, especially linked to unpaid pay. This includes, among other things: As a result, the Minister of Labour and Social Affairs has decided to set up a social security office in Spain, which appears to be very positive, given that there is indeed widespread social security abuse among the Nordics in that country. My main question is this: one thing is a good society like Spain, where we have good cooperation relations, but we also have Morocco and some other states, where it might not be fully transparent. My question to the Minister of Labour and Social Affairs is therefore: what is done to these countries, with the social-security abuse that is taking place there?
ParlaMint-NO_2005-05-11.ana.ud1891e206	It is quite right that the social security system is undertaking offensive work to combat social security abuse at all levels, even beyond the borders of the country. The initiative to strengthen this comprehensive work was taken several years ago. There are organized social security abuse teams all over the country. The use of resources in this field has also been reinforced, and it has produced good results. It is not that the initiative to establish a unit in Spain was taken as a reflection on the two articles of the Evening Post this weekend. It was, and is, a part of the systematic and planned approach to a social problem that it is absolutely necessary to actively work towards ensuring good trust in our welfare systems. The drugstore's got 10 million dollars. kr extra in the year’s budget for this work. New jobs are being created, increased efforts are being made to address the large group of Norwegian social security beneficiaries in Spain, and there are developing control reports, technical solutions and improved comparisons of registers within the framework permitted by data protection. The Social Security Agency shall develop cooperation agreements with other bodies and shall cooperate extensively with the EEAS and the embassies in relation to controls with countries other than Spain. In other words, extensive work is under way, covering the countries where there are a larger number of pensioners or beneficiaries with benefits from Norway.
ParlaMint-NO_2005-05-11.ana.ud1891e219	I fully agree with the views of the Council of State, and it is obvious that whether you live in Spain, Morocco, Thailand or Pakistan, you have to be treated equally. Drug abuse must be severely reduced wherever one is located. Spain is in the EEA area – there are agreements, it is reasonably transparent, and it is possible to establish good cooperation agreements from country to country on the monitoring bit and the verification, which it is about. Unfortunately, the Council of State does not answer my question: what is done, among other things. to the other countries where it is not as transparent? The series of articles in the Evening Post makes this quite clear and points out that between Norwegian and Moroccan citizenship can be queried, give different names, incomplete addresses, incorrect information, etc. It's important that we focus on this, even though it's reasonably closed and difficult to get into. So my question is, what is going to be done specifically to these groups, when we know that this is going on?
ParlaMint-NO_2005-05-11.ana.ud1891e231	I replied that the social security system has extensive cooperation with the foreign service, with the authorities of other countries and with other authorities in Norway in order to detect and follow up possible social security abuses by either illegally taking social security benefits out of the country — it can only be done under very specific conditions — or by means of hidden relocations, or by means of a move abroad, contrary to the conditions for receiving, for example. disability benefit from Norway, works to an extent that is not permitted. It goes without saying that it is more demanding to control abroad than in Norway. This means that these forms of abuse have received increased attention through, for example: the extensive cooperation initiated by the Social Security Act and anchored in the cooperation agreement with the relevant departments.
ParlaMint-NO_2005-05-11.ana.ud1891e238	There will be two follow-up questions – first John I. Alvheim.
ParlaMint-NO_2005-05-11.ana.ud1891e241	Drug abuse in domestic or foreign countries is an ugly form of crime, we all agree on that. We also agree that resources must be used to bring this to life. But this has an equivalent, and it applies to all of them at home in Norway among our own people who obviously do not get what they are entitled to for the care of family members, children and young people. I refer to a report recently on TV 2, where a mother is being eaten with a multi-disabled child with NOK 5000 a month to live for. Then this approaches public crime. My question to the Minister for Social Affairs is: Will we now also use resources to follow up our own at home and ensure that these people get their expenses covered and do not have financial problems in addition to the psychological burden of having this kind of child?
ParlaMint-NO_2005-05-11.ana.ud1891e250	The President will note that this is strictly a new main question and not an additional question, but the Council of State is free to answer it.
ParlaMint-NO_2005-05-11.ana.ud1891e253	With the fact that it comes from the same “company” as the main question, perhaps the President will allow it. I would like to remind you that there has been a significant escalation of efforts to combat abuse, and the number of reports has increased sharply, so that the crime that this constitutes is followed up. When it comes to the second question, my main answer is yes. The government is now working on its own strategy for families with disabled children, because we want society to relieve, support and coordinate itself more effectively in relation to the many complex needs of families with severely disabled children. That plan is the same around the corner. In the pension reform, we propose new pension entitlements for nursing care, and we will also review all welfare schemes in the extension of the labour and welfare reform proposed by the Government to the Stortinget.
ParlaMint-NO_2005-05-11.ana.ud1891e264	Karin Andersen – for follow-up questions.
ParlaMint-NO_2005-05-11.ana.ud1891e267	Trust in welfare schemes is, as the Council of State says, entirely dependent on the detection of abuse, and also on the provision of benefits to those who need it. SV supports the Government’s efforts to detect social security abuse both in Norway and abroad. But it is also linked to, for example, how to allow working life to function in your own country, if there is an opportunity to work black. Then it's important, if you're to make sure you're safe from all kinds of abuse, to ensure a clean working life where black work and cheating are revealed. Then I would like to ask the Minister of Social Affairs, who is also the Minister of Labour, whether he sees the clear connection there is between a work aimed at revealing abuse of and fraud in the social security system and the fight against black work and social dumping. It is very closely linked and has to go hand in hand if it is to be credible.
ParlaMint-NO_2005-05-11.ana.ud1891e276	There are several important contexts here. Trust in our welfare systems depends on people getting their rights – no more or less. Therefore, the control and follow-up of social security benefits is crucial to the confidence of the welfare society. Secondly, I agree with the representative Karin Andersen that there is a link between the fight against social security abuse and the fight against black work. Sometimes social security abuse is black work. For this reason, the public authorities responsible for this – and it sorts under several governments – are increasingly working together. The taxi action in Oslo is an example of how social security authorities, labour supervision, tax authorities, etc. approaches risk areas and reveals and follows-up abuse. Combating undeclared work is also a very important part of establishing and strengthening the foundations of our social systems.
ParlaMint-NO_2005-05-11.ana.ud1891e283	Let's move on to the next main question.
ParlaMint-NO_2005-05-11.ana.ud1891e286	In advance of the EU enlargement, many of us were concerned about welcoming foreign workers to Norway, while insisting that they should be entitled to Norwegian salary and Norwegian working conditions. It's been pretty successful. There are many foreign workers coming looking for work, and many of them are really paid. But there was one thing we warned against, and the government put it completely passively and would not do anything about, and it was that foreign EU companies come to Norway and run social dumping. Otherwise, they offer their employees much lower wages and working conditions than we do in Norway. This week, the NRK has reported that the Labour Inspectorate has had racism in the construction industry and closes a lot of construction sites with foreign subcontractors. At the same time, there are reports of non-residents working too far below Norwegian salary. That is why I think there is reason to ask the Council of State: does the Council of State really agree with the Swedish Government that everyone working in Norway should have Norwegian pay and working conditions? And if he is, why hasn't he done anything to make sure that foreign companies working in Norway pay their people according to Norwegian pay and work conditions?
ParlaMint-NO_2005-05-11.ana.ud1891e293	I guess it's not just in the press that the premises are going to be wrong; they're going to be here in the staging room too. It is the government's clear premise that in the Norwegian labour market we should have decent and tidy conditions. Therefore, the Government has proposed, and the Stortinget has adopted, a transitional arrangement in the context of the EEA enlargement, whereby citizens from new EU countries will have a residence permit in Norway which is linked to the fact that they also have work on Norwegian pay and working conditions. Therefore, from the earlier Act on the publication of collective agreements, which has proved useful by the fact that the subject matter of tariffs has made it applicable in Norway to some installations in the petroleum industry. We, together with the social partners, have a keen eye on developments in this area, because we do not want a trend towards unworthy employment in Norway. Wages and salaries are the responsibility of the parties. The General Public Service Act is a tool for the parties to require Norwegian collective bargaining agreements carried out within different parts of the labour market, and it is used. It has been used in the petroleum sector and is now active in the construction sector, where a case is being considered. What I want to say is that the government, in line with what we have promised in Stortinget, is now reviewing the experience of the transitional arrangements and the law of public disclosure, and we are doing it in close cooperation with the parties. We have set up an expert group that follows this closely, where the parties are represented. We will discuss this with the Parties to the Labour Policy Council in June, and in St.prp. No 1 I will report back to Stortinget about the result of this review.
ParlaMint-NO_2005-05-11.ana.ud1891e305	I just want to correct the council a little bit. It was actually us and the Workers' Party who took the initiative for these transitional arrangements, but the Government made the proposition afterwards, and we were very pleased about that. With all due respect, I believe that the answer shows a government council that does not follow up and gives power to its demands in relation to the desire to make sure that everyone who works in Norway has proper pay and working conditions. As far as I know, the Council of State has not taken any initiatives to ensure that the public service agreements apply to several industries, because it is precisely in this area that social dumping takes place. It happens in the workplace. The problem is that Norwegian, serious companies are being run into bankruptcy and redundancies because they are being competed through unfair competition from foreign companies, i.e. EU companies, which reward people lower. Then I ask again, in concrete terms: what will the Council of State do to ensure that serious companies are not exposed to unfair competition from companies that are dumping wages and weakening working conditions?
ParlaMint-NO_2005-05-11.ana.ud1891e314	I will clearly refute what the representative Holmås now says about the fact that the Council of State does not actively follow up the arrangements we have to counteract unfair and unworthy conditions in the Norwegian labour market. We have strengthened the supervisory resources in this area. I can inform you that, in the revised national budget on Friday, we will provide a further strengthening of the supervisory authorities in relation to precisely these tasks. We are now reviewing the experience of the scheme Stortinget itself has adopted. The General Public Service Act is not such that it is the authorities which are to impose and dictate the level of wages and salaries in the labour market. The parties are responsible for the salary level. The Parties have the Public Service Act as a tool and they use it. What we are doing with the parties now is reviewing the experience of the Public Procurement Act, among other things. with the documentation requirement, against which criticism has been raised, and the issue of dispute resolution arrangements when there are conflicts about the follow-up to a public tariff agreement. We have a close dialogue with the parties on this, and we come back to Stortinget with concrete proposals if the process so warrants.
ParlaMint-NO_2005-05-11.ana.ud1891e319	There will be three follow-up questions – first Karin Andersen.
ParlaMint-NO_2005-05-11.ana.ud1891e322	They are the weakest in the labour market, which will be hit hardest by tougher conditions and wage dumping. It is a responsibility to ensure that it does not happen. It is notified to the NRK that a controversial web-portal where the unemployed are supposed to be substituting for each other in wages and salaries will open in Norway in August. After bidding rounds where the point is to be the lowest in wages and salaries, it will be up to the employer to choose whomever they want, according to salary requirements and qualifications. It's been such a portal, for example. in Germany, and it has helped to reduce wages in some industries by 15 pst. To date, the Government has accepted a proposal by the Workers' Party, SV and the Centre that there should be at least the approval, registration and control of agencies involved in the provision and rental of labour in Norway. Then I have to ask the Council of State: is it the aim of the Council of State that wages in Norway should also be lowered when one has gone against a system that could ensure orderly conditions in the industry?
ParlaMint-NO_2005-05-11.ana.ud1891e331	The government is for orderly conditions on the labour market, including in terms of the provision of labour. Let me remind you that there was a broad majority in the United Kingdom that in its time went in to abolish the State monopoly on employment services. With regard to the specific web portal, I know it as much and as little as other newspaper readers today, and I want to be careful about going in and judging it. But what I can say quite clearly is that it will hardly have any significance in Norway, all the time it has to focus on unorganised unemployed and unorganised employers. However, through the Labour Inspectorate, we will look at what this is and how it is compared to Norwegian legislation and legislation. Otherwise, in line with what I said in my main reply to the representative Holmås, the Government will have an offensive follow-up to the framework and rules we agree to have in this area.
ParlaMint-NO_2005-05-11.ana.ud1891e343	Ola D. Lukewarm – for follow-up questions.
ParlaMint-NO_2005-05-11.ana.ud1891e346	Governments are concerned with tidy conditions. He's mostly talking about the private sector and the production life there. But also in the public sector, part of what is now happening is worrying. We see that there is an increasing unemployment, especially among women, in health and care work. This may be closely related to the weak economy of municipalities and health enterprises. It creates a double pressure for these sectors and arenas to now also absorb lower-paid non-resident labour. Does the Council of State see a danger here, and does he fear that this could mean that it is even less attractive to recruit and train for work in the health and care sector, because here too we can get a social dumping which makes it unsafe as the workplace for Norwegian workers and professionals?
ParlaMint-NO_2005-05-11.ana.ud1891e353	Let me first say that in terms of employment in the nursing and teaching professions, it is considerably higher today than it was when this government took over. There are now over 30 000 more employed. Secondly, I do not have the great concern that social dumping should become a public sector problem, for the public sector is bound by public tariff agreements and the legislation applicable specifically to the public sector. I think it's an unjustified fear, but it's clear that public employers too have to deal with the framework and guidelines drawn up by the authorities, and they impose on the supervisory authorities to follow these frameworks and guidelines.
ParlaMint-NO_2005-05-11.ana.ud1891e360	Sigvald Oppebøen Hansen – to the last follow-up questions in this round.
ParlaMint-NO_2005-05-11.ana.ud1891e363	We see that increasing labour migration is a fear of increasing unemployment and that the level of wage and working conditions in Norway is being threatened. It is worrying if the debate on labour immigration becomes angled so that it strengthens the fear of the future and creates hostile attitudes to immigrants. For the Labour Party, fighting social dumping is an overarching political goal. No employees, whatever their background, should be exploited by employers to increase their service. Therefore, it is absolutely crucial that we stop the employers who cynically exploit foreign labour and thus contribute to undermining serious activities and current pay and working conditions. Social dumping is not only a threat to workers, but it is also a threat to serious enterprises and their competitiveness. The Council of State now claims several times that the Government is acting in relation to these questions. The working party thinks it's happening very little. Why is the government so passive in these questions?
ParlaMint-NO_2005-05-11.ana.ud1891e372	The fact that the government is passive in these questions does not become more true even if it repeats several times. What I have pointed out is that the Government is actively using the instruments adopted by the Storting in the context of transitional arrangements in the field of individual labour migration, and that the Public Service Act actually works according to its purpose in the field of services. Nor do we, as a result of EU enlargement, record a dramatic impact on the Norwegian labour market or on Norwegian social schemes, as we get the impression. I fully agree with the premises in the question to the representative Uppøen Hansen, but I cannot agree that the fact that we are actively monitoring the situation with the parties, that we have invited the social partners and other opinion-able parties to an evaluation of how this works, and that I warn that I will return to the Stortinget with the results of it, is an expression of inaction. I don't want to accept that.
ParlaMint-NO_2005-05-11.ana.ud1891e380	Let's move on to the next main question.
ParlaMint-NO_2005-05-11.ana.ud1891e383	I have a question for the Minister of Transport. In several countries, promises of progress in road projects have created optimism with regard to the management of this flooding period. But after a while, there's a counter-declaration, that progress isn't real, and then it creates frustration among people. I can cite examples from one state, Hordaland: the Bergen program, the Jondal tunnel and Hardangerbrua are projects that one previously promised would come in this period. Let me take Hardangerbrua as a typical example: at a public meeting as late as April this year promised representatives from the government party, and pointed out to the government council, that the matter would come in the spring session. Immediately afterwards, an external quality assurance bidding competition will be launched at Hardangerbrua, with a deadline of 1 August 2005. It is obvious that the promises of the public meeting have been given against better knowledge. Does the Council of State understand that this leads to frustration and irritation among people?
ParlaMint-NO_2005-05-11.ana.ud1891e394	I guess it's not unusual that a lot of parties get involved with a lot of projects in the time we're in now. It is quite right that it has been expressed that we aim to present more issues in the spring session, matters that we actually still aim to present. Now it is a well-known matter that no government councillor or any employee around the Council of State can guarantee anything in relation to the treatment of the Storting, but I am therefore aiming to present to the Stortinget several things that have been mentioned in the spring session – which is known as a whole until a new big deal comes together. Now Hardangerbrua was mentioned specifically, and it was shown that work on quality assurance has now been started. It is a process for which the Storting has given its consent, so I have recently been a little surprised that there is a question mark about this. We will do this, including: in order for the Grand total to have a sound basis for decision when the case is brought before it. The pace we have in presenting this matter is very high. I think we have barely had such a pace as we have had in the work relating to the matters mentioned – Hardangerbrua in particular.
ParlaMint-NO_2005-05-11.ana.ud1891e403	My starting point was neither the scope nor the content of the distribution work in the various cases. My starting point is that there are promises about a time, when it is not possible to keep these promises. When it is promised in April that the case of Hardangerbrua will come in the spring, it is quite impossible when an offer document with a response deadline is published in August. Governments are probably also aware of the time when the Storting goes from each other. Although the ageing period does not end before 1 October, it is unusual for matters to be submitted that are expected to be dealt with in the summer months. So people are frustrated that things will be too late to be dealt with before the Storting goes from each other before the summer.
ParlaMint-NO_2005-05-11.ana.ud1891e408	When the representative here says that it is obviously not possible to present the matter in the spring session, which improperly lasts until new accumulation comes together, the representative knows more than I do. I still have the goal of presenting more issues in the spring session. I have, as I said, never stated when the Storting was going to deal with this, because I have no authority to say anything about it. I still react a little to adding opinions and processes that we have never presented. I still have a strong wish – and aim – to have more issues presented in this session, without of course I can guarantee that Stortinget will deal with them.
ParlaMint-NO_2005-05-11.ana.ud1891e415	There will be four follow-up questions – first the Rune Skjellaa.
ParlaMint-NO_2005-05-11.ana.ud1891e418	I wonder a little bit about the communication between the government parties here in Stortinget and the Government. Petter Løvik from the Right, head of the Transport Committee, promised the party would have Hardangerbrua before the Stortinget before the holiday. He said that on April 4 at a very, very nice public meeting in Eidfjord. Terje Breivik of Left wanted to kill the myth that his party was against the construction of the bridge, and guaranteed on behalf of the Minister of Transport Torild Skogsholm that the government would promote the sale in the Stortinget of the construction of Hardangerbrua. My question is: is this about poor communication between the government parties here in the Stortinget and the Government, or is it so that the government parties and the Left, at the Secretary-General, people talk by mouth and make promises at public meetings? Everyone went home and was sure that now, in fact, Hardangerbrua was secure – so one gives the impression of a progress in a matter that is not going to happen at all.
ParlaMint-NO_2005-05-11.ana.ud1891e425	I still wonder about the problem. The size is known of the processes to be implemented in relation to these types of projects. It has been suggested by the Government, and the Storting has joined it. I have previously attended hearings in Stortinget where the need to have a solid basis before the Storing makes decisions has been underlined. That's what we're following up on when we're quality assurance. When several representatives know that the project has now been sent out for quality assurance, it is quite obvious that we need to have a high rate of speed in order to be able to promote the matter in this large-scale session. I still have the goal that we should manage to advance various issues, as has been mentioned here, during the session. What other big business representatives have said about the matter, I cannot comment on.
ParlaMint-NO_2005-05-11.ana.ud1891e432	Oddbjørg Ausdal Starrfelt – for follow-up questions.
ParlaMint-NO_2005-05-11.ana.ud1891e435	Now there are no new rules on quality assurance from April 4 to now that would mean that one cannot get the case in our company. I really have to say that I am wondering about the progress of the matters that the representative called Ringstad mentioned, but also in other matters. The mountain program was very sure that we would get it. The same is true of Hardangerbrua and the Jondal Tunnel. There are several projects in Rogaland we're waiting for, and I'm wondering what's going on. Is the Council of State and the Government on the way out? Do they relax? In addition to Stortinget, we have had the capacity to deal with several issues. The matters we have received in the spring from the Ministry of Transport are relatively small and few. We have had more capacity to deal with matters. I wonder, then, that the Council of State doesn't fit in with issues, so that we can use this ageing period in an active way, in a field that is so important to people around this country. What's going on?
ParlaMint-NO_2005-05-11.ana.ud1891e440	I'm recording that the election campaign is in full swing, and I guess that's okay. It is such that when a case is either local or in the Directorate of Roads, the Department or Government cannot promote the case until it is fully prepared. I know very well that the representative is well aware of the processes to be set up before a case is presented to Stortinget. No one believes that we should accept a case in the department and without going through the matter present it to Stortinget. I'll think there'll be a big deal present after the election, so that good things that'll be coming, a new big deal will treat quickly.
ParlaMint-NO_2005-05-11.ana.ud1891e450	The President can confirm the assumption that there will be a big deal even after the election, unless there are completely unforeseen things happening. Harald T. Nesvik – for follow-up questions.
ParlaMint-NO_2005-05-11.ana.ud1891e457	It is quite obvious that it is very important that we, as politicians, are despicable when we are involved in promising money for starting projects. The issue of transport projects such as: has been mentioned here, is that there are so extensive investigations that it in itself delays the process and causes these things to take a very long time. The cases are thus late for Stortinget. It's quite obvious. Now we're almost in the middle of May. Then the question is what the Council of State really expects the Storting to achieve is serious treatment. In order to speed up the implementation of these projects in the future, the question to the Council of State will be whether it will now ensure that there are less extensive investigations. We're talking here about major impact assessments to get it started. The question then is: will the Council of State take an initiative, so that we can speed up the launch of projects for the Storting, adopted and launched, for the benefit of the Norwegian people and the business community?
ParlaMint-NO_2005-05-11.ana.ud1891e462	I want to remind you that many of the investigations we're talking about are completed before they come to us. We are now talking about quality assurances that we have to implement. I would like to remind you of the hearings that have been carried out precisely because the Storting has considered that there has been a lack of decision-making basis. There have been overcosts that have been large. That's why I think it's an important point that when we put matters forward, we should have a good foundation. Then I would also like to remind you that with regard to the quality assurance processes we have set up, it has to be both predictable how long it will take, and it has to go quickly. It's going to be my intention in the future as well. I'm recording that right in this spring session, these questions are coming up, but I'm taking it as an eagerness compared to the fact that we want a lot of projects, which are important to people around the country.
ParlaMint-NO_2005-05-11.ana.ud1891e469	Steinar Bastesen - for the last follow-up question.
