ParlaMint-NO_2005-04-12.ana.ud487e67	The representative, Siv Jensen, will make a private proposal.
ParlaMint-NO_2005-04-12.ana.ud487e230	Let me make some comments and answers to questions that have been raised, including: by the representative of the Skjellaaen. Firstly, I would like to say about the project «School in construction site» that I think that the model is very good, as far as I can judge, and it is also evaluated as good. I'll come back to that a little bit. In the case of progression, non-response, removal, etc. in secondary education, which has been affected here today, the situation is that few studies have been carried out in Norway. Now there is a study from NIFU STEP, to which reference has been made, and it is the first in its stroke. But in relation to being able to follow this in a better way in the future, I show, among other things. to our new national quality assessment system, where this with a high level of implementation in higher education is a central element, which means that in the future we will be able to obtain more systematised and ongoing information on this important field. In terms of the number of interruptions, withdrawals and non-responses — whatever you may call it, you have chosen to call it something other than non-response — there is reason to stress that a very high proportion of students in Norway, almost 90pst. if I remember correctly, still in high school after three years. Many of those who fall away have chosen to come back – we have to remember that there are a lot of things that do. In the case of those who are gone for good, so to speak, there are some who are well, for example. in a job situation, but some have actually gone out of work. I guess that's a sign that there's a lot of non-happiness. It's about doing to prevent that kind of apostasy, and to the extent that someone has fallen off, that we're doing something about it. It is quite right, as the representative of Rikvam was here, that there are differences between directions and that there is the greatest concern about some of the professions. So I agree with some of the descriptions given about this. We have put in place many measures and will take further action to address this. I mention the consultancy, which we want to improve. I mention the introduction of programming at youth level, which may make it easier to make safe choices. I mention a new structure in higher education, which means that we should also get in touch with the practical in a professional field already in the first year. I mention that the government has made proposals to extend the right to secondary education to the year when you are 24 years old. I mention that the government has launched its own drop-off project, first in some states, where the experience is to spread to other states. And I mention what more people have been into here, the possibility of choosing different models to meet the needs of different students and apprentices – two plus the two-model, enterprise first, the entire training of the company and other models. ‘School on construction site’ is a creative example. In relation to this, we have stressed that there is nothing in the Training Act or the Labour Market Services Act that prevents this type of action today. I think the main challenge is to get cooperation and interaction between different agencies, and cultures in different departments, and to make it work in the public sector. It may apply at both local and regional level and at State level. I can say that at state level I have initiated closer cooperation between the Ministry of Education and Research and the Ministry of Labour and Social Affairs, just to assess how we can achieve a better interaction between labour market policy and central education policy, which can also have an impact at regional and local level. That investigation work is not complete. So how can we spread local examples? There are a number of methods for that. There is ongoing work under the direction of the Education Directorate in terms of dissemination of experience and dissemination of knowledge. The website Schoolporten.no, where you can go in and look at local examples, i.e. from reality, is actually one of the most popular places. We have already had a presentation of ‘School on Construction Site’ and an evaluation of ‘School on Construction Site’ in the Government’s Forum on Competence and Working Life, where the municipal sector is also represented. We have not only demonstration schools, but also demonstration companies. I also mention that the Education Directorate has been given the task of developing its own quality development strategy in the field of vocational education and training – to mention something. I therefore believe that there are a number of opportunities to disseminate experiences related to this good example. Just as regards the curricula, which were also affected by the representative Bjørnstad, I would like to point out that they are not final. There's a work going on, but what's my very definite impression is that the cooperation between the social partners in the field of professionalism is currently very good, and that's all possible reason to believe that we should be able to achieve something good. It is obvious that all types of objections or suspicions that are encountered in the course of the process are raised, as it is then possible for the Ministry to take this into account in the further work.
ParlaMint-NO_2005-04-12.ana.ud487e254	It's going to be line change.
ParlaMint-NO_2005-04-12.ana.ud487e257	The councils themselves referred to Ot.prp. No 57 for 2004-2005, which we are discussing in the Committee, including: there are proposals to extend the right to take up secondary education until the age of 24 years. Neither the state council nor I'm going to pre-shoot it. But if we extend that right, will it not also be important to have measures to ensure that there is a wide range of offers, to develop many offers for those who fall from them, so that within the extended court they get a good, diverse and varied offer that makes it tempting to come back? Is it not also important to have a good dialogue, not only with establishments, but with business organisations and large enterprises, so that you can also develop a practically targeted offer to get back those who have been jumping off the road in their higher education?
ParlaMint-NO_2005-04-12.ana.ud487e262	I fully agree with that. I believe that we have a good dialogue with the social partners, on the one hand institutionalised and on the other more informal. Of course, we have a good dialogue with the local government sector. I would like to mention that the Government actually has its own Forum on Competence and Work. It went under a slightly different name, I think, under former State Council Lilletun. Then it lay down a period under the previous government, and we created it again. There are all representatives of central education and training authorities and the social partners and others, just to discuss types of joint action. And this is a project that has been presented in detail to this forum, precisely in order for us to be able to disseminate experience in this way. But all good ideas and suggestions on how to develop the dialogue and disseminate experience and knowledge about providing good and individually adapted training to everyone in this country are received with thanks. I would say that it is almost a basic feature of our education policy that we want to disseminate good experience.
ParlaMint-NO_2005-04-12.ana.ud487e267	The school shall be allowed to be chosen for periods. And it's true, as the Council of State says, that many people who opt out of school choose it back after a certain period. And it's going to be allowed to do -- dear friend, we're not going to have a school where everyone's going to be pushed to do just this in four years or in three years, here there's room for getting there in different ways, and spending different time getting there. But if it's because students don't get comfortable in school, they're just struggling with the way you organize the training, then we have a problem. And we don't want to. I think we can agree that we don't want students to choose school because the school doesn't work in a good way for them. It is therefore extremely important that we be able to develop different offers and new offers. And there is a ‘School in the construction site’ such an offer that I sincerely want the Council of State to be strong and clear in relation to the county councils, that this is something that you should try to get together with the local business community, so that it can be a real alternative for students who need this way to organise the training.
ParlaMint-NO_2005-04-12.ana.ud487e272	In this debate it is just sunshine, because I agree with all of this as well. In fact, I agree that ‘School in construction site’ is a very good project. I take it as an example of the cooperation we now have at the central level to improve cooperation between education and labour market and social authorities. For many years, Norway has been struggling with cooperation between labour market authorities and social authorities. Now it's one department. But I think that often the problem is that when you want people from social and into work, competence can be the answer. It is therefore important to also cooperate with the competent authorities. I also fully agree that the disqualification that is not good – to use such an expression – because you might prefer to go to school or be in training, we should try to prevent it. The full evaluation of secondary education, the large differentiation project in secondary education, says that there is too little differentiation, too little variation, in training, and that there is one of the reasons why the students are bored, less motivated and perhaps eventually also ending. But it's important to bear in mind that part of the apostasy we see in the first and the second year, etc., is not necessarily an apostasy to time indefinite. I think it's important to bring it, so this picture won't be drawn darker than necessary.
ParlaMint-NO_2005-04-12.ana.ud487e281	I don't think it's just sunshine when actually the whole 23.7 pst. discontinuance of secondary education in the 2003-2004 school year. Then you don't talk about sunshine. I think it's a very high number, and I think it's worrying. And it might have several reasons. However, I would like to ask the Council of State if she knows how much individual training plans are being used for students, and how much individual training plans are helping to contribute to implementation up to a final qualification, either as an apprentice or by letter. My impression is, in fact, that too little individual considerations are taken into account and too poorly organised, and that this is perhaps the biggest challenge associated with this problem.
ParlaMint-NO_2005-04-12.ana.ud487e288	I am pleased that the representative of the Trustee is so happy that there is now data and knowledge about Norwegian school available and open to all, which, of course, provides a better basis for pursuing a better policy. And now we're starting to get a lot of knowledge about the progress in higher education as well. My point is that if you look at the kind of numbers that are now being referred to, it doesn't necessarily take into account the proportion of these students coming back to the training. And there are certain developments that indicate that this about taking breaks in different ways has also become more common. At least throughout our lifelong learning policy, we have arranged for it to be possible to come back. But I also admit openly that one of the reasons why we haven't extended our right to advanced education forever, and so set a limit of even 24 years, is that we also see certain advantages in that there should be a certain pressure for young people to continue their education. And there is a lot of evidence today that having education also at a level above primary school is a very important condition for doing well in life. In terms of individual training plans and their scope, I do not have an overview of it, but I will be happy to investigate it – if it is possible to investigate it.
ParlaMint-NO_2005-04-12.ana.ud487e297	The next replicator is Arne Sortevik.
ParlaMint-NO_2005-04-12.ana.ud487e300	I actually asked for the word for a three-minute post, but I can use the visit to the Council of State in an extra line. Contact with business is good. I've seen that, too. But what I tried to get was that we need to have a good supply development. And since I was encouraged to make good ideas and good recordings, it's actually in the Progress Party's proposal No. 1st@item: inlistbox In fact, when we receive equal treatment for students with regard to funding, it is possible for interested students to request many offers, including those outside the county council and beyond the county boundaries. So it's a good idea from the Progress Party to make sure that there's a good product development, a good education offer for those who want to get back and get the end of their initial education, that those who are unemployed and want to gain more competence can do it in a practical way, and that there can be a broad offer operated by others than public authorities, but funded by the community, through equal funding for all students.
ParlaMint-NO_2005-04-12.ana.ud487e307	The president's sorry he misunderstood. It's completely possible to draw yourself into a three-minute post as well.
ParlaMint-NO_2005-04-12.ana.ud487e310	That's what it does.
ParlaMint-NO_2005-04-12.ana.ud487e318	With regard to contact with the labour market, I will also refer to the strategy plan developed by the Government in the field of entrepreneurship in school. I think it is gratifying that there is so much excitement about cooperation and contact with the business community, as sometimes in other debates you get the impression that it is about keeping the arm's length away from everything that has to do with business. With regard to the funding of primary schools, we are aware that the Progress Party has the position that there should be zero probabilities and 100 pst. funding, while the Government has committed itself to 85 pst. of the operating costs, a gradual introduction of a certain capital grant and limited excesses. I believe that there is a question that can be discussed. There's different views of it, I don't see the very big differences in principle of having a tiny proportion and not having any, but there's someone who's concerned about that difference. The big theme in this room should be that there's someone here who thinks that there should be cloudy peculiarities, because the cuts to the colleges are going to be dramatic.
ParlaMint-NO_2005-04-12.ana.ud487e325	Now I felt that I also had to use the opportunity in the line change, in order not to seem uninterested. There is a great deal of agreement in the setting in relation to the matter. But I just want to take the opportunity to re-examine what I was worried about, and about which we have got a lot of input, not only from the social partners, but also from school students who are out in professional schools – the one with the professional correction of the education programmes. I believe that what we are discussing, ‘School at work’, which has been adapted individually, tailored to individual levels, is a small part of the overall scope. I feel that with the professional correction of professional courses of study, it is the very basis for reaching most. Many people are concerned that there is no need to tighten up now, so that one with too tight teacher plans actually gives a signal that one should not have professional correction adapted to the different educational programmes, but a much more streamlined template for all — including professional and public subjects.
ParlaMint-NO_2005-04-12.ana.ud487e334	I have taken note of this point of view, and I am taking it into account in the further work on the implementation of the Knowledge Lift. I remind you that we have called for contact with the subject itself for the first year of higher education, if you choose a professional course. Someone who wants to be a hairdresser will be allowed to cut already the first year. I think that can be motivating for many, or you can find out in time that that's not what you want to do. Otherwise, I think that the problem that is raised here on a general basis would be greater if you went along with what I see the National Assembly of the Workers' Party has now agreed, namely that everyone should be prepared for study after they have completed secondary education, anyway.
ParlaMint-NO_2005-04-12.ana.ud487e343	The cord shift is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2005-04-12.ana.ud487e348	It was just a brief remark to the representative from SV, who gave me a visit and said something like this was too important to attack the county council. Now it is the case that SV itself brings the county municipality into this case. This is SV's Document No. Eight proposals, and it's SV, which is basically so outstandingly sure that the county council will get legalized as a task, that they'll notify it and try to get it through a Document No. Eight proposals. Then faith falls a little along the way, and there's little faith back in the end, because the proposal is specifically not repeated. We agree with much of the substance. It is important to ensure that pupils complete their education, and it is important that those who have come out of work and lack competence try to obtain it afterwards, and that those who are unemployed and incapacitated also have the opportunity to obtain it. But we're quite ghastly in disagreement with the Swedish authorities about the instruments, and we disagree with the fact that the county council is going to have new special tasks in addition to the monopoly situation and position they actually have in the field of higher education. It's an important thing to get diversity in the offer. This is what we do best, in the opinion of the Progress Party, by letting many others go to offer higher education, by putting many others in competition with the County Council, as the scheme is today. Then it will be a diverse offer. The prerequisite for many to benefit from a wide range of offers is that those applying for offers other than those offered by the county also receive a financial backing equivalent to that obtained by choosing the publicly managed offer. That is where the agreement between the Advance Party and SV ends. So we're going to let go of diversity, we're going to ensure freedom of choice for all types of students who want to go to higher education. So that's how SV will choose for the many, preferably for everyone, and that's the basic disagreement with the Progress Party.
ParlaMint-NO_2005-04-12.ana.ud487e361	It surprises me what is really the purpose of such an article in a debate on how to organise higher education. The very thing, most of the secondary education today, is in the county municipality. They're the ones who drive it, and they're still going to drive it. This was a proposal to try to stimulate new organisational methods within our education system. We have experience, we've got an evaluation, we've got all this on the table, and then we promoted a proposal out of it. We took up an evaluation report and said that we have to learn from this, we have to use it, and we really want all county councils to use it. And to the extent that there is private secondary education, they also have to use it – dear friend, that’s not the point. But this is about adding proper training. I have to say that I think it is quite revealing that the Progress Party is making this a debate on private schools versus public schools. We're going to have a good education system where we can get the most out of it. That is what we have put forward, and I sincerely hope that the Progress Party understands that. This is quite revealing to the Progress Party. They may not have any education policy at all, except to ensure that there are some private actors in this system.
ParlaMint-NO_2005-04-12.ana.ud487e370	Several have not asked for the floor on case No. 1st@item: inlistbox [[Fotation, see page 2037]]
ParlaMint-NO_2005-04-12.ana.ud487e386	At the request of the Church, Education and Research Committee, the President will propose that speaking time be limited to 5 minutes for each group, 5 minutes for each independent representative and 5 minutes for the Council of State. Furthermore, the President will propose that five lines of response be given to comments by members of the Government within the allocated speaking time. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2005-04-12.ana.ud487e395	The document promotes proposals to remove today's CRL in school and replace it with two subjects: a confiscational Christian subject with a right of freedom and a neutral religious and life philosophy, with a high emphasis on Christian education, and where students do not have the right to exemption. The discussion of what was finally the CRL subject has a long history. Already in 1969 the Stortinget decided that the subject of Christian knowledge at the time was not to be part of the baptismal training of the Church. When the CRL subject was evaluated in Innst. S. No 240 for 2000-2001, the Committee unanimously stated: ‘Christianity knowledge with religious and life-oriented orientation shall contribute to providing students with a common knowledge, culture and value base. [[CRL]] In an increasingly multicultural population, school training must aim at promoting understanding, respect and ability to dialogue between people with different perceptions of faith and outlook on life. At the same time, the subject shall provide students with a better understanding of their own religious or life-seeing tradition and identity.» The Committee further stated: ‘The Committee points out that the KRL is an ordinary school subject, anchored in the overall objectives and guidelines of the ten-year school curriculum. The trade shall provide knowledge of religions and outlook on life, not training in a particular faith.» The Committee stressed in the evaluation the importance of the openness of the CRL subject, of contributing to the understanding, respect and dialogue across the limits of faith and life, and of promoting understanding and tolerance on religious and moral issues. Basic knowledge of each other is a prerequisite for respectful dialogue and social inclusion. The majority of the Committee now refers to the work being done on new curricula for the CRL subject, a work based on the political consensus on a common CRL subject. At the same time as this process, legislative proposals related to the subject are now being consulted. The majority of the Committee, with the exception of representatives Evje and Simonsen, therefore wishes to reject the proposal.
