ParlaMint-NO_2005-06-08-upper.ana.ud1734e146	There is no record available.
ParlaMint-NO_2005-06-08-upper.ana.ud1734e352	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-08-upper.ana.ud1734e368	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-08-upper.ana.ud1734e384	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-08-upper.ana.ud1734e400	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-08-upper.ana.ud1734e416	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-08-upper.ana.ud1734e432	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-08-upper.ana.ud1734e449	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-08-upper.ana.ud1734e465	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-08-upper.ana.ud1734e481	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-08-upper.ana.ud1734e497	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-08-upper.ana.ud1734e513	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-08-upper.ana.ud1734e529	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-08-upper.ana.ud1734e545	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-08-upper.ana.ud1734e561	The constitutional function of the creation is known to be a security mechanism in relation to the role of the Storting as legislator. The treatment of the layering provides an opportunity where we can, with distance to the work of Odelsting, take a look at the daily sordidness of political strategy and, in reflection, correct ourselves where this is necessary. The debate of the last weeks and the proceedings of the copyright law we have witnessed, suggest that the creation of this matter must be actively involved in its task. The creation is the forum in which a debate on the quality of the work of the Storting belongs, and with the treatment of the copyright law as the starting point, this is my concern. The Government Parties believe that both the examination of the copyright law by the Committee and Odelstingen indicate that the proposal for a new copyright law should be sent back to the Government for review before the Stortingen case is brought before it again. I would like to give the following further reasons for this proposal. As legislators, we in Stortinget have a great and complex responsibility. Two key aspects of this are: The adoption of laws which are operational and comprehensible to the population must be based on compliance with our international obligations. If we do not carry out these two tasks consistently, we undermine the image and authority of Storting, not only to our own citizens, but also to our international partners. This is a serious perspective, and it should be the Creation of reflection. Let me first go into our relationship with citizens of our own country: the acceptance of having rights to copyright has grown through a long historical process. Today's rules find their basis on a laboriously structured respect and understanding of the audience that paying for copyright is in common interest with the authors. The principle principle is that the creator of the copyright has the exclusive right to dispose of his work. This exclusive right has been modified by a number of provisions laid down in the Law on Private Use, Use for Education, News Coverage, etc. These are restrictions on the legal sphere of authors that deal with well-balanced boundaries developed over a long period of time. The exclusive rights of authors are not only enshrined in Norwegian law, but are also the cornerstone of the main international treaty in the area, the Berne Convention, a treaty we are of course obliged to do so. Any intervention — I repeat, any intervention — in the authors' exclusive rights shall, in accordance with the Berne Convention provisions as well as under Norwegian law, remain the so-called three-step test. This implies that a derogation from the exclusive right shall be granted only in special and limited cases, it shall not prejudice the normal exploitation of the work and shall not unduly prejudice the legitimate interests of the author. My concern is not to polemise the content of the majority proposed, nor to contest the majority's right to put political leadership in the direction of major interference in the author's exclusive right. My concern is to ask what requirements we as legislators have to make to ourselves when we actually do. In this specific case, this concerns, among other things. on majority comments which show in a slightly different way clear restrictions on the exclusive rights of authors. If these restrictions had been promoted as legislative proposals, they would have been the subject of legal assistance, precise wording, and would have been professionally tested in relation to the three-step test of the Berne Convention and possible other international obligations, such as: coordinating them in Nordic law cooperation, which has also been an important issue in this area of law. So now they're not promoted as legal texts, they're rather lying down as half-wheat shows in a vacuum where there's a lot of uncertainty about what this really means. The fact that, first in the public debate and later in Odelsting's debate, a number of opinions have come forward that seek to explain what has really been meant has not made the matter any better. Then you might be surprised that comments can lead to such powerful reactions. I guess many of us don't think that's important. I have also heard that some of the majority have tried to reassure those affected that it really doesn't play a big role. What do we mean by the comments we write? Is the non-obligatory face that can be used when they are positive to our voters, or is the binding statement that makes the views of the parties visible? In our work we have to take inwards that the comments as a law-worker are an important source of justice. Notes are also political signals of what we are waiting for, in this case by any red-green government. As a result, they are also leading the way in which potential negotiating partners develop their strategies. If you look at how the practical life of copyright works, I think you'll understand why we've had such strong reactions. The work of TONO or Kopinor is not carried out in the courts. It is carried out in direct contact with the users of copyright, and is based on the respect and authority of the system as such. Thus, the observations of the law are of importance not only as a basis for interpreting the specific legal provisions, but in practice perhaps as much as a back ground for the ongoing negotiations between the parties. When the photocopying machine came, we all copied as one, whether we were allowed or not. Slowly, but surely Kopinor has gone the thorny way it has been to make sure to get consideration for this. It didn't happen in the courts, it happened under the cover of a law that in its legal provisions, its law-makers and in its international anchoring was consistent enough for the parties to know what they had to stick to. Some of the comments we now have to make, in conjunction with contributions from the four parties that make up the majority here, undermine in practice what the authors' organisations have to rely on. Of course, the extended interventions described in the comments will be tried by those who otherwise have to pay. And if there's an experience that everyone has tried to get paid for the use of their works, it's that where someone is waiting to get something for free, it's very difficult to reverse the willingness to pay. This is well illustrated in yesterday's Business Day, where the Municipal Councils' Central Association confirms that they will carefully address the signals given in the comments when the agreements with the Copino will soon be renegotiated. So we're dealing with comments that matter to them, but that's not the same way that the legal text is quality guaranteed in relation to the three-step test, that's the basic requirement for what is needed to interfere with the rightholders. The formulations are also not conceptual in relation to what users should relate to. I have used the restriction of exclusive rights as an example. It would lead to too far addressing all issues related to, for example, ‘free use’ or ‘commercial area’. The point is clear: there is still a problematic grey zone for those involved in dealing with what Odelstinget has done. This is not a political craft The Storting may be familiar with! The second aspect of Placing should be noted in this case, under the responsibility of the legislator in relation to our international obligations. We are now inside the so-called MP3 section, i.e. the adopted proposal for a new section 53a. Yes, MP3 paragraph – now it has also become so that the entire copyright law in the press is called the MP3 Act – a focus for reflection, when we know what important and fundamental issues copyright is covered by on the threshold of a new and digitised age. It might tell us something about the weight of the youth organisations of the political parties, and maybe in particular three months before a big decision. Even if it is – although this wallpaper is important enough in the context. The whole space in which the EU directives provide for the formulation of the Norwegian rules. This is about copying CD with copy lock. This is based on the EU's refusal to copy. However, in accordance with Danish rules, the Ministry had softened this somewhat, so that the bill also allowed a copy-block to be breached when this was necessary to have the CD-ROM played on commonly available CD-ROMs, such as car stereo – an area where consumer complaints have occurred. So the Ministry had already extended the EU directive. The central point in relation to the Directive is its requirement to describe an operational limit to which it can be copied. The Ministry set this limit on the transition to a new format. After all batches expressed a clear desire to include MP3 players in the exception, i.e. that MP3 should be allowed, the Ministry has taken note of a proposal from the Government Parties, where MP3 is explicitly mentioned. This proposal therefore still defines a limit as required by the EU directive. However, the majority have landed on a formulation of the legal provision which does not set a limit but which states briefly that copying should be permitted to equipment which is considered to be relevant. Then there is nothing left of the content of the EU regulation, and if we look with light and light for where that limit is to be set, we are left with the question: What can the underlying legal assessment be to claim that this is compatible with our international obligations? The Ministry’s legal expertise in these matters is very well recognised. In response to questions from the Committee, it is explicitly made clear that the majority are in conflict with the Directive – the rights-holders’ organisations and the country’s most prominent lawyers in this area. On the part of the majority, I cannot say that I have taken note of any independent consideration, or public statements from the debate, or observations from a broad range of qualified lawyers who publicly support the formulations of the majority in relation to this issue. It's just said that it's unproblematic, and in some contexts it's obvious that you've discussed this with other lawyers, without any underlying assessments coming up with it. We, as politicians, are to be administrators of the common sense. That's our problem. But in complicated questions of the kind of copyright law travels, it must be obvious that we have thorough and widely available documentation for our positions, at least where, as representatives, we go diametrically across the department's professional assessments. In general, the treatment of cases by large does not seem to be characterised by a great deal of knowledge about the functioning of EU agencies. For example, during the Odelsting negotiations on the copyright law, considerable attention was paid to the fact that the majority would provide additional explanations as to what they included in the proposal for the provision in Section 53(a), i.e. the MP3 paragraph, because that is important in Norwegian context. The working party and SV then made it known that they thought of the same thing as the government parties, but they would not go for the government parties' text proposals. Probably this was a discussion about the pope's beard. EU Court of Justice practice clearly shows that precise opinions of the processor are not considered sufficient to meet the implementation requirements of the EU. I would also like to remind you that as we approach these questions, we are also approaching issues related to Norway's access to veto in such cases and how we are going to deal with them. I guess we won't consciously bypass that issue. Let me briefly sum up: the Committee's and Odelstingen's proceedings have not given a law where text and the processor provide a good tool for the users. A number of issues related to comments of operational importance for users are not adequately quality assured in relation to international commitments. It should be noted that these observations concern the core area of the copyright law, namely the issue of copyright interference. Finally, the majority of Odelstings have adopted a provision that the Ministry and its heaviest expertise in copyright in the most specific opinion are contrary to EU directives, without any concrete legal basis being indicated from the same majority. This cannot be known by Stortinget. The size needs a review where the department elaborates on the themes of which it is now unclear, so that the Stortinget will have a new opportunity to formulate its opinion. Such treatment will also nullify the uncertainties and incurries that are now encroaching on the matter, which will all be earned. On this basis, on behalf of the Right Party and the Christian People's Party, I take up the following proposals, which are also distributed in the Chamber: ‘The decision of the nodule is not accepted.Note: It is recommended to Odelstinget to send the bill back to the Government.’
ParlaMint-NO_2005-06-08-upper.ana.ud1734e651	The representative, Olemic Thommess, has drawn up the proposal he referred to. The President would draw attention to the fact that the work of colleagues as ‘non-committal foe’ is not parliamentary, and that the expression should therefore not appear in the Chair of the Lamentations.
ParlaMint-NO_2005-06-08-upper.ana.ud1734e656	On behalf of the majority in this case, the Labour Party, the Advance Party, the Socialist Left Party and the Center Party, I would say that Ot.prp. No 46 on the copyright law was dealt with in detail in Odelstinget last Saturday. The majority do not change the position of this case and refer to the decisions taken at Odelstinget. The majority will therefore vote against the proposal of the representative, Olemic Thommessen, that Odelstinget send the bill back to the Government.
ParlaMint-NO_2005-06-08-upper.ana.ud1734e663	No more words have been asked. We shall then vote on the proposal by the representative of the Olemic Thommess on behalf of the Right and the Christian People's Party.
ParlaMint-NO_2005-06-08-upper.ana.ud1734e674	The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-08-upper.ana.ud1734e688	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-08-upper.ana.ud1734e704	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
