ParlaMint-NO_2005-02-02.ana.ud299e29	The called alternate of the Troms County, Knut Werner Hansen, has taken the seat.
ParlaMint-NO_2005-02-02.ana.ud299e128	Following the political process as drawn up by the Security Council is, of course, the very best means of gaining full Iraqi control in one’s own country, i.e. that the stabilising strengths present are extracted. The sooner you get the political process going, the faster it will go. It has always been the purpose of the government's policy. That's why, after the war was over, we went in and assisted the Iraqi authorities, among other things. with the engineers we sent down, as well as the assistance I gave in reply to Thorbjørn Jagland. The problem here has been that there has been little interest on the part of the SV in particular in this side of our Iraq policy. It has been largely about commenting on American politics. If the question from Karin Andersen now implies that you agree that the government here has followed the right solution, I think SV is also on the right track. But the SV's problem has been that you have always looked back and not forward in the Iraq question.
ParlaMint-NO_2005-02-02.ana.ud299e136	Let's move on to the next main question.
ParlaMint-NO_2005-02-02.ana.ud299e139	I have a question for the Minister of Finance: Right-wing leader Erna Solberg stated in yesterday's tabloid that the Sem-Declaration will certainly apply to this government even after the elections. Then, of course, I am a little surprised that the Right at all creates a new batch program, especially because we have read in the newspaper that the Right should also go in the next period to reduce the car charges. However, in the Sem-Declaration, the government only calls for a provincial neutral conversion of the car charges, which will, of course, mean that there will not be a reduction in car charges at all. Then my question becomes to the Minister of Finance and the Right-Man Per-Kristian Foss: What will he do with the sky-high car charges after the election, if he is allowed to continue as Minister of Finance? It is sometimes a little difficult to understand what the Right really thinks about car charges, and I could imagine that the Minister of Finance made it clear.
ParlaMint-NO_2005-02-02.ana.ud299e146	It is difficult for me to explain what happens to the Right Programme at the national meeting in May, if you ask for it. However, it is clear that the Right Programme, as adopted, will form the basis for Right participation in future government cooperation. Of course, the main principles of the Sem Declaration will continue to apply to a government based on the same batches, but new tasks are not mentioned in the Sem Declaration, and the Government has presented a series of big business messages with forward-looking tasks. I mention, since the question concerned the economic area here, the tax communication, which requires further relief, especially in wealth taxes and marginal taxes, in order to remove the sharing model. We have also provided other communications that point to economic challenges in particular in the field of school and education. And then time will show how far you reach in the individual areas over a coming four-year period. But I am pleased to hear a question asked in a way that requires this government to continue.
ParlaMint-NO_2005-02-02.ana.ud299e153	I do well to remind the Minister of Finance that the wording of the Right is identical also in the current period, and it is established that the Norwegian car tax is among the highest in the world. The ambition to reduce these seems to be significantly reduced in this government. On a question from the representative, Mr Hagesett, on the need for EU harmonisation - the EU is planning to convert and reduce car charges - the Minister of Finance almost rejected the need for similar reductions in Norway. It cannot, as I see it, be interpreted differently than that the Minister of Finance has no ambition either to implement the Sem Declaration in terms of a profit-neutral conversion of car charges, or to contribute to a reduction in car charges.
ParlaMint-NO_2005-02-02.ana.ud299e166	There are two crazy premises in the question. One is the reference to the EU. It is not correct that the EU plans to reduce or convert car charges. I was as late as last week in meeting with the Commissioner responsible for taxes and taxes. On the other hand, the EU has pointed out a case against Denmark, which may have EEA implications, is a charge for the use of a car from another country. It is not a question of entering into the overall level of car charges in a country. The second crazy premise is that I have excluded doing something with car charges. From an environmental point of view, there are significant challenges in being able to change car charges in a way that is environmentally sound but does not, at the same time, open up to cheating, in that sense, under the name of the environment. Here we are facing some technical challenges and some economic challenges.
ParlaMint-NO_2005-02-02.ana.ud299e173	There will be three follow-up questions - first Gjermund Hagesets.
ParlaMint-NO_2005-02-02.ana.ud299e176	For every second the Minister of Finance talks, the government collects NOK 1665 in car-related charges. For every minute that goes by, the state requires $100,000, and for every week, $1 billion. On an annual basis, the state collects more than 50 billion kroner in car-related taxes! Due to this huge tax evasion of Norwegian drivers, Norway currently has an old car park. Our car park is more important, and it is more dangerous than the car parks in Europe otherwise. Every day, many of their children drive to kindergartens and school in traffic-hazardous cars because the level of the charge means they can't afford traffic-proof cars. My question to the Minister of Finance is, is it not reasonable then to lower car charges, especially the one-time charge, so that people can afford more traffic-proof and more environmentally friendly cars?
ParlaMint-NO_2005-02-02.ana.ud299e183	There are interesting numbers the representative mentions, and I am pleased that the Progress Party has voted for everything. In a budgetary settlement in the United Kingdom, the Progress Party has agreed that such charges will apply in Norway this year. Nevertheless, the new car sales keep putting new records away, so that both with children and without children can transport themselves – and their children – in ever newer cars. And if we also keep the speed limit, I'll say this happens in a reasonably safe way.
ParlaMint-NO_2005-02-02.ana.ud299e188	Suffering from the answer to the question of car charges might not have been the most obvious, it is interesting that the Minister of Finance states that the Right goes to the elections on the Right's programme. If the Right left left the simple fact behind for all the parties, maybe we could have a simpler debate on some of the issues we're facing when it comes to the election. The problem is that the right seems to be making completely different demands for lots other than what they make up. It is not only the car charges that are interesting as to what can be the government's policy after the election. We are also concerned about knowing whether it is the Right Programme that is the basis for the tax bill in the next period, or whether there is a negotiated platform before the election. Is it the promises of the Christian People's Party to the children's families that are now to be fulfilled also from the Right - and has the Right the seven billion on the table? Will an agreement be negotiated before the elections, or will each of the parties be allowed to vote on their own programmes?
ParlaMint-NO_2005-02-02.ana.ud299e195	In the President's opinion, you slip a little far away from the main question here, but the Council of State's task is to answer-- if he wants to.
ParlaMint-NO_2005-02-02.ana.ud299e198	I thank you for this very much interest in the Right Program, but I understand that we are not entirely alone in aiming for coalitions and at the same time go to the elections on our own program. I understand that has become a trend gradually, and it is not so unusual in Norwegian history. And then the time will tell you what strength the voters give the parties in the election. It is clear that this government has committed itself to implementing a tax reform, where at least 10 billion kroner are left before we can meet the promises of conversion to a fairer tax system with emphasis on marginal tax relief, sharing model and reduction in property taxes.
ParlaMint-NO_2005-02-02.ana.ud299e206	Heidi Sørensen - to follow-up questions.
ParlaMint-NO_2005-02-02.ana.ud299e209	We share this government's view that public transport in big cities is the most important challenge. However, it should not be in the way of a provincial neutral conversion of car charges. Now we have a situation in Norway where the most environmentally efficient, the most environmentally friendly cars, are not being traded. There's demand for them, people want to buy them, but they're not being traded, because Norway doesn't get priority from the car companies. An environmentally friendly conversion of the car charge, so that we prioritise the cars that pollute the least, could have made Norway a country that was involved and pushed forward a move towards a more environmentally friendly technology. As the Sem Declaration also states that such a conversion is desired, it is well, as the election approaches, that it is time to ask whether the Government will take the initiative in such a conversion. I am sure that we could jointly overcome the technical and environmental challenges it brings.
ParlaMint-NO_2005-02-02.ana.ud299e216	This question was raised by the Government before the Stortinget in its last year’s budget proposal on the basis of a very comprehensive investigation into car charges. There was no concrete proposal from SV on that occasion, but if SV has solved all the technological challenges by distinguishing between good and bad cars when they are bought new, and ensuring that they remain so in their lifetime, I will look with interest at it. But no such proposal has yet been made. We have, as we know, provided full exemption from both purchase fees and other charges for electric cars, without - to put it that way - having become a violent turnover for that reason. Other non-emission cars have also received such tax reliefs, but not hybrid cars, for example. very easily switch over to the normal engine with the resulting emissions. This is an example of difficult borders, how a purchase fee, i.e. a one-off fee, could vary with the use of the car.
ParlaMint-NO_2005-02-02.ana.ud299e223	Then we go to the next main question.
ParlaMint-NO_2005-02-02.ana.ud299e226	I also have a question for Minister of Finance Per-Kristian Foss. The right has now presented a programme in which they want a new DKK 23 billion in tax relief for those who have the most. Most of this world is not free, the exception may be air and love. This means that the voters have a right to know who will pay for these tax credits. If one sees what the Right has done in this period, there is well reason to assume that this will mean increased excess in the sick, multiple cuts in the local economy, the removal of the maximum price in the kindergartens or more cuts for the unemployed and the social security, as has been done in this period - or perhaps it will be the removal of the trade-union deduction or other socially justified deductions, which Right has, of course, been addressed in the tax reform. What the voters have to know is how to finance these 23 billion dollars. What we've seen in this period is that the tax reliefs that have mainly taken those who have the most have been paid by the insured, by the unemployed, through cuts in welfare schemes, for which the Right has gone in the rush. The right-hand side requires other parties to say what they mean. Then you also have to say to the right of the picker where you want to cut the right.
ParlaMint-NO_2005-02-02.ana.ud299e235	I was hurt for a moment to think that it was the representative of Stoltenberg who was standing on the platform, but I understand that the rhetoric -- to those who have the most from before -- is now practiced as part of common efforts. The main tax reliefs of the 23 billion DKK that the Government has given in this period, or that we have failed to absorb so that they have remained either in businesses or in individual households, are linked to the work of strengthening both the well-being and the growth capacity of the economy - both parts have succeeded. For each krona given in tax relief, well-being has increased by $2.50. So the welfare effort is much stronger than it has been in the past, and it is much stronger than the tax relief effort. At the same time, the figures, which came as late as today, show that this government has really succeeded in growth in employment and in the economy, more than anyone could expect. The latest employment figures show further growth upwards, and we have hardly experienced such a high level of employment as now. Still more industries report good times, all arrows pointing up. In this way, we have succeeded in stimulating the economy through a moderate investment in tax relief. And we'll do that in the next period if we get a warrant for it.
ParlaMint-NO_2005-02-02.ana.ud299e242	It is not possible to fail to answer this question with this kind of explanation. During this period, major cuts have been made in different areas, particularly for the unemployed, the insured and, for example, the unemployed. the school leisure system - many different public schemes. My question is, what does the Right say to the voters in the next period? The areas I referred to in my first question are those in which the Right in its programme during this period has proposed cut. So let's do that. increased excesses: the right-wing government has in every proposal for a State budget proposed new self-proprietary increases. Now you want to attack the maximum price in kindergarten, where we have the biggest bet ever. The next question is: do the voters have a right to know where to cut these 23 billion dollars - or does that mean that the money will come out of nothing? We know with certainty that there is nothing in this world that is free, and at least not tax relief, for tax reliefs have to be paid crowns for crowns by some. The right has to say to the voters: yes, we take the money from the insured, as we have suggested in this period.
ParlaMint-NO_2005-02-02.ana.ud299e249	No, the money is not taken from nothing. It is only SV's alternative state budget that operates with - as Djupedal so illustratively expressed in a TV show recently: our alternative state budget is just an illustration. That's not how we operate on budgets. The government's plan is to continue the kindergarten development. Once kindergarten development has reached full demand coverage, the maximum price will also enter into stage 2, as foreseen by the agreement with Stortinget’s batches. We will continue to invest in health, in school and in kindergartens -- as I mentioned -- which are important welfare initiatives, and which are combined with tax reliefs. We've shown that it's possible to use tax relief as a contribution to economic growth, and then, to use a simple picture, it gets bigger, it gets more to share and more to well-being.
ParlaMint-NO_2005-02-02.ana.ud299e258	There will be three follow-up questions - first Audun Bjørlo Lightbakken.
ParlaMint-NO_2005-02-02.ana.ud299e261	I have also read the Right Program Draft and got with me the promise of 23 billion new tax credits. After the members of the Government have spoken together at Sem this weekend, the Prime Minister has moved out and said that the tax bill for the next period will be NOK 10 billion. It's a big crack, isn't it? I think there are many who will be interested in being informed by the Minister of Finance about how this gap is to be understood. Is it so that this is the Christian People's Party's policy, or is this a sort of fiscal common programme that has come out of the weekend's negotiations? Is it so that the Minister of Finance has negotiated the 13 billion extra billion of Jan Tore Sanners during the weekend, or is it such that what fiscal policy a new bourgeois government will pursue is completely blue?
ParlaMint-NO_2005-02-02.ana.ud299e266	I liked the expression "in the blue" very much. Both questions have been answered earlier. The tax notice from the Government has concretely stated itself to just as much as DKK 10 billion as the tax reform requires. Then, of course, a government policy after the elections, a government based on the three current parties, will depend on the party's strength relationship in terms of how far you get in additional tax reliefs. But I think this huge interest in tax relief from SV is interesting. In any case, SV will go against everything that is proposed and at the same time propose some tax incentives. In particular, it will be necessary for SV when the main impact on the alternative budget, cut in cash support, is lost. It will be interesting to see what it will replace with in future alternative budgets - or illustrations.
ParlaMint-NO_2005-02-02.ana.ud299e274	Hill-Marta Solberg - for follow-up questions.
ParlaMint-NO_2005-02-02.ana.ud299e277	When the Right presented their proposal for the program, they were crystal clear and concrete at one point, namely, how much would be given in tax bills in the next period - NOK 23 billion. Per-Christian Foss answers in the Storting here today that in the period that has passed, there has been a strong growth in welfare. It is suggested that there will be welfare efforts in the next period. My questions are: Has the Minister of Finance and his department calculated - as they do in relation to the programmes of other parties - what is the price tag on the welfare increases that the Right rate on the next period? Is it possible to tell you this today?
ParlaMint-NO_2005-02-02.ana.ud299e284	It is not a natural task for the Ministry of Finance to make any calculations of the programmes of the various parties. We have not done that of what comes as leaks from the Workers' Party's programme, nor of what came today, about violent investments in gas technology beyond what the Government has done. But I hope there will be room for significantly greater welfare efforts than only the funds that the Workers' Party will have by going against the Government's proposals for tax relief. This period of time that we have left behind has shown that it is possible to combine significant tax relief with even greater welfare efforts. And we're going to keep doing that.
ParlaMint-NO_2005-02-02.ana.ud299e289	Gjermund Hageseter - for follow-up questions.
ParlaMint-NO_2005-02-02.ana.ud299e292	The progress is not alarmed by 23 billion dollars in tax bills, on the contrary, we could think significantly more than that. The reason why we're busy is that good framework conditions are important. We must have internationally competitive framework conditions, and then we must also reduce the level of taxation. In this way, the basis for economic growth can be laid, and one can have more and safer jobs in Norway. This gives you a larger tax base, and the cookie to distribute will be larger. This may be called dynamic effects, and it was also Right-handed before they entered the government position. My question is: Shouldn't the Right be more good at detecting these dynamic effects, that one depends on getting the tax level down to lay the foundation for good economic growth and getting more and secure jobs?
ParlaMint-NO_2005-02-02.ana.ud299e301	This reasoning is very correct, but there is one important element missing, perhaps the most important one: the amount of tax relief and spending on the State budget must be balanced against a rule of action that is important in order to provide a basis for monetary policy facilitation. For a normal family today, it has meant a lot that we've got interest down, and that business has a dollar price that it's possible to live with. It's an important element. If you use too much, you promise too much, you do too much, you don't get this effect. That's what we've got, unlike some other countries that haven't succeeded in getting the dollar, or the exchange rate, subdued, inflation down or, and not least, unemployment down and employment up. So it's important to balance points in the economy, not just to dose by heart or by batch program.
ParlaMint-NO_2005-02-02.ana.ud299e306	Let's move on to the next main question.
ParlaMint-NO_2005-02-02.ana.ud299e309	I have a question for the Minister of Finance, but start by noting that the Right is not willing to tell us how much we are going to bet on school, care for the elderly and health in the next period. Now we experience every day that government members boast of how well everything is going - everything is going so much better. It's true that we have recovery in the economy. It's true that we have a low interest rate and that many people have gotten better. But while the Minister of Finance has been in his department, more than 90 000 people in this country have been pushed out of the ordinary labour market - that is the sum of the more unemployed, the more unemployed and the more unemployed today. This is a development that, in my view, clearly goes in the wrong direction. My question to the Minister of Finance is: Is he satisfied with this development? What's his comment on the 90 000 who don't enjoy -- but which on the contrary is outside -- the evolution we're now seeing?
ParlaMint-NO_2005-02-02.ana.ud299e316	First, a brief comment on what is called the observation. No, it would not be right to stand here and give budget figures for 2006, 2007, 2008 and 2009 in important areas. But if the representative of Solberg believes that the Workers' Party's forthcoming programme provides a basis for this, I look forward to a joint tripartite calculation of what will be invested in four future budgets. So the question of the number of people leaving the labour market because of social security and other conditions. I fully agree that this is too big a number. Therefore, reforms have also been implemented by the Government and proposed reforms aimed at limiting the exit from the labour market, for example. through changes to the disability insurance scheme. It is too early to establish how strongly they have worked, but everything suggests that the number of people who are now on temporary disability benefit is more likely to return to work. Among these - less than 90 000, which was the figure mentioned by the representative - there is a large group that is also in the process of rehabilitation and rehabilitation. It's not right to say it's negative -- it's a group that's going back to the labour market, hopefully. When the representative Solberg was Minister for Social Affairs, it was also about 13 000 on disability insurance. It's a lower number than what we now have. But even then, we wouldn't use it as an example of a failed policy in itself. That's the result of new jobs and getting unemployment down, which really counts. However, I note that the Labour Party also supports reforms within pension systems and disability benefit systems aimed at keeping more active in the labour market.
ParlaMint-NO_2005-02-02.ana.ud299e325	It's not possible for the government to avoid this reality, even though these figures are not on the government's show list. It's a reality that's clearly part of the government's responsibility. It is my opinion that, among other things, the strong decline in the priorities of the labour market policy under way by the current Government has helped to contribute to exclusion, and has also contributed to the increase in disparities. In a society where a lot of people get better, it's extra bad to be the ones outside. Then it is extra bad to be unemployed and have also experienced that the unemployment allowance has been tightened up.
ParlaMint-NO_2005-02-02.ana.ud299e330	There is nothing to suggest that the organisation of labour market measures has now contributed to a larger proportion of the long-term unemployed or of people who do not come back to work at all. In the past, I have understood on the Workers' Party that the workline, as it was then called, consisted in creating both new jobs and increasing employment. Now more new jobs are created than before, the number of bankruptcies is falling, innovation is increasing, and employment is increasing in parallel with falling unemployment. I may think that political debates should focus on what is wrong. It's going well here! Perhaps the Workers' Party will cost itself a little bit of praise for it and rather concentrate on the political disagreement.
ParlaMint-NO_2005-02-02.ana.ud299e338	There will be two follow-up questions - first Tore Nordtun.
ParlaMint-NO_2005-02-02.ana.ud299e341	I agree with the Minister of Finance that much is going well, but there is also a good deal that falls outside the distribution that is now going on. Let us take the unemployed, on whom the Minister of Finance was in. I will mention a number of points: cuts in the sick pay scheme, cuts in the daily allowance scheme, removal of the holiday allowance for the unemployed - the social benefit period has fallen from three to two years, the unemployment requirement has increased from 40 to 50 p.m., the minimum income requirement has increased, the number of waiting days has increased, etc. These are points that affect those who are unemployed. I have to ask whether this is a correct and good distribution policy? There's someone who's being pushed even further out. And then my question is to the Minister of Finance: Has the welfare increased for those who fall out of the labour market?
ParlaMint-NO_2005-02-02.ana.ud299e348	The number of people available is at full speed down. The change in the leave measures has, among other things: This means that fewer people spend time on leave and that they get more incentives to apply for a job. Labour market measures have been put in place to focus more on job-seeker courses and the like in order to qualify people to get out of line more quickly. It's important. The important thing is that the unemployment rate goes down, that fewer people are unemployed, and that the opportunity to get a new job is better than before. Otherwise, I would like to mention that the development of purchasing power for all groups, regardless of income, has increased significantly in recent years as a combination of moderate wage settlement, low interest rates and tax relief. It's part of a picture, too.
ParlaMint-NO_2005-02-02.ana.ud299e355	Karin Andersen - for follow-up questions.
ParlaMint-NO_2005-02-02.ana.ud299e358	That's enough for the average to be good, but some people get worse. The score is: Is the government busy with these? When the Minister of Finance talks about getting more incentives to get a job, it essentially involves cutting benefits and well-being for those who are ill and for those who do not have a job. The government's policy to date has been that those with work and high wages get more, while cutting benefits and offering for those who are sick and without work. Then the question is, is it reasonable to ask to the Right, such as: Does Right believe that unemployment and disability come from having too good benefits and for good welfare when you are in that situation, or does Right believe that it is with those who have bad health and are without work, as it is with other people, that getting good help, inspiration and the ability to manage is the best help you can get?
ParlaMint-NO_2005-02-02.ana.ud299e367	The causes of illness and disability are complex. I believe that reasons lie both in the workplace itself and in the individual. The ability to get help and support to get out of the situation is quite important. Now we see that some of the measures in the cooperation agreement on an inclusive working life work. We also see that when the opportunities to get from temporary disability benefit and to work increase - in whole or in part - there are several people who take advantage of this. And it has to be that going from social security to work actually also brings economic benefits. There must be a difference between being insured and being able to get into work - with your own income.
ParlaMint-NO_2005-02-02.ana.ud299e374	Let's move on to the next main question.
ParlaMint-NO_2005-02-02.ana.ud299e377	My question goes to the Minister for Transport. The reward scheme for better public transport has been the flagship of the Government’s collective effort. For the current year, the government has set at 115 million. kr in this pot. The five largest cities in Norway have applied together for about half of them. 260 million. kr. It's about securing the urban nucleus of Oslo, Bergen, Trondheim, Stavanger and Kristiansand. It says itself that very few of these are going to get what they've asked for. The applications look very good. We would definitely have gotten a better public transport if they had gotten a pass on their applications. Does the Council of State think that the applications that have now arrived illustrate that the allocation of this pot is far too small?
ParlaMint-NO_2005-02-02.ana.ud299e384	The purpose of the reward scheme is to motivate a transition from using a private car to a collective journey in large cities where environmental problems are greatest. The fact that there are so many applications to make use of this scheme is a signal to me that the scheme is good, and that there is a motivation around the big cities to bet on public transport. At the same time, you always want to apply for more funds than you know you can get. It's a reality. Most of us have been in situations where you have expressed greater desires than you knew it would be possible to get through. In this sense, it is not unreasonable that applications are only at a level that is twice as high. I guess we've been through other processes, where the gap has been a lot bigger. I think it is important to stress that this scheme has never been intended to replace the responsibility of each county to finance the operation - in so far as it does not go around the business economy - of public transport. The scheme is an addition. The fact that it's a big wish to be included, I take as a positive sign. I'm going to go into this candidate mass and really look at where the interest lies, and at the possibilities here.
ParlaMint-NO_2005-02-02.ana.ud299e395	My follow-up question goes to the Minister of Finance, as this is definitely about funding. Comparing cities in Norway with cities in Europe that have really invested in public transport, it can be seen that the proportion of operating grants is much lower in cities in Norway than in cities with which it is natural to compare. In cities with success, the operating grant represents an average of approx. 50 pst. of the ticket. Oslo is the nearest city in Norway, with a little over 30 pst. Bergen and Trondheim are down to 9 and 7 pst, respectively. We see that there is a desire to bet collectively in the big cities, but there is a need to get appropriations for this. Does the Minister of Finance agree that if we are to have a profitable, efficient and socially sensible transport of traffic in cities, we need to increase public transport appropriations in the years to come?
ParlaMint-NO_2005-02-02.ana.ud299e404	This is a question to the Minister of Transport - under her responsibility - but my answer will be the same as her: Yes.
ParlaMint-NO_2005-02-02.ana.ud299e410	There will be three follow-up questions--first Heikki Holmås.
ParlaMint-NO_2005-02-02.ana.ud299e413	The pot of money to be used as carrots for a better collective offering is 115 million. kr - the question is to the Minister for Transport - and Oslo alone has applied for 110 million. of these. We understand that we are not going to get all the money we are looking for, but when the Minister of Transport talks about the municipalities and the counties having to take more responsibility - and have a responsibility - for this, I just want to say that the Municipality of Oslo spends almost $1 billion a year on public transport. Then they're going to be 20-30 million. kr that we're going to get from this collective pot, not very much to talk about. And I think it's too easy to dismiss my question about more money with that a little bit is much better than nothing -- especially since this pot is kind of the spearhead in what the government calls its collective effort. Then my question is: does the council see that the pot of collective offerings is too small to really be able to monge, especially in a city like Oslo?
ParlaMint-NO_2005-02-02.ana.ud299e422	It's almost absurd to discuss the amount of the reward scheme, which is 115 million. kr, when we are talking in practice about all the billions used for public transport in this country. This is just a very small part, which - it has always been meant to be - would help to make the big cities have an extra motivation to bet on public transport. I have seen that there is a great deal of interest in this scheme. I think that's very gratifying. The fact that we have this pot, which is 115 million. kr, which means that the major cities say they are interested in making an effort for public transport. Many billions are spent on public transport here in the country. I would like to stress that the state has made an extraordinary effort in relation to the metropolitan city of Oslo - to the T-banning, to collective infrastructure, where the state strictly has no responsibility.
ParlaMint-NO_2005-02-02.ana.ud299e431	Oddbjørg Ausdal Starrfelt - for follow-up questions.
ParlaMint-NO_2005-02-02.ana.ud299e434	After these two answers, one could wonder if it was the Council itself who had taken the initiative in this scheme, because it might seem that it disqualifies its own system, that the scheme is not as important as we have been given the impression before. It also appears in the puzzled priority of this field for the current year. The Labour Party, together with the other party, increases the rights of this year to make the big cities, especially, pay more attention to public transport, which is something that needs to be done. Now there's a number of people here in Stortinget have been behind a sharp rise from next year, so the government gets drag help in that way. I just want an assurance that the Council of State is still behind this, that she thinks that the applications that came in this year are good and give reason to spend more money, and that she will follow up with more money from next year.
ParlaMint-NO_2005-02-02.ana.ud299e441	We've actually made demands on the distribution of these funds. This shall not be a general grant. In fact, I am proud to sit in a government that has got through the reward scheme. I do not remember that the Workers' Party has ever had such a reward scheme. So to refer to another experience you can't do. I am very pleased that there is so much attention to this scheme. There are a wide range of good projects that can be co-financed through it. It is important that any big city that receives these funds - it is not obvious that all applicants should get - refer to both ability, will and results. If we are to succeed in achieving the objectives of moving from a private car to a public transport service, we really need to see if there is a willingness and ability to implement policies in this area.
ParlaMint-NO_2005-02-02.ana.ud299e448	Sive Jensen - to follow-up questions.
ParlaMint-NO_2005-02-02.ana.ud299e451	There is no doubt that this government is engaged in public transport as opposed to road investment, where we see that the demand is increasing despite the fact that the car charges have never been higher. The Minister for Transport has previously stated that the time for major road development is over, while the Right notes in its programmes that there is a need to significantly increase road investment. My question to the Minister of Transport is whether something new came out of the last few days' meetings at Sem regarding the Government's further plans for transport policy. Is it true that the Left is the one that has been implemented here, too, in terms of not investing enough in road investment? Or has the Right got a significant degree of penetration, which of course would delight a FrP heart?
ParlaMint-NO_2005-02-02.ana.ud299e458	As you know, we have entered into a budgetary settlement for the current year where there is considerable room for the use of funds. We've also found rooms to bet on public transport. I'm very pleased with that. When I have said that the time has come to invest only in road investment to solve the challenges facing big cities, I stand by it. We have challenges in this city, including: every winter we have days when the air quality in some parts of the city is so poor that some groups in society are recommended to stay indoors. That's a situation we can't have. We have to find solutions to that. One solution could be to find new technologies in the automotive sector. But we also need to find solutions in terms of public transport.
ParlaMint-NO_2005-02-02.ana.ud299e465	Let's move on to the next main question.
