ParlaMint-NO_2005-04-14.ana.ud1391e41	The representative of Morten Højlund will make a private proposal.
ParlaMint-NO_2005-04-14.ana.ud1391e131	A key objective of Norwegian alcohol policy is to reduce total alcohol consumption. We all know that there are essentially two parameters that have effect, an easy price and availability. The relationship between total alcohol consumption in the population and the extent of harm is very well documented. The Christian People's Party is therefore pleased that there is such broad political support for the state wine monopoly system, a system which, in our view, is a very important element of Norwegian alcohol policy. The retail monopoly is particularly characteristic, and it has a basis for its existence, and it is mainly because it is able to prevent private economic interests from being caught up in Norwegian alcohol policy. All international research and consumer statistics show that Norwegian alcohol policy has been effective in limiting total consumption. All research and knowledge also show that Norwegian alcohol policy is producing good results. Then it would be totally meaningless if one were to try to change a policy that turns out to be working and that gives good results. The document No. The 8 proposal shows that, once again, it's the Progress Party that's on the sidelines of Norwegian alcohol policy and, fortunately, they have no influence. What's incomprehensible to me is that in all other things we're dealing with in this room, it's research and knowledge that lays the foundation for what we want to get through. Every time, we can refer to research institutes, hearing aids, etc. But on this one point, the Progress Party is saying that here we know better ourselves, this is our policy, we don't care about research whether it's national or international. It surprises me. Allowing wine and beer to be sold in grocery stores would mean a radical extension of the availability of more alcoholic beverages, both in outlets and in opening hours. Christian People's Party does not want this. Such a system would also weaken the possibility of controlling the marketing of these goods monthly. This control is best served by the monopoly of wine that we have today. And then we can draw up the challenges that the monopoly of wine has faced in the matters that we know about, but we're not changing an alcohol policy that works, on the basis of it. This is a matter in which the monopoly of wine is forced to clean up. The Christian People's Party, on its side, will contribute actively in the future by focusing on drug problems. We've done that at all times. We want to help those in society who have problems with alcohol, and the best way to do it, is to be able to limit access, and in relation to what goes on. I would like to ask Harald T. Nesvik if he has been in contact with the 200,000 children who dared to come home on weekends, if he has spoken to some of these and if they would like more availability for alcohol, if they wish, when they dared to come home on a Friday night, that it would be possible to buy wine and beer in the local store as well. I don't think so.
ParlaMint-NO_2005-04-14.ana.ud1391e148	This is a case that shows that there is a very big difference between how we experience the world and perceive things around us, not least about the alcohol policy and the everyday life that is in Norway in that context. When the proposer says that he does not find any reasonable reason for us to have a restrictive sales and sales policy for beer, wine and spirits, I think it will be quite violent. In fact, we almost have a consensus on this matter. Research and knowledge shows that limited availability results in less consumption and less adverse effects, and thus lower costs for individuals, for individual families and for society as a whole — i.e. costs related to adverse effects on alcohol use. It is quite clear that, as the author of the proposal, Mr Simonsen, wishes, and as the Progress Party has proposed in the Committee's position, it will open up a completely different marketing policy and an entirely different alcohol policy from the one we have in Norway today. We should like to discuss whether a liberal alcohol policy or a restrictive alcohol policy is desirable, but at least we must not say that it has no consequences. I hope that we will still have a broad majority in the Norwegian economy to build on the policy that emerges in this position, where one believes that availability has a very large connection with the amount of alcohol consumed. It can be said that too restrictive a policy, both in terms of availability, the number of outlets and price, leads to illegal sales. That's right. That's why something has to be weighed here, but it'll always be that someone is trying to get hold of the deciduous cheapest drug. Therefore, I believe that with regard to availability, it could never be such that it would not be smuggled, that it would not produce illegal spirits, etc. I hope that the sales policy we have, with the sale of alcohol with low alcohol content in the groceries, can continue, and that there are restrictions on sales time. I also hope that wine and spirits will continue to be sold through the wine monopoly system. I now see that some of them grab the straw that must be to discuss and criticise the wine monopoly again, but I think it will be something premature. The wine monopoly scheme is a scheme which is concluded in the Norwegian Grand Prix. So there's a question of how the wine monopoly that the company employs is living. You have to take that in a different context, and I'm pretty sure it's going to be cleaned up in a very real way. It's a signal that indicates it. So I agree with the majority vote, that the proposal is rejected.
ParlaMint-NO_2005-04-14.ana.ud1391e161	The question about the sale of wine and starch in the store is one that we have discussed several times during this big time period – and on the basis of that, I would not want to take the word. But for the sake of order and for the sake of the protocol, it is important for me, now that all parties have taken the floor, to stress that the Workers' Party is, of course, also strongly opposed to opening up the sale of wine and starch in stores – and of course also alcohol for that part, even if it is not in this proposal. We have made extensive arguments for this both when the Stortinget has previously dealt with Document No. 8 proposals, and at the latest in the examination of a revision of the alcohol law. Our main reason is that we recognise the facts underlying a comprehensive research on what contributes to increasing alcohol problems in different communities. There are few things that are more thoroughly documented than the fact that there is price and availability that say first and foremost about the level of alcohol consumption in a society and the extent to which the alcohol problems become. The main means of preventing increased alcohol problems is to restrict the availability and make the product relatively expensive. When it comes to proposals that will dramatically increase accessibility, there will in practice be a proposal to say yes to increase alcohol problems in Norway. I am aware that those who are for this are very concerned about denying any fact in this matter. Nevertheless, the facts are present. These are the reasons why it is quite natural for the Workers' Party to say that a fundamental feature of our alcohol policy is that we want to take care of the wine monopoly system, call about the wine monopoly system, and that it is therefore totally inappropriate for us to vote to open up the sale of wine and starch at the store.
ParlaMint-NO_2005-04-14.ana.ud1391e172	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2005-04-14.ana.ud1391e176	It is true that Norway, Sweden and Iran are among the countries in the world where buying wine is prohibited in a regular colonial store. In most other countries in the world, it is fully possible. In many countries vodka can also be purchased 24 hours a day. When I was on vacation in Prague the last time, I bought a bottle of egg liqueur from a gas station. I have many friends in Eastern Europe, and they are sometimes visiting Norway. The last time I had visited a friend of mine from the Czech Republic, he first went to a pharmacy to buy a skin cream that he used to buy at the store at home. Then he was told that he had to go to the doctor first. Then he went into the local store on the corner and was going to buy a bottle of wine. He did not find it, so he took two bottles of beer instead. He went to the exit, but was told he couldn't take them out of the store, because the clock was over 18. Then he looked at me and said: Norway – it’s a communist country. There's something in there. At least we're a guardian state. The opposition to selling wine in shops believes that this leads to increased alcoholism. But then you have to ask yourself, why in the world is it allowed in almost every other country in the Western cultural circle? Is it the case that politicians in these countries want the population to be alcoholic? Or is it that they actually didn't understand this problem? Do they want people to drink more? Or could it be that they actually have good experience with a practice that they have had in these countries throughout the rest of Europe for years? Because I guess if we go into a store and we can't buy wine, we might buy some beer instead. We're going to be just as full of it, and maybe we're going to drink a lot more of that, and it's going to slip down more easily. Wine is, after all, something you use primarily for food – or medicine. When my twin brother escaped from a major heart operation at Haukeland Hospital in Bergen, he received a letter from the doctors informing him that he should drink two glasses of red wine per day. day(s) It's probably a sound and good advice, but then he has to go to a monopoly to buy his medicine.
ParlaMint-NO_2005-04-14.ana.ud1391e187	The fronts are so clear here. Who thinks what, has been the same as long as I've been in politics. I just have to answer a couple of the challenges that have come from representatives of the other parties. SV went reasonably well in the trap in which I thought they were going to go – that they would refer to what happened in the grocery store. No, it's actually a substantial difference. What happens in the retail trade is affected by the Competition Act. In this connection, among other things: The Progress Party proposed significant tightening, so it's actually a piece of legislation that the Socialist Left Party's representative tried to include in its argument. To Osmundnes and the 200 000 children. Yeah, I've actually talked to a lot of them. The fact that a lot of people actually have feedback is that you don't think this has the big effect, because those people who have alcohol problems get access to these products anyway. There are quite a few people who claim it. The representative of Smoothness was concerned with the availability and importance of reducing availability. As far as I know, say, among other things. the Central Party that there should be wine monopoly in every municipality in this country. It will actually increase availability – but significantly less than I want – but the central party's policy is that one wants it to be a wine monopoly in every single municipality. And then you've also increased accessibility.
ParlaMint-NO_2005-04-14.ana.ud1391e198	There are very serious reasons for maintaining our detailed monopoly on alcoholic beverages. On the one hand, alcohol is a legal product that many people associate with something positive. On the other hand, alcohol causes great social and health damage and major problems in society. This potential for harm means that alcohol cannot be treated as any other ordinary commodity. There is broad scientific agreement, both nationally and internationally, that a state-owned retail monopoly is one of the most effective means available to prevent and reduce alcohol-related problems. The reason for this is that a state-owned retail monopoly keeps private economic interests out of circulation, in order to effectively regulate the availability and marketing of alcohol. The wine monopoly currently has nearly 200 sales, in addition to the national postal transit system. This ensures good availability of alcoholic beverages to a very large proportion of the Norwegian population. At the same time, the wine monopoly strongly contributes to Norway having one of the lowest alcohol consumption in Europe, and clearly fewer alcohol-related health damage than countries with a liberal alcohol policy. In my view, the restriction of free movement is fully offset by the obvious benefits for public health and social conditions. One of the arguments that are often raised against the wine monopoly is that it should lead to smuggling and illegal production. However, this is a problem in many countries, including those countries which do not have monopoly arrangements. In the last ten years, we have seen a decrease in the illicit circulation of alcohol in Norway of about 10 %. 50 pst. It is estimated that today’s illegal turnover accounts for around 5 pst. of the total alcohol consumption in Norway, suggesting that the problem is not as high as it is often thought to be. Storting representative Jan Simonsen and the minority of the Social Committee believe that Norway should abolish the monopoly because the majority of other countries in Europe do not have a monopoly system. I do not see how the fact that many other countries have a less effective alcohol policy — with more extensive alcohol-related problems — can be an argument for resolving the wine monopoly. In my view, on the other hand, this is a good argument for maintaining and protecting the arrangements we have, and for working for increased understanding and cooperation in international contexts. In recent times, we have also seen that alcohol has increasingly been put on the agenda, both in Europe and internationally, and that developments in several European countries are moving towards a more restrictive alcohol policy. The representative Simonsen, in his proposal, characterises the monopoly of wine as ridiculous. I don't think there's anything ridiculous about a system that ensures the majority of the population good access to a wide range of alcoholic beverages, while effectively preventing extensive health damage, accidents, violent crime and problems for relatives and children. There is no reason to laugh at such a scheme. On the contrary! There is reason to be proud of such a system, and there is reason to take care of and further develop such a system.
ParlaMint-NO_2005-04-14.ana.ud1391e213	Several have not asked for the floor on case No. 1st@item: inlistbox [[Fotation, see page 2078]]
ParlaMint-NO_2005-04-14.ana.ud1391e230	At the request of the Social Committee, the President will propose that speaking time be limited to 5 minutes to each group and 5 minutes to the Council of State. Furthermore, the President will propose that five lines of response be given to comments by members of the Government within the allocated speaking time. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2005-04-14.ana.ud1391e239	I would like to begin by thanking the Minister for Health and Care for a full account of the situation in the field of mental health protection. Most of the things we've heard before, but it's in the presentation some new thoughts that are worth worrying about. When the State took over the specialist health service, including psychiatry, in 2002, the county municipalities had over the year developed psychiatry plans to be implemented by the enterprises, not least in terms of quantitative target sizes. These are broken down by regional health enterprises to the unknown. In particular, this refers to the number of daily places in the treatment system, and partly daily places and professional quality in the district psychiatric centres with a significant reduction of daily places in these. Personally, I think that the psychiatry today would have been much better if the companies had implemented the plans the county municipalities had developed and that were approved by the department. Too many daily places, not least in psychiatric hospitals, have been closed down much earlier than foreseen and without similar measures being built up. Unfortunately, this has happened with the agreement of both the former and the current Minister of Health and Care. The result today is that we have too few emergencies and intermediate departments. Therefore, I personally disagree with SINTEF when they claim that municipal services instead of daily stays in the specialist health service would have been preferable. Municipal services of different kinds in the municipalities, such as housing, work and cultural follow-up, are important, but in practical life we must, if we are to be honest, acknowledge that for the rapid transfer of responsibilities for psychiatric services to the municipalities largely the patient is affected, and not least the patient's relatives, and that there is too much police in the municipalities that have to clean up when problems of a serious nature arise. District medical centres were to be the support pillar of the psychiatry plan and were to provide outpatient services, day care services and daily services. In my own county, Telemark, a DPS with 17 daily seats was planned in the region of Vestmar, i.e. Kragerø, Bamble and Drangdal. All of these places have now been deleted, and one has decided to build 30 daily places in Porsground, which is actually a new emergency department, and how the admission threshold is as high as in the ordinary psychiatric emergency department in Grenland. It is both a good and absolutely necessary measure proposed by the Minister of Health and Care, namely that patients in the municipalities get a responsible named person to deal with during treatment and rehabilitation. It is equally important and necessary, as stated, that a greater emphasis is placed on the user perspective both in the case of patients and in the case of patients. As I see it, the transfer of psychiatric responsibility from the specialist health service to the community health service has gone too fast, without it being possible to set up with a professionally sound competence for the tasks transferred. The number of homes in the municipalities for psychiatric patients is good and good, but the main thing is the content of the housing and the follow-up of the residents. And here we still have a very long way to go. I am personally strongly in doubt whether it is right to replace 24 hours for the DPS with a so-called ambulatory team. In fact, many psychiatric patients need to be taken out of their local environment, out of their homes, for shorter or longer periods of time and be admitted to institutions. This has not least to do with full-day safety for individual patients, but perhaps also to a large extent for their relatives. Thus, at my discretion, a daily space cannot be replaced by an ambulatory team working from 1 p.m. 8 to 8 o'clock. 16 and whether it should be a good supplement. The Minister of Health and Health addresses a particularly important problem, namely a radical change in attitudes in the culture of treatment. It is equally important, which is also addressed, with a better consensus in the professional community on the working methods and content of treatment. On the other hand, I think we have too many of the old nostrils left in the system, which we have to get rid of. Finally, I refer to the proposal that has been distributed in the seats of the representatives.
ParlaMint-NO_2005-04-14.ana.ud1391e260	The representative John I. Alvheim has taken up the suggestion he referred to.
ParlaMint-NO_2005-04-14.ana.ud1391e263	The Roadmap for Mental Health 1999-2008, adopted by a total of large numbers, has been a very important tool and has given attention to the development of psychiatry. The Minister of Health and Welfare’s statement on the situation in psychiatry was full and contained a good analysis of many factors and future measures. I'll give the Council of State honor to be clear. In general health policy as well as in psychiatry, there is always room and need for improvement. I would therefore like to use this opportunity to make a number of constructive contributions that I believe should be emphasised in the work ahead. The acute psychiatry is not satisfactory. Especially in larger cities, the lie-down time in emergency reception is halved. It may sound as if patients then get a different and more adapted offer. The half-life also means that many patients are discharged prematurely. Many people do not get well enough before they are printed, and it also appears that they are printed to nothing – in some cases with fatal consequences. Although treatment methods can be good, it does not mean that people today are getting healthier than before. Many people need time. And they must! Ambulance teams, i.e. those who work outside are important. It alone doesn't solve this I'm pointing at here. Another group is the patients who fall between the provision of services in municipalities and the provision of specialised institutions. Some of these have been bad for a long time and may seem not to have the best prospect of getting well. They are printed out, and some of them may be a danger to themselves and others — or may go into a treatment vacuum. These may require a longer-term supply of care and rehabilitation. These patients often become caste balls. This is unworthy! It is important not to reduce daily places, such as: may be inter-municipal schemes or, in particular, be in the psychiatric rehabilitation institutions — in some cases also called hospitals. It was very important and right that the Council of State's statement unequivocally stated that the daily places that have not yet been closed should be maintained, at least until further notice. It was a necessary message for health businesses. I think we're in good use for all of these places, including in the future psychiatry. Psychiatric people must have peace and not be chased around like sheep in the system. Governments focused more attention on professionalism and professional standards and the need for consensus on good treatment practices. This is very important, but he was not particularly concrete. I would therefore like to put the search light on four aspects. Firstly, good management is very important, both administratively and professionally. This has to be clarified and requirements must be set. Secondly, the development of district psychiatric centres has followed the escalation plan. These centres are important in the treatment chain, but there are far too unclear requirements for manning standards. There may be a quality problem in the district psychiatric centres. Third, there's still a huge shortage of psychiatrists, maybe up to 300. The training capacity is 20-30 per. years are too small to solve the problem. And fourthly, our research effort is far too small. This is a clear matter of authority and, to the most extent, a matter for the Norwegian Medical Association, as the education system is still. The treatment funding system is too poor, which further up-to-dates the higher price share of somatic treatment. Psychiatry can be a loser. One might also wonder if the right patients are given priority. Not least, there may be reason to ask how the private part of psychiatry prioritises patients. Finally, a heart attack: the psychiatry in the municipalities cannot be fully satisfied without improving the finances of the municipalities. The government parties have a heavy responsibility.
ParlaMint-NO_2005-04-14.ana.ud1391e297	I would like to thank the Minister of Health for an open and honest presentation of the situation in psychiatry after more than half the race in the escalation plan. As the Minister of Health points out, the quantitative objectives of the escalation plan are well within reach, while the overall objectives of mastering the lives of people with mental disorders and of prioritising this patient group in line with somatic patients are still well away. The government has brought the psychiatry plan back on track financially. This has been done through three essential decisions: 1st@item: inlistbox The appropriations entered in the 2005 State budget are above what is necessary to achieve the objective in 2008.2. A steering signal has been given that places — or daily places — in acute psychiatry should not be closed until alternative services are established in district psychiatric centres or municipalities. And, not least:3. Health businesses have been clearly informed that growth in psychiatry and treatment provision for drug users alone should be higher than that in somatic settings. The Minister for Health, in his presentation, has pointed to the major challenges in psychiatry, beyond the resource-related. In other areas of society, therefore, there would have been a basis for slowing the escalation — to ensure that resources were used properly. However, in the case of psychiatry — where the long-term lack of resources has been so great — the health minister’s ability to prioritise this economic priority has been a prerequisite for raising awareness of the other challenges in the field of science. Previous attempts at this have largely ended in a debate on financial resources and on the failure of politicians in the escalation plan. Now, however, a climate has been created to discuss also the professional and mental challenges in psychiatry. It's very necessary. The Minister of Health therefore deserves commendation for his ability to give priority to psychiatry in general and at all times to take the individual patient and his/her family side into the discussion on the challenges of treatment provision. There is a need for a change both in attitudes and in the culture of treatment. Early diagnosis and use of documented knowledge must become the dominant feature in the service. It is unacceptable that the patient should be hospitalised for a longer period of time without a professionally based diagnosis and thus establish a good treatment system. I hope that this debate will also give a clear signal to the entire service that there is still a broad political consensus on the objectives of the escalation plan, not only the quantitative but also in the choice of strategy. We have well-based professional assessments that show that the objective of a more decentralised offer, through good district psychiatric centres and community services, is a right direction. This must mark the further follow-up to the escalation plan. Children and young people shall continue to be given priority during the escalation period. When I started as a county politician about 12 to 13 years ago, there was not a child and youth psychiatric offer in my county, Rogaland. Several states were in the same situation. When I then got involved and thought that there was a need to invest more in psychiatry, I was met with arguments from older politicians that all the focus on psychiatry was a fashion issue that would soon pass. This tells a lot about the reason why we still have a big challenge in giving this age group a good offer. It is essential that young people with mental problems receive early help before the disease develops into a serious psychosis or schizophrenia. I am therefore pleased that the Government, among other things, has chosen to bet on information in school. The school has an important task in making it natural for students to talk about mental health, so that at an early stage they seek help or talk to others about their problems. It is important that all young people know what to do if a friend or a friend tells them that they have problems and that they ‘wear’, but that one has to promise not to tell anyone. This must be answered so that you can grasp it at an early stage. Finally, I would like to comment on the proposals of the Progress Party, which have been put forward in the Chamber. In my opinion, the proposal actually weakens patients' rights in relation to today's law. After the introduction of the new Patient Rights Act, all patients are entitled to treatment after an individual deadline. I would like to quote the patient representative in Oslo, Petter Holm, who in today's VG says the following: «The law of the day is clear enough, but it is not followed up. If politicians had concentrated on bringing professionals to follow the law, they would have been a long way to go.’ It is where the challenge lies, not in introducing new rights that are, in reality, a weakening of individual rights.
ParlaMint-NO_2005-04-14.ana.ud1391e338	SV was committed to getting the Minister of Health and Welfare to the Stortingen to give an account of the state of mental health protection in Norway. The background was the very many feedback, reports and concerns that politicians have received, either directly or through the media, from patients, relatives, professionals and organisations. These reports and concerns have given us a picture of some serious failures and shortcomings in the service provision of people with mental illness. What's worried us the most in S.B., maybe the most, is two things in particular. The first is that very many children and young people have suffered from some very serious mental illness and have been without treatment and that the build-up of treatment capacities and competences seems to have been considerably slower in children and young people than in adult patients. Figures have also shown that the waiting time for treatment for children and young people has been partly longer than for adults, and the decline in waiting time has been more modest for this group than for others. The other thing that has given us extra cause for concern is a picture that those who are hardest hit by lack of capacity, alongside children and young people, are the most seriously ill patients. The Minister for Health and Welfare made a statement on the subject, inter alia: emphasis on the importance of good acute psychiatric services. It's not hard to agree with that. But there is a lot of evidence to suggest that there is an equally high problem that there are very poor offers in terms of further treatment and follow-up of people who are going on from the emergency psychiatric service. Too often, therefore, we have experienced that after a short stay in acute psychiatry, serious sick people are printed out for absolutely nothing. This is lacking both in specialist psychiatry and in the long-term and complex provision of services which many seriously ill people need, and which municipalities should provide. This will be the major challenge for the future, both for the Stortinget and for the Minister of Health and Care. The roadmap for mental health is very much about resources. That's often money. So sometimes it's said that more money can't solve all the problems, nor in the psychiatry. I agree. But we don't get away from the fact that it's also about it. This is why it should be stressed that first this year — in 2005 — the availability of resources to the psychiatry above the State budget is somewhat in line with what was foreseen in the escalation plan. In all previous years, the plan has been underfunded to a greater or lesser extent. This may be one of the reasons why the conversion of the service offer that was included in the escalation plan has come to an end. The decline of major institutions and long-term sites has gone much faster than the construction of DPSs, municipal services and others to replace. I am therefore pleased with the strong signals given by the Minister of Health and Care regarding the priorities of psychiatry in the future. Not least, we have noticed in SV with pleasure that the Council of State Gabrielsen acknowledges that the priority of psychiatry in regional health companies is not and has not been sufficient. The Council of State was also exemplary in ensuring that mental health protection and drug treatment separately should grow more strongly in 2005 than in the somatic environment. This topic has been the subject of many political debates here in the Chamber during this period. SV now notes that the Council of State Gabrielsen agrees that when the Stortinget has said that psychiatry and the Ru area should be given priority, it means that the annual resource growth in these two areas must be greater than in other areas. This political discussion should therefore be put to death once and for all. At least we have a common understanding of the starting point for the further development of mental health protection. But it's also about more than just money, which many people have been involved in. It is a matter of taking the individual patient seriously, finding the most individualised treatment services and implementing them, and often long-term composite services are needed. And then clear demands must be made on the quality of these services. Then the representative Alvheim has made a proposal on behalf of the Progress Party on a type of treatment guarantee for children and young people under 18. This is a proposal that SV has been promoting several times in different contexts, and so far – as far as I remember – we have only got in touch with it from the Center Party. We are therefore very pleased that the Progress Party too now sees the need for this. And that Document No. The 8-proposal that Bjarne Håkon Hanssen promoted at the opening of this meeting is going in a similar direction, so here it might indicate that we can get a majority. But it is, of course, a proposal that we agree with, such as the proposal by John I. Alvheim, which is in line with what we have said before, that we will vote in favour.
ParlaMint-NO_2005-04-14.ana.ud1391e366	I would like to thank the Minister of Health for an honest and clear statement on the situation in mental health. It is positive that measured in money and the number of new posts are on schedule. The Christian People's Party took note of the doubt the Minister of Health had in relation to achieving the overall objective that all people with mental disorders should be able to master their own lives. The Christian People's Party shares this concern. At the same time, we believe that the prescription prescribed by the Minister of Health will produce good results. It's alarming that as many as 40 pst. of all hospitalised patients in the specialist health service are misplaced and should have had an offer either under the authority of the municipality in the form of daily municipal services or in the form of owner-occupied housing. The Christian People's Party supports the turning of measures against the first line service in order to succeed in the escalation plan as foreseen. If a person with mental problems is to cope with everyday life, it is important to provide accommodation and practical support and help at home. It is particularly important that one is not passive, but is offered work or other activity. Many municipalities have an activity centre that employs staff, provides trim and social community services. Good follow-up allows a person to release emergency facilities and cleaning facilities. It was positive to hear if the routines developed by the Directorate in cooperation with the municipalities and user organisations to help those who are the worst. The Christian People's Party is pleased that the number of sick homes is frozen until the housing situation in the municipalities has been re-examined. We are also pleased that the health minister in the governance letters to the health regions clearly prioritises psychiatry. It is clarified that the percentage growth should be stronger in the psychiatry than in the somatic environment. Interactions between different actors can be improved. The Minister of Health should closely monitor the use of individual plans and whether users themselves have a real impact on their situation. It was timely to have a critical searchlight on attitudes and treatment culture in the psychiatric department. Lack of consensus and documentation requirements in the subject are special. The evening post yesterday wrote in the lead position: ‘Some people believe in treatment through social networks, some on individual therapy hours and others on medical and electroshock treatment. The trade has been fragmented, and the professionals have used their own methods to a large extent.’ This is a perception of many parts. The Christian People's Party believes in the development of national guidelines that will give users more influence and adapted treatment. This will require good management, high professional awareness and ability to convert among professionals. I might have expected a stronger focus on prevention, so that someone gets out of the emergency room. There are many good examples of the fact that early intervention, in cooperation with users and their closest ones, avoids the inclusion of persons at risk. The TIPS project in Stavanger for the young schizophrenics is such a positive example. The Committee has highlighted on several occasions health centres for young people. This will prevent coercive thoughts and suicides and help solve identity problems. If further help is needed, it is good that you have set a target to reduce the waiting time for an evaluation interview to 10 days for children and young people. Several people get help, but more people need help, so it takes time to bring down the waiting time. The presentation was little about the double diagnosis, namely, drugs and psychiatry. Here's the big challenge. The Christian People's Party is pleased that you are building up skills in this area, among other things. at Modum Bad. Knowledge and research are important to provide proper treatment and timely assistance. Finally, the government parties will vote against the proposal of the Progress Party, because we believe that the Patient Rights Act is better, by having individual rights.
