ParlaMint-NO_2005-04-06.ana.ud1176e28	The representative, Jan Simonsen, will make a private proposal.
ParlaMint-NO_2005-04-06.ana.ud1176e170	My question goes to the Minister of Health and Welfare. A seriously ill cancer patient in Haukeland Hospital was recently refused most adequate cell toxicity treatment, on the grounds that the cost of NOK 120,000 was too high, and that the medical evaluation allegedly added that this cell toxicity treatment would probably only prolong the patient’s life by two months. I've met the patient and his spouse, who said that for them a two-month extension of life would be like an eternity of family, children and grandchildren. It is part of the story that only Haukeland hospitals have gone to the stage of refusing cancer patients this cell poisoning treatment. Is it really the case that now based on economic criteria, the hospital economies determine which life-saving and life-long treatment cancer patients should receive? It is unacceptable, immoral, yes unchristian for me and for the Advancement Party that this should happen in a country with such an economy. What kind of human vision, what human dignity is it that governs our health economy today? Will the Minister of Health immediately ensure that this cancer treatment is given to this patient and to the other four?
ParlaMint-NO_2005-04-06.ana.ud1176e181	I agree with much of the underlying in the question from the representative Alvheim, although I may not join all the characteristics of the treatment he received at the hospital in Bergen. But there are two things here that, at my discretion, are important. We cannot have a situation where there is a very different national practice from hospital to hospital in terms of vital forms of treatment, and where the medical assessment is so different in terms of a relatively well-known life-prolonging drug used for fatal cancer patients. We have implemented a national governance with which to base the use of new drugs. There comes a flood of new life-long drugs, drugs that can also be curative, but with relatively marginal potential. All these things will now be anchored in the Social and Health Directorate and in the leading oncology communities, which will draw up the premise for this, in order for us to have a national approach. We can't have a situation where there's one rule in Bergen and another in Stavanger, as was the case. The second point that is important in this case with Helge Audestad, which is revealed, is that the very funding system for high-cost medicine such as this is not adequately ensured after the hospital reform. There are also things we are looking at. We need to recognise that there is a lot of new and expensive medicine that definitely has life-prolonging properties and that needs to be used in Norway as well. Both of these things have already taken place. I share, as I said, the representative Alvheim's underlying question about the individual matter we saw here – this is not the way it should be.
ParlaMint-NO_2005-04-06.ana.ud1176e192	I thank the Minister of Health for the answer. Now it is that, in general, high-cost medicine has created major problems, especially for the larger hospitals. It applies not only to cell poisons but also to implantation operations. In our opinion, this can be corrected in different ways. We in our party have made a proposal for a foreign budget that will not disturb the Norwegian economy, as all these medicines and possibly the implants are purchased from abroad. Another way to do this is to put cell poisons and implants on the bladder prescription system. We have tried and done this before with relatively good results. What must at least be the main thing is to solve this, so that the individual patient's life and health should not be assessed on the basis of purely economic considerations, as has been done in Haukeland in this case. I would like to ask the Minister of Health if he intends to come back to the Stortinget in the revised national budget with a solution to this problem.
ParlaMint-NO_2005-04-06.ana.ud1176e201	I fully agree with the representative Alvheim that there are some imperfections that can be solved in different ways. So you might have a different view of how to do it. I don't think the solution would be to say that high-cost medicine in hospitals should automatically go into the blue prescription system. This will lead to a sharp turn towards drug treatment in relation to another type of treatment, with financial disincentives relative to what you do. But the main problem we have to solve, and there I will come back with some thoughts in connection with the revised national budget. Implants were also mentioned. I think it's a relatively unworthy situation when we have weekly look-ups from some of our leading medical environments where you point to marginal groups where you talk about costs on an annual basis of maybe 5-10 million. NOK, within the individual hospital budget, from NOK 5 to 6 billion. I think our professors should spend time on other things than that.
ParlaMint-NO_2005-04-06.ana.ud1176e209	There will be three follow-up questions – first Harald T. Nesvik.
ParlaMint-NO_2005-04-06.ana.ud1176e212	We have recently seen in this case of cell poisoning treatment for this patient – and not least for this patient group – that a clear majority of parties represented in this room have announced that this needs to be done, we must be able to get this in place. My question to the Minister of Health is: Will this now be put in place for this group, so that we do not go about insecurity pending a national council on this matter? Will this situation now be resolved, not just for this one patient, but for the group related to Haukeland Hospital?
ParlaMint-NO_2005-04-06.ana.ud1176e219	I've also met this single patient, and I've, of course, done much more analysis of the problem than that. What I'm now saying we're going to do is follow-up of the cancer plan that was being treated in Stortinget. The current Minister of Health, Højbråten, set up a group of oncologists. We got their report last summer. It's been at the hearing, and we've got 74 opinions. In the course of 14 days, I have the summation of it and I'm going to sign it out in the revised national budget. What I can say is that the situation that has been solved.
ParlaMint-NO_2005-04-06.ana.ud1176e224	The next follow-up question is from Bjarne Håkon Hanssen.
ParlaMint-NO_2005-04-06.ana.ud1176e227	If you try to look at this issue a little more in principle, it is that it is revealed through the media that we spend significantly less money in Norway for the medical treatment of cancer than what you do in our neighbouring country. It is claimed that this is because hospitals in Norway are governed by an economic system that makes it difficult to use newly developed medicine. Therefore, it is said, Norwegian cancer patients do not receive the best possible treatment. Very often we hear statements that as the world's richest country, we have to afford both the one and the other, but in one area it must be that this must be an opinion that is true: we must take the advice that Norwegian cancer patients receive the best available, professionally recognised treatment. My question is: does the Council of State agree that Norwegian patients appear to have a worse cancer treatment than those patients receive in our neighbouring countries, and what will the Council of State do about it?
ParlaMint-NO_2005-04-06.ana.ud1176e239	If the most important thing about cancer treatment is recovery and survival, it is not right that our patients get a worse offer. Norwegian cancer treatment is based to a lesser extent on medical treatment than on cancer treatment in other Nordic countries. We spend more on treatment per person. resident than the other Nordic countries. What is absolutely certain, and which is indisputable, is that we use less medication in cancer treatment, but the survival rate — that is, recovery, defined to be five years after surgery — is as high in Norway as in our neighbouring countries. Why drugs use more treatment and surgery than medication, I can't answer. But I have also registered that the pharmaceutical industry has been quite concerned about the fact that we use less drugs in cancer treatment than our neighbouring countries. The most important thing for me is that people survive, and I follow the advice given by our leading oncologists in this area.
ParlaMint-NO_2005-04-06.ana.ud1176e244	Olav Gunnar Ballo – for follow-up questions.
ParlaMint-NO_2005-04-06.ana.ud1176e247	The very central thing here is that cancer patients get the treatment that benefits and that helps them to get a good life and preferably of everything to healthy. But the situation we have today is completely unworthy, because here it is the case that cancer patients who can receive treatment outside the hospital, who can receive treatment in general practice, can have cancer medicine prescribed on blue prescription. At the moment you are hospitalized, getting worse and the hospital itself is going to cover it, the hospital won't do it, because of a difficult financial situation, and then you lose the treatment. So you lose treatment when you get worse, because there's not one instance responsible for taking care of the economy here. Had everything been in the Riksstrøgdeverket, so that the expenses were covered whether you were in a hospital or if you were in general practice, then, of course, the Council of State could have entry criteria for dietary use on it in order to prevent the fears of the Council of State. But the unworthy situation you have today is not getting rid of until the day you place responsibility on one hand, that is, at the Rikstrygdeverket, and that they cover the costs. Will the Council of State now make sure that it does?
ParlaMint-NO_2005-04-06.ana.ud1176e252	As the representative, Mr Ballo, said at the outset, it is very important that people become healthy. And then the question is, what changes can we make to increase survival rates? Then I am quite sure that this is at least not the most important measure. Now I have documented the survival rates in cancer care. For example: ovaries, have a 6 1/2-times chance of survival given that one is operated on a cancer gynecological ward, in relation to one of our smaller hospitals. When I look at the survival rate within the main and heaviest cancers, I'm pretty sure there are other measures that are more important to get started. Then there's also something going on with drugs and funding it, but you don't have to think unilaterally that drug treatment is what it takes to increase the survival rate. What Ballo is concerned about, a greater degree of equivalency between outpatient and hospital, is a good input, and I'm working on how we're going to solve this.
ParlaMint-NO_2005-04-06.ana.ud1176e259	Let's move on to the next main question.
ParlaMint-NO_2005-04-06.ana.ud1176e262	My question goes to the Minister of Health. ‘Firepoint’ could tell you about a scandal yesterday. In Ulefoss in Telemark there is a slag heap of radioactive waste. It's got the State's radiation protection in over 40 years. In the Storting in winter we have discussed a matter of landfill for low-radioactive waste, to ensure the low-radioactive waste arising from the production in the North Sea. So it turns out that this one slag mound in Telemark contains maybe four times as much waste as everything we have from the North Sea, and in addition, this waste is six to eight times as radioactive. So this has the State's radiation protection for over 40 years, and the slag mound is right next to the drinking water source of Telemark. How is it possible that Norwegian health authorities have known about this for such a long time without doing anything to ensure radioactive waste?
ParlaMint-NO_2005-04-06.ana.ud1176e270	I have to apologize, I am not able to stand here and say that I know the matter. I don't see all the TV programs, even on the NRK, and I didn't see NRK's program "Fire Point" yesterday, but it sounds like there's a known case, if there's been a slag heap here for 40 years. But I cannot answer the matter except to say that of course I will take it with me, and I will make sure to see the program. It seems strange if it is such a serious matter as it is being made that Norwegian health authorities for 40 years, almost from the aftermath of the Kings Bay case to today, have done nothing about it. But, as I said, I'm going to take the matter with me, because I don't know the details in it.
ParlaMint-NO_2005-04-06.ana.ud1176e275	That's how you know about this waste, and that it's six to eight times as radioactive as the waste we're now trying to secure in the form of a landfill for low-radioactive waste. At the same time, it is also reported that there may be other deposits in Norway for industrial nuclear waste. Can the Council of State promise me that he will also investigate whether the State's radiation protection system has information about other landfills of the same nature, and that we will have to clean up and secure the hazardous waste?
ParlaMint-NO_2005-04-06.ana.ud1176e280	I can promise both the representative and the president that I will contact the State Radiation Protection Agency today to clarify the facts on which they had to sit related to the issue that has been raised here.
ParlaMint-NO_2005-04-06.ana.ud1176e285	A few representatives have joined in on follow-up questions, but the President does not consider it appropriate for follow-up questions to be raised in relation to a matter where the Council of State has to investigate further. In the president's opinion, it's going to be pretty much just a word game. We therefore move on to the next main question, and the next main question is from the Council of State, excuse the representative Bjarne Håkon Hanssen – wish it would, but... [[Laughter]]
ParlaMint-NO_2005-04-06.ana.ud1176e290	From many quarters, the health reform is criticised for a democratic deficit, as it is called. People say there's a lot of distance from those who decide in Health-Norway. Hospitals are important to people's sense of security. That is why I think we need to be willing to adjust the reform if we see that there is a need for it. Criticism must be taken seriously. Does the Council of State think that there can be a basis for looking at how most people, together with local and regional authorities, can have an increased influence on the decisions taken by local and regional health businesses?
ParlaMint-NO_2005-04-06.ana.ud1176e295	Like the assembly, I have a great deal of understanding that the day before the National Assembly of the Workers' Party, there are some delays – as the Prime Minister's candidate had it in the newspaper today – in relation to titulation. In terms of democratic deficits in health businesses, I don't know if I'm going to put the words 'democratic deficits' as a vignette, but I've probably recorded that some of the governments have taken little in on the fact that they're going to serve a population in terms of perhaps the most important public service. That's why I've stressed in those board seminars where I've been, and that's why I'm going to focus on a broad range of competences in the boards that also include what you might call political competence. I think it would be almost impossible to imagine a model in which the state would be responsible for the Norwegian hospital system, while at the same time putting away the governance responsibility of a representative system of e.g. State politicians. Either the state is responsible for it, and then I meet as responsible to Stortinget, or it is the county municipality or another level that is responsible. But within the model we have, I think it's quite possible to have a completely different dialogue with both local trustees, that is. rapporteurs and rapporteurs, and with the general population as a whole as there have been a number of places. I feel that this has been somewhat improved in recent times, and I have at least as much as I could, underlined that dialogue with the government. This dialogue is absolutely necessary, because the main ombudsmen in our counties are rapporteurs, rapporteurs and representatives of the state and the big business. That is why I also have a very open door for the rapporteurs, the rapporteurs and the representatives of the great public in the individual cases that appear. But having a representative system based on the state's ownership becomes a curl that I doubt any government council will handle.
ParlaMint-NO_2005-04-06.ana.ud1176e304	I fully agree with the Council of State that when the State is the owner, the State must also be responsible. But the Labour Party has, for example, proposed that local government and county councils should have the right of proposal in the case of board representatives. Then it is the Council of State who is to appoint the regional governments, but when the appointment is to be made, there are some suggestions for good candidates from the county councils. In order to appoint the local health authorities, there are some proposals from the local health authorities on good representatives. Then regional health companies will see if they want to use the proposals or not. I think it's very strange that the government parties disagree with that. When the Council of State now says that he is busy looking at good dialogue with local and regional authorities, why is it that the government parties then vote down a proposal that county councils and local councils should at least have the right to make proposals?
ParlaMint-NO_2005-04-06.ana.ud1176e311	I don't know if I fully understand, because the local government has a right to it today if they want to. I have – I think almost without exception – said when I have met local politicians and regional politicians that if they have strong views on the government representatives we have, or they have others that they think should be in, then please look at it on a sheet and send it to me. If you want to treat it as chairmanship or local government, you have the full opportunity. But a system where you systematically had to have primary choices in all the municipalities and counties of the country, I don't feel like it would be close to the need that someone sees related to democratic deficits. But I want to say that it's quite natural if someone has views on the composition of the board, that I get it. And I get it, so that when I'm going to have a business meeting in June to review the boards of the five regional health companies, I have a perm, a book, where I have noted the views that have come from everyone, including rapporteurs and county rapporteurs.
ParlaMint-NO_2005-04-06.ana.ud1176e318	There will be four follow-up questions – first Asmund Kristoffersen.
ParlaMint-NO_2005-04-06.ana.ud1176e321	First, as regards the reasoning about the state that owns and thus also the right to rule, as the minister now said, I fully agree with that. But I'm going to try to clarify and clarify a little bit of the answer that the minister now gave to the role of municipalities and county councils. It is therefore very important that the governments of both regional health businesses and the others have strong confidence in the population, in local politicians and in us at national level. We then believe – and we have proposed in Stortinget in connection with the 2005 budget – that municipalities and county councils should have the right to propose candidates to these boards at the different levels. I think it will be a major improvement in the legitimacy of the regimes if this can be put into the system. Is it not true that it would only be positive that the Council of State knows that he has a number of good names to choose from when he is going to put together the boards of regional health establishments, while at the same time the regional health establishments also have that possibility attached to the subsidiaries?
ParlaMint-NO_2005-04-06.ana.ud1176e330	At least it is absolutely certain that it is only positive to have many suggestions, because it is often that when you put together many of these boards, there is a lack of commitment to assess the board members that are and, if necessary, the alternatives. Let me use this opportunity, if allowed, to encourage all the municipalities and county councils of the country who have views on who should sit on the boards of the five regional health companies to send a letter to the undersigned about it. It is good time, it is not until June that this will happen. I am still getting views on the work done by the Board of Regional Enterprises, both from individuals, from trade unions, from local politicians and also from big business representatives, and I note this, of course. This is what I will bring out in June when we are to re-nominate the Boards. I would simply like to take the opportunity to challenge the municipalities of the country to take such a review and make their views known. They have that right. A local government can initiate this.
ParlaMint-NO_2005-04-06.ana.ud1176e338	Ola D. Lukewarm – for follow-up questions.
ParlaMint-NO_2005-04-06.ana.ud1176e341	Firstly, a comment on what has been said here. Interestingly, the Workers' Party is now beginning to talk about the democratic deficit in the governance of our healthcare system, and it is good that we have at least begun to have that dialogue. But what the Labour Party is proposing here, almost a popular user council, is going to be a hostage representation system that we don't want. We want to have a real popular governance of our healthcare system. As the Minister of Health also said, this is one of the most important areas of society we have. But then I think the Minister of Health came with a strong recognition. He said that the current governments of healthcare companies had taken little inward that they should rule one of the most important areas of society we have. Then I think that the Minister of Health, as the General Assembly of these health businesses, must also take it inward for his own part and better manage it. The good dialogue could have been established a long time ago by the Minister of Health and this government. The good dialogue is lacking, and instead of having a dialogue, the Minister of Health must, among other things, Join the Radium Hospital and the Rikshospitalet here in Oslo. What will the Minister of Health do to make users more effective about the health system here in Norway?
ParlaMint-NO_2005-04-06.ana.ud1176e350	The President must ask the representatives to respect the time.
ParlaMint-NO_2005-04-06.ana.ud1176e353	Finally, the question from the representative, Luttvold, was addressed to the users, and that is not the policy-makers – that is, some politicians are also users of health services. But we have a lot of attention for the users. It is for them that the health service is for, it is not for the politicians, it is for the users. And we've started phenomenal projects now that give you a completely different grip both with related organisations and user organisations. When it comes to popular governance or not, it's a fundamental question. I respect the fact that the Central Party has a different position as to who should rule. But that also means taking over the financial responsibility and ownership, we cannot have a combination of state responsibility and governance of others. As far as the dialogue is concerned, I almost dare say that there are not many state agencies that have as much dialogue with the users and local democracy as healthcare companies – naturally. But it can get better. It is also the case that in all regional health companies there are former politicians who have good knowledge of that part of Norwegian social life.
ParlaMint-NO_2005-04-06.ana.ud1176e362	Olav Gunnar Ballo – for follow-up questions.
ParlaMint-NO_2005-04-06.ana.ud1176e365	SV fully agrees with the Workers' Party's Bjarne Håkon Hanssen that today's health company model is an undemocratic model. Therefore, SV took the initiative to get a completely different model, a management model, which would place responsibility in the Stortinget, and that there would be elected bodies that defined the model. We received support from both the Center Party and the Christian People's Party. The model we have today is the Workers' Party model, it has been adopted as a Health Business Model by the Workers' Party, proposed by a Workers' Party government and implemented with the support of the Right and Advance Party. It is good if we can get a fight about that model and get a change after the fall. But what is obviously possible is that with the model we have today, people-elected governance is guaranteed to a far greater extent than what we've done. The Council of State has every opportunity to formalise the adoption of national health plans determined by the Grand Duchy on the basis of a proposal from the Council of State to provide a structure for health services determined by the public. Will the Council of State contribute to this?
ParlaMint-NO_2005-04-06.ana.ud1176e376	First, I want to say that I understand the underlying frustration of the representative Ballo. It is the Workers' Party which, in agreement with the Advancement Party, has designed the model we have today, which is now described as having a democratic deficit. But it can be said that it is also in the Vegvessen, in every state institution, one can say that it is a democratic deficit, because it is usually a Council of State, a member of a government responsible for the Stortinget, which governs the state agencies. I can't imagine the possibility that we could have a shared ownership and an unclear responsibility for these things. Therefore, it is relatively inconceivable to me that we should have elected bodies to have the governing authority in something for which the Minister of Health should be responsible at all times. I regard that as completely unmistakable for my part. But if you can draw other models, like SV goes in for, that's an alternative. I think it's a bad alternative, but it's an alternative. As for the model itself, I believe that there are things that should be changed, and it is quite important that we make some changes, otherwise I think an end in the mountain wall.
ParlaMint-NO_2005-04-06.ana.ud1176e385	Harald T. Nesvik – for follow-up questions.
ParlaMint-NO_2005-04-06.ana.ud1176e388	What the public out there is looking for is to get a good health offer and a good hospital, so that you actually get the treatment you need, when you need it. It is then quite obvious that health care companies have done a good job of reducing waiting times and getting to a system that allows you to get faster treatment and avoid being in line for a long time. That's what must be our focus. I think it is the politicians themselves who are most interested in this matter linked to the names of those who are to sit on the individual board. I think the people are more concerned about the problem: do I get help or not when I need it? That's where the focus must be. My question to the Council of State in this specific matter is: if you go on the system proposed by the representative Bjarne Håkon Hanssen, you would not risk a large bureaucratic mill, for example. in a situation where the Council of State must cast the board and establish a new board, if one is to go out to all municipalities and county councils in order to have candidates?
ParlaMint-NO_2005-04-06.ana.ud1176e399	First, I want to say that I fully agree with the representative Nesvik that what people are concerned about is getting a health offer on the day they need it. I get about. ten letters a day, and I've saved everyone in a ringbarrow -- there's starting to be a lot of ringbarrows in the closet now. I cannot say that I have received one enquiry from one citizen who is calling for more politicians in the management of the healthcare system we have. [[Laughter]] I consider that to be completely absent. What you have to be concerned about is what health services we can make to the Norwegian people within the budget framework we have. That's what I'm following 24 hours a day. In the case of an alternative to receiving proposals for the general meeting, no seminar will be held after that, given that one should cast a board. It will be the Council of State that is accountable to Stortinget, because he is finally inserted. But more heads think better than few, we know that. That is why I call on the municipalities today to make such proposals.
ParlaMint-NO_2005-04-06.ana.ud1176e410	Let's move on to the next main question.
ParlaMint-NO_2005-04-06.ana.ud1176e414	I have a question for the Minister of Finance. The pump price for petrol is now well above NOK 11. Yes, in Tromsø we now actually have pump prices of nearly 12 kroner. When we know that total taxes on petrol amount to about 65 pst. of the pump price, and we are in a situation where, as a consequence of the high oil price, we now make more money than we expected when the budget was created, couldn't it be an idea to reduce the tax on petrol, so that this formidable surplus not only benefited the state treasury, but actually also the drivers through lower taxes? I would like to remind the Minister of Finance that in the autumn of 2000, we adopted a tax reduction with effect from 1 January, simply because the pump price for petrol was then as high as back in the 1950s.
ParlaMint-NO_2005-04-06.ana.ud1176e423	The current fuel charges, petrol, have been adopted with the support of the Progress Party. I have to say almost with the exception of Tromsø, because there is a special charge at the top that Stortinget has decided to grant permission to Tromsø Municipality, and I do not think the Progress Party was involved. But with the exception of Tromsø, we are responsible for all the prices that exist. We have a regular revision of the budget, and it is being revised. That's where we'll get back to the question. If you want to use any new means to improve well-being or lower taxes in this area or in other areas, the Government has not taken a stand. We will come back to that, and the Progress Party will have a considerable hand on the steering wheel there. I understand that the Progress Party really believes that they want a different system. They will have charges that vary with the international oil price, i.e. if the international market price of oil is low, the charges in Norway will be high, and vice versa. It's a system that Stortinget has previously rejected. I understand from the TV broadcasts this morning that the representative Jensen believes that such a system exists in France. It is unknown to the Ministry of Finance, but I do not know if we can get more information from the representative Jensen.
ParlaMint-NO_2005-04-06.ana.ud1176e432	I guess I'm asking questions. However, I can inform the Minister of Finance that the system was operating in France for several years and was called ‘TAPP flotante’. Maybe you could have a little chat with the French Ministry of Finance and figure it out. I also want to remind the Minister of Finance that he has been elected to this room on the Right Programme. The right has opted for a reduction in fuel taxes, which the Minister of Finance, when he was a prime minister, thought was too high. I register that he now does not mean what he is chosen for, and we just have to take note of that. However, the situation is that the Storting made a tax reduction four to five years ago when petrol prices increased sharply. So now the pump prices are significantly higher than they were at the time, and then I will find it natural to consider this issue in the context of the revision. I am aware that the Progress Party subsidized the State budget, but it was under an oil price assumption of NOK 230. So now the oil price is 340 kroner.
ParlaMint-NO_2005-04-06.ana.ud1176e439	Yeah, 335 kroner anyway. Now there have been a lot of French finance ministers in my time. They're going to disappear down there. However, the fact is that France had this forward-looking party scheme with flexible fees for two years, and then they abolished it – with broad support – because it had created very unpredictable conditions. So the scheme worked in France for two years. I would also like to quote from a comitology comment which I myself took on as a representative of big business, on the system proposed by the Progress Party: ‘... a charging system to ensure that ‘the selling price will not be changed as a result of changes in oil price’ is a step in the undesirable direction and involves a system that is very far from market economy thinking’. I think that was still very well said. We therefore did not want such a system, and we also received broad support in Stortinget. Whether we can assess things in the revised? The answer is yes. I have already said that in my first answer.
ParlaMint-NO_2005-04-06.ana.ud1176e455	There will be follow-up questions – Per Erik Monsen.
ParlaMint-NO_2005-04-06.ana.ud1176e458	Studies show that due to high tax and tax pressures, and not least because of the high level of costs, the steady Norwegian does not have a particularly high real income available in the European context. In the context of the Government's wish for scattered settlement in our long-term country, with greater distances than in most other European countries, would it not be reasonable to consider doing something about the petrol and diesel taxes that will bring them down to a more reasonable level, thereby reducing the distance disadvantages instead of increasing them?
ParlaMint-NO_2005-04-06.ana.ud1176e465	Part of the question I have answered in the past, namely that the Progress Party is a budgetary partner and therefore, of course, will also be with the government parties to assess this in the revised version. But two things: one is that it is not in the districts the car is used the most. It is actually in connection with commuting in Oslo and Akershus you have the largest car use. But that doesn't change the fact that most people would like to think of a lower price in this area as well. However, since the representative himself mentioned available real income, I must point out that, in relation to real disposable income, the petrol price in Norway is among the lowest in Europe. But I understand that's not what you first think about when you stand by the pump and see that the price goes up in both 10 and 11 kroner.
ParlaMint-NO_2005-04-06.ana.ud1176e472	Let's move on to the next main question. If we get time, the last main question will be Heidi Grande Røys.
