ParlaMint-NO_2005-11-16.ana.ud1190e26	The representative, Mr Solvik-Olsen, will make a private proposal.
ParlaMint-NO_2005-11-16.ana.ud1190e120	I think I just have to repeat the answer I gave last. After all, we have been in a situation where, in 24 days, we were going to come up with our proposals for changes to the budget presented by the government of Bondevik to the Stortinget. That's the time we had on us after the government change. That means we're not in goals in many areas mentioned in the Soria Moria statement where we have greater ambitions. So this is one of the proposals that we have not now made, on the basis of an overall priority in what we were going to put forward to the Stortinget for 2006.
ParlaMint-NO_2005-11-16.ana.ud1190e125	Let's move on to the next main question.
ParlaMint-NO_2005-11-16.ana.ud1190e129	My question also goes to the Minister of Finance. The government's tax regime has produced strong reactions, including among the government party's own people and in LO. The tax scheme shows that the Socialist Left Party and the Workers' Party sailed under a false flag in the election campaign. Again, over and over again, we heard that the Right and the other government parties gave the most to those who have the most from before. The current Prime Minister, Jens Stoltenberg, thundered at Youngstorget on May 1st that one had to be Finance Minister from the Right to give a tax relief to the richest who were 20 times the tax relief that ordinary people received. To that end, one must say that one might have to be a finance minister from SV in order to propose that the so-called payroll should be taxed at 200, 300, 400, 500 times as much as the ordinary people get on their earnings. The right considers that it is right to lower the tax on wages and salaries so that the marginal tax on wages and salaries approaches the marginal tax on capital. What's interesting here is that the Workers' Party and SV have turned around. What was to be increased tax for the rich has become tax relief only for the rich. I suppose the Minister of Finance will answer that now there has been a tax on dividends, but it is a proposal that came from a Minister of Finance from the Right. So my question is related to the rhetoric that the Workers' Party and SV have led through an entire electoral campaign, which is in stark contrast to what is now proposed in their first state budget. My question is whether the Minister of Finance has grown up enough to take self-criticism as regards the rhetoric that has led through an entire electoral campaign, compared to the proposal that is actually being promoted in Stortinget.
ParlaMint-NO_2005-11-16.ana.ud1190e138	This proposal for the 2006 state budget that we have presented, and with the changes we have proposed regarding the tax regime, means more taxes for the richest. If we start with the 100 richest people in Norway, 2 pst is. of their income on compensation of employees. That's why it's completely wrong when the Right and others only look at the changes that have been made to pay taxes. But even there, this government has proposed a significant tightening in relation to the Bondevik II presented to the Stortinget, and when you look at it together with the changes in the property tax that both mean an increase in the net income tax and an increase in the wealth tax for those who have the most, and what we have done on the protection rate, which is important for the dividend tax, our tax profile is much more fair than the Bondevik II stated. The reason for this is, of course, if you look at revenues over 1 million. kr, it's just 14 pst. of those who make over 1 million. kr, which has only employee income. Everyone else has significant income from both wealth and dividends. That's why we're shifting the taxation of the rich from employee income to that of capital income. And because capital income is the most distorted distribution we have in Norway, this gives a very good distribution profile in total.
ParlaMint-NO_2005-11-16.ana.ud1190e143	That was an interesting answer. I believe that it is not particularly social to apply special taxes to Norwegian capital invested in Norway. Nor do I believe that it is particularly social to tax Norwegian jobs out of the country. It does not contribute to value creation and jobs in Norway. However, my question is related to pay taxes. That's what we also discussed in the election campaign, where Kristin Halvorsen referred to the payroll in Norway with Eivind Reiten and others, who got $100,000 in tax bills with the Right. They get even more of SV. But my criticism is primarily about the fact that SV has now removed the tax relief for them with low and ordinary revenues. They are now being eaten with a tax relief of a few hundred kroner. With the proposal from the Right, the Christian People's Party and the Left, people with low and ordinary income, from NOK 190 000, would get NOK 1200 in the tax bill, and those with around NOK 450 000 would get NOK 4 400. So you have removed the tax relief for ordinary people, and then you have maintained the tax relief for the payroll.
ParlaMint-NO_2005-11-16.ana.ud1190e150	The President recalls that the speech is addressed to the President and not to the Council of State.
ParlaMint-NO_2005-11-16.ana.ud1190e153	This is completely wrong. For revenues below NOK 200000, this government provides a significantly greater relief than the government Bondevik provided. What we have done is to increase the tax on the high-income groups in relation to what Mr. Bondevik II said. I simply think that the representative from the Right should also be very honest. For now, the representative from the Right is filling in the tax relief proposed by Bondevik II in relation to those with large assets. That's why this is going to be a completely wrong image to give. If I stick to the hundreds richest in Norway, it's true that they have 2 pst. of its income as compensation of employees. They would receive a tax relief on their employee income. But because they have so much wealth, our proposal to tax them will increase the tax by more than 1 million. kr. These are people who would get tax relief if the right-wing dominant Bondevik II government proposal went through. So this has a very good distribution profile.
ParlaMint-NO_2005-11-16.ana.ud1190e162	The President will allow four additional questions – first Gjermund Hageseter.
ParlaMint-NO_2005-11-16.ana.ud1190e165	I would like to begin by congratulating the Minister of Finance on the fact that she seems to be getting through the State budget unchanged in Stortinget and is therefore also able to secure herself a tax bill of about NOK 16 000. What's in this state budget is a tax relief for those with high incomes, which was also said by the previous speaker. It's high-wage civil servants, it's high-wage bureaucrats, it's high-wage politicians who get huge tax credits. This will be financed, inter alia: by people most, and also by those who create values in this country. Most people will be tax-enhanced and tax-enhanced by increasing food and transport VAT, which will be the most pronounced for those with the lowest income. That is why this is an unsocial budget. My question is: What does the Minister of Finance think about this social profile in the 2006 state budget?
ParlaMint-NO_2005-11-16.ana.ud1190e172	This is not an unsocial budget. If we go to the employees, I think there's one thing that provokes ordinary employees more than anything else, and that's that until now they've been able to see that people who have had big incomes have been able to avoid paying taxes according to their ability. That's what's now changing. It'll be like a person with 2.4 million. kr in income, which was previously able to legislate and take part of its earnings as capital income and thus escape 28 p.m., is now subject to a tax tightening of NOK 700000 per year. This is one of the greatest injustices we have in the tax system in Norway, and that is what is now corrected. Unfortunately, it is that some high-wages do not have wealth, and do not have significant income from capital, and it is true, as the Progress Party then says, that in isolation they will have a tax haven that they do not need and that many of us could have been ahead of them. But overall, the changes in taxes on wealth and capital taxation are leading to a fairer tax system.
ParlaMint-NO_2005-11-16.ana.ud1190e181	In the last answer, it almost seemed as if the Minister of Finance were tired of the fact that high pay did not have capital income. I don't know if that's an answer she's standing by. I do not think it seems that the Minister of Finance is quite comfortable to explain the profile that the Government's tax arrangements have been given. I also understand that the central government party is now a bit in doubt about the scheme that the government has put forward, really is so well distributed. And that's probably after others have signed up on the track to say the same thing. The Minister of Finance said that this is a very good distribution profile. In a letter to Stortinget, LO states that the tax regime of the Stoltenberg government provides huge tax relief for high wages. It's unacceptable to LO. How does the Minister of Finance view the criticism from the Landsorganisation?
ParlaMint-NO_2005-11-16.ana.ud1190e190	I'm surprised. Firstly, for all those who followed the negotiations of Soria Moria, it was quite clear that the tax reform which has been dealt with in the Grand Duchy by several crossroads was to be carried out. It was a result of the negotiations, and it was very well received in LO, and in many other groups. Then I'm also amazed that you don't look at what happens in total tax. Because if there's something wrong in Norway, it's the big wealth and the big income from capital. Therefore, it is very good distribution profile to ensure that large capital income and large assets are distributed better than today. But what I'm perhaps most surprised about is the Christian People's Party, which was behind the Bondevik II government's 2006 tax proposal, which would mean a much greater relief in the payroll tax for those who have the most – twice as much income of 800,000 kroner – than what we have now presented. So my opinion is that the Christian People's Party is much more served by the tax arrangement that we have presented. And I'm very excited about how the Christian People's Party is going to act in this room. Here we've got money for a lot of good purposes.
ParlaMint-NO_2005-11-16.ana.ud1190e199	The President reminds us that both questions and answers during the additional round are 1 minute. Lars Sponheim – for follow-up questions.
ParlaMint-NO_2005-11-16.ana.ud1190e205	The maturity of the Norwegian tax system has been the difference in the tax rate between labour and capital and not the millimetre measurement between different employee incomes. That is why it is good that SV within the Ministry of Finance's walls has learned this great difference, and will do something about it. Here I will defend the Minister of Finance in that she has left her previous SV position and is doing what is necessary. It is in the best left-wing tradition to be a businessman for some necessities, and not least in these start-ups it may be reasonable to take advantage of the opportunity. But the greatest danger of this is that increased taxes on dividends, which are necessary to get equal marginal rates, are combined with increased taxes on wealth, which means that small businesses, private ownership, are chased out of the country or perhaps out of businesses. I think Minister of Finance Kristin Halvorsen might be the one who's getting a lot of capital out of the country. Does she agree with what Lars Peder Breck, the Central Party spokesman in business policy, says today – that we lost that discussion, and we are also dissatisfied with what we have achieved in taxing family businesses?
ParlaMint-NO_2005-11-16.ana.ud1190e212	No, I don't agree with that. It's just that if you're going to get a fair tax system, you have to have a fair tax on wealth. Today, very many pensioners pay much more in taxes on wealth than those who have large values placed in other ways. Now, what we're doing to change the taxes on wealth is to make sure that those who really have great values also have to be involved and pay taxes according to their ability. Now it's not unsocial to increase the tax on capital. We're now increasing the tax on capital income from 28 to 48 pst. Of course, those in business who make money and make dividends must also be willing to pay taxes on the values they take out. It's a very important part of the tax reform, it's sensible business taxation, and it's fair distribution policy.
ParlaMint-NO_2005-11-16.ana.ud1190e219	Erna Solberg – for follow-up questions.
ParlaMint-NO_2005-11-16.ana.ud1190e222	What the Minister of Finance is now trying to do is talk away from the fact that those to whom tax relief is being reduced are low-paid full-time workers. The group from NOK 190 000 is largely the low-paid full-time workers. It's part of the profile you've put on from the government, and it surprises me in and out. But what I want to go back to is the main question from Jan Tore Sanner that the Minister of Finance did not answer, namely whether you take criticism of the rhetoric in the election campaign, or the rhetoric last autumn. The distribution profile that was debated when the budget was presented last autumn is exactly the same as the one that is now coming up, and I understand that the left-hand side, which has supported the Government, is actually disappointed. Then it was not the capital tax it was attacked on; no, it was Eivind Reiten, Helge Lund and other directors of large Norwegian companies – the same as Kristin Halvorsen has now given great tax relief.
ParlaMint-NO_2005-11-16.ana.ud1190e229	Firstly, it is wrong for the representative Erna Solberg here now says about the tax changes for employees. These groups are also taxed with the proposals of this government. It's clear, and it's clear from all of the tables. So it's a question of if you see the taxation of wages separately. And -- yes, there are people who are now getting tax relief, because they are making this approach in taxes on marginal taxes between work and capital, that don't need tax relief. We've been working for 24 days everything we can to reverse the worst losses of the tax havens that were already there. But then you have to see this in context with those who have incomes of over 1 million. kr, also has significant assets and significant income from capital. They wanted a relief with the previous government. They wanted the bag and bag with the previous government. Now they get a little bag of us and a heavy bag of us, and the sum of it is a sharpening of capital for those who have the most in Norway.
ParlaMint-NO_2005-11-16.ana.ud1190e236	The size goes to the next main question.
ParlaMint-NO_2005-11-16.ana.ud1190e239	My question also goes to the Minister of Finance. The Christian People's Party wants a tax policy that helps to secure and create jobs. That is why we are behind the tax reform, and we are pleased that SV has also come to that. But one of the reasons was that the Bondevik government posted increased depreciation rates for machines – from 20 to 25 pst. – in its 2006 state budget proposal. This measure traveled the country and the beach around and spoke warmly about in the campaign, with and without helmets. The surprise was therefore great when the Minister of Finance presented the additional proposal of the new government, for here the proposal that SV put so much emphasis on before the elections has been reversed. And it does not belong to the 'worst' tax proposals in the budget, as the Minister of Finance said. The government has now come to the conclusion that there are no economic conditions that might suggest that it should now give priority to stimulating high investment firms. So there won't be any increased depreciation rates anyway. The proposal lay there, promoted for the Storting, and could only have been maintained. This is disappointing, it is very unexpected, not least when we know what the Minister of Finance's own party wrote in his alternative state budget for the current year. It says: ‘An important step in modernising business is the faster depreciation of machinery and equipment [[...]] Yes, here, too, we see what has gone on in this entire questioning process so far, a huge difference in what you said before the election, and what you did right after the election. It is not only rhetoric that has changed, but also politics has changed. I would like to ask the Council of State: what is it that makes Minister of Finance Halvorsen consider the need for changes in the depreciation rates so completely different from what party leader Halvorsen did just before the elections?
ParlaMint-NO_2005-11-16.ana.ud1190e259	I had been looking forward to this line from the representative Høybråten. I thought we were going to have a little round in relation to what was in the evening post yesterday, but I now understand that the Højbräten and the Christian People's Party have found out that the proposal for the state budget we have submitted has a much better social profile than the one they themselves were forced to do with the Right – so it's okay. So at the depreciation rates. Yes, it is true that the previous government has put in a proposal to change the depreciation rates – which we have not insisted on. It is paragraph 1 that it is not of the priority issues of the Soria Moria negotiations, and paragraph 2 that for those parts of the industry for which this would mean significant relief, it is doing quite well now. That's why it's not part of the priorities we've been doing for 2006.
ParlaMint-NO_2005-11-16.ana.ud1190e266	I understand that the Council of State would like to talk about something other than that question. That's understandable, because this is quite incomprehensible to ordinary people. Øystein Djupedal, Vice President of SV, now a member of the Government, stated on SV's own websites as late as 7 September: ‘The business community is asking for better depreciation rules and a country that cares. We have many tools in the toolbox, but we need a government that does not boast of its own inaction, but dares to be active." Yes, the new government has certainly been active, but above all, the activity has been removing tools from the toolbox. This proposal, which was discussed at the latest on 7 September, has been removed four days before the elections, has been abandoned in research, and has been eliminated in Innovation Norway. Is this what you want to fill in the toolbox? Or does the Minister of Finance agree with Minister of Industry Odd Eriksen, who has confirmed to TV 2 that, yes, some tools have actually been removed?
ParlaMint-NO_2005-11-16.ana.ud1190e276	No, I don't agree with that. Firstly, the representative Højbrätten is quite right that SV proposed to change the depreciation rates, with the exact reason that the Højbrätten now reads out in Stortinget. But it is also the case that the price tag for this is relatively small for 2006, but more than 1.5 billion in 2007. And in an overall assessment and after the negotiations on Soria Moria, this is a proposal that has not been reached. But it also coincides with the situation of those parts of Norwegian business that would have earned a change in depreciation rates. The situation is quite good when it comes to it – not just the one, but Norwegian business at all. And that's why it's not prioritised in this area. In fact, we have a lot of areas that should be given priority. We're going to have an active business policy. For example, the whole school and education system is the most important investment in forward-looking industrial policy that you can make in 2005 and 2006.
ParlaMint-NO_2005-11-16.ana.ud1190e281	The President will allow three follow-up questions – first Gjermund Hagesetter.
ParlaMint-NO_2005-11-16.ana.ud1190e285	In addition to the write-offs that SV's next leader, Øystein Djupedal, went around in the election campaign and boasted should be improved after they got in position, there are also a number of other conditions that have now been exacerbated. One has increased the dividend tax. One also has a sharp tax on wealth, and of course it makes it less attractive to invest in Norway. Even before these changes have come into force, there is a tendency for many large Norwegian companies to expand more abroad than they are expanding in Norway. In other words, Norwegian enterprises create more jobs abroad than in Norway. These increases will, of course, accelerate developments and affect Norwegian workplaces. This is the Advance Party's concern, and my question to the Minister of Finance is: What kind of instrument does the Minister of Finance have to prevent Norwegian jobs from going abroad?
ParlaMint-NO_2005-11-16.ana.ud1190e290	The concern that the representative of the Progress Party brings here is what we need. And it has to be behind measures taken in relation to business and in relation to the taxation of business. But this government has not put forward a proposal to tax business that would give an excuse to move its business out. We're going to come back to Stortinget with a lot of suggestions about how we can pursue a more active business policy, because it's one of the ambitions that is very clear in the Soria Moria statement. We're going to come back with how we're going to use state ownership to secure business in Norway. We're going to come back with how we can ensure that we stimulate and secure lending schemes for businesses around, not only in the central parts of the country, but throughout the country – the districts as well. So we're going to do a very offensive business policy in sum. In addition, I have to say that in many areas tax relief has been implemented, for example. the net pay scheme, which is continued and improved over the next year. It has a major impact on coastal workplaces.
ParlaMint-NO_2005-11-16.ana.ud1190e302	Svein Fleet – for follow-up questions.
ParlaMint-NO_2005-11-16.ana.ud1190e305	During the annual budgetary procedures, SV has always proposed improving depreciation rules, and the reference has been improved productivity, improved profitability and, in particular, improved working conditions for employees. Øystein Djupedal has often said that what we are going to do, we are going to do. Now, when we read the supplementary proposition, we say about depreciation: «In order for the tax bases to reflect real economic conditions, depreciation rates must reflect the actual economic impairment of the operating assets. Consideration of stable and predictable tax rules [[...]] In other words, it is believed that this good universal tool for Norwegian business has now lost the Socialist Left Party in government. But now I heard Kristin Halvorsen say to the previous asker that you will come back to Stortinget with new things for business. Does this mean that you want to re-open the universal tool, or have you thrown it for good?
ParlaMint-NO_2005-11-16.ana.ud1190e317	I am not now notifying that there are new proposals regarding depreciation rates for 2006. But I have no problem with what SV has said up until now about these depreciation rates. This has been an important proposal from SV, but it has not achieved the priorities we have set for 2006 and 2007. For the part of business that would benefit from this, in this cyclical situation, there is no need for that kind of instruments to be taken into account. But this is one of the proposals that we are going to consider further in the future.
ParlaMint-NO_2005-11-16.ana.ud1190e322	Lars Sponheim – for follow-up questions.
ParlaMint-NO_2005-11-16.ana.ud1190e325	It was obvious that a majority government would lead to changes in the Storting, but that the parties behind the majority government would take on the role of taking over the entire opposition as well, is well to take a little bit of Møller's tran. We see that in almost every newspaper we open. Now it's okay that SV's leader as Minister of Finance says she was unable to fulfill the promises, which were so strong, about depreciation rates. But it is significantly more than what affects the large value creation around the small enterprises, in the tax proposal that exists. The tax on shares, as regards changes in the protection rate, in the remuneration deduction for individual enterprises, changes in the tax FUNN scheme, etc. It's all for the worse. And that's the opposite of what the previous government did, which in four years helped make it 50,000 new businesses. And my simple question is this: what in the government's tax system is better for business and small businesses than what the Bondevik II government put forward?
ParlaMint-NO_2005-11-16.ana.ud1190e332	The representative Sponheim is right to say that if you look at only the changes that have occurred on the tax side of this budget, there will be traders and those who have large incomes from capital, who will have to pay more to the community. This applies to traders who make money, as is the case for others who make money. It's a change that Sponheim's own government started on, and it's quite right that Sponheim says that we have increased taxation, for example. in the case of dividends. But Norway is a good place to do business. Now there are not 50,000 net new businesses that have come into existence under the previous government. Of course, there's a change in companies. But in particular, the fact that we have committed ourselves to a budget that no one can use as an excuse to increase interest or strengthen the rate of interest is the most important framework condition for business in the future, and it is kept very well.
ParlaMint-NO_2005-11-16.ana.ud1190e339	Stortinget goes to the next main question – Gunnar Kvassheim.
ParlaMint-NO_2005-11-16.ana.ud1190e342	I want to ask the Minister of Oil and Energy a question. There is great confusion around the government’s view of petroleum-free zones in the northern regions and in the Lofoten. It's not the oil and energy minister's fault. In an interview with Dagens Näringsliv on 14 November, he is very clear. He is described as a freshman in oil activity in the north, and as a freshman, he is strong in faith and has clear testimony. His clear message is that he does not want petroleum - free zones in the north. Yes, he makes it very clear that it would be a mistake to establish these. I noticed when this was a theme at the Central Party National Meeting, that Enoxen was one of the architects behind the compromise that came into the program, where it is stated that there will be petroleum-free zones in the north. The same holds true for SV, who not only believes it in its party program, but believes that the Soria Moria declaration definitely states that it should be such zones. Therefore, Hallgeir Langeland in today’s industry on 14 November states that permanent petroleum-free areas should be defined at the time of submission of the management plan. What is the Government's view of this important point, which was so central in the negotiations on Soria Moria? Is the Government in line with the Government, with the Central Party program, or with the SV's expectations of the Government's policy, based on the Soria Moria Declaration?
ParlaMint-NO_2005-11-16.ana.ud1190e353	The Soria Moria declaration is crystal clear at this point: in the context of the treatment of the Barents Sea Management Plan, it is explicitly stated that there will be areas in which petroleum activities are not to be carried out. This is the way we have always treated the opening of new areas on Norwegian pedestal. This government intends to proceed step by step and carefully, in the same way as the previous government, of which the party of the representative Kvassheim was part. We are talking here about a vulnerable area environmentally, we are talking about an important area in relation to fisheries policy, and we need to ensure that this is managed in a holistic way, where the interests of different industries and the environment can go hand in hand. This government has already stated that Northland VI should not be opened up to petroleum activity during this four-year period in which we are now in. It's obfuscated. Petroleum-free zones are an unpresist concept that this government has no choice to use. On the other hand, we have said that there will be areas that will not be opened to activity. In that is exactly what has been the tradition in relation to the way we have opened areas on a Norwegian base. Technology development and increased knowledge of the consequences of what we're doing, suggests that in maybe 15 years, 20 years, future growth will have the opportunity to open up these fields that we do not find sound or desirable at this stage. This possibility will be open to future accumulation and may be addressed in this context. To say that the undersigned is new-free in relation to oil activities in the north is enough to take something strongly into account – that is the term of the newspaper. I have been among those who have been skeptical about oil activities in the north – not only skeptical, I have been opposed to oil activities in the north. I now believe that increasing knowledge and technology development means that we can move forward carefully in these areas, in order to clarify what resources need to be available in the north.
ParlaMint-NO_2005-11-16.ana.ud1190e365	I want to ask the additional question to the Minister of Finance. We now hear that the Minister of Oil and Energy is not only opposed to permanent petroleum-free areas in the north, he also argues strongly and clearly against it. On the day the Soria Moria statement was presented, Kristin Halvorsen said to TV 2 that she expected a broad consensus on the permanent protection of sensitive areas in the north. The same expectation has been expressed, to which I referred, by Hallgeir Langeland and other representatives from SV. My question to the Minister of Finance and the SV leader is therefore whether it is that she still wants areas in the north that are permanently protected from petroleum activity, and whether she expects it to be widely agreed, at least in the Government?
ParlaMint-NO_2005-11-16.ana.ud1190e374	Then state councillor Kristin Halvorsen can choose if she will answer. Although the question also went to the SV manager, she does meet here as Minister of Finance.
ParlaMint-NO_2005-11-16.ana.ud1190e377	That's right. This is not my constitutional responsibility to Stortinget. Let me just say what's in the Soria Moria statement. It says it. ‘that petroleum activities are not to be started during the period in Northernland VI. When the overall management plan is available for the other sea areas outside the Lofoten and northwards, including the Barents Sea, the areas to be opened and the areas in which no petroleum activity is to take place shall be determined». This shall be determined by Stortinget. That's what covers the government's vision, as far as we've come now. However, we know that we are facing a situation where the government's treatment of the management plan to be submitted is to determine which areas are to be opened and which areas are to be closed. The areas to be closed may only be reopened by a roll-over decision.
ParlaMint-NO_2005-11-16.ana.ud1190e389	The President will allow three follow-up questions to the main issue, which is initially to the Minister of Oil and Energy – first Ketil Solvik-Olsen.
ParlaMint-NO_2005-11-16.ana.ud1190e392	Petroleum activities in North Norway are particularly important, both for the nation, for the county and for the Norwegian oil industry. But if we're going to have some business up there, we're going to have to look more. Today, 19th concession rounds are under way for the allocation of new exploration sites. The Soria Moria statement says that the first quarter should be maintained as an allocation deadline, but at a conference last week there were doubts about this. The Minister of Oil and Energy was quite positive, but the Minister of Environmental Protection raised more doubts by talking about a lot of protection. To journalists, she said that the allocation of new areas should wait until the Barents Sea Management Plan is dealt with at Stortinget. It means at least the second quarter of this allocation. For the industry and the national community, this must be a serious setback and not least a breach of the government's promises. Therefore, I want to ask the Council of State if the Council of State can assure the Storting that we can ignore the statements of the Minister of Environment, and that the entire 19th concession round will go as planned.
ParlaMint-NO_2005-11-16.ana.ud1190e397	The government has provided this document – the call brochure – as a basis for its work on the 19th concession round. In the call, as the previous government was behind, it is said that 19th concession round, which had an application deadline yesterday, will be dealt with during the first quarter of next year. However, the Minister for the Environment is right in saying, as the Minister for the Environment said at that conference, that the Stortinget will be receiving the overall management plan for the first six months of next year. That's the Government's intention. This document — and it also follows this government — makes provision for five coastal areas in the Barents Sea to be dealt with after the management plan has been finalised in the Government, and is taken into account in the conclusions of the management plan. We've assumed that we're going to follow the same scheme. It is a responsible way of doing this, because then we will have to take into account the conclusions drawn in the management plan, especially in relation to the five coastal areas mentioned here.
ParlaMint-NO_2005-11-16.ana.ud1190e404	Ivar Kristiansen – for follow-up questions.
ParlaMint-NO_2005-11-16.ana.ud1190e407	I seriously wonder what has really happened to the oil and energy minister only in two days – not just the piece of art that the Council of State has turned 180 degrees, but actually 360 degrees, from having been resistors of oil and gas activity in the north to Monday through three helsides in today's business to appear as a freshly frozen adherent of increased pace in the north – actually increasing the pace of what the previous Bondevik government presented, a policy that would have Right Solar, Warm Support and given optimism, speed and activity in the north. That's what I'm really wondering, because the Council of State decided on Monday that petroleum-free zones would be a mistake. He also struck on Monday crystal clear that the permanent protection of northern search areas is not applicable. Then my question is, what in the name of heaven is what has happened from Monday to Wednesday?
ParlaMint-NO_2005-11-16.ana.ud1190e412	I say nothing else today than what I said on Monday. It is quite right, as the representative Kristiansen points out, that over time I have changed my view of oil activities in the north. As I also said in a previous answer today, it is related to the fact that over time we have also developed increased knowledge of the consequences of what we are doing, and we have developed technologies that enable us to operate today in areas where we could not do it for a few years. The Kristin field, which is just opened, the Worm Lange and the expansion of Snow White are all examples of this being possible. In fact, I think that more people would stand by not being fanatical trailers of drilling as much as possible for oil at any price, but take into account that we are going to have consistency between both the environment, the consideration of the fishing industry and the sensibleness of moving forward step by step in order to do so in an environmentally sound way.
ParlaMint-NO_2005-11-16.ana.ud1190e419	Line Henriette Holten Heimdal – for follow-up questions.
ParlaMint-NO_2005-11-16.ana.ud1190e422	Petroleum-free zones have been considered by many to be good environmental policies in the management of our seas. Now there was no room for these in the Soria Moria statement, where maybe these petroleum-free zones were lost in the fog home. But we have heard that the Council of State says that petroleum-free zones are an unclear concept. As a result, there is still uncertainty about the environmental profile of this government in the maritime areas. The representative Sørensen of SV claims that the Government aims to establish so-called environmental zones before the management plan is ready. On the other hand, state councils have stated that he is skeptical about the permanent protection of marine areas. The question then arises: Is it the case that the State Council pre-empts the management plan and has left the objective of petroleum-free zones before the management plan is available?
