ParlaMint-NO_2005-12-08-lower.ana.ud260e56	No one has asked for the floor. [[Footing, see page 45]]
ParlaMint-NO_2005-12-08-lower.ana.ud260e417	It's going to go above the title of the law and promise at all.
ParlaMint-NO_2005-12-08-lower.ana.ud260e427	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2005-12-08-lower.ana.ud260e435	In the course of the debate, two proposals have been put forward, the proposal No. 1 and 2, from Kenneth Svendsen on behalf of the Progress Party. The President will come back to these proposals during the vote on the individual paragraphs.
ParlaMint-NO_2005-12-08-lower.ana.ud260e484	The President would like to make a reference to proposal No. 1, from the Progress Party. The proposal reads as follows: «In the Law of 28 February 1997 No. 19 is amended as follows: the first sentence of the second paragraph of Section 4-7 is replaced by the following:Day allowances may be provided for up to 42 weeks during a period of 18 months in the case of full or partial leave by the same employer.» [[People's Security Act]]
ParlaMint-NO_2005-12-08-lower.ana.ud260e535	The party of progress, the Right, the Christian People's Party and the Left have warned that they will vote against it.
ParlaMint-NO_2005-12-08-lower.ana.ud260e624	The party of progress has announced that they will vote against it.
ParlaMint-NO_2005-12-08-lower.ana.ud260e636	President. — I call the Group of the European People's Party (Christian Democrats) and European Democrats. 2, from the Progress Party. The proposal reads as follows: «In the Payroll Act of 6 May 1988 No. 22 is amended as follows: § 3, first paragraph, first and second sentences are replaced by the following:Workers who have been wholly or partially on leave without pay for 42 weeks in the last 18 months are entitled to pay and other pay from the employer for the excess leave period. [[Law on payroll]] [[2]] The Ministry may provide for the possibility of extending the 42-week period before the employer’s obligation to pay is reinstated.»
ParlaMint-NO_2005-12-08-lower.ana.ud260e680	It will first be voted on point 3, as the Progress Party, the Right, the Christian People's Party and the Left have warned that they will vote against, and then over the rest of the III.
ParlaMint-NO_2005-12-08-lower.ana.ud260e698	It's going to go above the title of the law and promise at all.
ParlaMint-NO_2005-12-08-lower.ana.ud260e708	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2005-12-08-lower.ana.ud260e719	There is no record available. Does anyone ask to speak in accordance with Section 37a of the Rules of Procedure before the sitting is cancelled? - The meeting has been cancelled.
