ParlaMint-NO_2005-03-18-lower.ana.ud778e45	The representative, Torbjørn Andersen, will make a private bill.
ParlaMint-NO_2005-03-18-lower.ana.ud778e200	It's going to be line change.
ParlaMint-NO_2005-03-18-lower.ana.ud778e203	The left wants to revitalise local democracy in its programme design and is committed to allowing municipalities to hold elections at their own request in the election year. So the reason for the Left is the vitalization of local democracy. Now, however, it turns out that many more citizens vote in the council elections when these are added to the decision-making process – considerably more, i.e. the vitalisation of the local democracy of the Church. Why can't the Left then be involved in evaluating an electoral system for the councils that have clearly vitalized local democracy in the Norwegian Church?
ParlaMint-NO_2005-03-18-lower.ana.ud778e208	This is a very good example of a social-democratic short-circuit: some communities get a freedom to try out something that they think works – it works, and so everyone should do what works for someone. Now there's someone who's done that experiment. It is probably the congregations that have assessed it to be good for them. But the fact that someone has assessed something to be good for them doesn't mean that we're going to impose on all those who have judged it not to be good for themselves, to do it. That's what the Working Party is doing here. Today, the churches have that freedom. I think most of the churches have a dream of having as many voices as possible behind them, a dream that as much as possible should participate in democracy, and if they think this benefits them, they're going to try it. But this is also a lot about practical arrangements. This means, among other things: that you have to have a voice room that is to be located next to the staging room, but that should not be the same – and that is not true everywhere. So that's the social-democratic solution, that this is going to suit everyone. We have faith that those who think it's true use it.
ParlaMint-NO_2005-03-18-lower.ana.ud778e213	I often use programs when we have rounds like this. Left says in its application: ‘The education of baptism, faith and life should take place under the direction of the individual religious and life opinion society outside of education.’ But this phrase ‘should’ means that it is not so precise; one can maintain a proven discretion in law, i.e. in the provisions of the Church Act, to allow for confirmation education at school. The left has also changed its mind quite strongly since we dealt with the matter of faith training. At that time, there was a great deal of effort to avoid an unfortunate mix of roles that could reinforce the contradictions between different religious and life-view societies. Obviously, you don't have that vision. It might be interesting to know why you have changed your mind from clearly wanting to avoid unlucky role-playing to think that it is no longer so dangerous.
ParlaMint-NO_2005-03-18-lower.ana.ud778e223	I think it's quite understandable, and very charming, that everyone has read the program of the Left, and I think they can continue with it – it's very good there. With regard to the ‘should’ that Arne Sortevik mentioned, we believe in principle, and I believe that the law now clearly states that school and confirmation training should not be mixed. But that doesn't mean you don't have to find practical solutions where school kisses and other things warrant it. That is precisely what is in the formulation of the programme, in the draft programme of the Left. We believe that a clear distinction should be made, but that does not mean that one should not be allowed to use the boat trip for the confirmation training at the extremely small nose where you have boat traffic back and forth. We want a divorce first and foremost because it is not going to divide the children into their everyday school days. But here we're talking about small places where children are going to realize that someone is going to be at confirmation training and someone is not, regardless of whether you're trying to hide it never so well. So here it's about finding a practical order.
ParlaMint-NO_2005-03-18-lower.ana.ud778e228	I haven't read the program of the Left, but I've actually read what the Left was on in the Inner East. S. No 200 for 2002–03, where the left was a majority, together with the SV, the rest of the government parties and the Progress Party, and where we said that confirmation training should not be added to school time. It is an undeniable fact that it was the position of the Left last time we dealt with this matter. So you could say that it's going to be the general rule when we change the law, but it's still made an exception, and the exception is that one should not only be able to use school time, one should also be able to use school hours, that is, one should be able to take hours out and use it for religious training. I had hoped that the Left could approach this principle, as they did when we treated the Inner. S. No 200, and say that there is a clear distinction between religion education and school education. We're going to go into religious education, the Church is getting money, but we're not going to have such a mix-up into school. It was a clear premise for us, and I also perceive that was a clear premise for the Left, but now they're obviously going on chords with previous positions.
ParlaMint-NO_2005-03-18-lower.ana.ud778e237	I mentioned a quote in my post, that if my ideas are incompatible with reality, things get worse for reality, and now Rolf Requam made it his quote. We have a clear principle. We have run that principle both in the earlier debates, in the previous speeches and in the previous one. That is the clear principle of the legal text, but then we are also willing to find practical arrangements in which the principle is adapted to reality.
ParlaMint-NO_2005-03-18-lower.ana.ud778e242	The cord shift is over.
ParlaMint-NO_2005-03-18-lower.ana.ud778e246	Da Ot.prp. No 30, if changes in the church law, fell on the committee's table, it was probably few of us who considered this matter to contain something special explosive, but it did. Initially, I would like to pay tribute to the Committee for the highest tribute it gives to the system of the same election day for the council elections and the roll-call elections. The Committee is pleased that this has led to a significantly higher turnout for the Joint Council elections. So far, everyone agrees, but it's over from here, too. The Labour Party is disappointed that the Committee will not be in favour of our proposal to ask the Government for an assessment of amending Section 2-1 of the Church Act so that elections to new councils and voting decisions are held at the same time. So we've asked for an assessment. A joint committee approves of a successful attempt, but to be part of an assessment of changing the law is to go too far. Well, well. The proposal proposes, as an attempt to give 15-year-olds the right to vote in the Council of Association elections. The Labour Party says that it is inappropriate to introduce different age voting rights for different public elections, and as a consequence, we will also support the Government's conclusion that the electoral age of the council should be 18 years. The Labour Party will support the proposal to open direct elections to the Council of Commons and the Council of Bishops on the basis of the desire for more democracy in the Norwegian Church. On the other hand, the Labour Party doubts whether an arrangement whereby half of the members of the council are replaced every two years will lead to greater continuity in the Council. From our point of view, the proposal lacks a thorough overall assessment, and further, the proposition does not put in any convincing argument for the proposal, to put it that way. The Labour Party will therefore not, at this stage, support such a proposal. So to the confirmation training. The working party has, and still has, the position that, in exceptional cases, it must be possible to provide confirmation training in school time. Special circumstances can be young people with special needs and with organized training, or, like in the part of the country I come from, where some young people first have to travel by boat and then by bus to get to the town and school. Then I support what Skei Grande says, that it must be allowed to think practically and to facilitate practical solutions. We are pleased that the majority of the Committee has turned around and now supports the Labour Party in this. In the case of faith training and SFO, there was also a theme during the treatment of St. reported. No 7. for 2002-2003, Truss training in a new era and the Workers' Party maintains its position that belief training should not be part of the offer provided under the SFO scheme. The working party is afraid this can give an unfortunate mix of what is school leisure services, and what is the Church's offer. On the other hand, the Labour Party has never intended that the Kingdom of Norway should only allow children to receive religious training in the afternoon, that religious training should be only an evening activity. Such a position I think would be contrary to human rights, and would be strange to me. But we don't want any religious training within the range offered by the SFO. I am therefore pleased that the majority supports this position, and that the majority, all except SV, clearly say about this in their comment, and I quote: ‘The majority emphasises that the majority decision of Innst. S. No 200 [[2002-2003]] Finally, I would like to address the Workers' Party's proposal on the Council's election and the amendment to Section 24 of the new seventh paragraph.
ParlaMint-NO_2005-03-18-lower.ana.ud778e273	The representative Eva M. Nielsen has taken up the suggestions she referred to. It's going to be line change.
ParlaMint-NO_2005-03-18-lower.ana.ud778e278	First, let me make it clear that in terms of the firm training and use of school, the majority has not changed any opinion. I'll come back to this in my post. What I want to ask the Workers' Party is this point that goes on election every two years. The reason for this, as I think it is very good, is that one should improve the continuity so as to make it easier for more people to make elections to the council. It's a fact that it can be difficult to get enough willing people to make choices. There are many community councils in this country, many more than local authorities, and many people are needed to make choices. I see the clock doesn't go, so I have unlimited speaking time! What we're talking about here is trying. It has not been said that this will immediately lead to the desired result. It's about making attempts to get a broader commitment. I want to ask – although I still have one minute left of the line – if the Workers' Party does not think it makes sense to try in this area too in order to get a wider uproar on the church election.
ParlaMint-NO_2005-03-18-lower.ana.ud778e289	The President is sorry – one is doing two things at a time.
ParlaMint-NO_2005-03-18-lower.ana.ud778e292	Yes, now it's time! The Labour Party has said that we do not think the proposals are well-founded and that there is not a good enough overall assessment in the proposition of why this should be promoted now. We also say that at this stage we do not want to support the proposals. I don't think it's important to have trials for your own sake. If it is that it is difficult to get people to vote for the opinion board, I think that other active measures should be used to give the advice perhaps more decision making, make it more attractive to be there – simply put in other measures to get people to join in. My experience is that in a lot of churches, there are women who make up, there are a lot of young women who are involved in the councils of opinion – at least as I know it. So we don't think there'll be any greater continuity by having choices every two years. Then maybe a lot more samples should have had it – and maybe other assemblies.
ParlaMint-NO_2005-03-18-lower.ana.ud778e301	I note that the Labour Party has previously voted in favour of proposals that are contrary to human rights, as the Labour Party not only voted in favour, but was the proposer when we discussed the matter a year and a half ago, to a proposal which reads as follows: ‘Tross training shall not take place during the school leisure system opening hours.’;» It was a proposal on which the Workers' Party and SV stood together. The progress party went even further in limiting this. So my question to the Workers' Party is, is that the proposal that one stood with the SV about the last time, in violation of human rights, as it was said now? Then I have another question, and it's going to try out different new choices, direct choices, etc. – elections in churches. We have built up a church democracy, and if it is allowed to establish a system of electoral powers, I have reason to believe that church democracy is being weakened. Is the Workers' Party concerned that when we get elections across the geographical boundaries, it could weaken church democracy?
ParlaMint-NO_2005-03-18-lower.ana.ud778e313	I have to correct Mr Rikvam's representative here. A proposal from the SV and the Workers' Party was put forward together, which – correctly quoted – read: ‘Tross training shall not take place during the school leisure system opening hours.’;» But it is also stated in our joint note that the reasons for the proposal are: ‘Although SFO is a voluntary offer today, these members believe that belief training at this time will result in an unfortunate mix.’ That's our point of view -- we have that today, and so did we. The Labour Party has never intended that it should not be allowed to teach religion in the morning. It is amazing that SV has been able to perceive it this way. Then there had to be a ban between the clock. 8:00 a.m. and around 8:00 a.m. 17:00 in the afternoon against giving such instruction. The Workers' Party has never been in favour of this.
ParlaMint-NO_2005-03-18-lower.ana.ud778e328	It is clear that SV reads the text from the treatment of the training reform as they themselves will, but I should also come back to that. I find that the two competing red parties are quite disagreeable in the view of the confirmation part of the religious training related to the school. One opens for mixing, and one is bastant and definitely repellent to such mixture. I also hear what the representative from the Workers' Party is justifying his view, and I have an understanding of practical matters, including: related to communication, etc. But anyway, and in fact despite that, I'm going to ask if the Workers' Party doesn't see it as important that you try to find other premises than the school, at least. When you have traveled to the place where the school is, when you have limited travel opportunities and long travel time, you could still move from the school area to another room, which clearly shows that the Church's religious training and confirmation training are actually separate from the school. Why don't you do that?
ParlaMint-NO_2005-03-18-lower.ana.ud778e337	First I have to say, yes, SV and the Workers' Party have different positions and different positions. The point is that the Workers' Party has considered the same both in connection with the treatment of St.meld. No 7 for 2002–03 and in the case we are dealing with today — in the case of confirmation, and in the case of SFO. So for the firm instruction and why you can't put it out of school. From our point of view, you can use the school, but if it's more practical to use the community house, you'd like to use it. It's best if we can use the Church. But in the small places it's about here, they hardly have chapel or church, maybe a prayer house. We have nothing against using the school. We also have nothing against using other premises. Then it must not be so difficult to arrange for company education that it becomes like “old days”, when I was young, when one had to be interned for three weeks in a neighboring town in order to complete the teaching.
ParlaMint-NO_2005-03-18-lower.ana.ud778e344	The cord shift is over.
ParlaMint-NO_2005-03-18-lower.ana.ud778e347	Through Ot.prp. No 30 The government proposes some changes to the church law, and Odelstinget will today mainly join the proposals. It is unanimous in extending the Oslo Council of Bishops to a representative of the deaf, and it is a varying majority of the various proposals for experimentation. Furthermore, there is a majority for a new wording of Section 36 on confirmation education in school time. In addition, the relationship between religious training and SFO is discussed, although the SFO is regulated by the Training Act and not by the Church Act. The confusion that has arisen over the interpretation of the majority position in this case following the Creeding Decision has made it necessary to obtain clarification. That's what we've got. The right considers it necessary to give the Norwegian Church the opportunity to carry out experimental activities in order to create a broad commitment and greater participation of the members of the Church in the business. We therefore support the proposals for trials on voting rights and lower voting age, second yearly elections and direct elections to the Council of Commons and the Council of Bishops. It must be stressed that the Church is given the opportunity to experiment with this. Experimental activities shall provide experience and, in the light of experience, it is necessary to evaluate whether these actions produce the desired effect. We do not draw any conclusions now, and I think it is surprising that some parties draw conclusions before the action is taken. The Workers’ Party ‘despites’ whether the second-year election scheme of half of the members of the Joint Council will give more continuity each year. SV “counts” that the termination of the selection of the Council of Bishops will be even lower than in the selection of the Council of Commons. I would like to admit that I am not convinced that all these measures will give the desired effect, but let's give the Church the opportunity to try. It must be possible to agree that there is a need for measures to increase the opening-up of church elections and to increase the involvement of the even churchgoers. Let's give these trials an opportunity, and then they need to be evaluated so that we can see the effect. A few comments to keep the council together with the decision making process: the experimentation that has been conducted with this has produced positive results, and there is nothing to prevent congregations that still want to do so from doing so. We note that this possibility exists to a great extent and sees no reason to vote in favour of the Labour Party's proposal on this point. The big discussion has been about the confirmation training. The starting point is the decision to raise the issue of the training of faith, in which the majority asked the Ministry to come back with proposals to amend § 36. The majority, including the Right, wanted to take out of school the confirmation training on the grounds that the confirmation training is part of the religious training and therefore should not take place in the school. It's the primary view, and it has to come out in the legal text. The right therefore supports the amendment proposed by the majority of the Committee in Section 36. At the same time, it is clear that exemptions should be granted in specific cases. This was also highlighted in the faith training debate. Norway is a diverse country, and we must not take decisions that prevent a sensible organisation where it is natural and desirable to do so in cooperation with the school. I don't think that's going to be the case in many places, and the committee majority says in their remarks that practice has to be tightened up in several places. As I see it, it is the decision that is now being taken, in line with the intentions of the faith training reform. Primary vision is included in the legal text, practice is to be tightened up. At the same time, when «special reasons warrant it» and the municipality gives its consent, a derogation is granted. From the Right, we are clear that through this decision, we stand firm on the intentions of the religious training position. So some comments about the SFO. The right was not in the majority who would exclude the religious training from the SFO. SV's minority comment can be understood to have been fully agreed on this. No, of course not. The right, along with the other government parties and the Center Party, stood for a different vision. And we're still going to do that. We believe that an offer from various congregations on religious training in the SFO will be entirely in line with the idea and intention behind the school leisure scheme. Since the SFO is regulated by the Training Act and not by the Church Act, we are not going to deal with that debate right now. From the Right, we find that there is still a majority in favour of shutting down religious training from the SFO. We regret that, but we are pleased with the clarification we have now received in interpreting the majority view. I have felt this discussion as something unreal and have simply not had the imagination to see that this could be interpreted so that it could be banned from faith training almost everywhere and in any form during the opening hours of the SFO. I am pleased that the majority of the majority have not interpreted it this way either, and that we have now had a reasonable delimitation in this area. Finally, I have to say that I find SV's attempt to regulate the leisure activities of communities and organisations around the country very wonderful and quite meaningless.
ParlaMint-NO_2005-03-18-lower.ana.ud778e365	It's going to be line change.
ParlaMint-NO_2005-03-18-lower.ana.ud778e368	In the proposition, the Government proposes to change the age of voting in church elections to 15 years. I guess it will also apply where there will be attempts at direct elections to the Bishops' Council. But the government sets the age of choice to 18 years. I would like to ask the representative Olsen: is this not contrary to other principles of Norwegian electoral law? The usual thing is that persons can be elected if they have the right to vote. How will the representative Olsen justify the fact that a person aged 15 is mature enough to decide, but not mature enough to be elected?
ParlaMint-NO_2005-03-18-lower.ana.ud778e373	I think the reason for this is relatively simple, and it's quite detailed in the proposition. It's true that 15 years is the church age of authority, and so it's a strong desire to get more young people into active work in the Church, even when it comes to deciding who should sit in the council. But then 18 years is the actual age of authority, and a council has certain legal obligations — one may, among other things. raise loans through the Joint Council — and it is therefore important to have a distinction here. One can participate and vote since one has reached the ecclesiastical age of authority, but one should not sit in the council and make decisions that one must be authoritative, i.e. 18 years, to do.
ParlaMint-NO_2005-03-18-lower.ana.ud778e378	This concerns confirmation training in school time. It is possible that it is the recognition that one has been in a strong red company, which has caused the Right Government Party to change its position quite significantly. From being for change and against mixing, the Right is now towards change and for mixing. What was referred to as an unfortunate mix of roles can now be accepted, so you can have confirmation education in school. Why this reverse operation? Can we get a clarification and an explanation of that?
ParlaMint-NO_2005-03-18-lower.ana.ud778e385	Let me first say that when it came to the company we were in when we dealt with the reform of faith training, we felt very well about it. I'm a little disappointed that we can't still be in that company, to put it right, and I think we should have been. I have to say again that I do not accept the representative Blackevik's premise for what he asks. We perceive it, as I said in my post, not that we have changed our position. We stick to the principles and intentions, and we stand by everything we said. But it's like in this society we're also going to be able to use our heads. We believe that we have done that here. We have been strong in that this is true in exceptional cases; we have been strong in that the practices that are in many places should be tightened up – but this is a diverse country, where everything should not be drawn from what must be a map of Oslo or Bergen. We live in a diverse country, and there are places where we need to see that the best solutions may not be able to be caught in a square code without the possibility of granting a derogation.
ParlaMint-NO_2005-03-18-lower.ana.ud778e397	I was a little surprised at Jan Olav Olsen's reason why they're now going in to give an opening, to have a little door on the slippery side of school and confirmation training. We cannot make a decision that prevents ‘a sensible organisation’, that was the concept he used. There is no one who opposes the Church’s organizing its religious training sensibly! It must be able to organize it exactly as it pleases, it has full freedom to organize its religious training – but that's not what we're talking about. What we're really going to talk about is whether belief training can still be added to the school, if you can use the school's time for belief training. That's where the principle is, that's where the difference goes. It's not about being for or against a reasonable training of faith and a sensible organization – it's what you need, dear friend, and we're going to do anything for it. But the point is that you shouldn't be allowed to use school time, that you shouldn't use school hours, because it's a mix of roles that the Church will primarily lose.
ParlaMint-NO_2005-03-18-lower.ana.ud778e402	I have to admit that I was a little afraid that the representative Requam would grasp that very wording and not hear what I said. I said it was about a sensible organization "where it's natural" to do it, in cooperation with the school. I want to make it clear once again that I think it will be the case extremely few places, it will be on a limited scale and it will be in special cases. I am absolutely sure that not least the Church itself will be interested in the least possible training at school, but in a few cases it may make sense for the Church to do so in cooperation with the school. We want it to be given an opportunity — in exceptional cases, with established practice, and when the municipality allows it. I feel that this is in line with what we said during the treatment of the reform of the faith, and that is in line with the intentions. I am very sorry that the SV cannot participate in the decision we are now making.
ParlaMint-NO_2005-03-18-lower.ana.ud778e409	The cord shift is over.
ParlaMint-NO_2005-03-18-lower.ana.ud778e412	In this respect, I would like to address both the proposal by the Progressive Party, the Socialist Left Party and the representative Simonsen, and the proposal by the Progressive Party and the representative Simonsen, as set out in the vote. The case concerns several changes to the Church Act. The proposal to include a representative from the Dioceses of Oslo Bispedal Council is also supported by the Progress Party. The Progress Party is also positive for continued and expanded experimentation in the Norwegian Church. It is entirely in line with our main view that all churches should be independent and have their own way of working, organization and ministry. Our view is that attempts can contribute to increased involvement and participation in the Church's activities, including in the Church's own choices. At the same time, let me remind you that the Advance Party still wants a distinction between church and state. We want to move forward in this work, and we are pleased that the upsurge in the population to separate church and state seems to be in clear progress, so that the majority of those who now have an opinion actually want such a distinction. The propulsion party does not wish to test for a discrepancy of voting age, up to 15 years. The Progress Party wishes to adhere to the general principle that the age of voting rights is 18 years. We therefore promote an aberrant proposal in the case of § 24 – without this attempt at age of voting up to 15 years. Just like when the Storting treated Innst. S. No 200 for 2002-2003, on baptism training in the Norwegian Church, the Progress Party wishes to change the Church Act in relation to the confirmation training in school time. Together with SV, we propose to amend the current provision of the Church Act in Section 36, and the proposal is short and good: ‘Confirmation training may not be added to the school time.’; Confirmation training is now part of the Church's faith training. In the view of the Advance Party, it is important that the school's education and the Church's religious training are not mixed. It's important for students, both those who follow firm training, and those who don't. It is important for religious training to make it clear to those participating that the training of faith is different from the teaching of the school. I quote from the editorial in the newspaper Our Country February 18th this year: ‘We therefore believe it is best for the church too if it becomes clear that the teaching of the firm – as other training of faith – is something the church stands for in its own right, and that no one experiences the church sneaking into school unwarrantedly. For this reason, you should find other premises than the school’s to hold the teaching. Although there may be some practical problems, it must be possible to do so. And this also means that company education must be done outside normal schooling." This is also accepted by the Progress Party. The case also deals with belief training in the school leisure system. Here, too, the Progress Party, regardless of what SV thinks, has the same view that the Advance Party expressed then Innst. S. No 200 for 2002–03 on baptismal training. I quote from the comment of the Advance Party on that matter: ‘These members reject... the use of time in school leisure arrangements for such training. However, these members open up the possibility for school premises to be used for such training after the end of the school day/working day.» The progress party has pointed to time in the school leisure system, and we have pointed to the school’s premises. We have not said, nor did we intend, by political decisions or legislation, to impose a ban on religious training for those students who leave the school's premises and the school's territory when the school day is over. If we haven't made it clear, we'll make it clear now. If those who have challenged us on this, have not been able to make it clear that they are talking about business outside of the school fences so to speak, we hope that we now contribute to a common understanding and a common clarification. We remind ourselves that the school leisure system is a voluntary scheme, and the use of this leisure time is governed by parents and guardians. Students who do not use the SFO and therefore leave the school area must of course be able to spend their time on other things, including participation in religious training. The Government Parties, the Workers' Party and the Advance Party have, through a common note, a necessary clarification on this relationship, and we are pleased with that clarification, in line with the Advance Party's constant efforts to express it.
ParlaMint-NO_2005-03-18-lower.ana.ud778e447	The representative of Sortevik has addressed the proposals he referred to. It's going to be line change.
