ParlaMint-NO_2005-02-03.ana.ud2653e48	The representative, Odd Roger Enoksen, will make a private proposal.
ParlaMint-NO_2005-02-03.ana.ud2653e224	The President understands what Øystein Djupedal means, but he likes very badly the terms 'idiot' and 'idiot'.
ParlaMint-NO_2005-02-03.ana.ud2653e227	It's an important theme the interpellanter addresses. We don't currently have a legal code that cleanly draws up the boundaries between legal networking on one side and unfortunate pyramid-like network hall on the other. In other words, an outdated legislation in this area has made it possible to practice a form of turbocapitalism that we in the Christian People's Party distance ourselves from. Our government took hold of this already in 2003. It's great, and it shows that the government saw the challenge and showed the ability and the will to act long before the scandals started rolling up. The Council of State has today confirmed that the Government considers it very important that international common rules be built in order to prevent the players in this unworthy game from finding free ports. I'm sure that the interpellant's main idea with the interpellation is to bring the pyramid-like network hall to life. That at the same time, he uses the power, as the representative of an opposition party, to try a couple of plots to the Government, is not so unnatural. I hope, however, that the main focus will be on enabling us to build a wall through a constructive interaction that prevents those who are cynical enough to do so from making themselves rich by tricking others. I'm in a hurry. The Christian People's Party sees it so that a law and regulation in this area must first show that this is an activity that we don't want. Secondly, there must be time-limits and efficiency in relation to the specific challenges, and thirdly, there must be international harmonisation to prevent the build-up of free ports at some point. The Christian People's Party will not sit quietly and watch someone make money by fooling others. We are therefore pleased that the Council of State confirms that it is busy with a good solution as quickly as possible. In Stortinget, the Christian People's Party will contribute constructively to an effective and emerging regulatory framework that clearly draws the boundary between the legal network hall and unfortunate pyramid-like species.
ParlaMint-NO_2005-02-03.ana.ud2653e242	I think it is positive that SV addresses the matter of unclear legislation in this area as well. The station party fully supports SV's requirements. I think it is alarming that the Council of State rejects all criticism, as she actually does. The scam is a fact, and it's not enough to ask people to take care of themselves. We need a better regulation, and I think the Storting agrees. Ordinary people should have good protection against being cheated as has happened in this case. Our executives must get good tools to intervene and to severely punish. However, it is not a good regulation. Capacity is needed for those who are required to check compliance with the rules. Ecocrim knew a lot about the T5PC at an early stage, but they reacted little. I think it's about lack of capacity. They have too many things in relation to the manning they have. All too often, it is the media that discovers a relationship and is speeding up research or work on new legislation. We have many examples in recent years of small shareholders and small creditors being cheated: Finance Credit, SponsorService, Aker Brygge Invest and Bach's loan pyramid are recent examples. For a long time, the Centre Party has called for the establishment of stock supervision to ensure better for small shareholders and small creditors against the financial elite and fraudsters, a stock supervision similar to that of Sweden, Denmark and the United States, which can be set up so that it can be a consumer protection institution. Such supervision shall include, inter alia: ensure that all actors are simultaneously provided with equal and true information in the establishment of an AS and in the case of capital extensions. Many of the fraudsters' gains in the matter we are talking about have just been taken out through empty AS or AS that have been emptied, using different techniques. Such stock supervision could reveal and give warnings about the T5PC fraud over a year ago. The credit supervision can today provide warnings against lucrative financial corporations, but not against other individual companies. Unfortunately, SV has not supported the initiative of the Centre Party in the matter of obtaining a share control. On the last occasion, a year ago, we received support only from the Advance Party and the Coastal Party. State Council Dørum promised in March 2003 that the Government would clarify its view of such a new consumer protection control body during 2003. It has not yet happened. But the centre party is going to follow up this case and hopes that the latest fraud cases can contribute to the majority and rapid establishment of such a new supervisory body.
ParlaMint-NO_2005-02-03.ana.ud2653e254	It's been a useful debate, I think, and we've been told some things about the process that's coming. I think there is reason to expect that there will be broad consensus in the Storting on this, and if the process in the European Parliament goes as we are suggested, it would be possible to put in place a better piece of legislation before the summer. It'll be positive, and it's positive that we can stand together about it. Then, like the representative of the Central Party, I register that the Government is still not willing to take self-criticism for the process that has been. We'll just have to take that with us. But I still want to state that there is a reason to go through the process that has been, that it would have been possible to make a stricter law, that it would have been an advantage to have it in place, and also that it is actually such that there are some significant differences between the laws of the Nordic countries. The Danish law goes beyond the Norwegian in terms of defining what a pyramid game is, while the Norwegian Lottery Act only states that pyramid games are prohibited, making it difficult to investigate, report and get convicted actors in these types of businesses. However, what the Council of State points to, and, of course, is that no matter how good legislation you have, it is difficult to stop this type of activity, which is adaptable. In this sense, it is undoubtedly an advantage to have legislation that will apply in many countries and that gives us reason to hope that it will be possible to bring this type of activity to life more fully in the years to come. Then, of course, a new law also needs to be followed up with resources to enforce this legislation and to go further on the research side in identifying this type of activity, which many claim are, at least, extensive in Norway today. It will be necessary to strengthen both the competence and the resource situation of the bodies to enforce this. It will be important for the Storting to have the opportunity to also discuss it and to strengthen it, in parallel with the adoption of a stricter law.
ParlaMint-NO_2005-02-03.ana.ud2653e265	I would like to thank the inter-pellant and the others who have spoken in this debate. It has been a useful debate, and it is useful to keep the debate alive, so that we also keep the people awake with regard to the issues. I'd like to remind you that in the department we have a guide job when it's banned in lotterilova, but the department doesn't have to decide what's legal and what's not legal. It's the police and prosecution authority that's supposed to do it. That's one of the reasons we've asked the Lottery Authority to report more, so we can try this out. Then one refers to Denmark. Denmark has a slightly different law, but with the ban as we have in Norway. In practice, Denmark still faces exactly the same challenges as we do. The challenges ahead are going to be big, even with a new law, because there is a balance sheet here. When we know that some of these companies have spent millions of dollars getting lawyers or lawyers to find formulations that keep them within the law, we see that even if we get a new piece of legislation and implement the EU law, there will be no Sunday school here in Norway. We need to have a watchful look at this, and we need to inspire people to stay away from it, and do everything we can to prevent it. At least I'll promise the interpellant that I'll keep a high pressure, and we'll do what we can to get this implemented as soon as possible. I think that if we had done something before, we wouldn't have had that traveler a will. We also saw that when we were in contact with the Nordic countries, that we needed more time on this, and we needed a common European law, also because very many of these companies operate not only in Norway, but internationally. Since I was a little strict, or maybe angry, towards the interpellant to start with, I would like to end by thanking you for your interest. I hope we can have a good cooperation in order to get the best possible law here in Norway.
ParlaMint-NO_2005-02-03.ana.ud2653e278	Then it ended well at last! The interpellation debate is therefore over.
ParlaMint-NO_2005-02-03.ana.ud2653e293	No one has asked for the floor. [[Fotation, see page 1492]]
ParlaMint-NO_2005-02-03.ana.ud2653e308	During the previous examination of the notification of appointments, the Committee called for information on the evolution of the number of applicants, gender and age groups and the background of applicants. It is good to know that this time the message contains such information. However, it is less satisfactory that far more men are still appointed than women in senior positions in the country. In the period from 1 July 2003 to 30 June 2004, we have actually experienced a decline compared to the previous year, from 31 pst. until 26 pst. women. The increase in the number of female applicants during the same period may be an indicator that female applicants are not given priority in recruitment. Still, there's no way it's completely black. A number of departments show willingness to ensure gender balance. The Ministry of Economic Affairs and Trade, the Ministry of Environment and the Ministry of Children and Family Affairs have, for example: during the last five-year period, more women than men have been appointed, while eight others have nearly the same number from each sex. But there's still black sheep. The Ministry of Defence is in a special class in terms of female deficit, and does not seem to have taken the signals from the Stortinget inwards. The Committee shall share one point. The majority of the Committee, which is the Workers’ Party and the SV, indicate that gender balance is an important objective, both in the private and public sectors, and calls for the Government’s willingness to use the right of appointment to achieve this important objective. The other members of the Committee have their own specific comments, which I assume they will explain. We in the Workers' Party are concerned that gender inequalities in appointment should also be balanced. We will actively contribute to the fact that when we return to the government offices - not if, but when we return to the government offices - we will work more actively with this. Otherwise, an overall committee comments on all those who do not want their names published in the candidate lists and assumes that this issue will be given special consideration in the context of the work of a new public law.
ParlaMint-NO_2005-02-03.ana.ud2653e321	As the rapporteur has just explained, there are two points on which the Committee has been particularly concerned or has comments. It is for the first time the proportion of women in senior positions in the country, and it is this with publicity about the candidate lists of positions. From our point of view, it is alarming that far more men are still appointed than women in senior positions in the state. As the rapporteur explained, in fact, the proportion of women has fallen in the period we have now seen - despite the fact that there were more women applicants in 2003-2004 than in the past. We know that women in Norway have both a right-hand participation and a right-hand level of education than in most other countries. So it wasn't supposed to be a lack of qualifications, it was supposed to be a belief. We often hear that the explanation is that women do not apply for leadership positions. It does not make sense when we see that there are now more applicants for leadership jobs than there have been in the past among women. The government simply has an explanation problem when you know that the goal is 40 pst. women in senior management positions by 2006. I see that it is not the Minister of Modernisation sitting here, but I will nevertheless challenge the Council of State to defend the Government here, to look at how this goal is to be achieved. Is the Council satisfied with the patience signalled by the government parties in the Committee? The work on equality must be done at the right of the Government. It becomes too puzzled if one settles for one to go in the right direction, for that is what the representative Ola T. Lånke said in an interpellation debate last year: ‘The Member States are, whether they will or not, an exhibition window for the rest of society, including in relation to equality. Therefore, it has a special responsibility for providing leadership positions to women and minority groups. The State must go ahead and show its way.’ Just this quote from Ola T. Loan made me look at the minority place in the office. Therefore, my request is that the next time you return with a notice of appointment, you should also be informed about how things are going in that area. The second theme covered by the Committee is the publication of candidate lists. When the Stortinge dealt with the public disclosure law in the previous period, the majority of the population, all except SV and Left, gave the administration the right to exclude information about applicants if requested by the applicants. The Civil Ombudsman claims that, based on the information available to him, the administrative authorities operate the provisions in a more public-restrictive manner than appears to be the opinion of the legislator. It has to be cleaned up. The SV's view has been that candidate lists in addition cases should be public, both in the interests of equality and in order to achieve the attainment of qualified women by the addition of managerial posts, but also in order to avoid additions on a political basis or other non-transparent basis. There's no reason to believe that the "gut club okay" culture doesn't exist, at least a vandal of it - in the state. Therefore, we believe that it should be a leading commodity attitude. There shall be full publicity around the candidate lists in addition cases. This was our opinion when the Public Relations Act was discussed, and it is an attitude that we will take with us when the new Public Relations Act comes up in Stortinget.
ParlaMint-NO_2005-02-03.ana.ud2653e341	I am pleased that the rapporteur initially said that this message reflects in a better way the whole of the appointment, gender balance and other issues related to the appointment of office than previous messages. We're going to take note of that, and then we're going to try to help keep that trend going on. There is no doubt that the Government has a great deal of pressure on this with a better gender balance in terms of both appointments to executive positions and appointments to directors and selections. This pressure that the Government has is not only a pressure against the parts of government and the appointments for which the Government as such has a responsibility, but against the whole of society. It is a matter of private enterprise governance, and it is a matter of enterprises in which the State has a significant holding and a high degree of influence. At the same time, we must recognise that we have not come far enough to achieve gender balance in leadership positions in the overall society. Also in political assemblies, of which we are part, we see that we have a way to go. From the Government's side, you're holding onto the ambition of 40 pst. by appointment. The government as such maintains that ambition, and each state council in its respective departments has pressed pressure. I represent a sector in my department that has been perceived in many ways as, and that is, man-dominated, but we see that when the will is present to put a pressure, it is possible to find qualified women - of course! But it has something to do with attitudes, and it has something to do with culture. Therefore, it is so important that both magnification and government keep this tab high. I feel like we do that, while we get to be humble because we have a way to go. That is why I am satisfied with the position and I can see that in this way there is no difference between the ambitions and the objectives of the Government and the Stortinget.
