ParlaMint-NO_2004-02-10.ana.ud2319e45	The representative Knut Storberget, who has been on leave, has once again taken his seat.
ParlaMint-NO_2004-02-10.ana.ud2319e153	If the representative Sandberg in the draft action plan believes to recognise the Labour Party's policy, I am pleased. It's also meant to be. Several of the measures included in the action plan are proposals addressed by the Workers' Party in different areas, which are of particular importance in relation to the very largest cities. This is not least the housing policy, where the Workers' Party wants a much more active involvement than the Government and the majority of the Stortinge. There are clear political lines of division. On Friday, the Government put forward a proposal for housing policy which seeks to step down support for the construction of youth rental housing, while the Workers' Party wants to strengthen it. We want a more active integration policy, a more active language training policy for immigrants. We note that the Government has stepped down its efforts in this area, both in the last year's budget and in the year's budget. So yes, the Labour Party is recognizable, and important elements of the Labour Party's policy will help to strengthen the big cities and meet the challenges there in a better way. This action plan will contribute to this.
ParlaMint-NO_2004-02-10.ana.ud2319e162	Karl Eirik Schjøtt-Pedersen has been the finance minister of a former government, and he knows very well that it is actually not hallelujarop from the pulpit of the Stortinge that counts when it comes to distinguishing the policies of the various parties, but what the various parties grant in their budgets. Then it is no use for the Workers' Party representative to stand here on the pulpit and say that the party has a completely different and offensive housing policy than that of the Government, when in the alternative state budget of the Workers' Party there is no more one krone for the construction of rental homes, not one krone for the construction of several low-income housing units, not one additional krone for the construction and repair of the lift and the standard of living in the existing housing stock. Then I prefer honest Right-State councils who say that they want to invest less in housing policy, rather than workers' party people who say they want to invest more in housing policy, but who actually don't put up with the money.
ParlaMint-NO_2004-02-10.ana.ud2319e167	In the context of the 2003 budget, the Labour Party had proposals to strengthen rental dwellings, in relation to the development of low-deposit housing, the strengthening of housing support and the strengthening of housing subsidies for the improvement of dwellings. We also proposed a significant strengthening of the Husbank's lending framework, which is, of course, absolutely fundamental in order to build this type of housing. In the 2004 budget, we prioritised a strengthening of the Husbank loan framework of DKK 2.5 billion compared to the level proposed by the Government, and we added an increase in the ceiling for housing support for families with children of 120 million. kr. It is true that we prioritised housing support for families with children in this year's budget. That, I believe, was an entirely correct priority when we faced the cut government here made in relation to what we had managed to achieve for 2003. So there can be different assessments of realism in different areas. I note that the Workers' Party has been the architect behind the housing policy we have had in Norway, which has been relatively successful, and that we still intend to be a driver for further development of it.
ParlaMint-NO_2004-02-10.ana.ud2319e177	The cord shift is over.
ParlaMint-NO_2004-02-10.ana.ud2319e180	It is not everyday food that Stortinget focuses on the opportunities and challenges of big cities. The government deserves praise for wanting to design a policy for the large part of the country's population living in metropolitan and urban regions. It is a strength that the government’s city announcement has been developed in cooperation and dialogue with the country’s largest cities. The response from these cities is also positive. The government is praised for wanting to develop a metropolitan policy and for drawing a broad picture of Norwegian cities and metropolitan regions. The role of big cities in a global perspective is also a theme. The Communication highlights that it is of national interest to develop a policy for the metropolitan and metropolitan regions. Similarly, there is an intention in the Communication to ensure the balance between parts of the country and regions in relation to population growth and welfare development. Major cities are assigned the role of motors in regional development. The Storting Communication draws up perspectives for a long-term urban policy and invites dialogue on the long-term perspectives. In the light of this dialogue, the Government will draw up more concrete proposals. In fact, the working party has been critical all along and has had infections against the big city message. The party requires more active action, according to Karl Eirik Schjøtt-Pedersen. Former City Council of the Workers' Party in Oslo, Kaare Sandegren, said in the Newspaper on 30 January: ‘The government has little regard to the importance of major cities for the overall national function and for the country as a whole.’ Both parts are equally wrong. The party's claim for action refers to the lack of detailed management of the municipalities, and Kaare Sandegren's claim falls on its own unfairness. The notification is precisely based on the fact that major cities are very important for the development of the different parts of the country. Although it hurts for the opposition to admit it, it's actually the first time it's been promoted a big-city message that takes up big-city policy in its full breadth. The message is a good follow-up to the Sem Declaration's promise of an active and positive metropolitan policy. There is no contrast between good urban conditions and high-growth regions; on the contrary, regions are also dependent on functioning cities and regional centres. The right attaches great importance to the accuracy of the notification of good cooperation between major cities and regions. Major cities play a central role in our goal of further developing high-growth regions in all parts of the country, precisely to ensure balanced development. Everyone should have the freedom to live where they want. It is of great importance that cities can give their inhabitants the opportunity to have a good life. It requires attractive, functional and environmentally friendly cities. We welcome the focus of the Communication on better coordination of state policies towards the metropolitan area. The notification follows the principles of the Government’s modernisation work. Priority should be given to resource use by municipalities themselves. They have the primary responsibility for their own development and their own future. We see that the municipalities, depending on their size, will be able to perform different tasks. Large municipalities or municipalities in intermunicipal cooperation will have better prerequisites for taking on more tasks than the small municipalities have. For the right, it is important to stress that tasks should be handled as closely as possible to users. There is little doubt that the big cities are able to handle several tasks on their own and that cities can thus be given greater overall responsibility for the service provision. We wholeheartedly support the efforts to decentralise increased responsibilities and powers in the municipal sector, so that municipalities can design their services themselves in relation to local challenges. According to the report, big cities should have more room for action. On the right, cities want to provide better opportunities and greater responsibilities through increased framework funding, reduced detailing and municipal task differentiation. This is a continuous and cross-departments work that will contribute to experience on how to further develop the division of tasks and to assess the further responsibilities of municipalities in terms of better provision of services for citizens. The efforts undertaken by the Government and described in the urban announcement are exciting and will help improve the provision of services to the population. Big cities have a number of challenges, but they also have skills and opportunities to solve them. Increased responsibility for urban authorities in individual areas could therefore contribute to the development of the service provision, in particular for the weakest people. In the right, we are now closely following the tests that have been carried out in relation to different forms of municipal task differentiation. This concerns child protection in Trondheim and Drammen, family protection in Oslo, cultural memories in Bergen, Kristiansand, Stavanger and Tromsø, and SATS in Tromsø and Stavanger, just to mention something. It is useful to gain experience through trials, in particular because of the differentiation of tasks, including: by assigning functions other than those of smaller cities to the largest cities, it also affects the functions of the different counties. These are clearly issues that will be discussed on a broader basis in relation to the question of the division of tasks between administrative levels. In this regard, I would just like to remind you of the warning of the evaluation of the new county municipality, where we will certainly come back to a broad structural debate. The government wants better coordination of state policies and will establish a new system for better coordination of state policies in the metropolitan regions. As a municipal politician for many years, I can sign that there are many conflict areas and obstacle factors in the interaction between the state and the municipality. It is good that the Ministry of Local and Regional Affairs is now responsible for the coordination of state policies towards the major cities and that the Ministry is given responsibility for finding solutions to conflicts related to the financial framework conditions for the planning and implementation of urban development projects. However, it must be mentioned that conflicts relating to land and location issues continue to be resolved through the planning system. We also support the continued Forum on Urban Development as a forum for discussion on framework conditions and principles for urban development and the further development of this Urban Development Forum and other arrangements for dialogue between the cities and the state. We also support the Government's proposal to develop a model of overall state governance towards the metropolitan areas and point out that the order proposed in the metropolitan notification does not replace this planning system but ensures that adopted plans can be implemented. The concern of the Progress Party and the accusation of the county municipality as a supremacy are groundless. The county does not have over-municipal authority. This was an important premiss in St.meld. No 19 for 2001–02, on the division of tasks, just so it’s said. All parties agree that state authorities must ensure that major cities have the capacity to carry out their tasks and to achieve the objectives they themselves have set for the development of the region. There is no disagreement in the Committee that sufficient financial resources are essential for the task of the metropolitan municipalities as well as other municipalities. For this reason, the Government proposed in the 2004 State Budget the strongest growth in the municipal economy for several years, particularly in the free revenues. The municipal sector was further welcomed in the budgetary agreement between the government parties and the Workers' Party. In addition, increased use of framework funding over earmarked government appropriations will help to increase the freedom of metropolitan and other municipalities to prioritise funds for different purposes. It's amazing that some parties – and I have the Center Party in particular – cannot see that the action rooms of the municipalities are more than just crowns. Not everything is economics. The space for action is also important to dispose of the money that is actually available. In the 2004 municipal proposal, the Government presented an overall plan to reduce detail management through the designation of funds, but the opposition parties went against many of the proposals in the plan. Unlike the opposition, we focus on following up in practical policy the belief in the self-value of the municipality as a locally and democratically elected joint body. Unfortunately, despite the fact that many parties may feel that the freedom of action of the municipality is very important, there is still the desire of the different opposition parties for central standards, state price schemes and the designation of funds. I hope that in the future we will be able to get more than a party speaker and allow the local level, the municipalities, to gain greater self-confidence.
ParlaMint-NO_2004-02-10.ana.ud2319e221	It's going to be line change.
ParlaMint-NO_2004-02-10.ana.ud2319e224	The Right option says that they will bring great local freedom, but will still have a holistic control over the big cities. How does Right mean this is related to the local economy where a burden with an accumulated deficit of 12 billion dollars is involved? Is it not the case that the local economy should be consistent with the tasks to be resolved? Otherwise I find that the message is almost entirely free from mention of the region from which the representative Holmberg comes, namely the border area. Doesn't the representative Holmberg think that this region is also struggling with the same challenges that big cities have? The Storing Message does not respond to the challenges in our opinion. That is why the Labour Party lacks an action plan for a holistic urban policy. Does the representative Holmberg think that this message gives good enough answers in its full width, which she herself referred here from the pulpit, or does this just get confused with a lot of fine words?
ParlaMint-NO_2004-02-10.ana.ud2319e233	This line could be used for a whole new article. Right wants great local freedom. Our policy includes concrete proposals that provide opportunities for increased action spaces for municipalities. This also applies to the economy, and I would like to remind you that in the last two years the budgets have proposed strong growth in the local economy, as opposed to previous governments. As far as my own area, Grenland, is concerned, it is clear that as a metropolitan area consisting of different municipalities, Grenland has the same challenges as these six cities that are now defined as major cities. We also say that in the message. Clearly, the area I come from, Grenland, will have to take the discussion seriously in the future. Like many other areas in this country, you should consider whether to be small individually or whether to develop into larger units.
ParlaMint-NO_2004-02-10.ana.ud2319e242	In his statement, the representative Holmberg from the Right said that they fully support the decentralised power and responsibility of the municipalities. She further said that the concerns of the Progress Party about the county council as a supranational body are groundless. Now, in the Progress Party, we are critical that the County Municipality is assigned what we call a supra-municipal authority in planning and land matters. We have already recorded that there have been several conflicts in relation to and between county plans and municipal regulation decisions in land matters. Thus, in times when the government is advocating and will strengthen municipal autonomy, one in the Right is satisfied with the role of the county council as a kind of supranational body in linking it to physical land disposal – that it actually happens and has happened. I've even seen a lot of examples of that. That is why I am somewhat surprised at the representative Holmberg presented here from the pulpit in that context.
ParlaMint-NO_2004-02-10.ana.ud2319e249	I mentioned in my speech that as a municipal politician for fourteen years, like the representative Torbjørn Andersen, I have seen a number of examples of obstacles and conflict areas in the planning work and in the interaction between the different levels of government. But we are now dealing with a big message that is about to give the course further ahead, and here the government is going into a model where, in vulnerable areas, a dialogue is going to take place, where the departments, with the Ministry of Local and Regional Affairs as the principal, are going to be the last instance in those areas where there is no local consensus. It is a last authority to solve any problems. With regard to the county council, which I know the Progress Party is very concerned about, I point out that we are going to have an evaluation of it, and then there is plenty of opportunity to come back to this.
ParlaMint-NO_2004-02-10.ana.ud2319e256	There is no contradiction between a good urban policy and a good rural policy, but there is a sharp contrast between a good policy of distribution and the unsocial fiscal policy of the Right. It has entered the municipal economy and is directly involved in the welfare provision of those who have the most difficulty. You can see that in this city, and you can see that in every other city, because that's where the social differences are greater. So my question to the Right goes on: Why are the Right so frenetic opponents of giving cities and Norwegian municipalities the opportunity to operate a certain distribution policy by being able to have a freer taxpayer? Then you could take care of some of your own problems on your own. In Oslo, for example, there is the richest of the country and the poorest of the country, and we have a municipality that is seriously struggling with its municipal budgets. Why does the Right believe that neither the local politicians nor the citizens of Oslo are competent enough to make such a decision?
ParlaMint-NO_2004-02-10.ana.ud2319e263	In labour-party-driven Grenland, property taxes, high taxes, maximum income have been in all areas throughout the year. I think that if we introduce freer taxpayers into the municipalities, we'll see that you put on the maximum there as well. I do not want it to be a guideline. SV has totally misunderstood economic policy. SV spends the money before the money is obtained. Economic policy must be based on a society that provides a good framework for business, and then, in fact, taxation is an essential element. Lower taxes, lower taxes, better interest rates and the crown price we now have will be stimulating to business. It will increase the momentum and give our country the foundation we need in economic policy, and then we can distribute it afterwards.
ParlaMint-NO_2004-02-10.ana.ud2319e268	The cord shift is over.
ParlaMint-NO_2004-02-10.ana.ud2319e271	The debate about the big city announcement must necessarily be a little low on blood, and that is because, as I also stated in a previous row today, it bears the mark of being a message and nothing else. I see the message as a more or less selective collection of facts about Norwegian cities and relationships related to these cities. There are a few points that crystallize as the government's goal, and we look at some, these are once again vague and unpoliticized. The vague intention of the message to give major cities more power and an expanded role in terms of service production is, of course, a positive view of the Progress Party. The big cities and municipalities, for the rest, should gain more power, but the Progress Party therefore points out that this should be done at the expense of the county municipalities and bureaucrats. Otherwise, I have to say that the attitude itself is very much like a rehearsal exercise – if I am allowed to say so – in relation to the last years' municipal propositions and district policy statements. There's nothing here that crystallizes itself in relation to what you want with the big cities, and not at all what you want with the capital. The progress party is also modest in this respect in the setting. But we are very pleased that the Committee unanimously agrees with the proposal of the Progress Party that we should have our own capital message. Then one might say that one might push decisions and decisions in that way, and I agree that to a large extent, but if we had taken that job in relation to this big city announcement, I'm afraid that in relation to district policy and regional policy, the capital had actually become a loser. Therefore, I hope that the Council of State and the Government now, when we ask for a separate capital message, concentrate on the challenges of the capital and on the capital as an engine in relation to the area as well. The only thing in this Communication that you can address and try to get a debate out of is that the Government proposes to establish a separate coordination system to deal with issues where there is a disagreement between the State and the major cities, in particular with regard to the financial framework conditions for planning and development. After all, the government writes that the scheme should have its ideal function. «where there are approved plans for development but where changes in state priorities or insufficient participation prevent the implementation of the project».The scheme shall be complementary and shall not entail any expenditure for the State. This sees the Progress Party as a further state governance towards urban policy and nothing else. If you look at what is in the setting on page 11 and in the letter sent by the Council of State to the Workers' Party on 23 January 2004, it clearly gives the impression that the Government wants stronger governance towards the major cities, and then to a large extent towards the capital. Now it was also said by the representative Holmberg earlier today that this should be the last instance. But what's being added here is that all the big cities are now going to be allowed to try within the framework set up by the state, until it comes to the decision of the bureaucrats. So there's no political decision in the end about what's best for the big cities or the capital. That's what I'm sorry for, and that's what I think is sad. It must have been much better to go before the proposals of the Progress Party, where an attempt is made to change the working methods of the Ministry of Local and Regional Affairs so that the Ministry is given an increased role as a service organisation vis-à-vis the big cities and municipalities, instead of adding to a practice where all municipalities and big cities are now going to try everything to satisfy their own inhabitants, but where one must finally go up to the department for the decision of a bureaucrat. I will end by promoting the proposals of the Progress Party in the vote.
ParlaMint-NO_2004-02-10.ana.ud2319e292	The representative Per Sandberg has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_2004-02-10.ana.ud2319e297	In big cities, there are major challenges to solving problems for immigrants. I would particularly like to mention three areas: providing proper language training, obtaining income-generating work and giving people a chance to find housing. The Progress Party shows a lack of willingness to take active action to help disadvantaged groups to find work and find housing in which they can afford to live, and to bring about much-needed integration. My question to the representative Sandberg must therefore be: why does the Advance Party not show active willingness to take action to help disadvantaged groups in the big cities?
ParlaMint-NO_2004-02-10.ana.ud2319e304	I thought I might open the reply loop saying that I do not understand the question. Obviously, when the Workers' Party takes the angle that they're doing here, it's going to be completely wrong. The Progress Party has put forward a whole range of proposals on large resources to remedy the situation in major cities, especially for the weaker groups. For more than 20 years, the Progress Party has been working for compulsory language training, community training and labour training for immigrants in Norway. The Labour Party has consistently voted against until April 2002. Coming back later and saying that the Progress Party lacks the willingness to give priority to language teaching and integration for immigrants becomes completely meaningless. But I'll give praise to the Workers' Party. That it took them 20 years to figure out what the Progress Party proposed, we can say is sad, but it's never too late to turn around. I also hope that, in future, the Labour Party will see that a number of other proposals that the Progress Party has to give priority to the weakest are also sensible.
ParlaMint-NO_2004-02-10.ana.ud2319e311	The Progress Party has just made a proposal asking the Government to draw up a model to transform the working methods of the Ministry of Local and Regional Affairs so that the Ministry is given an increased role as a service organisation for the municipalities. Then there are some questions to the representative Per Sandberg: what does that mean? Is it about providing extra service to the big cities, since the proposal has been taken up in connection with this matter? Or is this meant to compensate for the role played by the Municipal Council? Or does the Progress Party here consider a kind of group model, where the state stands for the core business and the municipalities are the branches that will get some service from the group management?
ParlaMint-NO_2004-02-10.ana.ud2319e318	We in the Progress Party have never concealed that we want more government responsibility in relation to the financing of the primary tasks. But in particular, with the greater willingness of the department to provide services to the big cities, and also to the rest of the municipality of Norway, it is a response to what the government wants in terms of coordination. We look at what the government is proposing here, more like a conflict council. If the major cities and municipalities disagree on state policy and do not manage to adapt to state policy, the ministry, that is, a bureaucrat, will ultimately decide. We see that as a conflict council. We would rather have strengthened coordination and dialogue with the big cities and municipalities by the department, instead of the bureaucracy in the department ultimately deciding what big cities had to do to satisfy their inhabitants.
ParlaMint-NO_2004-02-10.ana.ud2319e325	Since Per Sandberg does not understand the question when it comes from the Workers' Party, I may be able to eat it a little bit so that he understands it now. It's about people with a minority background. The progress party says that the most important thing we can do is to make sure that everyone learns Norwegian. The Progress Party also says that people with a minority background who come to Norway must pay for their Norwegian training themselves. I don't know, I, but usually the Progress Party wants market forces to prevail. And usually we say that the more expensive something is to do, the fewer is what's going to do it. Then I ask, if you want to make sure that everyone learns Norwegian, that you see it as an important challenge, does the Progress Party believe that there are more or less people who get the opportunity to learn Norwegian, if, first of all, they do not receive Norwegian training on asylum recipients – as the Progress Party secured with the Government – and, second, do not get paid for Norwegian training in the big cities?
ParlaMint-NO_2004-02-10.ana.ud2319e332	That's absolutely correct. The progress party does not have the same intentions as SV in relation to providing Norwegian education to all those who had to come to this country. There we put some constraints. It cannot be the case that the State is responsible for the teaching of Norwegian by all those who come to this country. There must be some constraints. The state cannot be responsible for the fact that people who have lived here for 20 and 30 years are teaching Norwegian. If you have not had the ability and initiative to learn a little Norwegian yourself, it makes no sense for the state to go in with millions of dollars to teach these people Norwegian. The Progress Party has been quite clear on one point: New arrivals who have been accommodated will immediately be through a compulsory programme. It has been fighting since 1982, and now it has been implemented. From 1 August this year, this will be carried out in line with what we wanted. With regard to the matters currently under consideration in the Committee, other groups, the Party of Progress has not drawn any conclusions.
ParlaMint-NO_2004-02-10.ana.ud2319e343	The cord shift is over.
ParlaMint-NO_2004-02-10.ana.ud2319e346	In my opinion, the big city message is a manifesto of how disastrously wrong it is to have a Right-dominated government to lead the fight to make everyone feel better in the big cities, primarily because there is no concrete plan to solve the biggest challenge, namely to provide good and safe housing for everyone at a price to live with, and then because the big city message does not have ambitions for a fairer distribution between rich and poor communities in the big city. It's within the big city we find the greatest differences between the rich and the poor, and this development has only shot speed in the last few years, especially after the new Bondevik government came to power. Within Oslo, where we find the greatest differences between the rich and the poor, it is that in the district where the richest people live, in Oslo 7, the city of West Aker, which has grown in the last three years to a total of 50 p.m., while in the district where the average people earn at least, namely on Grorud, they have had lower average income, they have had a decrease in income of 3.2 p.m. Then my question is: if you don't have ambitions to do anything about the huge increase in differences, how in the world are we going to be able to create a big city where it's possible for people to live together, and where everyone is going to be able to contribute to common prosperity and well-being? The main reason for the increase in differences is the tax on dividends. The government is otherwise very careful to say that all the money that comes from the state should be targeted at people who need it the most. But in the case of dividends, it is quite clear that the Government has a completely different policy, namely that the greatest tax burden should be targeted at those who need it the least, namely those who already have the most. This is a fundamentally unfair policy that I have never stopped to surprise myself that the Christian People's Party can participate in. The main reason why the Government will not address the main challenges is that of the Sem Declaration, the basic dogma that the growth of government expenditure is to be lower than the growth of mainland gross domestic product. To put it plainly, public consumption and welfare systems – the money we spend at school, on poverty reduction, on getting people a proper care for the elderly, on getting people a safe place to live – are to make up a smaller and smaller share of the economy, and private consumption is to make up a larger share. You want more mobile phones with polyphonic ring sounds, bigger cars and galloping housing prices, but less money for well-being and less money for people who need it the most. Housing is the very foundation. The Municipal Committee has been talking to most other major cities directly during hearings and otherwise, and also Right-Handed cities say that the main measure that can be taken to make sure that there is something to do with the differences in cities and do something for the people who need it the most is an offensive effort to build more rental homes, an offensive effort to provide money for both urban renewal and more rental homes. Then it's funny that when the government of Erna Solberg now presents a housing report – as she did last Friday – she spends all of her efforts to spend less money on housing measures and abolish the last funds available both for urban renewal and to provide people with living standards on their homes, while cutting the transfers that go to the construction of several rental homes. So she speaks to them in her own party who would presumptuously know what the big city problems were, in the middle of it. How to get a good urban policy in that way is completely impossible for me to understand. The main argument for this is that building rental homes is forcing people into a poverty trap. But I'm going to say what is forcing people into a trap of poverty. First of all, it's to make sure that not enough houses are built, so that the housing prices increase, as they have recently done, as well as that you don't have enough rentals so that people can actually get a proper, cheap rental home. Then you're trapped in a poverty trap, because there's nowhere to deal with. An example of this was seen in the evening edition of the Evening Post yesterday. It said about a guy with a minority background who had been on 130 different views but had not been accommodated. Then I say that if you leave the entire housing policy to the market, we will not be able to get him a dwelling in the future either. You have to make sure that either OBOS, the other housing units or the municipality have rental properties that it is possible to give to people who need it. SV will invest 600 million in its alternative state budget. kr on a large-scale investment in dwellings, a large-scale improvement in the housing support, i.e. the construction of several rental dwellings. In addition, we want a more offensive policy for balancing the differences between people through a more fair tax system, where those who have the most money are also the ones who pay the most in taxes, and not the ones who pay the least, when they milk companies for dividends. The major challenge, however, is that if we are to do something to enable big cities to meet their own challenges, they will need more money in public budgets. With SV's scheme, for example, Oslo Municipality had an extra DKK 1 billion to spend on different measures, both to improve living conditions for people, to bet on better integration and to give more people a better offer. We would have done that with SV's policy, and it would be to have a real big city policy. Together with the Workers' Party and the Center Party, SV has said that what should be done in this big city announcement was to be specific about what we wanted to be concrete about what ambitions we should have for the big cities. It would be to bet on an active cultural life, to bet on building more cheap homes, to do more to improve integration, both by providing better language training, providing more, better and cheaper childcare facilities, because we have reports that what gives people the best language training, which is the most effective for the best integration possible, is to give all kids a kindergarten space, to give all kids an opportunity to be a place where they can play to learn the language in a good way. It's also, of course, by doing the things that we're concerned about in everybody's life, namely getting work for everyone, getting housing for everyone. In these areas of society there are people with a minority background who feel the greatest skewer. In addition, there is no doubt that a major challenge for big cities is to get something done about public transport. It is then paradoxical that while the smallest trunk and the smallest section of the route play a role in the national transport plan, for example, Oslo’s public transport is seen as a city task and does not have a central place in the transport plan. What is good is that through the treatment of the metropolitan notification, as also the Oslo City Council and the various parties in the City Council wanted, we have come to the conclusion that we should develop our own plan for the metropolitan area. It is a unanimous committee that has come to the conclusion that a separate capital message should be drawn up. The different parties have different ambitions about what's going on, but we think it's important to see how we can solve the common challenges in the field of transport and in the development of a common residential area in the Oslo region, how to create good governance structures for this, how to properly manage the Nordmark. We believe it is important to set in motion a plan to solve the challenges in the Grorud Valley. It should also be considered whether Oslo can have more tasks as a big city. Finally, I would like to address the proposals that we are dealing with with the Central Party in this setting.
