ParlaMint-NO_2004-04-02.ana.ud1842e51	The representative of Ingvild Vaggen Malvik will make a private proposal.
ParlaMint-NO_2004-04-02.ana.ud1842e222	Sometimes it may be difficult to fully grasp what the Workers' Party wants in its education policy, even in this case with the Loan Fund. On the one hand, it is noted that the government is adding up to a choice of the ‘core loan box’ as a model. But is that what the Labour Party wants? Are you really going to end up with this election, or are you just saying that that's what's going to be the future model? On the other hand, there is this dissensus on which the Workers' Party is involved, together with the Socialist Left Party, in the case of comments on the first line service. If the interests and needs of users are better served by the provision of information and the provision of first-line services, is it not better to be involved in such a solution than to doubt that the Loan Fund should do absolutely all the tasks of its own in the future, as one might get the impression after listening to the representative of the Workers' Party?
ParlaMint-NO_2004-04-02.ana.ud1842e229	Now I don't think one needs to add up to the required divisions that are not there, because in most of the contexts, the Labour Party and the government parties agree on the content of the setting that we have in front of us today. In the case of the Core Loan Fund, we have said that we are not so concerned with cleaning models. We have said that the most important thing for us is that the changes that are taking place can actually document improvements, can provide better services for users and can be the most effective for the business as a whole. We therefore take note of the fact that the Government has taken into account the Core Loan Fund. We have also taken that as a starting point, but we have reserved the right to review the individual changes. With regard to the first line service, it is our opinion that here it seems that the most important thing is simply to buy or to postpone some services that we believe today can be done best by the competence of the loan fund in both first and second line service.
ParlaMint-NO_2004-04-02.ana.ud1842e238	Several have not asked for the word for a line.
ParlaMint-NO_2004-04-02.ana.ud1842e241	Equal rights to education are at the heart of Norwegian education policy. In this context, the State Lending Fund for Education has played an important and crucial role. Several actors contribute to the achievement of the objectives of the Loan Fund. Not least, it is the Storting itself, which adopts general framework conditions and guidelines specifically related to the financial scale and level of training aid. This also applies to the Ministry of Education and Research as the executive and governing body, the Loan Fund itself, with its organisation, its administration and its departments, and to all the universities, which contribute greatly to the practical implementation of the tasks, in particular related to information and practical assistance and guidance for students and students. Now the goal is to open a more user-oriented and efficient loan fund. The background is the technological development that makes renewal of the ICT systems of the Loan Fund urgent, but more importantly, the demands and expectations of users may be of increasing quality and service in relation to the service production of the Loan Fund. The future loan fund must take over the changes that occur in society. This applies both to the possibilities of increased service and efficiency resulting from technological developments and to the increased requirements and expectations of users of the Loan Fund as a service body and service provider. With this in mind, it is high time that the measures proposed in the Communication were focused and implemented. In the future loan fund, information and availability will be key instruments for meeting users’ needs and expectations. It now provides flexible solutions and systems in which customers, users, should be able to choose freely on the top shelf among the communication tools used in modern societies, letters, e-mails, SMS, telephones, faxes, or whatever else is on the market. Similarly, using new technology, the Loan Fund will add up to daily service for several functions. Several private banks have recently put in place electronic processing systems for curative and standardised services. This will now also be implemented in the Loan Fund, including the possibility of using electronic signatures and day-to-day access to own customer information. Such significant automation and simplification of several key functions in the Loan Fund will necessarily mean the release of resources that can be deployed for more stringent procedural procedures, while other efficiency gains can be taken into account for the benefit of users. Shorter processing time, shorter waiting time and faster payment are some of the benefits. In implementing the measures outlined in the Communication, it is also foreseen that the Loan Fund will concentrate more on core tasks, application procedures, regulatory and financial management. Other functions and support activities shall be capable of being entrusted to others, who have a better understanding of how to perform such tasks. The background to this is constantly the desire for quality and efficiency of services. Higher level of service and shorter processing time are the clues for the whole conversion. The Committee has carefully discussed the choice of the future model for the organisation and operation of the Loan Fund. The Communication outlines three different future models. From the Right, we support the choice of the so-called Core Loan Box. This shall be approved by the majority of the Committee. It's this model as per. currently has the greatest impact on the costs, benefits and risks to the individual user. Both quality and efficiency can be increased when the Loan Fund is given the opportunity to concentrate more on core tasks. The Core Loan Fund also provides the possibility to entrust the production of several support functions to external actors. This is unfavorable, provided better quality and more efficient service production. From the Right, we have also noticed that a stronger distinction between authoritative and user-oriented functions will be further assessed by the Government when it has gained some more experience with a new ICT system and with the modernisation of the Loan Fund for the rest of the business. The entire Committee agrees with the Government’s conclusion that today’s location will not change, but that further work will be carried out with a view to strengthening specialisation and division of tasks between the Regional Offices of the Bank of Loan. This can be an important organisational step to increase efficiency and service levels, while maintaining the regional function and location of the Loan Fund. Through the new and increased quality requirements that are the basis for the future management of study support, I think we will achieve a significant degree of improvement in the area of information, flexibility, efficiency and security for the individual user. The effectiveness of the Loan Fund is a necessary measure to achieve even better service and better user-correction of services for all users of the Loan Fund.
ParlaMint-NO_2004-04-02.ana.ud1842e264	The loan fund is one of the carriers of the welfare community. The establishment of the Loan Fund was necessary to achieve higher education for largely excluded sections of the population. Getting funding schemes for living in higher education was perhaps the most important educational policy instrument in the fight to democratise our education system. The Loan Fund has also been important to ensure access for young people, especially from outlying and economically poor environments, to upper secondary education and vocational training in the first place. Despite economic cohesion, compared with the situation at the time the Loan Fund was established, it is still necessary as a means of ensuring the recruitment of higher education from all social groups of the population. For SV, it is therefore an important political issue to call about the Loan Fund as its own government management activity. We are pleased that there is a broad political consensus to maintain the Loan Fund broadly as it is today. Compared to the signals that came from some of the government parties earlier, to leave large parts to private banks, the solution that is now being proposed is a good model. So the loan fund continues as a government agency. I see the debate on the «Total Loan Fund» and the «Core Loan Fund» as being of the most theoretical interest. Also today, the Loan Bank acquires services; 25 pst. the budget is used to purchase services from suppliers outside their own organisation. I understand that the Government believes that today's Loan Fund, if you want to place it within the relevant models, will be defined as the «Total Loan Fund», i.e. where a buyer buys 25 pst. by external services. What is important is that the Loan Fund should continue as an administrative body, where the main tasks – I am still saying – are to be rules management, financial management and application procedures. In one area, the government parties and the minority, consisting of the Workers' Party, SV and the Center Party, have slightly different comments – I choose to use that wording, because I'm a little uncertain about whether there are big differences in reality. We say something about what must be part of the process chain if we are to ensure a consistent and probably effective procedure. We say something about the liability of the loan fund from the first enquiry. Similarly, we are trying to draw up the boundaries at the other end of the process chain, between what must be the responsibility of the Loan Fund and what must be with the Debt Collection Centre. But as I said, I feel reasonably confident that there isn't much of a difference between the government parties and the minority in reality. I am also pleased that there is a broad political consensus that we should maintain the location with a headquarters in Oslo and with district offices, and that the staff should be maintained around these district offices. It's an important and proper signal to give, which is a broad political consensus. What's new in this message, and there's also a broad consensus, is that we need to invest 250 million. kr in a new ICT system – that’s really what the message is when it comes to the piece. It is absolutely necessary to make the Loan Fund better and more efficient. New procedures, development of better online services, etc., require a new ICT system. Experience with this type of investment is not entirely positive for the state, and therefore two things are important: those who need to manage the system and know the needs need to have a central role in the development of the new ICT system. In other words, the Loan Fund itself must be at the heart of its work, and we must also have strong economic governance and effective control to ensure that the framework, set at 250 million. kr, must be complied with.
ParlaMint-NO_2004-04-02.ana.ud1842e284	Very well has already been said in the debate. The Christian People's Party is part of the Committee's majority, and we support the Government's proposal to modernise the Loan Fund. The Core Loan Fund is the option that well describes the task of the Loan Fund, which manages the rules for student support and as a service enterprise to the nearly 700000 users. Once the Christian People's Party has worked on this matter, the main concern has been to provide users with the best possible services and to maintain contact with users of the Loan Fund. We believe that user contact is important, because this gives users a knowledge of their needs, and because this contact gives the best opportunity for guidance to users. In our opinion, the projected modernisation ensures this in a good way. What amazes me in the setting is the Advance Party line. The lot is one-sidedly absorbed by efficiency. In its argument for the ‘Sustained Loan Fund’ and the banking option, the emphasis is only on efficiency. Here, the importance of user contact is forgotten in order to have a well-functioning regulation and good service. The Christian People's Party wants that user contact. For reasons of efficiency, the Progress Party also wants a debate on the branch offices around the country. The progress party will centralize. With modern technology, however, regional solutions are fully feasible. Here I think the old-fashioned social economy and business economy characterize the position of the Progress Party. The Christian People's Party wants to keep the branch offices in the regions. With the exception of the Progress Party, there is a broad political consensus on the Core Loan Fund as a strategy for modernisation. The loan fund has an important task in terms of giving equal rights to education for all. And if we are to be able to serve 700,000 customers, the loan fund must also be good on the ICT side. It is right to base contact and communication with customers and users on online solutions. It is therefore necessary to make new investments, and the Christian People's Party believes that we are now getting a good and controlled investment in a new ICT system. The Government Parties and the Workers' Party, the Socialist Left Party and the Centre Party have come together. The small nuance in view here, is mostly due to a little different emphasis on the consideration of the users, and I will also venture that claim: the consideration of the employees. The Christian People's Party also suggests that employees should be treated in line with contract work and laws. At the same time, the bank's reason and task is to manage the rules for student support and provide services to users. This suggests that users’ considerations must be of the highest importance. Finally, the Christian People's Party believes that modernisation must not lead to the loss of rights and social arrangements for the students. Such changes are assumed to be submitted to the Storting.
ParlaMint-NO_2004-04-02.ana.ud1842e301	In the opinion of the Centre Party, the State Loan Fund for Education is one of the most important educational policy instruments we have. Reasonable loans in addition to grants are necessary to ensure that those qualified for higher education can choose higher education. A target for more people to choose higher education requires a good framework for students. The cancellation message we are dealing with today is about how the loan fund can serve well those who are applying for loans and scholarships, and those who are in the repayment phase. In fact, we are talking about long-term customer relationships in relation to the Loan Fund. It's about five to six years of study, and maybe 20 years of payback. Modernisation of the Loan Fund must aim at achieving major improvements in the areas of information and availability, efficiency and flexibility as well as security. The Loan Fund shall continue to be a body under the Ministry of Education and Research. The modernisation strategy does not imply changes in the content of the legislation and training aid remains a State responsibility. It is an objective that more people should choose higher education. This implies that several will also become users of the Loan Fund and that the demand for public education support will increase. It is important, therefore, that the loan fund be modernised, among other things. through a simpler regulatory framework. The Solberg Committee points out that the regulation on the activities of the Loan Fund has become so extensive that the need to find simplifications and improvements has become urgent. The centre party would stress the need for a simpler regulatory framework. At the same time, we would like to stress that such modernisation and simplification must not entail the loss of rights or social arrangements contained in current training aid and regulations. The substantive implications of rights and social arrangements require the submission of the entire Committee to the Stortinget. The Storting Message defines the core activities of the Loan Fund as regular management, application processing and financial management. In order to ensure good treatment for users, it is important, in the opinion of the Centre Party, that the Loan Fund is responsible for the entire process chain. In the view of the Centre Party, the first line service must be understood as part of the application procedure and legislative procedure. We therefore believe that strengthening the first-line service and counselling must take place within today’s responsibility for solving the problem. The Central Party supports the Ministry's plan for a new ICT system and the financial plan outlined in the notification, with 100 million. DKK over the annual budgets, 40 million. kr annually through efficiency improvement and 30 million. kr over the operating budget of the Bank of Loan. The centre party is also pleased that there is an agreement that no changes should be made to the regional offices. It's important to the students throughout the country.
ParlaMint-NO_2004-04-02.ana.ud1842e318	First of all, I would like to thank the broad support committee for the main model and proposals made in the communication and for the profound comments made in this debate. The Loan Fund is one of our important social institutions, and it is – it is important to say – very good work in the Loan Fund today. However, after reviewing and improving in recent years many of the fund’s support schemes in the field of higher education, higher education — in and on an adult basis — it is now time, in a high time, to improve the education support management system itself. It is proposed to follow the principles outlined in the Communication. The reason why we now want and believe that it is necessary to modernise the Loan Fund is at least three-thirds. Firstly, the legitimacy of the public production of welfare goods depends entirely on the fulfilment of the expectations of users for quality and service by the State as a service provider. Secondly, it seems to me that, from time to time, activities that are neither funded by results nor exposed to competition should be reviewed to assess whether the societal tasks of the activities are well managed. Thirdly, the ICT system of the Loan Fund is out of date. The government wants to renew this system in order to reduce the risk of collapse, which will be extremely regrettable, because it includes a lot of customers. At the same time, the government wants to facilitate a modernisation that in turn facilitates higher quality in the future. We're ambitious in the quality objectives we've set for the new loan fund. Keywords include: that all applications can be submitted electronically, that the processing time should be substantially reduced, that communication with the Loan Fund should take place via an optional channel – whether by letter, Internet, e-mail, SMS or telephone – and that there should be increased possibilities for self-service, as customers are accustomed to in their regular online banks. The question that has been discussed is how to get it done. The Government has proposed the Core Loan Fund. The underlying reasoning is that the pure cultivation of the core tasks of an enterprise provides greater opportunities for the activities to specialise and enhance their own competences, which may provide efficiency gains and better services to users. Support functions shall, in accordance with this model, as a general rule be entrusted to external actors, as long as such outsourcing will result in these activities being carried out with an equivalent or higher quality and overall efficiency of the activity. The Core Loan Fund as a modernisation strategy could, in my view, provide the Loan Fund with important incentives for change and facilitate a clearer distinction between the two important roles of the Loan Fund, which are, on the one hand, directorate and, on the other hand, service enterprises. The Government will transfer tasks and annual work from the Loan Fund to the central government collection centre in Mo i Rana by the end of 2005, including: in the context of the reasoning that clean-up of core tasks gives greater scope for specialisation and efficiency – this is because we want to exploit synergies internally in the country, and because we want to take advantage of the special expertise available in the central government collection centre. The loan fund is proposed to continue as a directorate and management body of the Ministry of Education and Research. It is also proposed to continue the scheme with its own board of directors and complainants for the Loan Fund, and the equalisation of ANSA with the other student and student organisations in respect of representation in these forums. Annual reductions related to ICT renewal have been estimated at about 50 years of work. This will be carried out by natural take-off during the renewal period and will be realised in such a way that the net reduction is taken out at the headquarters of Oslo and not at the five district offices. This will result in further reductions in the number of annual works in the Loan Fund, but conversion and downsizing resulting from this modernisation process will, of course, be done according to the applicable statutory and contractual works. The government will spend about 250 million dollars. kr to renew the ICT systems in the Loan Box, inter alia. by granting an additional allocation of approximately 100 million. kr that will be proposed for the 2005-2007 budget. The government will return to the Storting with a final cost framework for modernisation work. Finally, the government wants to achieve higher quality through the modernisation strategy we have put forward. It will meet the expectations of a growing user group while ensuring more efficient use of national resources. In my view, it will also provide a timely and effective Loan Fund and thus help maintain the legitimacy of a publicly funded study funding system.
ParlaMint-NO_2004-04-02.ana.ud1842e348	It's going to be line change.
ParlaMint-NO_2004-04-02.ana.ud1842e351	I would recommend the Council of State to read the setting a little more closely than I realized she had done now. In relation to the further purchase or outsourcing of services not covered by the primary tasks, the majority of the Committee has said that better quality should be demonstrated — and overall more effective for the activities. Now the Council of State repeated what is stated in the notice that one should also do what was ‘equivalent’ to quality. Then there's no point in buying or putting out, except for ideology. I just stress that the committee has been clear on this point and has tightened something in relation to what was in the communication. This applies to the transfer of regulatory management to SI. Isn't it a little strange if one first believes that one of the primary tasks of the Loan Fund is regulatory management, that one then transfers it to other agencies, if any?
ParlaMint-NO_2004-04-02.ana.ud1842e358	The central government debt collection centre today requires defaulted student loans in two ways. They have a creditor function on behalf of the Loan Fund. If the default has been for less than three years, the case shall be transferred to SI, so that SI shall assist the Borrowing Fund with a periodic penalty payment. As the case is still owned by the Loan Fund, and the amount collected is to be transferred to the Loan Fund. The rules of the Loan Fund are in force and are due to rights under the Education Aid Act, even if the loan has been defaulted. But then there's another kind of thing. There are permanently transferred cases when the loan is strongly defaulted over three years. The claim is then transferred to the central government collection centre on a permanent basis and has been cancelled by the bank. In relation to SI's own cases, SI currently manages legislation concerning these customers. But I would like to make it clear that it is not necessarily worse for the customers, because then customers can be in a situation where it is a very beneficial thing to be connected to such a professional appliance, which also has contact with others who are in charge. We are currently working on finding an appropriate interface for task transfers from the Loan Class to SI, but at some point the SI legislation will also have to apply, rather than the original owner of the claim.
ParlaMint-NO_2004-04-02.ana.ud1842e367	A very short line. The obsolete ICT system mentioned by the State Council in its statement has cost 164 million. kr in the last few years. A new ICT system is estimated to cost approx. 250 million. kr – i.e. That in less than ten years we're using at the base of 500 million. kr for the maintenance, implementation and new development of systems. We have not been told what it will cost to keep this outdated system running as we develop and implement a new system. And I want to ask the government, do you have any numbers on this?
ParlaMint-NO_2004-04-02.ana.ud1842e376	I am most concerned that a decision has finally been made that this ICT system should be renewed. I actually sat in the board for a few years ago, and this problem has actually been too long. The most important thing is not what it costs now to drive this to daily. It's actually impressive what work the Loan Fund has done to keep this ICT system going. But there's a significant risk that it just breaks down. Then it can have very serious consequences for a large number of users. We're talking about a customer group of about 700,000. I do not exclude that if I had entered the offices earlier than I did, this work would also have been done earlier, because it is high time. We're basically hoping that the loan fund can be equally capable of keeping the old system running until replacement, because it's in itself demanding. It really deserves praise from the employees of the Loan Fund for their care.
ParlaMint-NO_2004-04-02.ana.ud1842e385	Several have not asked for the word for a line. Several have not asked for the floor on case No. 3rd@item: inlistbox [[Fotation, see page 2457]]
ParlaMint-NO_2004-04-02.ana.ud1842e394	Before we start on case no. 4, the President will draw attention to the fact that the matter being dealt with here has not been beyond the regulatory time, i.e. 48 hours. On the basis of Section 32 of the Rules of Procedure, the President will propose that the Stortinget should nevertheless deal with this matter now.
ParlaMint-NO_2004-04-02.ana.ud1842e398	The Committee had initially looked up the matter on 27 April, but after the President's summons, the matter was pushed forward in time and thus presented yesterday and will be dealt with urgently today. This is a matter of $66 billion, with a lot of different angles that should have been better elaborated, but that we don't now have time for. SV would therefore like this matter to be postponed until 27 April.
ParlaMint-NO_2004-04-02.ana.ud1842e405	The President will state his firmness at the decision taken in consultation with the majority of the Committee. We must therefore vote against the President's proposals.
ParlaMint-NO_2004-04-02.ana.ud1842e411	So the size has come to issue no. 4 and the President has proposed, on the basis of Section 32 of the Rules of Procedure, that case no. 4 is treated even if it has not been out in the 48 hours of regulation. This proposal for a procedure was met by the representative of Hallgeir H. Langeland, who wanted the 48-hour period to be maintained and the case to be referred to a later meeting. So we're going to have to vote over the treatment.
ParlaMint-NO_2004-04-02.ana.ud1842e453	At the request of the Energy and Environment Committee, the President will propose that speaking time be limited to 5 minutes to each group and 5 minutes to the Council of State. Furthermore, the President will propose that five lines of response be given to comments by members of the Government within the allocated speaking time. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – This is deemed to be adopted.
