ParlaMint-NO_2004-04-28.ana.ud2420e28	The representative of Åsa Elvik will make a private proposal.
ParlaMint-NO_2004-04-28.ana.ud2420e178	After all, the aim of any tax reform must be to correct weaknesses in the tax system. We disagree on how big the deficits are, but getting a tight tax hole that makes the richest get away with little or no taxes is one of the purposes. One of the things that the government is now proposing, and that the opposition has been doing for a long time, is reintroducing dividend taxes. Fortunately, the Government proposes it, even though it has said in the past that it is totally out of date, that it is a totally unacceptable double taxation. Now Foss says that it actually contributes to some of the best distribution in the entire proposal. But is it necessary to compensate for those who have the most already, by finally introducing dividend tax, as it is done, because it is those with the highest tax that gets the most relief?
ParlaMint-NO_2004-04-28.ana.ud2420e185	Neither has the representative Morten Lund taken the point. If we're going to remove the divisional model, which I also realized Morten Lund is a strong opponent of, we have to do something about the difference between the tax rates. Otherwise, a major division problem remains, leading to social injustice. Then you have to do something about it. I do not think that the term ‘disadvantages in the tax system’ is very striking in the analysis that Morten Lund has otherwise had by the tax system, namely that when the majority of the income is paid by men, the majority of the taxes are also paid by men, and therefore the majority of the tax reliefs on men also fall. I think that is a very special analysis. The wealth tax could have been analysed using the same method. You would have found out that there is a very similar tax, because there is a co-tax between spouses or partners. In this way, it is distributed equally to the sexes. But some interesting tax policy analysis is not.
ParlaMint-NO_2004-04-28.ana.ud2420e194	Let's move on to the next main question.
ParlaMint-NO_2004-04-28.ana.ud2420e197	I also have a question for the Minister of Finance. Through the national transport plan and in the newspaper of the last few days, we have been able to read that the government will build 28 new toll stations, and at the latest today that there is a proposal for a completely new road tax. I am aware that this is the Minister of Transport's area, but what is the Minister of Finance's area is all the other car charges, and we hear very little about that from the Government. So now they're talking about building so many new toll stations that we might have to spend NOK 13 billion more on tolls in the next few years, while at the same time the state is charging almost NOK 35 billion from the drivers for one-off, annual, re-registration, petrol, diesel, etc. But here the government is not talking about the need to make changes so that there is consistency between what the drivers pay for, and what they get in relation to increased road construction. Does the Minister for Finance consider it reasonable for these new toll charges to come to the top of the existing charging system, as it is now?
ParlaMint-NO_2004-04-28.ana.ud2420e208	At least I see no reason why the annual car tax should be reduced, for example, because you want to provide a road project by using charges locally – or perhaps several places. I can't see any relationship between the two relationships. I record that there is some local resistance to using bombs. But I also record that in the Progress Party, at least in the West, it has spread a certain degree of pragmatism. The rapporteur, Mr Søviknes, says that in the choice between waiting or accelerating a project, it might be better to bet on some degree of user payment. I think the drivers will accept it when they see the projects coming – and come forward earlier in line than they would otherwise. Otherwise, the total road and car charges are also involved in paying things other than road costs. As is well known, sufficient traffic and motorism lead to social costs other than road construction and maintenance.
ParlaMint-NO_2004-04-28.ana.ud2420e213	The frustration around the districts is due to the fact that the state does not provide enough money for road construction and that, in the absence of roads, desperate efforts are being made to look for other solutions, even if tolls are involved. The Progress Party is against the creation of new toll stations, because we believe that the state is charging more than enough already in the form of different car-related charges. But according to what the finance minister now says, I can only see that the government thinks it is entirely right that we should keep the other car charges as they are. Then the government de facto acknowledges that these are purely fiscal charges that are levied from one group in society to spend the money for a number of other purposes. You just have to take note of that. But that is not what the Minister of Finance said in the debate after debate while he himself was a magnificant and repeatedly suggested to reduce various car-related charges, because they were considered unreasonable. So I'm going to register that right over here has done a gigantic reverse operation.
ParlaMint-NO_2004-04-28.ana.ud2420e220	This gives me the opportunity to recall what former member of the board of directors of FrP Torgeir Höien said, that every time one manages to increase a cost, one reduces the possibilities for tax relief. There are certain contexts in the policy that mean you can't say yes, both of them, all the time. I think this is something you should bear in mind, and I have recorded in particular that the Progress Party in the budgetary negotiations where you have been close to the Government has given priority in many ways. Then it seems to me that a priority has not been given to reducing car charges, but it has been reduced in other important areas, not least to get a budget that hangs together. Otherwise, there is not a correct representation by the representative of my post, when she says that car charges are levied to use the money in other areas. It's not a proper representation of what I said.
ParlaMint-NO_2004-04-28.ana.ud2420e228	There will be follow-up questions – Gjermund Hageseter.
ParlaMint-NO_2004-04-28.ana.ud2420e231	Bombards appear all over the country, and they also apply to the West. Only to transport a wagon train from Trondheim to Stavanger via Ålesund and Bergen must one out with approx. 5 500 kroner each way at ferry and toll costs. If you want to return to Trondheim, your return costs the same amount. Then there is a cost of NOK 11000 for ferry and toll, and these costs are in addition to the costs of wages, high car charges and high fuel charges. My question to the Minister of Finance is: Is not the Minister of Finance concerned about the competitive growth of such high extra costs in Norwegian business?
ParlaMint-NO_2004-04-28.ana.ud2420e238	Well, I'm concerned about the entire cost level throughout Norwegian business, and as the representative's question indicated, there are other factors than just tolls that count in the overall cost level. It is important to keep cost levels at a competitive level, even in relation to other countries. It is then to reduce transport costs an important part of it. That is what you do, among other things. by building new roads, which enable transport to emerge, in similar ways as they do in our neighbouring country. It has something to do with the weight and size of cars, and of course it has something to do with transportation time, which goes back to compensation of employees. So it's like building roads a contribution to getting costs down in the long term. When you use the term "toll stations" to show up, it's probably not that simple. It is then assumed that they have local support, including from the politicians of the Progress Party, who can sometimes see that a temporary payment of a fee can be worth the price in order to get a better standard on the roads.
ParlaMint-NO_2004-04-28.ana.ud2420e245	Let's move on to the next main question.
ParlaMint-NO_2004-04-28.ana.ud2420e248	It is necessary to ask a little more about the so-called tax reform – which is not a tax reform, but a tax package for those who have the most – because there are so many uncertainties in this. So you can definitely determine which entry point you want for top taxes, but you can't say what deductions you want to remove. It is estimated that a deduction of between 5 and 6 billion kroner should be removed, without saying anything about what deductions it is. Yesterday it was found that the Minister of Finance would not insist that the trade union deduction was one of those that was considered to be removed. Let me then ask about another deduction that very many common nordics enjoy, namely the deduction for the elderly and the disabled. 18 360 kroner may be deducted by most older people over 70 years of age, and by most older people over 67 years of age, in some distribution fractions. This subtraction suggests that the Skage Committee be removed. I would like to challenge the Minister of Finance quite specifically, since he can be specific about the tax relief to those who have the most: can he now assure the Stortinget and the Norwegian people that the special deduction for the elderly and the disabled should not be moved forward in the treatment?
ParlaMint-NO_2004-04-28.ana.ud2420e255	Once again, when a matter lies in Stortinget, it is perhaps I who should ask what the representative himself thinks. Does the representative believe that all deductions should be retained, or does the representative see the possibility of any deductions from the tax system being changed, removed or converted into a grant scheme? Since there's one question left, there's probably an opportunity to answer it. I can say that the deduction for the elderly and the disabled I don't see it as topical to remove, because it will involve a bias in the taxation of pensioners who, if you just remove it, are not defendable. Otherwise, it is wrong that the entry point for top taxes is locked. The representative has not read his document. It is the tax rate on the top tax that has to be linked to the tax rate on dividends taken for private consumption. It's something other than the point of entry.
ParlaMint-NO_2004-04-28.ana.ud2420e262	I'm recording that the Council of State doesn't think it's pleasant to be confronted with these things. What has been presented to the Stortinget is correct for the Stortinget to be dealt with, and it is the Stortinget to take decisions. But it's the government that's put part of the premise that Stortinget actually has to deal with. 12 billion dollars in tax relief, which is essentially going to hit those who have the most, is the government's starting point. Then you're going to take $6 billion off, you're going to deduct the union allowance, you're going to deduct the elderly and you're going to pay off, and you're going to take a lot of other deductions that the average man and woman actually have. You don't say anything about this. But you have a big bag post, a big unknown bag post, and it's not without reason that very many elderly, very many disabled and very many who have trade union deductions, are concerned about what the government really thinks. Then they come naturally enough to the Storting, and it is clear that the Storting should make wise decisions, I get hope, about this. My challenge is: what does the Minister of Finance think, who has actually presented this to the Stortinget? My answer to this is quite clear: the Minister of Finance has intended to remove the old-age and disability allowance and turn it into another deduction, which is less accurate for the elderly. If not, he would have said to the Stortinget that yes, we should continue this deduction. I think the Minister of Finance has a big explanation problem with the country's pensioners on this issue.
ParlaMint-NO_2004-04-28.ana.ud2420e271	The representative, Djupedal, has an explanation problem here and now. How he can read in my mind what he has just said is a mystery to me. It doesn't look like any of what I've been thinking, to say it like that – nor about taxes. The imagination is quite great when it comes to giving us opinions, but I record that the representative Djupedal has no idea of a matter that lies in Stortinget. I am waiting with excitement for what SV will propose of increased, reduced or removed deductions. We have said that we will come back to this in each budget in the future, to finance an overall tax package in a social way that gives tax relief to all income groups.
ParlaMint-NO_2004-04-28.ana.ud2420e276	There will be four follow-up questions – first Audun Bjørlo Lysbakken.
ParlaMint-NO_2004-04-28.ana.ud2420e279	It is indeed going to be a strange tax reform when all the issues that are unpleasant to the Minister of Finance are to be postponed to a later date. Then we no longer have a tax reform, but some selected flags for the Right, to deal with in the Stortinget. We are in the situation that the Minister of Finance one day challenges some deductions and the other day says he's going to make peace with someone, as he just said. It must be appropriate if we are to move forward in this debate, that the Minister of Finance is clear about what deductions are to be discussed and what deductions are to be saved. If there are any deductions that the Minister of Finance wants to make peace, I think he should do it now. If we don't have to assume that all the deductions that are not specifically mentioned in what is up to the discussion can fall.
ParlaMint-NO_2004-04-28.ana.ud2420e286	I can confirm that the representative Bjørlo Lysbakken is free to discuss absolutely all deductions. The representative Bjørlo Lysbakken and his party are also free to believe what you want about absolutely all the deductions that have been added. Moreover, the procedure is quite parallel to that followed by the Workers' Party in the treatment of the tax reform in 1990-92: first a communication on the principles of tax reform and, secondly, a concreteisation of the different rates, deductions, etc. in a separate proposal in relation to the State budget. Similarly, we're going to move forward now.
ParlaMint-NO_2004-04-28.ana.ud2420e292	Siv Jensen – for follow-up questions.
ParlaMint-NO_2004-04-28.ana.ud2420e295	I have a feeling that the Minister of Finance's thoughts about the tax reform will remain a mystery to the Stortinget. The Financial Committee is now in the process of communicating significantly in writing with the Ministry of Finance on many of the weaknesses, shortcomings and gaps in the tax reform that the Government does not respond to. The answers given to our questions by the Council of State to the Finance Committee are nothing more than that the Government will return to them at the appropriate time. It doesn't make it easier for the Storting to deal with this so-called tax reform to the Government, if the Government doesn't want to explain to the Storting what it really wants, where it really is, and how much relief it's actually going to give to the different parts, both in terms of people's taxes and food taxes. At least that does not make it easier for the Financial Committee to come up with a good solution and a broad consensus, unless the Government knows where to put this tax reform.
ParlaMint-NO_2004-04-28.ana.ud2420e300	There is a lot of evidence that all representatives in this room have come to understand what the government will do, after the attacks on tax reform, because you can't attack anything you don't know what is. My impression is that the Workers' Party and, to some extent, the Advance Party have also attacked some of the principles of tax reform, and these are the principles that have now been invited to discuss. Otherwise, I have read all the answers the Ministry of Finance has given. My impression is not that the pages of the answers and tables are unanswered, but we answer what is asked for. Sometimes you add e.g. the calculation of the incidence tables, i.e. efficiency tables for different tax groups, and asks for one or the other tax increase or reduction, and then receives answers. The problem is that every now and then this is also reflected as the Ministry of Finance's opinion. You get answers as you ask, and that's not necessarily the Ministry of Finance's answer, because we say that tax rates and deductions, and the amount of them, are set out in each budget in the years to come. The first round is the 2005 budget.
ParlaMint-NO_2004-04-28.ana.ud2420e307	Jens Stoltenberg – for follow-up questions.
ParlaMint-NO_2004-04-28.ana.ud2420e310	Firstly, it can be discussed whether it is appropriate to apply the concept of tax reform to what has now been presented by the Government, because there are relatively small system changes, while there are many of the major tax reliefs. They are numerically fixed, and the Government boasts of all the tax rates to be reduced and all those to be reduced. What is not numerically fixed is where this money is to be taken from, who is to pay, who is to get less. But you're referring to a long list, which sums up a total of about NOK 6 billion, which is the amount the government thinks should be collected into increased taxes from a number of people, such as commuting deductions, trade union deductions and increased taxes on housing apartments when they are traded. Then it is understandable that many in the Greatness think it is nice. You're very good at quantifying all the good things, but you refuse to quantify the funding, the negatives, in the proposal for changes to the tax system. That's why you ask questions. We have a government that is very concrete in some areas, but refuses to be concrete in the more problematic and difficult areas.
ParlaMint-NO_2004-04-28.ana.ud2420e318	We are absolutely as concrete as the Workers' Party when a communication on tax reform was presented in its time. The working party was not concrete until they made the proposal on tax reform at the beginning of the 1990s. Moreover, I have to say that a tax reform that eliminates taxes on wealth, introduces taxes on dividends collected for private consumption, but protects dividends invested in industry and which eliminates the tax on housing, must be said to be a quite comprehensive reform, taking into account that it also eliminates the sharing model, a model the Workers' Party has repeatedly attacked, but now it is clearly the strongest defender of. It is no wonder that one can be confused when comparing the Labour Party's policies from the 1990s on the tax side to the 2000s, where there are partly entirely conflicting arguments.
ParlaMint-NO_2004-04-28.ana.ud2420e325	Yes, there are many relationships that are suitable to contribute to some confusion. The biggest confusion is how a minority government has intended to implement a tax settlement in the spring, starting with the government's representatives now occupying the parties on the Stortinget. It is said, and it is true, that the Ministry of Finance gives all the calculations to be made, and then one outside says that none of the calculations must be taken too seriously, because the Government has not made the final proposals with regard to the 5-6 billion DKK that affect very many of us in relation to deductions and other proposals. So it's a fuzzy tax report, with no concrete proposals of between 5 and 6 billion dollars, and a government that instead of inviting the Storting to attack the front, as the Minister of Finance does today. The question is then quite simply, when no better answers are given than today: how does this minority government intend to make an impact on our tax reform? How have they intended to achieve it, and with whom, in such a material matter, with the tone being given today?
ParlaMint-NO_2004-04-28.ana.ud2420e332	If you look at the Central Party's policy – I can't really talk about other parties when I'm asked by the Center Party – the Center Party has been an opponent of the sharing model. The centre batch has been the subject of a dividend tax that does not work negatively in relation to business. This dividend tax does not. It works positively by the fact that it's a bottom-up deduction, one might call it, for moderate dividends, and there are exemptions from dividends invested in the same company's sector. It should be in line with what the Senterpartiet has previously meant in tax and industrial policy. In this way we've come a little bit on the way, even though I'm recording that there won't be a majority of it. But I also record that other parties have been strong followers of a system that removes the split model and that steps down and gradually removes the property tax. So we should be pretty far on the way. Otherwise, it is not the case that any of the answers sent to the Centre Party or to other parties from the Ministry of Finance are provided with the supplement that they should not be taken seriously. They are equipped with a supplement that these calculations are carried out on the basis of the question they have received, and that is something else.
ParlaMint-NO_2004-04-28.ana.ud2420e339	Let's move on to the next main question.
ParlaMint-NO_2004-04-28.ana.ud2420e342	Through several questions about the tax proposals promoted by the Government, we must at least be able to say to the Minister of Finance that he is consistent. He is consistent in the sense that he does not answer the Storting to the questions asked about the back of the medal, as far as the Government's proposals are concerned. In my opinion, the Government is thus inviting the Storting to adopt tax changes almost blindly. We therefore need to adopt important changes in the tax system without having an overview of the consequences, who is being affected, and in what way. But my question goes to a comment that the Minister of Finance had in a previous answer. He pointed to Torgeir Höien. I understood that the Minister of Finance agreed with what he was quoting from Höien, that every time the Storting increases a cost, the possibilities of reducing the tax are reduced. Then it is tempting to ask: What does the Minister of Finance really mean? He has earlier here today claimed that doing the opposite, i.e. reducing the tax, does not at all weaken the ability of the single fund to ensure enough for expenditure on pensions, health and school.
ParlaMint-NO_2004-04-28.ana.ud2420e349	I think you have to look at the difference between the impact on one year's budget and the impact on growth in the long term, for example. the following year, and the change in behaviour resulting from a more sensible tax system, a tax system such as: are more competitive in relation to other countries: reduced and subsequently non-proprietary taxes, as is the case in a number of other social-democratic countries, a dividend tax model which does not take all the dividends together but which ensures non-tax on moderate dividends and on dividends reinvested in the corporate sector, as is the case in a number of other countries, most recently proposed in Finland with a social-democratic centre-coal government. So this should ensure that there is a reform that is definitely going in the European direction, in line with what the Labour Party has also wanted in the past. I have no illusion that by dealing with the tax reform, we are going to agree with any future tax change in the system, i.e. the individual budgets. But the Workers' Party should at least set up and say something about the principles, if not these three principles: are you in order to reduce the taxes on wealth? Is it to remove the sharing model? Is the dividend tax model proposed by the Government? None of the questions that have been asked so far, or comments from the Workers' Party, have answered some of the fundamental questions.
ParlaMint-NO_2004-04-28.ana.ud2420e357	It is of course that during the discussion of the matter in Stortinget, the Labour Party will deal with all the proposals and give our answer to it. The problem is that the Government today, with the Minister of Finance of the United Kingdom, is that the parties are free to discuss the proposals they would like to discuss, while questions about what deductions are to be removed, which is an important financing of the tax reform presented by the Minister of Finance, are not answered as to what thoughts the Government is doing about the same. This makes the matter very complicated, and my assessment is that the Stortinget is invited to deal with this matter without having an overview of the consequences.
ParlaMint-NO_2004-04-28.ana.ud2420e362	I answered the question whether you are free to assess the deductions, that yes, of course the Stortinget is free to do so. The government has said for its part that we will return to each budget after an assessment of all the deductions, in line with the vote of the Skauge Committee, where the former State Secretary of the Labour Party in the Ministry of Finance is also sitting and has given the same advice. With regard to the three main principles set out, in relation to dividend taxes, in relation to the divisional model and in relation to property taxes, I note that the Workers' Party still does not even have any fundamental answers to the relationship with these forms of taxation, in particular given that in the 1990s and up to now there have been countries that have gone in a different fiscal direction from Norway in these areas, among others. by removing the taxes on wealth.
ParlaMint-NO_2004-04-28.ana.ud2420e369	There will be three follow-up questions – first Jens Stoltenberg.
ParlaMint-NO_2004-04-28.ana.ud2420e372	I think it's necessary to remind the finance minister that he's in the Stortinges Question Time. That means that the representatives of big business ask questions to the Minister of Finance, and then the Minister of Finance will answer. It is not that the Minister of Finance is here to ask questions to the Stortinget. That's not how Storting's Question Time is. What's the problem is that the government is now discovering a fundamental contradiction in its message, because when the Progress Party went in to grant more money to the roads, the Per-Christian Foss replied: No, we can't afford more money to the roads, because then there will be less money to the tax haven. When the Workers' Party says, "We can't spend so much money on taxpayers' bills, because then there will be less money on roads, pensions and schools," the government answers, "No, there's no problem, because if we reduce the tax rates, there will be an increase in tax revenue. So now the government has to decide. Is it the case that lower tax rates give lower tax revenue? Of course, the answer to that question is yes. Then there's a context, and then we can't spend the same money twice. When the government spends DKK 12 billion on lower taxes, there will be less money for important purposes such as roads, defence, pensions and care for the elderly. This is a very important question to get a clear answer to.
ParlaMint-NO_2004-04-28.ana.ud2420e383	The question was not whether there was more money. Of course, every year in the budget, the government has granted more money. But I tried to suggest to another representative that there are certain links between expenditure and income. As a result, in each budget, the Government has shown that, within the framework of a responsible budget, it also provides for increased welfare in key areas such as health and care for the elderly, as well as for road development in another area, tax relief. Otherwise, it's not entirely unknown – I'm not going to ask questions now – but I just want to remind the Workers' Party that they also have a past where they have actually suggested and suggested some tax reliefs. Last Stoltenberg was Minister of Finance, he proposed two quite masculine tax concessions, to put it this way, namely relief in the petrol tax and relief in the top tax. It is still possible to imagine and implement tax relief within a socially sound overall budget. But all in all, perhaps my suggestion was when I referred to Torgeira Höien.
ParlaMint-NO_2004-04-28.ana.ud2420e392	Øystein Djupedal – for follow-up questions.
ParlaMint-NO_2004-04-28.ana.ud2420e395	There's been a pretty interesting round in Stortinget today, because what we're noticing is that the Minister of Finance is on the defensive and challenges the Stortinget as to what the Stortinget means. I can assure Foss of that, after his many years here in the Storting, that the Storting is going to express, of course. This season is about what we're asking the government about what they mean. I am a little surprised that the Minister of Finance chose such an offensive tone, that it has no answer to it, it has no response from the Workers' Party. We are now dealing with this in the Storting Financial Committee. The Minister of Finance knows that very well. Our starting point is all these black holes in the Government's own tax notice to the Storting, big black holes that very many people actually depend on. Why does the Government not want to show cards in this regard, while they can show cards in what, in the Government's view, is the good bit in what they call tax reform? That's why it's necessary for us to know what you really mean. Now you add up to $12 billion in tax relief. 8.5 of these billions are top taxes. So that means that people who have over average income pay taxes, mainly men. Medieval men of Per-Kristian Foss’ and my age will benefit from this. But that also means that all of the bottom ones on the ladder that have a deduction are not going to know anything. That is why I have to ask again: does the Minister of Finance really think that this is a tax reform, or is it really just a comprehensive tax return with tax relief, which is one of the Flags of the Right?
ParlaMint-NO_2004-04-28.ana.ud2420e404	There is both a reform and an indication of what relief should be given. When the tax reform was addressed in 1992, there were similar indications of relief in connection with the reform, to a lesser extent. But what I don't expect, of course, is that SV here should set up and agree to tax reliefs, a party that has proposed tax increases in all contexts. Should I have a bit of a small appeal to SV in conclusion, that's not a question, but a kind of prayer or appeal, it had to be that SV had mercy on ordinary owners of dwellings by participating in the removal of the benefit tax on dwellings, because there is a form of tax that is not at all a tax on something that represents the tax capacity of taxpayers.
ParlaMint-NO_2004-04-28.ana.ud2420e411	Siv Jensen – for follow-up questions.
ParlaMint-NO_2004-04-28.ana.ud2420e414	I, like the representative Stoltenberg, want to remind the Minister of Finance that he is in the Stortinges Question Time. It is not that the thinner the arguments and answers the Minister of Finance has, the more he can conceal it with increasing arrogance in his answers. I expect the Minister of Finance to answer the questions related to the tax reform that the depositors have. In the case of the deductions, the Government will not answer. On the other hand, what the government writes in its communication on tax reform is that the overall deductions amount to nearly NOK 6 billion. So that's not small money! But these six billions mean that the Minister of Finance should hang and hover, both for the Storting and for the Norwegian people, in terms of what the Government intends to do to them at some point. It can't be called a responsible reform when it's going to be completely uncertain, completely blue for everyone, how the government intends to deal with these $6 billion. I believe that the Government and the Minister of Finance should give a much clearer answer as to the direction in which they should go.
ParlaMint-NO_2004-04-28.ana.ud2420e423	I record that I have answered all the questions that have been asked. The Progress Party has asked questions about how we will deal with different deductions, and then I have replied that there is a review we will carry out, with a view to getting back to it in the individual budgets. It is similar to the way tax reforms have been carried out in the past. When a tax reform was implemented with effect from 1992, no response was received to what would be in the budgets for 1993, 1994 and 1995, so that is not new. I will be very sensitive to the proposals, decisions and comments made by the Stortinget and the majority of the Stortinge, both in terms of the deductions to be removed, which to be converted and which to be permanently protected. I haven't been given many clues about it in this debate, but I didn't expect it either. It is, of course, when processing the setting that it will come. Then we must be responsive to what comes from a majority, including the Advance Party. But I would remind you that such tax relief must also be financed in each budget within a sound framework of the years to come.
ParlaMint-NO_2004-04-28.ana.ud2420e435	Higher taxes, as suggested by the Minister of Finance. [[The President clubs.]]
ParlaMint-NO_2004-04-28.ana.ud2420e442	No! No!
ParlaMint-NO_2004-04-28.ana.ud2420e447	This is not a cause for supplementary questions. Let's go to the next main question.
