ParlaMint-NO_2004-03-04.ana.ud1567e45	The representative of Ågot Valle, who has been licensed, has once again taken his seat.
ParlaMint-NO_2004-03-04.ana.ud1567e242	I would first like to thank you for the fact that this interpellation has traveled. It touches on important issues that many, including us politicians, face in everyday life, where today's practices, as we have seen, do not solve the challenges. First, there must be the real needs for defence equipment and personnel based on real defence needs to manage the store and not the store to manage the needs. One may sometimes be tempted to think that it is not obvious. I want to do a little bit of a visit to the relationship between politics and defence needs. I'm not going to rip up too much in the discussion about the missile torpedo boats, but most people will admit that it wasn't the defence needs that settled that matter, but the industrial and employment consequences. And then we're right in the middle of the discussion that Gunnar Halvorsen is going to be going on about how much a defense investment is going to finance the development of industrial products, where development costs are already largely covered. It's a very interesting discussion. But let me use another example, the fighter planes, which we might have to buy in a few years, where the real fight, as the majority of the population has formulated, stands between American Joint Striker and Eurofighter – although there are several other fighter options, including. the Swedish Gripen and others, for airspace monitoring and control purposes. The action space in relation to aircraft is snowing in many years before a clean one is actually going to buy anything. The whole reason is that around 2015 we need new fighter aircraft based on the type of military operations we were in with the F-16 in Kyrgyzstan a year ago – in cooperation with a couple of countries, preferably in a coalition and preferably NATO – according to the view of the majority of the population. This is indicative of the choice of aircraft, formulated in the Minister of Defence’s premise for the Military Investigation – and not according to national needs for air surveillance and sovereignty. If this had been necessary, we could of course choose Swedish planes and save billions of dollars – or buy other shelf goods. This is an example of the problematic relationship between needs, available equipment and political governance. In addition, we have the situation that is the subject of interpellation. It concerns the relationship between those with special competence in terms of defence needs assessments and the industry that develops solutions, and that it is possible to move from one role to another without any special delay. I am in favour of any practical proposal that can slow down the flow of information between the defence and industry – preferably with quarantine as a solution. However, the problem with the defence sector is that the time horizon for need assessment, planning and investment is so long. It means, in my opinion, that the quarantine period for personnel with strategic knowledge needs to be long enough to meet the long time horizon. Finally: Ethical guidelines are well and good. The question is whether this is sufficient or whether more stringent quarantine rules are necessary. The Minister of Defence's response here today was mainly about the situation after personnel with strategic knowledge have left the Defence Department, while I think it is important to prevent strategic knowledge from coming to the new place of work – in other words, quarantine.
ParlaMint-NO_2004-03-04.ana.ud1567e257	During the cold war, it was obvious that much information related to the defense had to be classified material. The defense has been accustomed to the environment being a closed culture. It is evident that information relating to the security of the State must be of a lack of confidentiality. However, there is a process of change in the defence system that has made civil-military cooperation more and more widespread. Several actors in the field combined with an annual investment budget of the order of DKK 10 billion have created changed assumptions. However, the culture of defence has not changed in the same way. There's still too little openness around processes, and it creates easily suspicion. The debate on the viability of Norwegian representatives in the case of NH-90 rescue helicopters shows that there is a need for clear legislation in relation to the transfer of personnel. It is important for the confidence of the Defence that there is maximum transparency and control of acquisition-related activities. The representative of Nybakk travels an interpellation which is a natural follow-up to the debate on the launch of Phase 3 in the conversion of the Defence Logistics Organisation. The Christian People's Party is pleased with the work that is now being done in relation to the action plan, general ethical provisions and basic rules — which the Council of State addressed in its intervention. Officers of the Defense Department have often joined forces at the War School and tied close ties during the study period. In this case, it is particularly important that such loyalty and such networks are not abused in future professional careers, whether they work in the Defence Department, the Ministry of Defence or manufacturers of defence equipment. By working in the Ministry of Defence or in the Ministry of Defence, the individual receives both transparency and contacts that make it attractive for manufacturers of defence equipment. It would be natural for a quarantine period to be introduced to prevent the transition from the Ministry of Defence or the Ministry of Defence to private business from becoming too difficult to deal with. As an independent control body, the Riksrevision has a special responsibility. The National Audit Service must follow the course of action in the Defence – and also follow it, for example. tender round carefully. The national audit itself must be responsible for obtaining sufficient transparency. There may be cases where political leadership has to act against the Defence in order to ensure that the National Audit Office has access to information so that the National Audit Office can act as an effective control body. Continuous attention is important, although the defence has strict ethical guidelines. It is a fact that some individuals abuse their power and influence to secure some enterprises contracts or to influence conversion processes in the Defence. The defence will always depend on the morality and integrity of the individual worker. In order to avoid irregularities, it is therefore important to have clear staff transition guidelines as an additional security.
ParlaMint-NO_2004-03-04.ana.ud1567e278	There is an important issue addressed by the interpellant, especially at a time when defence is being reorganised as strongly as it is today. Many have to seek new jobs and areas of work, while at the same time defending large investment – even in the years to come. The centre party shares many of the views expressed on these questions from the interpellant. But I want to stress that the problem is not that there are people who are lobbying towards us, on behalf of commercial or economic interests. This kind of lobbyism then happens knowingly both in the case of former defence workers and former politicians. We have to be able to evaluate the information given to us in this respect. The issue is whether the defence – which has such a special investment and procurement structure – should have specific rules on the transition from defence work to other activities. In this context, one must also take into account that defence is a less transparent system than would exist in many other public enterprises. The Central Party notes that the Minister of Defence wishes to await the follow-up of St.meld by the Ministry of Labour and Administration. No 11, and considers it reasonable. However, we believe that one after that work needs to assess whether there is a particular need for further rules for the Ministry of Defence and Defence, for example. in the form of quarantine provisions. I think it is positive that both the interpellation and the debate we have had on these issues in the past have raised awareness of the issue, which is important. Then there's a question about what kind of guidelines you give, which I think is important. It is a good thing that a person chooses ethical guidelines. The question is how binding ethical guidelines actually become, not only for the employee, but also for the employer. What you experience is that a temporary ban or an ethical guideline that means that you should stay away from certain types of business for a period of time appears to be a real restriction on the choice of work by workers. It should also oblige the employer to some extent. The NHO's provisions on quarantine and transitions are inherently binding on the employer. The introduction of ethical guidelines instead of quarantine provisions should not become a route chosen because it becomes less binding on the employer than having a quarantine provision, which in many cases appears to be the most tidy and formal one.
ParlaMint-NO_2004-03-04.ana.ud1567e294	The interpellant has raised an important matter, a matter which, in my view, should be kept warm. The interpellant stressed the re-examined objectivity, flexibility and integrity. That might be the short version of the whole thing. The state makes large purchases and is thus an interesting partner and customer. Since the state is all of us, it is important that those who represent us, i.e. the Minister of Defense, when it comes to what we are now discussing, have driving rules that ensure that the processes are sufficiently transparent for us to have a good enough basis to decide whether one or the other option should be chosen. We need clear guidelines, so that the state, that is, all of us, gets it out of our purchases that taxpayers are rightly expecting. This applies both to the primacy of the material in relation to the tasks it is intended to perform, to the greatest extent possible out of the money, and to the ability of investment within reasonable limits to contribute to technology development and employment in Norway. I think it is positive that the Minister of Defence informs us of the grips that have now been taken. Suppliers must be aware of the ethical rules, and those who benefit from previous inclusions in the Defence Act are followed up separately. I would also like to comment on a specific matter, namely that the frigates of the Fridtjof Nansen class and the MTB of Skjold class will be a good vessel for the business of the Norwegian Navy. Our coast is long, and the resources that are both at sea and below sea are formidable. The barrages against these resources are many, and the vessels this is about can probably also help to monitor our coastal areas in a good way, as well as the military tasks. The representative of Gunnar Halvorsen was in his post in the Norwegian Maritime Mission and the misconceptions the missile has against the marine vessels that are now being built. In the 2004 draft budget of the Ministry of Defence, there was a brief text on this subject. In NSM's review, it said, among other things. that the development phase would continue until 2005 and that the cost of the project was 1 840 million. kr. It further stated that the outcome of the contract negotiations was planned for Stortinget in the autumn of 2003, but that it was delayed and that the basis for bringing this case before Stortinget was not satisfactory. It might therefore be interesting to get a comment from the government council on when the department will bring this matter before the Stortinget.
ParlaMint-NO_2004-03-04.ana.ud1567e314	The interpellant addresses a topic that is very important from an administrative point of view. On 22 October last year, I asked the Minister of Defense a similar question about giving the quarantine to key defence personnel whether they went from important procurement functions in the Defence to corresponding positions in defence equipment suppliers. The Minister of Defence then, as today, gave a clear explanation of the progress of the case. This is not only an important case for defence personnel, but generally applies to other central management and purchasing personnel in central government. Large purchases are made in certain cases by a few persons. Former members of staff in purchasing functions may have been assigned to key positions of defence equipment suppliers. These people will have insightful relationships and a lot of knowledge about the defence. Defence is facing significant investments in the future of highly advanced technical equipment. The total for 2004 is close to DKK 10 billion – 7.5 billion for material and the remainder for EBA investments. Both the continuation of helicopter acquisitions and the future purchase of combat aeroplanes require not least extensive technical competence in the selection process of the best imaginable equipment. Often, the purchases from a single supplier are very large. In particular, the procurement of the defence will sometimes be extremely important for the future existence of some of the manufacturers of the equipment. Recruitment of key personnel by these manufacturers as sales agents to the Defense will create very unfortunate speculations about the Stability. The introduction of quarantine provisions will clarify the roles of defence personnel and clarify the prerequisites for manufacturers. The defence management, like the community, must not worry about the stability of the employees. Clear guidelines and instructions also facilitate the pressure on the individual employee, who may experience an extraordinary pressure due to heavy decision-making processes. In the Question Time on 22 October 2003, the Council of State gave a view that would be preventive and a prerequisite for avoiding unfortunate ethical and viable speculations in relation to the blending of roles. The defence is currently undergoing major redundancies in personnel, while the defence is facing the greatest economic and technological investment effort ever. Therefore, in addition to competence, it is also necessary to focus on stability assessments. In contrast to a number of other countries, general rules have little been laid down in Norway in relation to staff transfers. At the same time, the exchange of personnel between the public and private sectors has many positive aspects. It is therefore important not to build unnecessary barriers to staff transition. In addition to the design of legislation and guidelines, there will also be a question of the morality and integrity of individuals. In particular, it is also necessary to look at what can be done to improve purchasing procedures, better roll-out of personnel, and to introduce quarantine provisions for employees in purchasing functions by any change of employer.
ParlaMint-NO_2004-03-04.ana.ud1567e329	There are important issues raised by the interpellant. Defence processes are still characterised by a lack of transparency and transparency for the public. This may be due to the complexity of the matter more than the lack of willingness to inform. Nevertheless, we need to be aware that staff transitions from the public to the private sector in the middle of complex and costly projects can be problematic. Corruption is a very strong expression. I will not link this word to this matter. Nevertheless, the debate concerns trust in the integrity of the administration. In a similar way as in relation to the political level, the civil service must be neutral and independent – this applies to external actors with an interest in specific public dispositions and decisions. This means not only that the administration should act in substance, objectively, impartially and in accordance with established rules, but also that management must be perceived by the environment in order to maintain trust. It is in this context, when most people perceive what is happening as a distortion of competition by the fact that an actor can take advantage of knowledge and contact the others do not have, that the term ‘corruption’ can be used. A high ethical standard in general government is a prerequisite, but not a matter of course. It is therefore reassuring that the Council of State now alerts measures that will ensure the processes of acquisitions in the Defence. It would be useful for all parties that acquisitions involving large amounts are regularly the subject of a refocusing on the rules of administrative law. It shall prevent officials and officials themselves from taking decisions where their own interests are particularly affected. If you have to know people in order to get a pass, you're in a corrupt grey zone. Actions that respond to someone – person, company or other association – in an unjustified way are unacceptable and can be described as corruption-like. No advantage shall be granted which is contrary to law, regulation or other regulation. Staff transition guidelines will help to avoid irregularities. It will also be important for confidence in the Defence in the future.
ParlaMint-NO_2004-03-04.ana.ud1567e342	I would first like to thank you for a very constructive and very useful debate, with a lot of fine input. I agree with Marit Arnstad that it is okay that the Council of State is now awaiting the response of the Ministry of Labour and Administration to the treatment of St.meld. No 11 spring 2001. Then we have to consider whether, in this context, we need to have stronger rules for the defence, which have both a special purchasing structure and graduated systems, which means that we have to be extra careful. I think that is a clear conclusion to the debate. I was a little surprised by the representative Hernæs. I don't know if it was a joke, or if it was a «slip of the tongue», when he almost accused the undersigned of going in for the «Berufsverband» or saying no to lobbyists. I assume that the representative Hernæs did not mean it that way. With regard to the current example from the FLO, the ICT section, the main problem is not that we get lobbyists to visit, but that they come with hats other than those they actually have, or maybe they have two hats and should say from what hats it was. This is about weather caution posters, it's about possible quarantine time, which should probably be longer for defence than for other states, and it's about ethical guidelines and stability – yes, it's about defence employees, in the FLO or in the Ministry of Defence that goes directly from a development process in the Department or in the Defence to one of several stakeholders, that's to switch sides in the relationship with the customer/supplier, as it was expressed. This results in one competitor gaining access to sensitive and classified information and gaining competitive advantages in relation to the others, i.e. knowledge acquired by a public official in his/her working situation, which flows to one of several stakeholders and thus distorts the level of information between potential suppliers. Both the Storting and the County Council of State must be able to rely on the expertise provided to us to be based on objectivity, flexibility and integrity. And when the Defense has chosen the product and supplier and submitted it to the Stortinget via the Government and the Government, we should know that it is the customer who decides, and that there is a real assessment behind the proposition or the message we get.
ParlaMint-NO_2004-03-04.ana.ud1567e355	I too would like to thank you for a good debate and for what I have seen as broad support for the fact that we have an extra care requirement in the Defence and Defence Department, which may be larger than in some other departments and agencies. I would like to make it clear that when the Ministry of Labour and Administration has initiated a feedback response during the spring of 2004, it does not necessarily mean that the matter is submitted to the Stortinget. It depends on whether or not a roll-up decision is required, or whether there is something that can be implemented without going via Stortinget. Several people have been involved with this with additional demands for the defence. I just want to stress that when we now introduce a special care during the first two years after a transfer of personnel from the Ministry of Defence and the Defence to a private enterprise, it very much reminds us of a two-year quarantine. So we're doing this on our own -- for us, without it being for all departments and all the underlying units, because we want to get started, and because we want there to be an extra check of the relationship between the defense, the ministry and the industry the first two years after such a transition. So this is what we're going to start right away, regardless of the work going on in the Ministry of Labour and Administration. Then there are several questions that have been raised in principle regarding whether to buy shelf goods, whether to go into development projects that offer opportunities for Norwegian industry, and also whether to use the defence for tenders or not. Here is the law that the defence is not required to make use of tenders in respect of acquisitions. We are therefore exempt from the EEA legislation, and it provides and has traditionally provided good opportunities for directing contracts to Norwegian industry. The risk of that profile and that access is that if you choose a development project in Norwegian industry instead of choosing a shelf product of a finished product, there is a risk of that, because it has not been tested and tested, as a shelf product is. The risk must be willing on a case-by-case basis to take. With regard to the frigate project and the NSM, this hall has been willing to accept the risk of giving a Norwegian company a development contract on a product that is not finished when we sign the contract on the frigate. But it is clear that the fewer projects the defence has on the acquisition side, and the larger they become, the greater the risk of not choosing a shelf product. The Defence Committee, the Storting and the Defence Committee jointly have an important future challenge to take a closer look at.
ParlaMint-NO_2004-03-04.ana.ud1567e368	The interpellant debate is therefore closed.
ParlaMint-NO_2004-03-04.ana.ud1567e385	Norwegian society has traditionally been built on community-related values, equality and distribution. We've been proud of a society of few inequalities and where the distance between most people has been small. There have always been challenges to poverty and wealth, but the basic attitude has been that the community should find solutions to care for the individual. We have had a responsibility not only for seafaring, but also for taking care of each other. It looks like a lot of people are moving away from this basic idea. It is becoming increasingly clear that we have a new ideological distinction in welfare policy. The distinction goes between those who want general equalisation schemes and those who believe to be more targeted, individual measures aimed at those who have the worst. We see a trend from justice and cohesion policy to a policy of charity and charity. We live in a society that's still changing, and that's why we have to look for new solutions. The question will be what will be the basis for the solutions. Here we are facing a choice of values. The objective of equivalent living conditions and fair distribution is a choice of values. The distribution policy shows the most profoundly the nature of the society on which it is to be based. That's why what we're going to have today is an in-depth debate that we only have the opportunity to take a small part of. Marit Solli of the Salvation Army stated in the ‘Son is life’ on March 3 that the group of people in the edge zone of the Government’s poverty definition is only increasing. These are social-security or other people who live on social benefits, people of their best age who should have the opportunity to survive. Sollis' experience is that this group of rescue workers is increasing dramatically. Drug users are a marginal group in this context. The fight against poverty requires solidarity and unselfishness, and it requires willingness to see the problem in a wider perspective than simply saying that those with less than DKK 85 000 in annual income have difficulty. Being poor is about not being able to participate in the society of which you are part. It could mean not being able to send the children in birthdays or summer camp, being excluded from participation in social activities that most of us take for granted. It should be a wake-up to the recent UN International Welfare Report that shows that differences between rich and poor in Norway are increasing as much as during Margaret Thatcher’s time in the United Kingdom. The same report also shows that the other Nordic countries have a more balanced distribution of income than Norway. The question is, what does this do to our society? What will be the impact of the structural changes we are now seeing on the future? The Secretary-General of the Church's Bymition, Helen Bjørnøy, has stated that the ideological content of the Government's plan of action against poverty is very close to the spirit of charity, because everything is directed towards the individual. It is precisely the targeted measures in relation to individual individuals that are the government’s solution to poverty problems. The centre party acknowledges the importance of special measures against those groups that fall outside, but this does not hold true if the objective is that everyone should be able to participate in the development of well-being. If the goal is justice and participation for all, it has to widen strategies. The fact that people do not have work is an important cause of poverty and social problems. A job not only provides economic security, it also confirms that you can do something, and that society needs the resources that the individual has. If you lose your job, it's easy that the footrest slips. Therefore, we need to focus on labour market policy and the challenges associated with the goal of all having a job. Everyone seems to agree that work is essential for combating poverty, but what is happening? On the one hand, work is said to be the only activator to participate in welfare development. At the same time, there is a policy that leads to the labour market becoming a referee and a referee, with the risk of more people falling outside. It is more effective in all areas. The goal is high tempo, fast replacements and constant conversions. A job no longer seems to have its own value. The workplaces are losing in the fight for higher profits. It's hard to understand that this is related to the focus on having a job if you're going to survive in society. In St.meld. No 19 for 2003-2004, a well-functioning labour market, it is said that the Government attaches great importance to the inclusion of the labour market, so that individuals can use their skills for the benefit of the sea and society. This is good, but how is it followed up? The same big message also says that a consequence of shy welfare schemes may be that some people find it less attractive to work. It is difficult to understand that the government focuses on the question of whether welfare schemes are too good, instead of looking at what you have to do for all those who actually want to have a job. The approach taken by the Labour Code Committee focuses on today’s challenges related to working life. Modernisation must also involve a law that guarantees the rights of workers and provides a working life for all. The centre party will not be able to accept legislation that impairs the rights of vulnerable working parties. Director-General Gerd-Liv Valla has stated the following in this context: ‘In crucial areas such as temporary employment, working time and job protection, this is the recipe of a more brutal working life. The majority's proposals are far away and are contrary to what we believe should be the fascination of a safer and more humane working life. That's the opposite of what such a law is for." This can be joined by the Center Party. A law for a more uncertain working life will be an essential element in the development towards greater class divisions and less equitable distribution. Instead, in a time that requires change and change, investment should be made in safe and motivated workers. It is a challenge that social security expenditure is increasing, as we see now, and that there is a significant proportion of the working-age population that is being neglected. On top of this, there has also been an increase in sick leave. This is alarming. Here there is a large group of people who can easily be at risk not only of losing their jobs but also of losing their foothold in society. It needs a safety net that is fine-masked enough to catch them. This means that we need to maintain good and general welfare arrangements such as daycare and health care. The government's concern that some people will take advantage of the opportunities not to work if welfare schemes are too good is rejected by several teams. Fafo researcher Tone Føtten says that there are very few people who want to go to social assistance. In addition, it still seems unworthy to go to the social office. Most people will do everything they can to let go of just this. We must dare to think again in relation to the combination of social security and work. Today, the system is set up in such a way that flexibility between work and social security is very low. So society loses a lot of good labour that could have been exploited for the benefit of the community. There are innumerable tasks that could have been solved by a few percentage points of work, which would have a good effect on each employee. The chance of slipping out of the system is much less when you feel that you matter, and that you can do a job for the benefit of the community. In the fight against poverty, the right to housing is very important. Today, it's no natural for everyone to have a place to live. A better grip on housing policy needs to be taken. The government's response to the housing problem is mainly directed at the homeless. This is important, but the Center Party believes that housing policy must have a wider approach. In these days, the papers are full of headlines about housing prices that sink to weather because of the low interest rate. But it's not like you can just borrow anything to a dwelling if you don't actually have an income that can serve interest and instalments. That is why we believe that social housing needs to be repatriated and that the framework of the House Bank needs to be strengthened. It is necessary to provide for an increase in the level of low-income housing for first-time settlers and an improvement in housing support, so that one-person households with low incomes can benefit from housing support schemes. It is difficult not to address the interception of public services in this debate. When local authorities are given such a tight framework that jobs need to be reduced, for example for personal assistants or organized education, this will affect those who are weakest and who can easily lose their foothold. We must not lose sight of the debate relating to the resources and opportunities of the municipalities. The tax system must also be discussed on the basis of the poverty reduction, cohesion and distribution objective. It is gradually many in our rich country who can contribute more to the community than they do today, which will be a prerequisite for lifting those who have the most difficult. There is no easy solution to the poverty challenges we face. It is therefore necessary to adopt an overall approach. Per. Today, changes are being made in different sectors, such as the labour market, the public sector — cuts in the public sector — and the housing market, which together make a mistake for those who are disadvantaged for various reasons. The centre party does not believe that the solution to the fight against poverty is an individualised charity idea, but believes in upgrading values of distribution and cohesion that Norway has been uplifted for decades. The active substances must be adjusted. The values must be fixed.
ParlaMint-NO_2004-03-04.ana.ud1567e428	I will answer the interpellation on behalf of the Government. Poverty can be abolished roughly in two ways: you can increase social security and social security, even if it may involve a still passive recipient's existence, or you can help people to cope with their own work. The main focus of the government is to enable more people to support themselves through their own work. Work gives the feeling of being useful and belonging. It is also the safest way out of poverty and the best way to prevent poverty. It is important for those who are unable to participate in the labour market to provide adequate income protection. The answer to Hagas’ questions is therefore: In the long term, more people will manage themselves because the government is targeting targeted measures. Several long-term social welfare recipients will be able to support themselves. Several drug users will receive the necessary health care and help to get into action, and several single mothers will be helped to complete education. This is in line with the objectives we have set. The measures proposed by the Government are based on this. The government proposed a number of measures aimed at poverty in the budgets for 2002 and 2003. They are continued in 2004 in addition to a further investment of 239 million. DKK in 2004. The effort for these purposes has never been greater. The government’s extra effort towards poor and heavy drug users is close to NOK 2 billion. There is a broad political consensus in the Stortingen on this. Social welfare schemes and services have grown over a longer period of time, with some social problems and challenges other than those facing us today. We are obliged to keep a searchlight on whether the arrangements hit, or whether the arrangements over time have received a different device and a different amount from what was originally intended. We cannot allow ourselves uncritically to continue all the arrangements. This year we spend NOK 183 billion on social purposes. The cost of social security is rising by NOK 15 billion this year only. Never before has it been used more for social purposes. I see that this doesn't impress Haga. It should. Most of this goes to sickness and disability. It must be an objective to take action that will bring people back to work as quickly as possible. Here, work on inclusive working life is important, but also the new unfavourable reform. 700 people have been granted temporary unpaid pay and receive a special follow-up with a view to getting back to work when they are ready for it. It is important to distinguish between general welfare schemes intended for all, irrespective of the economy, and targeted actions for those outside. It's e.g. not in such a way that the kindergarten agreement negotiated last autumn is of the greatest benefit to them. If welfare systems are to provide welfare and security in the future, everyone who can contribute to the community must do so, while welfare schemes are reserved for those who need public assistance on a temporary or permanent basis. The government has carried out systematic and thorough work in which the target audiences and measures are clearly defined. What is the government doing? We have established and strengthened new places in labour market measures for long-term recipients of social assistance, immigrants and refugees. Those who have been outside now get work training and a new chance. Per. On 31 January 2004, a total of 1,637 measures are being taken, while 1,390 are being clarified with a view to their deployment, almost 3,400 in total. Near 60 pst. have entered into work or are in the process of self-financed education. In 2003, 5,074 were notified to Aetat from the social service with a need for action. Lonely caregivers in education receive an improved social welfare scheme. For example, a single mother who had a young child could now go to school one year longer. Education increases the possibility of work.The provision of follow-up services in housing for the homeless and drug addicts in the metropolitan municipalities is increasing and the framework for housing grants is extended. The area requirement for families with children in municipal rental dwellings is removed. It is estimated that 4,500 new families will receive support. The bout toll bar in the big cities is being raised, and it is over that only families with house-bank-funded housing are receiving housing support. The medicinal product-assisted rehabilitation offer is strengthened and further developed. In 2003, 2 431 treatments were received. This is 1 000 more than in 2001.In 2001, 8 million were given. to low-threshold health measures in eight municipalities. In 2004, we're going to have 43.4 million. DKK for this, and low-threshold health services are established in 35 municipalities. These are lifesaving measures for the heaviest addicts, and they work. Overdosage figures have been drastically reduced during the same period.We are creating 85 new places in labour market measures for those participating in such schemes. We're talking here about giving the most worn-out drug addicts who are on their way back to life, something useful to fill the days with. The competence of social services towards long-term recipients of social assistance is strengthened. The Equalisation Notice clearly showed that the biggest living conditions differences in Norway are between those in work and those who are not. Smoothing is important, but it is best done by lifting those who have the least. In addition, the government has followed up with a number of targeted measures aimed at the most disadvantaged with a view to reducing poverty. Universal welfare systems are important, but that is not enough. We see that some people fall outside. Poverty cannot be remedied only through universal mechanisms and a broad cohesion policy. In addition, today’s challenges require more targeted efforts towards the weakest. But we must also dare to look at the arrangements with new eyes. When, for example, Now reduces the time period you can receive rehabilitation money, and improves the follow-up, so that you can get each one back to work faster. More than half a million people in this country are out of work. They're unqualified, sick, unemployed. They're rehabing, rehabilitating, or they're social clients. The government has taken a number of such measures to get people back to work, to manage themselves. We have begun to see results: Since 2001, the social security system has been in contact with 60,000 people. 20 000 have had a conversation with the floor. Nearly 4,200 have returned to work in whole or in part. This results in a better economy, but also a number of other positive effects that work has. As mentioned above, we have started a targeted job of getting long-term beneficiaries of social assistance back to work. Here, too, we see results.We have introduced the right to an individual level. This is an important tool in resolving individual challenges. The aim is to increase employment and activity and reduce social security and social security benefits. Services and benefits must be designed in such a way as to contribute collectively to the individual’s being given the help and follow-up necessary to get into work. New and amended rules for vocational retraining from 1 January of this year, as an example, have the very aim of speeding up the return of individuals to work. The work for a more inclusive working life, better coordination of welfare settings and the provision of framework conditions that make businesses viable are also important areas of intervention for the Government. I believe the goal of getting more in work and fewer in social security is in line with people's wishes and goals for their own lives. A one-sided effort to develop social security schemes such as income protection could help people to remain beneficiaries in a difficult life situation, with low income throughout their lives. Poverty, and the risk of living in a situation of persistently low incomes, are largely linked to a lack of or little connection to working life. If we're going to prioritize everyone and do everything for everyone, we don't give enough to those who need it the most, we don't prioritize. This could mean that someone gets more, and something else, than others. The government is pursuing a policy based on the individual's natural desire to stand on his own, while at the same time preparing the basis for our welfare arrangements to be sustainable in the long term.
ParlaMint-NO_2004-03-04.ana.ud1567e498	I thank the Council of State for the answer. What we got very well illustrated by the answer, is just some of the things that were my main point in taking up this interpellation, namely to clarify the ideological distinction that is gradually developing in Norwegian policy. Some are concerned with justice, cohesion and distribution. Others are concerned with targeted, individual measures such as the poverty reduction strategy. I'm not saying that you can't have the same sacred objectives associated with this, but I find that the approach is fundamentally different. We in the Central Party believe it would be an accident if we moved from the idea of justice and cohesion to this policy of charity and charity, because it does something about our society. A society with greater differences increases the tension in society. I have two questions for the Minister of Social Affairs. Firstly, does she agree with me that there is an ever clearer ideological distinction in the fight against poverty in Norway? That's the one question I want to ask. The second question I want to ask is related to the reports we receive, including: from the United Nations, that differences in Norway are actually increasing, and they are increasing dramatically, and whether that development actually concerns the Minister of Social Affairs. Then I'm talking about a society where the differences are increasing, and where we're not just looking at the difference between those who have the worst, and those who have the best, but where we look at society as a whole. I experience it so that the government has a desire to magic away the poor. There's a large group of people, maybe between 100,000 and 200,000, falling between all the chairs. They are too sick or have different disabilities that make them not attractive in the labour market, which are still being discussed, but at the same time they are too healthy to be able to get disability benefits. These people are offered community social assistance, where they have to go and ask for money every month. These are people who don't want to fall under the government's definition of poor people, because they have more than $85,000 a year to live for. These are people who can quickly end up in the very poorest group if they do not get help to get out of the difficult situation they are in. I see the time has passed. I'm coming back to the end.
ParlaMint-NO_2004-03-04.ana.ud1567e511	I noticed that the representative Haga is looking at 283 billion kroner for popular protection and an increase of 15 billion kroner in 2004 as an almsperson. I don't. Yes, there is an ideological distinction. Some people believe that a person should be able to combine general welfare schemes and believe in them, and that is what the Government believes, but that is not enough. In addition, targeting and individual focus is required. I would also like to remind you that Chapter 9 of the Equalisation Notice – and when the Equalisation Notice was presented, the representative was Hagas’ own party represented in the driver’s seat – just mentions what is going on targeting in addition to soaking up and individuality. It is possible that the Centre Party has changed its position since that time. So until it's about the report that worries me. Of course it worries me. It is just that the United Nations report to which Haga referred came in 2001. It shows the evolution from the mid-1980s to the mid-1990s, when Haga and Hagas put their own party in the driver's seat. This report is one of several reasons why the Government has chosen to focus on poverty. The report shows — even though it is old and shows ten years back — that Norway is the best country to live in for most of us. It also shows that Norway has at least differences compared to other countries in Europe. The general welfare systems are important, but that is not enough. Even though we have this security network, people are falling through. I notice that Haga wants a broad definition of poverty that includes more than what the Government uses. What we can agree on is that it is difficult to find an exact definition of poverty. It's both a subjective and an objective size. However, I think that Haga bombs when she almost seems to think that as many as possible are included in the definition. The point must be to figure out who needs a hand from the community, and what individuals need to be able to handle themselves. We are following developments at the low income threshold, but also other social indicators that can provide both a better and a broader picture of poverty and social exclusion. We also produce a report on the state of play in today's Norway, especially in this area, to see if the policy is working, and whether there is a need to adjust the course, where we meet all these voluntary organisations such as the United Kingdom. Haga referred to.
ParlaMint-NO_2004-03-04.ana.ud1567e522	There has been a concerted growth that has expressed the desire not to war against poverty, so at least fighting it. We have also been relatively in agreement on the importance of having a job, and that exclusion from working life often leads to poverty. It has therefore been important to pursue a policy that provides a basis for inclusion in working life, including those who, for a short or longer period of their life, are unable to have a job. Despite this apparent consensus, it appears in practice that established schemes are hampering the path to work. Let me give you some examples. Experience gained from several of the protected enterprises which have gradually become more dependent on self-financing and profits shows that more and more groups, in particular those with mental retardation, are being pushed out of businesses as a result of market requirements. When that happens, something has to be wrong. The size decided to shorten the time limit in order to receive rehabilitation money. The idea was that the auxiliary equipment should intensify its work with regard to return to work. Experience shows that many people are not being treated, or have to wait unnecessarily long for treatment, or that their medical condition is such that they need longer periods of rehabilitation. The majority of Stortinget said that in such situations, one had to have a flexible regulatory framework, but feedback tells us that the regulatory framework is being practised so rigorously that the result for many people is disapproved instead of work. The temporary exercise gave the whole of the Storting its support, but the majority decided that the benefits should be significantly less than the general disability benefit, and provided it with a device based on a strange logic, that for poor and sick people the poor economy will spur on increased labour input, while for prosperous there will be even more money and tax relief to increase labour input. If the Minister of Social Affairs really wants to combat poverty, she must re-evaluate a number of the schemes put in place in the last two years, schemes that clearly have poverty-creating consequences.
