ParlaMint-NO_2004-03-23.ana.ud2556e41	The representative of Trine Skei Grande will make a private proposal.
ParlaMint-NO_2004-03-23.ana.ud2556e224	If you're going to get off a ditch, it's about not giving so much gas that you're going to get right into the opposite ditch. And the monetary policy regime we have today, at least Norway's Bank's interpretation of it, puts us at risk of being in such situations. An excessive share of the responsibility for stabilising economic activity is placed on monetary policy, while it is left in the national budgets. Employment is becoming easily the victim of such a policy, because the framework conditions, both for the competitive sector and the public sector, become so uncertain. And the consequence of the high interest rate we had before the 10 interest rates of the Bank of Norway, was the loss of thousands of jobs. Of course, it was correct and important to bring interest down, but now we see clearly that this has not been enough. Unemployment is breaking down, and we are at risk of experiencing the same thing as some other countries in the West have done: growth without jobs. Investment in industry and the rest of the world is still not at a level that can significantly reduce unemployment. The government's position remains that fiscal policy should not be actively used to get the wheels moving. The Minister of Finance's reluctance to do this is not surprising, but there's reason to remember that it's Right's position, regardless of the economic cycle we have. That is a position that is not economical, but ideological, justified. On the other hand, where we have seen growth, we are on the stock exchange and in the housing market. We now see a steep price rise in the housing market, despite the low price growth in society. It is amazing that the Minister of Finance and the Governor of the Central Bank have not warned more clearly about this development. So we're on our way to the top of the debt in Europe. The average household has a debt that is half the time its disposable income. If that development continues, we will already pass the historical peak level from 1988 to summer. Everyone knows how it went. The combination of high levels of unemployment and high levels of debt is dangerous. We are already seeing a worrying increase in, for example: the number of opening indebtedness negotiations. They've increased by 40 pst. only from January of last year to January of this year. That's pretty dramatic numbers. Although the high level of debt growth would prove to be sustainable at a macro level, developments are now undoubtedly creating new debt victims. It deserves much greater attention and needs to be taken far more seriously than is the case in the political debate today. These are good arguments that we need a more flexible management of monetary policy, where the look is not firmly attached to inflation. We also need to take account of other issues, such as employment and debt growth. There are also good arguments for fiscal policy to play a more active role. The state's muscles have to be used to control the growth where it can give people jobs, and not to blow bubbles.
ParlaMint-NO_2004-03-23.ana.ud2556e241	It is important and necessary that fiscal, monetary and income policies work together in a good way. In Norway, we are now in a phase where this is really a description of the current situation. If we go back just under two years in time, the high, clear and co-ordinated nature of the business community, and especially from the export industry, the Kronekure is too high. We can't live with this. There must be concrete action here! Our government delivered. A tight budget for 2003 was involved in the fall in interest rates, and thereafter the exchange rate also followed. The result we know is a dollar price and an interest rate that is absolutely competitive. Many feedback from some business people is the best evidence that the setup has worked. The main responsibility of the social partners for income policy lies with the social partners. Both the employers’ and employers’ side has helped to ensure that income policy, which is the third stage of economic policy, now works in a positive way with financial and monetary policy. When the interpellant talks about a unilateral emphasis on inflation in the Central Bank's exercise of the mandate, there is a description that is not correct – on the contrary. The latest inflation report shows that Norway Bank has carried out a balance between the importance of production and employment and the importance of inflation. In the economic perspective of 2003, the Central Statistical Agency concludes that stabilisation policy has been successful through 2003. The recession has probably stopped, they write, and the recession was not particularly deep. It's an important theme the interpellant travels. It is useful and necessary that the Storing take time from time to time to debate these challenges. My conclusion is that the responsible fiscal policy that our government has conducted is successful. He should be passed on. Together with the central bank's exercise of monetary policy and income policy to the social partners, this constitutes an economic policy that holds good attests, among other things. the one from the Statistical Central Bureau that I just mentioned.
ParlaMint-NO_2004-03-23.ana.ud2556e259	Recently, in economic terms, the Central Statistical Office told us that we have 360 000 people who want to work more here in Norway. Perhaps there are 200,000 more annual jobs in the workforce. It's in case 8 pst. increase. The statistical central agency has previously calculated that 7 pst. the labour force corresponds to the property value of the oil assets. 100 billion kroner a year is after this our ability to earn if all those who want to work are allowed to participate. We have to be able to use our capital strength to pick up this gain and get people work. Then, in the opinion of the Centre Party, we have to have a different economic policy, including a different monetary policy. It must not be such that today's unemployment is acceptable, whether it is called equilibrium leave or anything else. The Ministry’s response to all this criticism is that it is doing better now — but compared with 2002 and 2003, which was the disaster year for Norwegian business. We've had disaster situations that have cost business and society enormously, and the government has the primary responsibility for it. The Progress Party agrees with what has happened. They say it's been worse before. This year has taught us again that there is stability and predictability business needs. It is what contributes best to large and stable value creation and the good optimism that brings positive ring-effects. But it's not stability when Oslo Stock Exchange grows by 100 pst. in one year, the debt of households increases by 10 pst. in one year, oil prices increase by 5 pst. in one month and the price increase is zero, when we aim at 2.5 pst. The growth now measured is consumption driven. Households’ purchasing power is increasing greatly. A solid buy-out party is noticed by those who sell cars, boats, holiday trips and dwellings, while the rise in investment in competitive business is little to boast of. Likely, investments here do not reach the 2000 level. Companies that have lost a lot of their equity at a record high crown price have a hard time getting started, among other things. because banks take much less risk than before. The question whether there is now a very low interest rate for a dangerous amount of gas is difficult to answer, among other things. because there has never been such a massive interest rate reduction as it is now. But it is obvious that this medicine has not helped in unemployment. It has not sufficiently stimulated the creation of value in competitive business. It is very unlikely that today's low interest rate can remain stable for a very long time. In the autumn of 2002, the Central Party promoted proposals to change the practice of monetary policy, as requested by the SV. We have also made proposals to change the rules of action so that fiscal policies can be used more actively to stimulate business and increase investment in infrastructure. Such a policy would prevent the increased unemployment and the reduced participation in employment that we have now received.
ParlaMint-NO_2004-03-23.ana.ud2556e274	I am pleased with the signals that have come from Stortinget regarding the management of monetary policy. It is emphasised by a majority that flexibility is needed – as the majority already emphasises. I agree. The mandate is not a unique inflation target. It is the practice of the mandate that has been false, unintended or instrumental. This means that in the demanding phase we are now facing – because it is a demanding phase when we already have such a low interest rate, and when we have deflation – monetary policy alone, that is, the management of it by the Bank of Norway, must necessarily reflect more conditions in the economy. It also means, of course, that there is a very great responsibility on Stortinget. How are we going to get the wheels going? How are we going to make sure that we have free hands at work, without starting spirals that are bad for the economy? The main point of this interpellation has been to focus on the context which must necessarily be here and which is formulated in the interpellation text as follows: ‘... it is essential to achieve economic stability and lower unemployment that monetary, structural, financial and income policies work together’. The Minister of Finance has agreed to this, and several of the parties of the Great Britain have agreed. This will mean that there is more responsibility for collapse and government, less responsibility at the Bank of Norway, and that Norway’s Bank must actually take account of the fact that a clean management of inflation, as they have so far chosen to define it, is not correct and is not in line with the assumption of the Storting. That doesn't mean, for example. Siv Jensen was in the mood for the Stortinget to dictate, or in some way have ongoing dialogue with, the Bank of Norway. Norway’s Bank is given operational responsibility for this – of course they are. And Djupedal is not going to drive and tease them in vain about it, but they have to participate and, of course, accept that there is public political interest in this, that there is a public change of words about this, and that big business representatives will have different approaches to this. Thus, monetary policy is not defined by economic policy and as such is not part of the public debate. At that moment, such an important component is not part of the public debate, we are on wild roads. They must, of course, accept to be under a very critical searchlight continuously. The signals given here from a majority of parties, I'm very pleased with. I also expect that Norway’s Bank will focus on this in future assessments of the Governing Council. In economic terms, as I also referred to in my interpellation, the director of the central bank finally says in the foreword – and I think this may be an important reminder to the Grand Council of Ministers of what challenges we are facing: ‘Can we accept a weakening of traditional Norwegian values such as low unemployment and relatively even distribution of income in order to be able to participate effectively in international economic relations, and who will then reap the benefits? Or can the design and implementation of Norwegian economic policies be adapted to these processes so that key common objectives can continue to be achieved?’ I fully agree that this will be a major challenge for the political environment, but then one must also see the whole and not just the fragments of economic policy.
ParlaMint-NO_2004-03-23.ana.ud2556e295	I do not think the debate provides any basis for saying that there is broad support for SV's criticism of monetary policy. For they have been alone in bringing it forward – with some scattered glints of connection from the Center Party. What is widely agreed on is the mandate for monetary policy. SV's criticism of the practice of monetary policy, as exercised by the Bank of Norway, has not reached agreement beyond the range of the inter-pellant. I have to say that criticising a practice that is not practised is probably also a relatively weak criticism. The Chief of the Bank of Norway came as late as the year with a reference and used several times the term ‘flexible inflation targets’. So there's nothing new in that particular thing. What gives reason to wonder, if you were to be allowed to speculate a little bit in the future, is what kind of monetary policy a government based on the SV, the Central Party and the Workers' Party will lead. For as far as they have spoken in the debate, the three different points of view are in monetary policy. The working party is in line with the view of the majority of the population. The central party has the strange position that they last gave full support to the mandate for monetary policy in 2001, and now they are in full conflict with the mandate they themselves voted for. It gives an interesting stability. They voted in favour of the rule of action in fiscal policy, and are now the strongest critic of their own in that area. SV has the strange exercise that they agree with the mandate, but disagree with the practice and disagree with the majority also in the view of the practice. It would be exciting to see what kind of policy the sum of these three points of view would give, but it is fortunately long before we will experience it.
ParlaMint-NO_2004-03-23.ana.ud2556e304	The interpellant debate is therefore closed.
ParlaMint-NO_2004-03-23.ana.ud2556e318	There is much that could be said about the tragic situation in which the Raufoss group has come. However, I will not take advantage of this opportunity – just a few words relating to what this matter is specifically about, namely who should be responsible for past environmental sins. Per. Today we do not know the amount of cleaning up costs that will come. This may be a big problem, but hopefully nature itself will sort this out. What's a big problem, in any case, is that this insecurity makes it difficult to get new activity or to take care of the activity that already exists at previous Raufoss installations. Therefore, it is crucial that we clarify this situation. I'm very happy that a committee today supports that the state should take this responsibility for the future and thus facilitate the situation for those who are trying to get new activity and take care of the activity that is already there. We hope that this clarification will help secure the workplaces in the area. It is also the case that if you look more closely at history, it is at least morally understandable that the state is now taking on responsibility, because during the period of these environmental problems, it was the state that was responsible – this is in a way the activities that have been linked to the state through defence activities. I am therefore pleased that this case now seems to come out of the world. So let's hope that this doesn't mean that there's going to be a huge outlay for the public in the future. Even if it's not part of this, it's so that this could be an environmental disaster in the worst case. It is therefore important that you have a strong monitoring program, so that you can clean it up if you need it. It is also important to have control over the situation so that it does not evolve in such a way that any cleaning-up costs and environmental problems are greater than is necessary.
ParlaMint-NO_2004-03-23.ana.ud2556e329	Several have not asked for the floor on case No. 2nd@item: inlistbox [[Fotation, see page 2298]]
ParlaMint-NO_2004-03-23.ana.ud2556e345	At the request of the Social Committee, the President will propose that speaking time be limited to 10 minutes to the Christian People's Party Group and 5 minutes to each of the other parties. Furthermore, the President will propose that five lines of response be given to comments by members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2004-03-23.ana.ud2556e354	The proposal of the Central Party is aimed at eradicating the liabilities of health businesses for 2002 and 2003. The majority of the Committee proposes to reject this proposal, and there are several reasons for it. In the context of the 2004 State Budget, the Government Parties and the Workers' Party agreed to postpone the balance sheet requirement for enterprises until after 2005. This will mean that enterprises will have to deal with a situation of underbalance only after 2005. Before that, the operating deficit will be amortised against the balance sheet. The use of operational credit is in practice related to the ongoing liquidity of health enterprises and therefore does not have a direct link to the operating performance of enterprises, which one can get the impression in Centre Party Document No. Eight proposals. In order to show this, it was among other things. none of the entities that had operational loans at the end of 2002. However, the main argument for rejecting this proposal is that setting up a system in which the Storing is covering the deficits and liabilities of enterprises will undermine the intention of the reform. A major part of the health reform was the establishment of regional health businesses that had responsible governance and that were responsible for the decisions they made during the year, within the framework of enlargement and government. If the Storting goes on and on, covering debts and operating losses, as suggested, this will undermine the whole reform, and one will have a situation with less public health services for the money that we grant for this purpose. The second is that this will be a completely unfair distribution of health resources – the enterprises that have incurred debt will receive the bulk of the cake, while those who relate to the frameworks set up by government and growth will be punished in the next round. This proposal will thus have the same effect as document No. 8 proposals to cover the current operating deficits. It is a proposal that Stortinget has also previously rejected. I am therefore pleased that the Stortinge once again rejects this proposal and in this way is helping to underpin an important reform aimed at providing better health services to the population of the country.
ParlaMint-NO_2004-03-23.ana.ud2556e369	It is not new that Stortinget discusses the hospital economy and operating deficits. It's been a decade of practice. While the county council had previously had to recover mainly only deficits in hospital operations, the hospital's operating deficits were now made visible, and health businesses became responsible for their own finances without a «good uncle» coming and cleaning up. The proposers are now proposing a debt cancellation that is a long way from past practice. The justification is a risk of closure and centralisation in all health regions. Both through the budgetary process in the autumn of 2003 and through contacts with regional health businesses, it has been demonstrated that it is very demanding to achieve an operational balance within the limits granted, despite the fact that, through the budgetary agreement, we have provided for a one-year deferral with a balance sheet requirement and, in reality, 850 million. kr more for operation. There was also a significant demand for efficiency improvement for 2004. By amending the ISF share from 1 January 2004 from 60 pst. to 40 pst. now it will not be possible for hospitals to ‘manufacture’ themselves for profit, a situation which has created a more demanding situation. During the visits carried out by the Committee in the health regions, the impression is that hard work is being done to adapt operations to the framework. However, current operations may appear to be underfunded to risk both reductions in patient treatment volume and the need for structural changes, which are not desirable. The working party will deal with this in the ordinary budgetary rounds. We believe that indebtedness is not a proper act, because it does not provide the necessary incentives for responsible financial planning of operations. In addition, debt restructuring will not now have any impact on the operating resources for 2004, although it may have a long-term impact. It is far more important to adapt the appropriations to the operational level we actually want. However, I believe that a mistake that was made at the start of the health reform on 1 January 2002 was that the operation was underfunded. As mentioned earlier, this could be done in the former system, where the county oxygenated and covered the deficit, but not in a system in which health care establishments are fully responsible for their economy. Then I must be allowed to quote from the Progress Party and the comments of the Centre Party on page 2, first column, where it says: ‘These members believe that both the Minister of Health and the majority of Storting must take into account that there is a lack of resources and under-financing of the hospital reform from the first day that has led to the critical situation of health businesses now in.’ This is an eye-catching feature of the Progress Party, which was responsible for both 2002 and 2003, which is the subject of this proposal. In other words, the extensive sub-financing is the responsibility of the Progress Party. So to the proposal on indebtedness. It's just the center party that goes in for this. All other parties believe that any appropriations must be entered in the revised national budget or the annual budget. The working party takes the real economic situation of health businesses seriously, and we have been working on this issue for a while. Our national government stated a few days ago that it is not acceptable for an economy to force closed departments and reduced patient services. Therefore, we will strengthen the health business economy by about 2 billion kroner during 2004 and 2005. We will clarify the final level of appropriations in the revised budget for 2004 and in the State budget for 2005. Strengths must be added to the planned escalation of psychiatry during this period.
ParlaMint-NO_2004-03-23.ana.ud2556e396	It is tempting to repeat to the last speaker that the Progress Party was in budgetary agreement with the government parties, but when we saw how this worked, we proposed to correct this, as the Labour Party opposed. Let me first be allowed to refute what the Minister of Health says in his letter to the Committee, dated 18 February: ‘I would like to begin by stressing the importance of not undermining one of the basic principles of the business model, namely that it is the administrations of regional health companies that are responsible for implementing the decision of the Stortinge.’ To this end, it is said that regional health enterprises are in no way exempted from health policy governance, as health enterprises seem to believe in many contexts. On the other hand, there was a detailed management from the county municipalities and county committees we were going to leave, but the experience so far unfortunately shows that regional health companies in this field are actually worse than the county committees were in their time in terms of detail management, reporting and bureaucracy. However, a fundamental principle of the business model was that specialised health services should be equivalent in all parts of the country. I believe that health companies do not have the power, and there may be several reasons for that. The main reason why we have been briefed in this way is clearly the narrow operating economy that businesses have had from the first day, which peaks in 2004, where treatment offers are now being cut over a low shoe and health professionals' dismissal, which, of course, must lead to poorer and more diverse services from region to region. I would also like to point out that regional health companies are assigned an order role. I can't see that companies have so far mastered this job in a good enough way. I don't think it's reasonable, even with my critical questions about health companies' problem solving, to put all the criticisms on businesses about the shortcomings that still exist in the hospital reform. In particular, I believe it is wrong to attack health businesses and the reform for the economically problematic year of business. This responsibility must be fully borne by the Ministry of Health and, in particular, by the majority of Storting, which has not sought to provide health businesses and hospitals with an economy which makes it possible to use the capacity of enterprises. Even though the proposers in this document are No. The 8-proposal belongs to a party that was strongly opposed to the hospital reform, there are many relevant arguments for the proposal that we all do well to note. After all, we all have to take inwards that we want a health policy where the waiting time is to be reduced to the minimum, and that all patients with needs are to be treated in due time, we have to accept that this actually costs money – yes, a lot of money. So far in the evolution of the reform, the majority of the Biggest have not wanted to accept this, and that is why we have the problems we are currently facing. My party and I have arranged to replace the regional health companies with a state-owned independent management body, a hospital directorate. We no longer believe that healthcare companies will be able to carry out the task that was intended, which affects the individual hospital and the individual patient. The craft is about to be weakened. In the vote, the Progress Party will not support the proposers for any allocation at this time, but announces that we will come back to this in the revised national budget. On the other hand, we find the reduction in the input-based percentage so serious for hospitals that in the present setting we propose that the percentage should be reduced to 60 pst. unit prices as quickly as possible, so that hospitals must at least be able to benefit from the income the hospitals are able to obtain in the form of increased patient care. Finally, I refer to the proposal included in the vote.
ParlaMint-NO_2004-03-23.ana.ud2556e418	The representative John I. Alvheim has taken up the proposal he referred to.
ParlaMint-NO_2004-03-23.ana.ud2556e423	In the newspaper for yesterday, 22 March 2004, it was stated on the front page that approx. 7 100 doctors at the state hospitals were the sovereign wage earners, and that the settlement of the last year had ended with nearly 20 p.m. wages and salaries increase. So that's going to be approximately. 100000 kroner in salary increases for each of the approximately 7,000 armies. The funds used for this kind of wage increase are precisely the funds allocated by the Stortinget to health businesses, which are now around 56 billion kroner in total for specialist health services. What was interesting, and which is in stark contrast to that headline, is that in the same newspaper there is a statement that it is about. 15 000 children living with parents with significant mental problems, but there is a shortage of auxiliaries for many of those children to ensure that they are not congested. And when you think about the means that the Stortinge grant could have been targeted precisely for children and young people who suffer from mental problems, either their own or their parents', it's thought-provoking that so much of the funding is going to give them within the health care system that currently has the best pay terms, even better pay terms. I think it is alarming when you hear the argument of the Advance Party for ever more allocations to the specialist health service and the hospital sector, that they are also not more concerned about focusing on that phenomenon. I want to say that once you've had a discussion about the use of funds in underdeveloped countries, and someone takes care of it so that you don't get targeted to help the weakest, it's a parallel to this. It is, of course, a legitimate criticism if unaided resources are not targeted at the population of developing countries, so that they actually help those who need it. However, this kind of focussing must necessarily also be linked to the use of funds towards the specialist healthcare service. For this reason, the Swedish authorities have repeatedly called for the tools for policy-makers to withdraw governance so that the funds allocated are targeted at those areas where priority is to be given. What we have said is that we would like to be able to correct biases in the specialist health service. It may also mean increased appropriations for the service. But then we also have to be sure that those funds are targeting those parts of the business that need the most. We have pointed out that there is a particular need for funding for the psychiatry escalation plan, especially towards children and young people. And the headline in the newspaper confirms that, and there have been many other comments that have confirmed the same thing. When the drug field becomes part of the specialist healthcare service, there is also a need for increased resources to provide an adequate treatment provision to different people with drug dependence who need treatment. We see that different businesses that currently have a funding scheme that does not make it profitable to increase their activity can be affected. I can mention stress disorders as an example. We also saw in the report from the National Audit Office that reoperations of persons with hip disorders are less profitable, and it seems as if this gives priority to initial operations, so it doesn't depend on the patient's condition, but on earnings. Of course, it's a little dangerous way when the patient's condition is going to be in focus. The sum of all of this makes it unnatural for SV to go into the kind of allocation proposals that are now available from the Center Party, without targeting the funds that are granted, so that you ensure that you get something left for it. This means that we will now announce that, in the context of the revised national budget, it will be quite natural for SV to look specifically at increased appropriations, but we will make strict demands on how the funds are used. One type of strict requirement would be to ensure that directors of the various health companies, directors or doctors in already highly paid positions take on a lot of the means we grant, and that instead they target diagnostics and treatment of the patient groups most in need of a lift in terms of the appropriations provided by the Stortinget. Finally, I would like to address the proposal where SV is a co-sponsor. Thank you for your attention.
ParlaMint-NO_2004-03-23.ana.ud2556e447	The representative of Olav Gunnar Ballo has taken up the proposal he referred to.
ParlaMint-NO_2004-03-23.ana.ud2556e450	The hospital reform, where the state took over the operation and ownership of hospitals, has continued since the new year 2002, and we are now within the third year. In the last year, the waiting time has been reduced by 16 pst. for those who receive treatment or disposal, and those who still have to wait, wait an average of 30 pst. shorter time than one year ago. In Document No: 8:10 is proposed to reorganize hospitals' debt of up to NOK 3 billion. The Christian People's Party believes that such questions should be dealt with in the ordinary budgetary procedure rather than as a private proposal. Nor should we forget that the health and social budget is the largest item in the state budget, and that at present about 5 billion dollars more will be spent on the specialist services than was the case before the enterprise model was introduced. Today we use approximately NOK 25 000 per person. per capita years and is in third place, according to the United States and Switzerland. There are almost no limits to which services may be developed against various pests. In many ways, this can be seen as an infinite need that will only grow and grow. Rational resource use has therefore forced and should force itself forward. The hospital reform made no promises of enough money for anything. The financial framework has been tighter and our demand has been more effective: the waiting lists had to be reduced and productivity had to rise. And as I went through at the beginning of this post, there have also been clear improvements when this is the case. It is reasonable to believe that, with one of the most expensive healthcare services in the world, we can reduce costs without making the quality of services for each patient worse. Therefore, it would be demoralising to the health regions and health professionals who have tried to lecture, saying that they should be punished for doing the job, if, on the basis of the proposal, everyone is allowed to do a line over their debts. It is also appropriate to recall that the accumulated operating deficit for 2002 and 2003 in healthcare professionals should not be covered until after the balance has been restored, i.e. after 2005. It is also a fact that only parts of the health care providers’ accumulated operating deficits are interest-bearing liabilities. With this Document, No. The 8 proposal will therefore not increase patient treatment capacity, as proposers believe. I would like to agree with the Minister of Health when he says in his letter that it is important not to undermine the ‘basic principles of the business model, namely that the governments of the regional health companies are responsible for implementing the decision of the Stortinge’. Finally, in order to maintain the trust and legitimacy of health professionals in the population, we in the Christian People's Party believe that it is important that one still sees good results from injected resources, simply increasing patient treatment capacity, fewer corridor Asiatic and shorter waiting lists. The Christian People's Party believes that the funds will benefit patients. Unfortunately, they do not.
ParlaMint-NO_2004-03-23.ana.ud2556e471	I think that this debate has so far been a relatively private experience – as part of the second thing we are now doing around health businesses. It will be in the purest Erasmus Montanus style, where he claimed that since Mother Nile couldn't fly, Mother Nile was a stone. When it is said here that more money for healthcare companies will not give anything more to patient treatment, it is in the same way. I'm a little shocked by the things that have been pronounced here today. Among other things, the representative said that he was pleased that the proposal was rejected. It emphasises something that the undersigned has written in his statement that the majority is ‘more concerned with economic exersis and coercive management of health businesses’ than with facilitating better health care. When the representative Kristoffersen from the Workers' Party says that the hospital's operating deficit and the economy are now being made visible, I have to say that this is precisely what it is not going to be. I would like to draw attention to a report by the Riksrevision which we dealt with in this Chamber well and well a week ago, as among other things. in the case of financial reporting and accounting in health enterprises, where there was strong criticism of health enterprises and the way in which the economy of hospitals and health enterprises can be monitored, and also against the Ministry for the way in which funds were allocated. Therefore, I am disappointed that the government has not delivered the goods that we wanted to be delivered in relation to this proposal – so it got up to the majority how it was assessed. We asked the government to draw up an overview of what was the economic situation including debt, and that, in cooperation with the Government, we could make a debt cancellation, which we felt was necessary. The government has not delivered that item. Instead, they are concerned not to undermine the principles of health enterprise reform. It's going to be "principal rhyme" that really affects patients. We have since one day been concerned with the economy of healthcare companies and with hospital treatment and specialist healthcare treatment for the Norwegian population, even though we opposed the reform of health enterprises. And we are clear on the remark in the setting that the representative Kristoffersen referred to here. We believe that ‘both the Minister of Health and the majority of Storting must take over’ that the lack of ‘resources and underfunding’ has led to a critical situation in health businesses. And I want to add here from the pulpit that the situation will get worse the closer you get to the point of balance where health companies are going to be in an operational balance and have settled their debt situation. What we see now is the pressure in every regional health company to shut down, rationalize and streamline so much that the patient gets injured. The dismissal of many in the field of health must be at the expense of the patient treatment to be provided. So it's said that the waiting time is reduced. Yes, including: The waiting lists have been reduced, but it was a real cleaning up that was about to happen. We have today, among other things: more corridor Asians than ever before. But at the same time, I think there is reason to point out that we, too, who are sitting in the Social Committee of the Stortingen, know far too little about the situation in health businesses, when, among other things, it. that there is no debt in health companies today. Clearly, this is an economic situation that is so difficult that it affects the patient. We have addressed this proposal because we believe that too little money was allocated to the health business and specialist health service in connection with the state budget for this year and also for last year. Then the Labour Party and the Advance Party – according to their respective budgetary commitments – will have to fight over who is responsible. But I think that we now need to give health companies predictability and rapid notice that something will be done with the financial framework. That's what we can do, and that's what we have to do, because we're really the one who's really responsible for the entire economy and operation right now. At least we can no longer do this blackmail game to the county councils. I hope that more people will be able to support the proposal of the Central Party that the Socialist Left Party has supported. I believe that what has been said by both the Labour Party and the Progress Party should ensure that they vote in favour of this proposal today, so that a majority such as ‘bes the Government come back with a broad investigation and case on the economy and situation of the specialist healthcare service in the context of the Revised National Budget’, so that one can ‘ensure and strengthen patients’ needs for emergency preparedness, treatment and rehabilitation’. I agree with SV in what is said about drugs and psychiatry, but there is much more that needs resources here. I would like to address the proposal of the Senterpartiet.
ParlaMint-NO_2004-03-23.ana.ud2556e495	The representative, Ola D. Glütvold, has taken up the proposal he referred to.
ParlaMint-NO_2004-03-23.ana.ud2556e498	The main principle of the health reform is that regional health businesses bear the responsibility for implementing the Storting decision. This is not an exemption from political treatment, but it is a responsibility to follow up the political treatment of health enterprises’ framework conditions. A debt rescheduling now will have a number of unfortunate effects. It would undermine the governing authority of regional health enterprises and a reorganisation of accumulated deficits would penalise those undertakings that loyally follow the assumption of the Storting. I want to refer to Innst. S. No 88 for 2003–04 on changes in some chapters of the State budget, including the population’s return for 2003, where the issue is also addressed. That's what it says. ‘The majority of the Committee, the members of the Workers’ Party, the Right, the Socialist Left Party and the Christian People’s Party, indicate that the accumulated operating deficits in the undertakings in 2002 and 2003 should therefore not be covered until after the balance sheet has been restored, i.e. by 2005.» The need for the use of operational credits is primarily linked to the ongoing liquidity of health care enterprises and has no direct link with the operating performance of enterprises, such as: are affected by non-payable costs. In 2002, health enterprises had relatively good liquidity, including: as a result of holiday pay payments paid by counties this year. None of the regional health firms had operational credit at the end of this year, although the operating accounts showed a total deficit of more than 800 million. kr. In 2003 the regional health establishments raised, on a different scale, operational credit loans to cover current operations. The results of the accounts for 2003 have not yet been completed by the administration, so that it is not now clear how much operational credit has been raised by health enterprises by the end of 2003. The regional health establishments are at the end of the budget. S. No 11 for 2003-2004 required to maintain an operational balance in 2005. Migration challenges differ between regional enterprises. I would like to stress the unfortunate fact whether the Storting should intervene in such a situation and forgive debts. The majority of the Committee on Social Affairs has underlined this, and I would like to refer again to the majority comments of the Committee on the Interior. S. No 88 on changes in some chapters of the State budget, including the 2003 public deficit under the Ministry of Health, where it states: ‘The majority will also indicate that the business model is based on a system of responsible directors. A system in which operating losses are remunerated by the Storting will undermine the responsibilities of the undertakings. This will also, where appropriate, reward those undertakings which do not relate to the framework provided by the Storting and thus also undermine the model." In my view, the same arguments can be used to counter exceptional debt cancellations now, as the proposers propose. If the proposal is adopted, those governments and managements who have loyally followed up the framework conditions established by general political authorities will have a fundamental impairment of their governing authority. I would also like to point out in general that the business model is entirely dependent on the fact that there are no cultures in enterprises where there are differing and unequal speculations that established framework conditions will change. Changes to the framework conditions in this case could have the side effect of weakening the authority's regulatory framework, thereby making it more difficult to make the model work in accordance with its intentions. This is precisely why it is also important that the Storting should deal with budgets and framework conditions when the Storting is dealing with budgets and framework conditions, and not on a continuous basis in the course of the year. This will make it virtually impossible for the managers and directors of healthcare companies to do what the Storting asked them to do, and the mission the Storting has given them.
ParlaMint-NO_2004-03-23.ana.ud2556e526	It's going to be line change.
ParlaMint-NO_2004-03-23.ana.ud2556e529	SV agrees with the Council of State that a debt resolution should not be carried out now, but that it should be planned and carried out in the context of a review. We have also been involved in promoting a proposal for a broader review of the health business economy in order to be able to make targeted use of the funds. I want the Council of State's reasons why he does not see it appropriate for the majority, that is, the government parties, to join in this proposal. So I have one more question. It is linked to the essay in the newspaper that I mentioned. When the Council of State sees the wage trend that has been for some groups, especially high-wage groups in health enterprises, does he, with concern, look at this development, because it is not possible to make targeted use of increased appropriations against those groups that need it the most? In that case, how will the Council of State address it in order to prevent this development from continuing?
ParlaMint-NO_2004-03-23.ana.ud2556e536	It is the Stortingen that has adopted the Health Business Act, and it is the Stortingen that has decided that regional health companies and health companies have the responsibilities of employers in this system. Employers are responsible for negotiating pay and working conditions with the social partners. When the representative, Ballo, talks about politicians taking back the management of hospitals in the context of salary relationships, I have to ask if he intends to take back the employer's responsibility from regional health companies and put it in Stortinget. That would be very little appropriate, to put it mildly. I think it is important to make the responsible ones responsible, also for a development that I think there is reason to ask questions about. And I think there's a special reason to ask questions about a development where you get such growth in medical pay while the doctors go into action where they're going to have the Minister of Health to point out which patients we can't afford to treat.
ParlaMint-NO_2004-03-23.ana.ud2556e543	I basically agree with the Minister of Health that using debt recovery as an instrument for the hospital economy would now be very unfortunate. I also believe that it is very important that the requirement for a balanced economic operation now set at the end of 2005 remains. This does not mean that Stortinget does not have a responsibility to discuss and deal with the economic situation in the hospitals, but if we are to do so, I think we need to do so by continuously assessing whether the level of funding is correct. There I think the Minister of Health was a little unclear. I think it is important to have an ongoing political debate on whether the level of hospital appropriations is correct, even though hospitals have to deal with budgetary decisions and apply until new decisions are taken. However, a political debate on the level of appropriations in hospitals cannot be prevented.
