ParlaMint-NO_2004-10-06.ana.ud2511e24	The representative of Øystein Hedstrom will make a private proposal.
ParlaMint-NO_2004-10-06.ana.ud2511e296	The answer from the Minister of Finance may have been as expected, I have to say, if you look at the choices you've made here. We haven't had the budget for that long, but the tables that are set up there show what choices the government has made. They have made one main choice: more to those who have the most from before. We look at the tax distribution tables. And there are questions about values. Obviously, this right-wing government chooses a society where they deprioritize school, deprioritises the distribution in relation to the elderly, deprioritises health services, etc., when we see where the restrictions have come from. There are now considerable restrictions for commuters, for example, in relation to day-to-day work trips, dietary allowances, etc. Yes, who is hit by the increase in the excess, which is proposed here increased from $1,500 to $2,500? Well, there are just groups of people who need our help and our distribution support. What does this show about unemployment? Well, just that it's stuck. What do the tables show about who receives social protection and about increases on that line in Norway? It doesn't seem that this development worries the current government. It concerns us from the Workers' Party. So we're going to add up to another distribution policy. It's not tax relief for those who need it the least, but a better distribution for those who sit at the bottom of the table.
ParlaMint-NO_2004-10-06.ana.ud2511e303	I think we should be able to see that the Labour Party representative had probably written his statement before he had seen the State budget. The reality is that there are bright prospects for the Norwegian economy. Economic growth is on the rise. Optimism is back in business. New jobs are created and well-being renewed and safeguarded. The draft budget for 2005 will reinforce positive developments. Economic policy gains recognition far beyond the borders of Norway. This is due not only to Norway being given the world's best country to live today, but also to our ability to put some of our wealth aside for tomorrow's pensioners and future generations. The government's draft budget is based on a policy that has shown that it is working. When the government joined, unemployment was rising and the economy was failing. High wage increases, high interest rates and high-budget jobs out of the country. The government has been given the order in the Norwegian economy. The interest rate is historically low, the exchange rate is competitive, and income policy cooperation has contributed to moderate wage settlement. Together with tax relief and a commitment to research and development, there has been a return to business optimism. A budget is often measured in relation to the current day. A government has to think longer. If we are to secure well-being in the longer term, we need to provide a basis for increased value creation. That's why we're lowering taxes and taxes. That is why we are paying more attention to infrastructure. Therefore, research and development and innovation efforts are increasing. But perhaps even more important and even more fundamental: we're upgrading the school for our children, including our children. through several hours of instruction. The right went to the elections with a lower tax promise, and we lower the taxes. In 2005, the housing tax disappears. We have previously removed the fare and the investment fee. In 2005, 250,000 fewer top taxes will be paid, compared with 2001. Until next year, 1.1 million taxpayers will pay lower marginal taxes and the minimum deduction will be greatly increased. With new tax relief, the Government is taking the first step to follow up the tax reform. The reform strengthens value creation and thus also guarantees the basis for well-being. All income groups receive lower taxes. It becomes more profitable to work, by shifting the tax from tax on labour to tax on consumption. Each harvest a storm is announced before the budget negotiations begin. Every year we have achieved a good result. I would like to pay tribute to both the Workers' Party and the Advance Party, who have shown their willingness to cooperate in various crossroads. I don't think this harvest will be less demanding. This fall, too, we depend on one of the Biggest parties wanting to join in and label the budget line. It requires willingness to take responsibility, but responsibility also gives influence. The government parties will turn to the Progress Party first. I have recorded that there have been positive cooperation signals from the Progress Party, and I take that as a good sign. For the government parties, it is crucial that we be able to take care of and strengthen the positive development of the Norwegian economy. By increasing value creation, we will secure well-being. That is why we invite cooperation on an economic policy that helps to secure and create jobs. After the government has now submitted the proposal to the government budget, the responsibility lies for finding solutions that can obtain a majority, here in the Stortinget. In autumn 2002, budgetary negotiations took five weeks. Last fall they took five days. The difference was that last year we waited with negotiations until the central opposition parties had presented their alternative budget. It gave clearer and more transparent negotiations. Last year's experience was very good. The government parties will therefore also wait this year with a concrete invitation to negotiations after the Progress Party and the Workers' Party have presented their alternative budget. Finally, I would like to join the Minister of Finance's invitation to cooperate on the 2005 budget.
ParlaMint-NO_2004-10-06.ana.ud2511e322	The Progress Party will not use this opportunity to blackmail the budget, because there is some good in this budget. But there's also reason for some concerns, and I can't let go of the things that go in the wrong direction with our eyes. Firstly, this budget is passive in terms of the major challenges facing this country, not least in terms of health and care for the elderly, and in terms of combating crime. Here the government is unfortunately too passive, here it lacks sufficient bet. There are at least two areas in which the Progress Party will put a lot of effort into improving. Assistance is the budget winner – there is no doubt about it. But it doesn't make it any better for everyone who's having a hard time at home, and I think it's a little amazing that the government tends to forget them in its eagerness to achieve its objectives on the aid side. It is a fact that this budget provides a real tax boost through the increase in VAT for those who are the poorest in this country. They have no pleasure in the proposed tax reliefs, nor in the increase in the minimum deduction. This makes parts of the tax profile very unsocial, and it is going to be very difficult for the Progress Party to agree. Actually, with the economic situation this country is in, we should have gone the other way and reduced VAT. De facto, through this budget, it is now becoming cheaper to make money and considerably more expensive to spend money. That's why most people should now start holding on to the wallet, because everything is going to be more expensive through this VAT tightening. There are a lot of people who tolerate it, but there are also a lot of people who can't stand it, and that's what makes the budget very unsocial. Road construction is hardly mentioned either by the Minister of Finance or in the budget, as we have read. And that makes us further involved in the necessary infrastructure upgrade for Norway. It is alarming that once again we come to the agreed targets in the national transport plan that this room has adopted, once again we are in arrears, and once again we are helping to weaken the competitiveness of our own businesses by not paying enough on road construction. It is true that the government is betting more on the municipalities. But there's reason to draw attention to the fact that there's never such a small amount of numeration here, because you don't mention the billion that the municipalities are missing through the tax failure of the current year. It will be absolutely necessary to achieve the objectives set out in the municipal bill as treated by Stortinget, at least to compensate for the tax losses that municipalities now experience, which go beyond the commitment to care for the elderly, which goes beyond many important tasks that municipalities face. There are threats of flagging out 80 000 jobs in the coming years, and we know that many of our companies are struggling with tough competition conditions. This may not be the time to impose new burdens on businesses, although the high level of sick leave also worries the Progress Party. We need to look at how we can combat sick leave without increasing the financial burden on our businesses. It is also known that from the new year Sweden will provide additional relief in alcohol taxes. That's why it's worrying that we're actually going to get a boost on these through the VAT increase, if the government gets what it wants. Once again, we see a sharpening of prowess. The only thing that's almost certain every time the budget comes, is that the government is increasing the propensity. Of course, it's positive to reduce roof 2, but it's still unsocial, because you add an additional tax on disease. Actually, we're paying taxes on the tax bill just to get health services financed, but here you're increasing the burden by increasing the percentages. It is positive that the Government rates on business. New seed funds, more investment in R & D and innovation – yes, that's good. And it is positive to give tax relief through the minimum deduction, and – not least – to propose to remove the house tax. There are many additions that go in the right direction, but the biggest problem with the eye of the Progress Party is the unsocial profile that primarily affects those who have the most difficulty in our society. The state is richer than ever. It cannot be expressed unilaterally by sending even more money out of the country without being able to solve the main challenges we face here at home. We must be able to show the Norwegian people that the wealth that comes up from the oil in the North Sea is also manifesting itself by betting on the right and important areas. We accept the co-operation invitation, but I don't think it's going to be easy.
ParlaMint-NO_2004-10-06.ana.ud2511e352	I thank you for the constructive tone and also for the invitation to cooperation. Nor do I have any illusion that things are looking for a certain seagoing time in Stortinget, this also applies to budgets. But I am glad that the representative, Siv Jensen, did not repeat his pessimistic forecasts for the Norwegian economy at least, because when I presented the budget for the current year, the representative said that she did not believe in any growth forecasts, and she even said far into the current year that it is barely going around the Norwegian economy. Now we can really say that it's going around, and that we have something more money at our disposal. In our opinion, we have used them in a sensible way, as both welfare and value creation rates. I'm actually a little proud that we're one of the countries in the world that contribute most to international aid. In fact, I think it would be good for the oil country of Norway to send something back to those who pay a large part of the high oil price bill, and Norwegian aid has been stepped up over several years with quite broad political support. There should be no contradiction to doing anything about the Norwegian welfare system as well. We have a safety net that we recognize is not working well enough in relation to all groups. The combination of drug abuse and social exclusion creates poverty problems that we take seriously. But I haven't exactly noticed any deafening support from the Progress Party especially on this initiative on the drug field, for example. But if they're now invading broad stakes on our entire poverty package, I'm very happy about that. I don't know if I'm going to add up to an alcohol policy discussion as a continuation of this, but just say that I perceived the Swedish Prime Minister so that what he expressed on the radio today was that the Swedish parliament can reduce taxes whenever it wants. I'm aware of that. However, the Swedish government also has an assessment of whether all the pressure from the EU system to reduce alcohol taxes makes sense, and has taken a small time-out, a small time-out, compared to its further development. When it comes to sick leave, I think it's important to do something other than look at it. Something has to be done about it.
ParlaMint-NO_2004-10-06.ana.ud2511e368	I must first refute the claim that the Progress Party does not bet on Rustic Care. If someone has been a propellant in this room to give dignity back to many of the country's drug addicts, it's just the Progress Party. So that's the statement I want to strongly refute. It is nice that the Minister of Finance is proud of the efforts made by the Government. I hope that a possible successful outcome of the negotiations will also make us proud that we have been corrected for the poor areas of activity with which we are still struggling. For us, it will be absolutely essential to be able to get into port that the social profile of this budget improves. It will be absolutely essential for us, not least that the government parties will have respect for the essential requirements of the Progress Party. For us, it is essential that we get our hospitals on care, so that they can treat more patients and spend less time on internal organisation. It also does something for the entire working life that people do not go ill as long as they do today, because you have to wait for treatment. So health will be crucial for us. And as much time as the government has spent talking about the need to fight crime, it must soon begin to become visible in the form of a willingness to invest enough funds to do so. It's not free, we've seen enough examples of this lately, and then we have to be willing to spend the money that's going to give people a safe and secure everyday life. That's what the Progress Party will put a lot of effort into doing. That being said, it becomes a little strange with all the time the Minister of Finance has spent bullying the Progress Party because we have been critical of the rule of action for the use of oil money. So once again, the government spends far more money than the rule of action requires, and that means it's actually dead and buried. That's good, because it's not a good measure of how we're going to manage the money in the Norwegian economy. I don't understand why it would be better to invest all our wealth abroad and feed Norwegian business and Norwegian citizens when it would be wise to invest in road construction and in a number of other areas.
ParlaMint-NO_2004-10-06.ana.ud2511e377	Summarized in one word, this budget can be called non-social. This is actually classic right-hand policy, with redistribution from those who have little, to those who have more. What's perhaps the most disturbing, is that it'll intensify Difference Norway, a Difference Norway that we've seen develop over many years, a Difference Norway that helps those who have the most, get more, and those who have the least, actually have less. The Prime Minister has a commendable commitment to the poor, but it does not help with targeted measures for the poorest as long as general arrangements are put in place so that the big one actually loses out on it. If you look at the tables of private consumption and public consumption, you'll see this contrast in particular. Until next year private consumption will again increase much more, over twice as much as public consumption. That's what we see. This is what the ordinary citizen in Norway sees as the decay of the public welfare system is high, while private consumption explodes. The question is, is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is The question is whether we want budgets that reinforce a development where most of us get even better, can buy even more things, or whether we want the common consumption to be stronger, more money for what we think is important, for the care of the elderly, the kindergartens, the schools, for the community that we want to build. This paradox becomes even more luminous when you can experience ‘all hour high’ at Oslo Børs, and then we experience ‘all hour high’ for debt in Norwegian municipalities. For Norwegian municipalities, the major loser is in this budget. I have a great deal of understanding for the many Right-Rapporteurs around the country who sound like SVs, who wonder why it should be so that their own government is not able to give them money to fulfill even the most elementary tasks. The truth is, over several years, municipalities have lost tax revenue. You're going to get $1 billion in extra, so-called free income, but at the same time it only compensates for half of the tax loss. In addition, the government says it's going to bet on school, on psychiatry. Very good, much of this is positive. But where is it from this money when the municipalities initially have a debt burden and an operating deficit that makes this money impossible at all to go to what they were originally meant to be used for? I encourage the municipalities of the country, but not least the inhabitants of the country, to a municipal uprising. This country is rich enough, this state is rich enough, to spend money in a way that makes us strengthen well-being, build our schools and kindergartens further out and not depress them, as we now experience. I hope that the right-wing rapporteurs of the country will take a torch to the Stortinget. I hope that all the country's rapporteurs come and say that we do not actually find ourselves in this. Because we can afford to expand well-being. We don't have to build it further down. Where we might see the classic Right-Clone the most, is in the question of tax. We need more fairer taxes in Norway, not more unfair taxes. If you go into these tax tables, which are interesting, at the back, from approximately. page 100 and beyond, you'll see that the distribution through the government's tax is much more unsocial than what you'd like to acknowledge. Those who make more than 750,000 dollars will get almost 20 000 dollars in tax relief. Those who serve least do not receive tax relief at all. That is the reality of the overall tax regime of the Government. But not only that, 1 million of the country's social security and pensioners don't get tax relief at all, simply because it doesn't want the government to give them. In addition, we find that they get over NOK 1 billion in incremental dividends. So it's legitimate to tax disease, but it's not legitimate to tax wealth. This government is running a reverse distribution policy, which is taxing those who are sick, but not those who have a lot of money. Unfortunately, the government is not following up on the nursery arrangement. We have now understood that through various leakages. It is sad that we have a government that does not follow up written agreements in Stortinget. The nursery contract requires a step 2 when the extension has reached a certain level. We don't know that today. Having a government that does not recognise and agree to written agreements in Stortinget is very worrying when you make these kind of agreements, which means the government feels free to break at any time. I must also say that I think it is constructive to note that this government also violates the agreement with the social partners, the IA agreement; they now want to tighten the health pay system for employers. The point of concluding agreements, whether with parties in the Storting or with social partners, is that the agreements should be followed. Having an untrustworthy government is very serious. Agreements are in place to be followed when they are concluded. Now I see the president getting up, so then I might not have the word anymore, but summed up in one word: from SV's point of view, this is a very unsocial budget, it goes in the wrong direction.
ParlaMint-NO_2004-10-06.ana.ud2511e397	Let me just say that when you hear Djupedal, you get the impression of a Norwegian welfare state in total decay in one of the world's poorest countries. That can't be a correct description. I'm not going to do it on my own, but the United Nations has chosen Norway as the best country to live in, according to a series of indicators that are not economic. So that kind of black paint I think you're going to try to avoid in politics. It is clear that there will be disagreements in priority between the SV and the government parties. When Djupedal says that private consumption is increasing more than public consumption, there is a description of a private wealth of quite a few people – not just a few but a large majority – who also contribute to creating jobs. The main driver of job creation in the current year is private consumption. But the paradox in what Djupedal says is that he's calling for more private consumption. If you increase public transfers to the private sector, as Djupedal advocates, private consumption will necessarily be greater than if you don't increase transfers to the private sector. So it's about keeping a little bit of order on its system. With regard to taxes, I have to say that I miss an alternative to a tax reform that we propose, from SV and for that matter also from the Workers' Party. The reform we are now implementing implies that those with high capital incomes, incomes that go to private consumption, will pay more taxes. Those currently highest in all grades of income in Norway are not employees. There are people with more or less capital income, who can in part also take it into private consumption at a lower tax rate than ordinary employees. It's going to end. I had a little hope that SV would see the point in it, that wealth cannot only be read from those who are ordinary employees. There will be greater fairness with a new tax system and a better distribution effect with a new tax system.
ParlaMint-NO_2004-10-06.ana.ud2511e409	Let me just bring forward one of the tax changes that the Government makes, which it is easy to overlook, but which have great consequences. So you're going to go in for the valuation of shares from 100 pst. to 65 pst. That means half a billion dollars in tax relief for those in Norway who own shares. A lot of people own shares. Some people own one or two shares that they have inherited from grandmother, and some people own a little more, but the main weight of Norwegian shareholders is those who initially have the greatest wealth and income. This means that almost all of this half a billion that the Government is now issuing will benefit the richest people in Norway. It is therefore these distribution tables, which are exemplary in the budget, which also show that the most deprived are the ones. This is not in any proportion, because those who have the least get nothing. Not only do they get nothing, they even have to pay higher costs when going to a doctor or using different hospital services. That's what's at the heart of Right's policy: that you want to stimulate those who have the most, and take away those who have the least. I find it discouraging and disappointing that this government is doing so, because I have a sincere belief that the Christian People's Party really means something else. Their social dispositions I have great faith in, and I greatly share their social conscience as well. But what the Government is presenting now only reinforces the differences we have unfortunately had over the years. Differences are not just about earmarked or targeted actions for the poorest. It's about the big universal grips on how our society is going to evolve in the future, and there's a big picture of private consumption against public consumption. On the SV side, we are very clear that this rich country now needs to use more resources at the expense of private consumption to renovate the community, renovate our schools, refurbish kindergartens, care for the elderly, secure pensions and secure the future of value creation in Norway. The finance minister is quite right in one thing, and that is that people are the most important resource this country has. That means spending the community's money on refurbishment of people's knowledge and refurbishment of people's welfare is what we actually need for the future. In this way, we deeply disagree with the perspective of the Government.
ParlaMint-NO_2004-10-06.ana.ud2511e418	The budget presented to us today is a budget for optimism – optimism for business, and also for jobs, optimism for the important work carried out by the voluntary sector, and optimism for the maintenance and further development of safe and close welfare arrangements. The economic barometers show that the co-operation administration has been working on its economic policy. The interest rate, which was not long since it was 7 pst., is now at 1 pst. The krone price is at a level that makes our export-right businesses absolutely competitive. Economic growth is high, and business optimism is on the rise, while unemployment is on the decline. This clearly shows that the Co-operation Government has shown both the ability and the willingness to control the Norwegian economy and through it laid the basis for better well-being, increased value creation and more jobs. When it then relates to the tax profile in the draft budget, I would like to stress the fact that the greatest injustice in the tax system is now being eliminated, namely the injustice in the great difference between the taxation of labour income and capital income. This grip actually means more taxes to those who already have the most, and that means that the representative Nordtun's image and the representative Djupedal's characteristics are completely wrong. The Christian People's Party is well pleased with the budget that our government is presenting today. This budget will strengthen our welfare services. The budget contains a strong commitment, among other things. kindergarten, school, psychiatry and public transport. From the Christian People's Party's side, it is also natural to bring forward the efforts in the voluntary sector and on increased assistance. As we have seen, the aid budget has a record increase of 1.6 billion new, fresh dollars. We use approx. 99 pst. of all our income on ourselves. Despite many challenges in our own country, we must never forget the poorest of the poor. We must never become ourselves enough. We are therefore glad that the aid rate has now reached 0.95 pst. of GNI. Gifts with tax deductions to voluntary organizations have been a success. The deduction will now be doubled, with an increase of NOK 6000 to NOK 12 000. This is a proper reward and an important signal for the important and irreplaceable work carried out by the voluntary sector. I'm sure this increase will provide an additional stimulus for volunteering. In order to secure well-being, values must be created. The budget presented shows that the Co-operation Government is strongly committed to innovation, growth and jobs. I'm slipping over the warranty system for the shipbuilding industry. It is well received in an industry with slumped order books and will help to strengthen the competitive situation of this important competence industry in our country. We have also noted the Government's strong commitment to research and development, and that proposals are being made for tax havens that will stimulate business. For the Christian People's Party, it is important to realize that man needs more than purely material values. That is why we are glad that the rights to threat training are almost doubled in this draft budget. This gives both church sounds, trust societies, etc. in addition to the country-wide ability to provide children and young people with a safe introduction into trust and value base.
ParlaMint-NO_2004-10-06.ana.ud2511e437	There are almost only negative surprises in Foss’ last budget. It's unacceptable for the Center Party that the food will be 600 million. kr more expensive, that the flow is going to be $1 billion more expensive, that the tax on disease is going to increase by $1 billion, and that commuters are going to be punished by $600 million. kr in increased tax – all in order to reduce the maximum tax. It is unacceptable that an income of NOK 1 million will receive 70 times more tax relief than an income of NOK 120000. That's 20 pst. of all those over the age of 17 who have such low income. It is unacceptable that the local government sector will have a negative settlement. The 3.5 billion extras promised by Stortinget in ours are fed up with tax failures and miscalculations regarding the VAT reform. The government refuses to correct for that. Then there won't be one fresh penny for the excesses that the municipalities need because there will be more students, more older people and there will be more spending on kindergarten and psychiatry. It is unacceptable that rural policy instruments should be reduced and that road construction should not be carried out. It is alarming that the importance of road construction is not mentioned in the financial speech. It goes beyond the value creators that no more effort is being made on the road. The centre party will have a new political course that will give new optimism throughout the country. The government has created an appreciation break by allowing Norway’s Bank to pursue a destructive interest rate policy in 2002 and early 2003 and by emptying all tool toolboxes. It is positive that business is doing better than in the two disaster years — it should be lacking — but investment in business is still at a low level. We have a growth in the economy that gives trade chords, but few new jobs. Business managers warn of flagging out 80000 jobs in five years unless the framework conditions are improved. So I believe in them more than I believe in the Minister of Finance, who shines over the trade chords. At the top of the company's requirements list is much more means of road construction. Governments just say no, no. Norway has the resources and the available machinery and the available people. The center party says yes, yes. The budget shows that billions are being allocated too little during this four-year period, and the Centre Party wants, as in previous years, to increase the effort on road construction a lot. We propose to introduce the same calculation rate for road investment as they do in Sweden. It means a halve. It is pointless that the Svinesund bridge should be super-wage on the Swedish side, but the loss project on the Norwegian side. It says a little about how this government thinks about road investment and investment in infrastructure. The accounts show that the Government has granted 10 billion oil crowns in addition to the budget adopted each year. Prices have not even increased for that reason. The centre part has been criticized for wanting to grant almost half as many extra billions to keep the wheels in turn. We would have many more in work if our policy had been pursued. At that time, tax revenue would have increased without having to increase the rates, and we would have gotten much lower social security costs. It would be more to well-being. That would have happened because we would have moved society's most important resource from the reserve bench and onto the tracks again. State Council Højbråten has said that there are about half a million of those in working age who are not taking part in the labour market today. It's dramatic, and this is against people's will. We need to think more long-term and preventively in our budgeting. We have to be able to spend more on the state budget today when it can be earned several times in the next few years. Better roads for cars and bicycles give fewer flags. It'll give you shorter queues. It gives rise to a net increase in enterprises, more taxes. It causes fewer accidents, and fewer are ill due to dangerous urban air. It's a giant store to think like that. We have to be able to invest smarter. The oil fund provides 3-4 pst. the return on investment abroad. Local business funds have provided 5–8 jobs per year. State-owned million. With such a return, maybe 30 pst, we should spend more on it. The Central Party wants us to see opportunities in travel, in the aquaculture industry and in the maritime industries. We will focus on business support. We want a value creation program for fresh fish, and we want a development program for the inland with amounts that help. In order to achieve the optimism that we want, it is positive that the government is betting on volunteering. But why in the world are the volunteers forgotten? They do so much good.
ParlaMint-NO_2004-10-06.ana.ud2511e456	It's always interesting to hear economic theories from the new Center Party. It's the first time I've heard it, but I'm not going to close my ears because there might be something true about getting a dynamic tax policy and cutting social security costs by investing in road construction in the districts. I haven't seen anyone who should have presented that theory in its full width, but you shouldn't rule out anything. However, then, the representative Lund should be very satisfied, for this government is putting more emphasis on road construction than when the Senter party itself was in power. I also have a little problem seeing the whole of the Central Party option. It has now been presented that one of the three parties that want to form government together as an alternative to this after the election, the Central Party, takes a strong settlement with monetary policy. They want to change the instructions and mandates of the Bank of Norway and strongly advocate changes to the establishment of the Petroleum Fund, for which there has long been broad political agreement in this Chamber. It's going to be exciting to see which compromises come out of this. As for the concerns about the price increase as a result of the increase in VAT, I am not quite able to follow the comments of the representative Lund, because he is in charge, and has done so several times in this Chamber, that Norway's Bank should be criticised for not getting the price increase up to 2.5 pst. But at the same time he complains about a VAT increase that gives a price increase of 0.5 pst. When we're at the top of something that's almost zero from before. I don't know if I fully follow that reasoning. With regard to the establishment of fiscal policies and some deduction schemes, I would like to remind you that the deduction schemes are not a contribution to social cohesion or better allocation policies. Most of the deductions found in today's tax system are used most actively by those with the highest income. This also applies to the deduction of commuting. It's not the districts that use these schemes the most. Those who use the commuting discount most strongly today are taxpayers in Oslo and Akershus. There is absolutely a reverse rural policy in relation to the representative’s own contribution.
ParlaMint-NO_2004-10-06.ana.ud2511e467	I am surprised if the Minister of Finance has not realized that on the top of all the business wish list there is an increased investment in road construction, because they want to remove the bottlenecks where the cars in the companies are in line. They lose a lot of money that we don't have an infrastructure that's as good as it is in neighbouring countries. These are both county roads, common highways and tribal roads. In the South-Trande Team, there are 12 billion dollars left to repair the main roads, and it's going to take 20 years if we don't get to do a little bit more than today. The economy sees the dynamic and positive in investing in road construction, not least when we have free capacity in the civil engineering sector. The monetary policy has become as the Central Party has demanded, but it became one and a half years late. At that time, business lost a lot of its equity, because it went on their net that the crown was so strong. It was a pity that the Minister of Finance did not have the strength to intervene and instruct, which should have been done, and for which there would have been a majority in this Chamber. With regard to commuters and the importance of not punishing them financially in relation to today, a lot of people want to live a bit from their jobs, because there is a living environment that they don't want to find in the most central strokes. We think it is wrong to punish those who have made that choice. It's hard for them to sell their house and move out of there. We don't want that to happen. But maybe that's what the government parties want? Centralization costs a lot, not least for people living in cities, because housing prices go up as much as they do. It's hard to build enough in the central strata when centralization goes so fast. We want it to get smaller. We want more jobs to be available in the districts, and people who commute today should still be able to choose that.
ParlaMint-NO_2004-10-06.ana.ud2511e476	The economic policy of the co-operation administration is a good result. We have a record low interest rate, which has given everyone in the start-up phase a better economy. The unemployment rate has turned around and is on its way down, and Norwegian business is characterised by optimism in increasing investment and innovation. The government's proposals for reducing taxes on income and increasing taxes on consumption are in line with the Left's tax policy. Our ambition is a transition from red to green taxation, or in more popular Norwegian: from tax on work to tax on consumption. But the left does not want a general tax and tax tightening. The left side is too satisfied with an increase of 1 pst. VAT is taxed for those with the lowest income and an adjustment to the point of entry for the peak tax. These changes help to remove the split model. Finally, the whole complex and unfair tax model, which Left has gone against all the time since it was introduced, can be macularized. In the discussions on the allegations made by the representative of Djupedal about what was most unfair with today's tax system, I fully support what the Minister of Finance said, and what the representative of Sørfonn said about what is the most unfair. We don't want to tax the world, and we are very happy that the tax on the benefits of our own housing will be completely eliminated in the draft state budget. Increased employment and value creation are important in order to increase well-being. New nationwide seed funds located in our university cities will provide access to capital to develop future jobs. This, together with an increase in the Fund for Research and Innovation by DKK 3.2 billion and an increase in the funding of the TaxFUNN scheme, shows that the Cooperative Government is investing in innovation and innovation. Increased efforts on public transport and environmental research, the first step in the implementation of the tax reform aimed at removing the sharing model, and increased efforts for more security through, inter alia. increasing the rights of the police to good left policy. Never before have so many travelled by public transport. The large-scale contribution of the left to public transport results. Left's Minister of Transport, Torild Skogsholm, has provided more to the collective than the Government's laws in the Sem Declaration, and public transport has been strengthened by $4 billion in four years. The system of compensation for large cities investing in public transport has been a success. The left has been part of a reduction in ticket prices or a better route offer in all major Norwegian cities. Therefore, it has been important for us to strengthen this scheme next year from 75 million. NOK 115 million. kr. A quarter of greenhouse gas emissions are from the transport sector. If we are to meet our climate commitments in the Kyoto agreement, we need to stimulate the use of new technologies. A tool is to use differentiated charges that stimulate increased bets on zero-emission technologies. Left will have a large bet on hydrogen as a fuel. Both the Minister of Transport and the Minister of Agriculture are strengthening efforts to test alternative fuels and environmentally friendly technologies. Left's good at it. For the Left, welfare policy is primarily about giving all people the opportunity to master their everyday lives. We stand for a freedom that creates security. An extended security is also an extended freedom. Thus, the fight against violence and crime is an important element of a liberal welfare policy. The left is very satisfied with the fact that the police budget is actually increasing by 250 million. kr. Police are given more resources to strengthen prevention, especially among young people, to be present in acute situations and to fight organised crime. The contingency plan for mental health is on track. Increases in operating rights and investments at the base of DKK 1.6 billion will enable us to achieve our goals of a society where each individual can manage to create a presence where a person experiences belonging, maestroism and meaning. Better treatment for our drug addicts has also been a heart issue for the Left. The number of drug users who receive a good supply has increased in recent years. Increased efforts for drug-assisted rehabilitation by 20 million. SEK, at the same time 70 million. spending on various measures to strengthen local authorities’ efforts and 10 million. to strengthen the housing sector will increase the quality of life and the dignity of our many drug addicts. The social responsibility of the left does not stop at Bordere-Jakobself. The increase in resources to help people in great need is an important issue for the Left. I could have mentioned many other chapters that show that the Left has had a positive impact on many of its priorities, including: 500 million. to enhance the competence of teachers. But the most important job that the Co-operation Administration has in relation to its budget, namely the fight against unemployment and the contribution to creating new, forward-looking jobs, I hope is also a goal for the Storting during the treatment of this state budget.
ParlaMint-NO_2004-10-06.ana.ud2511e514	The framework grant to municipalities has been increased by NOK 2 billion. It does not cover the increase in the expenditure of the municipalities. The local economy should be strengthened more than proposed by the Government. Otherwise, the tax burden will only be shifted to people's homes and homes by increasing the property tax on housing. The government will introduce VAT on the sale of second-hand goods. That means you have paid VAT once, but then you have to pay VAT for the second time. A general VAT increase of 1 pst is proposed. in all fields. Instead of increasing VAT, it should have been lowered. It's a little strange that you have to pay VAT on the food you're packing in, and that it increases gradually. Some municipal charges paid to the municipality are subject to VAT. So, the state has to make money for people to pay a fee to the municipalities, a fee that is already high enough. It is proposed to introduce an inspection fee for the fishing fleet of 19 million. kr, which shall cover the administrative costs related to the control of fisheries. Where, then, is the money being collected that would cover the government's expenditure for control? Where's that money going to be? Are they going to go to the State Box, in the black hole? The government will also allow the levy to be introduced in a new law on saltwater fisheries. The coastal party is going against it. Fee on the trade mark register has now been proposed for 20 million. kr. What has to be paid for was previously done free of charge by the brand supervisor. So now the fishermen have to pay 20 million. kr for what was previously free. It's not very social. The teeth are part of the body, but according to the reimbursement scheme they are not part of the body. There are many people who can't afford to set their teeth, because it doesn't go under the reimbursement system and it doesn't go above the credit card. One would almost think that the teeth were part of the body – they are. Everyone sitting here in this room has teeth, now I think. The Director of Fisheries will have 10 million. Extra kroner. Still, it's haunted by Lofotopp's vision, which was created in 1873 by good people to get order on the Lofotovet. Now non-qualified people are going into that building. Before, you had to be a skipper in order to be able to be on board a television boat at all. So now they have to be manned with their own inspectors. Now the navigation requirement has been removed, but they still get 10 million. kr. The state road system – now it is no longer called the state road system, called Mesta – has received 250 million. kr extra nationally. It's too small, and it won't take care of the invested capital and infrastructure we already have. It's true that business is fighting for better roads. That would be the best they could get for Christmas. But to stag away the money abroad, we do. The Petroleum Fund is growing, but we can't afford to take care of our own infrastructure. Strange, you ask me. We've done it before. At the beginning of the 20th century, we had 50 million. kr in the State Reserve Fund. Where did that money go? They disappeared in 1923, when the fund was dissolved, and then it was halved, in 20 years. Has anyone heard this before? That fund was placed in secure papers and government bonds. Have we heard this before? Yes, we do. The Coast Party believes that the ferries in the country should be free. A rate increase of 3.6 pst, which is proposed, is not very tricked. We have suggested here in Stortinget that there should be free ferries, and we got it down. 184 million. kr proposed for racial protection is too small. Every harvest and spring day people live on the outskirts with unsafe roads, and that's not satisfactory. We are against open tendering round on the fast route, because it should be Norwegian. If it's not Norwegian, we can't fight in this room for the fast route.
