ParlaMint-NO_2004-06-17.ana.ud979e245	The representative Audun Bjørlo Lighthouse will make a private proposal.
ParlaMint-NO_2004-06-17.ana.ud979e366	The Christian People's Party has at least done a large number in the past of the fact that the party has a great heart for those who need help and care. The government wants more competition and inspires private, commercial solutions in the care of the elderly. We know several examples that unfortunately it has given unworthy relationships to many older people. The unfortunate experience would mean that a stop is set for these attempts until we know the effects of them on the users and for them to add. The question must therefore be answered as follows: Why won't the Christian People's Party assess the consequences of a competitive postponement? Is the representative of Østberg concerned about what such an evaluation would reveal?
ParlaMint-NO_2004-06-17.ana.ud979e377	Neither for the Christian People's Party nor for the Government, as described in the proposition, competition is some goal in itself. Competition is one of several means of achieving greater efficiency, in order to achieve better solutions. With regard to the evaluation of trials carried out, I would like to remind you that all institutions have continuous oversight, and this is being carried out in the best possible way.
ParlaMint-NO_2004-06-17.ana.ud979e384	Despite the fact that the Advance Party and the Government Parties have entered into a compromise on the municipality proposal for 2005, there are certain dividing lines. What I want to challenge the representative of Østberg is the dividing line that goes on incorporating earmarked grants. It is tempting, what the government parties say and believe in relation to giving local self-government and the freedom of local politicians to deal with the funds through free income. But my question to Østberg is: is there no concern about giving the municipalities free income when we see that the priorities can be different around Municipality-Norway, which could result in those who really need the resources suffering from local priorities?
ParlaMint-NO_2004-06-17.ana.ud979e391	Different priorities around the different municipalities I think are both right and right. I think it's right that we should allow the municipalities to find the solutions that are right in the respective municipality, and not make A4 solutions for everyone. That is why it is important that there is great freedom. In the case of earmarked grants, we must not apply them to general schemes, but only where there are individual municipalities doing a job for the whole country or for a large region. When it comes to the question of whether you don't see the danger if it affects those who suffer the most: yes, and then we have to have a supervisory system, so that this is pointed out. I'm not very afraid that such things will occur.
ParlaMint-NO_2004-06-17.ana.ud979e400	How we prioritise the common well-being and school as cakes grow is a matter of value. For SV, it's a value question that when we get richer, first of all, we have to make sure that those who have a hard time get a share in that wealth. We're going to spend a lot more on providing care and care and a good school than on helping to increase the private consumption of those who have a lot of time already. It is with both amazement and - I must say - a little sadness that I perceive that the Christian People's Party is now one-sided with the Right, and believes that it is more important that private consumption increases many times more than the public welfare we have together. How can it be that the Christian People’s Party suddenly believes that more new private cars are more important than more new school books and more help nurses to help those who need it the most?
ParlaMint-NO_2004-06-17.ana.ud979e407	The Christian People's Party agrees that when we are rich, we must at least be able to care for those who are poor. For us, it is important that we find solutions where we focus the arrangement on those who really need the help. Strengthening school is important, and during a three-year period, all books in school are replaced. But we also make some reforms, including: Those who are rich and really can afford to pay for a nursery place, now pay a maximum price as a result of which they get as much as those who could really need the help better. The government is the first government to really put forward an action plan to deal with the poor.
ParlaMint-NO_2004-06-17.ana.ud979e414	The cord shift is over.
ParlaMint-NO_2004-06-17.ana.ud979e418	The Christian People's Party agrees that when we are rich, we must at least be able to care for those who are poor. For us, it is important that we find solutions where we focus the arrangement on those who really need the help. It's important to strengthen the school. During a three-year period, all books in the school are replaced. But we also make some reforms, including: Those who are rich and really can afford to pay for a nursery place, now pay a maximum price that makes them get as much as those who really need help better. The government is the first government to really put forward an action plan to deal with the poor.
ParlaMint-NO_2004-06-17.ana.ud979e425	The cord shift is over.
ParlaMint-NO_2004-06-17.ana.ud979e428	The municipality is the dominant welfare builder in our country. It's easy where very many of the welfare services are created. Very many people who need welfare services turn to the municipality and ask for help. It's been like this in our country for decades. I feel sure that most of the people want it to still be like this. The Labour Party would like to pursue a policy that would allow the municipality to be the crumbling point for the provision of welfare services. The municipality can operate to provide equivalent services. Moreover, the municipality can be the guarantor of political governance of welfare, not market-driven. The government, on the other hand, is responsible for another policy. It clearly states that the objective is to increase the use of competition in the municipal sector. "The Government therefore considers that several municipalities can use competition exposure as an instrument to improve efficiency and improve the quality of service provision"; is named in the Government's own language theme. Solberg State Council requires more competition and it shall provide more efficiency. It shall provide for greater savings in the municipal budget. The Labour Party is then determined to be a member of the public sector. However, this need must be balanced against the desire to provide good quality services. We reject the Government's unilateral focus on the postponement of competition and privatisation. There are many examples of people in need of help and care. The Labour Party will stop all attempts at postponing competition in the care of the elderly. Sick home spaces shall not be test cloths for exposure to competition. Such experiments must be stopped. The consequences for the quality of services have to be assessed. It must also be the order of the working conditions for them to be added. Unworthy conditions in private, profit-based hospitals should be foundational good enough. We have also registered another side of the shadow of the competition in the municipalities. Very often, the conditions for employees are clearly weakened when private operators come to path. Wage, employment and pension conditions are normally affected by the suspension of competition. This is how employees' terms and conditions will be affected by the Work party's request for a stoppage. Therefore, if a municipality first decides to launch a service, we propose that clear requirements should be met in the procurement criteria. The offerors who wish to impose their conditions worse than those already imposed by the municipality will no longer be in the competition to take over the operation of the municipal service. I note that the Government Party and the Advance Party reject such a proposal. It's a negative censure to, for example, care workers in many municipalities. The government proposes that part of the corporation tax be returned to the municipalities. The large number of speakers was negatively surprised when the distribution came on the table. Not only those who suffered great losses for their own municipalities, but also spokesmen in municipalities that are interested in the new proposal, are clearly critical. They say that the distribution of funds is unparalleled. There are municipalities with an income level below the average that tend to convert, claims the government. It's a statement with a lot of exceptions. I know that many municipalities that have low tax incomes suffer some significant losses because of the government's new proposal. The municipality of Skien has a tax income of 91.8 pst. of the national average. However, the municipality loses 10.3 million. kr next year if the Government reaches with its proposal. Fredrikstad is so determined in the same situation. The municipality has a tax income of 88.7 pst. of the national average. The economic loss next year will be $12.2 million. kr. There are many similar examples. On the other hand, there are municipalities that have relatively high tax revenues and receive financial benefits from the conversion. Stavanger is a municipality like this, which has a population of 96.8 million. kr of the change proposed, while the municipality has a tax income of well 116 pst. of the national average. It is a fact that the proposal put forward by the Government on corporate tax will lead to varying incomes for municipalities from year to year. Framework transfers that are reasonably constant will be replaced by variable and more uncertain tax revenues. For municipalities, corporate taxes are clearly more unevenly distributed than taxes from personal taxpayers. The Government proposal will increase the income gap between municipalities. In turn, this will lead to an even greater difference in service provision than it is today. Not enough with that: the proposal to refund some of the corporation tax will result in a large and unacceptable redistribution of funds between municipalities. The working party cannot stand behind it. We think that the whole thing needs to be evaluated in a larger context of the Income System Selection, which is now at work. It has to be assessed whether part of the corporate tax should really be returned to the municipalities. In addition, income bias must be considered in relation to the effects of corporation tax. We believe that the selection must also assess the use of tools that can motivate more than tax cooperation between municipalities on industrial policy. Unfortunately, if we're going to take the municipal sector on the pulse today, it's not a bright picture. Every day for many municipalities is difficult. The government has no hope of finding a solution to the problem. There is currently an economic imbalance in the municipal sector. There is no match for the tasks to be solved and the resources to be allocated. The Central Association of Municipalities has been demonstrating this for a long time. For this reason, a plan between the State and the local government sector analysing the actual situation has been proposed. Unfortunately, this requirement has been rejected by the Government, strangely enough. The Labour Party believes that a mandatory plan on the financial imbalances in the municipal sector must be drawn up. Then there must be a task for the Storting over a few years to grant permission so much that the local government sector comes out of the economic misery he is currently living in. Before that happens, there will be no peace around this controversial matter. Yes, I do believe that the Council of State Solberg itself realizes. Select one quarter of the municipalities and municipalities are now subject to state supervision. It tells a lot about the economic situation in the municipal sector. Never before has the number of municipalities with heavy economic problems been so high. Besides, it is a strong and clear signal that the role of the populace is under great pressure. Many places are the state that has the real governance. Unfortunately, there are several dark clouds: by the end of 2003, the deficit in the municipal sector was DKK 13.1 billion before loan transactions, making up 6 pst. of the revenue. The economic situation in the municipalities has deteriorated significantly under the Government of Bondevik II. We are witnessing that welfare provision in many municipalities is under great pressure. Well-being is being built into many places. It frameworks the provision of elderly people with a high level of care. The money problems in municipalities lead to poor training for the elephants. The toughest frame is the student who needs the most support, guidance and active follow-up. The weakest party is the most vulnerable. That's critical. The difficult everyday life that characterizes many municipalities requires political action. The Labour Party believes that the most important point is that the local government sector has too little money to help with. Therefore, it is necessary to increase the economic framework substantially beyond the Government's proposal. The working party suggests that the frame be increased by 3-4 billion dollars for next year. The whole crop shall be free of income. The proposal from the Workers' Party will provide Bergen with an additional income of at least 121 million. In addition to the proposal from the Government, Tromsø will receive a win of at least 27,4 million. kr. As a result, care for the elderly will be of higher quality, and for the benefit of the elephants, better training will be provided. This creates optimism. This strengthens well-being. The central point for many municipalities is this: it is very difficult to keep public welfare because resources are not coming. In turn, this could lead to a decline in the quality of public services. Then the arena is open to private solutions. Swallows feed a municipality financially, lay a basis for the launching and privatisation of competition. The Labour Party will fight against such a policy. There is every reason to note that the government party is supported by the Progress Party. The economic everyday life of municipalities will be very difficult next year. Reactions are likely to be strong from users of the services and those added to the community sector. I would like to mention proposal No. 5, from the Workers' Party.
ParlaMint-NO_2004-06-17.ana.ud979e475	The representative Sandal has taken up the proposal he referred to. It's going to be line change.
ParlaMint-NO_2004-06-17.ana.ud979e480	The new political regime in Trondheim has made sure to give the LO League, the trade union, not only a hand on the steering wheel, but also a foot on the brake. Workers' amendments shall be followed up and developed by working groups. Decisions shall be taken through a steering group composed of an equal number of representatives of politicians, administrations and employees. Decisions shall be taken by consensus. In other words, everyone involved has de facto veto rights. The most serious thing, however, is the impact such an agreement can have on democracy. It is important to work closely with employees in conversion work, but there is so much power in the hands of actors who are not at the mercy of the people in elections. Another side of the case is that the Workers' Party receives large amounts from LO every year. In return, the Workers' Party is going to give the union a strong position, which goes straight into municipal proceedings. Does the Workers' Party wish to extend the contract? Does the Workers' Party wish to extend the contract to the State?
ParlaMint-NO_2004-06-17.ana.ud979e491	There is no sensation that the Labour Party is proposing to develop welfare policies in our society, at both local, regional and state level, in dialogue with them. Whether they're organized in the LO Federation or in the Association outside the LO, it's not a matter of whether we listen to and take into account those views and recorded them. There is a fundamental difference between the conversion policy we want in the municipal sector and the policy put forward by the representative Gitmark and the government. We say that as an alternative to the competition and privatisation for which the Government is now a strong exponent, we will have the conversion in dialogue with them added, and we will also grant permission to that kind of action. We actually suggest that in the setting, and we refer to the very good experience we have with the model municipality trials in Sørum, Porsgrund and Steinkjer.
ParlaMint-NO_2004-06-17.ana.ud979e498	The representative Sandal from the Workers' Party used very much of his post to express his opposition to the competition. Sandal suggested that further competitive outsourcing in the health sector and care for the elderly should be stopped until the impact of competitive outsourcing has been evaluated. This is a very strange proposal. Does the Workers' Party really believe that the State should prohibit municipalities from postponing competition? In this case, is there a prohibition on postponing competition in line with the principles of respect for local self-government? I'm just asking!
ParlaMint-NO_2004-06-17.ana.ud979e505	There is a fundamental distinction between the government party and the Progress Party on the one hand and the Workers' Party, SV and the Centre on the other in the view of the launching of competition and privatisation on the other. It is a non-new date separator. It has materialised strongly in the municipal committee's settings throughout this large-scale process. When the Labour Party and the other two parties with which we share our views on this matter, think that we need to know the consequences of competitive outsourcing and this focus on profit-based health home services, which we have seen are very unfortunate in several municipalities, it is to protect the supply to the users and give it a real quality. In fact, it is also important to ensure that the working conditions for those added are maintained in a proper standard.
ParlaMint-NO_2004-06-17.ana.ud979e512	SV is very pleased that the Workers' Party, SV and the Centre are now united in terms of the municipal economy, that municipalities should have both a greater share of the increased social burden, a greater share of well-being and school, and that a plan must be made to correct the deficit in the municipal sector. It's an important road choice. Then it is with the greater disappointment that we experience that the Workers' Party for the second consecutive year concludes an agreement with the Government on the revision of this year's budget, without a single penny to the municipal economy. It might have been possible to understand if it was such that the income assumptions in the local economy were as they were when the budget was adopted - because this is a revision - but they are not. The tax failed by 3.4 billion compared to the baseline in 2003, and appears to be failing by 2.3 billion in 2004, if the forecasts turn out. Can the Workers' Party provide any reasonable explanation as to why they failed to get one penny to the local economy?
ParlaMint-NO_2004-06-17.ana.ud979e519	I thank you for the kind views expressed by the representative, Andersen. I'll try to be kind. Actually, the representative did not entirely hit Andersen, neither the right case nor the right day; it is tomorrow The Stortinget is debating the revised national budget for 2004, but I am still going to be kind and answer the question. The working party should focus on the emphasis on money for the municipal sector for the management of the municipal bill for 2005. When it relates to tax revenue, under different governments it has been that if it has been more tax revenue than foreseen, it has been retained by the local government. From 1993 to 2003, there has been higher tax revenue in all years from 1993 to 2001 than in the current and current budget. When revenue fails, the municipal sector must take responsibility for it.
ParlaMint-NO_2004-06-17.ana.ud979e528	The cord shift is over.
ParlaMint-NO_2004-06-17.ana.ud979e532	The government follows up its policy of strengthening local democracy and increasing the urban space in the proposal for the 2005 Municipal Proposition. It is a policy to meet the most key challenge for the local government sector in the future, namely increasing demand for and increasing demand for good and adapted services. Here, it is enough to point out that demographic developments with more older and more pupils in primary and secondary schools are moving towards increased expenditure in the municipal sector in the next few years. I think it is important to stress that closeness to citizens gives municipalities a good starting point to adapt services to local needs and to see different services in the context. In the future, it will be a major challenge to secure skilled labour that can provide the services that citizens demand. We will then take seriously that many of the country's municipalities will experience that they are too small to be able to offer wide and attractive professional environments that are competitive. It will trigger that stronger and more robust municipalities will be an important prerequisite for both being attractive employers, maintaining an equivalent service offer and ensuring a well-functioning local democracy in the coming years. For us in the Right, the vision is still more local democracy. It means more power, more authority and more room for action for the municipalities. We want to decentralize tasks, authority and responsibility. Right will have less government governance and less detailed regulation from Stortinget. We trust our own and other parties' local politicians. In fact, we believe that they are at least as concerned with designing comprehensive and good welfare offers to the population as what we rich politicians are. Maybe there's still something about the fact that whoever's wearing the shoe knows where it's pressing. We have to take it inward that local conditions vary widely around the country. We know that the needs are different, and then we think it is important that the individual municipality should control itself and its resources as much as possible. That is why we in the Right are positive that the Government believes that municipalities should be financed within a framework and that, on this basis, efforts are being made to reduce the number and extent of earmarked grants. The simplification, coordination and reduction of legislation and reporting aimed at the community sector are also very positive. I would also like to stress the need for the state governance of the municipal sector to be balanced between the need for an equivalent service provision for all and the needs of the local sector for maximum freedom to adapt their services to local needs. There is a need for even better framework conditions and more space for action to stimulate innovation, change and development. A vital local democracy is a great value in itself, and I am pleased that the Government will provide local democracy with a broad framework and a large space of action, supporting local development work in the municipalities, which contributes to greater efficiency and good social development. To be quite specific, framework funding is about reducing the amount and number of earmarked grants, it is about returning a share of corporate tax to municipalities, and it is about revising the income system. Furthermore, we talk about simplifying reporting from municipalities and better coordination of state supervision of municipalities. I am also concerned that we are stimulating the increased use of competition exposure, and the keywords here are municipal audit, VAT compensation, the competition portal, user choice counsellor and the efficiency network. I also hope that the work of the local democracy commission will strengthen the status of local democracy. I am pleased that the government parties have concluded an agreement with the Progress Party on the municipal proposal for 2005. The important elements of that agreement are that the framework for the municipal economy for 2005 presented in the municipal proposal should be maintained. Furthermore, it ensures that the growth of free income is to be allocated in a co-ordinated manner between municipalities and county councils, and we assume that within the growth of total income there are sufficient resources to follow up reforms and action plans. The agreement also requires that a share of corporation tax be returned to the municipalities from the budget year 2205, but the government is therefore asked to come back with a special case early in October, where alternative models for implementation are investigated. It is also important for me to stress the continuing need for efficiency in the municipal sector, where KS itself has pointed to a potential of half a billion kroner. For me, the return of a share of the corporate tax to the municipalities is an important part of the municipal scheme for 2005. The objective of such conversion is, of course, to strengthen the incentives of local authorities to promote economic development, thereby ensuring the establishment of a business. I know from my own experience that such a proportion will stimulate local bets and not least local attention to facilitating the development of local value creation. I agree with the introduction of a system of symmetric income balancing in the municipal income system in order to avoid the most unfortunate distribution effects between municipalities, while at the same time helping to maintain incentives for economic development. The agreement between the government parties and the Progress Party gives us an opportunity to dive a little deeper into the model choice as to how this should be put into practice. In fact, this gives the municipalities a little less predictability for the municipal economy in 2005 than I would have preferred, but the important thing for me here is that we are now ensuring the implementation of the scheme with the return of a share of the corporate tax to the municipalities from 2005. I would also like to dwell a little on the VAT compensation, and refer to the majority comment of the government parties and the Advance Party of the Budget. S. No 5 for 2003–04, where the Government was asked to pay particular attention to the fact that the neutral VAT scheme should not provide for an accidental redistribution in the municipal sector. In addition, the government was asked to explain in the 2006 municipal proposition how reimbursements and withdrawals were balanced in 2004 and to provide an overview for the sector as a whole and for each municipality and county, at the latest presented in the 2006 government budget. We assume here that proposals are being made for the creation of any unintended redistribution of the scheme. There is also reason to say a few words about intermunicipal cooperation and possible association of municipalities. This may be a good incentive for more appropriate organisation in parts of the municipal sector. For some, association with other municipalities may prove appropriate, but I think it is important that intermunicipal cooperation and community associations are based on volunteering and local initiative. But to me, intermunicipal cooperation cannot replace a robust and sustainable municipal structure. Overall, I would like to say that in 2005, the municipal sector has a good starting point for delivering good results. As it now appears, the real growth in the total income of the local government sector from 2003 to 2004 can be estimated at 3pst, or more than 7bn. The growth of revenue in 2004 is thus the highest since 1997. Now, we are going to take a small reservation on the tax intake in 2004, which the first few months of this year is slightly lower than budgeted. Now we have indications that this could be corrected in the second half of the year, but still there is some uncertainty about these estimates. The real growth in the free income of municipalities in 2004 is thus estimated to be close to DKK 5 billion. When we subtract that demographic developments result in an increase in expenditure of well over DKK 1 billion, we also have to take into account that municipalities will also benefit from the fact that the average level of interest rates is estimated to be lower in 2004 than in 2003. This could enable many municipalities to strengthen the financial situation and balance sheet. It is still tight for Kommune-Norge, but at the same time there is a lot of positive about modernising and improving the service provision. The 2005 plan is a good follow-up to this work. I therefore recommend the proposals that have been put forward here, which are part of the agreement between the Right, the Advance Party and the Christian People's Party.
ParlaMint-NO_2004-06-17.ana.ud979e566	It's going to be line change.
ParlaMint-NO_2004-06-17.ana.ud979e569	In the Right we have confidence in our own and in the local politicians of others; it knows best where the shoe prints, which has it on, said Hogsnes. Does the Right also have confidence in the rapporteurs of the Right and the Christian People's Party when they describe the situation in the local economy as reasonably dramatic, or does the Right perhaps not have so much confidence in the opinions of the rapporteurs? The gaps also point to the need for conversion and efficiency. If the Right believes something more about conversion than just privatisation, then why does Right object to supporting conversion projects using a model such as: has been carried out in Steinkjer and Porsgrund, and has been shown to be very successful? Is it because they are opposed to conversion, or is it because they want to separate the myth that employees are against conversion?
ParlaMint-NO_2004-06-17.ana.ud979e578	Me and the Right and the Government parties have confidence in Norwegian rapporteurs. Of course, we have confidence in those of our party traps that now express that it's tight. It is in many ways a bit of their job as rapporteur - and I know a lot about that. I have sometimes also said to some rapporteurs that these speeches may have been better even when I myself was rapporteur. The job is to focus on the fact that they want the best possible conditions for themselves and theirs. So ask the representative Schjøtt-Pedersen why we say no to the model community trials. It is not a proper presentation of the matter. The government supported these pilot projects, but what we've been asking questions about is why some people can't help letting these trials go a little further, and also allow more competition.
ParlaMint-NO_2004-06-17.ana.ud979e585	In previous line changes today, we have heard that the Workers' Party wants to stop all forms of increased competition, and especially where private people are in and operate hospitals. Now we know that there have been unfortunate conditions in many public hospitals. In fact, numbers show that it can be as much as 30 pst. of the nursing homes in the care of the elderly who are missing. I would like to have asked the representative Hogsnes whether he wants to use the Workers' Party's method and shut down some public hospitals or stop that process. But I won't. My challenge to Hogsnes is: Will we get safer funding and better conditions in public elderly care, nursing homes and care if we use a different funding model, so that the money is more closely followed by the user, and so that the user himself becomes the quality guarantor of the offer he should receive?
ParlaMint-NO_2004-06-17.ana.ud979e592	For the Right and for the Government, it is very important that we always reach out to get the best possible offer, get the most out of the resources we put in, and find the best solutions. It's about the needs of our citizens, it's about those who are actually our sponsors. They're not always as busy as the politicians of who does the services, they're more concerned with what and what services they get, and they get them when they need it. I'm of those who are accused of us adding more to systems where the resources follow the user. It gives an freedom of choice, but it obviously requires a system where there is something to choose from. That is why we are responding to those who are consistently trying to prevent any opportunity to create these choices.
