ParlaMint-NO_2004-10-27.ana.ud698e27	The called alternate of the Hordaland County, Pål Kårbø, has taken the seat.
ParlaMint-NO_2004-10-27.ana.ud698e270	No, it's not. I say, of course, this is not a simple matter. And these are dilemmas. I recognize that openly. That is why we are dealing with this quite carefully. There was no despatch case where it was just putting a stamp. I can assure you. Norway's position on the war was and is clear: we did not support it, it did not have a sufficient basis for international law. And this is made clear to the top of the United States, face to face with the president, both before and after the war broke out. There should be no doubt about that. I have also said – in brackets – clearly about what I think about the US prison treatment in a prison in Iraq. No despatch case! We evaluated it carefully, but we have assessed it in the same way as other countries did, among other things. Sweden, as on 20 March, the day the war broke out, said that they would not stop their arms exports to the United States and the United Kingdom – Sweden, which is not even NATO!
ParlaMint-NO_2004-10-27.ana.ud698e277	There will be three follow-up questions – first Kjetil Bjørklund.
ParlaMint-NO_2004-10-27.ana.ud698e280	Let us state that the issue of the loan of laser target lighting equipment is not known to Stortinget and as such is the government's obvious responsibility. So the defence chief command was occupied by the formal and expected, according to the NRK yesterday, a national approval and a UN resolution. In the evening post today, an e-mail from the Defence Logistics Organisation is referred to the Rome-based technical workshop, which refers to a decision in the Stortinget on 6 March 2003 that this equipment can be borrowed. Is there a decision in the Grand Duchy of March 6? And in what way was the Chief of Defense made aware of this decision?
ParlaMint-NO_2004-10-27.ana.ud698e289	I do not have a quick overview that there was a decision in Stortinget. We have not asked the Stortinget about this or other individual matters, but we have built on the incorporated guidelines and the practices that existed. And I think it's very important that it is maintained. This is a relationship of trust between allies, and there will be major problems in our defence cooperation if the Stortinget is to decide on individual matters in advance – whether it be sales and exports or loans. I think that's not going to work at all, and it'll go to our position in NATO loose. But the representative Bjørklund himself had a written question exchange with the Minister for Foreign Affairs on a similar matter. SV got an answer, like the answer we gave in this laser case. SV did not prosecute the matter into the storeroom – one had all the possibilities if one wanted it. Therefore, it is strange that one of them is now so busy that it should have been in Stortinget.
ParlaMint-NO_2004-10-27.ana.ud698e298	Jens Stoltenberg – for follow-up questions.
ParlaMint-NO_2004-10-27.ana.ud698e301	I would like to commend the Prime Minister for his clear recognition that he has gained experience which means that he is now opposed to proposals he was in favour of in 1996 and which he believes today are equivalent to the Norwegian statement of NATO. I think that's good. What is not good is that the Prime Minister continues a hacking on SV that I believe is out of proportion to the recognition he himself has obviously received. On many points SV is significantly more responsible in opposition than the Christian People's Party was in opposition. So they're in opposition to the Christian People's Party in the opposition for when it comes to arms exports, without me at any time accusing Kjell Magne Bondevik of being NATO opponents or outrageous in security policy. We also belong to the Swedish Ministry of Finance. SV spends less money in opposition than the Christian People's Party spent in opposition. I therefore have every reason to believe that it will be very easy to cooperate with SV in a government, and I believe that the new recognition of the Christian People's Party means that they should run into criticism of opposition parties, especially because they went further in several areas when they themselves were in opposition.
ParlaMint-NO_2004-10-27.ana.ud698e308	That was a strange question. I thought this was a question time, and not a nice post that Stoltenberg could have held at the SV's national meeting, to which he will be invited. [[Laughter]] Now I understand that SV has become very responsible in economic policy and in foreign and security policy. I have also said that I do not think it takes many minutes in the government negotiations – if they are able to do so – before SV has stated very many of its positions, whether it concerns gas power or the EEA or monetary policy, etc. It's going to be very interesting to follow this development. But the characteristic that they should be more responsible than the Christian People's Party when they are in opposition is, of course, far from reality. I would like to sit down with Stoltenberg and go through both foreign and security policy and economic policy and prove what he said.
ParlaMint-NO_2004-10-27.ana.ud698e315	The Prime Minister chooses even if he wants to respond – just to mention it. Åslaug Haga – to the last question of follow-up in this round.
ParlaMint-NO_2004-10-27.ana.ud698e320	The central party believes it is legitimate to have a weapons industry. But it demands that one has reasonable information channels between collapse and government, and there are precisely these information channels that the Government has now created uncertainty about. That the flow of information is not working is illustrated by the fact that, in the Question Time on 26 March 2003, I asked the Prime Minister: ‘although he can also assure the Storting that the aid will not have any elements of military or civil military components that could be understood as supporting American-led activities in Iraq, during or after the acts of war’. A very concrete question, to which the Prime Minister was unable to answer. There is a clear indication that the information between the magnification and the government is not working in these cases. My question to the Prime Minister is whether he does not see that a control body in this context will be able to operate in the same way as the EEA Committee and is therefore very wise to prevent the kind of misunderstandings that my question illustrates on 26 March 2003.
ParlaMint-NO_2004-10-27.ana.ud698e333	I've answered that up to two times before. We're willing to consider mechanisms for the flow of information between government and growth, but here it's very important to have clarity in the premises. Does the Central Party consider this to be a body that enters into and advises or takes a stand on individual cases before a decision is taken in the Defence or Government, or is it an ex post control body? That's a very crucial difference. I hope that the Center Party, which has government experience, does not lay down on the line that one should go in and do this in advance and initiate a public debate, as Kristin Halvorsen has said, and thus put our allies in a hopeless situation. I think Haga understands that with the experience she has. But the representative Haga spoke so late on 17 March 2003 that we have to be able to sell weapons to our closest allies, and this was based on the Iraq case. I think it's a little strange how the Center Party acts afterwards. But information: Yes, as long as it does not damage the interests of Norway or our allies. But of course, we can't expose it if a defense in one of our allied countries lacks anything, or we should do it in another situation.
ParlaMint-NO_2004-10-27.ana.ud698e342	Let's go to the next main question – Marit Arnstad.
ParlaMint-NO_2004-10-27.ana.ud698e345	Based on the answers that are now given, I think there's a need for a certain stage shift. I intend to ask the Minister for the Environment a question so that he will have the opportunity to participate in his first spontaneous Question Time. The government has long notified a notice of cultural memory protection. That's good, because we haven't achieved the bet in this area that the area deserves. The yield of the Cultural Memory Fund is at rest on the ground, and private experience being met with completely unreasonable demands for the preservation of cultural memories. In Trøndelag we have just had an example where an individual has been met with a claim to secure a cultural memory for NOK 100 000, after he himself told the protection authorities that he had found a cultural memory. It feels unreasonable for individuals, and there is also a risk that one will not provide the authorities with information about that type of finding. Does the Council of State consider it reasonable that individuals should be subjected to that kind of requirement and that it is appropriate in relation to an increased level of cultural memory protection?
ParlaMint-NO_2004-10-27.ana.ud698e354	We're working on cultural memory protection too fully now. We are reporting on this in January 2005, and we believe that we will be a good start to the year of the Hundred Year marker for Norway as a nation. As the representative Arnstad acknowledges, it is important national values that we can secure through a good cultural memory protection. There are today a lot of people who do a very valuable job in this area, and the most important work is done by individual representatives – who are also stressed by the representative Arnstad. What we have today is a system that we share with the rest of Europe, and that means that one must also take private responsibility for these values. But I'm already going to signal that in the cultural memory message that comes in January 2005, the issue that Arnstad is raising here will be a topic that we'll consider, because it's clear that as individuals we have a responsibility for cultural memory values. The state has the same thing. We have taken a considerable responsibility. The government has, among other things, in the 2005 budget, the proceeds to cultural memory increase by more than 10 million. kr. We are commanded by the state to take a greater responsibility, but we are also concerned that the best cultural memory work takes place through use and through the fact that private people also take responsibility.
ParlaMint-NO_2004-10-27.ana.ud698e363	The centre party looks forward to an important debate on cultural memory protection. We agree that large developers such as Vegvesenet, Norsk Hydro or any of the major private and public actors must assume responsibility for both securing and excavating cultural memories in the context of major actions. But you can't expect in an area like Trendelag, where individuals on their property can find almost an entire Viking-time berth, that an individual, a farmer, should secure a cultural memory of $100,000. It's a completely unreasonable problem if you want people to keep telling us about the discovery of cultural memories. My follow-up question to the Council of State is, because I understand that the Government will address this issue: does the Council of State see that the attitude that one has had can lead to the discovery of cultural memories not being notified and not being followed up? And can the Council of State confirm that he will use the discretion that is actually in the law, in the case of individuals?
ParlaMint-NO_2004-10-27.ana.ud698e370	The experience we have from Norway shows that a lot of people take a significant responsibility. When an important cultural memory is discovered, a contact is made with professional authorities, and a good job is done just to secure these values. It also has a value to keep in mind, not only for the nation, but also for individuals, who make it possible to have important cultural memories of their private ownership and to exploit it. We want a stronger state involvement in this area. We have shown this through the budget, which we have had a significant increase from 2004 to 2005. We will also, as I said, present a cultural memory message in which precisely these questions will be considered more closely.
ParlaMint-NO_2004-10-27.ana.ud698e377	There will be two follow-up questions – first Ingvild Vaggen Malvik.
ParlaMint-NO_2004-10-27.ana.ud698e380	I would also like to welcome Mr Hareide to the oral question procedure. I want to start by asking if he feels comfortable with the financial framework that cultural memory protection has been given. I wonder what relationship he sees between the financial framework and the ability to exercise discretion when it comes to assessing whether the cost should be borne by the private operator, or whether it is reasonable for the public to enter and take a share of the large costs, which may be discussed in some cases, as the example from Frosta shows. Does the Council of State see that there's a dilemma here? And is he comfortable with the economic frameworks of the important cultural memory protection, in terms of taking care of ancient memories, and in terms of preventing these past memories from disappearing in retrospect?
ParlaMint-NO_2004-10-27.ana.ud698e389	It is of course that an inner important area would have liked to have thought even more of a brighter frame. I am therefore very happy that we within a tight frame this year have managed to increase this field by over 10 million. kr, which is one of the largest increases we've had in this field. That's the one thing I'm very fond of. The second is that we have a cultural memory fund that per person. the current date is 200 million. kr, which also offers the opportunity to distribute public funds to ensure that individuals with special cultural memory challenges can receive public support. In view of the budgetary situation we want to secure responsible frameworks, I am therefore pleased that we have increased when it comes to cultural memory protection.
ParlaMint-NO_2004-10-27.ana.ud698e394	Sylvia Brustad – for follow-up questions.
ParlaMint-NO_2004-10-27.ana.ud698e397	I don't think it's a secret that cultural memory protection hasn't been a top priority in the Ministry of Environment, at least not until now. I guess it's good that there's messages coming. It is important, because there is no doubt that there are both churches and buildings that are now standing and falling away in our country and that we should take care of. I'm probably a little surprised that the Council of State is very pleased with the budget that has now been presented. Among other things, an organisation such as Norwegian Cultural Heritage, such as Norway, is will take care of old buildings, now in crisis because the operating budget has been cut. That's just one example of a lot of people. My question is: Will the Council of States – in addition to messages, which are good and good, but there is now money and action that counts – ensure that we have a stepping-up plan in this area, so that in the future we can actually take care of all the buildings around our country that stand and fall due – take care of culture and traditions?
ParlaMint-NO_2004-10-27.ana.ud698e407	As Mr Brustad says here, there are significant challenges in this area. I also stressed in my reply that I am pleased with this within a tight budget framework. But I also see – I would say open – that within this area there is of course a need for extra funds in the future. When we present our cultural memory message, we will do all we can to address this very need and our plan for cultural memory work in the future. Then the representative also came into Norwegian Cultural Heritage, which is an organisation working within this field. I just want to say that my priorities have been strong when it comes to voluntary organisations. Within the entire environmental protection work we have found room for a significant increase for these organisations – 15 pst. in 2005.
ParlaMint-NO_2004-10-27.ana.ud698e414	Let's move on to the next main question.
ParlaMint-NO_2004-10-27.ana.ud698e417	My question goes to the Minister for the Environment. Through the evening post we have been made aware that the Torshov peak in Oslo, which is a state property, is now being put out for sale. It has a unique location, with a building mass of approx. 12000 m2 and large green areas and open spaces of great value to the public as a recreational area. There are also important cultural memories there, and the Byantik product believes that parts of these buildings are protective. The district of Sagene in Oslo, represented by the Municipality of Oslo, wants to take over the property to use buildings for school and to preserve most of the green areas, which are not so much in Oslo, for most people. This is a very important environmental issue, which concerns many thousands of people in Oslo, and my question is: Will the Council of State ensure that these green areas remain in public ownership and remain free areas for most people in Oslo?
ParlaMint-NO_2004-10-27.ana.ud698e427	I am pleased that the representative Brustad addresses the issue just to ensure good green space in cities in general, and so on in the district. In order to get a good urban environment, greenery is very important. We have experience among others. from Kristiansand, which now makes it possible to get a fantastic green area right near Lund, because the municipality has taken a significant initiative and spent over 90 million. kr to secure a valuable area. It is clear that the state is busy securing open air areas. In the 2005 budget, we have also increased the clearances just to secure open-air space. But there is also today a considerable responsibility on the municipalities to secure the area within the municipalities. So we have increased the permissions, but I can't go into the specific matter that the representative Brustad is taking up here, and I promise something concretely that the state will go into relation to her. There must be a municipal responsibility. The state takes the vows, and we go into individual matters that have special meaning for the outdoors. This work will be intensified, but in relation to the specific challenge it will be. be a municipal responsibility. I refer to the municipality of Kristiansand, which has taken such responsibility and spent over 90 million. kr to secure such work. It would be difficult if the state said that Kristiansand municipality had to pay for it itself, while the municipality of Oslo might receive a state contribution.
ParlaMint-NO_2004-10-27.ana.ud698e436	I had hoped that the government had learned something from the case of the Eastern Islands, where the government was finally put heavily in place by a unanimous expansion, so that we managed to secure the Eastern Islands in public ownership, for the benefit of boatmen and all those who want to be in the Oslo soil. For parts of Oslo's population, the Torshov peak is equally important. It is not useful to operate and put everything out for sale uncritically. So the Storting has said very clearly that where there are cultural memory interests, outdoor interests, etc. inside the picture, there shall be a special review of it. That's why it doesn't last when the council here just shifts responsibility over to the Municipality of Oslo. As for what happened in Marvika in Kristiansand, which is great, it came as a result of the case of the Eastern Banks here in Stortinget. My question is again: will the Council of State do anything but talk, will the Council of State act? Here's a chance for the Council of State.
ParlaMint-NO_2004-10-27.ana.ud698e443	I just want to comment first that Kristiansand municipality went into this work already in ours, long before Eastern Bolärne-saka was up. They saw the possibilities in this area. They saw that this area, which is close to Lund City, is so important that they wanted to spend money on it. I'm not saying this is just a municipal responsibility. We have through our budget, among others. increase the licenses for the purchase of free space in order to secure important open-air areas. That distribution takes place on a professional basis, including: The Directorate for Nature Management makes a professional judgement in relation to this. I will not comment on the specific matter raised by the representative Brustad, just saying that I have seen other alternatives where the municipality has a significant responsibility. Within the state funds that I have at my disposal, it will also not be possible to buy such a large area.
ParlaMint-NO_2004-10-27.ana.ud698e450	There will be follow-up questions – Marit Nybakk.
