ParlaMint-NO_2004-12-07-lower.ana.ud2648e31	The representative, Karin Andersen, will make a private bill.
ParlaMint-NO_2004-12-07-lower.ana.ud2648e140	It's going to be line change.
ParlaMint-NO_2004-12-07-lower.ana.ud2648e143	I notice that the Council of State used the notion of ‘debate’. Discussion is not the same as a deal. A collection of boards, it says, in the Coastal Works. Why will Mr Ludvigsen take more care of them in this matter than the Council of State for Skogsholm? Does it mean a collective control, or does it not mean a collective control? Then I will challenge the Council of State once more, not that a desire to create a limited company and clear up roles, in and on its own – that’s crazy enough – but that it happens so much at the same time. So now, one of them has to set up the railway operational tasks. A railway technical contractor and maintenance service of high quality, with which it is stated that Bane Service is to operate, shall be put on the market for the carriage of passengers. All of this happens at the same time. Hasn't the Council of State learned anything from aviation, where there are so many and difficult processes at the same time that it can compromise security?
ParlaMint-NO_2004-12-07-lower.ana.ud2648e151	Competitive outsourcing will set clear requirements for documentation of online status. That is an important prerequisite for the competitive outsourcing. I believe that, like the Railway Agency, in isolation is a strengthening of railway safety. Therefore, both the requirements for documentation of the state and the requirements for the safety tasks to be carried out will help to improve everything. In addition, we have State Railway Authority, which supervises that both the requirements of the Railway Agency and those of market actors meet general safety requirements. Back to membership of the Staten Pensionkasse: We have placed relatively strong leads to membership of the Staten Pensionkasse.
ParlaMint-NO_2004-12-07-lower.ana.ud2648e158	Several have not asked for the word for a line. Several have not asked for the floor on case No. 1st@item: inlistbox [[See page 201]]
ParlaMint-NO_2004-12-07-lower.ana.ud2648e173	At the request of the Committee on Transport, the President will propose that the speaking time be limited to 5 minutes for each group and 5 minutes for the Council of State. Furthermore, the President will propose that five lines of reply be given within the allocated speaking time following contributions from members of the Government. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – This is deemed to be adopted.
ParlaMint-NO_2004-12-07-lower.ana.ud2648e182	The Transport Committee shall present its position on the law on the transformation of the Coastal Works’ production activities into public limited-liability companies. The background is the decision Stortinget has already taken. It has been decided by a majority in the European Parliament that this transformation should take place, and it is therefore necessary to have a legal text regulating transitional issues and transitional provisions for employees. The Committee has divided itself in the same way as it did in the political matter itself: the majority in favour of conversion are also behind the proposal for a decision on the law. The minority, who went against this transformation, also goes against the attitude of this law.
ParlaMint-NO_2004-12-07-lower.ana.ud2648e191	After the decision of the Stortinget to transform it into a public limited liability company from 1 January, the Swedish Coastal Plant Production will be able to compete for a commission from the Coastal Plant, which will now be put out of competition. The coastworks' staff represent a competence and an insight into port development and fairway development, as well as navigation installations that I think today, when facing a turning point in the Coast works' activity, is a reason to underline. The employees face a competence and will face the challenge that is now, in an offensive way – I feel quite safe about that. It is precisely a recognition of the competence of employees that makes us, with great certainty, now put off competition through a state limited liability company. For generations, the Coastal Agency has been an important player in the construction of coastal infrastructure, and its employees have knowledge and stature in the coastal population of which there is all manner of respect. I would like to take this opportunity to thank you for the efforts that have been made, and to stress that, when we face new challenges that require reorganization, I have full confidence that the employees and the board will also succeed in doing so. With the legal text adopted today, it is possible that from 1 January we have an up-to-date State limited liability company that carries out the tasks that the Swedish Coastal Agency for Production has performed so far.
ParlaMint-NO_2004-12-07-lower.ana.ud2648e200	Several have not asked for the floor on case No. 2nd@item: inlistbox [[Votation, see below]]
ParlaMint-NO_2004-12-07-lower.ana.ud2648e208	The odelsting shall then vote in case No. 1 and 2.
ParlaMint-NO_2004-12-07-lower.ana.ud2648e252	The Workers' Party, the Socialist Left Party and the Center Party have announced their opposition.
ParlaMint-NO_2004-12-07-lower.ana.ud2648e265	It is voted over the title of the law and the law as a whole. The President expects the Labour Party, the Socialist Left Party and the Central Party to oppose this.
ParlaMint-NO_2004-12-07-lower.ana.ud2648e277	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2004-12-07-lower.ana.ud2648e324	The Workers' Party, the Socialist Left Party and the Center Party have announced their opposition.
ParlaMint-NO_2004-12-07-lower.ana.ud2648e337	It is voted over the title of the law and the law as a whole. The President expects the Labour Party, the Socialist Left Party and the Central Party to oppose this.
ParlaMint-NO_2004-12-07-lower.ana.ud2648e349	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2004-12-07-lower.ana.ud2648e361	There is no record.
