ParlaMint-NO_2004-03-30.ana.ud2301e55	The called alternate of the Akershu County, Harald Espelund, has taken the seat.
ParlaMint-NO_2004-03-30.ana.ud2301e198	The representative Eli Sollied Upperaas has taken up the proposal to which she referred. Several have not asked for the floor on case No. 1st@item: inlistbox [[Fotation, see page 2359]]
ParlaMint-NO_2004-03-30.ana.ud2301e216	The proposed document No 8 by Woldseth and Knudsen’s representatives points out that there is a high level of public sector meeting activity and that it reduces service and information to users of public services. The proposers want the Government to promote a case for the Storting where the issues surrounding this issue are discussed. They also ask that it be assessed to introduce a non-meeting day – I believe it was the Wednesday they wanted – at all public offices. The Committee agrees with the proposers that both the service and accessibility of the public in all public administration must be better than today. The Committee's plurality, all without the Progress Party, does not want to support legislative regulation in order to impose a ban on meetings throughout the public sector. In many offices, non-meeting arrangements are introduced on a voluntary basis with a view to improving the service for the public. There are many municipalities that have created service squares, with the aim of achieving much of what the proposers point to. It's a challenge for all public offices, and all public agencies should be busy taking care of their users' interests and providing them with the service they need. I assume that the representatives of the Progress Party will do well for their proposal in a more thorough way than I have done. I therefore recommend the setting, namely that the proposal be rejected.
ParlaMint-NO_2004-03-30.ana.ud2301e231	I am very pleased that the case rapporteur actually says that she agrees with me on the need to improve the service within the public sector. I have come into contact with a lot of people who are not satisfied with the public information and service, through experience, both as a municipal politician, state politician and as a big business politician. Of these, a high proportion complain that it is difficult to get case handlers on the phone to get answers to relatively simple questions. As stated in Document No. The 8 proposal, I believe, makes sense if at all levels of government a system is put in place in which case handlers and managers dealing with issues related to the public, including both general users and business, are available at least one day per day. For example, in order for people to be able to receive faster responses to simple enquiries from the right person – i.e. a ban or strong recommendation is put in place in practice for all public agencies to, for example: Wednesdays or Tuesdays are set aside as a day when you are only available to respond to simple requests at the counter or per. Phone. It is important to improve the ability of people to get in touch with the right person, whether they are customers in Aetat, social security offices, the technical sector in the municipality or in a municipal office. As can be seen from our proposal, fresh research carried out on the theme of public meetings is limited. There are only a few studies, which have been done a few years ago, and from one of them is quoted: ‘It seems to be a general perception that everyday life consists of too many meetings. Meetings may make employees less accessible and may compromise their service.» Another study suggests that municipal leaders on average use 40 pst. of his time to meet, someone up against 70 pst. Extensive meeting activities involve the simultaneous binding of many employees and preventing ordinary work. When you sit in meetings, you spend time, time you could spend differently. Although research in this area is limited, I feel confident that there is a great deal of meeting activity in the public sector, probably more than what is good for productivity and service. We have recorded that our original proposal for a ‘ban on meetings’ does not win the great support of the other parties in this Chamber. We'll take note of that. Maybe we've been a little too creative? What we had anticipated, however, is the proposal that is now on the table, that we should have a big message that discusses general and specific measures to improve service and accessibility at public offices. When we took this out with a ban on meetings, we actually expected to get support for such a proposal, but it doesn't seem like we are. On the part of the majority, there are four points on which a part is made in the field of public service, among others. greater level of electronic administration serving as user-oriented portals for public administrations across departments and levels of government, coordination of benefits related to employment, social security and social services, efforts to reduce forms, and efforts to make changes to the Planning and Building Act and setting deadlines for community proceedings. This is good and good, but so far the large and significant results of these measures have been delayed. With regard to the reduction of the form field, the current governments have little ability to do so. I would like to take up with this the proposal of the Advance Party as referred to in the vote.
ParlaMint-NO_2004-03-30.ana.ud2301e258	The representative Ulf Erik Knudsen has taken up the proposal he referred to. Several have not asked for the floor on case No. 2nd@item: inlistbox [[Fotation, see page 2359]]
ParlaMint-NO_2004-03-30.ana.ud2301e277	No one has asked for the floor. [[Fotation, see page 2359]]
ParlaMint-NO_2004-03-30.ana.ud2301e297	I have two interviews today. One is about mental health; the other is about health reform. It's deliberately chosen, because both I and SV believe that those things are closely related. To a very large extent, health companies are responsible for the escalation plan for mental health, even though part of that responsibility is also the responsibility of Norwegian municipalities. So we want to focus both parts and try to see them in context. But in my first interpellation, I'm going to focus on the escalation plan for mental health. In St.meld. No 25 for 1996-1997, Transparency and overall, presented by the government of Jagland in April 1997, the services offered to people with mental disorders were described. In total, the message drew an image of a psychiatric service as a result of a lack of resources, both in the case of personnel, suitable premises at all levels, lack of necessary interaction and lack of funds for a well-developed service. In the position of the Social Committee in the handling of the big news at that time, a number of steps were taken beyond the government’s own to improve the state of psychiatry. Particularly important was the unanimous recommendation of the Committee, which asked the government to submit as soon as possible proposals for an obligatory action plan for psychiatry, which would also be financially committed to measures to strengthen psychiatry. St. pp. No 63 for 1997-1998 was presented by the Bondevik I Government in April 1998. An increase in the operating costs associated with the psychiatry, together with the investment costs, would amount to approx. 6.3 billion DKK means that around 24 billion more will be spent on mental health protection during the planning period, which should therefore have a duration from 1999 up to and including 2006. Thereafter, the escalating plan was to go into an ordinary operational phase from 2007, taking into account the level that would have been achieved by the end of 2006. In the context of the presentation of the escalation plan, the government repeated Bondevik in the weaknesses of mental health protection that had emerged from the major announcement by the government of Jagland, the aim of which was to respond to the weaknesses in order to improve them. There were numerical objectives in a number of areas. Some areas can be mentioned here: 1 185 new daily places for active treatment 220 000 more outpatient treatments, which should lead to an increase in treatment provision of 50 pst. 90,000 more daily stays at the district psychiatric centers, including an increase of 50 pst. strengthening the provision of services to groups with special needs, of which drug users were specifically mentioned as strengthening cooperation with non-governmental organisations through support to users and related organisations; So we are now up to 2004, and so the planning period is within its sixth year. The steps originally planned must now be able to conclude that they have not taken place. This relates to the total resource use and to the sub-targets set for the period. When the Storting adopts a escalating plan in an area, it must be assumed that it is because that area is to be given special priority. ‘Special priority’ means, in the SV’s view, that relatively much more is to be invested in the area than in other areas that do not have the same priority. We have sent a letter to the Council of State to review both the situation of health businesses and the escalation plan for mental health protection. We have received an answer to that letter today, and I note in the reply from the Council of State: ‘It has not been foreseen that the growth of activity in somatic matters should be lower than in the field of mental health protection, but that mental health protection should be strengthened.’ I perceive that the answer given by the Council of State here is one of the core elements of the problem related to the escalation plan for mental health protection. Because if you have the understanding that even if it is a stepping-up plan, you should relatively not put more effort into that area than in other non-priority areas. We cannot, of course, expect this area to be strengthened. You can also see that when you look at the appropriations in this area. The government of Stoltenberg wrote in the 2002 state budget that there would be a need for DKK 1 billion in increase each of the following years in order to keep up with the developments foreseen when the plan of escalation was in force. That year, an increase of 600 million was proposed. kr. The following year, with the Bondevik II government, the budget increased by 670 million. kr, not NOK 1 billion as foreseen, and it was pointed out that in order to keep pace in the following years, the increase would have to be $1,220 million. kr. When examining the current year's budget, what would have to be done was, of course, to keep the problems under constant review: it was no longer possible to meet the objectives of the plan within the planned eight-year timeframe. Thus, the Government proposed an extension of the planning period by two years, up to and including 2008. Of course, you could have gone into detail with the economy in this, but this is about far more than money. Many children who should have had help from childhood and youth psychiatry do not get that help. I record that some of these children are getting help from child protection, because there is a lack of a network, there is a lack of a family that can contribute in the way that children depend on in order to have good and safe growth conditions. In a look-up in the Evening Post on 18 February this year, the Health East criticism of poor planning in child and youth psychiatry and the plans for the closure of a special unit for psychotic children at the Sogn Centre for Child and Youth Psychiatry was voiced. Another report, published by SINTEF Unimed on 13 January, found that one in three children is waiting for more than three months for help, and that is after a referral, where it has been recognised that the child needs considerable help. In Health South, waiting time for children and young people is 97 days. In Health North, it's an average of 60 days. It is therefore two to three months after it has been recognised that the children have a significant need for specialist services. Those who wait especially long are boys aged 6–12 years, precisely the children who might be most in need of help, based on professional reports. There are also significant regional differences. In Health South, there are two treatment sites per year. 10,000 children. Health East has about twice as much. However, none of the sites can meet the objectives of the escalation plan. If the target of 5 pst. to help the children, to be achievable during the planning period, means that 5,000 more children are to be offered assistance every year during the planning period. You're not close to achieving that. Thus, there are now a number of reports, including a report from the Norwegian Institute for Urban and Regional Research, which identify particularly major child and youth gaps, with a waiting time of up to seven–eight months for assistance from the paediatric psychiatry. In adult psychiatry, significant gaps have also been identified. In the NRC, according to studies carried out by themselves, the Health Magazine Puls has revealed in several programmes that, for example, only 5 out of 28 psychiatry companies are prepared to strengthen their budgets in 2004, compared with 2003. A study carried out by the State Health Authority and presented by the NRK on its websites in March now reveals the serious failure of 34 out of 39 institutions surveyed. The main conclusion of the report is that the Health Authority believes that the supply of psychiatric patients is to a small extent adapted to the patients for whom it is available. The lack also appears to be highly related to drug addicts. Now, as you know, health companies have assumed responsibility from 1 January, but the lack of resources seems to be so great that the waiting lists now increase after the acquisition. In sum, this gives the impression that there are so many problems in psychiatry that there is a great need to carry out a full review quickly, to get an assessment and to take action as quickly as possible to improve the shortcomings. There is also an understanding in SV that it is problematic to solve these problems in the short term. But we're not talking about a short-term perspective here either. We are talking about a ten-year perspective, which, in 1996-1997, revealed significant shortcomings, and where we have had a gradual escalation plan since 1999. What we see is that treatment sites are being closed down in psychiatric hospitals, without regional psychiatric centres being put in place, in such a way that a number of patients lose an offer that is at least better than no offer at all. In our view, it requires very active measures to somehow get the psychiatry plan on rails. And that requires doing what you have actually said to do, that is to give this area priority, and it must be at the expense of other areas, which are not going to have the same amount of resources. Because if you don't mean anything about it, it means that the psychiatry will continue to be harmed, and then the health care priorities might happen in areas that you politically haven't even said to be a priority.
ParlaMint-NO_2004-03-30.ana.ud2301e361	Through St. Announcement. No 25 for 1996-97, mental health was put on the agenda. The content is known – failure in all terms. Both government and staggering followed up with an obligatory plan for strengthening and restructuring the supply of people with mental health disorders, the Roadmap for mental health. At regular intervals, in the public debate, we are reminded of our obligations to users and relatives who are dependent on the public offer in this area, and that the Stortinge decision in 1998 is being followed up. In this room, too, we have discussed the challenges of better mental health protection at the latest on two occasions last week. This focus is positive. And let's be clear: mental health is a priority and should be a priority of government, big business, municipalities and health businesses. In the public debate, the shortcomings that still exist tend to overshadow all the positives that have been built up and developed at this time after the escalation plan was implemented. I have to respectfully say that it was also interpellant's posts. The public debate and the media's searchlight on individual cases must not make the whole thing disappear. Let me first remind you that the status of the escalating plan after half the run shows that much has been achieved. I have explained this, carefully and thoroughly, in St. pp. No 1 for the current year. More people are looking for help, and more people are getting help. It is a signal that increased bets yield results and that efforts are beneficial. The most recent data from SAMDATA show that treatment capacity has continued to increase in the last two years. It was, for example: treated 50 pst. more children and young people in 2002 than in 1998 and trends appear to continue in 2003. During the same period, the number of outpatient interventions for children and young people increased by a total of 85 pst. It is positive to note that, in the field of mental health protection for both adults and children, waiting time is reduced. But the number of new referrals is increasing. This shows that more people dare to ask for help and believe that it is useful to ask for help. This means that the waiting time is still too long, but progress is in the right direction. The Government’s strategy plan for children and young people’s mental health sets out the objective of reducing the waiting time for an evaluation interview for children and young people in specialist health services to 10 days. The capacity of the offer has increased sharply. However, there are wide variations between municipalities, services and health enterprises. Large capacity problems are still reported. Although several patients are being treated, there are reports of high pressure on the acute wards of mental health protection for adults and increasing cows at outpatient clinics for children and adolescents. However, we see good interaction between emergency departments and district psychiatric centres. Where it works, this pressure decreases. However, the roadmap for mental health is not only about increased capacity but also about work forms and organisation to be changed and transformed. The aim is a service on user premises, where overall, continuity and proximity are key elements. Therefore, let me remind you that Stortinget has joined in both a construction and a significant restructuring of the service offer, which is considered essential for the success of the escalation plan. We should all share a shared responsibility that in the public debate on such matters there will not be a unilateral focus on what is being built down as part of a process of conversion. In the name of honesty, no random proposals in a budgetary process may be made as final and responsible decisions. At the same time, reductions must be avoided before new measures are put in place. This is a specific and precise management requirement in the governance documents of regional health enterprises for 2004. We see a clear turn towards more outpatient and outpatient activities. It is therefore necessary to re-assess whether the previous figures in daily and daily locations, outpatient and outpatient activities are now in line with a desired professional development. I will come back to this in the 2005 draft state budget. The measures adopted by the Storting must reflect technical progress. I refer to St. pp. No 1 for 2002–03, where it is stated that there is still a strong consensus that provision should be made to the greatest extent possible in the country of residence and that housing leads to passive status and inadmissibility, which does not promote own mastering and autonomy. Patient censuses have shown that a very large proportion of patients in daily distributions should have had lower care provision. In the proposals for both 2003 and 2004, it is clarified that regional health businesses need to assess the number of daily places to use alternative resources if this provides a better offer to patients. More outpatient and outpatient activities from specialist health services will in principle also contribute to a better underpinning of local authorities' responsibilities, so that assistance can be provided more effectively in a home environment. The premises are clear: a decentralised offer should be developed for people with mental disorders. The question is how this is followed up in health enterprises and municipalities. After the NRK’s Pulsus made statements on the psychiatry budgets on 9 February, I asked regional health companies for a report on how the governance requirements have been followed up. The feedback from enterprises is clear, the level of activity from 2003 continues in 2004, and fresh escrow assets in 2004 contribute to the realisation of new activity. That this actually happens will be documented and followed up in reporting contexts throughout the year. Psychiatric health protection shall be protected from the savings requirements generally imposed on health establishments. The feedback also shows that enterprises are not familiar with the overall impression created by the Pulse programme. In the Health East, it is claimed that out of eight psychiatric units, only the Hospital Inland has a total of more money to run for this year compared to last year. Health East has demonstrated to the Ministry of Health that there has been a real growth in the region of 38 million. kr in 2004 and, in addition, the resource use will be continued from 2003. About Health West, it's claimed to be $13 million. kr to cover the 2003 deficit. However, Health West reports that funds have been provided for measures that have started in 2003 and will provide a full increase in activity in 2004. Similar claims concerning the other regions have also been made in the context of measures which are undergoing conversion in line with the leadership of the Stortinget. The Ministry of Health has a close follow-up to the core elements of the escalation plan, including mental health protection for children and young people in the Oslo area, to which the representative Ballo refers in his interpellation. As the Ministry has been informed of the matter, this service has a maximum of 46 vacancies for different and natural reasons. Several of these positions are non-clinical. This does not imply any change in quality or quantity compared to the agreed patient offers, according to Health East. As the escalation plan requires a stronger focus on local-based mental health work, it is important to develop and strengthen new approaches. Therefore, the overall picture can be very misleading when the media focus on the number of daily places, without compromising the overall build-up of the individual patient. What's happening in the municipalities? The first research reports from the evaluation of the escalation plan show that there are considerable differences between municipalities. Most municipalities are good support players for the process. In my view, the main challenge is to get the many municipalities where the offer is based. In a circular to the municipalities of the country, I have recently pointed out that earmarked grants will be added to existing funds, and not replace municipal self-financing of actions and jobs. In municipalities, too, mental health must be protected from cuttings, so that it becomes a real escalation. The assumption that at least 20 pst. efforts shall be directed towards children and young people, continued and followed up. In the context of the 2004 State Budget, the Government of the United Kingdom agreed to extend the planning period by two years until 2008. This is justified on the one hand by the fact that the restructuring of services and the conversion of cultures and attitudes require more instruments and longer time than foreseen, and on the other hand that stronger efforts are needed in municipalities. In the position of the Social Committee on the budget, the majority of the Committee, members of the Labour Party, the Right, the Advance Party and the Christian People's Party, supported the extension of the time aspect, but felt that the Government had to come back with the need and progress of the government budget for next year. This will provide the Storting Foundation with a basis for a comprehensive discussion of how to follow up the Roadmap for Mental Health. I want to take this opportunity to point to some challenges. Priority shall continue to be given to persons with severe and long-term disorders. In addition, we want to give increased priority to people with the most common disorders. This is an important precautionary measure to reduce the number of people with mental illness and to prevent further development of a serious disease. We have to see this effort in relation to the fact that almost every third person is insured because of a mental disorder. We have to do what is possible to reverse this development. The first national survey of municipal care services shows that people with mental health problems are coming out badly in all areas. I share the assessment to the State Health Authority that there is a particular challenge for municipalities to see those who are not being seen, and hear those groups that share their needs less than others, because they may be difficult and sensitive, and because they are unable to meet their own interests and needs and assess the consequences of their own choices. Last week I answered in the Stortingen’s spontaneous questionnaire on the supervisory report of the State Health Authority, where a major failure in the offer of people with severe mental illness was revealed. I'm taking that very seriously. I have asked regional health companies to review the supervisory report and follow up on all relevant points. Also from the other side, the escalation plan has been characterised and criticized for having failed the very sickest and those most in need of help, as well as that the rotation away from the very sickest towards the fresher is amplified. So I want to find out if there is a need for extra grip for this group. I have asked the Social and Health Directorate to call together user groups and professionals to discuss the issue and find out about any reinforced measures. They will in turn be submitted to Stortinget.
ParlaMint-NO_2004-03-30.ana.ud2301e405	I noticed a lack of indignation in the voice of the Council of State when he answered the interpellation, because he felt that the criticism could be unjustified, and that there could be media lookups that are not entirely adequate for the actual situation. I want to say that we in SV have shown patience in relation to the development of mental health protection, but we have always been concerned that we need to be strengthened, in a credible way. I believe that the Council of State in the specific case relating to the plan of escalation has lost credibility. I think that much of what the Council of State presents here today sounds more like excuses than a real analysis of the situation that exists with regard to the psychiatry around Norway. Obviously, you can discuss numbers. It is not difficult to make visible that the government itself has gone away from what they have had as ambitions in this area. But when it comes to the problem, it's about individuals. I've been around various institutions in Norway. Last year I was in Gran, in Hadeland, and I visited an institution there. What makes the impression is to meet individuals who describe that offers disappear without being replaced by anything else. It also makes the impression to hear professionals argue why the offers are going to disappear, given that they themselves want a kind of professionalism around them that really isn't about patients at all, but that's about having an interesting everyday life, where you surround yourself with enough professionals, and where you can kind of develop yourself professionally. What you can see is that the government is a passive spectator in relation to a part of that development. If it was the case that when one traveled around Norway and talked to patients and relatives, they felt that it was not true, what was stated in the newspapers, that it was not the case that the offer was being reduced, but that on the contrary, the government was in the process of strengthening this, I would agree with the Council of State in his description. But that's not the reality you're facing. You meet a reality where patients describe insecurity, where professionals describe insecurity, where they say that the funds don't come, they don't know where they end up, but at least they don't end up where they do a reinforcement. It is clear that when time and again experience that various health companies are proposed to cut short in an area where the Council of State has said to be protected, this means that professionals stop, because they are unsure whether they have their job tomorrow. It makes psychiatric patients more insecure, because they don't know if their offer exists tomorrow. This means that the overall impression of the psychiatry plan is that you haven't succeeded with what you've said to do. It is clear that claiming that this was not meant to be strengthened more than somatic is a quite significant rewriting of what the Storting has decided. This cannot be the case when a stepping-up plan is adopted, when less resources are to be made available than in non-priority areas.
ParlaMint-NO_2004-03-30.ana.ud2301e418	I will not measure the degree of indignation in the voice of the interpellant, as the representative Ballo said about my vote. He uses strong words. He's talking about "lost trustworthiness". Then I'm going to start from his main attack point, the underlying claim that the Storting has assumed that the psychiatry is going to grow more than the somatic state. Where did the representative, Ballo, get that? It would have been credible for the representative, Ballo, to stress this if it had been such that SV had consistently and systematically managed to slow down the development of activity in the somatic environment. But I remember, in fact, a situation around 25 June last year, when, in line with the adopted budget, the Council of State sent out a letter of governance to health companies to ensure that they stayed within the budgets. It was a majority on the Stortinget that you shouldn't have done it. The majority included the representative Ballo, who together with the Workers' Party, the Advance Party and his own party demanded that no restrictions be placed on the growth of somatic products. Is it this representative Ballo calling credibility in ensuring that you don't get a bigger growth in somatic matters than in psychiatry? I think it is unusually bold of the representative to use the kind of words that he now made in his second post. I haven't helped paint the situation in psychiatry. I also travel a lot to psychiatric institutions. I meet people with mental disorders. I meet people who have been doing well. I meet people who have gone badly. I meet people who are struggling, but I also meet a lot of people who resist when they see what is happening around the community and with the expansion of the service provision, and who thank you for it. I don't think either the psychological health protection, the professional environment, the patients or the users are served with one-sided descriptions, either one-sided beauty painting or black paint of the kind that we've seen in some media posts, to which unfortunately the representative Ballo has today fallen, contrary to what is his usual, nuanced approach to such matters.
ParlaMint-NO_2004-03-30.ana.ud2301e427	It is now necessary to say, after what I have heard here, that all groups of patients – including patients with mental illness – have had shorter waiting time after the health reform was implemented and the escalation plan was put into effect. This is a quality feature of our healthcare system that is of great importance to the many patients who no longer experience as long waiting time as before. The roadmap for mental health has resulted in a significant increase in appropriations and results in terms of increased capacity and focus on improved forms of work and reorganisation. The number of people treated in psychiatric care from the start of the plan until now has increased by 50 pst. or more. This is good, and it's necessary. It is positive that the number of district psychiatric centres has been greatly increased and distributed throughout the country. This is a base wall in the psychiatry facility. This will increase the proximity of people with mental disorders to those treated. The escalation of psychiatry has occurred mainly within the district psychiatric centers. But there's a question as to whether this is sufficient. I am concerned about the messages we get about closing the offer before you have documented that new and better offers have come in place. I certainly believe that the psychiatric hospitals are very important for those patients who need a little longer treatment. Many patients with mental disorders need time and security. A premature discharge to the municipality of residence increases the possibility of the patient being re-entered into a heavier treatment scheme. I'm sure that a lot of municipalities, both small and a little bit larger, are now struggling with the build-up of psychiatry skills. Yes, I certainly believe that they are not in fact able to make offers according to their needs. Therefore, health businesses now need to reduce the number of closures that make patients into caste balls between municipalities and specialist services in heavier institutions. I believe that the Minister of Health must follow closely the plans and decisions of health businesses, and intervene where there is a reduction in places that are not at all professionally justified. I noticed what the health minister said here about the management document, and I have confidence that he will follow this up on a continuous basis. There is hardly a single reason for reducing treatment places in paediatric psychiatry, and plans to stop this need to be made. Although waiting time has also decreased for these, in many cases there is still an unacceptable long waiting time. A joyous move, as we now see clearly, is the construction of regional units in the treatment of eating disorders. I just hope that the profession is in place from day one. Another issue that is not satisfactory is the research and development of knowledge in the field of mental health protection. Very few professors in the field testify to a lack of research and a high level of competence. Here, regional health businesses and university environments have a task to do.
ParlaMint-NO_2004-03-30.ana.ud2301e442	There is little doubt that psychiatry, after being treated with a vote for years, has received a completely different attention in recent years. The escalation plan for mental health has led to a strong increase in resources for psychiatry. This has contributed to a sharp increase in the number of people treated, both in adult psychiatry and in paediatric and juvenile psychiatry. The waiting time has decreased, although it has not decreased as much as the increase in treatment capacity should be expected. It is not only negative, although in some cases the waiting time for the individual patient alone is unacceptable. That also means that the threshold for seeking help is lowered, and that's good. In the political world, it's not foreign to anyone to get out of the problem. But money alone is rare enough. In this way, the escalation plan is no exception. Increases in capacity and quality in psychiatry depend entirely on strengthening professional competence. This was also the reason why the escalation plan was extended by two years. Having said that, I would say that there are no black seas either in terms of manning or raising competences, rather on the contrary. According to a report from SINTEF Unimed, published earlier this year, both the increase in staffing and the increase in skills has gone faster than the objectives of the plan. Moreover, the same report concludes that mental health protection is well placed in relation to most of the objectives of the national escalation plan. What does not impress me, however, is the number of consultations per. working day per day treats. While the target in the escalation plan is 50 pst. productivity growth, the number of consultations has dropped from 1.67 to 1.54. Although the treatment of mentally ill people cannot be compared to hip operations according to the assembly line principle, this does not belong anywhere. Although there has been an increase in productivity of both 20 and 30 pst in some places, this is not particularly impressive. Even with such an increase, two treated patients have not even been reached by day if the starting point is one and a half patients. There are a lot of meetings, courses and bad organisation here, and I hope that the Minister of Health will pay this extra attention in the time to come. Although it is difficult to judge how to treat psychiatry as an outsider, we cannot allow psychiatrists to be protected from demands for the provision of services. The starting point of the inter-pellant is the frequent messages of cut in the supply to people with mental disorders. The Council of State took a thorough look at this in its answer. Although, in some cases, a call for warning is justified, it is not always true that the crisis picture matches reality – and fortunately so. The Psychiatric Plan has led to several treated patients, shorter waiting time and greater transparency about mental problems and diseases.
ParlaMint-NO_2004-03-30.ana.ud2301e453	I have never understood that the escalation plan for psychiatry would result in a reduction in somatic health care. Where did you actually get that? That's going to be crazy. Despite the high attention the size of the population has shown in relation to the psychiatry plan, and despite the fact that the health minister’s clear guide to health companies on the prioritisation of psychiatry, there is unfortunately a slowdown in treatment provision in many places, and the waiting lists are also increasing in some places. The Progress Party believes that one of the main reasons for this growing waiting time is not just a lack of resources, but a lack of efficiency in the various psychiatric hospitals and DPS. It is now imperative to go into the internal organisation of individual psychiatric hospital units and DPSs to find explanations as to why psychologists and psychiatrists in public psychiatric hospitals and outpatient clinics are only able to treat about 20 %. one patient per day. daily work, while private psychologists and psychiatrists treat up to eight to nine per year. day work. Previous explanations of this great difference, that the private psychiatrists only take the easiest patients, are no longer a durable explanation, nor are they correct. In my opinion, the very culture of psychiatric treatment institutions needs to change. If the professionals themselves are not able to do so, the business authorities must intervene and ensure that staff, in particular psychiatrists and psychologists, are required to participate in order to increase patient treatment in relation to the current situation. We can no longer accept that patients in psychiatric hospitals stay in the department for five to six days before contacting psychiatrists or psychologists in the department. Nor can we accept that psychiatric wards are staffed with uninformed turnaround candidates, and that cases such as those of a hospital in Health South recently occur, where a young woman was only appointed by a turnaround candidate and was not admitted, despite serious psychosis, and the next day she took her own life. Nor can we no longer accept that more district psychiatric centers have only opening time from 9 to 16 and refuse to add patients despite the fact that they have empty beds. It is my conclusion that the Minister of Health here must immediately intervene in the internal organisation and operation of some of our psychiatric hospitals and outpatient clinics. Psychiatry, I believe, must become a stronger integrated part of the specialist health service, and not engage in freelance activities, as it is doing to some extent today.
ParlaMint-NO_2004-03-30.ana.ud2301e464	A significant proportion of those suffering from mental illness also suffer from addiction problems related to drugs. With effect from 1 January of this year, the State of regional health establishments also assumed responsibility for the specialised treatment provision for those with drug dependence. Therefore, the issues addressed by the interpellant in psychiatry are also closely related to the drug field. As with psychiatry, we receive almost daily reports of cutbacks and restrictions both in the treatment provision of people with dual diagnosis of drugs/psychiatry and in the treatment offer of those with drug dependence as their main problem. I'll give you some examples of this. At the Buskerud Hospital in Drammen, they expanded from six to nine places in 2003 the ARP Research Unit – the Department of Raisin and Psychiatry. After the expansion, the process has increased sharply, and they now have a waiting list of approx. 60 drug addicts and a waiting time of at least two months. Despite this, recent decisions have been taken to reduce the number of seats by 30 pst, from nine to six again, with effect from 1 May this year. They're out of $2 million. kr to maintain operation. Froggnerlia dualdiagnosis treatment institution in Lier reduces the number of treatment sites by 20 pst during these days. – from ten to eight – for economic reasons. Patients applying for treatment need long and time-consuming treatment, usually for about a year. Due to demand for efficiency and reduction in the number of sites, the treatment duration now has to be reduced to six months, which may be even shorter. It is said that this is becoming a much worse treatment provision, and the chances of success are reduced accordingly. For patients whose drug dependence is the main cause of suffering, this offer is being reduced, and waiting time is partly increasing dramatically. The methadone team in Buskerud reduces the offer by 10 pst. The waiting time to start up after a treatment decision is about one year. Yesterday, Telemarksavias reported a record methadone queue in Telemark, and that MAR – drug-assisted rehabilitation – has introduced an intake stop. Only those with life-threatening somatic or psychiatric diseases are admitted, despite the fact that nearly a hundred are on the waiting list. These are just a few examples showing that there is now a call for a warning from large parts of the country that something needs to be done quickly. There is good reason to fear that some of those waiting for treatment will die in this waiting period. I also expect the Minister of Health to be familiar with this situation, assuming that he looks at it with the greatest seriousness. The question will then be whether the Council of State can promise that, since the revised national budget, concrete and highly targeted measures will be taken to increase both the capacity and quality of the part of the care for which the health care provider is responsible.
ParlaMint-NO_2004-03-30.ana.ud2301e481	We know that the number of people with weighty mental health is high, and that the consequences are high, mainly in terms of personal burdens, but also in terms of major economic challenges related to treatment, social services, sick leave, disability and job losses in society. This is why the Christian People's Party has committed itself so strongly to building up a valuable supply for people with mental illness. The escalation plan has had many positive results so far. Much has been achieved. More searches for help and more ones get help. Increased bet produces results, and your wager is going to be useful. More than 10,000 children and young people received assistance from the specialist services in 2002 than in 1998, an increase of a total of 51 pst. And almost as strong is the increase in the number of people asking for help. The average waiting time for adults has been relatively stable between 2001 and 2003 — between 50 and 60 days, despite the fact that the number of newcomers has risen sharply over the same period. The average waiting time for children has been reduced from 90 to 70 days in the same period. Here too, the number of newcomers has risen sharply. This shows that many people dare to ask for help and believe that it is useful to ask for help. The Christian People's Party expects the waiting lists to go further down. So many things have happened. And even though much remains, we must not forget that the starting point for the escalation plan was a crushing description of the services we could offer people with mental illness. There was a lack of capacity in the specialist services, a lack of local action in the municipalities, too high a threshold to escape, too long from the first signs of illness to treatment, for early printing, missing follow-up after printing and for poor quality assurance of services. This was described as ‘failure of all paragraphs’. The Roadmap for Mental Health has led not only to an extensive expansion of services but also to a comprehensive restructuring. This means that, in parallel with the build-up of the supply, there will also be a build-up of the supply that will be replaced by new ones. But for the Christian People's Party, it is a premise that one does not build up old offerings until one has managed to build up new ones. The Christian People's Party shares the great impatience of results expressed in the social debate. Nor should one forget that it takes time to plan and build skills. It is important to be aware that although the escalation plan contains some comprehensive set of concrete measures, it is a field of thought, behaviour, understanding and not least working methods that are changing and developing. This means that each municipality and enterprise needs to find good solutions locally. There is a plank execution, not when the background was "fail in all the paragraphs", but a bet that requires reflection. It's important to jump fast, but it's at least as important to jump in the right direction. Although not all targets have been achieved, the results achieved show that there is a positive development in psychiatry. More people get help, and more people ask for help. And waiting times are getting shorter, especially for children and young people. So this shows that it's useful to have a government that dares to bet on psychiatry.
