ParlaMint-NO_2004-02-11.ana.ud831e28	The representative of John I. Alvheim will make a private proposal.
ParlaMint-NO_2004-02-11.ana.ud831e208	Here there is no doubt that my commitment is strong. Especially connected to the previous job I had in Stortinget, as head of the Justice Committee, I see the close relationship between drug production and drug exports and military unrest and the lack of stabilisation. It is no coincidence that two of the areas in which Norway has had the largest military presence, Kosovo and Afghanistan, are also the areas that are struggling to be involved in drug crimes. That is why it is so important, as I stressed, that there is close cooperation both on the aid side, on the military side and on civil institution building. I also know that this dialogue with the Central Asian countries will be one of the points that will be discussed at the NATO summit in Istanbul at the end of June. And the cooperation that NATO has launched in the EAPC, where we have now included countries like Tajikistan, Uzbekistan, Kyrgyzstan, etc. in the work of NATO in the region, we also have opportunities to obtain results in the field of drug traffic.
ParlaMint-NO_2004-02-11.ana.ud831e216	There will be follow-up questions – Rita Tveiten.
ParlaMint-NO_2004-02-11.ana.ud831e219	I have a follow-up question to the Minister for Development. The majority has supported Afghanistan as a new co-operation country for Norway, and Norwegian emphasis has been placed on this with the development of living conditions, the development of democratic institutions and the security of women’s situation. In this context, it is important that there is good cooperation and a good interplay between the fields of interest of the Minister of Defence and the Minister of Development. I would therefore like to ask the Minister for Development what kind of industrial policy measures can be implemented by the Norwegian side in this cooperation in order to allow farmers in Afghanistan to find ways of feeding other than the cultivation of opium poppy and, where appropriate, to do something with Norwegian import rules to facilitate access to legal goods from Afghanistan to Norway.
ParlaMint-NO_2004-02-11.ana.ud831e228	This is a very important question, and there is no doubt that we are following this closely from the Norwegian side. Drug production and its explosive increase have been the main theme, an important theme, in my talks in Afghanistan last autumn, in September, both with actors on the UN side and not least with Afghan authorities. We believe, as the Minister of Defence says, that it is very important to have an overall approach to this as addressing – to put it that way – both the side of action, the side of control and what goes on the situation of farmers, ensuring their outcome. In addition, the pay for opium production is so much higher that aid projects are even affected, in the sense that wages are so low that opium is produced. So we have to have an overall approach to this. Whether or not we are to be part of an agricultural development programme in Afghanistan on the Norwegian side is not given because we have a division of labour between donors. It is primarily the British Ministry of Development, the DFID, which has the primary responsibility and is so-called the leading donor in this area. [[The President clubs.]] We are now cooperating with them and with other donors on how we can ensure that action is taken on the ground.
ParlaMint-NO_2004-02-11.ana.ud831e237	The President must sometimes remember the speaking time. Kettil Bjørklund – for follow-up questions.
ParlaMint-NO_2004-02-11.ana.ud831e242	This follow-up question goes to the Minister of Defence. In order to be able to expand ISAF in Afghanistan, there is a per cent Today, depending on allying with local warlords. Is the tacit acceptance of opium production a prerequisite for extending ISAF to a larger area in Afghanistan, and does the Council consider the fight against drugs in Afghanistan to be a task for NATO?
ParlaMint-NO_2004-02-11.ana.ud831e249	NATO’s efforts to expand ISAF outside Kabul are not tacitly accepted by drug production, and it does not require cooperation with drug producers. NATO is expanding outside Kabul following a strong call from Kofi Annan on behalf of the United Nations – a separate UN decision that was passed on to the Colorado Springs Defence Minister’s meeting in October – and we are expanding outside Kabul following a strong call from President Karzai. The reason why President Karzai and Kofi Annan want us to do this is that the legal authorities in the country should have an increased opportunity to exercise legal control. It also means combating drug crime. This is not a problem NATO can solve alone. What is NATO's task in Afghanistan is described in the mandate given by the UN to the ISAF forces, because it is the mandate upon which NATO is based.
ParlaMint-NO_2004-02-11.ana.ud831e254	Let's go to the next main question.
ParlaMint-NO_2004-02-11.ana.ud831e257	I would like to ask Mr. Frafjord Johnson a question. Israel builds on occupied land a wall condemned by a whole world, condemned by the United Nations and also condemned by Norway, a wall that it is very difficult to see having a reason, at least from a Norwegian standpoint. I understand that the Minister for Development has been on a visit to Israel in the occupied areas and also at the wall and has had a strong experience associated with it. It is clear that it is very easy to see the hopelessness of the Palestinian children's eyes standing in front of this great wall, which is actually a wall of shame, a wall that underlines the almost apartheid-like system that unfortunately has become in Israel. My question to the Minister for Development is: How does she imagine that we can help Israel to comply with international law on the part of Norway? This is condemned by the United Nations. How can Norway either help or in any other way allow Israel to tear down the wall that a whole world is asking Israel to tear down?
ParlaMint-NO_2004-02-11.ana.ud831e266	To the representative's briefing, I was only with the Palestinian self-government authorities, and not on the Israeli side or had conversations with the Israeli authorities. It was primarily a developmental visit, focusing on the consequences of today’s critical situation for the Palestinian people and for the authorities. There is no doubt that the situation is both critical and partly dramatic in several places. The government's position on the wall, to which the representative also referred, is clear: it is contrary to international law. Israel is not acting in accordance with the UN's unequivocal demands to reverse the construction of the wall. There is no doubt that this not only has consequences for the Palestinians, but it also makes a fragile negotiation process difficult with a view to a two-state solution. If I had had a good answer to the representative's question, I would have given it to him. Now a wall is being built, and a whole world in the United Nations context, 144 states, I think it was, has clearly said that it is contrary to international law. We see and regret that Israel is not acting in accordance with this clear demand to reverse construction, but how we are going to help Israel act in line with UN resolutions is very difficult for me to respond to.
ParlaMint-NO_2004-02-11.ana.ud831e275	I thank you for the answer and thank you for the unique position expressed here by the Norwegian Government, namely that this wall is in violation of international law and that Norway supports the UN decision. It is therefore with great wonder that we have registered – because the UN General Assembly has asked for this case to be brought before the Court of Justice in The Hague – that Norway, together with 33 other nations, the United States and the United Kingdom, which have not initially supported the Norwegian position in this regard, has agreed to reject it before the Court of Justice in The Hague. This means undermining the decision taken by the UN in the General Assembly, supported by Norway in the General Assembly. Then the case is brought before the court in The Hague, and Norway says, strangely enough, that we do not support it, and refuses to deal with this matter. In Israeli opinion, this is of course used for everything it's worth. In fact, this offensive may have been used, because this is not a violation of international law, and Norway is undermining the United Nations authority. My question to the Council of State Frafjord Johnson is: how can it be that one is so unambiguous in the condemnation of this, while at the same time undermining the authority of the United Nations by rejecting the fact that the case is being raised, as requested by the United Nations, before the Court of Justice in The Hague?
ParlaMint-NO_2004-02-11.ana.ud831e286	I think the representative of Djupedal had the opportunity to ask the Constitutional Council of State about this in the Questionnaire last week. I find that this was not the case. However, I will provide the Norwegian Government with an answer to this, even if it does not belong to my constitutional responsibility. There is no doubt about the Norwegian position. There is no doubt that this is illegal in relation to international law. We've said that, and that's what 144 other nations have said. In terms of content and substance, we therefore fully agree with the Palestinian self-government authorities in this matter. Then there is a question of which mechanism to use, and whether to use the Hague Court as an instance to establish something that, in the opinion of the entire international community, is illegal, is a proper way to go. So it's a question of methodology, and not a question of politics and international law. The international law is clear, and it is now up to the Hague Court to decide for itself whether to take this case, and on that occasion Norway has also sent its input to the Hague Court, and then the Hague Court can decide for itself.
ParlaMint-NO_2004-02-11.ana.ud831e296	There will be follow-up questions — Åslaug Haga.
ParlaMint-NO_2004-02-11.ana.ud831e299	It is good that Regeringa is very clear that the construction of the partition wall is contrary to international law. But the Center Party also wonders that you are not willing to use all diplomatic channels to support that particular point. By not taking this case to The Hague, there is a risk of two things, both that the case is exploited by the Israelis, as we already see, and that the Palestinians are further discouraged from using diplomatic channels. My question to the Minister for Development is whether she sees that this handling, that the matter is not taken to The Hague, will further contribute to reducing the Palestinians' belief in diplomatic channels and instruments.
ParlaMint-NO_2004-02-11.ana.ud831e306	I would say that it is not right to use the designation diplomatic channel on the International Court of Justice in The Hague. It is a legal and legal instrument of international international law, not a diplomatic channel. Norway has used all the diplomatic channels that can be used in the UN International System, not least bilaterally towards Israel through the talks of the Minister of Foreign Affairs and the Prime Minister. As regards the question of the Hague Court, it is for the Court of Justice to assess this for itself. It has now received a case on its table, and it will decide for itself whether to deal with this matter, and in what way. There are 44 states, including Norway, that have made representations to the Hague Court on the occasion of the case, and now it is up to the Court to assess how it will deal with this issue. But I repeat: there is no doubt about the Norwegian position, there is a question of how to use the Hague Court in these kinds of issues, which is the basis for the Norwegian position.
ParlaMint-NO_2004-02-11.ana.ud831e313	Kettil Bjørklund – for follow-up questions.
ParlaMint-NO_2004-02-11.ana.ud831e316	We in SV greatly appreciate the good will of the Minister for Development. But it seems that the international community is powerless towards Israel, which is in violation of all UN requirements and international law and continues to build the wall on Palestinian soil. This creates a huge frustration in the Palestinians. As Terry Boullata said to the newspaper yesterday: «... we are tired of comforting words from politicians and other visitors. We want action. We want to end the abuses, ’ What does the Minister for Development think can be done now, in concrete terms, to press Israel to stop the construction of the wall, and get this wall of shame torn? Or does the Minister for Development have no advice at all?
ParlaMint-NO_2004-02-11.ana.ud831e326	I repeat that exerting pressure or dealing with the kind of bilateral foreign policy issues is not my task. I am the Minister of Development, and I have a constitutional responsibility for the development-related issues. There is no doubt that the consequences for the Palestinians are great, also socio-economic, and the frustration to which the representative refers is also very deep and very, very strong on the Palestinian side. As I replied to the representative of Djupedal, it is very difficult to say how to contribute to the follow-up of UN resolutions. We are now using all channels – that is the primary responsibility of the Minister of Foreign Affairs and the Prime Minister to do so – in relation to the international bodies we have, in particular the UN, but also by giving clear bilateral notice. Norway has, and we still will. In addition to that, I do not, within my constitutional responsibility, have any means to point out.
ParlaMint-NO_2004-02-11.ana.ud831e335	Last follow-up questions – Marit Nybakk.
ParlaMint-NO_2004-02-11.ana.ud831e338	Let me first say that I am pleased that the Council of State so clearly stresses that the wall is contrary to international law. I also want to add that the apparent failure of the international community also has a deterrent effect on the Palestinian population, it seems frustrating, it exacerbates the contradictions, and it is clear that it contributes to a new generation of young people like, among other things. become suicide bombers. In general, you might say about the Middle East that there should be no walls here, bridges should be built. We don't get peace in the Great Middle East either, if it's possible to call it that, before you solve the Palestine-Israel conflict. It is such that the great poor masses of other lands in the Middle East today channel their anger against Israel rather than against their own despots. I would urge the Norwegian Government, in this context the Minister for Development, to continue this issue, because it is important to follow it up.
ParlaMint-NO_2004-02-11.ana.ud831e347	I think the representative Nybakk referred to something the pope has said. I think in this context he has said something very reasonable about this wall, that to create peace, you do it by building bridges, not by building fences. In relation to exactly what is happening on the Palestinian side, I can at least say that the government is going to follow this up and is very concerned not only with the situation in the Middle East – we have an inheritance to take care of – but also with regard to the wall. What I have constitutional responsibility for, I can promise will be highly focused and prioritised from my side. I am also going to talk to my colleagues in the Utstein Group and others about how it is possible for us to angle aid and development cooperation in such a way that we can help the Palestinian people maximum in the situation they are now in, where the suffering is great, and the frustration – as the representative rightly points out – is very high. We have to use the tools we have at our disposal, and I can promise that we will.
ParlaMint-NO_2004-02-11.ana.ud831e354	Let's move on to the next main question.
ParlaMint-NO_2004-02-11.ana.ud831e357	My question goes to Minister of Oil and Energy Steensnæs. I would like to address a problem concerning the flood in the North West and in Trøndelag in August 2003. There was a great flood, where six municipalities were particularly hard hit. Damage for 6.5 million. kr was covered by the State budget for 2003 and it was 100 pst. of that part. But there's still work to be done for about 16 million. kr, which must be done in 2004. In questions to the oil and energy minister from me on 27 January 2004, I asked if 100 pst will be given. coverage for the rest of the works. The answer was perceived as being given 80 pst., and the municipalities and interested parties had to cover the rest – i.e. 3 million. kr. In Møre and Romsdal yesterday, a department director in the NVE informed that all the municipalities concerned had to cover the cost of 100 p.m. after the flood in Eastern Europe in 1995. I understand that the same was true for 1997. What does the Council of State think of this? Wouldn't it be reasonable to treat cleaning after these floods in the same way?
ParlaMint-NO_2004-02-11.ana.ud831e371	I then replied to a written question from the big-time representative, Inger S. Enger, about the coverage of the district share in terms of the flood in the North-West. That's right. That's 100 pst. of the costs of the floods in 1995 and 1997 were covered by a decision on a collapse. The cost of these floods was significantly greater than at the flood we're talking about in this case, and that hit, among other things. Norddal municipality. It is the Stortinget that has decided that the permanent security measures are to be financed through an 80 pst. government grant scheme and 20 pst. district share. That's what this department is after, and that's what's been followed in all other flood damage cases. I would also like to stress that in terms of the immediate measures to secure values and properties, the State covers 100 pst. of such expenditure. It is the more permanent security measures that have such a district share of 20 p.m., to which I referred.
ParlaMint-NO_2004-02-11.ana.ud831e380	I thank you for the answer, but I wasn't completely reassured, especially because here we get a discrimination with regard to these floods, which are of great importance to people. I don't think there's any excuse that the Council of State says that the floods at that time were considerably larger. That's a lot of money for them. Here we're talking about both companies and municipalities that get a lot of money. I think it should be so that the Council of State goes in for 100 pst. Thus, coverage, as it now appears, is a real disagreement between the NVE and the Council of State. It is a practice that the Council of State should not seem to be right. Interested parties are now uncertain about this and need clarification as soon as possible.
ParlaMint-NO_2004-02-11.ana.ud831e387	The representative is quite right that if there is a disagreement about the interpretation, it is not for the Council of State. I just want to make it clear that I am dealing with a big decision. The size of this legislation was such that in 1995 and 1997, 100 psts were covered. of the damage. But one then got a rule, which was discussed and maintained at the latest in St.meld. No 42 for 1996–1997, where it was found that the general rule is to cover 20 pst. through a district share and 80 pst. through a State share. There is an opportunity to apply for a derogation. No such derogation has been received by the Ministry.
ParlaMint-NO_2004-02-11.ana.ud831e396	There will be follow-up questions – Øystein Djupedal.
ParlaMint-NO_2004-02-11.ana.ud831e399	The discrimination which exists in dealing with these applications has caused great concern. Many have expected to get 100 pst. Coverage, as obtained from the large floods in the 1990s. There is probably also every reason to believe, unfortunately, that floods are going to become a more frequent phenomenon, in line with the developments we have seen internationally, and also in line with climate change. This allows you to face even greater damage in the future, so if it's just going to be 80 pst. coverage means that a greater proportion of the costs will fall on the community. This is a political decision, and the Council of State is absolutely right to hide behind it. But a political decision does not stand for eternity. My question is whether the Council of State will come back to revision with an assessment of the wisdom and appropriateness of the implementation of this rule. The fact that community ownership is so high as in this case makes it uncertain how to finance much of the work that has been done. There are many entrepreneurs and others who have contributed to relaunching societies, and there is now uncertainty about who will bear the costs. My challenge to the Council of State is whether he will come back to revision with an assessment of this issue.
ParlaMint-NO_2004-02-11.ana.ud831e410	I want to repeat that in terms of the immediate remedial measures to secure the value and property, the state covers 100 pst. of such expenditure. It is the long-term hedging measures that have a district share of 20 pst. I am pleased that the representative, Mr Djupedal – to the extent natural enough – accepts that the Council of State cannot exempt itself from what is a major legislative measure. I see that there may be borderline cases with regard to these large barrels, where the Storting has decided that 100 pst. of the long-term hedging measures also to be covered by the State and that the size of the floods may lead to uncertainty as to where the limit goes in relation to what would be a reasonable district share and when to cover, for example, the State. 100 pst. I made the representative of Enger aware that it is possible to apply for a derogation. If such an application comes, I will of course evaluate it thoroughly.
ParlaMint-NO_2004-02-11.ana.ud831e419	Let's go to the next main question.
ParlaMint-NO_2004-02-11.ana.ud831e422	I will allow myself to ask questions to the Minister of Oil and Energy. The Labour Party believes that the Government is wrong when it conducts an energy policy that means shutting down industry, and high electricity prices to household customers. The majority of the population have ensured that three concessions have been granted for the construction of gas power plants in Norway. As you know, the Bondevik I government chose to leave because it was opposed to that access to energy. The construction of gas power plants in Norway has also been absent, on the grounds that it is not profitable. In January this year, a decision was taken in Sweden to start the construction of gas power plants in Gothenburg. Can the Council of State explain to the Norwegian people how and why gas power plants can be built in Sweden, but not in Norway?
ParlaMint-NO_2004-02-11.ana.ud831e431	Norway participates in a Nordic power market together with Sweden, Denmark and Finland, and therefore initially there are equal prices in the Nordic market. However, it may vary somewhat because of the so-called bottleneck principles. As regards the construction of conventional gas power stations, it is right that the representative of Klungland now refers to that three such concessions have been granted. It is entirely up to the owner to assess for himself whether, in the light of long-term electricity prices and current gas prices, it is profitable to realise this. I have understood that a gas power plant is planned in Gothenburg, based on current gas prices and the future electricity prices in the Nordic market. This company obviously has other assessments of the risks associated with the construction of such gas power plants. It is quite up to the companies to assess this risk. This is not up to the Government to assess; it is an assessment that the Board of Directors has to decide on in respect of the concessions in question. So this isn't up to the government. However, I would like to refer to the 2002-2005 long-term programme of the government of Stoltenberg, which reads as follows: ‘The profitability uncertainty also contributes to uncertainty as to how quickly gas power plants can be built.’ This shows that neither the workers' party government would ensure that the gas power plants were built, but, of course, leave such assessments to the concessionaire and to the company's profitability assessments. It is the companies that must be responsible, it is the ones that have been granted the concessions, and it is the ones that must take the decision.
ParlaMint-NO_2004-02-11.ana.ud831e443	I think this is quite eye-catching. Norway has an energy minister, and the Labour Party means that we have a government council to ensure that Norway has enough power and energy. There is nothing to suggest that the Swedish should be able to build these gas power stations a little better than Norway should be able to. There is a suspicion that there may be political leadership over the fact that gas power stations are not being built in Norway. Now the Council of State has the opportunity to explain how he will in the future cover the power balance deficit in Norway. In the Labour Party, we think he should take advantage of this opportunity, and try to explain it to the Norwegian people, so that we do not base our power needs on neighbouring countries and pollution there.
ParlaMint-NO_2004-02-11.ana.ud831e450	I think it is quite alarming if Rolf Terje Klungland now indicates that the Council of State should interfere with the company's profitability assessments and take responsibility for the obligation on companies to build gas power plants despite the fact that they themselves find it unprofitable. I would like the representative of Klungland to confirm that this is what the Workers' Party intends to do with what he is now saying. With regard to our measures in relation to security of supply, I will refer to the Government's 10-point list in the security of supply message that is now being dealt with in the Storting: 1. strengthening the conversion of energy use and production2. improve regulation and planning measures in energy conversion3. strengthen the basis for more hydropower generation, not least small power plants4. work on a single Norwegian-Swedish market for green certificates5. increase the use of natural gas6. strengthen Nordic electricity cooperation7. ensure continued effective competition in the power market8. clarify the responsibilities of the RACs and the system operators9. facilitating increased consumer flexibility It is the answer to the question asked by the representative of Klungland. [[President clubs]]
ParlaMint-NO_2004-02-11.ana.ud831e491	There will be follow-up questions – Olav Akselsen. So the number is one minute!
ParlaMint-NO_2004-02-11.ana.ud831e496	This answer shows that the Council of State has abdicated, when he says that it is entirely up to the market to obtain electricity from Norway. I must say, I think it's interesting. During the last Bondevik government, the goal was that Norway should be self-sufficient in electricity; we should bet on imports to meet our needs. Last winter we imported power from Russian nuclear power stations and from Polish lignite. In Denmark, an old coal power plant was fired, and the Swedes and Finns started running their oil power plants. CO2 emissions in the North exploded. Now we know that gas power plants will be built in Sweden, and this power will go right into the Norwegian network. In Norway there has been a strong debate devoted to the release of Norwegian power generation. And my question is, is there no concern in the government system about the emissions that come from the production that we import across borders?
