ParlaMint-NO_2004-12-07.ana.ud735e44	The representative, Karin Andersen, will make a private proposal.
ParlaMint-NO_2004-12-07.ana.ud735e150	In order to continue with what the representative Heidi Sørensen finally said: we should not go any faster than what is fully defenceful, when it comes to conversion into Norwegian railway. We will remember that the principle decision on this was actually made in the autumn of 2001, and it will be fully implemented from 1 January 2009. So it's going to be over a seven-year period. And if you can't do it in a defensive way, it's other than the Storting that should have a big problem, the ones that run these processes. It's the one. The second is that this whole process is to be carried out under the supervision of the railway supervision, which is completely independent. I have full confidence that they will make sure that this happens in a proper way. So talk to the representative Sørensen about Avinor. Yes, it's about heavy processes, but in the same way, there's a supervision that says from that day things don't really happen. They've done it a couple of times, and Avinor's been following this up to a point and a dot.
ParlaMint-NO_2004-12-07.ana.ud735e159	The cord shift is over.
ParlaMint-NO_2004-12-07.ana.ud735e163	I've been on a lot of companionships in this room, partly for the little hours. This period I have been involved in all the debates, and the commitment has increased with insight into the subject area and with the increase in the right-hand side of my eagerness to launch and privatise important societal tasks. They're talking about clearing up roles, and the only thing they're pointing at is putting out competition and privatization. They're talking about more roads and railways for the money, and the only thing they're pointing at is putting out competition and privatization. This suggests bad imagination. It is possible to clean up roles and get more out of money in other ways. So far, at least there is little evidence that what has happened to AS certification, postponing competition and privatisation has given us, that is. state, more for the money. The road may be producing something cheaper, road maintenance may be cheaper, too, but I'm not sure if we correct for the additional costs that the new system brings about when it comes to offering, supervision and control. There are probably several bureaucrats we get for the money for the road sector, no more roads or road maintenance. I guess that wasn't the point. If we were to look at social accounting in a broader perspective, the calculation might be even more discouraging. People get final packages from them is 45 years old and early retirement from them is my age, and some go out into unemployment or get unemployed. It's tough for the individual, and it's expensive for society. This pushes people out of work, which is the very opposite of what we want. We want people to work longer. Nevertheless, the zeal continues in a good liberalist spirit – not because it works, but because the right-hand side thinks it's right. They are now in a hurry to transform the Coastal Works and BaneService into a limited liability company and to put the railway company Operation on a competitive footing. It should be used for 400 million. NOK to get close to 1000 to finish at the Railway Station for the coming years. This represents the majority of the competence we have in rail operations in Norway, which is now to be left to a private market, which is at best small, in the worst case hardly exist. These private tasks are now to be assigned to operations and maintenance, tasks which are largely concerned with railway safety. This is an experiment the world has few examples of having been closed, on the contrary. This is an experiment that can lead to the fragmentation of responsibility and the weathering of the professional environment, rather than the opposite. This is too extensive anyway, and it's added to a process that's too fast. It is wrong, the representative Løvik said to TV 2 today. The railway company has not said that they have added 400 too much, they have said that they can reduce the number of people added by 400 over a few years and put out some of the work they do. As Heidi Sørensen said: BaneService is a project organisation for a large project, and in no way an operating organisation for the Railway Agency. Other speakers from the Labour Party will come back to this. I just want to say to the Council of State: that she is dry, and I had almost said, now again – now that the leadership of Avinor AS has alerted time-out on a similar process to engage in dialogue with them, as even VG and Evening Post in the lead place order that competition does not possess as well where one has duties related to operation and security in the transport sector! The fact that the Council of State on the radio is nearing a pre-Christmas Sunday set aside the director of the railway and justifying the transformation with claims about camaraderie and the lack of an overview of security makes it even worse. If this is what's behind it, I believe that the Council of State, in its formal argumentation, has led both the lead, they have added and the size behind the light. It may be that it is after the plans have been made concrete that the Railway Authority must enter and evaluate the proposals in a purely formal manner. However, it would be a good idea, according to the Workers' Party's assessment, to make part of these assessments before a case was brought to the Stortinget. It would probably also be a good idea to spend a little more time with the guide and add them to come up with common solutions. The right-hand side of his birthright is that almost 1000 of those added to the railway station should be terminated or terminated – no loving Christmas presage to those in debt, and their families. And it's basically not sure it's going to be anything of, a believe what was in the newspaper yesterday. It is possible that the Council of State thinks this is a good way to get together with them added in a demanding conversion. I don't think so. Today, the Railway Federation has a political strike. I have a lot of understanding for that. It is not in the right-hand side of the railway network that they sometimes talk about, in part in this room – the railway network has shared responsibly and constructively in many conversion processes. Now they're angry – at the proposal, at the arguments, and not least at the state council's claims of camaraderie. Today, they have the third political strike of over 80 years. My advice to the Council of State is: take them added, and for that matter the rental of the railway works, seriously before it is too late. So a little bit more: after the budget agreement, the government's party is almost $3.5 billion below what they promised in the national transport plan. The working party promised NOK 1.6 billion less and has allowed approx. Two billion more in our alternative budget. So we've kept what we promised, and we can even read it out of the government's own numbers. We've promised more for the next period. And we're going to have to think about that. In the Labour Party we believe that we must build the country all the time, and that over the next ten years we are facing major challenges. In 2005, we'll spend $1126 million. kr more than the Government. Of these, 50 million go to fishing ports, 520 million. NOK to road-goal and SEK 430 million. kr for public transport. I have to correct a number on page 20 in the setting, where it says we want to invest 35 million. kr in the railway line. It should be 52.2 million. kr, and there shall be level crossings and security measures. I'm not going to go into a lot of concrete road projects, but I have to say, because there are friends from Hardanger here who are very happy for the Jondal tunnel, that in the Labour Party we have 50 million. kr into this project next year, and I am happy that the majority have also found a scheme. The government does not care that a multiplicity has agreed to increase the licenses for railway investment from NOK 16 billion to NOK 26 billion in the next period, and has not increased the amount required to plan assets. The working party increases these permissions by 200 million. NOK, and we increase the fees for public purchases by NOK 100 million. This means, among other things. provide room for public purchases on the international train, primarily the Stockholm train, for Vägne, and for NSB AS to continue to provide discounts. The fact that the majority today with open eyes reduces the train supply abroad is completely incomprehensible to me. The offer is almost ruined from the new year. Rebuilding the offer will not be easy for new stakeholders. As talentless as this, it's most unlikely to be. I think the noise level will increase monthly when those who have used this environmentally friendly and effective offer find out what has happened. It was e.g. 185000 passengers travelling on the Stockholm train last year. The next thing to fully liberalize is, according to the proposition, the taxi industry. The matter comes back in the form of a legislative proposal. The Labour Party, SV and the Centre Party are against this. We think more control is needed than more freedom is needed in an industry where people will soon have to work twice in order to have a decent income. We also believe that conversion and, in part, closure of the traffic stations are going over the stick and stone, and therefore support the Center Party's proposal to stop the conversion and improve the impact. Not many plurals either. This is a sad day for train lovers and for people who are concerned about safety on the railways and at sea. New decisions are being taken here to prove difficult to implement, both because the proposals are wrong and because the processes have been bad and are likely to continue. I was visiting the DSB last Monday. They've also changed, and they've put out a lot of competition. They still have a different understanding – they take a long time, and they play on layers with them added. The working party will vote against the draft budget. We are therefore also voting against the transformation of the Coastal Works and BaneService into a limited liability company – it will be repeated at the Odelstingsmeeting later today – and we are voting against postponing the tasks of the Railway Works Operation. We also vote against «strupa» Post AS with an exchange of 74 pst. the surplus after tax by reducing the exchange by 126 million. kr, and we agree to reduce the risk of restructuring in Mesta AS by 100 million. kr in 2005. Should believe that the 2005 choice is not a choice – a choice of will to bet on commerce, but also a choice between a management-control trade sector and a sector primarily for private market players. Finally, I would like to address the suggestions we have made with the SV and the Center Party.
ParlaMint-NO_2004-12-07.ana.ud735e217	The representative Oddbjørg Ausdal Starrfeld has addressed the proposals she referred to. It's going to be line change.
ParlaMint-NO_2004-12-07.ana.ud735e222	The Labour Party has opposed all changes and competition. If I don't remember correctly, they were against the fact that the NRK was going to have competition from TV 2, against Avinor AS, against Mesta AS, against the transformation of the railway station, and now we hear that they are also against competition in the taxi industry. Security has been consistently used as an argument from that side. England has been drawn out as an example of that. In the committee we were informed by the Railway Agency that there had actually been more accidents in Norway than in England during the period of competition in England. It is strange that the Labour Party seems that competition between Skanska and Veileck in the civil engineering sector is perfectly OK, that competition between SAS Braathens and KLM and all other international airlines responsible for pilots, passengers and crew is perfectly OK, but not if there are public employees. Does not the Labour Party see any positive signs of competition, including for public employees?
ParlaMint-NO_2004-12-07.ana.ud735e231	It's probably the starting point that's different, because we don't see competition as a goal, but as a possible tool. For us, the right-hand side looks like a target in itself, even if it doesn't work. We've been on some competitions, for example. on rail in the case of freight. It is not new that a competitor for road production. That's how it's been for a long time, even while we had the Road Service. Then there were many private actors who produced roads. What's new is that road maintenance is on offer. We went for a divisional model when it came to Vegvesenet. But we don't think we can take it for granted that everything gets better as soon as it gets private. What we see is that we actually don't get any more money. We get a lot more bureaucrats. I thought it was strange that the Progress Party went for changes that led people away from the road and across to the office.
ParlaMint-NO_2004-12-07.ana.ud735e238	The Government has authorised the initiation of operations at Rygge civil airport. The concession is granted for up to 750000 passengers. When Stortinget dealt with the Avinor announcement of ownership, it was based on a report from Societal and Business Research that was quite clear that this airport will enter into direct competition with Gardermoen and weaken the operating base of both the Gardermoen and the entire Avinor system. In fact, smoke is not to pay a fee to the single fund, the joint and several funding system for aviation. The working party has supported a civil airport at Rygge and that Rygge should not pay into the common fund, and will not be included in our remark that points out this problem. Does the Labour Party not see that this could be an economic threat, both to Avinor and the entire Norwegian airport network?
ParlaMint-NO_2004-12-07.ana.ud735e247	I want to say first that I'm happy that the SV, the Center Party and the Workers' Party are some of the important structural issues in the transport sector, so this is a small exception. But what we did, unlike SV, which says no to Rygge, was to say that if it is established the type of private airport – including Torp, which is already established – they should pay a concession fee to the public checkout. Smoking represents so many possibilities for Eastfold and the Austland area that if they contributed to the joint fund with the concession fee, we thought that we have found a very good solution, which I am still inviting SV to join. That the Government did not follow it up with a concession fee, the Labour Party cannot take responsibility for it.
ParlaMint-NO_2004-12-07.ana.ud735e256	The opposition – without government responsibility, as SV has been – has had the ability to promise most for all purposes. But that the Workers' Party, with its long experience, is also at the top of the promise, I must say amaze me. What we now experience is that they also tend to promise most, more to everything, within this budget. In the NTP, it was approx. NOK 2 billion. Here it's hard, I think, to get to a majority. It must then be characterised as an airlock, when we know that SV will have a minimum on the road and the Progress Party will have more to do. Is it, then, to understand that what is now contained in the Workers' Party's proposal is just airlock?
ParlaMint-NO_2004-12-07.ana.ud735e263	I had hoped that the representative Holten would have taken a line on the Railway Agency and the launch of the competition, for there is one example of the many changes in the Christian People's Party after Bondevik II. They said they had to make sure that the Labour Party didn't go too far, while they now say that we don't go too far. We have kept what we promised during this period. We promised a little less than the Christian People's Party three years ago. We believe what we promised in this period. We're going to do it in the future. We've recognised that we can't continue to allow relatively less to get around each year. The permissions decreased from approx. 8 pst. for less than 3 pst. in the mid-1980s. We can't go on like that. We have to build the country all the time, and then we have to reverse that trend. That we have found more rights to trade in the last few years, I think I'm an example of how we can do it, even within the framework that another government has seen. And so we're going to follow it up, but then we might have to have a new multiple to do it.
ParlaMint-NO_2004-12-07.ana.ud735e273	The cord shift is over.
ParlaMint-NO_2004-12-07.ana.ud735e276	The Progress Party will work in transport policy for the environment, safety, transport economy and accessibility. Carriage of goods and passengers shall take place in open competition and with full market management. The Party considers that competition between rail transport, maritime transport, air transport and road transport must take place without any of the operators having to pay a fee to finance other modes of transport. This means that the Progress Party will not use charges imposed on the drivers to finance the operation and maintenance of railway or other modes of transport. Such cross-subsidisation results in carriers choosing a transport solution that costs society more than if free competition between modes of transport became effective. It is of the utmost importance to invest in the most appropriate means of transport in relation to the transport operations to be undertaken. This will result in a more cost-effective use of public resources in transport and, in addition, in a fairer distribution of costs between modes of transport. The Party shall base its assessments of projects on their profitability. That means they have a high dietary benefit. The calculation of the cost-benefit is based on a calculation rate. In Norway, this rate is particularly high and varies between public travel, where it is 5 pst., and aviation, where it is 10 pst. It was claimed by the Government that this rate is based on a professional assessment, which the Progress Party considers to be of little credibility. It's worth noting that while interest rates vary from 5 to 10 pst. in Norway, it is 4 pst. in Sweden and 6 pst. magazines in Denmark. This leads, for example, to: that the construction of Svinesundsbrua, which is the gateway year to Europe for Norway, is unprofitable for Norway to build, while it is profitable for Sweden. This is a clear example of the fact that the calculation rate in Norway is wrong and needs to be lowered. This is particularly important for road projects where the Norwegian interest rate is 8 pst. – it is therefore twice as high as in Sweden, where it is 4 pst. The Progress Party believes that a well-developed transport offer is one of the most important factors for society to function. Without a well-developed infrastructure network, it will be impossible for businesses and individuals to establish themselves and live around the country. It is therefore necessary to see the transport network as a whole, in which car, rail, boat and air transport complement each other. In a country such as Norway, with long distances and scattered settlements, a well-developed high-standard road network will be essential for the efficient functioning of business. Therefore, the Progress Party wishes to give the highest priority to investment and maintenance of the road network. The possibility of car use, both for work and recreation purposes, is positive and improves the quality of life of the individual. In competition with rail, the car has superior competitive advantages, such as speed, flexibility and, in particular, economics. The Progress Party is concerned about the evolution of the ever-reduction share of the national budget in the transport sector. In its proposal for a State budget, the Progress Party takes the view that this trend is being reversed and that in the future there will be a focus on the development of the road network. Competition is a healthy tool for getting the best possible product out of minimum money, both because it gives all market players the same opportunities to participate and because it saves taxpayers from unnecessary expenditure. Competition is very suitable in the field of transport. Therefore, the Progress Party wishes to use as much competition as possible. Collective transport services shall be provided by private enterprises according to market economy principles, with real prices and with healthy competition between carriers. In areas where it is not possible to carry out public transport services with profits and where public authorities wish to maintain an offer for special reasons, the offer shall be based on competition between carriers, based on tenders. Although it is expensive to fly in Norway, the entry of new airlines into the Norwegian market has shown that competition on the domestic market works. Prices have been greatly reduced, and route provision is still improving. On the international market, too, the creation of several low-cost companies has forced prices down. The Progress Party wants to maintain a good flight offer around the country, but this offer must be based on competition and be tailored at all times to the real need for air transport. The Progress Party believes that if unprofitable aerodromes are to be maintained, this must be done through State budget appropriations and not through a system where other air passengers have to pay an additional aerodrome fee, as the system is today. Railways are not suitable as an efficient mode of transport in a country such as Norway, where there is a low population density. With regard to the transport of persons, free competition between the various modes of transport should be ensured without any cross-subsidisation. In several areas, the establishment of express bus routes has proved to be a success, and passengers change from travelling by train to bus transport. The background for this is, of course, that new buses are more comfortable, in addition to buses being far more flexible than trains. For the Progress Party, it is illogical to bet on train transport where customers choose to travel by bus. In this year's budget, over DKK 1.5 billion of taxpayers' money is used to buy services from NSB AS. In addition, €4.2 billion is spent on taxpayers’ money to invest in and operate the lines – despite the fact that the ticket price for a bus journey is usually much lower than the same journey by train and in addition goes with profits. Goods shipped by rail are transported to and from the rail wagons by lorry, which represents a significant transport cost. When one knows that the transport routes by train are relatively short, this leads to cheaper road transport. Although freight transport over long distances with today’s subsidisation may be more reasonable for the customer, the subsidy element inherent in the costs of investing and operating the lines must be included. If the funds currently used for the investment and operation of the lines were used for road investment, this would result in significant savings for taxpayers, while competitiveness would be significantly enhanced for industry. Norway has a long coastline with many and long fjords, so the use of a boat to carry both people and goods will be an effective solution. The Progress Party wants full competition for ferry services and that the savings in this respect benefit customers through lower ticket prices. However, competition is also important in the construction and maintenance of the infrastructure. The experience gained after the Road Service Production Department was transformed into Mesta AS shows that costs have been greatly reduced, which has led to more money being spent. With regard to competition and outsourcing, the Workers' Party and the SV have almost a religious relationship with the fact that public employees are not to be exposed to the outrage that competition is apparent. These batches have been opposed to any transformation and efficiency which has occurred in the transport sector. When the Road Service’s manufacturing activity was transformed into Mesta AS, there was no way that this would go wrong — in retrospect most people would say that this has been successful, with great savings. In that process, it was clearly quite ok that the employees of Veigäck or Skanska would have to compete for a job – while those who were State employees would be protected from competition. We see the exact same thing now when the railway works are transformed – everything is wrong, safety is getting worse, working conditions are getting worse, yes, that's not the thing that gets better. In all cases where conversion and outsourcing take place, the Workers' Party and SV call for security to be released. If the Norwegian airlines had been state companies and the Progress Party had proposed conversion or competition, I can imagine that we had heard about the safety risks to which we had exposed the passengers. Now all the airlines are private limited liability companies in full competition, and there is probably not one area where security is as well maintained as in the aviation industry. And what do they themselves say? I want to make a quote from the last issue of the SAS Braatens magazine «On Norwegian Wings». There, CEO Petter Jansen writes the following: ‘We experience a day-to-day life that is highly competitive, and that is good. Competition is positive for you as a consumer, and it is positive for society as a whole. For us as market actors, competition means that we must constantly intensify and deliver our best." I just have to agree with a leader who controls one of the world's safest companies and is responsible for pilots, crew and passengers. I think conversion to more competition for railway maintenance is positive. That doesn't mean I'm satisfied with everything. I mean, among other things, as I also did when converting to Mesta AS, that it is madness to pay fully employed people to go home and raise their wages when they need to build the country. Therefore, more money should have been allocated to the civil engineering sector, so that those who became unemployed at the railway station had a meaningful job to do. Unfortunately, they must passively raise waiting wages rather than solve transport tasks that should have been solved with greater appropriations. From this point of view, it would be desirable to invest to a far greater extent in the construction and maintenance of the road network, rather than investments in the network and the purchase of services from the NSB or other actors. We see daily problems for users with closed roads due to race or tunnels being closed because they are not intended for today's heavy transport. The Progress Party will therefore invest in road maintenance and increase it by 1,280 million. kr. Furthermore, we are proposing to increase the appropriation for road investment by SEK 4.8 billion. The progress is known as against toll collection. That is why, in our alternative budget, we propose spending NOK 2.9 billion, so that no one is going to pay to pass a toll station. This will happen by optically reading the number of passages, and then the state pays the money directly to the bomb company. In many areas, ferry transport is essential for an export-oriented business. Few take-offs result in difficulties for many of these companies to get the products into the market at a timely and fair price. On this basis, the Progress Party has added 100 million. kr, so that several departures can be established. It is also important to replace the old ferry park where several of the ferries are over 40 years old. It is therefore necessary to require that new calls for tenders be made in order to renew the fleet of ferries. Much of the county road network in Norway still does not have permanent coverage. Now I am aware that the county roads are a county responsibility and not a state responsibility, but it helps the companies that depend on the roads, very little. The Progress Party has therefore proposed, in its alternative proposal, the introduction of a 200 million gravel road package. kr, so that work can be started to cover all roads, especially where business depends on the use of roads. Norway, as a country with long distances and scattered settlements, should, in order to offset the disadvantages of lying far away from markets, have a better-developed road network than other countries. Unfortunately, the opposite is true. Norway is far from most European countries. Road appropriations have actually fallen, while traffic growth has been strong and accident rates negative. For the Progress Party, it is obvious that there is a clear link between less money for road use on the one hand and increased traffic and several accidents on the other. Therefore, the Progress Party wishes to support the development of the road network and improve its maintenance. This will lead to fewer accidents and a more profitable business life, especially for businesses and the population of District Norway. The Progress Party is concerned that an increasing proportion of investment funds in the road sector are being financed by tolls. In 1994, tolls amounted to 18.6 p.m. of the total investments in the national road network, with more than 33 pst in 2004. The increasing use of tolls, which is in fact an additional charge for the driver list, strongly opposes the Progress Party. The budget follows the trend of the previous year, where the transport sector has experienced a decline, with the result that the necessary maintenance is not carried out, start-up installations are operated rationally and new installations are not started. The consequence of such a policy is that there are now several employees in the construction industry who are either ‘on a idle basis’ or are unemployed. The Progress Party wants to put these into action so that the country can be further built. Fortunately, the Progress Party and the government parties reached agreement on the budget, which led to 350 million. kr extra, almost twice what the Workers' Party achieved last year. Although this is far more than what the Workers' Party achieved last year, it is unfortunately far too little to solve problems that have to come in order for us to get back behind them, but it is a step in the right direction. We are especially pleased that the Jondal tunnel now seems to be becoming a fact. A stronger bet on the road can only come if the voters say clearly whether that is what they want, which I hope the voters will do in the next elections. Finally, I would like to clarify something that should, of course, be in the budget, but which unfortunately has fallen out. This concerns the rate increase on the Jären package, from 10 kroner to 13 kroner. Let it be clear that the Progress Party is opposed to any increase in tariffs, which is also reflected in our alternative budget, where we move from toll collection to optical reading where the state pays the costs. I am addressing here the proposals that we have made.
ParlaMint-NO_2004-12-07.ana.ud735e338	The representative Kenneth Svendsen has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_2004-12-07.ana.ud735e343	That the Progress Party is a party that is not particularly concerned with the railways is not a big surprise. We have been shown that from this pulpit to the full. But that the Progress Party can be with the Government on the launch of competition and risk the safety of the railway, it's too late. The party of progress claims to be the party of most people. Then I would like to ask the representative Svendsen from the Progress Party: how can it be that the party for people most, now with the Government, sends a thousand people into Christmas with a clear message that their competence is not worth anything, and lets them face an uncertain future? I guess that's not the way a party can be known to most people, is it? Does not the party representative see any danger signals with what is about to take place today?
