ParlaMint-NO_2004-05-25.ana.ud2044e34	The called alternate of the South-Trøndelag County, Ola Røtvej, has taken the seat.
ParlaMint-NO_2004-05-25.ana.ud2044e206	The size can decide a lot, and so do we, but we can't decide that parents should act as adults and let the best of the child go ahead of everything else. The size has on several occasions passed laws that should point in the right direction, namely to protect the child’s rights to both parents. How is the Storting to decide that parents should not lie and make false accusations? What can the Storting or the Council of State do with that? We have opened up several mediation hours, and we have also given the opportunity for the courts to decide the child distribution and to punish for false accusations. The child’s right to comment on their place of residence has been decided by the child’s size. When one of the parents falls for the temptation to make false accusations, yes, then an assessment should be made whether such action makes the parent fit to have the child cared for. Unfortunately, the struggle for children often becomes a struggle for money. When parents tear and wear steel lamps and bookstores, the fight for the children becomes a struggle for the size of the child’s contribution. We have all, within the Committee and perhaps the whole of the Storting, been contacted in connection with the conversion of the rules on contributions. In the evaluation, the Council of State has promised to look closely at the rules on contributions. I am sure that the Council of State has also received all the enquiries from those who believe that they have had major financial problems due to the conversion. It was never the intention when we adopted them. So I expect the Council of State to take it very seriously. We know that the total family economy means a lot to the child's safety and growth situation. We have now been told through the media that 26 000 children live below the poverty line, and many of these children are actually the children of lonely dependants. I wish that we from this pulpit and in this room could decide that people could get together in terms of the best interests of the children. Unfortunately, we can't do that. I don't think the Council of State would have objected to us adopting it from here either. But it's not like that. The interpellant has put the spotlight on all the adults who can't act like people. It's important anyway. But the best thing for children is what we've been working for all along from this room, and I expect it's also what in the future has to be crucial when we're dealing with important issues about children, in this room.
ParlaMint-NO_2004-05-25.ana.ud2044e221	A foundation in Norwegian and Nordic law and in important international conventions is the best interests of the child. In particular, this issue of assessment is a topic of parental responsibility and association with the children. Therefore, it is very sad to record that parents in the drag struggle for children can make false claims or ince tank stocks to win with their demands. Parenting false information about each other never promotes the best interests of the child. On the contrary, it creates a very unsustainable situation, not least for the main person, namely the child. Finally, in a conflict where mediation is in vain, the court has to decide on claims and claims that are being made. The representative Woldseth calls for sanctions if the parents make false claims or sabotage the child's rights. False charges, reports or testimonies result in criminal liability under our general criminal law. This also applies to false accusations of incest made in a child distribution case. The Children's Act has also taken into account the fact that parents who experience the other sabotaging association may require a new decision both on who should have parental responsibility and on the question of day-to-day care. Together, the rules of criminal law and the Children’s Act constitute a set of rules which, in my view, provide sanctions for those who experience that the other party is acting unfairly. I don't think there's a lack of sanctions against the person who makes false claims of assault, which is the biggest problem. The biggest challenge, in my view, is what you do in those cases where there is left to doubt whether allegations of incest are correct. If the claim is at all promoted and proved to be incorrect, this in itself is enough to harm the child. Therefore, it is so important that such serious accusations are promoted only where there is in fact a suspicion of abuse, and not as a means of training or winning a child-distribution case. In the context of the new rules on contributions which entered into force on 1 October 2003, disagreement on cooperation has again become topical. Right was for the principles of the new Code of Contribution. But, of course, it cannot be excluded that the new legislation can produce unintended results, and to see whether the legislation works according to the intention, the new contribution scheme will be evaluated. It is reassuring to hear that this work is under way in the department. I hope the grips that have been taken in relation to, among other things. the rules of contribution and amendments to the Children’s Act, the mediation mechanism and the rules of procedure will result in more parents agreeing on schemes that are in the best interests of their children and with the least possible conflict between their parents.
ParlaMint-NO_2004-05-25.ana.ud2044e234	In a question to the government council last autumn, I raised the so-called parental hostility syndrome, a problem that is growing in the face of a breakup of life. It goes without saying what the syndrome is all about. Between 20 000 and 30 000 Norwegian children experience that their parents have long-standing and long-term conflicts with regard to life crimes. These children are at risk of developing parental resistance syndrome. The syndrome was first described in the 1980s by American psychiatrist Richard Gardner. It develops in a breakup where parents do not cooperate and one or both affect the child in a negative direction. There is relatively little research in the field. I've encouraged the Council of State to do something about this, and I'm waiting to see if initiatives will be taken in this area. There is a lot of evidence to suggest that prevention is much easier than treating parental hostility. A small set of thoughts: Children develop parental hostility especially if parents say unfavorable things about each other or do strongly negative actions against each other. Negative actions are usually part of a dispute. What are you arguing about in the event of a breakup? First of all, it's personal things like living together, cheating, etc. Second, it's money. And thirdly, it's child and companionship. The personal things I don't think we at Stortinget can eliminate. We can't decide that it's going to end adultery, or that it's going to end bad life. But in terms of money and association, we can actually do something. If it had been so that the main rule of a breakup was shared care for the children, it would have been far less to argue about. Then you would remove the main reason for many of the conflicts. The problem is that this is a solution for the Progress Party alone. What about today's system? In a previous question to the Council of State, I have addressed this with association agreements. We need to find a solution that it is now possible to refuse to sign community agreements, even if they are based on real association. Perhaps there are solutions that go in the direction that social security offices can use more discretion. Perhaps you should have free legal proceedings. Perhaps, if false claims are made, one should focus more on hardcore criminal responses. Finally, in some contexts, you get frustrated when you see these things. It could be a call for some parents to behave as adults.
ParlaMint-NO_2004-05-25.ana.ud2044e249	Most parents agree on who should be responsible for their children in the event of divorce, and cooperate well on financial matters, not least sharing responsibility for their children's upbringing, companionship and care. Unfortunately, this is not the case for all children. It is important that society has instruments to ensure that children have contact with both parents and that legislation is designed to mitigate conflict. Following a great deal of enquiries, the new rules on contributions may seem to have led to a higher level of conflict. Beneficiaries may have an economic interest in the least possible association and contributors may have an interest in the best possible association. At the time of the introduction of the new rules on contributions, SV was – and is still – concerned that economic motives should overshadow the best interests of the child when parents negotiate association. The SV therefore voted against. SV looks forward to the evaluation provided in the 2005 budget. Some parents sabotage association. In such situations, there are only losers. Children become victims directly because of the level of conflict and lose contact with one of their parents. Parents lose the value of an equal parent. Parents who sabotage association get little punishment from society. Parents who are thus excluded get little help from society to maintain the important contact with their own children. We know that some parents have almost ruined themselves financially in the legal system to get together with their children. SV believes that the legal fee imposed for mediation in the event of divorce further increases the level of tension between parents who already have cooperation problems and a high level of conflict. They need help in mediation to agree on economic conditions and community rights, but they have to pay for this help. The biggest losers in these cases are the children. I hope that the Council of State will gradually reconsider this legal fee and remove it, so that more people can get professional help when it comes to breaking life, without costing them financially. Moreover, in many cases both parties face the economic difficulties of a life-long break, which often also increases the level of conflict. I look forward to the fact that the Council of State can make good proposals for concrete measures to ensure that the child's right of association with both parents under the UN Convention on the Rights of the Child is respected. After the procedure was transferred to the legal system, a number of requests have also been made that the threshold has become higher for many parents to bring the case to justice. I wonder if the Council of State intends to evaluate this side of the case as well.
ParlaMint-NO_2004-05-25.ana.ud2044e264	The question that interpellant Woldseth travels is important, and it is a serious issue. For the Christian People's Party, it is important to focus on children's situation in matters where abuse has also been committed. The Christian People's Party will always focus on the best interests of children in such matters. The interpellant says in his text: «By experience we know...» I put a little question mark on that experience when, as the Council of State also said in its statement, it is only in one of ten cases that accusations of abuse are given weight, in matters of distribution. Sometimes I think: Think for a parent to have to send off his child's farm to someone else when you know it's been committed! Think of what we're doing with that child! The interpellant has, throughout its political function, shown a very great commitment to vulnerable children and young people and the abuses they are subjected to. Also for these children, this is a very serious matter. But it's also, as the interpellant says, terrible with the false accusations being made in relation to assault. In the opinion of the Christian People's Party, it is unfortunate both for children and for parents. As regards the rules on contributions, it can be seen that the level of conflict can often be high in such cases. I know there's a lot of trouble around the conversion that we've done. But I'm also glad that the evaluation we've been given has now come so far that we see it starting to take shape. I think it is very important that we address the unforeseen effects of the rules on contributions, which are actually there. It will help to reduce the level of conflict. I don't think we can make a code that excludes all games between parents, but I think we sometimes have to recommend adults to be adults in such a context as well. The legal certainty of adults must be balanced against the safety of the child. Maybe we haven't found that balance point yet, but I'm afraid that per. Today, more in the favor of adults than in the favour of children. I would sometimes wish that life were like mathematics, that we could get the simple and logical and only right answers with two lines underneath, but I don't think we can get it through with the code. Association between parents and children also after a break in life is a goal, and that is what we need to achieve in these matters as well. It's wrong for adults to use their children in a game between themselves.
ParlaMint-NO_2004-05-25.ana.ud2044e278	This is in many ways a debate on values, and the values discussed are the relationship between adults and their children. The best thing would have been that we hadn't gotten this interpellation, that this wasn't a problem, but the fact is that it's a problem. But it's being discussed, and it's, despite the fact that it's a problem, an opportunity that you have to take hold of. So it's a dilemma that you talk about taking care of the child when it actually happens as a result of the needs of adults. It is the desire of adults to have closeness to their child who will be involved in managing the opportunities of children. But at the same time it's a paradox, at least for some of us, because parents are not something you choose. That's something you were born with – at good and bad you're born with the parents you have. You can't pick them off. So we're going to have to find a balance in order to maintain the relationship between adults and children. I'm not a second in doubt that adults use children in a power struggle between themselves, and that's immoral. It's far too unsympathetic for parents to do it, while, of course, you can understand that unfortunately it's going to be that way. Another factor in these cases is the expertise and their ability to draw the right conclusions. The legal history in Norway shows that we have not been good enough. We've been too little good to see in the cards what has been the reality. It has resuming old things shown. It shows how delicate such matters are, and how careful we have a commitment to be when we're going to conclude in relation to claims. I also believe that some people who work in the care sector in Norway unfortunately show a misunderstanding about one party. You just assume that you have more confidence in one than in the other. Then I think you lose focus on what's most important, what the child needs. That means you're going to be to those degrees of nocturnal, and you're going to be very conscious of what you're actually doing, and not least the power you have when you're sitting in such a position. Another thing that has been in the debate is the community arrangement and the economy around it. But there is certainly – which I had hoped the Council of State would say something about – opportunities for community arrangements where, for example, it is. are in the presence of others to ensure that the child is also associated with the party for which one might be concerned. If you want to take care of your child's interests, you have the opportunity to intervene and do something about it. I fully agree with those who said that, unfortunately, economics is a crucial factor, and then we have to see if that makes sense, I don't think it is. My conclusion is, as the Council of State also pointed out, that if the rules are wrong, we have an obligation – and that is a matter of course – to assess them and change them. And then we're going to end up with the fact that today's children are tomorrow's future. That's what we're going to do when we're going to draw conclusions from what kind of actions we feel we're obliged to do.
ParlaMint-NO_2004-05-25.ana.ud2044e291	I would like to live in Cardamom City, where everyone was kind and good and did what they were supposed to do, and otherwise they could do what they wanted, but that's not the way the world is. Several have said that sanctions are possible. It might, but the reality is they're not used. In the case of false reports, we have the penal code, but reports that are drawn before they come to court are not affected by the criminal law. But it has aroused the hamlet, and the talk goes. Many municipalities in Norway are small and transparent, and we know what such a false review can result in. I am a little surprised when the Christian People's Party asks questions about the experiences, and you wonder a little about where you have those experiences. But it's actually like this -- the Christian People's Party can also figure out -- that false reports occur. I am sure that the representatives of the Christian People's Party will also receive the same requests as the others that one party in a child distribution case has been falsely charged with abuse. It's true, as the Christian People's Party says, you can't make rules for everything. I fully agree with what has also been said, that adults must begin to act like adults. Nevertheless, dust from sanctioning facilities should probably be brushed. There are a lot of children – we heard the Knudsen representative say a place between 20,000 and 30,000 – living in conflict-filled families, that is. families where mother and father no longer live together, but where the level of conflict is very high. It's between 20,000 and 30,000 children too much. Therefore, it is important that we signal from this pulpit, from the Stortinget and from the Government that we cannot tolerate adult people not putting their child in focus and not seeing the best of the child. We don't want to accept that. I hear that we all agree on the intentions, that we want adults to act as adults and take responsibility. With so much political will expressed from this pulpit, I hope that we will also have something done.
ParlaMint-NO_2004-05-25.ana.ud2044e302	I agree with the latter – there is absolutely no lack of will from this pulpit, nor from the ministry. It's an important focus we have on this matter. I would like to comment on some of the comments. The problem was that it is important, if necessary, to find new instruments. He talks about discretion in relation to social security offices, free legal proceedings, and possibly other criminal reactions. The Elling was also concerned with what we could do. I would like to say in this regard that the compulsory mediation we have, and it will be very important. The most important thing about the compulsory mediation is to reach an agreement on the children, both where they live and where they live. I'm not going to pre-shoot any solutions, but at least we have a mediation arrangement, all of them meeting there. If there's something you can do there, my question is. What has been done in other countries? We know that in other countries they have slightly different arrangements for association and association agreements. So when we evaluate now, we also get to be creative from the department if it turns out to be necessary to change some of these arrangements, and then we get back with suggestions when this work is done. Then I have a little comment for the representative, Hansen, who believes that there may have been a higher level of conflict after the introduction of the new rules on contributions. She suggests that more cases end up in court, perhaps also suggesting that more people disagree. I can't answer that today, it's actually too early. Those rules were introduced on 1 October last year. But what I can say is, at least one of the intentions of the Stortinget has been fully fulfilled, and that's that we've got thousands of new private agreements, that's that the parents actually agree. It's very important. There has been a good debate. I'll end up with a little, good example from a little boy. We've started a violent project. Children are happy with their parents. They're happy with their parents no matter what kind of parents they've been given, to say it like that, and parents can be good and bad in different contexts. This boy had been exposed to violence, that is. He had seen his mother be subjected to violence, and what was most difficult for this boy – he went into a group in ATV – was to see that his parents did not cooperate about him: "They will not talk to each other anymore, not even about me." Then this boy managed to communicate to the psychologists and the sociologists on ATV how important it was to him that his parents talked about him. These adults contacted both parents and were able to communicate to them how important it was to this boy. And when I asked him, "What's the most important thing you've experienced in this half year you've been talking to Alternatives to Violence in the conversation group?" he said, "It's that they made my parents understand how important it is that they cooperate about me. Now they're doing it, now they're talking about me."
ParlaMint-NO_2004-05-25.ana.ud2044e313	The interpellant debate is therefore closed.
ParlaMint-NO_2004-05-25.ana.ud2044e319	The size is then ready to go to voting.
ParlaMint-NO_2004-05-25.ana.ud2044e337	There is no voting theme in case No. 2nd@item: inlistbox
