ParlaMint-NO_2004-05-13.ana.ud1171e58	The representative of Øystein Hedstrom will make a private proposal.
ParlaMint-NO_2004-05-13.ana.ud1171e174	My reply is to the proposal tabled by the rapporteur-in-Office of the Council, Mr Rahm. It reads as follows: ‘The size suggests that the measures referred to by the settlement partners in the setting of the robberies message are entered under the Ministry of the Environment’. For me, this is going to be a half-wheated display, like so much else in this setting. But I have the following questions for Rahm: does that mean that all the economy related to the forest management is going through the Ministry of the Environment? Does this also mean that an economy is provided that gives you an estimate of both prevention and compensation so that it does not end early in the season or in a budget year? It is somewhat surprising that none of the conciliators in the Committee have commented on the economy, because the Communication states that the Government considers that it should not increase the total cost of robbery management and that the costs should be covered under existing funds. At the same time, the pressure on predators is increasing dramatically.
ParlaMint-NO_2004-05-13.ana.ud1171e184	Economics are mentioned both directly and indirectly in the suspension and also in the announcement from the Government. There is some logic in what the Government emphasises as regards the cost of the predatory game policy, namely that the measures should lead to a reduction in the loss of bumps and that it should be followed chronologically in relation to the need for payments. At the same time, the majority of the Committee points out that we need to be willing to use the funds needed to implement a good administrative policy for both wolves and other predators. Let me read the proposal that is on the table, to which the representative Joy referred: ‘The size suggests that the measures referred to by the settlement partners in the setting of the robberies message are entered under the Ministry of the Environment’. This is a clarification of what many people have considered unclear in the setting. We have therefore found it necessary to clarify that prevention and substitution should be fully placed under the Ministry of the Environment, while pointing out that the basis of industry’s life should not be weakened. It also applies in relation to the economy.
ParlaMint-NO_2004-05-13.ana.ud1171e197	The cord shift is over.
ParlaMint-NO_2004-05-13.ana.ud1171e200	The debate on how we manage our predators engages many, and that is very understandable. I would like to take this opportunity to thank all those who have contributed well-informed and good ideas on how to achieve a better predatory policy than could be expected. This matter affects the daily lives of many of those living in communities who have been affected by predators for many years, many of those who live by sheep farming or reindeer farming, and many of those who are hunters, and it is clear that it affects the quality of life of many people. I am pleased that the outcome of the Committee's work is a broad compromise. It is very important in such a conflict-affected area as this. Only the Advance Party and the Center Party have chosen to stand on the sideline in this case, and of course it is free choice. For the Workers' Party, it has been important to help turn the government's policy in a more correct direction. I think everyone makes a living on that. It will provide better predictability and long-termity, which is absolutely necessary to mitigate the level of conflict in this area. The fact that we have had three big messages about predatory game in the last ten years says everything about how difficult this case is. I hope the fact that it's now a broad deal, makes it long until we get such a round back here in the house, and we, who make up the majority in this case, have a responsibility to contribute to it. I am pleased that today's setting differs from the Government's proposals on important points, because it is not that the message contributed to calmness and a lower level of conflict. On the contrary, some of the government's proposals created violent anger in many places in the country. There are many reasons to take when we adopt a policy for the management of our predators. The goal of maintaining viable populations, so that we take care of biodiversity, is important. But we must also take account of the many who are affected. The agricultural industry and the reindeer industry are the industries affected and will be in the future. But the entire population living in predatory areas feels this on the body. Many say they're insecure, many feel that their quality of life is weak, and we have to take that seriously. That is why this is also about housing and district policy. I believe that the Storing Message does not take sufficient account of these important circumstances. The Labour Party has always considered that we still need to maintain the two-part objective, so that it is still possible to operate agriculture in predatory areas. I am pleased that the bulk of the population today so clearly emphasizes that this should be the case. But it obligates. We cannot, as the Government does in the message, increase the number of predators without increasing the appropriations for prevention and other costs. Increased efforts to prevent, as the majority advocates, are therefore a very important contribution to alleviating conflicts with regard to the management of wild game. It is important to stress that all measures agreed between the settlement partners should be placed under the Ministry of the Environment. A prerequisite for achieving a sustainable and conflict-reducing predatory management is to create trust between the authorities and those who feel this on the body. Creating trust is a challenge, and you have to contribute on both sides of the table. I think what the Big One is going to adopt today is an important step on that road. The most important thing I would like to mention in this connection is the following: We now have more administrative regions with politically appointed predatory wildlife subjects. The Ministry of the Environment shall be the appeal body instead of the DN. We get more local involvement in the stock registration. All four major predatory species, including wolves, shall be managed by regional predators. We're going to get a more efficient and faster extraction of pests. The municipalities with a high predatory load will receive money that they can spend on measures in this area, in order to deal with that situation. There should be closer cooperation, especially with Sweden, on how to manage the animals that are still on both sides of the border. Another proposal in the message that has, understandably, created a great deal of commitment is the proposal for a new compensation scheme. With the arrangement of the Government, much of the compensation would have disappeared into the agricultural transfers, and only a small part would remain in the Ministry of the Environment for direct use in the forest game management. In the view of the Labour Party, the scheme would seem very unfair and hit those who, despite its prevention, lost the most. The fact that the majority is now in favour of a system that both ensures prevention and continues to compensate for undocumented losses is important for agriculture, and it will, in my view, help to mitigate the conflicts with regard to the Government's proposals. This scheme shall be located in the Ministry of the Environment. Taking care of the predators is the responsibility of the entire country. Therefore, in my opinion, it was incomprehensible and unwise by the Government to propose a management zone for wolves that was confined to a narrow area east of Glomma. In this way, it would become a small part of the country and cause people who alone had to bear the burden of having wolves – and this in an area that already has a lot of strain both with yours, bears and gauze. Such proposals do not help to mitigate conflicts; such proposals increase conflicts. Therefore, there were not many who supported Regestinga's proposal for a wolf zone either. Both environmental organisations and business organisations were strongly opposed. That is why I am pleased that the wolf zone is now being expanded with, among other things. Oslomarka and Asker and Bærum through the agreement we have made. In addition, we have protected the domestic areas and the most sheepy areas of the country. For some people, it might seem strange that we here at Stortinget can decide how many juveniles of every predator we're going to have, and that nature itself can't sort things out. I think it says a lot about how strong emotions and how big challenges there are in this case. Where the government proposed a few penultimate wolves, the majority of the population, as explained by the rapporteur, set a stocking target of three young wolves per year within the zone that the Storting will determine today. I think we're going to be able to deal with the challenges that will come from having three wolf families in this zone. That we can now experience wolves, for example. in Oslomarka, is nothing new, but I think it's good. It was absolutely necessary that a larger part of the country took its responsibility, and not just left it to a small area. I believe that the stock numbers we are now adding are sound. For bear and yer, they are less than the government proposed, and for gloat and monarch, we support the government's proposal. For those people who live on a daily basis with predatory challenges, whether because of yours or fear of the wolf rushing around in the construction field, this is about everyday challenges that we have to deal with. When we finally reached the goal in this case, it says itself that all the parties have had to four at their primary positions. Of course, this also applies to us in the Workers' Party. We believe, however, that we have had a positive impact on many of our proposals, and I also feel that the other three parties are well satisfied. This is good for future cooperation in the field of predatory wildlife policy. We have reason to thank each other for coming up with this result. However, it is very important that the administration follow up the decisions that will be taken here today, so that the level of conflict also goes down in practice.
ParlaMint-NO_2004-05-13.ana.ud1171e252	It's going to be line change.
ParlaMint-NO_2004-05-13.ana.ud1171e255	The representative, Brustad, said that the Progress Party chose to stand on the sideline during the processing of this message. We were at least no more on the sideline in this matter than we were called in by the government parties, and in particular by the case-rapporteur, Mr Rahm, for negotiations. We even got a draft with five points from the Christian People's Party. When this happened, it was enough to scare the Workers' Party and SV back to the negotiating table. You got the message you unfortunately got. I could also intend to ask questions about the local democracy of Sylvia Brustad, but in danger of getting such a “good day, man – axe shaft” response that I received from Brother Yngve Rahm, I will not do so. But I want to ask you a question about proposal IV, which goes on economics. How much money is there to give to these regions? Should there be equal amounts for the regions? And what are the criteria for compensation to be paid to municipalities that have large predatory wildlife populations and the extent of damage in this way?
ParlaMint-NO_2004-05-13.ana.ud1171e262	I understand that the representative of Korsberg and the Progress Party is a little offended because they did not join the agreement. There may be a lot to say about the negotiations before we got to the goal, but I will leave that in this round. The working party has not been frightened. We've been busy getting a better policy than the government originally proposed. And that is what we have been given, on very important points that there have been very strong demands from many parts of the country – this is not least about local democracy. It's not just a ‘good day, man – axe shaft’ response. There are good measures that lie there, that we get political appointment in regional terms, and that we get the Ministry of the Environment as an appeal body. There are also a number of other measures. As far as the economy is concerned, it is clear that we are going to spend more money on prevention measures. How much, of course, belongs in the budget; it is not dealt with in a big message. It is also clear that it is the regional denominators who are to receive money and who are to pass them on to the municipalities that are to house most predators. Then, on the way, we have to figure out how much it is going to be when the budget is being discussed, but it is based on the fact that we are going to spend the money that is needed, as the rapporteur said.
ParlaMint-NO_2004-05-13.ana.ud1171e271	The representative, Brustad, said that the centre party was on the sideline. No, we do not, but we have a completely different starting point for predatory policies in Norway, among other things. we say no to the breeding wolf. We share that position with many outside the country, including among voters and members of the Brustad Party. We in the Center Party believe that this stand point should and must be represented and fought for as a primary position also in the Storting. The effect of promoting it is, at least to the conciliators, something like splashing water on the goose. But it's got to be. I want to address two small questions. One is that of reindeer farming and cohabiting in my and Sylvia Brustad's home municipality. There it is now that the wolf zone is placed on the border between Engerdal and Trysil, and it is only 3 to 4 miles to the domestic grazing area. Does Brustad believe that this is a safe and adequate distance and buffer to the domestic area? The wolf moves up to 20 miles per. 24 hours. Then to the replacement policy. Brustad promised better compensation arrangements and guaranteed it would come. [[The President clubs.]] [[The President clubs again.]] Now you push on this until 2006, without any clarification. Does Brustad think that's a good policy?
ParlaMint-NO_2004-05-13.ana.ud1171e280	The President reminds us that the speaking time for lines is one minute. The President will also express some doubts as to whether it is appropriate to involve the goose in addition to the animal species already in the case.
ParlaMint-NO_2004-05-13.ana.ud1171e285	I think it's pretty obvious to everyone that the Center Party has not had one word to say in relation to the improvement that is now in this setting. It's free choice. The center part has chosen the line by saying no, and it's on it – I would almost say, until Dovre falls. That means that if there had not been any other parties, including the Workers' Party, who here had taken responsibility for influencing and dragging the Government's proposal in another direction, it would have been the Government's proposal that had been adopted. For the county that Ola Dagfinn and I are from, Hedmark, and for other counties that are already struggling with many predators today, the situation would be even worse. That is the reality. This is what the Centre Party has chosen to do. Then I might also think there's reason, as in myself, Inger Enger did, to give a little honey to those who have actually done this better. But that's okay. As far as tamrein is concerned, we have specified that special consideration should be given to the domestic areas of Engerdal, since Trysil is inside the wolf zone. We've also said that in terms of pest withdrawals in these areas, it's going to happen much faster than the case today. So I think that's taken care of. Yes, we're adding up to a much better compensation scheme than that, and we're not pushing on it. The current system shall be maintained until the new one is put into effect.
ParlaMint-NO_2004-05-13.ana.ud1171e294	The President is not fully involved in the local situation, but will assume that in this case, Ola Dagfinn is the representative of Wickedness.
ParlaMint-NO_2004-05-13.ana.ud1171e297	It was interesting to hear the representative Brustad, but I do not agree very much with much of what she says. The claim that the Progress Party has been on the sideline together with the Center Party is totally wrong. For there are some who have really understood the problem of predatory policies and the pressures that the large community, with the Workers' Party at the head, has imposed on a small part of Norway, and the Progress Party has tried to do something about this. Then I have a question for those who make up the majority in this case. There is talk of remedial measures and living in harmony with predators. I read in a local way here during the day that a wolf walked 300 m from a kindergarten and walked through the center of a municipality. How, then, can the Workers' Party and the other parties be able to take remedial action so that predatory fear is subdued and gone? I don't understand.
ParlaMint-NO_2004-05-13.ana.ud1171e304	As far as the Progress Party is concerned, it is said that if the Progress Party had been able to determine district policy in this country, some districts and quite a few nutritionists would probably have had to go down. We can just go in and see what they're proposing in the agricultural transfers every year. It's a dramatic cut. It helps very little in a matter of predatory policies, as well as fighting for farmers and those living in the districts, when they actually have a policy for depopulation of large areas of the districts. Yes, we have proposed several remedial measures to deal with predators in a better way: more local participation and influence through regional denominators, lower numbers on bears and yerv, expanded wolf zone in relation to the government's proposal, money for the municipalities that house most predators, and a number of other measures. We feel that this is a setup that takes care of both parts, both domestic animals and predators.
ParlaMint-NO_2004-05-13.ana.ud1171e312	The cord shift is over.
ParlaMint-NO_2004-05-13.ana.ud1171e315	It is gratifying that today we have adopted the main features of the Government’s rapture message. This case is of a nature in which it is desirable to have a solid majority in the Storting, so that one avoids constant rematches. It was therefore good that the government parties, the Workers' Party and the SV could be grouped together on a common position that all parties have put their mark on. This case has been difficult because there are strong feelings about the issue of predatory game in Norway. In particular it applies to wolves. There's a lot of mystery around the wolf, partly based on real stories, partly based on adventures and traditions from generation to generation. It's true, as has been claimed by many teams, that the wolf does not belong to any original Norwegian or Nordic tribe. Today's wolves most likely belong to the Russian wolf tribe, and it is not endangered. Nevertheless, most of the parties have programmed that we should have all four major predatory species in Norway, and also royal eagles. Norway has also signed the so-called Berne Convention, which obliges us in the field of predatory game policy. Although there has been a dispute over the interpretation and duration of the Convention, the majority have set up extensive legal investigations to establish that we have international obligations in this area. The government has wanted to take some action in the field of predatory game policy: change the substitution rule, in order to encourage more measures to protect bofe against predatory wildlife damage, seeking to limit particularly the wolf to areas with a limited number of sheep establishing management regions that allow a local administration to be implemented; The government initially went in in order for the wolf to have a more central government. However, this agreement means that wolves may also be part of the local administration regime. In the case of government parties, it has been important to establish viable strains of predators, taking into account the densities — and killings — of buffalo and pure. Especially for the wolf, the discussion has gone high. The government wanted to limit the breeding wolf to the area east of Glomma, partly because that area only has approx. 2 pst. of the ovine population in Norway, and because Glomma could be a fairly straightforward limit to follow up. The working party and SV initially wanted a much larger area, where it is approx. 100,000 sheep, as well as those on the east side of Glomma. But in cooperation, you have to give and take. The compromise to extend the proposed zone with several municipalities in Akershus, the whole of Eastfold and Oslo is within what the government parties consider acceptable. The fear of predators must be sought, partly with information and partly with an extraction regime and hunting predators when the populations increase beyond the target population, or move outside the zone. The fear of walking in forests and fields and the fear of parents and children of meeting a hungry predatory flock shall not be minimized. Fear-reducing, preventive and administrative measures should therefore be targeted at those sections of the population that have the most predatory animals close to each other. Licensing and quota hunting when the wolf comes outside the wolf zone, or when it poses a danger to children, adults and dogs, is likely to make the wolf more cloudy and prevent it from sneaking on the stairs to people. It is quite easy, however, as the Progress Party interprets our predatory obligations: letting the wolf go where it wants to, but taking it out, that is. shoot it when it does damage. A wolf does per. definition harm when it eats to stay alive. It can be lively in the woods with such a policy! The centre party, which says no to the breeding wolf, today has a slightly different policy than when they were in the Bondevik I government. The rapture message was greatly dominated by the wolf shadow. It is also important to discuss the other predators: numbers, prevalence and management. In principle, there is agreement on the total national number. The majority of the Committee has subsequently given leadership to the Ministry in determining the number within each region. This is based on the fact that the Storting is not qualified to enter into such a detailed regulation. It is important to focus on mitigating the level of conflict where the large predators harm the population, livestock and game. In addition to extensive information efforts, there may be transparency about stock monitoring and stock registration. Furthermore, it is important that the forms of compensation seem fair. The majority have therefore discussed in detail new replacement rules for lost buffaloes, and ask the Government to present this in a separate case. However, the hope is that the damage will be somewhat reduced by a new form of compensation, but until it becomes operational, the current compensation scheme will continue. The Committee has also wanted to continue and subsequently evaluate the pilot scheme for renting hunting grounds. In some places, the predatory game has reduced the possibility of renting landowners. The size is known to exist in some landowners who claim compensation for the loss of grazing rights and reduce the attractiveness of hunting grounds. So we're not going into this. Finally, I would like to mention that the Committee wants an assessment of the extension of the emergency rule to include attacks on dogs. There are many dogs that have been lost. There has often been a wolf in the barrel that has taken a dog. Everyone is not satisfied with the setting. I believe that it should be possible, however, to mitigate the level of conflict with this, and hope that we now have good cooperation on the further management.
ParlaMint-NO_2004-05-13.ana.ud1171e355	It's going to be line change.
ParlaMint-NO_2004-05-13.ana.ud1171e358	The party of progress will let the wolf go where it will, and that is, in practice, what the wolf does too. I'm not so sure that it's going to read the proposal for a decision that's been presented today, but for the wolf's part, I hope it does. In 1998, the Right promoted a proposal to amend the emergency right because there was a high level of conflict between predators and boars on pasture. The level of conflict has not diminished since 1998, it has increased. But now that the Right is in government, they don't want to change the emergency court, and I want to know a little about the reason for that. The representative, Brustad, from the Workers' Party, said that the policy has now become better after the conciliation than the notification provided. Does the representative of Onarheim agree with that? And on what points has it gotten better?
ParlaMint-NO_2004-05-13.ana.ud1171e367	It's probably true that the limit is not so clearly marked that the wolf can see it in the field when it passes, but it's however such that these rifles often get rather stuck, even if the wolf moves quite a lot out of them. It's also the case that some striped wolves cross the border, and they could be extracted if they go outside these areas, or if there's an increase in the number. So we feel that this is possible. As far as emergency defence is concerned, we have said that this should be further investigated, because it is clear that the situation as it is today is not entirely satisfactory. It is uncertain how far the emergency court is actually going. So the question of whether the government parties also think it's an improvement. Yes, I'm honest enough to say that on some points I think so. There were some points that were a little bit uncertain, and we've now got them fixed in a very good way.
ParlaMint-NO_2004-05-13.ana.ud1171e376	At this point in the debate, there is reason to conclude that there would not have been much predatory debate here if it had not been for the Centre Party and the Advance Party, which, according to the conciliators' statements, has resigned from the predatory debate. This suggests that this debate and this major issue should be avoided as much as possible in silence, when one cannot even discuss the matter in a line change, as much as one initially was, and so many shades that are unexplained in the communication as well. The representative of Onarheim was concerned with this with fear-reducing measures. Now what is that? And then you make it look like this is pretty harmless. He also used the expression that many people use, that the wolf can close on the stairs. It's not just sneaking, it's acting scary towards people. Why couldn’t the Right stand by what they have said before about the emergency section, that is, Section 11, that you can take out pests and traps under threat of direct attack? That's my first question. So to some of the Right-wing slogans: Right-wing guarantees ownership, they guarantee the right to engage in nutrition, and they guarantee your cause. This has been said by the right. Does Onarheim feel that he has done so to the people of these territories?
ParlaMint-NO_2004-05-13.ana.ud1171e385	I can assure the representative Joyful that there has not been much peace in this matter so far. It's been a pretty high level of sound, and there's been a lot of requests. To not having lines here, I would say that we have an agreement with Inger Enger that we should not take all the lines when you only have three lines. So we thought it was only quite reasonable that the centre party got to the present day in this matter. Here we think we've been a little "large". So for fear-reducing measures: as I said, not least this is that you should also be able to have license and quota hunting, which will make the wolf somewhat more anxious and a little bit more cloudy. There are also a number of measures that can be taken on the information page. So there's a lot of things you can add up to that that makes you get a little bit more calm about this. But the most important thing is, I think, that it is not added to that wolf and other predators are going to walk and sneak around the stairs. There's going to be a natural fear in this, and I think we're going to be able to establish with the rules that now apply.
