ParlaMint-NO_2004-12-09.ana.ud1490e91	The called alternate of the Troms County, Knut Werner Hansen, has taken the seat.
ParlaMint-NO_2004-12-09.ana.ud1490e224	It was hoped that Gaundal’s representative started to find that Norwegian businesses were doing better. She even found that it was "gliding light". I guess it's worth noting, because it's not that often there are such confessions from the Workers' Party this day. But then she fell quite quickly to the well-known dishonour, and found that the unemployment has stuck. There is no basis for such an expression. There has been new optimism in Norwegian business. Last year there were 93,200 unemployed. This year it's 90,000. It's still too high, but it's going the right way. Last month, the total number of unemployed has been reduced by 8 000, and the number of persons employed so far this year has increased by 8 000. The government also expects further reductions in unemployment next year. How will the representative Gaundal then characterise the Workers' Party's period of double and triple unemployment as we have today?
ParlaMint-NO_2004-12-09.ana.ud1490e234	I said in my post that the last six months, unfortunately, the unemployment has in some way remained fairly stable. It has gone down a little, and I also mentioned that, but there have been a lot more measures that have made it a little better. When the Workers' Party was in government, we were through having a lot of unemployment, and it worried us. What's the difference at the time and now is that we were worried about the vacancy. Now I kind of think it's quiet. There is also a policy that exacerbates the situation of those who are unemployed, and there is no good policy, in our opinion. As far as unemployment is concerned, I think we have it in common: it is worryingly high. It is worrying that those who are unemployed are getting worse, for example: because of a number of grapples made by the Government. We see sparkles, and it's also our wish that things get better, and that the numbers go down, because at least we have to agree that they should.
ParlaMint-NO_2004-12-09.ana.ud1490e243	The representative of Aud Gaundal was concerned about having an active industrial policy. It is very much in agreement with the Progress Party. But as far as I can tell, the Labour Party has proposed 158 million in its alternative budget. kr more for different instruments. There are also some arrangements for seafarers and some other things. When we look at those countries that have really invested in an active industrial policy, such as Finland, Ireland and the United States, there are far more active instruments being put in place. I would remind you that the Workers' Party was the founder of Argentum Fund investment. In private equity and unlisted companies, where there is a significant need, and where results can be referred to, only the Progress Party enters. Neither does the working party do anything in the mature phase. At the same time, they must have a sky-high level of taxation and charges. How can this give the results the Workers' Party wants?
ParlaMint-NO_2004-12-09.ana.ud1490e252	I'm a little surprised that the representative Hedstrom points out how little money there is for seafarers and for innovation measures, when we know what the means are, among other things. goes to seafarers and the net pay scheme has to do with it. Obviously, if the Workers' Party had had some of the billions of tax dollars given by the government that is now, with the support of the Advance Party, we would have been able to pursue a much more active industrial policy. But compared to a budget where such tax relief has been taken, it is not that easy to find the millions and billions. So we now think in a way that our alternative budget has been good – sober and very realistic.
ParlaMint-NO_2004-12-09.ana.ud1490e259	The cord shift is over.
ParlaMint-NO_2004-12-09.ana.ud1490e262	Let me first credit the committee for a very tidy budgetary process. Cooperation with the Progress Party has turned a very good budget proposal into not just a good budget, but actually a slightly better budget as such. It has, as the representative Gaundal quite correctly said, contributed to bringing the optimism and the sparkle back to the homeland. Although the expression was probably very much in the hands of the representative Gaundal, there is reason to rejoice that the recognition soon reaches new latitudes in the Norwegian people. We're going to enjoy that, because we have to, in a day like this, when we're going to adopt the budget for the last financial year of the Great Depression, to relish a little bit of what was the starting point when we started this process, and what kind of economic basis existed for Norwegian jobs. They were faced with a relatively hopeless competitive situation vis-à-vis their competitors, including abroad. As far as possible, they were to combat a situation with a record dollar rate and salary settlement that had been out of control over the year, in addition to the fact that Norway, with Russia as a derogation, was actually at the European summit when it came to interest rates. We can certainly say that a tight budgetary policy and a successful monetary policy have contributed to Norwegian jobs today being far more competitive than they were when we started the period in 2001. We see that optimism is back. The record high interest rate has been converted into a record low interest rate. We see that the krone price has a positive effect on all export-oriented jobs in this country. I have recorded that the fishing industry currently has quite a focus on itself. It is clear that one of the reasons why you fought in the market in which you have to sell all of your goods was that you fought, among other things. with a very high crown price. In 2002, Norwegian fishing industry lost SEK 1.2 billion on the bottom line due to high krone prices, measured against current levels. We see that optimism is back. We see that the number of bankruptcies goes down and new ones go up. For the first time since 1998, there has been a trend towards increased employment in the traditional Norwegian industry. Not only have we in the industry been able to make sure that production goes the right way. Outsourcing, productivity growth, etc. has caused the number of industrial workplaces to fall – also, of course, in the context of difficult market conditions and the loss of purchasing power in the markets in which we sell our goods and services, which have led to a conflict. But now, in fact, the trend towards increased employment in industry is also back. We have a very high economic growth in this country. It is expected to reach GDP growth, and overall economic growth, both this year and next year, at around 4 p.m., that is to say at the top of Europe, and it has increased dramatically in relation to the situation in the first financial year. We see that we have managed to renovate research efforts considerably in Norway. It has probably not reached 1 pst in business research and private research. of GDP, but we see a clear trend towards growth. We are also able in today's situation to renovate the investment within OFU and IFU, and we see that we are putting in a significant investment next year within nationwide seed schemes built around our four university cities. We see that the district funds that have already been adopted are now being implemented with effect from next year. We see that the focus on innovation and value creation is completely different now than when Stoltenberg, Schjøtt-Pedersen and the company went off in 2001. Of course, there are many challenges around us. There's every reason to remain impatient. But on a day like this, when we deal with the last budget for this magnification period, in the name of justice, there is reason to rejoice that the starting point set for 2005 is far, far better than what we met when we arrived in 2001.
ParlaMint-NO_2004-12-09.ana.ud1490e281	It's going to be line change.
ParlaMint-NO_2004-12-09.ana.ud1490e284	The representative Kristiansen emphasizes what he believes is a consequence of the government's policy. We in the Workers' Party believe that the developments that are coming now are not due to the Government, but perhaps more in spite of the Government. The Government Parties claim in the budget setting that the Government is pursuing an offensive policy. The signals we get in the Workers' Party from business are the exact opposite. At least it can't be fun to travel around and be a nutritionist for government parties. It was also the representative of Kristiansen when he was in Mo in Rana. There is the situation where several thousand jobs are at risk. The government believes that there is no objective to award new contracts to this industry. The government parties on the Storting have been involved in withdrawing it from the budget of the Energy and Environment Committee and will deal with it on its own. Does the representative Kristiansen continue to support the Government, or does he agree with the government parties on the Stortinget?
ParlaMint-NO_2004-12-09.ana.ud1490e291	I travel quite a lot to Norwegian companies and visit jobs domestically. I can't exactly say that I notice anything sucking, neither among employees, among Norwegian business owners or among managers, after putting into place what appears to be the political alternative. On the contrary, I have a significant concern about what this industrial experiment can lead to for Norwegian businesses and businesses, which are now in the process of formidable growth, and which appreciate it. In the case of Mo i Rana, this government implements from a to decide after settings and deposit propositions, St.prp. No 52 for 1998-1999 and St.prp. No 78 for 1999-2000, decided by two previous Labour Party governments as such. What we're doing is the exact same thing as the Workers' Party from a to have gone into the industrial power regime. That we have a major challenge to save power regimes and agreements, including: As far as Mo i Rana is concerned, there is no doubt about it. There's a common task to do.
ParlaMint-NO_2004-12-09.ana.ud1490e298	The Government Parties and the Advance Party have made a budgetary settlement this time that also draws things related to industrial policy and development in the right direction. In one area, however, the government parties and the Progress Party strongly disagree. This applies to maritime policy. We dealt with the shipping message in ours, but a lot has changed since then. Most had probably not thought that the reduction of shipping would go so fast in Norway. Wilhelmsen, Farstad, Sohmen, etc. flags out new ships, i.e. central Norwegian shipping companies. Also the Royal Caribbean Cruises, which have been in NIS, have flagged out to Bermuda. Here we also have Norwegian seafarers. And now we have Fjord Line. Does the representative of Kristiansen mean that we now have a new situation in relation to the one we had when we dealt with the shipping message? The right will, of course, have harmonisation in all other areas, including shipbuilding. Why do you not want to do so with regard to shipping?
ParlaMint-NO_2004-12-09.ana.ud1490e303	When we discuss Norwegian shipping, I think it appears to be one of the best things in the world. It is one of the few clusters we have in Norway where we can safely establish, without fighting, that we are among the very best in the world. The starting point in 2001 was that more than 295 million were allocated to the State budget. NOK for reimbursement and net wages and salaries. For next year's budget, the amount is 1060 million. kr, in addition to major improvements in property taxes and tonnage taxes, systems which also favourably affect the Norwegian shipping industry. I recognise that in the case of ferries employed in international traffic and priorities within a framework four times larger than it was in 2001, we have chosen to give priority to the model of competence. It is then in front of employees in non-maritime positions in international ferry companies.
ParlaMint-NO_2004-12-09.ana.ud1490e312	Beø 10.7 pst., Bø 7 pst., Øksnes 6,8 pst., Hasvik 13,9 pst., Vardø 12 pst., Lebesby 11,4 pst. This is the total number of unemployed in six municipalities in North Norway in November 2004. I get with me that the representative Kristiansen applies a positive and offensive tone on behalf of the Norwegian business community. But I just want to emphasize that the image is more composite than the representative of Kristiansen wants to express. Kronor and interest rates are of course important for an export-dependent industry such as the fishing industry. But what else does this government have to offer fisheries-dependent communities? Well, it's extra charges, and it's eternal justice for the ocean-going fleet. Do not Kristiansen, when he hears these solutions, want to contribute a little to a completely necessary conversion of the Norwegian fishing industry, in addition to imposing additional taxes on the industry?
ParlaMint-NO_2004-12-09.ana.ud1490e322	Yes, of course, I would like to contribute to a policy that can turn pessimism into optimism in the municipalities that Elvik's representative frames up. If she had used a different statistic than the unemployment statistics, I think the numbers would have been two to three times larger. It's about moving away from these municipalities, if we're based on the population statistics from 1972 up to the present day. There are municipalities, without exception, which are among the most export-dependent municipalities we have in this country. No one is so addicted to selling what they produce, out of the country's borders as just these municipalities. Without becoming too polemic, I cannot see that the Socialist Left Party has contributed, those who actually want to terminate the EEA Agreement and who have durably fought against the possibility of getting better conditions for Norwegian fishing industry in the market in which they are to sell their products. It is a shame to announce no very positive contribution in this debate.
ParlaMint-NO_2004-12-09.ana.ud1490e327	The list that Åsa Elvik referred to could be made considerably longer. What remains in the list of unemployed people in some of our district municipalities is that there are nine Finnmark municipalities at the top of the list, and then there are a number of Nordic fisheries-dependent communities. After 11 to 12 years of the EEA Agreement, it should have been recognised to Ivar Kristiansen that Norwegian fishing industry is not part of the EEA Agreement, like the agricultural industry, and that access to the Union market is not linked to the EEA Agreement but to other agreements negotiated by Norway. That's why my question to Ivar Kristiansen, in line with what Åsa Elvik also asked, doesn't Ivar Kristiansen see that the challenges facing the fishing industry and part of our fisheries-dependent communities require any action other than that the government parties have to offer? Low interest rates are necessary, but low interest rates are unfortunately a result of the need to stimulate the activity, and therefore it is not enough to grow in these societies.
ParlaMint-NO_2004-12-09.ana.ud1490e334	It is a very interesting question, which the centre party never answers, when it is correctly established that agriculture and fish are not part of the EEA Agreement: while they want better market access, they have never told anyone what it is that the centre party has to offer the European Union that would allow the Norwegian fishing industry to have better market access than it has today. The Central Party doesn't see that by not having any agreement at all, while with the other hand we pay billions in order to have free market access in other areas at all, is it Norwegian fishing industry that pays the bloodiest price for our alienation? It can safely be established that the Centre Party has chosen to turn its back on the Norwegian fishing industry in its road choices. How much documentation do you really need to see this, in addition to the statistics to which the representative of Enoxen himself referred?
ParlaMint-NO_2004-12-09.ana.ud1490e339	There is no doubt that we need good agreements with the EU to be able to export our fish products. Ivar Kristiansen’s response to this is, in fact, an EU membership, while in the debate today he has accused the Centre Party and the SV of cancelling the EEA Agreement, which would destroy Norwegian fish exports. That's not the case, I think the representative Ivar Kristiansen knows that too. If we had another form of agreement with the EU, the agreement could be at least as good for the Norwegian fishing industry as the EEA Agreement is, since the fishing industry is not part of the EEA Agreement, as the representative knows very well. So instead of turning around with ease of mind about the central party's policy, it might be interesting to hear if Ivar Kristiansen is able to give an answer to my question: doesn't Ivar Kristiansen see that it will be necessary to do anything more for the societies that are now in crisis, up to 20 p.m. unemployment, than the government and government parties have had to offer so far?
ParlaMint-NO_2004-12-09.ana.ud1490e344	We have individual societies that have experienced considerable stagnation for the past 30 to 40 years. Attempts to describe the situation in parts of Finnmark as newly created are, at best, a highly erroneous representation of historical developments. It's just looking at the population development of the most typical fishing communities. I am a little surprised that Enoksen has such poor contact with the Norwegian fishing industry that he has not got what is happening in the Norwegian salmon industry, and what happens with lost market shares for Norwegian fishing industry, where one is being held from day to day. So the industry in Norway that has the worst conditions in the market is the one that you actually want to give even worse conditions. At least there is no reason to lift a single flag either in Vardø or on other parts of the Norwegian coast to which you like to refer.
ParlaMint-NO_2004-12-09.ana.ud1490e351	The cord shift is over.
