ParlaMint-NO_2004-06-04-lower.ana.ud1023e45	The representative, Jan Arild Ellingsen, will make a private bill.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e203	I am very pleased that the Odelstinget now has to deal with the Government's proposals, such as: will strengthen the legal position of children and the protection of consumers for persons with social loans and other types of municipal loans. Today, the absolute payment period for personal injury is 20 years. This means that the claim has become obsolete even if the victim only becomes aware of the damage and the possibility to present claims after this period has expired. The Government proposes that this period should not apply if, at the time of the injury, the victim was under 18 years of age and the perpetrator or any of those for, knew or ought to know that the action could lead to a risk of life or serious health damage. This will typically have an impact on sensitising, such as: after bullying at school. In the consultation round, this proposal received broad support. I am pleased to see that an overall justice policy is in agreement. I am also pleased that an overall justice authority is behind the proposal that intends to prevent claims against the administration from being obsolete while they are being treated by the Civil Ombudsman. Today, the situation may be such that a person must go to court to interrupt the limitation of a case even if the case is suitable for handling the case with the Civil Ombudsman. This undermines the purpose of the Civil Ombudsman’s scheme and should therefore be amended accordingly. It is also gratifying that the Judicial Committee supports the Government's proposal to amend the rules on the limitation of claims to be enforced abroad. Following the proposal, a claim shall no longer be valid in Norway while enforcement is sought in another country under an agreement between Norway and the country concerned. In the absence of such an agreement, the applicant shall be entitled to an additional period. Finally, I am pleased that the Judicial Committee supports the Government's proposal to legislate on the full application of the Financial Agreement rules on loans and guarantees to municipal loans. This will involve both enhanced consumer protection and clarification of the legal status. The borrowers receiving loans from the municipality, for example: social loans, often have a special need for information and consumer protection. The legislative proposal will include, inter alia: have an impact on people with poor advice, and it is particularly gratifying to be able to contribute to strengthening consumer protection for this group. With regard to André Kvakkestad's remark on a maximum limitation period in general, it is right that we have said that we will have that out for consultation. We will, of course, come back to the matter when it is completed.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e218	Several have not asked for the floor on case No. 2nd@item: inlistbox [[See page 507]]
ParlaMint-NO_2004-06-04-lower.ana.ud1023e234	At the request of the Judicial Committee, the President will propose that speaking time be limited to 5 minutes for each group. In addition, the President will propose that there be no repetitions after the individual speeches, and that those who have to sign up on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. - It is deemed to have been adopted.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e241	Odelstinget is today invited to take decisions on different types of cases in an aggregate proposition. It is with pleasure that I, as the rapporteur, note that we have gathered around most of the things. There's a few disagreements about these three main issues that lie in this collective proposition, and I guess the minority will explain the sea. I'll be very short. As regards the issue of the per mille limit for personnel on larger ships, a majority of the Judicial Committee shall concentrate on a per mille limit of 0,2 per mille for a sample of personnel on larger ships. In many ways, a new sonnetification is introduced in relation to drugs, which is an important strategy in relation to the long-term drug prevention and harm prevention work carried out in Norway. Building out zones and not talking about total bans, where alcohol is actually not used, a majority of the population and a majority in this house seem to be acceptable. Drivers or other personnel related to the safety of larger ships shall now be subject to such a per-mile limit. It is with pleasure that I see that a total accumulation agrees that there should be a per mill limit, sail if you disagree on where the limit will go. A large majority, with the exception of the Advance Party, have chosen to gather around 0.2. There is also a majority of people around the rules of abstinence outlined, so I'm not going to go into that any further. The overall proposal also contains rules and proposals on the obligation of explanation and disclosure to the police for employees of financial institutions. I'm glad we've gathered a broad majority around it. It is linked to a bet that all parties want against financial crime. I would like to support the chairman of the Judicial Committee, Trond Helleland, who said in an earlier case about the importance of getting hold of the investigation of financial crime by improving the position of the police to obtain information. This is a step in such a direction. We're not just talking about so-called traditional white-collar offenders. We know that a lot of organized crime, a lot of behind-the-scenes crime, is just anchoring a lot of its profits in financial institutions, so it's relevant in that way. For my part, I would like to add that, in my view, legal protection and the need for legal protection for people's money should be lower than the need for legal protection in relation to human human and physical integrity. Then this proposition also contains a proposal for a penalty order against torture. There is an overall committee that joins it, and proposes to increase the penalties for serious and serious torture resulting in death to 21 years. This may seem to be a reasonable academic matter for us here in Norway. I have to say that when you look at news and see what's happening in the world and especially in Iraq, and I also want to point out what's happening on the Guantanamo base in Cuba, it's so that even what we see as reasonably civilized populations, can quickly get dangerous near the border we perceive in relation to torture. Therefore, such a collection around a penalty order is to the greatest extent necessary, not only to meet the United Nations Torture Commission's demands on Norway, but also on our own consciousness, and I think it is also necessary to focus where the focus should be on torture. I am pleased that the Committee also gathers around the desire that not only a criminal ban be adopted here, but also that competences should be built in Norway. I show you, among other things: in relation to the training of the Telemark Battalion, and the intention and desire of the Committee to consider making that training compulsory. Finally, I am also pleased that a single judicial authority has pointed out that there is a need to extend international criminal justice for the purposes of both intelligence, investigation, prosecution and judgment. It will not help only with national criminal penalties if we do not have national and international agencies to deal with these kinds of difficult cases.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e256	The per mille limit for persons serving on larger ships is today designed as a general, discretionary norm. It is essential that the person is drunk or not. In the Right's view, this is a far too fuzzy determination. Much has been left to discretion on a case-by-case basis. It appears that intoxicated persons may behave differently, while judgment and the ability to make right decisions are severely impaired. In practice, an indicative limit of 1.5 per million has developed here to land, or more correctly, to water. Right supports the new proposal to introduce a fixed per mille limit of 0,2 per mille. This will be in harmony with the country's per million limit. I'm sure we can discuss whether 0.2 per mille is the right limit. As it has been enforced here to land, there have been few discussions. The new proposal also extends the abstinence obligation to now also apply to all ships used in industry, as well as to small boats used for the transport of passengers by industry. In Eastfold, on Whaler, the use of alcohol has actually been a theme for small boats operating in passenger traffic. Clearing the legislation will prevent the emergence of grey areas and the enforcement of the police will be easier for the future. Norway has been criticised by the United Nations Torture Committee for not having a specific penalty for torture as defined in Article 2 of the Torture Convention. 1st@item: inlistbox The proposal for a new regulation is addressed to a public official who causes injury or serious physical or mental pain to others, with the intention of obtaining information or of punishing, threatening or forcing someone. A unanimous committee proposes that the sentence be jailed for up to 21 years. I do not hope and believe that this provision will be used in Norway either. But it is essential that Norway is a champion against repression internationally, and that through our own legislation, we indicate that the Torture Convention is incorporated into Norwegian law. Increasing above international conventions because torture, with Norwegian eyes, is totally alien and not existing here to land, could be perceived as arrogant and disrespectful to those states that are best able to combat torture. The role of Norway must be an example guide to the fight against torture. Today, exactly 15 years have passed since the Chinese army plunged into the place of Heavenly peace, heavily armed with armored vehicles and tanks to defeat the student rebellion. More than 1,000 young Chinese lost their lives only in the actions of the army and the secret police. How many who were later tortured to death are unknown. Thousands were sent to labour camps and prisons throughout China. International human rights organisations do not have an overview of how many people lost their lives in total at that time. Many had to flee to democratic Taiwan. The performance in the place of Heavenly Peace was broadcast all over the world as one of the largest and first truly great international live TV events. The globalized media world took China back, which scared the Communist leaders of party leadership. Representatives of official China express in their comments today to this bloody massacre incredibly enough that history speaks for itself. The action is defended because China has made great progress both socially, politically and economically, and behind it there is today a united Communist Party. The goal must never sanctify the means. The only dangerous way is to have dialogue with your own people and not put a lid on an open democratic debate. I'm not going to go into the extent of torture in China, but mentioned China's obvious threatening relationship with neighbouring countries like Tibet and Taiwan. Freedom of expression and democratic institutions are a major shortcoming. It is regrettable that there are arbitrary prisons, sentencings and executions that also include torture, without the very great commitment to it from the free world. The openness of China in economic trade with other countries does not experience China’s own inhabitants. Violation of human rights is hidden behind the successful economic progress in recent years. Norway shall be consistent in its fight against torture, whether in the case of allies or others. For Norway, not adopting a principle approach would seem unconvincing internationally in the fight against torture. The US administration of prisoners in Abu Ghraib prison in Baghdad is specifically mentioned by the Committee. Also mentioned is the judgment of the Court of Human Rights in Strasbourg, where the Turkish authorities received 2.5 million. kr in fine because the country's security police tortured 15 members of the banned Communist Party in Turkey during an action eight years ago. International criminal courts will only play the role that international society allows it to play. It is therefore of immeasurable interest in the fight against terrorism, torture and other violations of human rights that the majority of countries join this court. International Conventions § la Torture Convention has no force without broad international recognition, including, inter alia, the from the United States of America.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e279	As regards the punishment against torture, it has been introduced primarily to meet the will of the United Nations Torture Committee. As stated in the proposition, it is not necessarily a change of reality in itself, the introduction of such a penalty. In Norway, in any case, other penalties would have been violated by the execution of torture. However, I think it is positive to clarify this, so that there is no misunderstanding that might suggest that Norway does not prohibit torture. In that context, I cannot see any harm in having such a criminal order, although it may not be explicitly necessary. As far as the penalty framework is concerned, I am very pleased that the Committee has come to the conclusion that there should be a 21-year penalty for serious torture of death. Doing serious torture leading to death should, in certain contexts in particular, be in line with the deliberate killing. As regards the issue of the per mille limit at sea, the Progress Party is of the opinion that the drunkenness criterion for the operation of larger ships is described relatively vigil. It also makes sure that one of the people involved, strictly speaking, does not know exactly where the limit goes. It is also such that with the type of cargo being carried, passengers not least, it would be very good to know where the limit of what is acceptable goes. The point of progress is of the opinion that the per mille limit should be set at 0,5. It is related to our point of view in relation to the rules that we want in the road sector. We would have liked to see an equality in these areas. At the same time, for small boats, the per thousand limit is 0,8. But anyway, the most important thing isn't necessarily whether you decide on a per mill limit of 0.8, 0.5 or 0.2. The most important is the rules on mandatory abstinence. So in principle, you're going to be completely pro-mille-free, but from our point of view, we want a small buffer situation for cases where you should have gotten something that you really didn't expect. I would like to raise the proposal of the Progress Party.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e292	The representative, André Kukkestad, has taken up the proposal he referred to.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e295	The Government suggests in Ot. pp. No 59 a fixed per mille limit of 0,2 for larger ships. This makes the per mille limit as strict on the sea as on the road and in the air. It is very gratifying, in the view of the Christian People's Party, that this ensures better against marine accidents. A per mille limit of 0,2 will now cover all ships of 15 metres or more. The prohibition shall apply to masters of the sea, to pilots of the ship and to others engaged in services of essential importance for safety at sea. It is also positive that the Government, in addition to a per mill limit of 0,2, proposes an extended rule on abstinence. The ban on drinking alcohol during the service period shall now apply on board all major ships engaged in industry. It shall also apply to small boats used for the carriage of passengers. The ban on drinking alcohol applies both during the service and up to eight hours before the start of the duty period and shall apply to the same persons to whom the per mille limit applies. I have to say that it is nothing less than eye-catching that the Progress Party - as the only party on the Stortinget - opposes the introduction of a per million limit of 0.2 for larger ships. Such a limit will undoubtedly contribute to increased safety at sea and will be able to prevent accidents involving damage and loss of life. But the Progress Party doesn't seem to care about this. Norway has been criticised by the United Nations Torture Committee for not having a specific criminal order against torture in the law, as the Torture Convention requires. In Norway, until now, we have considered it sufficient to have other, more general, penalties that also include torture. However, in line with the UN recommendation, the government is proposing a new provision against torture in Section 117a of the Criminal Act. The proposal for a regulation will capture the participation of North and Foreigners in tortures abroad. The Christian People's Party fully supports this proposal and believes that the clarification of the legal status of a ban on torture is both correct and important. Amnesty International’s 2004 annual report shows that a total of 130 countries have used torture or abused. It is important for me to clarify that neither security nor justice can justify torture. In the opinion of the Christian People's Party, the best guarantee of justice and the security of individuals is that human rights are respected. They shall both protect against abuse and be increasingly used to place offenders in charge of their crimes. In our view, there is a growing need for debate on issues of torture and other inhumane treatment. The government has consistently criticised other countries for violating human rights. Criticism has been consistent, regardless of whether it has hit our closest allies. An example of this is the discussions on the situation of Iraqi prisoners in Iraq and the situation of prisoners at the Guantanamo Base in Cuba. Such a consistent line is the only right! Employees in banks and other financial institutions are currently subject to legal confidentiality obligations on matters that they become aware of through their work. The obligation of professional secrecy applies to the police, but not to the courts. This means that the police must obtain legal assistance if it is desirable to obtain information from witnesses with professional secrecy under the Business Bank Act, the Savings Bank Act, the Insurance Business Act, the Securities Register Act, the Financial Activities Act or the Securities Trading Act. The intention of the proposed amendment to the Criminal Procedures Act is to enable the police to obtain information from them, too, without being forced to obtain the consent of the court. The obligation shall apply in criminal matters and in other matters where there is a strong public interest in the provision of information. The proposal will release resources and make the investigation more effective.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e323	I am pleased to note that the Committee on Justice gives virtually its full support to the law under consideration. The main purpose of introducing a fixed and lower per-mile limit for larger ships is to improve safety at sea. I am pleased that a single justice authority shares the Government's view that for larger ships, too, there should be a fixed pro-mille limit, and that the majority believes that the limit should be set at 0.2. This limit is in good proportion both to the damage potential of larger ships and to the limit applicable to road and air transport. The current per mille rule for larger ships is an exhaustive calculation of who should be included. The calculation indicates partly too many, partly too few persons. For me, it has been central that the rule should apply to all those who provide services of essential importance to maritime safety. In my view, the proposed amendments to the rules on compulsory retirement are a valuable addition to the per mill rule. Today’s obligation to provide services applies mainly only to passenger ships with more than 12 passengers. The consideration of increased safety at sea speaks for the extension of the scope of the provision to all major ships. However, existing rules testify to the specific safety needs of passenger transport. There is a background to the proposal that the abstinence obligation is also proposed for a number of small boats carrying passengers in industry. To date, it has not been considered to be particularly problematic that Norwegian criminal law has no specific criminal order to address torture. Torture is affected by more general criminal orders, including: personal injuries, deprivation of liberty, coercion, threats and abuses of public authority. Such penalties were then also used in legal proceedings following World War II against persons charged with torture in Norway. It is difficult to imagine a torture which is not already punishable by the law in force. Nor do the other Nordic countries have their own penalties for torture. However, Norway has been criticised by the United Nations Torture Committee for not having a specific penalty for torture based on a definition of torture in accordance with the torture convention Article 1, at the latest in its report of 27 May 1998. It would be unfortunate at international level if Norway did not comply with the torture committee’s recommendations. This will include, inter alia: be a bad signal in relation to countries where the need is more urgent for a strong and clear ban on torture. An explicit ban on torture will indicate in clear terms that Norway is taking a great deal of distance from the current acts. Another argument for imposing such a specific penalty is that many other countries have their own criminal orders specifically targeting the acts in question and that a similar provision in Norway can help to facilitate better cross-border judicial and police cooperation. The proposal to introduce a specific penalty order was fully supported during the hearing, and it is an important political signal that a single justice authority also supports the proposal. The Committee proposes to increase the sentence from 15 to 21 years of imprisonment in the event of serious and serious torture resulting in death. In the proposition, the issue was assessed, but more severe punishment was not proposed, because a similar high framework for gross body damage is very little used. However, I have no objections to the proposal. The government is very concerned with improving the efficiency and simplification of police investigations into criminal matters, as long as this can be done without prejudice to important guarantees of legal certainty. It is therefore with satisfaction that I record strong support for the proposal to introduce an explanation and disclosure obligation to the police for employees of financial institutions, etc. The legislative measure will contribute to increasing the speed and effectiveness of investigations, in particular of financial criminal proceedings. The current system, where employees of banks and other financial institutions cannot provide information to the police without breaking the obligation of professional secrecy by law or by agreement, is difficult and inappropriate. The police are forced to request and conduct legal hearings if they want oral explanation from such witnesses, even if the witness himself would like to explain himself. The system seizes time and resources, both in the police and in the courts. I have also stressed that the financial industry itself wants rules on accountability. The proposed legislative measures are therefore expected to have a positive impact on the pace and effectiveness of both the investigation phase and the second stage of the criminal proceedings. In addition to the legal economic gain of the release of resources in the police, prosecutors and courts, legislative measures will enable the police to obtain information more quickly.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e352	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e355	The representative Holstad had some adjustments about the per mille limit that almost made it sound like the Progress Party was at a per mille limit. As I said, we're going to go into a fixed limit, but we want it to be equal to 0.5. The representative Holstad thinks many lives would have been lost with as high a limit as 0.5. I could have thought that he was deepening this something more. How many lives does the Christian People's Party think would have been lost by a limit of 0.5 instead of 0.2, especially on the basis that one has not registered death at today's limit, which is actually at 1.5 for larger ships? This is particularly strange in the context of small boats having a limit of 0,8 even if they carry persons out of industry. I can't see that the Christian People's Party has made any suggestions in that context.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e363	The next speaker is No Marte Thorkildsen, who has a speaking time of up to 3 minutes.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e366	Don't I have five minutes? I have not had any posts before.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e371	Then we're correcting the speaking time to 5 minutes, since it's the first post of the representative, Thorkildsen.
