ParlaMint-NO_2004-06-16.ana.ud568e49	The representative of Ola D. Glötvold will make a private proposal.
ParlaMint-NO_2004-06-16.ana.ud568e151	Where the State is required to sell properties, businesses or shares - or in any case - this usually becomes large or large. Usually large amounts will be involved, and the public, the media, parts of business and other parts of society will be involved in the process. As regards this case, the conditions surrounding the sale of SND Invest AS, a number of claims were made in the media that eventually led the Supervisory and Constitutional Committee to decide on the matter. The purpose of setting up the company was to promote business and socio-economic economical economical development in the country as a whole, not least in relation to certain vulnerable industries and certain vulnerable districts, to contribute to profitability and profitable employment in districts with particular difficulties in employment and where there was a weakly developed business base, by investing in shares and providing responsible loans, mainly in relation to small or medium-sized enterprises or venture companies. This was the idea. SND Invest AS was therefore to be one of the country's tools to ensure a sustainable business life throughout the country. This is important and will also be an important premise in assessing the manner in which the sale should be made. But then the question is, Had Stortinget given permission to sell? For the treatment of St.prp. No 1 for 2001-2002 on 6 December 2001 the Stortinget took a decision empowering the Government to "put up and implement the sale of the shares in SND Invest AS". However, a minute or two later, the Stortinget took a further decision, which states: "Proposals are made to empower the Government to sell the State's shares as proposed in St.prp. No 1 Appendix No 4 as set out in the proposal for Decision XII only after the Storting has dealt with the Government's announced ownership notification." [[2001-2002]] The majority of the Economic and Social Committee gave reasons for this, inter alia: that in recent years the Stortinget had taken a number of decisions on the extent of state ownership in individual Norwegian industrial companies, and that there was now a need to discuss issues related to the exercise and extent of state ownership on a more fundamental basis, before any new commitments were made to change the country’s ownership positions. The majority see that this last decision repeals the first, and that no authorisation for sale was granted. It was not a decision that put a definitive stop to any form of further sale of State shares, but it provided that the Government returned to the question in connection with or after the Storting treatment of the ownership notification. In the announcement of ownership which was dealt with here in the Chamber in June 2002, i.e. half a year after the previous decisions, the Government refers to the first decision and further states: "As part of this process, it is stipulated that the shares of SND Invest AS are transferred from SND to the Ministry of Industry and Trade." The decision to stop the sale until further notice is not mentioned, nor is this decision later mentioned in any case concerning this sale. So the decision that stopped the sale until now is not mentioned, and no new decision will be taken here in Stortinget. Accordingly, the Government relies on a decision which has been suspended by a subsequent decision and systematically fails to mention this decision on this occasion and on subsequent occasions. Now it will be claimed that the Storting should have seen and made sure that things were handled correctly. However, it will be the responsibility of the Government to follow the decisions taken by the Stortinget, and if anything is unclear or impossible for the Government to comply, the Government must return to Stortinget in an appropriate manner. The majority therefore believe that when the sales process was started in 2002, it was not authorised to sell. If there had been a power of sale, it would not in any way have given the Government any time limit for the execution of the sale, with reference to what appears in St. prp. No 1 for 2001-2002, where, inter alia: is: "It is underlined that there will be no requirement for the use of powers within specified time limits. The implementation of any changes in the country's assets in individual companies will depend on commercial considerations, market development in general, exchange price developments, strategic conditions relating to individual companies, etc. The Ministry will therefore generally have no view of when it may be appropriate to use the powers proposed." This was not met at any point by Stortinget, and therefore there was no pressure or expectation of immediate sale. The sale occurred at a market very unfavourable time and with significant discounts, which according to SND Invest itself were above 50 pst. of the real values when tax relationships are excluded. Now it's easy to be a follow-up clock. It was not easy to see when the sale was carried out, how the market would develop. But when the values we're talking about here are about $1 billion, a discount of 50 pst. provide for a staggering amount of money. This should have led to a reassessment, especially since there was no pressure for sale at that time, at least not a political or an economic pressure. But I recognize that there may have been a strong ideological pressure that pushed the Council of State in the back. Nevertheless, more than 600000 kroner have been paid to obtain a qualified assessment of the company's value and then to sell it for half the price. No other owner in an unpressed situation could have allowed himself to do the same. The quoted shares were also sold at a significant discount in relation to listing on the sales day. The value was 192 million. NOK, but they were sold for approx. 60 million. NOK below this amount. There had been several options for the execution of the sale. The Board of Directors of SND Invest argued that a phased winding-up over a five-year period would be the best solution. You could then close the company, as it is called, leave the shares in a fund and have an administrator or a management company who would be responsible for the sale over time. Now we did not listen to this Council. The Council of State had purchased other advisers who gave advice to others, and it would be up to the Council of State to choose the advice he considers appropriate. But it's amazing to the majority that the company's board was so categorically disregarded in the process. There is a certain logic in being able to claim that the board, with its experience with the company, had to have been an asset in the sales process. The majority is also amazed that there could be a conflict of interest between the board and the owner in this case. Our perception is that every government has the owner's interest as a guide to its work and dispositions. If this is not the case, the owner will replace the board. When the call for tenders was made, it was a prerequisite that it should be sold collectively. Many showed interest, but at the end of the process, three potential buyers returned, two of whom joined the exclusive negotiations. One of these, Four Seasons Venture IV AS, had always made it clear that one was not the buyer of the listed shares, while the other, Wiik and Forest, did not see the possibility of being stuck with the entire listed portfolio. They were not given the opportunity to enter the market to assess the resale of the listed shares, as Wiik and Forest were concerned, while Four Seasons conducted negotiations with DnB Markets in agreement with the Ministry. It was finally Four Seasons who got the hit, and the government announced the Stortinget: "The Ministry of Economic Affairs and Trade sold the shares of SND Invest AS to Four Seasons Venture IV AS for SEK 549.8 million." This means that the company had bought the whole, including the listed shares. A classic understanding of the term "buying" is that someone pays an agreed or stipulated sum for something, and this "something" then changes the owner. Four Seasons never paid a penny for the listed shares, and they did not hold the ownership of those shares for a single second. In other words, Four Seasons was not the buyers of the listed shares, but had facilitated sales from the state to DnB Markets. The shares were sold directly to DnB Markets, and it was DnB Markets who paid for what the State should have. No owner of these shares existed between the time at which the State owned the shares and the time at which DnB Markets owned them. Four Seasons therefore did not need equity to make this purchase and thus received a competitive advantage over their competitor, who had not given this opportunity to come around the purchase of the quoted shares. Summarized, there is a basis for claiming that the management of the sale failed in some areas, and I would recommend Stortinget to join the setting in this case.
ParlaMint-NO_2004-06-16.ana.ud568e216	The Supervisory and Constitutional Committee at Stortinget has a special role to play in our parliamentary system. On behalf of the Stortinget, the Committee shall be a supervisory body vis-à-vis the Government and Administration. As the sole committee of the Stortinget, this committee has so-called autonomous right of initiative. This means that the Committee may decide, on its own initiative, to open a case and present its views to the plenary assembly on almost any matter. For the majority, no case is either too small or too large in that way, nor too complex. This means that from time to time the majority will be harmed to overestimate their own competence, as in this case, or abuse the control committee to re-combat matters that have previously been lost here in the Chamber. Because what do we see here? Well, that the majority without being distracted or adjourned by the facts of the matter draws imaginative conclusions and makes undocumented claims. It is both disappointing and frightening that the majority of national Parliaments are resorting to such an easy-to-use procedure. The control committee has received approximately 2 000 pages of documentation from the Minister of Industry, in addition to having had an open consultation with the parties. However, in such a complex case, the Committee has chosen to use only one meeting to deal with the vote, namely a meeting yesterday at 5 p.m. 12, which took a whole 15 minutes, where the case was dismissed. The lack of interest of the majority in an independent assessment is underlined by the fact that the Riksrevision’s routine review of this sale, which is likely to take place in a few months’ time, has not been awaited. So in such a complex case, it is not interesting what the Riksrevision's assessment of the matter is. Or could it be that the majority of the committee is aware that facts do not support a particular conclusion? In the press community, one sometimes talks about the term "never check a good story," because it will destroy the scandalous resolution. All of this underlines that the Committee has not been concerned with the facts of the matter, but only with political games. I have some of my more prominent committee colleagues suspected of suffering from the so-called inquired disease, a disease that has a bleak tendency to need the closer to the end of the spring session we're coming. And the abstinence of political noise and action is becoming more and more annoying. A majority argues in the preamble that the Minister of Industry has not been authorised to sell SND Invest, despite the fact that the case has been in Stortinget both in the context of the 2002 State Budget, in the spring of 2002, in the ownership notice, in the discussion of the instrument proposal in spring 2003 and in the context of the receipt of the approval of the sale in autumn 2003. The mandate is also mentioned in the 2003 State Budget. This authority has not been questioned in any of these proceedings. It is also the same authority that underlies the sales of Arcus and Olivin, which Stortinget has also dealt with, without any comments. In addition, let me ask the case rapporteur a question. The Labour Party and the Advance Party agreed on a proposal to withdraw the authorisation to sell SND Invest. The proposal did not receive a majority, but the majority of the Storting, consisting of the Right, the Christian People's Party, the Left and the SV, voted on 18 June 2003 to put an end to the sale. The question is: why in the world would there be a need to propose to stop the sale and withdraw the authorisation for sale if such an authorisation had not already been granted? This falls on its own unreasonableness. The majority also criticises that the sale of the shares in SND Invest was not anchored by the general meeting of the company. Well, this just shows how lack of insight, coupled with haste, gives strange results. the annual meeting has no role in the sale of the shares in the company. Only where it was to be sold from the portfolio of SND Invest is this relevant and there it was held a general meeting with the National Audit Office. Only in October 2003, 22 months after the mandate was given, the sale was carried out, following a very extensive process involving a number of stakeholders. The fact that in the final round there were first three, then two stakeholders, also underlines that there was strong competition to pay the most for SND Invest. There was a strong emphasis on non-discrimination between the different stakeholders in the final phase of the bidding round. The sale was therefore carried out at market prices, as a total sale of a portfolio. In total, the government received approx. NOK 1.2 billion through the sale of SND Invest. At the beginning of 2003, the Oslo Stock Exchange index was 105. At the time of sale, the index had risen to 150. Hardly any of the so-called experts believed that the index would continue to rise. In the financial paper we were able to read the following statement from the manager of Telenor Venture, Rune Rinnan in the autumn of 2003: "They must be eager if they don't sell the SND Invest portfolio for 500 million. I believe the SND Invest portfolio is worth $200-270 million. No more." No, this ends up as a solid political bellyplate for the opposition, or said in another way: Up like a lion and down like a skin trap.
ParlaMint-NO_2004-06-16.ana.ud568e245	I think the government council had served with a slightly different defensive tone than the Martin Engeset now chose on behalf of the government parties or the Right. With regard to this with the mandates, I will refer you to the rapporteur's statement of the matter, to which I agree. Then I want to focus on the two conditions that I find very critical. First, it was said by Martin Engeset that this was a complicated matter. Yes, some things are complicated. But there are also a lot of simple things, and the simple is often the best. When the Council of State was to initiate the liquidation of SND Invest AS, because there was a liquidation that was actually to be carried out, there were of course two ways to do so. One was to give the board and the administration a message to implement the liquidation in the best possible way. The other thing was to get others to do it. I ask the question, who had the best knowledge of the companies that were in the SND Invest AS portfolio? Yes, the administration. This was a venture company. What they were doing was buying and selling shares, after political leadership, and also political purposes. But they actually participated in the board and the development of the company. It was the administration that had the best knowledge of the companies that SND Invest had invested in. It's totally indisputable. The board and the administration made loyal proposals. Regardless of what was meant by whether to wind up or not, they proposed how best to do so. I would have understood if the government's choice of method and speed were due to his being anxious that another government and another majority in Stortinget would have stopped the sale at a later stage. It's a political assessment I have the sense of. But the model presented by the board was fully legal so that a government after any government change could not have reversed the decisions. It was confirmed in the hearing. In other words, you could have done the natural and natural thing - followed the board's advice and let the board and the administration do this work. It'd probably cost hundreds of millions of dollars, maybe up to 500 million dollars. kr, more in the treasury. Four Seasons also confirmed in the hearing that they expected to make such an amount on this. That's one very critical thing. Instead of making it simple and obvious, letting the board and the administration, who had the best knowledge, carry out the sale and liquidation also in a sound and sensible way with the eyes of the companies, chose the council for some remarkable reason to engage Steenstrup Stordrange and choose the individual as advisers and pay for advice you did not need, because you put yourself on the best expertise, in the board and in the administration. That is one very critical aspect. It's not complicated. It's simple. The second is the final call. Once again, I refer you to a very good statement from the case-rapporteur, Mr. Engeset, who shows that at best Martin Engeset must have spoken against better knowledge when he claims that the shares were sold together. So it's an indisputable fact that the buyer, Four Seasons Venture IV, never owned the listed shares. It's actually a fact that they didn't need the equity that the competitors needed. So when Martin Engeset says that they were sold together, it is de facto a mistake. They were not sold together. The listed persons went directly to someone other than the buyer of the package. This has favoured one of the providers, and this is not the way a department, a government council, behaves. Thereby, too, there is a suspicion that you have other interests. I'm not supposed to claim that. However, if the Storting here had not spoken out in an outlaw decision, the only other options would have been either to appoint a protocol committee to assess the case under Section 10 of the Liability Act, or it would have been mistrusted. The store would not have done its job as a supervisor and would have lost its credibility as a supervisor. We have to do that job, regardless of whether we ever think that Ansgar Gabrielsen is a very pleasant and kind colleague that we have had in this house. We have to do our control job.
ParlaMint-NO_2004-06-16.ana.ud568e262	I too would like to join the rapporteur's statement. I want to address this with powers, because I think that's an important point. It is a fact that the Stortinget agreed on 6 December 2001 that the Ministry of Economic Affairs and Trade would be authorised to make arrangements to implement the sale of shares in SND Invest. But what's obvious is that two minutes later, the majority of the depositors said that before authorisation was given to sell the shares, the ownership notification was to be dealt with, and the government would then give the Storting the opportunity to decide on the sale of the shares. The councils never did. The Council of State did not have the power to sell. In spite of this, he and the department initiated the sales processes without authority. Not until 18 June last year, far out in the sales process, it is assumed that the Council of State had authority, because there was then a proposal, and there was a majority in favour of the sale not being stopped. It is this relationship that is serious and critical, for the Council of State should have known that it was the last decision that was taken on 6 December 2001 which was the valid decision. Then it is not possible to hide behind the posts of other representatives in the hall or the comments of other parties, as the government party has done in this matter. It is the task of the executive authority to facilitate the Storting with the information required by the Storting. At no time did the Council of State question the fact that he had no authority or prepared with the Storting whether he had authority. It was the duty of the Council of State to do so, as the Advocate General also said in his statement. The next question you have to ask yourself is: was it right, what the Council informed the Storting in the autumn of 2003, that they quoted and unlisted the shares were sold in one package? Yes, it's up to you to ask questions, because the quoted shares were never owned by Four Seasons Ventures. Four Seasons Venture had negotiated an agreement with the DnB Market, but the State entered into that agreement. The next question is: If you had a mandate, was the sales process managed so that the community's resources were properly preserved? The majority in the Committee are clear that this was not done. This is not done by the majority following a cumbersome procedure. Most likely, the state missed out on several hundred million dollars in the way that sales were handled. The Council of State chose to ignore the advice given by the board of directors and management of SND Invest, and here I fully agree with the representative Carl I. Hagen. In fact, it is the right of an owner to listen to the advice that the owner has to listen to, but it is critical that those who had acquired the skills by investing in companies, those who knew the companies and helped develop them to then sell with profit, that is, not being listened to. The SND Invest management reported that the time of sale was the most unfavourable in ten years, and that in a led winding-up over a few years, the gain would have been greater for the state. That's exactly what the buyer Four Seasons Venture has done. They have entered and bought the unlisted shares. They're waiting to sit with them for a few years and then sell with profit. The result of the government's procedure was that the state did not get the money that the state should have, among other things. that it was sold with large discounts. Finally, a comment on the insinuation of the government parties that the majority is criticising for cutting political points. It would be totally irresponsible to give criticism to score political points, and I am not impressed by Martin Engeset's defence in this way either. The majority have gone into this matter with great seriousness. Realities suggest a criticism in the form of a reprimand to the Council of State. That's what the majority agrees with.
ParlaMint-NO_2004-06-16.ana.ud568e281	The District Development Fund, later SND, has been an important traveler and partner for companies, municipalities and establishers for the years that we have behind us, and is still there today. I am well aware of the establishment of the equity system in 1992. This was an important election theme in the 1993 election. The challenges were many. Specially new start-ups had too weak equity. There is a lot to say about the industrial policy of shifting labour party governments, but in common with them, it seems that under the regime it is difficult to build up the necessary capital, which is so important for enterprises to have a potential for growth and for a future. After she had worked for some time, one found out that the SND equity arrangement was to be separated as an owned AS. Later, SND Invest's profile changed and went over more and more to follow operations in several stages of development. So they went heavier into a single roof. The single investment ceiling increased from 125 million. NOK 200 million. 2001 kr. In other words - SND Invest became more and more an investment company in line with other private companies for the same purpose. In retrospect, it is easy to see that the mandate of the Minister of Industry to sell out this department and to use the released capital of a new district fund was sensible and forward-looking. It is beyond doubt that the Council of State was authorized to sell the company. An attempt to stop this was made in Stortinget and therefore rejected. The opposition here has created a case where the truth to say is not a matter. It might seem that a person here has come to a conclusion in advance, and then it doesn't make any sense and it doesn't matter. The normal thing about the sale of works is that owners decide this in consultation with their board of directors. In this case, the department was in charge of the sale, after notification from the Stortinget. The price of the axes has been another anchor point. Yes, it will always be. Buying and selling on the open market will always be a supply and demand issue. So here too. So it was also at the sale of 67 pst. by the Arcus axes, carried out by the Stoltenberg government. So, of course, one can ask if the price of these was good or too low. When the rest of the Arcus axes were sold last year, the price was considerably better--and this after significant dividends were drawn out. But once again, this is going to be speculation and post-clocking. I don't want to make any claims that the Minister of Industry of the Stoltenberg administration at the time of the sale didn't get the price that was achievable, even if things point to it. I must be allowed to say that, in fact, it seemed that the opposition here has an unusually bad case. The posterity and conclusion of the Riksrevision's routine investigations will tell if it really is.
ParlaMint-NO_2004-06-16.ana.ud568e307	The central party agrees with the majority's conclusions and agrees that the term "strongly critical" can be used for several of the actions or lack of action mentioned in this clause. The centre party strongly opposed the sale of SND Invest. SND Invest was a very important state owner, important to the many companies that then gained better access to capital, and important to the state because SND Invest was an active, state owner who was represented in the boards of very many companies. It was a very important competence that was built here. SND Invest was the owner of many farms, especially in the districts and in the fishing industry in the north. SND Invest was a particularly important owner, who in many cases was involved with the small shareholders. SND Invest contributed to the court’s overestimation of forced redemptions for minority shareholders, e.g. in Norway Seafoods. It would not have happened without SND Invest. The financial results seem to be good. 5 pst. the annual rate of return is indicated in the adjustment. In comparison, the oil fund has done 3.7 pst. on the whole of its portfolio, but on the portfolio of shares, the return is significantly lower. SND Invest prioritised districts and district industries higher than other investors and was an important compliment to them. Today's Business also deserves commendation in this matter for the precious urgency of the Council of State in the light. The Council of State has on many occasions highlighted its competence as a seller of state activities. I do not sell chickens in rainstorms, is one of his well-known statements. So it turns out that that's exactly what he's done in this case as well. It was a very strong and long-lasting rainstorm before this sale was made. Governments have achieved a spectacularly low price due to the time and manner in which the sale was made. The financial loss for the state can be several hundred million dollars. It is very critical that the Council of State has managed the assets of the State so badly. It may seem that fast sales have been the only goal - costing what it will cost. The Central Party agrees with the majority of the Committee that the State Council has not obtained the necessary power to sell SND Invest. An authorisation to prepare a sale and an authorisation to submit an application for a mandate is different from having an authorisation. It is critical that the company's board of directors and management were not used more actively in the preparation of the sale. In the final question, a letter came from the board with strong warnings, pointing out that there was a discount on such a large sale of about 50 pst. It was documented by the company's board of directors. Then at least the process should have been stopped. That's what the Central Party thinks is very regrettable.
ParlaMint-NO_2004-06-16.ana.ud568e324	It's not all the world you get to say about this matter in five minutes. But the picture that's tried to draw around the sale of SND Invest, I'd say at best is suitable to confuse. So I'm going to try to go through the maybe two or three of the most important points, as they appear in the opinion of the committee, where it might have been the most central link to the mandate. On 6 December 2001, the Board of Directors authorised the Ministry of Economic Affairs and Trade to "make arrangements for and implement a sale of the shares in SND Invest". It has been claimed, even today, that this decision was supported by a subsequent decision that evening. My interpretation of it is pretty clear. It is just a little troubling that the members of the Business Committee who were in those negotiations are not present, especially of course the representative Hedstrøm. What was the case was that we had asked for a power of attorney to sell 13 companies, as stated in St.prp. No 1, Appendix No 4th@item: inlistbox It was not the Stortinget's willingness to give authority to. That was a lot of companies. But there were four companies in which the Stortinget was prepared to decide to give a mandate, and there were the companies Moxy Trucks AS, in Arcus, AS Olivin and SND Invest. I have not heard any indication at any time until now in the last two or three months that the decision that was taken two minutes later applied to the four companies. It applied, as far as it is possible to interpret this, the nine others. It is the interpretation I have used in countless documents for the Storting, and there have been countless debates in this Chamber on this. That's what we used when we sold the rest of Arcus and announced the Riksrevision and announced the Stortinget. That's what we did when we sold in AS Olivin and announced the Riksrevisionen and Stortinget. That's what was the idea when we tried to sell Moxy Trucks before they went bankrupt. We couldn't do that. So we weren't healthy enough in that area. I have to say that after studying all the settings and documents that have gone to Stortinget, and all the debates, I have not heard one word or found one letter indicating that someone in this room has had a different understanding of it. We have also not received any comments from the Riksrevision that we have based on an understanding that is incorrect. I have an unconditional impression that the office that works with these things every day has exactly the same respect for the Riksrevision that I have, that is, that what we do is to be within the powers set by the Storting. I assume I had a proxy. However, I record that a majority in the committee is of a different opinion. Another question is whether a reasonable price has been achieved. So, first of all, the sale of SND Invest was not an urgent matter. We spent 22 months doing that process, after doing all the research, legal and financial, and other necessary research that we do in this kind of case. I cannot, with my best will, understand that in that area, we have not done what is necessary to dispose of state property. I have not seen, either in the media, in settings, in the debate or elsewhere, what I would like to call detected errors that make you say that you are sure you could have achieved a different and better price for this. So there was a question as to whether the time of sale was reasonable. At least it was in 2003 that the stock exchange had increased by 50 pst. from the turn of the year until October when we sold. It might be that someone would have said the day that it would probably increase 30 pst. Could not To draw a little analogy to other issues that have been dealt with: when the labor party government introduced Telenor on the summer, when it went to the Stortinget, it was suggested in the document that it would bring about 200 billion kroner in value for that company. The stock market introduction six months later showed that the company was worth between 60 and 80 billion kroner. It was not that what was presented in the Proposition of Stortinget was wrong. It was just that things had changed. Of course, one should have sold at the time when it was worth NOK 200 billion, not when it was worth less than half. It says that the community missed 100 billion kroner. It becomes a little bit hopeless to operate along these lines. The time has thus been exhausted.
ParlaMint-NO_2004-06-16.ana.ud568e343	It's going to be line change.
ParlaMint-NO_2004-06-16.ana.ud568e346	With regard to the interpretation of the decisions concerning the mandate, I will not bother the Council of State with that. If he's interpreted it this way, it's at least the majority's opinion that it's a wrong interpretation, and he should have come back to the Stortinget to have it clarified in that case. I am surprised that the Council of State believes it is so obvious that this last decision was reserved for a number of companies. It refers to this decision that was taken, which states that shares should not be sold until a review has been carried out. What I want to ask the Council of State, in order to get it clear at least: It was announced to Stortinget that the Ministry of Economic Affairs sold the shares of SND Invest AS to Four Seasons for SEK 549.8 million. So they sold it all to Four Seasons. Is there a proper production for Stortinget that the entire portfolio was sold to Four Seasons?
ParlaMint-NO_2004-06-16.ana.ud568e357	My answer to that question is a clear yes. It is clear that there are many technicalities in terms of purchases and sales in general. The representative spoke in his main post about a "classical understanding". What is it now, a "classical understanding" of a sale? Everyone who has worked with the right to purchase and sell knows that there are many concepts that require long investigations to be able to see the content. But let me say it this way: it's not unknown that you buy a building complex or an island group, it's either Bolärne or elsewhere with a sea of buildings, and before this transaction is completed, before it's overjoined, the new owner may already have resold the property without the money being in any cash. It is sold directly to another owner or third owner. That's exactly what happened. The state asked for a bid on an overall package and received two bids. We asked for a split in price to be able to look at the risk of loss in the 14 days before closing. The shares were transferred directly to DnB Markets from the state, but the state could not do so without the consent of Four Seasons, which was the real owner.
ParlaMint-NO_2004-06-16.ana.ud568e368	I have two questions for the Council of State. Firstly, what is his explanation as to why the board's proposal on the disposal procedure was not followed, a board he has said he has confidence in? I assume that the Council of State agrees that the administration of SND Invest AS was the ones who had the best knowledge of the companies in the portfolio, especially the unlisted. Then it would be natural for those who could most make the sale. Why was the solution of the board not chosen? The second question is to extend the answer just given by the Council of State. He considers it to be the sale of an overall package, although it is documented that it has not happened. If the answer is no, why did the other competitor not get information that the Council of State interpretation was that it should not be sold together, but that one could sell parts of the package directly without it being listed as a direct sale? Did the other one offer that knowledge?
ParlaMint-NO_2004-06-16.ana.ud568e377	Let me make it clear: the board of SND Invest had my trust. There is no board member or board member in any company that does not have my trust. I nevertheless chose the council away from the board. If I've done it 50 or 100 times during this period in different companies, I don't know, but it's not like you automatically take the board's recommendations about the ownership arrangements you're going to do, too good fish and as optimal. It was so that there could be double interests in that board. It was also the case that the board's administration and board of directors were called to the department, precisely because there could be such a double interest. There was, in fact, agreement between the Administrative Board and the Department that this could be the case, and so we set up a special race. That we didn't follow the advice doesn't mean I didn't trust the board.
ParlaMint-NO_2004-06-16.ana.ud568e384	I am amazed that the Council of State cannot show a little more humility to the criticism that comes out here. It's like there's no basis for that criticism at all! What the Storting is probably going to do today is that you decide to give the council a reprimand. That's the closest Big City can come mistrust. It is the first time in recent times that this type of criticism has been adopted. I recommend the Council of State to show some more humility, to jeopardize something more down. I would like to ask the Council of State: is there not any kind of basis for the criticism that the majority makes on the basis of both the hearings, the information that has emerged, and all that we have gone through in this matter?
ParlaMint-NO_2004-06-16.ana.ud568e393	I can admit that in the name of the game you might become clearer and more concise than serious. I have great respect for the criticism that a great majority of people come with, and, of course, take note of it. With regard to some of the issues in which the majority of the population has expressed their views, I maintain my view of the substance of the matter. But as I said during the hearing, there are some points in this case where you have to exercise a significant degree of discretion. I have great respect for the fact that others would have come to another understanding. You can criticise the judgement exercise that was done for selecting the time. I'm recording that someone in this majority would have chosen a different time. I respect that. With regard to the basic issue of proxy, I can, in the light of the agreement we made with SV, very difficult to understand, because for the first time in Stortingen's history, as far as I know, we actually made use of the funds we were going to get out of this sale, namely to seed funds. I think it may be a little strange that SV in particular has said what they said about the authority itself, when they have agreed to dispose of the money that was to be used when the money was put into the box.
ParlaMint-NO_2004-06-16.ana.ud568e402	The chord shift has been completed. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2004-06-16.ana.ud568e407	I allow myself to ask the question one more time, so that the Council of State will be given some more time so that he can answer it. Did the other one offer the same information as Four Seasons, that when one considered what one could offer, it was entirely possible to obtain offers from others to which one should then sell on the spot, as Four Seasons did to DnB Markets? Was that knowledge and the ability to reduce the need for its own equity communicated to the other provider, so that the provider had the same opportunity as Four Seasons?
ParlaMint-NO_2004-06-16.ana.ud568e414	The representative, Hagen, is asking a very central question. It's a natural, absolute assumption that all possible buyers at any stage should have exactly the same information. Sunday night. 18.15, I think it was, we sent out an offer to the two that were left, and gave them 24 hours to bring a renewed price. We wanted a final sum of what you could give. We asked for it to be split. But it was the final sum that was interesting in relation to choices. In the offer we gave them to bring such a price, we did not specify all the options they had, nor what restrictions they had. It is clear that you can imagine the possibility that someone buys already that Sunday evening, at 0 p.m. 22 had made an agreement with Nordea that we should sell this to you for 700 million. kr. Then you put in a bid of 550 million, and before it's been two days, there's been two trades. It was not that we had said that this possibility did not exist. That was probably also the case, as far as I remember, in both of these two cases, that no one had plans to be long-term investors in the quoted papers. As far as I remember, it was both. The fact that the one person, who was awarded the award because he had the highest price, chose to dispose of the shares very quickly may indicate that there was a significant risk of sitting on these shares. I just want to remind you that the heaviest shareholding in the stock exchanges was in fish farming, a company that had a stock exchange fluctuation of over 100 pst. in the course of 30 days, two months before this sale took place, and then the value had increased by over 100 pst. So for both companies, of course, that possibility was present. We could not deny anyone, neither Four Seasons, Wiik and Forest, nor Lund to do the same. We didn't in any way have any interest in or opportunity to do that. Our interest was to get as much as possible at the end. That sum was to be in the state treasury, so it was finally approx. 550 million, plus that we get a resettlement for the shares in Norway Seafoods after the legal settlement that's going on right now.
