ParlaMint-NO_2004-04-22.ana.ud941e41	The called alternate of the Hedmark County, Helge Bjørnsen, has taken the seat.
ParlaMint-NO_2004-04-22.ana.ud941e252	I believe that the treatment of St.meld. No 40 for 2002-2003, which we have today, is full of paradoxes. I'm going to illustrate that statement by getting into what I think is one of the paradoxes that we're having today. In the message and setting, the concept of ‘user involvement’ is widely discussed. I'll quote from the message, where there's a separate chapter on user involvement. It says, among other things.\t\t You can change the ‘Users have, on the basis of democratic principles, a right to good information and to be heard in matters relating to them.’ It's a little bit further down in the same chapter: ‘As one of several strategies to improve the situation of people with disabilities, the government will strengthen user involvement.’ What, then, is the practical, political everydayness of this kind of formulation meeting here in the Chamber today? Let me use an example, which several people in particular have been dealing with, but which is a good illustration example. In the hearings in the committee, one after the other organisation that was a member of the FFO and spent a lot of its hearing on the following very concrete messages: Let's keep the current system of subsidies to the umbrella organisation FFO. All small and large, have one, crystal clear message at that point. One would then think that to strengthen user involvement, because user involvement is a democratic principle in which users should be consulted on matters relating to them, yes, it would be easy for the majority of the Stortinge to say that well, there can be no doubt that grants to organisations of disabled persons, grants to organisations that are members of the FFO, concern the disabled. There can be no doubt about it. If you want to strengthen user involvement, it would be easy to listen to them and say it's okay – of course, if you want it like that, it should be like that. Strengthening user involvement is a practical consequence. But what happens when the fine wording meets the political everyday life? Well, what happens then is that the government, in the same message where they say that they should strengthen user involvement, proposes to liquidate the entire grant to the FFO as an umbrella organisation. The majority in this room says that well, so far we're not going, but at least we're going to clearly change the principle of distribution and significantly reduce the grant to the umbrella organisation. When the fine formulations of user participation meet the majority in this room, users meet what they have met for far too many years: a political majority saying that we know better than you, we know better than you do how to distribute the subsidy to the FFO and the FFO organisations. I believe this illustrates by one example that the setting and message in very many areas is marked by a clear lack of coherence between fine words and practical action. That is why, in my opinion, this is not exactly a day of pleasure for the disabled in Norway. My main conclusion is that it's a long way to go.
ParlaMint-NO_2004-04-22.ana.ud941e275	Every day decisions are taken on the design of buildings, the outdoor environment, products and services which have a significant impact on whether disabled persons experience opportunities for participation and equality. St.meld. No 40 for 2002–03 includes objectives, strategies and measures to ensure greater participation and equality for all. On the basis of the notification, a thorough investigation is carried out. NOU 2001:22, From user to citizen, explains the situation of disabled persons. Developments are in the right direction in many areas: Extensive welfare schemes have been established. Measures and services have improved. Dwellings in the community have replaced previously centralised institutional services. There has been a gradual and extensive improvement in individual training rights. At the same time, there is a distance between the ambition of full participation and equality, and the reality of many meetings. There are no simple measures that alone solve the challenges. Long-term and systematic work is required, where actors in different sectors and at different levels of government take responsibility. The Communication represents a new view of policy. The government has wanted to focus on the societal obstacles. Disability arises in the gap between individual assumptions and social requirements. In other words, disability is not just a characteristic of the individual. The government is following the strategies recommended by the Manneråk Committee. The central position is: strengthening sectoral responsibility; increasing user involvement; improving knowledge of the situation; and societal development; applying universal design principles; I am pleased that the Storting joins both the main strategies and the measures proposed by the Government. The principle of sectoral responsibility is a necessary and fundamental strategy to achieve our main objectives. The usual social services shall provide and finance offers to disabled persons in line with the rest of the population. This must be expressed at all levels of government. The notification is therefore followed up in various sectoral messages, such as the housing notification, the cultural notification and the national transport plan. The government is committed to strengthening user involvement in state enterprises and at municipal level. I notice that the Stortinget wants to go further than the Government in regulating how the user assistance is to be done in the municipalities. This is the government coming back to. There has been too little focus on the results of actions undertaken to improve the situation. Are we on the right track, or are we going in the wrong direction? Knowledge is lacking. This is also pointed out by the Manneråk Committee. In 2004, the government will set up a national documentation centre to monitor developments and report on the status of the targets we have set. In the Communication, we are alerting a major research effort related to the situation of people with disabilities. The government has followed the recommendations of the Manneråk Committee on its own law against discrimination against persons with disabilities in the form of a separate legislative selection. The committee has been entrusted with the task of drafting proposals for a new law and/or proposing amendments to existing legislation. The selection shall also assess the need for specific bodies in order to ensure effective regulatory follow-up. The objectives of the Government’s policy on disabled persons are based on the three main challenges: increasing employment of disabled people removing societal barriers – increasing accessibility ensuring more individualised and coordinated services The government wants to facilitate a working life characterised by diversity, where each individual has his or her abilities in use. It is important for individuals, but also for society as a whole. Reduced employment of disabled persons is worrying. A coordinated and reinforced effort is required to increase the number of people employed. In St.meld. No Several instruments are presented for 40 purposes. Central is the Intention Agreement for a more inclusive working life. The revised agreement agrees to strengthen the work of employing more disabled workers. The impact report we are examining now contains 120 concrete actions that will together improve the living conditions of people with disabilities. In the 2004 government budget, the Government followed up with a proposal for appropriations for a number of actions in the three areas of education and employment, accessibility and services. In the field of employment and education, it was proposed that the employer’s abstinence in G for facilities at the workplace, funds for the organisation of the university and higher education sectors and for work clubs be abolished. Measures were proposed to increase accessibility, such as increasing knowledge of universal design and the introduction of DAISY audiobooks. Interpreting services and day-to-day manning services at the assistance centres have been strengthened. That's $30 million. SEK for a four-year bet directed by IT for disabled persons. The service offer has been strengthened. The government has presented a strategy plan to improve the provision of rehabilitation services to children. There is a commitment to empowerment measures for case handlers working with families with disabled children. Public activities must lead by example. The Government shall submit a plan of measures for the recruitment of disabled persons to the public sector. In St.meld. No 45 for 2002–03 Improve the quality of municipal care services, several measures are proposed to improve the quality of services. Increased competence of those working in the sector, the cooperation agreement with the CS and the development of quality indicators are central here. In St.meld. No 40 have concentrated on measures to improve the services of disabled young people. An important measure is the new funding mechanism for resource-intensive users. In the 2004 state budget, this was reinforced by 550 million. NOK 1,2 billion. Municipalities are reimbursed a large proportion of the expenditure and are well founded on the provision of comprehensive, high-quality services. Lack of coordination and coordination of different services is a problem. Individual level is an important tool and has been extended to cover several services. The government is working on coordination of welfare services. This is a central effort to ensure a more user-friendly welfare service. Ignorance and ‘old sins’ over the years have resulted in many societal barriers for disabled people. Substantial resources are already being used to increase the availability of existing school buildings, universities and higher education institutions. We will continue to do that, but the main focus must also be to ensure that future investments promote accessibility for all. We have to do the right thing the first time, so we don't have to repair it afterwards. Remedying all old sins within tight timeframes, as proposed by the Manneråk Committee, will cost billions of dollars. The Government has not found room within a responsible budget. A responsible financial policy is precisely necessary to ensure and ensure the long-term well-being. The Committee's proposal to increase accessibility through an action plan expresses ambitions The Government shares. If the list is to be significantly higher than proposed by the Government, the Storting must also find cover within the budget framework. The government has presented objectives and strategies in the policy for people with disabilities through the Storing Communication. This shall be followed up by the Government. This is an area where the challenge is not always a matter of resources, but also a question of attitudes and values of each of us. By shifting the focus and attention of individuals from their functioning to society’s demands and devices, the Government wants to help change these attitudes.
ParlaMint-NO_2004-04-22.ana.ud941e370	It's going to be line change.
ParlaMint-NO_2004-04-22.ana.ud941e373	At the end of its speech, the Council of State stated that the Storting will today decide that the Government needs to draw up an action plan to increase the accessibility of disabled people with regard to transport, construction, information and other important areas of society, and that the plan must contain clear deadlines for the implementation of different measures, as well as a commitment by the State to the financing of the action plan. My question to the Council of State is about the start-up of this extensive and important work – when does the Council of State see it going? How does the Council of State see that she will involve the Storting in the work? Will the Stortinge have the plan for treatment after it has been completed? And: Will the Council of State now really take on seriously the extensive mission she is given from the Storting today, and put all the cloths into the work on such an action plan?
ParlaMint-NO_2004-04-22.ana.ud941e380	I will, of course, follow up majority decisions in Stortinget. What I note, however, is that there is no disagreement about visions, there is no disagreement about areas of engagement, there is no disagreement about the objectives set by the Government, which is a follow-up to the position of the Manneråk Committee. When it comes to developing an obligatory action plan, I record that the majority wants more of what the Government is already proposing, and that there should be clear deadlines for follow-up. It also mentions the areas in which the action plan is specifically intended to be followed up – and I will follow it up as quickly as possible. It is an extensive work, and it is a fairly large cost picture in this case, but I assume that the Storting and this majority are prepared to contribute to the financing of such an action plan.
ParlaMint-NO_2004-04-22.ana.ud941e387	Today, we have heard reasonable criticism from the representative Gunn Olsen of the Workers' Party about the government's lack of commitment and financial framework in terms of disabled people and the reduction of disabled people's barriers. This year's budget was adopted after conciliation with the Workers' Party, and in this respect I have the following questions to the Council of State: How many million kroner for this work were demanded and negotiated by the Workers' Party in connection with the conciliation when it came to work for disabled people, and what kind of action did it possibly take there? This must be a high priority in this Chamber, especially when you have heard Mr Olsen's statement by Mr Gunn. I hope the Council of State can answer that question.
ParlaMint-NO_2004-04-22.ana.ud941e394	The government has been concerned that we should have measures and budgetary resources to help disabled people have access to both what is in the areas of society and the ability to get into work. The government has been committed to following up the budget for both the removal of 1/2G in relation to facilities at the workplace and, in addition, the provision of organisational assistance. As far as I remember, as a direct answer to the question asked by the representative, the disabled mentioned and given priority in the draft budget of the Workers' Party are not explicit.
ParlaMint-NO_2004-04-22.ana.ud941e401	In this message, the government suggests that municipalities be free to choose how the legal representation of users is organised. This is actively supported by an overall committee. At the same time, the majority, the government parties and the Progress Party, promote a proposal calling on the Government to organise statutory municipal councils in which the user representation is to be organised. This confuses me a little bit about what the majority really means. At the same time as a proposal to legislate municipal councils, the majority agrees with the Government that there should be municipal freedom in terms of organisation. It could be interesting to hear how the Council of State sees this. Will the Government, following this majority proposal that will be adopted today, propose to legislate in all Norwegian municipalities, or will there still be some municipal freedom in the organisation of user participation?
ParlaMint-NO_2004-04-22.ana.ud941e408	The representative Molvik addresses an important question. As I said in my main post, the government is committed to strengthening precisely what is going on in user involvement in state enterprises and at municipal level. We have initially thought that the organisation of this should be determined locally, but I notice that the Stortinget wants to go further than the Government in regulating how the user participation is to be done in the municipalities. That's what I'm going to come back to. You can look at different options, you can focus on intermunicipal cooperation, you can look at your own sample, and you can do this together with other samples that the municipalities already have. It may also be said that a municipality of a certain size should have this, and that others can look at inter-municipal solutions. But here are several alternatives, and I intend to come back to Stortinget with this matter. What's important to me, and I also believe to all disabled people, is that the law takes place, that they're involved, because there's valuable competence here.
ParlaMint-NO_2004-04-22.ana.ud941e420	I want something back to the lack of work for the disabled and the disabled. What will the Government do specifically to improve the situation for these? The state is a large employer, not only in Akersgata, but also in the whole country. Is it possible for the State to have a target and a numerical fixation of how many countries as large employers can employ disabled people so that they can move from social security to pay? It must be meaningful, not least in terms of the policy pursued by the Government. So a small question: Norway is criticised by the UN Children’s Committee for the lack of policies and responses to children with disabilities. The Labour Party, SV and the Centre have proposed that we should develop concrete actions, get targeted policies and allocate sufficient resources to remedy this and improve the situation. The Government Parties and the Advance Party have chosen not to participate. What will the Council of State and the Government do to improve the conditions for children with disabilities and to be more in line with what the United Nations Children's Committee says?
ParlaMint-NO_2004-04-22.ana.ud941e429	The Representative for Lutvold addresses an important issue, namely the employment of several disabled people. As I also said in my main post, the Government and the State are busy taking a good example in their own business and are now working on a plan in this area. Among other things, there will be: the proportion of Lukewarm taking up will be some of the things that will be assessed. It has been important for the Government and the State to set a good example in terms of inclusive working life, and to ensure that interim Objective 2 of the so-called IA Agreement is followed up, especially in relation to the disabled and for which the State itself is responsible. In the case of disabled children and, in particular, their organisation, there is extensive ongoing work. It's especially for the Ministry of Health. It is important for example: to strengthen the competence of those who are to provide guidance to parents with children with disabilities, to strengthen the provision of rehabilitation facilities for children and to have a plan and review in this area.
ParlaMint-NO_2004-04-22.ana.ud941e437	Right now the state is building a monumental building in Bjørvika, Oslo – a new Norwegian opera. Some time ago, I had a meeting with the Norwegian Handicap Association, where both the manager and the secretary-general made it clear that, in their view, it was such that large parts of the new opera building were not available, for example. for wheelchair users. If that's true, I'd say it's a disaster. If in 2004 we are planning and building a new, large monumental building in Norway without it being available to wheelchair users, I do not think it is too strong to use the word disaster! Will the Council of State ensure that the Opera is planned – and built – so that it is fully accessible to, among others. wheelchair users?
ParlaMint-NO_2004-04-22.ana.ud941e446	The opera building has been mentioned. I want to be a little general about this, because the important thing about the strategy of the big message we have presented is that sectoral responsibility is at the heart of it. In other words, it is the Ministry of Culture that follows in the field of culture, that it is the Ministry of Transport that follows in the field of transport, etc., and also that users are to a far greater extent involved, that the various measures to be implemented have a proper user involvement and that all of them apply the principle of sectoral responsibility to universal design. In any case, I intend to make sure that the Minister of Culture, who is responsible for that area, is following up his sectoral responsibility and that, in this way, is also well aware of what is going on in universal design. I record that not only the opera building, but also other large buildings that are either restored or built have an improvement potential. The principle of sectoral responsibility and, in particular, the universal nature of the issue must be taken into account.
ParlaMint-NO_2004-04-22.ana.ud941e453	The cord shift is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2004-04-22.ana.ud941e458	Initially, I would like to stress that disability is largely a result of the barriers that exist in society. Knowledge of the organisation of disabled persons is also essential for those with hidden disabilities. Increasing awareness, broad mobilization and systematic work at all levels of society and administration are crucial to removing the gap between societal demands and individual assumptions. It's about real equality. The Christian People's Party believes that positive angles are crucial. We need to focus on the fact that disabled people are an important resource for society. The low level of participation of people with disabilities in the labour market is a poor social economy. We must therefore actively work for work practices, training and creating lasting and varied jobs for people with disabilities. In recent years, there has been increased attention to the lack of literacy skills, especially in schooling, and many measures have been put in place to improve the situation. However, there is a small part of this group that because of its severe dyslexia cannot acquire the writing language and thus strives throughout their lives. For the Christian People's Party, it has been important to bring this group forward in order to remember that they actually have the same challenges as blind or severely impaired people in some situations. I'm glad that a collective committee is behind this. A conscious attitude and vigilance from an early stage to discover and help this group is essential to enable them to function fully, e.g. with the PC with voice command and synthetic speech. It may be necessary for them to be able to write, obtain the necessary information and work in the workplace. ‘Reading the application book’ is a good measure for reading disability, which I hope can be a lasting offer. The project is important for the large group that needs well-organised books. Audiobooks are also important to meet the different needs of people with reading disabilities. The Christian People's Party has focused on parents and families with disabled children. Information, guidance and coordination are important keywords. It is important to provide services that are coherent, coordinated and tailored to the needs of the family, giving the family an opportunity to care for the child. Families with disabled children need to get the help they need, when they need it, and get a better opportunity to live as families with children most, to have a surplus of play and association with the children, but also to social life. We who have followed disabled children and their families over the years know that too many people can be very grateful. The Christian People's Party believes it is essential that we do what is possible, in order to prevent wear on both parents and siblings.
ParlaMint-NO_2004-04-22.ana.ud941e475	Most things have probably been said in the debate, but after the speeches from Bjarne Håkon Hanssen and Sigbjørn Molvik, I feel a certain need to clarify something that obviously cannot have been achieved, and that is what goes on with the subsidy to the umbrella organisations and the FFO membership organisations. It's actually so that after the deal that's been at this point, the FFO gets to keep $5 million. kr as a basic grant. The remaining sum is allocated to the FFO's own membership organisations. The organisations associated with the FFO system and the organisation FFO must not reduce their total resources. It would be obtained if the original proposal of the Government had been adopted: that this would be distributed to all. That's not the case in this situation. It's okay to be clear that the FFO organisations are the ones receiving the sum that is now leaving the umbrella organisation.
ParlaMint-NO_2004-04-22.ana.ud941e482	The Progress Party is now trying to provide a numerical explanation of this with the allocation of funds to the organisations of the disabled. They would have to do that, but at least it is not that user involvement and user organisations' views on this matter have been taken properly as a result of the Progress Party and the government parties, in our opinion. It's also good to attach some other notes to this. I am pleased that there will be a majority in favour of the co-workers' work being explicitly funded from the organisational grant. It is important that this work can get the conditions it has had and that it can develop further. Unfortunately, the same is not the case with the 5 million. which could have been used for measures for disabled persons directed by other non-governmental organisations. We regret that this is being removed, because I think it is important that other non-governmental organisations can also facilitate measures and work for the disabled, and that this will enable one to have a broader interface and social development. So a little bit to this with the study funding. It is, in line with, among other things, The representative, Mr Molvik, said, that it is important to have a study funding for disabled people who do not impose additional financial burdens on disabled people due to long study periods and difficulties in implementing according to established criteria, as is currently the case. Therefore, the Workers' Party, the Advance Party, SV and the Centre have made a proposal requesting that a study funding for such students be guaranteed, so that one does not incur these additional costs related to disability. So finally a little bit about this with research, development and legislation to promote better accessibility. I am pleased that the majority of the Committee now instructs the Government to draw up an action plan to increase the accessibility of people with disabilities to transport, construction, information and other important areas of society. I also hope that a new technology can be introduced through laws and regulations, and that a designer and facilitator can facilitate the use of such technologies, for example. lifts, mini-banks, payment and ticket terminals are made available to both blind, partially sighted and hearing-impaired, possibly deaf. This is also important in relation to information provided orally at railway stations and elsewhere. So to this with research and development. I am glad that the project with the eyephone has come as far as it has, and I hope that it can be continued. Although there is a minority in the Committee that points this out, there is at least an overall committee that says that the developments we have in the mobile phone/video area are important, that this is better used as a tool for the visually impaired and hearing impaired, and that this system can be linked to the teletext centres around the country. It may be a good base for the use and dissemination of such technological innovations.
ParlaMint-NO_2004-04-22.ana.ud941e495	It was this explanation from the representative Harald T. Nesvik who made me take the floor. I believe that this explanation just illustrates my point: the representative Nesvik is now trying to explain why the Progress Party believes that it knows better than the users how to distribute the money. That's what the Progress Party would like to think. But when the point is that you want to strengthen user involvement, and then you follow it up with a practical act where you say no, a large proportion of the economy should not be directly allocated to the umbrella organisations, and no, where the FFO's membership organisations are wrong, the best thing is that a smaller proportion of the total economy is allocated through an umbrella grant, and the best thing is that each of the FFO's organisations will receive this money, the representative Nesvik cannot get away from the fact that a holding is based on a holding that we know better than the users. We know better how the FBI really should have had it than the users. That's why it's also the case that if it wasn't for that position of the Progress Party, we would have a different majority in this Chamber today. Then we had a majority who had respected user involvement in this area 100 pst. That's the responsibility of the Progress Party.
ParlaMint-NO_2004-04-22.ana.ud941e507	Several have not asked for the floor on case No. 1st@item: inlistbox [[See page 2507]]
ParlaMint-NO_2004-04-22.ana.ud941e524	No one has asked for the floor. [[Fotation, see page 2508]]
ParlaMint-NO_2004-04-22.ana.ud941e544	When the Stortinget in spring 2001 dealt with St.meld. No 22 for 2000-2001, Police reform 2000 – A safer society, there was broad support in the Stortingen for the reform. The aim of the reform was and is still to have a more effective fight against crime and a more visible, service-oriented and public-oriented police force. The majority thought that this should be done, it was necessary to have more districts and to allocate more responsibility to the police department in each district. Delegation of greater responsibility to each police officer was important in order to ensure more flexible organisation of the police. The district structure should be adapted to local conditions. But it may seem that the reform has become much more streamlined than what was intended. All the districts have chosen a solution with a central arrest warrant and an operating centre. In a number of districts, we are told that this works well. But from the same number of places we get the opposite signal. Predominantly large cities, such as Sandnes and Fredrikstad, without a police officer after 8 p.m. 16:00 in the afternoon. Questions can be asked whether this is a good solution and whether the reform should have been more adapted to local conditions. One of the main objectives of the reform was to get police officers ‘to the streets’. Police officers were to work less on administrative tasks. The number of annual releases following the reform of operational and public works was estimated at 400–450. Over the past year, we have received many alarming reports that the reform is not working as it was supposed to. Many local surveys tell of a reform that does not work and where there have been no more policemen in active service. Last year, the NRK conducted a survey of the country's survey officers, where 319 LEN's were asked whether the police reform had increased preparedness. Only 84 federal offices replied, and about half of them again believed that the level of preparedness was unchanged, while a quarter claimed that the level of preparedness had fallen. This study is too thin to draw any conclusions. But what is still serious is that among the public in different parts of the country, there is a reaction to the fact that it is more difficult to call on police now than it has been in the past. In rural areas, it is claimed that the rule of law is largely absent from normal working hours, and there must be a serious risk of life in the event of a call-out of blue light. Many people feel that the threshold for police intervention has increased after the reform. In several police districts, job vacancies are available because of a lack of economy, and in some districts, it is estimated to sell material to finance jobs. The elected representatives of the police are also strongly critical of the reform, perhaps not surprising. In an interview at Sunnmørsposten on 23 March 2004, the Head of the Joint Police Association at Sunnmøre, Terje Dyb, said that the police have had a lot of new tasks and that jobs are unoccupied due to poor finances. These are issues that we know well about. But in the same interview, Dyb says the following: ‘And in addition, we have not been good enough to use resources efficiently, and not good enough to follow up the reform’s intentions.’ He also claims that instead of sensible solutions, there has been a lot of power struggle and too much policy within the picture. These opinions make me ask questions about whether the reform is struggling with internal drag struggles and poor management. With regard to the economic situation of the police, it is obvious that the police are experiencing a more difficult situation now than before. In recent years, the police have been privileged and prioritised in the budgets. Unlike most other public agencies, they have released the savings knife and have been allocated considerable new resources. Last year and for the current year the situation is different. As with other departments in transition, the police must also accept a critical searchlight on the use of their resources. This does not mean that we cannot conclude with the need for more money for the police once the reform has been implemented. But with the government's eagerness for increased tax relief, the police can easily become a victim of tax relief. Phase II of police reform is due to expire in 2004. It is only after this that the full effect of the reform can be measured. The 2004 budget proposal shows that the direct gain of the reform has been 414 posts. This is reduced due to the introduction of a fifth holiday week, which corresponds to 200 years of work, and therefore takes about 200 years. half of the gain. The reform will be evaluated in 2005. However, on the basis of the constant alarming messages we are receiving, it is necessary that we are already getting a review of the reform and experience so far. It is on this basis that I address this interpellation, precisely to give the Minister of Justice the opportunity to carry out an interim evaluation of the reform and to brief the Government. In the course of the reform, the majority said clearly and unequivocally that we should continue to have a decentralised structure for the police. It was emphasised that the police should be located in at least as many places as today. The civil servants' and civil servants' organisations were to be decentralised, and the personnel were to serve where the public needs and demands the presence of the police. A decentralised police force of high local knowledge was seen as the best guarantee of good service and effective crime prevention. We are now receiving signals that in phase II of the reform, there is a centralisation of the canonical seat in many districts. The merger of lenght offices and the removal of lenght officials have been proposed. in Nordland. The working party wants to keep today's places of service. We want there to be a borrower today, it must also be a borrower in the future. In the budgetary agreement with the government parties last autumn, we had a positive impact on this. The Minister of Justice is therefore obliged to ensure that this is followed up. The Workers' Party believes it is important to maintain a position and a member of staff, because this is of great importance to people's security in the community. In addition, the mariner is an important person in many communities. He lives in the vicinity, he travels among people he has to serve, and he gets their immediate feedback. In addition, he has a completely different connection to his district than a policeman can have. On the other hand, by having a local loner, it makes the responsibility visible. The Labour Party therefore believes that there are a number of good purely police professional arguments for maintaining the workers. We believe that this can happen without significantly hampering the coordination of police administrative resources. Let it also be clear: the Labour Party believes it is absolutely essential to have a good police force, a police force that succeeds in combating crime, and which is a service body to the public, that we follow up and implement the reform. We believe that the ambitions of the reform are achievable. But it demands that the reform be adapted to local conditions and that it be actively managed by police forces. The Labour Party believes that in the final phase of the reform, it is essential that police officers use the reform’s instruments to free police from administrative and police work in order to have a more visible and more civilized police force. It is therefore important for the Minister of Justice to act as an active Minister of Justice in order to meet the objectives of the reform.
ParlaMint-NO_2004-04-22.ana.ud941e600	The intention of the police reform was to release police resources for police operations, but it was also to analyse the police, to raise the level of competence in the police, and to ensure that the police in general met a modern crime scene with organised crime, financial crime and the crime they committed, among other things. increased pressure, occurring in the close relationships in the private sphere. The matter was advanced by the government of Stoltenberg in its time, and it has been largely my task to follow it up and implement it. The words of Mr Gjul's question to me may give the impression that the reform is not being followed up. This isn't right. The police reform is closely followed up by both the Ministry of Justice and the Police Directorate. But let me make a point here, because at the end of the article, it might seem like you don't see the role distribution now. We have a division of roles with a police directorate, which was actually carried out to provide agency management. There was disagreement about that in the Workers' Party, historically. But fortunately, the Labour Party joined it, and the fact that we got a police directorate was a pillar for us to promote a reform. The Directorate of Police means that a departmental management is in place, and that means that under that departmental management, police officers in districts were changed as a result of the proposal in the summer of 2000, who are responsible for managing it all. And then, of course, a Minister of Justice is constitutionally responsible. But I'm neither a police director nor a police officer. I do not intend to enter into that role, and I assume that the Stortinge assumption when implementing the Police Directorate and the reform was not that I should enter into that role either. In the case of the reform, no adjustments are made pending an evaluation. In most police districts, a number of adjustments and changes have been made since the reform phase I, precisely because not all procedures and arrangements were immediately in place. For example, they did. Very important experiences with the operating centres, they've taken it with them and they've learned from it. I, too, as the State Council, have recorded that there have been local questions about various aspects of police reform and the work the police are doing. To me, it's important to listen to these signals, and to my knowledge, I know that the police do too. A good example of this is an excellent post, which is very readable, in Fredrikstad Blad today, by the police officer in Eastfold, Otto Stärk. The aim of the reform is to strengthen public accessibility and operational police work. Among other things, coordination of administrative and cooperative tasks more effectively frees up time for police-trained personnel for more active and outbound service. The police reform is very close to completion, as the representative also addressed in his statement. There is still a lot of demanding organisational and efficiency work to be done. Phase II of the reform reviews the structure of the holding with a view to creating an effective organisation in accordance with the main objectives of the reform. The Directorate of Police states that the proposals for any changes are now available and will be forwarded to the Ministry with the first. Phase II work has taken a little more time than planned. This is primarily due to a thorough process by the police departments, including: the municipalities have been involved. And it has of course been right that the municipalities should be involved in this work. In this process, there are clear indications that the police service should be added to places and at times where the need for such services is greatest, and that structural changes should not be made that undermine police proximity and accessibility, as the representative Gjul also addressed in his interpellation, and that have a good coverage in the position of the judicial committee. Furthermore, both the government and the magistrate, as I have now stressed, have also established the principle of close-up police in the budgetary procedure by maintaining and managing the offices of a member of the public. This, of course, will be followed up. It is true that the police have been strengthened in recent years. The police budget – chapters 440 and 441 – had nominal growth of 28.8 p.m. from 1999 to the adopted budget for 2004. In the same period, the index of consumer prices showed an increase of 10.2 pst. The police have also received additional appropriations on several occasions. This may include, inter alia: Please mention that an additional budget of 92 million was granted. DKK for the conversion costs of police reform in the revised national budget for 2002. It is related to the fact that the State budget of the government of Stoltenberg for 2002 did not include any single means of reform other than increased ICT costs. It is also true that in recent years a significant number of posts have been allocated to the police and the county council. Both the Ministry of Justice and the Police Directorate have allocated these human resources in order to achieve an effective fight against crime and to meet the needs of the public for police and security. All aspects of the police and officers' seat have been strengthened as a result of the increase in the number of posts. Following the introduction of framework management, the police districts and special agencies have been authorised to set up their own posts within allocated budgetary frameworks. In this context, it is very important to recall that the reform was not intended to lead to an increase in operating costs, but to the contrary to freeing labour from administrative positions to operational police work. At the same time, the agency is constantly facing new challenges, especially in the area of organised crime. Then perhaps most people will think about what has now happened in Stavanger. But we don't have to go back so far to see the form of organized crime that was in speculating in making thieves who were so low in criminal reaction that you could get away with it, that's a crime that involved petty theft at the Nazi crisis, where, among other things, you could get away with it. spoke in various stores that sold perfumes, that sold textiles, etc. In fact, this led to the need for the national lawyer to go in and help coordinate the investigation. This whole picture of crime is also a challenge for the police. The fight against this type of crime, i.e. it organized in various forms, from the milder to the very rough and very serious, is both resource-intensive and complex and requires a competent and resilient police force. However, it is also a challenge for the police to strike a balance between the priorities of combating organised crime and, for example: more traditional everyday delinquency. As I could say in the spontaneous questioning yesterday: if you use Stavanger as an example, in that city you have got the heaviest and most serious of what we have seen in Norway of organized crime, while in Stavanger and in Northern Ireland you have a police force that works very closely against local authorities and conflict councils, just to make the effort that I know the members of the Justice Committee have been concerned about, namely preventing children and young people in such a way that they should not lose their foothold. Here we have a picture in the same place of the police that we have and want to continue, and of the challenges the police face, of which we have gradually seen more and more, and which have been given its most acute form in what has happened since 5 April. Police reform has changed the police district structure, and we have got new districts and district borders. It has therefore been necessary to look at the allocation of resources in the light of this. The conclusion of this work, as well as what could be a right and wise manning, will be included in the notice announced to the police in 2005. Let me illustrate a feature of the reform. Since I mentioned the police officer Otto Strong in Fredrikstad Blade today, let's take Eastfold as an example. Some would say that in some places where there was a police station, the door was closed in the afternoon. But what happens – with the police officer’s language and also with my language – is that the reform allows the door to be locked and driven out on patrol. It gives more rolling patrols than before, and it also gives greater impact. Since that police district has attracted attention – I notice it – I can mention that, for example. was a pretty powerful episode at the Hyler last weekend. Then you could gather twelve policemen and three dogs to just intervene against such a serious event. So you were able to establish strength, because when more people are out there driving, when more people are out rolling, you can also focus on them. So it's doing a good job. 65 is in custody, 38 of them are linked to border crime. This is a police district that has also had the heavy methanol case with 250 visions, that is, the case that we are all familiar with, which is a good illustration of how the crime scene that has been there is there, but also of how it develops with new challenges. At the same time, after the information I received, the district has made a significant effort to look at the burglaries of recreational boats and engines, and it is believed to have led to values for approx. Thirty million. back to the citizens. This tells of a police force that meets both what they are used to, which the public are used to, and new challenges in an exciting way, because, in order to take the case of Eastfold, they are no longer just going to look at border crime related to Halden, but they are going to see that border crime can affect a whole group and that they can see the resources in a group in context. It is, in my opinion, exciting and excellently illustrated in a debate in Fredrikstad Blade today, where the public, including the media, are invited to a substantive exchange of views on what is happening. If we look at the police, we know that the police are building up competence in the field of financial crime – we know that it affects many of the small ones in society – and there are building up competences on family violence. Police reform thus builds competence against new forms of crime, and it ensures that the police can be rolling and powerful where it is important. However, the reform has not been completed and Phase II is very important for the evaluation. I will, of course, take with me the signals it gives. I've also given a clear statement here in the past, among other things. in a reply to the representative Storberget – I think it was – that I want to make sure that audience surveys are done in all 27 police districts.
