ParlaMint-NO_2019-12-04.ana.ud111e37	The representative, Lars Haltbrecken, will present a proposal for a representative.
ParlaMint-NO_2019-12-04.ana.ud111e191	The debate on the risk of deforestation of the rainforest is important and it is important to have looked at this. This is a major international challenge, and we are waiting for the EU to come up with its regulation in 2021. So in 2017, there was 300 million litres of fuel with deforestation risk – a lot of it was palm oil. Last year it was reduced to less than 100 million litres. Now it's estimated that we've fallen below 50 million liters. So we phase this out, as we increase the production of Norwegian and Nordic biofuels, which are advanced, and which are not based on deforestation risk. This phase-out is taking place, but we also need to bring the other countries on board, and EU policy in 2021 is very important. If not just shift Norway a problem to the rest of the world.
ParlaMint-NO_2019-12-04.ana.ud111e198	I thank you for your answer. Not only will the Left vote against SV's proposal that would prevent us from getting palm oil in the fuel next year, the Left also goes into the budget to cancel one of the decisions that left itself was invoking in 2017, and that in public tenders it should not be allowed to buy palm oil. But my question to the representative is: can the representative guarantee that we will reduce the use of palm oil even more in 2020 with what is now the government's proposal and which, according to the Rain Forest Fund, increases the risk of more palm oil next year?
ParlaMint-NO_2019-12-04.ana.ud111e205	I think that guarantees are none of us given to print. What we're seeing is a development in which we've got amazingly many million litres – hundreds of millions of litres – of biofuels into the market after the Left negotiated the sales requirements in 2017. We did it in the budget in 2016. 4–8–12 – now we're at 20 pst. It's the most important tool. The user charge is also part of this. Getting it on all biofuels is an instrument for better control of turnover, and we see that when palm oil is now disappearing from the Norwegian market, this is no longer a challenge. Our challenge is to keep getting more biofuels on the tank, especially the advanced biofuels, and now we see that it's actually possible. We're passing 20 pst. already in 2019, and then it is natural to raise the list to 25 pst. and continue that escalation. So this is a long-term and predictable policy that is important to the actors.
ParlaMint-NO_2019-12-04.ana.ud111e210	Norway has great ambitions for the electric car park, but at the same time we see electric car sales starting to surface. Perhaps part of the market has opportunities for private electric car installations, or those that have them as second or third cars, starting to be saturated. In the evening post yesterday we saw that the charge price varies enormously in the country – cheapest in Oslo and relatively expensive in the north. The question is, when we have such ambitions, is it enough to leave to the market and Enova to ensure an infrastructure for charging, so that the electric car becomes the all-man car for people most and not just for those who have it as a second or third car?
ParlaMint-NO_2019-12-04.ana.ud111e216	This is a trick that we're going through, especially until 2025. Then we're not going to sell fossil cars anymore, so we have to stand by the conversion that's going on. It's not just up to Enova to do it. We also have climate rate as an instrument. Some of the municipalities in the districts are very good at using the climate rate, others are waiting and looking at, so this is going to be a big challenge. We're also going to expand the mains into the thousands of homes. Norway and Albania are the only ones in Europe with one phase of 230 volts. Everyone has to pass on the finnase and 400 volts, and that will allow more people to charge faster at home. It is an important infrastructure development. We also need to look at tools in Enova for the next few years – how we can speed up the deployment of faster chargers, but we also need to build filling stations for other types of fuel. In particular, heavy transport must enter a large shift.
ParlaMint-NO_2019-12-04.ana.ud111e221	The cord shift is over.
ParlaMint-NO_2019-12-04.ana.ud111e226	At the opening of the UN Climate Change Conference COP 25 in Madrid, the Secretary-General of the United Nations concluded that humans are waging a war against nature and that that war must end. He's right about that. Over the past year, we have seen a dramatic upturn in the commitment to strong climate action. We've had climate-stripping kids. We have seen that this topic has gone from being an important topic to being the most important topic for very many people both here in Norway and abroad. We have also seen, very pleased, that a number of actors in business and society have taken on board. Investors, banks and insurance companies are now talking a lot more about the need for a much faster transition to a more climate-friendly society with lower emissions, is more circular. All these people, from business leaders to LO employees, LO-organized and climate-stripping young people, expect more from us, and they expect more from us all. Policy must be involved in a very central and important social development. The Labour Party has presented an overall approach to this in its alternative budget, combining climate responsibility with efforts to create new jobs, new value creation, justice in transition and good distribution policies – because we do not save the world's climate just by talking about climate. In order to achieve a climate policy and a transition that works, we also need to give a good response to what people will live on in the future, how we can finance the welfare state, and how we can maintain a good distribution. Actually, there is no time more than now calling for us to use the entire Norwegian model, the ability to work together, to lift in a flock, to move on. This year we have again presented a emissions budget to show how our policy proposals will also affect the overall emissions budget. I have to remind you, as I've done on previous occasions, that we get new state budgets every year, and what you can't get through for a year, you can try again next year. But the emission budget is final: when it is exhausted, it is used up – and there are not many years left with the course we are currently taking. We have to take this over. We have also found that Norway does not meet the 2020 targets. That is why, together with the Greens/EFA, we have spoken about something that has come from civil society, from the future in our hands, namely an idea of a disaster commission, or an examination of why we did not achieve these objectives. I would like to stress that the purpose here is not really to take any, the purpose of this is to learn from what we do wrong when, unlike the majority of European countries, we do not reach our 2020 targets. Is there something we can learn from it, so that we increase our chances of achieving the even more ambitious goals we set for 2030, and for carbon neutrality in 2050, so learn what is lacking in consistency between objectives and instruments? We have a number of proposals, and my colleagues will come back to individual elements in this. We have many proposals relating to the conversion of industry through industry agreements and close cooperation on both the reduction of emissions and the previous introduction of new technologies, which are both good climate policy and good industrial policy. We are once again proposing a business CO 2 fund following the model for which both the NHO and the LO have joined forces with the business community on a large-scale shift towards zero-emission transport during the 2020s. We have concrete proposals for a faster introduction of a circular economy, including: That we should have taxes on virgin resources, i.e. the first use of resources that can be reused, so that relatively much more use is made of resources. We have a strong commitment to carbon capture and storage, where we believe that Norway must go ahead. And we are proposing a North Sea plan for the strong expansion of, among other things. sea wind, so that the energy nation of Norway can be as successful in the renewable revolution as we have been through the oil age. Finally, we have some proposals relating to climate adaptation, because although the world achieves the Paris goals, the globe is getting warmer than it is today. There will still be more floods, escapes and forest fires in such a world, and we have to be even more competent, even earlier on when it comes to adapting to the changes that come anyway. I refer to those proposals in the vote where the Labour Party is a co-rapporteur.
ParlaMint-NO_2019-12-04.ana.ud111e248	The representative Espen Barth Eide has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_2019-12-04.ana.ud111e255	I would like to thank you for a good post. Although I may not agree with all the assessments of the Workers' Party, I think it is high time to be able to discuss with each other properly, to bury the dispute between the parties and to work together to achieve both Norway's and the world's climate goals. I have a question about the Workers' Party's alternative budget. It's in the review of Enova that with 2.3 billion. kr to Hywind Tampen and the zero-emission fund for the commercial transport sector, Enova is being drained for important resources in other areas. But the Workers' Party itself is proposing a re-priority within Enova, a real cut to the other Enova does, of over half a billion dollars just to the zero-emission fund for the commercial transport. So what I'm asking is, how does the critic of the Labour Party come with the government, along with their own alternative budget?
ParlaMint-NO_2019-12-04.ana.ud111e262	I thank the representative for the interest in the Alternative Budget of the Workers' Party and I agree that it is important that we work together on an issue that is so big that it goes beyond the individual party in a way. That's a wise approximation. In the case of Enova, it's absolutely right that we move some money from Enova to this business CO2 fund. This is because – perhaps unlike the representative Heggelund’s party – we believe that business can do some things by itself, the state does not have to do all the tasks in society. And if it is that there is now an interest from key players in the business community, backed up by both NHOs, professional organisations and LOs, in order for them to be able to use part of this fund themselves, we will not at the same time have a corresponding budget line in Enova. So we're taking out money from Enova to use it for this business CO2 fund, but we're taking out the corresponding problems, so Enova won't get any less to go with, they'll get a problem less, and not that money. It is a logical and coherent budgetary policy.
ParlaMint-NO_2019-12-04.ana.ud111e275	Government rates significantly at sea. We have great investments in sea wind, carbon capture and storage, aquaculture and, of course, our main industry, petroleum. As mentioned above, a good example of this is the recent commitment of SEK 2,3 billion. kr to Hywind Tampen, made possible by the government's bet on Enova.
ParlaMint-NO_2019-12-04.ana.ud111e280	I am pleased that the Workers' Party seems to support most of the government's efforts, but I read and hear about a so-called North Sea Plan. I can't see what the content of such a plan is. What will the Labour Party actually plan in addition to what we're already doing?
ParlaMint-NO_2019-12-04.ana.ud111e283	Thank you again for the interest in our budget. We have a North Sea Plan that builds on a proposal that we put forward here in the Chamber, about a large-scale investment in the marine wind industry. It is because we see, like the Shipowners' Association, the NHO and a number of other actors out there, that sea winds come too full, not just in Norway, but in the world. We want Norway to take a central part of it. To that, it would be a good idea to build a home market. We propose, for example: constructing a network in the North Sea, which shall be independent of individual operators, preferably built by State grids. We want to invest more in research and development, to make it tax-free to make it pay to invest in this industry. Because we know that oil and gas production is going to fall gradually, we also know that demand for renewables is rising. We think we have a niche in a few years to arrest this and make sure that the Norwegian supplier industry is given new assignments in the order book, and then an active business policy is needed to facilitate it. We have a seven-point plan that we presented last year, which was voted down by the majority, but they are cordially welcome to think about this.
ParlaMint-NO_2019-12-04.ana.ud111e288	Cooperation is important. I record that the representative Barth Eide and the Workers' Party are talking more and more about climate and are briefing on a climate budget along with, among others. Environment Party of the Greens. I also record that the Central Party, which may be the party that has been pointed to as the most current government partner for the Workers' Party in a possible government cooperation, is not part of that climate budget. Then the representative talks about a North Sea plan. The industrial thing is interesting, that's to use the green shift and also the climate cuts to create a new industry. Next year we're going through a management plan, and we're going to say something about future Norwegian ambitions for oil and gas. I did not hear the representative say so much about it, other than that he just said that we know that we should use less oil and gas. That's right! The question is whether the Workers' Party will leave the Barents' Sea north to guide itself around the North Sea in oil and gas exploration.
ParlaMint-NO_2019-12-04.ana.ud111e295	I think even the representative Kjeseth would be surprised if we concluded in the forthcoming debate on the Barents Sea today, because here I think we should have thorough processes where many considerations should be balanced against each other. We have at least started that work, and I record that the government has a running seminar on it. The leaks from it give a lot of drag help to learn about this, but we're going to treat it properly. What we know at least – it is also stated in the government's forecast, which actually describes this well – is that the revenue from the oil and gas sectors is going to fall. I think that's going to be even more true than what the message says, for example. Europe is now oriented towards full decarbonisation and Europe is our foremost home market. At the same time, we know that we are sitting on some huge opportunities within renewables. When we entered the hydropower age – otherwise at a time when the representative of Kjenseth's party was large and powerful and even had the Prime Minister – we managed to arrest it in a very good way. As we entered the oil age and the Workers' Party led Norway, we were able to address it with a very active industrial policy. Why shouldn't we do it now when we're going into the renewable age and have all the possibilities Norway has?
ParlaMint-NO_2019-12-04.ana.ud111e305	In the same way as previous replicators, I can thank you for an informative article and not least for your answers so far. I also have the same thing as others – as I always do – sitting down and reading the Labour Party's alternative well, and there I found a sentence about sea wind saying: ‘In addition, it is necessary to establish a national sectoral agreement between terrestrial and marine businesses, together with authorities, instruments, research environments and other parts of the cluster ensuring the development of industry, competence, jobs and exportable technologies for liquid sea winds.’ Now the representative has repeatedly pointed out that it is the large export industry of oil and gas that must be the mode of operation for this purpose. In the sentence I just read from the working party's alternative budget, it says that it is the technology to be exported. But the current produced by the floating sea wind – does the Labour Party think that there is something that one should also export? In this case, what cables does the Labour Party want to do?
ParlaMint-NO_2019-12-04.ana.ud111e315	I'm very touched by the great interest in our budget, and I think it's very good priorities from all parties to spend evening hours reading it. There should be an example for follow-up. Definitely we're going to export power from sea wind. I imagine this is going to happen in three terms: first, we're going to electrify the socket, and there's already something happening. That's good, that's a reasonable start. But the base won't be there forever, so it's a good idea to think about what to do next, and then I imagine big export to Europe from the North Sea windmills. And you can also imagine that you're taking something into a country. But that's, kind of, on level 3. This is not primarily to gain more power for Norway. So this is both to be part of an industrial venture, where the Norwegian supplier industry gets new legs to stand on, and at the same time contribute to the green shift. So now the European Commission is going to use more than the Norwegian oil fund just to convert into green energy. It's going to be a huge demand for those who have it. We have the world's best wind conditions in the North Sea. We can operate in the North Sea. It's all set. One must only seize the opportunity – and it is called active industrial policy. That is why our budget is excellent.
ParlaMint-NO_2019-12-04.ana.ud111e324	That's the line change.
ParlaMint-NO_2019-12-04.ana.ud111e329	This has been a year in the signs of climate policy. Never before has the climate issue received so much attention, never has it got so much excitement. That is good, because that is how the government parties – and the Workers' Party and the Centre – have confirmed in this Chamber: We are facing a global climate crisis. More debate, more attention, more upliftment – all that is good to be able to agree on, and introduce, good means of emissions reduction. And that's what climate policy is primarily about: cutting emissions, bringing emissions down both nationally and globally, so that we can achieve the 1.5 degree target. At the same time, climate policy must be more than that. Anyone can stop Norway’s emissions – we can adopt it today. The problem, of course, is that it will stop society too, and there are no parties that will. Because it's the way we live, the way we work, the way we create well-being, almost in any case contribute to emissions. So what's needed is structural change, where we uncouple growth from emissions. So someone is asking, can't we just stop the growth? Well, it'll go beyond people's jobs. It will go beyond the welfare level of people, and it will make it more difficult to achieve all the other sustainability goals. No responsible batches may accept it. That's what makes the problem complex. I believe climate policy and debate need to become more accessible, less incomprehensible, easier to understand. And we, who are here, all have a responsibility that more people who want to participate, but we can't or should not underestimate the size of the task – that it will take a lot of us. In Norway, all the low-hanging fruits are taken, but we're going to be able to keep on cutting. It requires a systematic policy for all sectors, a policy in which we regulate where we need to, and reward where we can. Norway shall cut its emissions by at least 45 pst. by 2030, and will work for the EU to increase its overall ambition level from 40 pst. to 55 pst. The budget we are adopting today is contributing to emissions cuts. It is a budget that follows up important measures that we have agreed on, which both contribute to and require conversion. We increase the CO 2 tax, and we grant record money to help businesses and industry convert to more climate-friendly technology. In June, the government provided an action plan for green shipping to cut emissions from shipping by 50 pst. by 2030. In the budget we follow up with the money, and the funds should be, among other things. contribute to the increased use of low- and zero-emission solutions in county high-speed boat connection and near-coastal fleet renewal. We are strengthening the commitment to the conversion of business transport by strengthening the Zero Emissions Fund, and we are also taking seriously the fight against biodiversity loss – because we want to contribute to the good status of ecosystems, prevent loss of species and habitat types, and protect a representative sample of Norwegian nature for future generations. This is why we are strengthening measures for both natural diversity and outdoor life. In addition, we propose to continue the strong work we have started with marine pollution, for example. to strengthen Norway’s international leadership role in this work, and we are increasing the grant scheme for the clean-up of marine waste and for prevention. We're going on with the strong commitment to it. Then we also know that climate change gives us an increased incidence of extreme weather such as storm and heavy rainfall, and that good and accurate warnings of extreme weather are crucial to the security of the population. In order to ensure stable operation and proper upgrade of observation equipment such as weather radars, lightning sensor networks, sea current radars, etc. it is proposed to increase the allocation to the Meteorological Institute, so that we can gain more knowledge of this and be prepared. So this is a budget that makes us both more prepared for the changes that are coming and that takes biodiversity seriously – because we understand how important it is in itself, but also in a perspective of climate change, as well as that we are contributing to the necessary transformation that Norway needs to achieve in order to achieve our climate goals.
ParlaMint-NO_2019-12-04.ana.ud111e353	It's going to be line change.
ParlaMint-NO_2019-12-04.ana.ud111e358	The representative Heggelund was inside a lot of things. One of the important things was that he pointed out that ferry connections were going to be electric. It's like a county responsibility. We know that there's a lot of investment, and you don't necessarily get the big income right away. So there are large investments and low operating costs. How are the government parties, which now have a majority of the government budget, going to get arrangements to ensure that the investment costs are not shifted to the ticket prices, i.e. to the users? Because even if it's earned over time, we know it costs a lot now.
ParlaMint-NO_2019-12-04.ana.ud111e365	I thank you for the question. I noticed that the representative at the very beginning of the line said ‘one of the important things’. As I remember my own post, I just took up important things. Everything was important. So I'm going to answer the question: here's the point, as I also mentioned in my post, that we're following up with the means that are needed. I think we should remember that due to the policy of the bourgeois majority for a number of years, Norway has become the world leader in this technology. It's both because of tendering processes, and because we're showing, for example. in this budget, that we are willing to follow up on the means needed to achieve the objectives we have set in the Green Shipping Action Plan.
ParlaMint-NO_2019-12-04.ana.ud111e374	Now there is a great deal of uncertainty about whether enough has been followed up in relation to the county economy, and that is also why the Workers' Party was in favour of an increase in our alternative budget. But what we're looking out for is that there's a real fear among ferry users, and there's a riot going on that reminds a lot of the toll uprising. These are the expenses people have in their everyday lives, which they have to put on to be able to move around, in leisure time and in work. And the government has not been able to create the necessary security for the necessary framework to be put in place, so that this promise can be made without pushing the bill on consumers through increased ticket prices. On the contrary, a doubling of some sections has actually been predicted, with significant negative consequences for individuals, families and businesses.
ParlaMint-NO_2019-12-04.ana.ud111e381	We take these signals very seriously, and that is why we in the budget follow up with money to implement the Green Shipping Action Plan. Then I ask the representative, Mr. Seystad, to bear in mind that we are quite clear on this: every state budget this government delivers must be greener than the previous state budget. That means that this is the greenest government budget ever delivered in history. That means that the next state budget is going to be the greenest state budget ever delivered in history. And that is absolutely necessary in order for us to be able to achieve the climate goals. We have now presented an action plan for green shipping. We're going to achieve those objectives, and we're going to do it in cooperation with industry, county municipalities, etc. And we've shown in the budget that we're willing to follow up with the funds that are actually needed to reach them. This is a new investment in Norway. The Labour Party never had anything similar in their budgets when they put in government, but I'm glad they're following us now.
ParlaMint-NO_2019-12-04.ana.ud111e390	There has been a great debate on marine protected areas, and when the government budget was presented, I was somewhat surprised that 14 areas were to be protected during 2019. But then I am pleased to see that the balancing budget proposes not to protect these areas in 2019, possibly because there are only three weeks left of this year. My question to the representative from the Right is: What is the status of these protection areas? And isn't it really a victory for the Center Party that these areas should not be protected?
ParlaMint-NO_2019-12-04.ana.ud111e397	If the Center Party wants to win, they have to go into the bourgeois government. That's where they're sure to win. If you want influence, you get to go into government. No, the point is – from a joke to a serious one – that we have said that there is a need for more marine protection, and we are now looking at the recommendations made by the Environment Directorate and will present plans as soon as possible. The question to Sandra Borch is why in the world she does not ask this question to the Socialist Left, who in the budget, in the vote, has a proposal for a number of new areas of protection that they want to introduce. So how's it going? Who is going to get through in a possible red-green government in the future? Is it the Socialist Left Party, or is it the Center Party? Sandra Borch doesn't know that. She cannot give any such guarantees.
ParlaMint-NO_2019-12-04.ana.ud111e405	The representative, Mr Heggelund, said at the turn of the line that the budget presented was the greenest budget ever presented. Well, at the same time, it's the state budget where you openly admit that you're breaking Storting's climate targets from 2012. But that's not what I was going to ask. As the representative Heggelund was in the room, the year we have left behind has been marked by the youth's climate exposure. Also the Young Right has been involved in this engagement. Today's leader in Young Right, Daniel Skjevik-Aasberg, has said to the Evening Post: "We have already found more oil than we can use." He also believes that Norwegian oil policy is in line with Norway's climate objectives, and therefore not sustainable, and he will protect the North Barents Sea and move the ice cap south. My question to the representative Heggelund is: Does he agree with his own youth party?
ParlaMint-NO_2019-12-04.ana.ud111e416	The representative Haltbrecken should actually start his line by welcoming me to the club for those who are unable to achieve climate goals. It's a club he's part of himself. He probably agreed to set up the club with the red-green government. I think we know why we couldn't achieve the 2020 targets. That's because it wasn't followed up with a concrete plan. We were too eager to just set goals, and then we didn't follow up with a concrete plan. This government has ensured that it will not repeat itself, and therefore, by 2030, climate change will follow the agreement with the EU. So we can get sanctions on ourselves if we don't achieve the climate goals, and it's initiated and implemented by the civil government. So that's right, what the representative Haltbrecken says. I also heard from the Political Quarter here in the daytime with the leader of Young Right. Let me put it this way: on the civil side of the policy, there is a ceiling for taking debates both internally and externally. [[The President Clubs Again]]
ParlaMint-NO_2019-12-04.ana.ud111e425	There's no time for speech.
ParlaMint-NO_2019-12-04.ana.ud111e430	Then I am content to say that I am happy that we are getting a proper debate! [[Laughter]]
ParlaMint-NO_2019-12-04.ana.ud111e435	And then I'm content to say that now this line change is over.
