ParlaMint-NO_2019-03-13.ana.ud100e28	The representative, Martin Henriksen, will put forward a proposal for a representative.
ParlaMint-NO_2019-03-13.ana.ud100e150	Yesterday came the big surprise: NSB has to change its name to Vy. The NSB has survived the Union resolution, World War I, World War II, the oil crisis, the financial crisis and fifty Norwegian governments. But the NSB will not survive the government of Solberg. So after over 130 years, it's the end of the NSB, the Norwegian State Railways. Of course, the reactions didn't wait for you yesterday. I think the Minister for Transport should look for a good idea to find those who think the name change is a good idea. The change in name, we heard yesterday, will cost 200 million. SEK-300 million. kr. The NSB is a public limited liability company, 100 pst. owned by the State. The Minister of Transport – and I will assume that he understands that the question is for him – is a general meeting in the NSB. My question is simple: Has the Minister for Transport, as a general meeting in the NSB, approved the change in name?
ParlaMint-NO_2019-03-13.ana.ud100e159	The general meeting has not been held, but the board has consulted the department several times in the renaming process that has taken place over a year. My reaction as the Council of State when I took over the Ministry of Transport in August and became familiar with this matter in September was not so different from many of the reactions we saw in the media yesterday. The government didn't change the name of the NSB when a railway reform was implemented, as one made other structural changes. But the board of directors of the company thinks it is decisive for the competitiveness of the company that we are making changes that contribute to common profiling, that one gathers it as one today sees as an NSB and a Netbus, in one common company to be positioned, to win future competitions. I am busy that the board of directors has spent a lot of time on it and have made thorough assessments on the basis that about 10,000 jobs, which are in this company, depend on competitiveness in the future. The company believes that the market is changing, and that they are not positioned with today's organization to win new market shares. The company has then said that they must make this change. I am busy making several choices about using collective solutions. I'm busy that the NSB, as we know today, is going to be a company that actually survives many more decades, because they're competitive, and because they win supply in the market, whether it's on the bus or on the track. This means that the Governing Board's assessments are difficult to deal with in the general meeting. I have therefore warned the board that, if they think this is necessary, I will not actively oppose the decision.
ParlaMint-NO_2019-03-13.ana.ud100e166	Then I realize that the Minister of Transport at the General Assembly will approve the name choice. 200-300 million. NOK is a lot of money. There's money that could have gone to a better train offer, that could have gone to buy more new trains. Private companies can change their names as much as they like, but this is – as I said in my first post – a 100 pst. State owned company. That's what the community means. This is what this is about. Thus, we all have a responsibility, including the Minister of Transport, to manage those funds in the best possible way for the inhabitants, or we shall say to the travellers in this case. My question to the Minister for Transport is: does he think it's right to spend 200-300 million? kr on new logos, to paint trains, new uniforms and other related names?
ParlaMint-NO_2019-03-13.ana.ud100e175	The council also thinks it's an advantage if they add uniforms, and they have to change from time to time whether it's the Labour Party that rules, or it's the Progress Party that rules. It has some costs in itself, just like all other changes for the company have. But I'm busy spending no more money than is strictly necessary. The company has said that the change in name will cost between 30 and 50 million. kr. There is also a lot of money, but the rest are investments in new technological solutions, which also provide passengers with a better supply. That's despite all that I'm busy with, and that's what we've spent the big money on when it's about the railway in the last few years. The budget is increased by 80 pst. for the Norwegian railway – simply because more people have to choose to take the train. We now have 20 pst. more passengers than when the Workers' Party was in charge. And the company says that if they're going to be able to get more passengers in the years to come, they have to be more competitive, and that's the way they think they'll get it. It is also difficult for owners to overestimate their assessment by the board of directors.
ParlaMint-NO_2019-03-13.ana.ud100e182	There will be follow-up questions – first Sverre Myrli.
ParlaMint-NO_2019-03-13.ana.ud100e187	The reason for what is now happening on the railways, with many new companies and companies, which cost an incredible amount of money to organise, is the so-called rail reform and the decision of the bulk of the population in 2015. The government is using a circular argument, in my opinion: First, the government is cutting wings. The NSB is deprived of its trains, its workshops, its tickets, its properties – everything. Today, the NSB is just an operator company. Now NSB names, and what's left of NSB, as we know it, as an important transport company in Norway? My question is, we know the government from other sectors. First the wing clips the companies, then they're put out for sale. The flight is such a company that the government wants to sell – completely incomprehensible. Now what happens to NSB? Can the Council of State guarantee that the NSB will remain in state ownership?
ParlaMint-NO_2019-03-13.ana.ud100e196	There is no plan to sell NSB. Therefore, we do not need to initiate this naming process. The state, the government, has not taken one initiative to change this name. I understand very well that the NSB, as a brand that is built over time, means too many passengers as well as adding them. We have not taken such initiatives. However, the board has assessed whether they will be able to continue to develop the company to provide better services to passengers, so that even more collective solutions, including at a time when the market is in significant change. This means that, in parallel with the company making these assessments, we use the large capital to invest in several trains, which means there are hundreds more train departures into and out of Oslo every day than it was when the Workers' Party was running. We also invest massively in the infrastructure to build up the intercity triangle, so that we have to have hamlets to operate on. But the company must also be competitive, and they think this is crucial to sustain competitiveness. That's the hard part to try out.
ParlaMint-NO_2019-03-13.ana.ud100e203	Ingvild Kjerkol – for follow-up questions.
ParlaMint-NO_2019-03-13.ana.ud100e208	To get better train provision, you have to have more trainsets, and you have to have lanes that go on stream – especially in Trøndelag. In fact, they have worked for over 40 years to electrify the Trønderbahn. And everything was really ready to start, until the council decided to build up the organization, because it was going to be about. 250 million-300 million. kr more expensive – that is about the same thing as packing the NSB with a new name, after what we heard yesterday and today. In order to get more passengers, you may need to spend the money on several trainsets. Does the Council of State understand that the drums shake on the head and ask for a little sun-darkness in order for patients to get a better train offer? What is Vy going to do in this context?
ParlaMint-NO_2019-03-13.ana.ud100e216	I hope both the patients and the passengers get a better train offer, also on the Trønderbanen. That's also why the waiting time is approaching the end after we got the Labour Party out of the government offices, because it's quite right: before, when the Labour Party was running, it was hard to get a lift on the Thrønderban. Now there's a new train set. The reason why we didn't start electrification of the Trander Railway was that there was no increase in capacity, that we didn't get more train departures, which meant that we didn't get a better supply for the passengers. Therefore, we said, when we invest in the infrastructure, it is not only useful to have nice, new hamlets and new, fine signalling systems – we also need to actually have the capacity to run several trains there. That's why we made that assessment on the Trønderbahn, and that's why we're going to deliver on both a new train material and a better frequency on the Thrønderbahn in the coming years. That's the change from when the Workers' Party ran. Then we're not going to spend unnecessary dollars on the re-profile we're going to do, but we're going to make sure that we're a competitive company for the future.
ParlaMint-NO_2019-03-13.ana.ud100e225	Bengt Fasterøne – for follow-up questions.
ParlaMint-NO_2019-03-13.ana.ud100e230	The railway reform started in 2013 and the aim was to split up the company and launch competition. What's going on? Train materiel AS owns the trains, Mantena operates maintenance on the trains, Bane NOR builds up the railway, Railway service operates and maintains the infrastructure, the Railway Directorate coordinates transport and is responsible for competitive outsourcing. Simple? No, no, no. Clear lines of responsibility? No, no, no. Complete structural management? No, no, no. When we were in charge of planning, the goal was to increase the frequency and buy and run double sets of trains, says the head of the NSB. What's going on? We're waking up with the big name issue of $300 million. kr, Flirt trains are parked around Oslo, Akershus and Drammen, so you can't get away from the rush traffic. Who is responsible for getting this done and in what way?
ParlaMint-NO_2019-03-13.ana.ud100e237	The railway reform comes as a result of a report ordered by the Central Party when they were in government in 2011. It concluded with all that was too bad on Norwegian railway, which meant that the railway didn't hang out in time. Therefore, we made changes, so we carried out a railway reform – on the report ordered by the Senterpartiet. What's the result? We don't know all the results, because we're in the middle of the procession, but we know there's 100 more train departures in and out of Oslo every day now than when the Labour Party and the Center Party were running. We know that the permissions of the railway sector have increased by 80 pst. since 2013, almost 9 pst. only in 2019 - 9 pst. from one year to another, a formidable growth. We know that there are between 10 and 15 million more passengers who are well on the train now than when the Central Party had the Minister of Transport, and it comes from the sum of changes, and that we have companies that are positioned to win new market shares. That's what we need in the future too.
ParlaMint-NO_2019-03-13.ana.ud100e244	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2019-03-13.ana.ud100e249	50 pst. of the increases that the Council of State boasts of investments in the railway sector, the Central Party negotiated in the budget for 2014. The centre party said a clear no to a railway reform, as opposed to the government. What the Council of State is standing here doing is that he owes to others, and then he hides behind the skirts of the board of directors of the NSB and says that it was the competitiveness of the board of directors. But it is only the Council of State and the government that has initiated this madness, with the fragmentation of companies within the railway, with the outsourcing of competition, with new directors with million wages, with the exchange of names and probably also with a possible privatisation in the future. It is also one and only the Council of State that can stop this madness, because that question is not decided by the board. One may not hide behind the board; it is determined by the general meeting. It is not the board that should decide whether to waste this money on a new and totally incomprehensible name, it is the Progress Party and the Council of State. Why should he waste that money on this?
ParlaMint-NO_2019-03-13.ana.ud100e256	It's not surprising to me that the Central Party is opposed to almost any change when they're in opposition, it's almost every debate in this Greatness has shown over the last few years. But when the Central Party put in position, one of them was more about changing the name of the Post and Bring than the government is now proposing to apply to the whole re-profiling of a company with 10,000 added, so the Central Party's policy on this does not depend on this. There's a smaller problem today, because no more money should be spent on this change than is necessary. But the board of directors of the company thinks it makes sense that we have a common profile of what is today Nettbuss and NSB, and they say that it is decisive for the competitiveness of the market, both the Norwegian, in which they compete, and the Swedish, in which they compete. This means that they have meant that this change is crucial for the company. There is a reason to ask: if one does not, what is the consequence for them to be added to the company?
ParlaMint-NO_2019-03-13.ana.ud100e263	Freddy André Supreme Court – for follow-up questions.
ParlaMint-NO_2019-03-13.ana.ud100e268	There are many of my former colleagues in the NSB who were sad yesterday. The NSB first lost rails and stations, so maintenance, and with this government’s railway reform, the NSB has lost the tickets, the trains, and yesterday lost the NSB identity. So the name is just the symbol. It's part of a foreigner, neoliberal, privatizing and disintegrating policy wrapped in orwellish novelty. And all we've got is more directors and something that's soon just a crew company on the rails, called Vy. We could have done better on the railway. For these 280 million. We could increase the capacity of sleeping compartments by almost 50 pst. The capacity had been expanded by nearly 100,000 beds per year. And we know that the capacity is more than blasted on both the Bergensbanen and the Dovrebanen. What would be the best priority - new name or new sleeping places?
ParlaMint-NO_2019-03-13.ana.ud100e279	The members of the company are important, and I understand that many people also know a somewhat boring situation because they are happy about the identity of the company they have worked for. However, the deputy representatives of the board of directors of the company have been in charge of the rest of the board, believing that this is necessary for the competitiveness that is involved and securing the jobs of the company for years to come. The deputy representatives of the board of directors of the company have meant it. It should also be a matter of whether you're busy with them. The result of this change that has occurred in the railway reform is not fragmentation and disclaimer. On the contrary – there are several passengers, larger investments, more train departures, more new material. We're going to keep doing that in the years to come. At the same time, we're going to have a company that feels they've got the framework conditions they need to participate in winning supply in Norway for the years to come. That's what's going to decide to what extent we have an efficient and good company even in the years to come.
ParlaMint-NO_2019-03-13.ana.ud100e286	Freddy André Supreme Court – for follow-up questions.
ParlaMint-NO_2019-03-13.ana.ud100e292	It is no wonder that employees’ representatives on the board have an understanding when the company is not responsible for trains, rails, maintenance, tickets or anything other than crew. That's exactly why I'm saying that this is just a symbol of the fragmentation and privatisation of the railway that this government has stood for. So what's the result of the whole thing that's now crowned with a new name? Well, it's a price tag of 1.4 billion. kr and also an innumerable new directors with million wages. That's what we know. I wonder if the Council of State is satisfied with this railway reform when you see how the people's property now changes names, is split up, tendered, Go-Ahead – where is this going?
ParlaMint-NO_2019-03-13.ana.ud100e299	This is on the way to getting more rail for the money and better provision for the passengers. It's the Go-Ahead water supply in Norway, because they could offer passengers a better supply than the other competitors could – at the same time they had a reduced price. So just on the railway reform, the competition launch on the South Railway, we're saving $3 billion. kr – 3 br. kr — the next 10 years on that route alone. And what does that make us able to do? Yes, to reinvest in new infrastructure, to improve maintenance, to replace the signalling system and to improve the functionality of the network. That's precisely why we're implementing the reform, because we're both going to have more happy passengers, the passengers are in the focus of the reform, and we're going to get more infrastructure for the money, which makes more people take trains well. That's what we see when 10 to 15 million more passengers are already on board the train because SV was in and out. It shows that we are on the right track, and that we still have a lot of winnings to pick up.
ParlaMint-NO_2019-03-13.ana.ud100e306	Bears Moxnes – for follow-up questions.
ParlaMint-NO_2019-03-13.ana.ud100e311	Everyone laughs at the name Vy. Over the past 24 hours, I've heard many creative excuses as to why it's such a good name, but what I heard from the Council of State, that it's about competitiveness, is the stupidest thing we've ever heard so far. He appeared almost as a sort of Norwegian version of comedian Ali in the defense of the name Vy on the Norwegian State Railways. On the other hand, it is still a little common sense to trace in some of the Progress Party. Morten Stordalen of the Transport Committee said yesterday that there is a ‘complete derailment’ with the exchange of names and that the views of the NSA should be ‘to win tenders and have satisfied passengers’. Red is against the name change, the centre party is against the name change, the Workers' Party is against the name change, SV is the same – and also, probably: All in this room is against this name change. The question is whether the Council of State will take that signal both from the opposition, from its own party traps and not least from people out there rather than being the government's consultants' man, and rather stop the exchange rather than go for it.
ParlaMint-NO_2019-03-13.ana.ud100e318	I am the owner of a company that will compete in a market both domestically and abroad. I am the owner of a company that says that they need to have a common profile, a common identity, a common brand name to be more competitive in the market, a company and a board that is legally responsible for the decisions they make, and that is responsible for having a company with thousands of added people who are doing well and helping to secure the work. I haven't – if I'm being honest – made a lot of personal reflections about the name choice, because I think that the argument that I'm not leading, but that the board of directors, that this is decisive for the competitiveness of the company, must be an additional weight – there must be an additional weight added by a owner. My claim is that regardless of what kind of owner constellation you had, the owner had to have thought that to take care of the added and position the company in order to win new offers in the future.
ParlaMint-NO_2019-03-13.ana.ud100e325	Let's move on to the next main question.
ParlaMint-NO_2019-03-13.ana.ud100e330	Sometimes it seems as if it is a goal for the Progress Party and the government to make life a little more difficult for anyone working in the transport sector or working in transport in Norway. Take sailors – the government thought it was too generous that they had a rent supplement that they would not pay taxes on. With the Advance Party in government, you have to pay taxes on it, because the seafarers are doing so well. Take the works that build a road in our country and that live on a wreckage – Finance Minister and Progress Party leader Siv Jensen thought it was too generous that they would get it tax-free and have an advantage of living on a wreckage, they would pay tax on the diet and the lodging they had. Or take those who work in Norwegian railway now – if you take trains, talk to people, there's a lot of uncertainty, a lot of insecurity, and not least those who keep trains, have felt that their working conditions have gotten worse. Another major transport industry is the Norwegian taxi industry. There are almost 16,000 people working in the Norwegian taxi industry who do a very important job every day. They bind Norway together. We have a taxi industry that is everywhere, always, at all times of the day, all around Norway. What have they experienced with today's government? Yes, they have experienced a draft consultation, that one should deregulate the whole industry and let go of many new players, which are causing great unrest. That's the one. The second thing they have experienced is a tax shock when they are going to buy new taxis. From December to January, for example, the charge on a Caravelle of around SEK 200000 — a direct attack on industry profitability. In addition, they have experienced that the VAT rates were first increased from 8 to 10 p.p., then from 10 to 12 p.p., which causes profitability to fall on each trip. The Granavolden platform states that further harmonisation of VAT rates should be sought. Can the Council of State Jon Georg Dale now say to all those who drive taxis, that there are enough fees, that there is enough fee shop for Norwegian taxi industry? Or is there going to be another round in the next state budget?
ParlaMint-NO_2019-03-13.ana.ud100e339	I have often dreamed of being a finance minister. I have not yet been, and that means that questions to be answered by the Minister of Finance will be left to the Minister of Finance to answer. However, there is no news for anyone in the hall, I assume, that as a Progress Party-man I am always busy looking at how we can reduce the fees. The car list in general has experienced huge reductions in taxes with us in the government. They would have had significant tax and tax reinforcements with a government other than us, almost completely independent of the power of the Center Party, we're looking at the alternative budgets of the opposition in this collapse. I am busy that it should be helpful for the taxi industry, which I experienced that the representative Schlagsvold Vedum was also busy with. Then we have to get a taxi industry that is both present and attractive, and that is part of perhaps the only collective provision people have in the districts, while at the same time ensuring that we have effective competition in the cities. That's what we've been listening to. We have heard that on the basis that the changes in the taxi industry are fast. They lose turnover every year. So it's an industry that's in spite of people travelling more and more, more and more being picked away by passengers and losing turnover. If we're going to position the taxi industry in a reliable framework to keep a job in the taxi industry in the future, we also need to consider what kind of changes we're going to make. We've got a whole bunch of auditions for the proposal that's been out on the phone right now. The ministry is going through it and will come to the Stortinget with proposals. It really means that what we're busy about is a taxi offer that works all over the country, security for the passengers who are in the taxi, so that they can be sure that there is sufficient competence for the driver and not just for the owner, and not least that we ensure a healthy and effective competition that allows part of the growth of the passenger transport market to come into the taxi industry and not in that part of the economy that we don't see so much again.
ParlaMint-NO_2019-03-13.ana.ud100e352	Now I have been to meet taxi drivers all around Norway. Last week I was in the taxi station in Os outside Bergen – Terje Søviknes and the previous exhibition window of the Progress Party. All the drivers there were very clear about how unwise the deregulation the government is now adding up to. It's going to destroy their industry. They were hit forcefully by what has happened in terms of taxes on large, heavy taxis, such as. a Caravelle, which shall take wheelchair users. I went from there to Kvam and met the local local government representative from the Right, who drove the disabled cab and said, "This is going to be the last years I'm running the disabled cab, because I can't afford to invest in a new taxi in three years' time." The Minister of Transport is responsible for the taxi industry. Does the Minister for Transport think that there is a good development when, central to central, driver after driver, they say that they don't think there is a future in the industry with what is happening now? And was it an unwise decision to increase the fees as much as you did before Christmas?
ParlaMint-NO_2019-03-13.ana.ud100e359	The Council of State stressed in its previous statement that this is not within his remit, but I still leave it to the Council of State to decide whether he will answer the question.
ParlaMint-NO_2019-03-13.ana.ud100e364	Of course, I'll try to answer the question. The challenge for the taxi industry is not that it goes to heaven without changes in regulation, but that it goes wrong, that it loses its turnover. I know that the Central Party tradition is that if we just wait and see, maybe the problems go over. However, experience shows us that this rarely happens. It happens very rarely. I have great respect for those who do important work, run taxis, make sure that we have a collective offer in the whole country and beg to get people to go up every day. I have great respect for all the taxi drivers. So we have to look at what kind of changes are needed to make the growth in passenger traffic that the taxi industry is now losing to others, actually come back into the industry, and that's what's been listening to. And then we're going to make our assessments of the audio recordings that are coming, maybe make adjustments to the proposal if that's what's needed, and then we're going to come to the Storing based on it.
ParlaMint-NO_2019-03-13.ana.ud100e372	It opens for follow-up questions – first Siv Mossleth.
ParlaMint-NO_2019-03-13.ana.ud100e377	Representatives of the government parties owe ESA in this case. When the EU and ESA say jump, the government jumps without thinking about whether it is necessary, and without thinking about the results for most people. Today's drought policy is part of collective policy, and the government wants to destroy a preparedness that exists throughout the country. Today's taxis are not contrary to the right of freedom of establishment and can be justified for reasons of general interest. One might wonder: are there really greater social and geographical differences that are the aim of the announced change in the law, and will the government reintroduce the labour society and facilitate social dumping? Because it is not ESA we need to ‘please’ in this case.
ParlaMint-NO_2019-03-13.ana.ud100e384	The answer to the last one is no. I don't intend to facilitate an unemployed worker's society. We could actually end up there, but it's kind of obvious when the Center Party shows that we owe ESA. I haven't mentioned ESA in a word -- not a word! It is nice to ask questions, but it would be okay if a follow-up question was based on what I have answered. What I have said is that I am concerned about the development of the taxi industry, which is losing turnover. I depend on us having a taxi business that also works in the districts. It does not sound as if the representative has received the previous answers, when one hears the question, but that is the reason for the out-of-office hearing. That's what determines our ability to happiness. I'm not going to owe ESA, I'm not going to owe anyone else, because the explanation is that we have to have a competitive taxi industry that's in place across the country, which also means that the hearing proposal says that the municipalities outside the big cities can grant one-off rights, because we think that we have the right to do, and in that way make sure that they can make demands that we have a taxi service across the country. We're going to take care of that, and we've also sent it on the phone.
ParlaMint-NO_2019-03-13.ana.ud100e393	Siv Mossleth - for follow-up questions.
ParlaMint-NO_2019-03-13.ana.ud100e398	I'm recording that the minister and government representatives are talking about completely different things. This is a matter that concerns the taxi industry very much, and the government's partners are very concerned that it is only ESA's fault that you want to introduce this. The question we're really going to have to deal with is, are we going to have a taxi anywhere or only where it pays, at favorable times of the day? Grandma in the village who is going to a doctor cannot take a taxi if there is no basis for operating in the village, and Grandma in the city cannot afford to take a taxi to the New Year’s Eve company because the prices go up when it is particularly favorable. With regard to geographical preparedness: does the Council not see that this release destroys a mobility network that exists throughout the country and that everyone can use today?
ParlaMint-NO_2019-03-13.ana.ud100e405	There is no release, it is actually such that a person can still grant one-rights. I come from an area where we have a bus every Friday if we order it, know the value of the taxi industry. If I hadn't had him Bakke-Roar, I didn't have any space for periods, but he's fixing it, he's fixing it. And that means that one can still assign one-rights with the hearing proposal that's been out there. So I don't owe ESA -- I don't owe ESA at all. I say that there is a need for a taxi policy that takes care of important districts, I agree with the Center Party. And then we have to have a competition policy that works in cities, so that there is a supply that passengers can use, instead of using buddy services, which actually means that the taxi industry loses turnover every year. That's what I'm busy about, that's what we've been listening to, and that's the background we're assessing the audio recordings, and we'll come back to the Stortinget with amendments that are adapted to it -- competition in the cities, good provision in the districts.
ParlaMint-NO_2019-03-13.ana.ud100e412	Steinar Karlstrøm – for follow-up questions.
ParlaMint-NO_2019-03-13.ana.ud100e417	The taxi industry has an important role in central and, in particular, districts. In areas without public transport, taxis are often the only option. The drying industry, with qualified drivers, provides a good response. In some areas you have even started to have heart-starters in the cars and be on the good alert. Employees fear becoming unemployed in an industry where one goes back to a black and uncontrollable economy. I was told about the taxi industry yesterday. My question goes to uniformation. In the hearing, the requirement is to have a plate of 40 mm – it is 4 cm – to make it visible that it is a taxi. The thrush should be uniformed as much as possible. It should be made visible that it is a taxi and it is expected that there is a qualified driver sitting on the taxi – and not least that the driver has something to live on. Will the Council of State consider changing the criteria for harmonisation and providing sufficient competence for drivers?
ParlaMint-NO_2019-03-13.ana.ud100e426	In the hearing proposal that has been out there, there are increased skills requirements for the driver, because we move some of the skills requirements from those who have the right to do so to the actual driver. One of the examples we're going to see is that you need to have better skills for first aid, you need better staff to assess whether passengers are in a condition like – for example. After a patient trip, special attention should be paid to one. Do they have a house door on the outside, or do they have to follow it in? This type of competence is becoming more demanding for the taxi industry — with the outbound hearing design. It's important. To what extent there is a need to regulate even more strongly the size of the signs on the cars – I believe that if a driving taxi industry, one would like to know that there is a taxi on the road. Independently of public regulation, cars will be marked. But it's probably among those recordings that it's natural that we evaluate, based on the audio recordings that have come.
ParlaMint-NO_2019-03-13.ana.ud100e433	Steinar Karlstrøm – for follow-up questions.
ParlaMint-NO_2019-03-13.ana.ud100e438	Is the Council of State concerned about what will happen in the future, that we will have a tender outsourcing of the taxi industry, and that this will result in poorer material vehicles, worse cars, in this industry, which is so important?
ParlaMint-NO_2019-03-13.ana.ud100e444	No – that is why we also put in the listener's draft the requirement that the taxis remain part of the motor vehicle register. This means annual EU controls instead of second-quarter years. This means, in addition, that there should be rights and competences attached to drivers. So I'm not worried about that, it's well taken care of in the hearing proposal that's been out there, and that's now being worked through in the ministry.
ParlaMint-NO_2019-03-13.ana.ud100e449	Let's move on to the next main question.
ParlaMint-NO_2019-03-13.ana.ud100e454	My question goes to the Minister for Climate and Environment. A month ago, the government of Nussir ASA authorised mining at Repparfjorden in Finnmark. Two million. tonnes of heavy metal mining sludge will be dumped annually in the spring. This corresponds to 17 hourly loads per day in a fjord that has been given special protection to keep a sample of our main salmon populations. The committee that has evaluated the Mineral Act clearly states that an overall assessment is to be carried out when permits are granted. It shall include the environment and sustainability, even when it has been assessed before. Governments are launching a zero vision for plastics today, but he doesn't have a zero vision for mining sludge in the ocean. I think that's weird. My question is: What environmental assessments does the Council of State intend to do in relation to these types of mining projects – which are obviously to be made in relation to plastics?
ParlaMint-NO_2019-03-13.ana.ud100e465	We have a zero. It is absolutely central to both the Jeløya platform and the Granavolden platform that no new permits for sea landfills shall be granted during this period. With regard to the authorisation now granted, an operating authorisation was granted by the Minister of Industry. This matter has been up in the past. We in the Left have been involved in addressing it in the Stortinget in a Document 8 proposal – in 2015, it was well – where we had suggested that no authorisation should be given in Repparfjorden. It was voted down by a broad majority – the Progress Party, the Right, the Centre Party and the Labour Party. So it's been up in the Storting. It was also up in 2016, when the emissions permit was granted and the last complaint was rejected in the case. So when I'm standing here as a vice-leader in the left, there's no doubt that the left has always shown that this is a project that we're opposed to. There has been a large majority in the United Kingdom, a large majority of them have voted in order to allow this. We have a consensus in the government that we won't have any new mining deposits in this mining period. My task now is to ensure that in the context of the permit that has been granted, it is well monitored, that there are no waste out of the 8 km2 that is defined to be within this landfill, and that there are no negative effects beyond the exact area for which the permit has been granted.
ParlaMint-NO_2019-03-13.ana.ud100e474	Although the wording of the government platform is available, it is now allowed to dump mining sludge in a new fjord. Although we have tried to stop this earlier, the operating licence is now granted. In the award of the operating concession from the Ministry of Industry and Fisheries to Nussir, a comprehensive assessment has not been carried out. Reference is made to the fact that this has been done in the past. No new information has been evaluated and no own assessments are made. Does the Council of State consider that the Ministry of Food and Fisheries carried out an overall assessment of the environmental impact when they gave the operating concession to Nussir at Repparfjord, which the Mineral Law actually requires?
ParlaMint-NO_2019-03-13.ana.ud100e481	The authorisation granted under the pollution law was granted in 2016. What is now given is an operating concession. As I said, this has been up in Stortinget, and there is a broad majority who have voted in favour of this – the Labour Party, the Centre Party, the Right Party and the Advance Party. What has been negotiated about, and agreement on, in the government, both at Jeløya and – continued – at Granavolden, and which is my responsibility, is that no permits should be granted during this pouring period.
ParlaMint-NO_2019-03-13.ana.ud100e488	There will be follow-up questions – first Torgeir Knag Fylkesnes.
ParlaMint-NO_2019-03-13.ana.ud100e493	In recent years, Ellinor Madland has cleared the area around Lima in Gjesdal. She picked her own half a ton of garbage in 2018. She is among over 100,000 people in this country who voluntarily go around picking garbage, among other things. on the great day of the beach, which we arranged last year, in the past, etc., and which certainly many in this room have been present. Many in the entire population have participated in that project. Last year the Minister for the Environment of the NRC said that the great commitment ‘shows that the Norwegian people have woken up, recognised the problem and are willing to address it’. What is the message from the Minister of the Environment to all the 100,000 people who have cleared and picked garbage from the sea every day, when the same government has allowed them to dump $2 million. tonnes of mining sludge in the just sea?
ParlaMint-NO_2019-03-13.ana.ud100e500	Now we've really got a movement; there's a lot of people cleaning up plastic. From 2013, when you got a civil majority in Stortinget again, the effort was in place, it was 10 million. kr. Now we're going to spend 70 million dollars. kr, which was allocated yesterday, to measures both to clear and to prevent. In addition, there is international support, where we now have assistance programmes of more than 400 million. kr. So there's a significant effort to reduce plastic waste in the ocean. I'm going to Nairobi today to take the next step, also to drive forward an international agreement on plastics. We need that. If there's any area we're really running in the future, it's limiting the pollution that we're seeing. As far as Repparfjord is concerned, what I said earlier is: the left has been against this. The government has said that we will not have any new sea deposits, and this project has unfortunately had broad support in the Stortinget from the Central Party, the Labour Party, the Right and the Advance Party.
ParlaMint-NO_2019-03-13.ana.ud100e509	Torgeir Knag Fylkesnes – for follow-up questions.
