ParlaMint-NO_2019-05-08.ana.ud164e28	The representative of Audun Lysbakken will present two proposals for representatives.
ParlaMint-NO_2019-05-08.ana.ud164e125	Severe Myrli – for follow-up questions.
ParlaMint-NO_2019-05-08.ana.ud164e130	It was Gro Lillebø, who is obviously an avid railway passenger, who approached Vy and asked if it was possible to get more sleeping cars. The answer that came from the Vy has gone like a farsot, and as Gahr Støre pointed out, it was certainly not to be very wise of – what is the responsibility of the railway directorate, what is the responsibility of the Bane NOR, and what is the responsibility of the Norwegian train. The conclusion was that the Railway Directorate must order trains so that Norwegian Trains can acquire trains. But that's what the Minister of Transport says, and now the Prime Minister says it's not right – we can buy as many sleeping cars as they need. While the discussion is in progress, Gro Lillebø and the others are standing without space on the night watch. My question to the Prime Minister is: Bergensbanen and Dovrebanen are not open to tender. Is it so to understand that the NSB can now buy as many sleeping cars as they want to operate the Bergensbanen and Dovrebanen?
ParlaMint-NO_2019-05-08.ana.ud164e136	Come on, NSB no longer exists. But to be absolutely honest, I don't think the Workers' Party has such a hard time because they don't understand this. What is the basic offer, what is being tendered, is what will also be the material at the bottom. And then, well, if they think it's profitable on this distance to have an extra offer in addition to what we buy services for, that's what we get for the 150 million. Dr with whom we subsidise night services in Norway, at the top of it to make an investment in it. But that's the way we buy more trains and train sets. This government has done a lot of that. And now we're in the process of evaluating the new train sets to be purchased. There has also been a job to see if it is possible to rent more nights. It's just so bad out there that you have to go into a big purchase of new ones if we're going to increase the activity. But it will also be linked to whether we want to prioritise night and into the future train offer rather than for example. multiple commuter departures in the Great Oslo area.
ParlaMint-NO_2019-05-08.ana.ud164e145	Let's move on to the next main question.
ParlaMint-NO_2019-05-08.ana.ud164e150	Norway has its own guerrilla, the bulwark guerrilla. They're nicely armed, with silver, with stockings and shoes. They have the heart in the right place, and they fight for what they have loved, with power, with honesty, and with love for their home places. It started in Kristiansund last month, and then it's spread all over the country. It started with one strong woman, and now there are thousands of women and men who say that enough is enough, that's enough centralization now, we want good health services, we want good food departments near where we live. When the prime minister was in Lake Sandnesseen, she met people who stood up for their hospital, who stood up for their college, who stood up for Helgeland and said that if this is laid down, the district will be destroyed. The message was very clear. Prime Minister, President, we have seen the same mobilisation many times now. We saw it in the context of the near-police reform. People got up, they didn't want that centralization. We saw it in the robberies debate, where over 10,000 people were in front of the Storting and said from: Listen to those who are affected by the policy. We saw it last week in Namsos, where over 6,000 people said: La Nord University pass, we need nurse training because the centralization of it next time will lead to the centralization of the hospital. People don't want centralization. Yesterday Prime Minister Erna Solberg received an open letter from Catrine Hole. She wrote: ‘We have already been deprived of so much.’ And on the other hand, ‘Perhaps not everyone will, or need, to live in a big city?’ I want to use the words of Catrine Hole to ask questions to the Prime Minister. She wrote: ‘Cutting the blood supply to the district is not believing in Norway. So we're asking you today, how can you allow this to happen?'
ParlaMint-NO_2019-05-08.ana.ud164e172	I fully agree that the bouquet is a beautiful garment. I see that on 8 May the representative has also dressed up. It can be in solidarity with those who demonstrate. The challenge with some of these issues is that they are not really about what the representative addresses, centralisation, but about location between different places. In Helgeland, the discussion on the provision of health concerns the location of Helgeland. We have no position in this from the government. There is a process that started under the red-green government in 2013, when the first decisions were taken to look at the structure to ensure a forward-looking and good structure in Helgeland, where there are several alternatives up, and where there is still no rule that there can be more than one. Although the Helgelands Hospital wanted only one hospital and three district medical centers first, the board of Health Nord has been clear that they will continue to have the option of two hospitals in the further work. This case has also now been widely consulted. There shall also be a discussion and an investigation related to the societal impact of the different localisation options, which are interesting and important to include. There are then mainly questions about two different district locations in the debate on health services in Helgeland, Mo or Sandness Lake, or to maintain two hospitals. I'm open to both solutions. What's important is that we have a good professional offer, and that it's well placed, so that the distance is also included. Distance considerations are among the things that we have said in these cases also have to be an important part of the assessment. Then I hope that those who live in the lake, those who live in Lake Sandness, and those who live at Mo, will give their words and opinions into consideration in the future, so that we can make the best possible decision.
ParlaMint-NO_2019-05-08.ana.ud164e183	How to organise the higher education and university sector is not a matter of governance; it is a matter of society; it is a political responsibility how it is organised. How to organise the country's hospital and its food supply is not a corporate matter, it is a social matter, a political matter. It's a hundred percent political responsibility how we organize the country's colleges and universities and the country's hospitals. And unfortunately, what we're looking at from the numbers is that the number of women who give birth outside of hospitals is doubled in 15 years. According to research.no, 500 births occur involuntarily outside a food establishment. It says that it happens in cars, in ambulances, in doctors ’ offices, and it says that births are also carried out in abandoned feeding rooms. According to Hilde Engjom, who has researched this widely, it is not the size of the maternity ward that is crucial, but the distance, and she concludes quite tough: no planned births outside the institution have three times the risk of the child dying than if it is in an institution. Can the Prime Minister accept such a development?
ParlaMint-NO_2019-05-08.ana.ud164e192	The size of the population has addressed the principles of birth organisation in Norway, which is a differentiated maternity care. There has been a broad majority behind a differentiated offer, which means that it is very important to select out hazard births at an early stage, make sure that they come to the most qualified areas. This means that some mothers have to travel early and be close to a specialised clinic because they have children who need special care afterwards. For example, in Helgeland it's not a children's clinic, and it's one of the discussions, that if you get one hospital, you might get a children's clinic, which allows some to have better qualifications to work with those questions. But it is important to remember that under the red-green government, when the Senterpartiet was in government, food departments and feeding rooms were set up in Rjukan, Steinkjer, Orkdal, Nordfjordeid, Valdres and Lærdal. So it's like you're also going to drop in the time of the red-green government. Most of the numbers, which go back 15 years, also take with them the entire red-green time. We all remember the outbreaks of Liv Signe Navarsete related to the North Fjordeid question. The fact that the Center Party is now making this a matter for this government, when they were put in government when most of the places were closed, I think it's a little strange.
ParlaMint-NO_2019-05-08.ana.ud164e199	There will be follow-up questions – first Tryful Battle Violence Vedum.
ParlaMint-NO_2019-05-08.ana.ud164e204	After all, we have to look at the research and the facts we have, and the research is clear that distance is crucial to whether a birth is going well, or whether it is going bad. Now there are discussions about more places to put down the maternity wards. We have a discussion in Kristiansund – there is a discussion about shutting down the maternity ward – and we have it in Helgeland. Then the fact shows that if there is a longer distance, there are more complications and, unfortunately, there is also a greater risk that the child may die. Then there's no point in discussing what happened eight to ten years ago. The discussion must be how we can strengthen food supply now, so that the risk goes down and not up. Then is my question to Prime Minister Solberg: Can Prime Minister Erna Solberg accept that there are more and more people born outside the institution and that development is going in the wrong direction? Is the correct answer then to lay down even more maternity wards, or should we create more services and not weaken them?
ParlaMint-NO_2019-05-08.ana.ud164e211	For this government, it has been a priority task to ensure better maternity care and better help to give birth by refurbishment in the municipalities. One of the things we did was to reintroduce the requirement to have midwife competence in the municipalities, which the red-green government removed. As a result, there is a significant increase in the number of nurseries in Norwegian municipalities. Norwegian maternity care has improved in recent years, not worse. There are fewer complications, there are better follow-up services early, and there are far more midwives per child now than it has been in the past, because there has been a clear and clear bet: from 2013 to 2017, there has been an increase from 47,3 to 72.1 midwifery per 1000 born in Norway, an enormous effort, just to ensure that selection takes place early, that birth hazards are discovered, and that mothers receive a good and safe offer that enables them to feed safely.
ParlaMint-NO_2019-05-08.ana.ud164e218	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2019-05-08.ana.ud164e223	The bead guerrilla's great. It is able to draw attention to an important topic, namely emergency and food supply. There is a need, because only this week the government and the government have denied all the opportunities to discuss on TV or radio matters about food care. That is why I am pleased that the Prime Minister is here today and can answer questions. I'm a little surprised if the prime minister doesn't see the total centralization that South-Helgeland is now at risk, both within education and within hospitals. But there are many ways to make emergency and food services vulnerable. If North University, for example, have their centralisation of nursing training in Namsos, Namso’s hospital will become highly vulnerable. Trine Skei Grande has said it quite precisely: ‘In Namsos, nursing is an important prerequisite for having a hospital. A university may not lay down a hospital.’;» Those were important words from the leader of the Left. Does the Prime Minister agree? And will the government intervene if Nord University proposes a closure and centralisation of nurse training in Namsos?
ParlaMint-NO_2019-05-08.ana.ud164e236	I think it is neat when we have processes in the higher education and university sectors, that we make those assessments and discussions together with democracy – consultation rounds, etc. – without saying no in advance and stopping any activity. In fact, the government has done something special in this matter by writing letters to the board of directors to point out in particular two aspects of the first proposal to be included in the assessment. One relationship is that one should not pre-empt any structural changes in other agencies, for example: where hospitals are to be located when discussing their own structure. It is not the case that the education sector should advance and make changes at the same time as there is another development and discussion of location. This applies, for example: the situation on Helgeland. The other thing she's brought up is that we need a decentralised offer. [[President clubs]] For the government, decentralised education provision is an important part of the whole reform of competence for the future. [[The President Clubs Again]]
ParlaMint-NO_2019-05-08.ana.ud164e243	The number is out. Kjersti Top – for follow-up questions.
ParlaMint-NO_2019-05-08.ana.ud164e248	The Bunads guerrilla is a symbol of the growing commitment to the health model and government’s centralisation of food supply and emergency functions. The Government, by Solberg and Höie, sit in Oslo and approves centralisation in conversations with its elected representatives. It wouldn't have been a gangster if the government in health services were popular, which could be replaced by options if they didn't do their job. The number of birth institutions in Norway is now lower than the recommendation from the World Health Organization. The number of non-institutionally born women is double in 15 years. There is evidence that longer travel and birth outside the institution significantly increase the health risk for mother and child. In Helgeland, there is no food supply and the distance has been assessed by the health service, although one has been advised on one hospital. One has assessed urbanity and housing prices, but not the distance to food supply. The question is how the Prime Minister can allow greater travel distances for births on North Moravia and the Helgeland coast, and then transfer responsibility for the development to the health agency.
ParlaMint-NO_2019-05-08.ana.ud164e259	I think it must be a certain historical shift if you think that with the model of the Center Party – that the county councils should be responsible for the hospital structure – it would not have been bulwark guerrillas, demonstrations or anything else. Many food supplies were closed down — during major protests — during the period of the present model of the Central Party. For example, Aker was closed down in 2003 in that model – Oppdal, Ørland, Hallingdal, Andenes, Nordkapp. As you saw, there was no shortage of torch trains and discussions that time either. It was de facto the same thing. That is why there were many protests when the Stoltenberg government was set up and a number of food supplies were put down – much more food supply than under this government. What is the answer to this with distance: Yes, distance shall also be considered in terms of location. It's important, that's what the Storting said before.
ParlaMint-NO_2019-05-08.ana.ud164e266	Ingvild Kjerkol – for follow-up questions.
ParlaMint-NO_2019-05-08.ana.ud164e271	The Bunadsgerilja messed over Lake Talg, from Smøla to Kristiansund, for five hours with a pregnant lady. She was doing well. It was a symbol act. As the Prime Minister said, ten years ago, a happy event concluded that we should have a decentralised and differentiated food supply in Norway. As a result of that message it is today that you live more than 90 minutes away from a place of birth, you are entitled to follow-up service. 20 pst. the municipalities of the country have accompanying services. However, several of these have now ceased to exist as a result of the over-financing of hospitals in 2018. The last example is Goal Self. On the Dagsrevyen we saw that especially in North Moravia, people today do not meet the requirements for accompanying services. There are pregnant women who don't get the service they're going to have. Ten years after Stortinget clearly said that we should have a decentralised and differentiated food supply, the government is unable to follow up this uniform service.
ParlaMint-NO_2019-05-08.ana.ud164e278	I fully agree with the representative that the government of Stoltenberg was unable to follow up completely.
ParlaMint-NO_2019-05-08.ana.ud164e283	I'm sorry.
ParlaMint-NO_2019-05-08.ana.ud164e288	The government of Solberg, on the other hand, follows this up significantly – I understand that it was a delay. This government has been involved in maternity and maternity care at an early stage. So that means that we reintroduced the requirement that all municipalities have midwife competence. It's fundamental to the decentralised model. You have to have someone who follows you in a pregnancy, to see if there can be complications that make you have to be sent early to a hospital or to a specialised hospital, or if you assume that it could be a normal birth, that you can decide that you can be born in a feeding room. That's why we have reintroduced the requirement that the red-green government has removed. There is a large and significant increase in the number of midwives around the municipalities, because we have just made sure that we should have better follow-up. Then we follow up on the follow-up service. It has to be there. Therefore, on 16 May, undertakings must report the results of their follow-up.
ParlaMint-NO_2019-05-08.ana.ud164e295	Ingvild Kjerkol – for follow-up questions.
ParlaMint-NO_2019-05-08.ana.ud164e300	My question was the follow-up service. It is the responsibility of health companies, hospitals. You can't reach the targets today. You don't have enough midwives to give the security that Stortinget has said that birthing women are going to have. It is reduced because the funding has been transferred to a tight hospital budget. Especially in the area where the bulwark guerrillas have been most obvious, in the North Sea, where there are islands, the birth department from Kristiansund is moved before the new hospital on Health is planned to be started and completed. My question was: why is it not possible to meet the 2009 Storing Communication, which would provide a comprehensive service in the areas where accompanying services constitute the very security of these women? This has been asked by the Peasant League to respond to the Minister of Health since October.
ParlaMint-NO_2019-05-08.ana.ud164e308	I understand that for the Workers' Party it is good to put a line there, at the follow-up service, and not to talk about the violent effort being made in the municipal sector. But it is the prerequisite for having a midwife who can be a part of the accompanying service. There is cooperation between municipalities and health companies to ensure that the accompanying service is there. There is a clear and clear guideline that is 90 minutes away, health-care providers should make an agreement with municipalities on accompanying services. It is an advantage now that there are actually so many midwives in the municipalities who can contribute to this, in contrast to what the Labour Party's policy has contributed to in the past. Then they are asked to report from health businesses. There, health businesses have done too little follow-up work. Therefore, a structured review of this has been requested. A deadline has been set for 16 May for feedback to ensure the accompanying service requirement for all those who have more than 90 minutes of travel time. But the most important thing is that you have a good first-line service that ensures that we select the risk births at an early stage.
ParlaMint-NO_2019-05-08.ana.ud164e315	Social violence Vedum – for follow-up questions.
ParlaMint-NO_2019-05-08.ana.ud164e320	I feel quite certain that if there had been a suggestion from Health South-East that all born in Oslo were to be transported to Otta to be born there, the Prime Minister would have dared to say that it is totally unacceptable, because you cannot transport birthing so far, for three to four hours. And that's what's the discussion here: when it comes to the discussion on the Helgeland coast and in More and Romesdal, it's about that kind of transport distance: that you have to transport natives from Oslo to Otta. Of course it is unacceptable, of course our Prime Minister is against it. But it's no easier to be transported far if you live on the Helgeland coast or on the North Sea. It should be the same standard if you live in District Norway as if you live in central Norway. It has to be good food supplies all over Norway. Can the Prime Minister give a clear answer as to whether she thinks it is acceptable for more born in Norway to have a transport distance such as Oslo-Otta?
ParlaMint-NO_2019-05-08.ana.ud164e327	I think it is very important that we have a good food supply throughout the country. A good supply of food is differentiated, as the Stortinget has decided. There are maternity wards in some places, maternity wards in some places, and specialist measures such as: for children who may have challenges when born to ensure them. That's why there's a staircase in this offer, and the most important start on this staircase is what happens in the municipality, that the midwife who follows you in pregnancy is able to see danger signals that make you find out if you, for example, are pregnant. have to be sent to the Rikshospitalet — if this is the case, because you can experience major problems in pregnancy — or whether you have to go to a central hospital or can be born in a local hospital. The differentiated offer should remain there in Norway, in line with what the Stortinget has said. Then I mean I can't pre-shoot the discussion that goes to Helgeland. There's still a discussion about two hospitals or one hospital. Most municipalities agreed a few years ago that there should be one hospital; now they might have a different meaning. This is a process that must be allowed to go its own way until they make a real decision and make a recommendation.
ParlaMint-NO_2019-05-08.ana.ud164e334	Then we move on to the next main question.
ParlaMint-NO_2019-05-08.ana.ud164e339	In a number of cases in the Official Journal of Bergen over the past few weeks, it has been found that the 52 American fighter aircraft Norway will buy will be much more expensive than expected. The hangars in Ørland are getting more expensive, the weapon systems are getting more expensive. In total, the bill is going to increase by 16 billion. kr, according to BT's calculations. That's a lot of money. In comparison, BT’s estimates show that it corresponds to the cost of four frigates — or in welfare crowns 36 to 150 nurseries. At the top of this, the air protection bill will be more expensive. There is uncertainty about the currency costs, so that billions can fly even faster than they already do. The battle lights are becoming the exact price bomb against which the critics have warned. We, who have argued to buy fewer aircraft, have always claimed that the planes can be too expensive, and that the bill will be a bloody lot around the neck of the rest of the Defense, at a time when we need investment in the Army and in the Maritime Defense. Each year, the government has determined in the government budget that the control target of the fighter aircraft program is fixed. In the 2019 budget, that wording is gone. SV has asked the Minister of Defence about this in writing. He goes around the pike in his answer, but now says that the probability of reaching the control target is lower than before. Therefore, my question to the Prime Minister is: Why is the Stortinget only now, in an answer to a written question after a media disclosure, informed that the likelihood of budget congestion has increased – and not where the information should have been provided, namely in the State budget for 2019?
ParlaMint-NO_2019-05-08.ana.ud164e350	The Kampfly programme conducts detailed analyses of the costs of acquisition each year, and the Government informs the Storting about this in the annual budget proposals. It's been done every year. It's very important for me to be clear on one thing: the purchase of combat poetry has no cost. The expected cost of acquisition is 82.7 billion. kr. It is under the cost framework set by Stortinget in 2012. It is true that it is above the Ministry of Defence's internal governance targets, but it is therefore under the cost framework that was set. The size is briefed on the main uncertainties of currency and arms acquisitions. Some cost-reduction measures have been introduced in this work. Negotiations with the supplier have resulted in a reduction in the prices of aircraft and associated equipment by about 8 billion. kr. So when Bergen's magazine writes that the entire bill is close to 100 billion. kr, they're talking about more than the acquisition of fighter aircraft. The paper then includes the incurred and future operating costs of the project as well as the costs of the development of weapons before the cost framework was established. We believe that it is wrong to refer these expenses to a cost check. It was expenditure that had been incurred before the cost level had been established. The Official Journal of Bergen also includes constructions and constructions on Ørland and Evenes. So it's like this project has its own cost framework, outside of the aircraft acquisition itself. There are no cost estimates for the buildings and installations being built, but there is a slightly larger estimate of, among other things. protection related to Örland and the regulatory plan, due to increased protection and protection requirements. It's not a cost tip, but it's a little above the internal governance targets.
ParlaMint-NO_2019-05-08.ana.ud164e361	We can discuss words back and forth, but the reality is that the planes are going to be very much more expensive than the Storting and the government until now have laid down, and so we get a big, uncovered bill. The Prime Minister should not try to talk it down, for that billion bill she has to take responsibility for covering up, and the price for the rest of the Defense can be very high. Then, of course, it's very relevant for Storting, when ordering the last planes, to know if it's likely that the price we've been running for until now is achievable or not. And the state budget for 2019 does not make it clear, what the government is now saying, namely that the governance objective no longer seems realistic. When the budget for 2019 came, there were still 12 aircraft that had not been ordered. Now there's still six. In that situation, the government was allowed to say that the probability of reaching the governance objective is lower than before. Does the Prime Minister really think that this is not relevant and important information for the Storting?
ParlaMint-NO_2019-05-08.ana.ud164e370	It might be nice if I, for Stortinget, clarified the difference between a management target and a cost framework. The cost framework is the financial ceiling adopted by the Storting for acquisition, i.e. the framework adopted by the Storing. It also includes a provision for uncertainty, including currency, for that acquisition. There is no cost impact on this compared to the roof Stortinget has set. The governance framework, which the representative Lysbakken is now talking about, is the Ministry's internal cost objectives. That's the room that project managers have. There it seems that it is a little bit more expensive than what was added to it. This means that the uncertainty reserves set and included in the cost framework must be used. But there's a lot of projects that you have inequalities about this. And this is a way of steering hard – that those who run the project do not have the entire cost framework at their disposal without any new decisions being made.
ParlaMint-NO_2019-05-08.ana.ud164e379	There will be follow-up questions – first the Audun Light Bin.
ParlaMint-NO_2019-05-08.ana.ud164e384	The size needs no instruction on the differences between the cost framework and the governance objectives. The question is why the government does not provide clear information that it is no longer likely to achieve the governance objective. Because that's what determines how much money we have to pay for the planes, and therefore how much bill we have to cover at the rest of the defense's expense. The question is why the government has chosen not to provide clear information about it to the Storting where it should have been given; in the budget for 2019. Why is this important? Yes, because in the context of the 2019 budget we were asked to order another six aircraft. For 2020, we are probably asked to order six more flights. I think most people will disagree with the Prime Minister for that 16 billion. kr is a little bit more expensive. 16 B.C.E. NOK is a terrible amount of money. Therefore, I still wonder when the Prime Minister thought that Stortinget would receive that information: before or after the last flights were ordered?
ParlaMint-NO_2019-05-08.ana.ud164e392	We have informed about these processes in all the budgets. The challenge of spending now, which can be an area where it is more expensive, is the purchase of weapons. The arms purchases are the most vulnerable part at the moment. The total amount of weapons we buy has not changed, but they have been adjusted for some types of weapons because they have gone out of production. So what was assumed in the red-green government in 2012 has become immature in 2019 and is no longer produced. That's why we buy other weapons. A very large part of this is not yet acquired and not yet ordered. Therefore, it is important for us to work to reduce the costs associated with this. This is the Stortinget informed in the budget proposals for 2018 and 2019 that it is one of the main elements of uncertainty that can also generate expenditure growth in the programme. But the planes, as the representative repeatedly says, are becoming more expensive, have actually become cheaper.
ParlaMint-NO_2019-05-08.ana.ud164e399	Audun Lighthouse – for follow-up questions.
ParlaMint-NO_2019-05-08.ana.ud164e404	It's because we buy planes that we need weapons. So the bill I think would be wise to look at below one. It would be foolish to have these planes without weapons once we've got them.11:22:48 It is only to acknowledge that the Prime Minister will not take any self-criticism that this information has not been clearly provided. That's what Stortinget has to consider how we're going to follow up. But since she's talking about the price of the weapons systems, I'd like to ask you something that's closely related to it, the question of the dollar rate, because in the calculations for the fighter aircraft program, there's a lot to say about the costs. For the 2019 budget, the Ministry has set the dollar rate at NOK 7.70, although the average price of dollars in 2018, according to DNB, was DKK 8.13. In fact, the average course was not a single month last year as low as NOK 7.70. Why is that important? Yes, because lower prices did not make the price tag for these arms purchases appear in the government's draft budget. I wonder why the Prime Minister has allowed the Minister of Defense to try himself as a currency strategist, and what really underlies the government's dollar calculation.
ParlaMint-NO_2019-05-08.ana.ud164e411	What underlies the government’s dollar calculations is the methodology established in 2012 by the red-green government through their external quality assurance system when the 2012 cost framework was adopted. It was then applied using a method that ensures the consistency and objective calculation of costs over time, so that they are comparable. That's the background because we've used it. The methodology has been used in this programme since 2012, and recommended by the external quality assurance authority when the red-green government went to the Stortinget and adopted this.
ParlaMint-NO_2019-05-08.ana.ud164e416	Audun Lighthouse – for follow-up questions.
ParlaMint-NO_2019-05-08.ana.ud164e421	What comes now from professional comments on this suggests that there is something the government should consider. So the effect is that the impression of budget deficits is dampened by something that seems to be a completely unrealistic price estimate. Let's get to what I think is a lot of questions, not least in the defense, because regardless of whether you're talking about a cost or not, there's every reason to talk about, when the governance targets are abandoned, regardless of what the Prime Minister calls it, the Storting is left with an uncovered bill of billions. Then it's time, not least before the Stortinget decides to order the last six planes, to hear how Erna Solberg intends to cover that bill. So we have great investment needs in the Army. We have a lot of investment needs in the Marine Defense. We have a long tradition of making large investments in the Defence that are not followed by sufficient appropriations for operation. Who is going to pay for the prize bomb the fighter planes have become – is it the Army, is it the Maritime Defense, or is there anyone else?
ParlaMint-NO_2019-05-08.ana.ud164e428	The government is presenting a new long-term plan that will show the investment portfolio in the future, the projects that have entered, practice and training, the dimensioning in the future. That's what we're going to provide for treatment in the next major session. That's the way it's now. I'm not going to guarantee that we'll be done, but the plan is that we should be able to present it in the next big session. All of these questions about what we have of space, what are cost increases, and what we're going to do for, for example. replacing the frigate, these concepts, is now out for investigation. So for the time being, we are keeping the cost framework established by the red-green government. We're using the same rules for the calculation of currency that were laid down by the Red-Green Government. Then I might think that the Light Bin would tone down the attempt to insinuate that we're kind of hiding something, hiding something or something. This government is going to propose increased defence budgets in the years to come, and fundamental in our defence concept is that we can keep control in an airspace. That's why fighter planes are so important.
ParlaMint-NO_2019-05-08.ana.ud164e435	Audun Lighthouse – for follow-up questions.
ParlaMint-NO_2019-05-08.ana.ud164e440	I insinuate nothing, but I ask the Prime Minister questions that it is difficult to get answers to, among other things. because I have asked the Minister of Defense to come to Stortinget and explain and he says no to that. At least he makes it the papers. I have not received an answer to the letter I sent. Then the prime minister almost has to get the same questions here. The point is that for years we have warned that what is happening could happen, that the bill is getting so high that there will be a major financing problem for the Defence for the rest. It is therefore of very political importance that we get on the table what this will actually cost, while there is still time to think about. There are only six planes left before Stortinget ordered all the 52, and then I think it is reasonable that Stortinget should know the price tag before the last decision is taken. I'd like to hear from the Prime Minister if she thinks that's the case. Because if what Bergen's Official Journal has written about the dollar rate is correct, the cost framework is also at risk. If so, does the Prime Minister believe that the last six planes should be ordered at any cost?
