ParlaMint-HR_2020-02-21-0.u181371	The next one will speak to a respected independent representative, Bruno Esich, here you go.
ParlaMint-HR_2020-02-21-0.u186972	Thank you, well-respected Vice President HS, respected secretary of state, director with associates, distinguished colleagues and colleagues. Here, it is before us today, so the proposal of the Law on Official Statistics, and at the very beginning, I want to point out that the Club of Representatives of the HDZ will support its adoption. In her opening statement, the State Secretary presented this law in a very exhaustive manner, let me repeat some of the most important elements once again. So, the Republic of Croatia's statistical system is producing impartial statistics on social and economic processes in society, while at the same time providing the necessary facts which are the basis for monitoring and analysing the situation and directing policies related to both the development of Croatian society and the economy and EU policies as a whole. We can therefore conclude that official statistics have one of the most important roles in a democratic society since we have heard the same from the opening presentation, the state, the economy and the public, providing objective and impartial information both in the economic, demographic, social, health and environmental conditions, and on activities or events that can be measured by statistical methods, and they ensure that the international obligations of the Republic of Croatia relating to the production of official statistics are met. Therefore, the reasons for the adoption of such a law are multiple, primarily in order to bring national and European statistical legal frameworks into line, to strengthen the coordination of the role of the State Statistics Institute, and to introduce simpler normative solutions, the organisation and functioning of the official statistics system of the Republic of Croatia. The importance of official statistics is of course reflected in the fact that all decisions, programmes and measures relevant to the economic development of the state are based on relevant and accessible statistics. Therefore, these data must be as credible as possible in order to make the best decisions to further develop an economic sector. Official statistics have long been collected according to the rules adopted by international organisations, and instructions and methodological manuals are drawn up for the collection and collection of data. Therefore, taking into account the need to introduce new measures and instruments, the harmonisation of the official statistics system of the Republic of Croatia with the European Statistical System of Adjustment to the European legal framework, and the need to introduce a simpler normative solution. The adoption of such a law is considered, of course, an optimal and necessary solution. What I would finally add and point out is that this law is also part of the action plan of the Republic of Croatia to join the European Course Mechanism 2 and the Banking Union and it will certainly strengthen both independence and reliability of the State Statistics Institute, which is one of the most important objectives. Thank you very much.
ParlaMint-HR_2020-02-21-0.u186973	Thank you very much, the next Club of Representatives is that GLAS on behalf of which will be spoken by respected representative Anka Mrak-Taritash, please.
ParlaMint-HR_2020-02-21-0.u186974	Thank you, well-respected Vice President HS, the respected secretary of state with associates, colleagues and colleagues. Like this, I could make a good morning's name, good morning, so I could count how many of us there are. It's always a big secret to me that some laws cause some, I don't want, some attention, some less attention, and then we say, well, it's afternoon, but this isn't a law that could be developed to discuss boys in the dresses they've been doing since Tuesday, Wednesday, when it's been published, so these builders who are free when it's been published, so we're all actually dealing with it, no newspapers, nothing. This is one law that should be important for the country, this is one law that really, regardless of what it is, there's not something that we can do right now, but it should be important for the country. The last law in this house was, was 2013 the last amendment, so for seven years we've been working under the same law, and now we're coming to 2020, my opening question is why did you decide to go into emergency procedures? Because I have to admit it too, too, to this great mystic, we have some laws that go into two readings, so it would be logical to make some changes when there are two or three articles, it could be in an emergency procedure, this is one law that seems to me, it deserves to go into two readings, but given the attention of all of us who got 'we' have one or two readings, dear God anyway, look at how many of us there are and how many of us are reported in the debate. Statistical data is extremely important and extremely important. They're important to be objective and impartial. It is important that all the time the data collected in Croatia be consistent with the e-statistic system or the European statistical system so as to call it for a simple reason to be comparable because according to certain statistics we compare and we need to be comparable there. I often talk from this pay phone, and I'm not that parliamentary representative of general practice so that I can talk about all things and I won't talk and I won't ever become one, but I'm talking about what seems to be important, that it's important and I'm talking and I'm going to talk about these statistics that are being collected in the context of something that is my education, as soon as I've dealt with and it's spatial planning. When you enter spatial planning, so when you start to deal with spatial planning, the first thing you pull, you extract statistics. The first data you need, you need data related to demographics, you get a number of things that talk about the communal equipment of certain parts of the city, certain parts of the country, tells you about some of the changes that have been made, tells you how many pensioners, how many children there are, how many employees there are, talk about how the structures of the employees change, how the structures of the sex are changed, so you can read absolutely and without any problem how much they need to develop one space. Somewhere in the last century, all the spatial plans that were and we have a long, long tradition of spatial planning, all the spatial plans always referred to 2000, 2000 was some mystical year like 2000, so that's all going to change. There were spatial plans that predicted that there would be a million inhabitants in Zagreb from 2000 to 2000, we didn't come to a million people, and in 2000 there was a year where there could have been anything in Croatia, so you compare some of the spatial plans and possibilities that were also the number of inhabitants, or for which the number of inhabitants were foreseen, then one of those very conservative methods, when all these spatial plans were edified, about 20 million inhabitants, we had construction areas in spatial plans and statistics showed something else. You can see from the statistics whether to plan an economic zone at all, because if there hasn't been an economy in that space in years, nothing, then it's a big question that you're planning for the economic zone. And that's why statistics are important. They're important that you compare yourself with someone else. Croatia as one of the 27 EU countries and here we are, of course, the youngest through this data, we can compare with someone else. We all remember very well the last census you had and the data you were about to provide, there a series of data that talk about the communal equipment of the space you live in. So you read a hell of a lot out of it. When a country is working on a strategy, its economic strategy, a strategy of its economic development that should be made for Croatia by 2030 with a perspective like Croatia in 2050, then you take statistics, statistics are some indicators, out of them very clearly and unequivocally, so I am that technical education, I love numbers because the figures show everything. The figures show you also the processes that were, the figures show you and how much money you have to invest for an area to reach some level and all of them use statistical data together. I asked the secretary of state about the office of the city of Zagreb not because I think that this office under every drop of blood should be kept, but in one part of my life I was at the head of a body in the city of Zagreb in which the office belonged and there were not 11 employees as it is now because I see that 11 employees take over, it was much more and I have to admit that it was years ago, I was very surprised, so it was an office that belonged to the Institute of Spatial Development of the City of Zagreb and then when I became the head of all that, then I say listen, what else and those who are dealing with statistics, but there's a reason, there was a good reason, they were giving you the information on which we based all the other things, they give you the information when you decide to go and decide to bring him to the purpose, then he gave you the information of what your communal equipment, which could be, so a series of good data. Two, two things I'd like more added, extra pointed, one thing is a leader. Here in the law, however, and in the opening statement, the State Secretary emphasized this professional independence, which, which must be, must be given by the head of the national statistical, national statistical office, so it would somehow be elemental, to put it this way, courtesy of 2020. It should really be that a man is led to be the wife of a man of professional independence, because in some places you can really name someone politically and in some places. But I always wonder if the principle of, say, some kind of physics agency would come from a man who doesn't know anything about it. I'm equally sure that the head of the office or the head of the office should be an absolute man who is highly independent, but you know well how they actually change here regardless of what we should talk about, what we should point to. There are two other things that I would like to point out, and that is this Committee on the System of Official Statistics of the Republic of Croatia. I'm careful, I went to read out who's there and now it's pretty wide and there's nothing that seems to be good to be. We had I think last week in the parliamentary procedure first reading the amendments and additions to the Law on national infrastructure of spatial data or indicators, that law passed in 2013 according to the speaker directive, these are certain spatial indicators that are being collected, the body that is in charge and which is the national contact point is the State Geodetic Authority. Maybe emergency procedures, so we can only make this one amendment, but maybe it was a place to talk about that body to someone being on the Committee on the System of Official Statistics, it could be just an improvement for a simple reason, because all the statistics that is, it's dry, it's numbers, but it's also related to a number of other data because they're collecting data, too, so that, if the data were comparable, it's not duplicated and everything else that needs to be, so that here in relation to that, given that you could go in an emergency procedure with only one amendment, so I might be very quick to my office and give that amendment, we don't think that it would upset us all of what it is, and in order for it to work out, with the operation, it would be extremely good. We from the GLAS Club will support this proposal of the Law on Official Statistics. That's the one order, that's the one group of technical laws that we can use and that we need and that can only help us, and that's how we need to discuss them, and that's how we need to sort of define them. In order for some things to be better, we could, but we need to distinguish that and we often do not distinguish between law and reality from this pay phone. But somehow I always get the feeling when it comes to statistics, we all talk about something, so we say it's this wrong or it's not so wrong, but we respect it neatly, and we use it neatly in everything we do next. Therefore, here is the conclusion, we will support this, this law, and it seems to us that it would be good if indeed in this Committee on the System of Official Statistics of the Republic of Croatia and being a representative of the state geodetic administration, it would be only good for you, not bad. Thank you.
ParlaMint-HR_2020-02-21-0.u186975	Thank you, we are moving on to an individual debate, the first should be the respected representative of Sasa Djujic, who is not there, who is losing his right to debate, and the next individual debate will be the respected representative of Ivan Suker.
ParlaMint-HR_2020-02-21-0.u186976	Thank you very much, Mr. Vice President HS, ma'am. State Secretary, ma'am. Head of the State Statistics Institute. I am truly sorry that we are no longer in the assembly today because we are talking about an extremely important topic, which is the Law on Official Statistics, because just take what we are this week, which were political debates and bickering, take just about the number of people left from the Republic of Croatia and this is not the process that has been happening in the last few months, in the last 2 years, it is a process that has happened since the entry into the EU, and it is certain that the State Statistics Office should do a statistical survey on what happened, why it happened, present it to the Croatian public, no one has the right to bid how many Croats have gone, how many Croats have not gone. Another thing, also those people who have left the Republic of Croatia still exercise some rights in the Republic of Croatia, so there are topics that simply do not suffer political debates and that may be why today there is not much debate on this subject. Statistics are facts, facts that are collected, which are subordinated to the processing methodology and are published as such. However, what is very important for the Republic of Croatia, and especially for the Statistical Office since the arrival of the Republic of Croatia in the EU, data processed and sent to Eurostat by the State Statistics Office are very important for the Republic of Croatia. On the one hand, on the basis of this data, we are achieving certain rights, certain benefits, but we are also creating certain obligations. And when you take the weight of both then you can talk about tens of billions of kunas because when you take what is the financial package of the Republic of Croatia in the seven-year financial envelope and when you take what are the obligations of the Republic of Croatia according to the budget, the central budget to say so, you will see that these are not negligible funds. And it could also happen to say Eurostat says simply the data of a particular country that has been delivered to us are not exactly accurate and puts you in, to say the least, in red and then what? And today we're discussing the State Statistics Office and this law is technically I agree with the lady here. Dark-Taritash. However, why did I answer for an individual debate? That's the topic I've been talking about in this assembly for years. So, what I want to say today clearly, your thinking and thinking, that the State Statistics Institute, above all, needs to be technically equipped and improved. The other thing is, statistics are specific knowledge, so I would even say a specific trade in economic science. Statistics aren't everyone's business. Statistics can only be dealt with by people who have learned it well, well learned, and not to speak for processing certain data, and they certainly need knowledge. Today life is very dynamic, events in the economy are very dynamic, and if people who process certain data do not have the opportunity to educate themselves, not only in Croatia, but also outside Croatia, then we simply, first of all, as parliamentary representatives, because you saw that, in the proposal for an amendment of the Committee on Finance, we are a provision that was in the bill of law, that the annual plan of statistical research brings the Government, we are an amendment unanimously, and an opposition and ruling that this programme of annual convocations would bring the Croatian Assembly. We simply and in such a way give meaning, and then we will adopt an annual report on HZS's work, and in such a way these documents get one additional power because one is when parliamentary representatives, no matter how much someone is educated, how much someone is interested, but when you look at this report, you will always find one segment that might refer to your region, might refer to what you are professionally dealing with, what you might want to discuss, why it is, why it is not. And even some statistical indicators can tell us whether certain funds that have been invested in a particular area from the budget, whether they have achieved the results that we wanted to achieve, have not achieved the results. So, one who reads between lines can read a lot and find a lot of interesting reading for himself. And that's why I'm sorry to hear about this law, and I'm afraid there's no discussion in the report in this House. And why is there no debate? Because you can't memorize the data, etc. but you can only tell the facts. That's all. The second thing, when you look at who's involved in this bill, so to speak, in the state statistics process, so to speak, the Republic of Croatia, then you'll see that these are the ministries that have a lot of financial resources from the state budget, that's the budget we're bringing here in HS. And then, who wants to take a closer look at certain statistical indicators, he will see if these funds are quite adequately spent, or perhaps those who manage it should think differently. And the pandan of that, the very important subject that delivers, so to speak, the data according to Brussels is the CNB. We've had a debate here last week on the new CNB Act, everything and everything we've heard, but simply the facts are facts, there are two institutions, roof, so to speak, even though by their status, so to speak, the position, HZS it's not, but the CNB is, which process it and send the data out. Data to which someone is measuring us because when we talk here about the deficit of the state budget, then very often we who are a little more concerned with these finances, then we are talking about the ESA methodology of this, the ESA, the ESA of this kind, the ESA 2010, and this is what someone in Brussels has laid down the rules on the basis of which the budget deficit of a country is accounted for. We use one modified form in Croatia, a little bit of one of our own stories, but Eurostat also knows when the HZS processes all the data and when it sends them up, with the data sent by the Ministry... And the CNB, then that's it. [[The speaker doesn't understand.]] Then no one here in Croatia or in this assembly can say, is that so. It can't be like that. Why? Because it is the verified data in Brussels. Recertified data from all international financial institutions. And now, here, tonight there is a big debate in Brussels, and Prime Minister Plenkovic is up there fighting for this one additional package that Croatia needs to get on the grounds that we are the last member to join the EU, and I sincerely hope that it will succeed, however, not certain data from the Bureau of Statistics, from the CNB, that until a certain point of view, our negotiators would therefore be headed by the Prime Minister and the Finance Minister, have no arguments that they are looking for something from a certain position. There is something else I have been talking about for years as a minister, I sincerely hope that someone will eventually process it, and that is how difficult it is in the Croatian budget, forgive me for the expression, the difficult, indirect and direct consequences of the war. So, according to some rough calculation, every year we put about 10 billion kuna into the Republic of Croatia's budget to cover the direct and indirect consequences of the war. And as time goes by, as some exercise rights, that amount may be higher and certainly not negligible data, which, above all, science will have to deal with because the consequences of the war aren't just, these, you have a series of industrial centres of the Republic of Croatia which, unfortunately, are practically gone. Let's take the closest of us here, Sisak and Karlovac, and not to mention the Vukovar he had in this economic area, there will be someone at one scientific level who will need to process what happened, these were the direct consequences of the war. The direct consequences of the disappearance of the former state market. So, I'm just here literally trying to put on some topics that can be discussed by wanting to point out the importance of the DZS and thus say that the head man of the DZS... A different status than a state official, and to us parliamentary representatives, very often, I hope that the website of the State Statistics Office in the future will look a little more beautiful and better, this site should also be the basis for us to prepare for the debate and that our discussions will be better and better whether it is a profession or not. [[The speaker doesn't understand.]] So, together with these proposed amendments to the amendments, with all the proposals that will be made when we discuss both the annual plan and the annual report and the desire to improve the material and educational status of employees in the Croatian Statistical Office, we will support this bill. Thank you very much.
ParlaMint-HR_2020-02-21-0.u186977	Thank you. He's the first respected representative of Lenart.
ParlaMint-HR_2020-02-21-0.u186978	Thank you. Dear colleague Shuker, you are right that the importance of the State Statistics Institute is very great for the Republic of Croatia because this statistical data is the basis for planning, for making strategies, for looking at what happened to be seen on which any movement was and this is what you said we should do research on how many people went. I think we should have done that already. And I think that the Institute of Statistics is certainly equipped, and I agree with you and the apparatus and personnel if they lack that it reacts faster, that the data is processed more quickly because the information and information that comes as soon as possible is more important for planning and planning the budget and for planning programmes in the ministries, means one foundation that is certainly chosen in Croatia. And since you're in the ruling coalition right now, make sure that this statistical office is As high-quality and as good as possible. [[Intruder: Thank you.]]
ParlaMint-HR_2020-02-21-0.u186979	The answer of the esteemed counsel Shucker.
ParlaMint-HR_2020-02-21-0.u186980	Thank you very much. This last sentence I especially love, colleague Lenart, we were once together in the ruling coalition. Therefore, it is not the ruling coalition that I see us here in the Croatian Parliament as responsible people and my debate was not in service of any coalition or anything but an attempt to encourage all of us to discuss certain indicators that are very important to all of us as citizens. So, it's me, my debate went that way. In no discussion who's like this, I could say what's been going on with the Bureau of Statistics since '13. Until '16, but it didn't occur to me to talk about it. Because that's just not what I'm interested in. We're talking about a new law today, and I think we should talk about what needs to happen today. Therefore, each and every one of you, not only by ruling the state budget, will have the opportunity to say that I believe that this position should be so and so. So, I think my debate went that way, I'm sorry if you understood otherwise.
ParlaMint-HR_2020-02-21-0.u186981	The next replica is the respected representative of Vlaovic.
ParlaMint-HR_2020-02-21-0.u186982	Thank you, Vice President. Dear counterpart Shuker, I agree with you that the accuracy of the data is statistical because they will also see as a defined framework for Croatia to invest in the European budget, as well as ultimately how much we will be able to withdraw funds and it is necessary for these data to be as accurate as possible. It is therefore important to strengthen the State Statistics Institute. But I answered the line to tell you from the angle of that data. They come from the field, from craftsmen, entrepreneurs, family farms. And often when you talk to them, you hear from them that they're too complicated things and that they're often bullied by the force of that data that they have to deliver and they need to come up with models to simplify it in order to have as fast as possible and as high-quality data as possible. And secondly, as you expect a man who deals with the production of milk to get 2 to 2.5 kuna for that liter of milk, there's no way he's going to live out of it, and then he's still good at filling the data and sending it in time. We need to design models first of all so people can live off their work, and then they'll be happy to fill out those forms... [[The speakers speak at the same time, of course.]]
ParlaMint-HR_2020-02-21-0.u186983	The answer of the esteemed counsel Shucker.
ParlaMint-HR_2020-02-21-0.u186984	My colleague Vlaovic, you were just like me, the head of the local self-government unit, you know well how to collect data. I've been trying to say here all along that statistics, data processing can't be politics or anything, it's a fact. So they have to figure out from year to year whether some things that aren't good happened, which are too complicated, that's why they can't get adequate data, so that's, but that's what I'm talking about, education. Education isn't just a professional education, education is to get information from the field, what you suggested, whether it's appropriate or not. So, education always goes into 2 measures, because if you only theoretically educate yourself, and you don't know how to apply it in practice, take how diverse Croatia is and you haven't done anything. So the concept of education is something much wider. And the concept of education is what you said. You can think in the office that the pattern is the best, but on the ground it's a disaster And what's the result, none. [[Intruder: Thank you.]]
ParlaMint-HR_2020-02-21-0.u186985	The next individual debate will be respected representatives of Grozdana Peric.
