ParlaMint-HR_2020-11-12-0.u9691	It is now up to Mr Domagoj Hajdukovic, who will be the SDP's position. Here you go.
ParlaMint-HR_2020-11-12-0.u9939	Thank you very much, Vice President. Dear colleagues and colleagues. Here today, on behalf of the Croatian Democratic Community Club, I will look back at the last session of the National Council for the Introduction of the euro, and the proposal for a National Change Plan for the Croatian Kuna with the euro which was sent yesterday via e-consultation to the web pages. One of the main objectives of the foreign policy of the Republic of Croatia was to join full membership of the EU and NATO alliance that has been fulfilled. On 1 July 2013, the Republic of Croatia then became 28 full members of the EU. However, Croatia has not yet completed its full affirmation of the European road. There is still the entry into Schengen which represents the space of free movement of people and goods without internal control with 22 other Member States, and the entry into the euro zone of the monetary union of 19 EU Member States that adopted the euro as their primary currency and the only legal means of payment. In May 2018, the government of the Republic of Croatia adopted a Decision establishing the National Council for the Introduction of the euro as an official currency in the Republic of Croatia. A key step in the process of introducing the euro is the entry of the Republic of Croatia into the European Course Mechanism in July this year, which followed the implementation of 19 measures under the action plan. Prime Minister Andrej Plenkovic announced at the 7th session of the National Council yesterday that the aim is to prepare everything necessary for the introduction of the euro from 1 January 2023, and the proposal for a national exchange plan for Croatia's kuna with the euro was also published through an e-consummation. However, as was the case with Croatia's entry into the EU and at this stage, the introduction of the euro as a legal means of payment there are those who oppose it. It is, of course, the legitimate right of every political option and of every individual. That is why, however, it is also necessary to highlight the benefits of EU membership and the reasons for the introduction of the euro. Let us imagine for a moment that Croatia is not a member of the European Union at the time of the greatest global crisis in the last hundred years caused by the Covid-19 pandemic. It would make it impossible to enter the EU internal market as well as access to EU funds. It is precisely thanks to EU membership that Croatia has available 24.2 billion euros in the next period, from a new generation fund of 10.6 billion euros, a multi-annual financial framework of 12.9 billion euros, and a Solidarity Fund of more than 684 million euros, and it would already have an additional 1.1 billion euros in the euro area from the European Stabilisation Mechanism for crisis financing. That is why it is necessary to highlight the advantages Croatia will achieve by entering the eurozone. The currency risk in the euro to which most of our citizens are exposed, but also companies will completely disappear. Debt will become more favourable, and international exchange with euro area members will be facilitated because there will be no need for frequent exchanges of kunas in the euro and vice versa. The resilience of the economy to the so-called economy will increase. external shocks, all of which will ultimately contribute to improving the business and investment climate. As I have already mentioned on the e-consultation web pages, the proposal for a national change plan for Croatia's kuna was published with the euro. The proposal provides that in the conversion process, the cash, prices and all other amounts expressed in kuna are to be converted into euro by applying the fixed conversion rate shown in full number. Banks will provide money exchange and kuna coins in euro within a year of the euro being introduced, while the Croatian National Bank will, without a time limit, exchange kunas in euro, and coins by the end of three years from the day of the introduction of the euro. It is important to mention that the proposal for a national plan provides that the conversion of kuna funds on bank accounts is currently carried out on the day of the introduction of the euro without compensation, while all kuna loans and loans with a euro currency clause will be considered euro loans, and the issue of their conversion will be regulated by the law governing the introduction of the euro into the Republic of Croatia. In front of us, colleagues and colleagues, there is a challenging intensive period until the introduction of the euro, and it is up to all of us to actively participate in this process through educational activities, to pass on all important information to citizens, and in particular to work on raising awareness of consumer protection measures and to control the implementation of the dual display of prices and pricing rules. Thank you very much.
ParlaMint-HR_2020-11-12-0.u10005	Now it's Mr. Nikola Bartulic's turn to speak or present the position of the House of Homeland Movement Representatives Club, please.
ParlaMint-HR_2020-11-12-0.u10006	Thank you, Mr. Vice President. I will use my five minutes to try to put into context, in the broader context of this topic of tax reform and in general what the Croatian budget looks like, so the structure of the budget itself. I think it's very important to repeat and underline some things. First, we need to be aware that the state as such does not create additional values, it simply takes through taxes and other charges from citizens and companies and according to its priorities then distributes that money. And in this process, if the state is as big in our case, I would say, huge, expensive, and all too present, I have the opportunity to almost daily determine both winners and losers. That's why we have this big problem, as much as we talk about equality before the law, equality, we're far from it. Because the state can, in fact, be a mother to some, and some stepmothers, unfortunately, and we're going to fight it, and the best way to reduce the abuse of leverage is to simply play a role in our lives in real economy, and we're going to stand up for it. So that's a prelude. Where do we see examples of what this looks like? Here, for example. through shipbuilding guarantees, billions and billions of kunas have been spent on state guarantees through this mechanism, for industries that are not actually competitive and we know that they do not make profits, i.e. profits on, say, made ships, so we encourage further such industries that have failed to adapt to market conditions in the world and the question is why all taxpayers would continue to finance it. It may be in someone's interest, but not in the general interest, it certainly isn't. We can only imagine anything that money could be spent. Furthermore, we have a case, I think this also shows the negligence of the state in spending taxpayers' money in Brussels, the Croatian government bought a building for our diplomacy even at the time of Vesna Pusic, today the building is empty. It's been empty for years, and in the meantime, the number of diplomats is growing, we've had the EU presidency, we're paying rent monthly, according to my knowledge, about 30,000 euros a month is paying rent for our diplomacy needs, and this whole time there's an empty building that's been bought. So this is one small indicator to which the state is not responsible for spending public money. What could be spent on, here I am now, since I am in the Parliament often getting requests and letters from citizens, among other things there is one headquarters down in Dalmatia, Split, the Centre for Fair Compensation in Split from a catastrophic fire that broke out there in 2017. Over 900 families are still waiting in from the state to respond to their justified demands, estimated damage from the state commission of over 130 million kuna. We remember that fire even at one point threatened Split. Thank God nobody got hurt, but there's a lot of damage to these people's property and there's no answer from the state. Here I promised them I'd try to talk about it in public, but through these examples we see how certain, unfortunately, mother spends money in an irresponsible way, and others she's a stepmom. So we're away from equality. Thank you.
ParlaMint-HR_2020-11-12-0.u10007	Thank you, too. Mr. Miro Bulj will present the position of the Club of Representatives of Independent Lists. Here you go.
ParlaMint-HR_2020-11-12-0.u10061	Thank you very much. Today, November 12th marks the 100th anniversary of the conclusion of the Rapal Treaty between the Kingdom of Italy and the Kingdom of SHS led by Peter First Karadjordjevic, the king. After World War I, Italy grabbed Croatia's Istria, Zadar and part of Croatia's and Dalmatian islands. It is little known that even before the Rapal Treaty, so immediately after World War I, Italy occupied the Croatian coast, and only then entered the negotiations on demarcation. My colleagues, the Rapal Treaty, was the grab of Croatian territory, land and sea, and these are historical facts. Today, 100 years since the Rapal Treaty in the Italian Parliament, procedures and initiatives to declare an Italian exclusive economic belt to be discussed with applause from Italian lawmakers. That's what our media space is about with rare exceptions. It's not written, it's not talked about, it's a vow of silence. In particular, our Government of the Republic of Croatia has no courage to declare a Croatian exclusive economic belt on the Adriatic to protect its sovereign rights of economic, economic and ecological interests. For years we have watched from Italy different provocations and our government and diplomacy are constantly and effectively silent. Let us remember Tajani, a friend of Plenkovic, who spoke fascistly as President of the European Parliament about Italian Istria and Italian Dalmatia belonging to Italy. Gentlemen of the majority, have these light assemblies blinded you so much that you don't even see what's going on? Why don't you protect Croatia's national interests and sovereign rights of Croatia while we still have time to protect sovereign rights, economic and economic in our territory? The sea is the territory of the Republic of Croatia, twice MOST has made a proposal in this assembly, this home, you have refused them to court the fascist Tajani and their interests, while representatives in the Italian assembly protect their economic and economic interests at the expense of Croatia, Croatian territory and the Croatian people. I call you once again, and we have made this proposal, MOST has given it twice, you have refused, I call you for the people, for the interests of economic, economic and environmental, let us not court the Italians, nor anyone else, we exercise our international right, we declare the IGP on the Adriatic.
ParlaMint-HR_2020-11-12-0.u10101	Now it is Mr. Silvano Hrelja's turn that will be the position of the Club of Representatives of HSS and HSU. Here you go.
ParlaMint-HR_2020-11-12-0.u10102	Dear Mr. Vice President, colleagues and colleagues. I wish all pensioners had more than 3,000 kunas when they retire and then shouldn't talk or should talk less about the work of the pensioners, about life in poverty, etc. Unfortunately, it is not so, not everyone was fortunate to have had good employers, high contributions to them, that they had experienced years of retirement but had to go either to disability or family, etc. And when I talk about it, I always think about it in the context of filling and emptying the budget. Therefore, those who were formerly chargers of the budget through their contributions and taxes become beneficiaries of the budget. I got a picture in my head like you're standing on a bridge and you see a river coming and going. Now that coming of the river means, which makes every kuna, every drop does that river, it comes through contributions, through excise duties, through taxes and through others, and it goes to social benefits, pensions, health insurance, projects, etc., so I'm experiencing it. And then I feel like we're not doing enough or picking up what we have a chance to pick up. And you know for yourself, the second picture I want you to tell you and the grapes you have to tie up, grow the vine, nurse, pick up to get, get the wine. So if you missed it somewhere, you won't get it. And never, and not even though he welcomes some initiatives from the Ministry of Labour that will still liberalize the work of the pensioners, it's not coercion, gentlemen colleagues and fellow pensioners, no one makes you, God forbid you don't have to, that you don't have to do, but there are those who need it and there are those who want it, they want to stay as long in the world of work, be valuable, earn and prove themselves. It is our job here to give everyone the opportunity to work, not to bring discriminatory, discriminatory laws that enable one, and not allow the other. You know why, I mean, we were afraid in 2014, so we were afraid again in 2018 that the pensioners would be competitive for the workers, we were talking about 100,000 pensioners who would work, at the end of all these years working around 13,000, there's no competition, there's no risk of jobs, there's a need for even more work of pensioners. I'm asking you why shouldn't the users of the lowest pensions, who have the lowest incomes be able to work? They can theoretically work, but then retirement pensions for what they really used to pay and they have to earn their money that they usually receive every month. Just let them have that supplement on the lowest pension of 300-400 kuna, so it'll pay you back through the contribution because they'll have a labor contract, through a health or pension contribution. So why do you have family pensions? They're usually women who left at 50, 55. in retirement, why can't they, they can't do something and make money, and there's needs, there's needs because they have low incomes, family on their backs? Not because says family users can be children. So turn the kids off. Tell the law that it can't apply to children. Why can't disabled pensions work? He says they are, they have disability. But my people, some of them retired because their disability pension because the employer couldn't provide them with an adequate job, which doesn't mean they have a complete loss of their ability. They have a job loss compared to the job assessment, for others they do not have to be disabled. Why don't you let them? Leave them with that disability pension because what they earn through work will bring you taxes, health benefits and pension benefits, so they pay themselves what you gave them as a little bit more because they're in that pension. According to special regulations, one can work, one can't work, but see what's wrong with special regulations. That they work and pay taxes and contribute to them will not increase pensions because they already have a pension under special regulations. Therefore, everything they pay out of, from contributions to health care and pension goes to the Minister of Finance to make pension payments available to everyone, to everyone else because they will never get a bigger pension. I want you to think about this, colleagues and colleagues.
ParlaMint-HR_2020-11-12-0.u10103	Thank you, too.
ParlaMint-HR_2020-11-12-0.u12420	Thank you, thank you. Honorable MPs, Your Honor, I wish you a good morning. Before we move to today's debate, the Committee on Finance and the State Budget proposed on the basis of Article 247. Rules of Procedure of the Croatian Parliament to conduct a united debate on the following 4 points: - Proposal for a Law on Amendments and Supplements to the Law on Value Added Tax, First Reading, P.Z.E. No.55 - Proposal for a Law amending and supplementing the Law on profit tax, first reading, P.Z. No. 56 - Proposal for a Law on Amendments and Supplements to the Income Tax Act, P.Z. No. 57 i - Proposal for a Law amending the Law on fiscalisation in cash, first reading, P.Z. No. 58 Do we agree with that proposal? If there are no objections, we move to a united discussion of the proposed points. My fellow coat of arms, here you go.
ParlaMint-HR_2020-11-12-0.u12421	Thank you, Your Honor. Dear colleagues and colleagues, the Deputy Prime Minister, on behalf of the Club of Representatives of the SDP, I request a five-minute break in order to further consult on this tax reform. The objective of each tax system should be to ensure the normal functioning of the state, to ensure that the state and other public authorities such as the units of local self-government have sufficient income to provide funds for the regular operation of their operations. When we talk about local self-government units, first of all about education, health care, social care, but also about maintaining municipal infrastructure. Unfortunately, this proposal for tax reform, especially in the section relating to income tax, is seriously questioning the possibility of units of local self-government doing what is their duty. Unlike Croatia, Spain or Canada have set out in a different direction, and it is also a recommendation from the International Monetary Fund. Instead of reducing the tax to the richest recommendations, it is precisely additional taxation of the richest in society to be the cornerstone of economic recovery and economic recovery from the crown of the crisis. We're going the other way. We reduce their income to the bodies of public authorities, we prevent them from doing their duty at a time of health and economic crisis, and on the other hand we encourage inequality in society. Tax reform in the income tax section is given only to the richest. Those who have an average salary of 5 to 6,000 kuna will get crumbs, those who have a net average wage, we who are sitting in this house today will get a lot of money, we will get 1,000 or more kuna It's not good for respected colleagues and colleagues and we can't support it. [[Intruder: Thank you.]]
ParlaMint-HR_2020-11-12-0.u12422	Thank you. The apartment will be approved. Now we're going to a second request for a break, it's a respected colleague of Anka Dark Taritash's. Here you go.
ParlaMint-HR_2020-11-12-0.u12423	Thank you very much, dear President of the Croatian Parliament. I was actually waving because I wanted to ask if it was a deal to be discussed on behalf of the club for 15 minutes and it's about four laws, but once you've seen me, I'm going to use this time anyway and say that on behalf of our club I'm looking for a break because my colleague Grbin said 5 minutes and we've had enough 5 minutes, but we want to stress one other thing. What is really necessary for Croatia's state is reform, no matter how corny the word is. Minister Maric is trying to go into 5 rounds of these tax reforms, but regarding reforms related to units of local self-government or decentralisation where it really is about 2 billion kunas that they will get into the budget less, it is roughly so calculated that it points to something else. If we want to have real decentralisation, then it has to be decentralisation from the funds. So these units of local self-government are again bound to the state, again it's the state where they have to report it, of course, I stress this balancing fund, it's again the state that's going to decide how much they're going to give them, and there's not going to be any progress and we're going around. So the state cannot be the mother that they then appear and pray for help, but we really need to make sure that we actually enter into real reform. This means our system of municipalities and cities that we will certainly not enter now, and we all know that because we are already in the stage of preparations for local elections, but what needs to be made possible is that they have the means to manage, not that they have to report to the state every time. Thank you very much.
ParlaMint-HR_2020-11-12-0.u12424	Thank you. I didn't get to that, so the clubs on what I'm proposing would speak for 15 minutes, leaving the proposer for 20 minutes, individually 5. So now the clubs have the opportunity to place more emphasis on what you think is important. Let's move on now, the third request for a break will be explained by a respected colleague, Davor Dretar. Here you go.
ParlaMint-HR_2020-11-12-0.u12425	Thank you very much. Good morning, everyone, here on behalf of the House of Homeland Movement Representatives Club, I'm also looking for a break of 10 minutes. Thank you for raising the debate on behalf of the club for 15 minutes, but we are still looking for a break, we are aware that these four laws are extremely important to us here in the Croatian House in the Croatian Parliament as well as to all the citizens of the Republic of Croatia. It is only a proposal to amend the law on fiscalisation in cash that we could discuss here all day long because there are major problems for small OPGs that will be forced or forced by legal measures or proposed measures to introduce models or devices that will enable them to fiscalise their sales on the already popular dairy, egg and so on. We talked to these people, they mostly have old devices, they bought used devices, they don't have money, and it's very difficult for them to get into these old devices now, and they have to go into the additional investment of the installation, or to say, in Croatia, the addition of these devices to this fiscalization level, or they're going to have to buy new devices, and they're consciously going to have to go into one big cost that's for a small OPG, so let's say it's almost impossible to carry out. So, on that behalf and on behalf of all of us who think that we need to talk a lot and a lot more about changes in tax policy in Croatia, I am asking for a break of at least 10 minutes. Thank you.
ParlaMint-HR_2020-11-12-0.u12426	The apartment will be approved. We are also going to the 4th explanation of the break, a respected colleague of Grozdana Perić. Here you go.
ParlaMint-HR_2020-11-12-0.u12427	Thank you very much, Your Honor. On behalf of the HDZ Club, we would once again like to establish and demand a break from all these measures and the 5th round of tax reform, which proves that despite the problems that arise in the world economy, this government is trying to continue to take care of how many citizens' incomes are and how to relieve entrepreneurs. Let us not forget that otherwise the minimum or non-taxable income is increased from 2,600 to 4,000 kuna. The minimum wage has also been raised, also when you look at local self-government units in the proposal so far as planned for 1.1.2021 that their incomes will rise from 60% to 74% of income tax, so 20% of them increase their original incomes which they will have to take good care of. It is also very important to say how much the tax system is simplified and this way takes care of all layers and tries to stimulate and attract investors and thus ensure a quality, stable working environment in which all will be able to achieve appropriate income for appropriate work.
ParlaMint-HR_2020-11-12-0.u12428	Thank you, the break will be approved. It is now the 5th request for a break, explained by a respected counterpart, Hrvoje Zekanovic. Here you go.
ParlaMint-HR_2020-11-12-0.u12429	President-in-Office of the Croatian Government, the esteemed Vice President of the Croatian Government. We are talking about tax reform, but today we will not talk about non-taxable donations or parafiscal impositions. What you know is that every entrepreneur may be even more burdened with his business, just hundreds and hundreds of charges we won't talk about today. When I last spring told the Prime Minister about this and warned him of an extremely large financial burden from a number of fiscal charges and told him there were 460, he laughed and said there were 600 you miscounted. So today we have about 600 parafiscal burdens of non-taxable giving that chokes every entrepreneur. I don't know if you're familiar with this. Have you ever been able to study this entire list and take a look at it? Have you sat down with your associates, with your head of government and discussed that these non-taxable duties should be abolished, reduced, to make life easier for Croatian citizens and, of course, business for Croatian entrepreneurs? I would like this topic to come to the agenda as soon as possible, because through tax reform alone, through the disbursement of salaries that I think is not enough, that it is not enough that we will not get the effect that we should get, which is that the standard of Croatian citizens is growing and that entrepreneurs work more easily in our homeland.
ParlaMint-HR_2020-11-12-0.u12430	Stanka will be approved to you, too. Is there another club on the way? If not, we'll continue at 9.55. It's 9:42 a.m. [[CONTINUATION AFTER 9:56 AM]] So we're going to a united discussion of the proposed points. The proposer of these legislative proposals shall be the Government of the Republic of Croatia pursuant to Article 85. The Constitution and Article 172. Rules of Procedure of the Croatian Parliament. When discussing these items of the agenda, the provisions of the Rules of Procedure relating to first reading of the law shall apply. The debate was conducted by the Committee on Law and the Committee on Finance and the State Budget. I would now like to ask the motionary's representative to give an additional explanation. I welcome the Deputy Prime Minister and Minister of Finance of the Honorable Zdravko Maric, please.
