ParlaMint-HR_2020-11-05-0.u9682	Mrs Barbara Antolic Vupora will be the position of the SDP Representatives' Club.
ParlaMint-HR_2020-11-05-0.u9996	The Honorable Chairman, the esteemed colleagues and fellow MPs. Today, I would like to point out manipulations of the avoidance of the responsibility of Transport Minister Oleg Butkovic in the event of a problem that Croatian road transporters face for months. As I cited on Tuesday asking the parliamentary question, Minister Butkovic has been refusing to discuss with representatives of the Croatian Road Transport Organisation for 4 months, limiting the transport of carriers through border crossings with the Republic of Slovenia. I asked Minister Butkovic at the time why he did not want to receive representatives of the Association and talk to them about the problem that many carriers have thrown on their knees. Instead of facing his own responsibility, he called me and the Association for Telling Lies, stating that he had received representatives of the Association 10 days ago at a meeting to discuss the transport of freight vehicles in winter conditions and the work of the winter service. Therefore, the topic of the meeting was not in general a burning problem of crossing the border, so there is clear what Butkovic's response is just a simple attempt to manipulate with the aim of discrediting its critics. Now obviously something is happening around the border crossings to this latest minister's attempt to deceive the public and spread the untruth has responded both to the spot and to the named Croatian road transporter association. They said by answering my parliamentary question, Minister Butkovic questioned his own credibility because the direct question referred to in a clear context corresponds to the claim that he held a meeting, though on some completely different topics. I repeat the last meeting was held on 1 July 2020, so 4 months ago. During that period, ministers are.../incomprehensible/... association of written and oral requests. All of these requests were made by Minister Butkovic, the association did not show up until today, but he was ready to call for a meeting on another topic, the one on winter traffic conditions. The theme of borders is not even mentioned. They noted those who are better understood in this issue that, in further exposure, Minister Butkovic avoids concrete answers to a concrete question, trying to camuflate with facts he believes are sufficient proof of the ministry's support. So for the second time on the issue of cross-border freight traffic issues, we gave the transporters a refund, we freed them from CEMT payments, we helped them. It wants to create the impression that the carriers received everything they asked for and that the discrimination suffered by central Croatian carriers from Slavonia for 15 months is therefore a completely secondary problem. Why do they turn their backs on the landowners and residents who have suffered so much in the Homeland War? The same people who stayed in Croatia, built their companies, hired people, strengthened the Croatian economy. Why are these people being driven to ruin? The real truth is what this state is unsustainable and unacceptable. The summary of everything I'm talking about is next, Minister Butkovic has been avoiding talking for 4 months about limiting the traffic of Croatian carriers through border crossings with Slovenia. At the same time, however, the minister finds time to organise meetings on winter conditions on the roads and gives additional blow to carriers by allowing unfair competition to enter. On Tuesday, November 3rd, carriers found out that the proposal to amend the Transport Act on road transport was made public. The amendments intend to abolish the obligation of the licence for vehicles above 12 tonnes by carriers carrying out their transport for their own purposes. The explanation is that it created unexpected costs and business problems for entrepreneurs. In the second year of application of this legislative provision, has it been established that the misuse of transport has been reduced for its own use and that the system of public transport of cargo has been so improved that there is no need for legal regulations anymore. Let's be honest, it's a public secret that transport for its own needs by vehicles above 12 tons is being dragged into the market as a school example of unfair competition. Without any regulation and without any obligation imposed on licensed carriers carrying out public transport. And while we are talking about boundaries and problems that could be solved by the joint response of the Prime Minister and the Prime Minister rather than by creating a healthy entrepreneurial climate, one's private interests are more important. I therefore publicly appeal once again to Minister Butkovic to respond to the invitation of the Association of Croatian Road Transporters to a constructive conversation, to take concrete measures in negotiations with the Slovenian side and to give a clear answer to the following questions. For what reason could the transport of carriers from certain parts of Croatia, Dalmatia and the north be agreed within only 2 months while the rest of the carriers from central Croatia and Slavonia have been on the sidelines for 15 months? Which is why some other topics could be discussed 10 days ago, and this burning topic has not been discussed for 4 months. Thank you very much.
ParlaMint-HR_2020-11-05-0.u9997	Thank you, too. Thank you very much. 13 hours in a few seconds and we're going to apply for a position on behalf of a representative club, an independent representative. The first is the bridge to be represented by Mr Marin Miletic. Here you go.
ParlaMint-HR_2020-11-05-0.u10051	Dear Vice President of the Croatian Parliament, Mr. Radin, Mr. Bukarica, distinguished colleagues and colleagues. I want to talk to you today about the waste burner. I want to talk to you about some of the most fundamental human rights, the right to clean air, the right to a healthy life. We in Rijeka, the Primorje-Gorski County have extensive experience in shortening these rights as well as experience of everyday functioning in pollution and smell. Unfortunately, a lot of things smelled and smelled in our neighborhood. Sometimes Koksara in Bakre, so the refinery of Mlako, the Refinery of Kostrena, sometimes the windows of the river were not allowed to open because of the smell. Now they want us back in those times and Rijeka, even the Chabar as we hear turn into a waste burning centre in this part of Europe where the Italians are supposed to come to the heart of Gorski Kotar to burn their waste. It's not just the smell here. Such and similar industries lead to a drastic fall in real estate prices. Here's an example of Marcella where no one today wants to buy an apartment or a house for the smell of Marisca and poison coming from a local county waste management centre keeps people closed up all year long, and if someone does, then they get their stomachs up. On the other hand, the U.S. situation isn't great either. The tourism of Medulin and the health of people from Kastion are at risk. Imagine now all the people who bought apartments and houses in Sušačka Draga, Gornji and Donjo Vežica, Svilno, Krimei, Trsata, and besides their collapse the prices of real estate are at risk and their health. Parties who swear they want to be green parties, parties that allegedly deal with green policies, parties that say we need Green New Deal to do what they're doing? We're being pushed by missed waste management methods, so after Marisca, they're now trying to trick us into a waste burner. And that the genius of this idea would be more pronounced in the garbage burner would be built in Sušačka Draga in a boiler in a waterproof area, I will repeat in a boiler in a waterproof area, people of Gornja and Donja Vežice, Sušačka Draga, Sušak, Trsata, Bakra, Kostrena have the right to clean air, Rijeka has the right to clean water. Pushing today on the threshold of 21st year, the garbage burner is very irresponsible to nature and to people. One Danish leader of the social and ecologically-aware state is shutting down her burner. Denmark is as far ahead of us in technology as in corruption, whether we're going to go with vision and strategy forward or to go from state's most modern to forward and turn to circular waste management, which we're doing, some missed concepts that were being built but when, 30 years ago, 40 years ago. That's enough. We know how Mariscina ended. I've spoken here many times on the subject. For those not referred to in the problem, why not burner, not respecting the European directive, the hierarchy of waste management is ignored, quality composting should be built in Rijeka, recycling stimulated, no energy cost-effectiveness. The most important argument promoter of this burner is the exploitation of waste for energy production. That's where we get the absurd. If the same elements of waste were to recycle the energy they would save from extracting new raw materials from nature is greater than the energy we get from burning. This project has no financial viability, this is an expensive project, the estimated value is EUR 30 million for the amount of 30,000 tonnes of waste per year, and to build a biogas plant for which we stand, which would handle the same 30,000 biowaste annually would require EUR 2.5 million. Let's stop acting like drunk millionaires, be responsible for taxpayers' money. The burners are major contaminants. For the same amount of energy, the garbage burner will release 10 times more poisons and a health-destructive project compared to the coal thermal power plant. Very toxic gases of dioxins and furans are created, responsible authorities must behave responsibly And that's why we're gonna do everything we can to make sure the firehouse doesn't come to the river. [[Intruder: Thank you.]]
ParlaMint-HR_2020-11-05-0.u10052	Thank you very much, thank you.
ParlaMint-HR_2020-11-05-0.u10857	I welcome all MPs and MPs, good morning. Today: - Proposed amendments and additions to the State budget of the Republic of Croatia for 2020 and projections for 2021 and 2022, together with the proposal for amendments and addition of the State budget for 2020 and projection for 2021 and 2022, the proposals for amending and supplementing the financial plans of extra budget users for 2020 and the projection of plans for 2021 and 2022 with an explanation for: - Croatian waters, - Croatian roads, - Centre for restructuring and sales, - Environmental Protection and Energy Efficiency, - State Agency for the establishment of savings roles and recovery of banks, - HZZO, - Croatian highways, - Autoroads Rijeka-Zagreb, - HZHZ Travel Transport, - HZ Infrastructure. The proposal is proposed by the Government of the Republic of Croatia on the basis of Article 1(1) of the Treaty on the The Constitution of the Republic of Croatia and of the Budget law and Art. 211. Rules of Procedure of the Croatian Parliament. In the case of the adoption of the State budget, the provisions of Article 2 shall apply. 211 and 212. The Rules of Procedure of the HS, amendments may be submitted by the end of the debate in accordance with Article 1(2). 197. Rules of Procedure. The debate was conducted by the Committee on Law, the Committee on Finance and the State Budget, the Committee on Maritime Affairs, Transport and Infrastructure, the Committee on Health and Social Policy, the Committee on Defence, the Committee on Local and Regional (regional) Self-Government, the Committee on Environment and Nature, the Committee on Agriculture. I remind you that. 38. The budget law according to which any amendments and additions adopted by the Parliament through amendments to the proposed state budget and projections shall not exceed the amount of the permitted lack of state budget and projections. During the debate on the State Budget Proposal and projections, amendments proposed to increase budgetary expenditure and expenditure above the amounts set out in the proposal for a state budget and projection may be adopted provided that other expenditures and expenditures are reduced simultaneously in a specific part of the budget. The amendments referred to above shall not be on the burden of the budgetary stock or on the burden of additional borrowing. With this in mind, I warn that only those amendments submitted and drawn up under the Budget Law will be sent to the parliamentary procedure. Art. 212. The Rules of Procedure set out that amendments and the budget tabled cannot be voted upon before three days of the day of the debate, so here I immediately announce that Tuesday we will discuss the amendments, and Wednesday we will vote on budget rebalancing. I would now ask the Prime Minister, Andrej Plenkovic, to further explain the proposal to amend and supplement the state budget. But before that, a colleague named Peja Grbin appeared. Here you go.
ParlaMint-HR_2020-11-05-0.u10858	Thank you, Mr. President of the SS. In accordance with the provisions of the Rules of Procedure on the work of the HS on behalf of the Club of Representatives of the SDP, I request a 10-minute recess so that the club of representatives can be further prepared for the current debate, and in light of the decisions of today's meeting of the Government of the Republic of Croatia, but also recommendations of the Commission for Fiscal Policy. In fact, we will now discuss the rebalancing of the 2020 budget, which is closely related to the changes that the government has announced today, but also to the budget for the next 2021. However, the Commission for Fiscal Policy has questioned the sustainability of the announced tax reform. Since this tax reform is the basis for both the budget and budget rebalancing, we at the SDP Representatives' Club are asking whether the government even knows what it is doing? On the one hand, the announced tax reform will lead to a sharp growth of inequality in Croatian society because it will give the largest asset to the richest in our society. 20, 30 thousand with top salaries will achieve the biggest benefit of tax reform, and most citizens and citizens of this country will get nothing. However, as the Commission for Fiscal Policy suggests, such tax reform will lead to a serious problem of non-functioning, both state and local self-government units. Such tax reform also calls into question the sustainability of the 2020 budget rebalancing, which we will now discuss, but also the 2021 budget. That is why we need to consult further, but we are also calling on the government to reconsider what it has said today so that Croatia does not put itself in a worse position than what it is in today. Thank you.
ParlaMint-HR_2020-11-05-0.u10859	The apartment will be approved, of course. Is anyone else picking up? Comrade Bačić, here you go.
ParlaMint-HR_2020-11-05-0.u10860	Thank you, Mr. President. On behalf of the HDZ Representatives Club, I am also looking for a break in order to point out once again that this budget rebalancing enables us to fight effectively on the one hand the Aaron of the Virus, and on the other hand full support for Croatian business owners to preserve jobs, to maintain the liquidity of Croatian entrepreneurs and on the third hand to continue their business activities. It is clear from the budget rebalance that at the beginning of the crown of the crisis we have set ourselves right towards the fight, against this crisis and in a way that we have fully raised the health system to the highest possible level, and on the other hand that we have made it possible, with one massive support of 8, over 8 billion kuna, to the functioning of the Croatian economy, and this rebalancing can be seen first of all. Furthermore, what is important to say is that in the announced, announced fifth round of tax reform despite this state budget, the government of the Republic of Croatia has found opportunities to increase wages for Croatian workers. It should also be said that nearly 2 million Croatian taxpayers were freed from earlier tax reforms during the government of Andrej Plenkovic from income tax scissors. Therefore, all those whom the Croatian government has made possible by earlier tax reform not to pay income tax now go one more step further and release Croatian taxpayers on income, which contributes to an increase in wages. At the same time other compensatory measures We will allow units of local self-government not to be reduced to budgets. [[Intruder: Thank you.]] Thank you.
ParlaMint-HR_2020-11-05-0.u10861	Thank you very much. The apartment will be approved. You're looking for a breach of the Rules of Procedure? Here you go.
ParlaMint-HR_2020-11-05-0.u10862	Thank you very much, President. Dear counterpart Bačić hurt Article 238 because he keeps saying that in Croatia the government has allowed honey and milk to flow, but he forgot to say in the end that the people only need to get two barrels, one for honey, one for milk. Thank you very much.
ParlaMint-HR_2020-11-05-0.u10863	And a barrel of warning for you. Well, this isn't a breach of the Rules of Procedure, this one's nothing. Is there anyone else? No, then we'll continue at 10 o'clock and 20 minutes. It's 10:00. 10 o'clock. [[CONTINUATION AFTER THE MEETING IN 10.20 HOURS]] I ask you to take your seats and call on the now respected Prime Minister, Andrej Plenkovic, to address us first and present the budget rebalancing. Here you go.
