ParlaMint-HR_2020-11-13-0.u9694	- Mrs. Crescent. Andreja Maric will be the position of the SDP Representatives' Club. Here you go.
ParlaMint-HR_2020-11-13-0.u14179	Thank you, Vice President. Dear MPs and representatives, before us as well as the chairman, the amendments and additions to the Final Proposal of the Law on Amendments and Supplements of the Insurance Act have been laid down, otherwise only in the introduction of the Insurance Act, the conditions for the establishment, operation and termination of the Insurance Society, the Reinsurance Society and the mutual insurance companies have been laid down. So, practically this law regulates the insurance market in the Republic of Croatia. This proposal actually transposes the EU directive and harmonizes with the EU acquis. What is most important is the application and modification of the provision relating to volatility adjustment to non-risk interest rates, so the change of existing 100 base points to 85, I will explain to you a little later, also the obligation to inform the European Insurance Supervisor and Occupational Pensions Supervisory Authority as a supervisory mechanism which actually refers to all, the notification of any use or change requirements within the risk assessment model as well as the powers of the said body or the shortened EIOPA to provide technical support to the internal models. Furthermore, we also introduce an obligation to inform EIOPA and the supervisory authority of the host Member State concerned, with us being the HANFA supervisory authority and regulatory in the issuing of the company’s work authorisation, on the insurance of these companies, on reassurance and on whose part of the activity is based on the freedom to provide services or freedom of business established in another Member State and the last amendment is, in fact, the possibility of setting up a cooperation platform which should contribute to the quality of information that the host Member State’s competent authority has in the areas of that Member State of providing services. These amendments and directives came into force in January of this year, and in the final proposal, we are on an urgent procedure in view of the scope of the amendment itself, as well as the obligation to forward this as soon as possible to legislation, given the crisis that has been and the disbanding of the assembly, this is the right way to make it possible for our insurance companies and these proposed changes. So, as far as the most important changes here continue as we had in the past few weeks and years after the financial crisis since 2008, there has been an increase in actual regulation in order to ensure that not only Croatian citizens but also EU citizens are more secure in the area of the financial market in order to avoid those financial crises as well as here, we enable and insurance companies of course and through previous changes we have done and transposed them first and foremost refers to the Solvency II framework, but we want to enable these insurance companies to increase and liquidity in fact through the reduction of these base points directly related to technical reserves. You have a non-risk interest rate as a rate estimated at non-risk investments that are most often government bonds actually and it determines us, the value of future assets or consumption is now estimated against the value of the current one. And to that, in fact, alone, what's called the offering counts as that non-risk interest rate plus the risk premium. These base points are directly applied to technical reserves that are for non-life insurance, for life insurance we have mathematical reserves. The amount of technical provisions goes up to 80%, or I think last year there was over 67% of the total assets of insurance companies, and that actually says how much they must have secured funds for their business, for their further investments, for their placements, for all the premiums they charge. By reducing this base base base and applying these actuarial calculations, we are actually enabling the situation to affect the time range and the risk-free interest rate itself that when other risks are present such as this Covid crisis that by reducing this base base, it actually enables greater liquidity and more resources to remain insurance companies for investment that are, of course, not only in government bonds where we have it over 2/3, but there are investments in real estate, investment in other investments, etc. which would actually make one additional injection into the economy itself. So, it's actually the most important change where it counts that time-absect depending on what the non-risk rate itself is, the smaller the reserves themselves are bigger and thus we influence alone, on the placement or the possibility of using the funds themselves in those reserves. What I would also point out is that at present in the Republic of Croatia no society is using this adjustment, but so far, but with this and that introduction of this notion of volatility, therefore, given the circumstances, we may think that even after the adoption of this law here, it will also be possible to take into account the market that it is. I thank you for your attention and remain open to all possible questions.
ParlaMint-HR_2020-11-13-0.u14180	Thank you very much. You have as much as I can see two replicas. The first replica was sought by Mr. Miro Bulj.
ParlaMint-HR_2020-11-13-0.u14181	Thank you very much. Dear Secretary, here is the only thing we do constantly, here we are talking about directives, regulations allegedly strengthening in this case insurance companies, calling for a European acquis, and constantly doing so, although I would have triangulated the Croatian Parliament to run a lot of things, not just to adopt regulations and directives that are not respected, for example, and you know that you were also a parliamentary representative of the RBA Law savings on credit cooperatives that we brought here about the nullity of credits of these illegals with international features and you voted for that law. You, as executive authority, don't respect that law. People who, in RBA, have been spared credit co-operatives, literally touched by those who have launched behind the law, also the trials of the court are losing them, they are being executed. Now they're being kicked out of the house. [[Intruder: Thank you.]] Why is the executive power of the laws of the assembly not respected? Thank you very much.
ParlaMint-HR_2020-11-13-0.u14182	Mr. Cure the Answer.
ParlaMint-HR_2020-11-13-0.u14183	Thank you. So the question is not about this topic, what I can do, which I can point out that respect for the law regarding the executive is unquestionable because the executive authority has no influence on the judicial authority in which the cases are currently in force. We have a contrary opinion from the European Court of Justice regarding this law, so this is not even in the jurisdiction of the executive authority regarding all proceedings before the court.
ParlaMint-HR_2020-11-13-0.u14184	Mr. Bull was looking for a break, wasn't it?
ParlaMint-HR_2020-11-13-0.u14185	Thank you very much. I'm looking for a break on behalf of the 10-minute Most Club. The bill we are talking about, the amendment and the supplement on insurance essentially when the assembly discusses and brings, when you pray that the Croatian Parliament supports it, then I ask you to protect yourself above all, to be a law in the interests of man, individual of course and institutions in which we bring or to societies. We bring here the laws of colleagues and colleagues, such as this, we prescribe regulations and directives every day can prescribe whoever, you can have, every man only prescribes a triba translation. However, the laws we bring here unanimously, such as the lex scybol law, have been passed unanimously in this assembly with greater support than the Constitution has been passed, it is not respected. Our citizens who refer to this law on these criminal organisations that have robbed our citizens where it is impossible to repay the credit of that institution today are, for the sake of these institutions, even though the secretary was also a parliamentary representative who raised his hand for the law, to protect those of our people who raised those loans illegally. You've been illegally working those institutions. There is an appointment of the CNB, executive power, Ministry of Finance, the Croatian Parliament has passed a unanimous law, lex Škibol, unanimously, and then what are we now discussing. We are now discussing the insurance of new agencies, new supervisions, new security measures, liquidity of insurance companies, the EU acquis, but this assembly has passed a unanimous law, and this month is now threatening the actions of those people who have deceived these savings credit cooperatives, who cannot act in Austria from where they come from, cannot act in Hungary.
ParlaMint-HR_2020-11-13-0.u14186	Thank you very much. Stand by 9 and 48 minutes, 5 minutes. [[It's 9:00.43.]] [[CONTINUATION OF THE MEETING AT 9:47 A.M.]] Mr. Lalovac, replica.
ParlaMint-HR_2020-11-13-0.u14188	Thank you, Mr. Vice President. Your Honor, Secretary of State. You said that most of the changes relate to the reduction of this one risky interest rate, or that it participates in the basis for the calculation of the technical reserve, and on the other hand you said that no Croatian society uses it. Now I'm interested because this directive is related to it, is then our insurance companies in the future obliged to apply in their model calculations this non-risk interest rate that will one day affect them or is it actually an option that they may or may not have, I'm quite interested in that? Since you said it yourself will reduce part of the technical story, that means that our insurance houses actually have other models in the calculation, that means other words whether they are bound to apply it or not. Thank you very much.
ParlaMint-HR_2020-11-13-0.u14189	Answer, please.
ParlaMint-HR_2020-11-13-0.u14190	Thank you, Your Honor. Your Honor. Yeah, so society doesn't benefit here we're talking about adjusting for volatility, they use non-risk interest rates in calculating their assets by assessing the future value based on the current of course plus increasing the risk premium for yields themselves. However, this additional mechanism relating not only to risk-based interest rates or to the time structure of the same system but also to the base to which it applies. They shall, if applied, show the market situation that, in addition to those of the main risks that arise, some external other risks that can be applied by freeing up more funds that they can intervene with on the market of financial or real estate or any investment that they have.
ParlaMint-HR_2020-11-13-0.u14191	Thank you very much. You don't have any more replicas. Do the committee's reporters want to take a word for it? No, I don't. I'm opening a debate. The first is Mr. Miro Bulj in front of the Independent Lists Bridge. Here you go.
ParlaMint-HR_2020-11-13-0.u14192	Thank you very much. Dear colleagues and colleagues, a respected secretary of state with an associate. Social insurance is very important and it must play its part and its importance, however, our Parliament does not respect all the laws that it makes, and so on this point, the European Commission does not respect, in essence, that we only prescribe what they send. I have cited here an example of the savings of the RBA credit cooperatives that have done great damage to our citizens and we have passed a unanimous law here in the past, and it seems to me to me that 138 MPs for between them were parliamentary representatives and now the secretary of state and it is not respected. So today we simply what we as HS are able to adopt as the obligation of this directive, and what HS brings unanimously to the EU, its institutions find ways to reject it. I asked the secretary of state earlier to say why what HS brings unanimously, even if it is not unanimous, which is in the protection of the individual Croatian man, but it is the interest of HS, why the European institutions reject it. I can't get an answer. We're a legislative body. If these people have been protected by the law that has raised these harmful loans because these cooperatives from Austria are banned from where they come from, they are being chased by their state's attorneys, in Hungary they are simply stuck in the tour, and our citizens are still being executed and kicked out of their properties, literally daily they call me and I will now give the law again in the procedure with certain changes. I hope that colleagues and colleagues will sign it and that we will accept it together, you can take it freely as your law, but most of all, as a representative whose people were disappointed that we simply reject what we bring to Europe's institutions. This law does not bring anything into being new, some control bodies, the security of insurance houses, we will discuss it by 10.00 today we will be finished 10.30, 11.00 and that is, however, what we will do with the people we do because of what this HS has brought not to be thrown out of the real estate. This morning, here I was just before this session called by a man who was ordered to be evicted in the first month from the only real estate, contrary to the law we passed in the House. And it is not the only one, but that and the only violation of the law on the Croatian citizen, is also a Croatian defender, but irrelevantly, is a Croatian citizen and we must protect the legality of decisions in this House, you executive authority and the judiciary. And that's why we have 3 billion euros today from our evicts to third countries, they pay us, we spend them, and they pay us, we don't even let them vote. That is why I call once again on you, distinguished secretary of state, that you, as executive authority, your Government in the EU Commission, in the EU Council, have our representatives because here the prime minister often boasts, Plenkovic, how much influence he has within the EU and friendship, to respect these laws that are passed by HS. Like the Lex Scibol law, so-called. on the integrity of loans which are illegal, with international features, which have been unlawfully introduced into the Republic of Croatia. The CNB has scheduled this, as well as the euro, and I ask you to transfer this to the prime minister because of these citizens who will soon be evicted. I call upon my colleagues and colleagues to make sure that you, especially those of the majority, urinate in executive power, you raise their hands, you support them, that the laws that were passed in this Croatian House are respected, and they are not respected. Thank you very much.
ParlaMint-HR_2020-11-13-0.u14193	Mr. Daniel Spajic will speak in front of the House Movement Representatives' Club. Here you go.
ParlaMint-HR_2020-11-13-0.u14194	Honored chairman, respected colleagues and fellow MPs, respected guests. All developed economies have no chance of developing an insurance industry that is working together with the state to reduce the impact of natural disasters on the budget. To mitigate the impact of demographic change on the pension system, to strengthen the effectiveness of the health system, etc. We didn't learn anything from the Gunjo case. The property was not secured, so politicians spent a billion and 200 million kuna of taxpayers' damages on recovery. And when politicians repair damage in a country where the perception of corruption is the largest in the EU, 97%, it is clear that there is a huge ineffectiveness in spending public money. The politicians of the Gunja example obviously did not want to learn anything, so we had a much larger disaster, an earthquake in the city of Zagreb. Although hundreds of people in the state administration and the city of Zagreb are in charge of security of property, and they pay brokers, a lot of state city property is not secured, so tax bonds will be fully covered. There were no incentives or organised access to the state, city and housing to secure private property, so the failure of taxpayers will cost between 50 billion and 60 billion kuna. And when politicians manage the damages of property, it's like sending character wolves to Pag to guard the lambs. For example, Zagreb is a clear, organised approach to insurance companies and managers, it would allow the additional coverage of the construction part of the building to be below one kuna per metre square month, which is something most citizens can afford. Tax bonds wouldn't pay tens of billions unnecessarily. But is that in the government's best interest? The way he's working right now, obviously he's not. Why not, at least today after the Zagreb disaster, take concrete legal and other measures to ensure that this does not happen in the future. They say the earthquake in Zagreb, that the earthquake in Zagreb will happen again, is just a matter of when and how strong it will be. What if it happens again in a few years? Citizens and companies with earthquake damage coverage paid or in the payment phase of nearly 500 million kuna, this would have been the case with other damages if the state had promoted and subsidized property insurance. The state has big, big demographic problems, the first pension column is in bankruptcy, only 50% of the necessary funds for any poor pensions are collected through contributions, and the rest is covered by taxes that are intended for the very other needs of citizens and economies. The reform of the second pillar is stuck at 5%, the increase in isolation has never occurred because of a huge deficit from the pillar itself. Under such circumstances, the government would be expected to boost private savings and disbursement of public pension funds. However, according to the budget, only 80 million kuna is intended to encourage voluntary pension savings as billions fly everywhere. In 2020, the budget will be nearly $160 billion, which means only 0.05% of the budget will be spent, half the budget will be spent to encourage voluntary pension savings. And the tax relief on life insurance has long been lifted. The government has no focus on one of the burning problems of Croatian society. Finally, the state has little use of the insurance industry to address burning problems that are further accumulated and escalated. Thank you.
ParlaMint-HR_2020-11-13-0.u14195	Thank you, too. Mr. Boris Lalovac will be the positions of the HDZ Representatives' Club on this law. Here you go.
ParlaMint-HR_2020-11-13-0.u14196	Thank you very much, Mr. Vice President, Your Honor, Secretary of State with an associate. So today, we are facing the Insurance Act that we need to comply with, not only with one directive but here, I think more directives and directives on, not just Solvency II, but for the Financial Instruments Market Directive and about preventing money laundering and terrorist financing. The most important insurance directive is actually this Solvency II, because Solvency II is a directive that talks about harmonising all insurance operations on the single European market, just as it is going towards a single banking union, so Solvency II is trying to level the business of insurance companies on the market of some 500 million people, or 500 million insurance companies. And it certainly gets the most into the areas of capital regulation and what changes, which is actually the opening and said the secretary of state that here in the law itself, the essence of the change in this law is that it actually changes and decreases the volatility of the non-risk interest rate from 100 to 85 basis points. Since this non-risk interest rate is the basis for calculating technical reserves as heard here, the non-risk interest rate plus premiums is actually going on, the risk premium is going on, to form certain technical reserves in case of certain damages that when it happens, the insurance has enough capital to be able to pay off certain damages and they account for 80% of the active part of the capital and certainly enables additional liquidity in the financing of their additional investment. We've heard here that these could be investments in government bonds that are still carrying less and less yields, right? So just as we're going to have a problem with pension funds that in the long run with such low bond yields will bear lower yields and our pensions are also related to insurance houses that a large part of their assets keep in, a large part of their assets are held in bonds. So this is another measure since, in this part, the non-risk interest rate is defined mostly on German bonds, they always refer to a German bond at EU level this and the relationship between German bonds and Croatian bonds is always seen as a particular, as a certain risk premium for each Member State. And now this part sets some new standards. So, the SDP Club, given not only that this part of the directive is a harmonisation but also that of these other measures where everything that goes in favour of citizens and harmonisation of services on the single European market, which ultimately leads to a improvement for Croatian citizens, we will certainly support it. Thank you.
ParlaMint-HR_2020-11-13-0.u14197	Thank you, too. Mr. Josip Begonja will speak in front of the HDZ Representatives' Club. Here you go.
