ParlaMint-NO_2002-01-10.ana.ud1968e39	The representative, Inge Ryan, will make a private proposal.
ParlaMint-NO_2002-01-10.ana.ud1968e242	I was going to sum up a little bit, but now Kjell Engebretsen comes with a summary afterwards, probably. The heart of the matter is the flacing of Giske across a large number of large numbers. Criminal law distinguishes negligentness, intent and deliberateness. From reasoning based on geographical considerations, the first step was to achieve a little equality. And when the Oasen pointed out that the learning material was to be related to the law, they messed up a little bit and found a vague article in the UN Convention on the Rights of the Child – all the while the bulk of the litter expressed itself clearer and clearer and, to a large extent, followed up the intentions that, as I said, were expressed already in the 1984-85 session. It should not be necessary, as the representative for Wage said, to instruct a government council to do its job. But as deliberate as the Council of State guessed, there is reason to cheat. The good political nose that the ex-state council has repeatedly shown that he has, and still has, was definitely not used this time, for the simple reason that one always had a narrower concept of democracy in his head and felt to do the limits of what a minority government should do. I have a quote from the debate on 5 April 2001, where the Council of State says: ‘I will take note of the decision Stortinget will take later today. When considering any new application under the provisions of the Act, the Department will be made aware of the decision and will inform the Department that it will be the basis for future examination.» That is not what you did when you rejected the new application on 16 October – three days before a government change – and completely ignored the politically powerful signal that came from this room. Then to the representative Hall Arnøy. I fully agree that a government must have a playroom to operate within, so precisely designed legal texts with a frame-up of almost all possible conditions were given relatively quickly to design already in the 1800s. Nor should the size rule clearly instruct a government legally or design what you really wanted, ‘shall-laws’, because then it becomes exhausting to be a councillor. There may be unclear lines and pig-bound government on issues of discretion. In the Oasen case, it's just to say that the political commitment imposed on the Council of State Giske was not listened to, and state councils should for the future not impose legal requirements. It has something to do with confidence in a democracy like ours and is miles away from taking the decision that was made on 16 October. The representative of the Engretsen made an attempt at using the word ‘antar’ for a time. It is relatively common to use legal language among those who are not judges of the Supreme Court, for example. the law department, which fortunately is aware of its own role, that they use the word ‘antar’ because there is something about the word ‘antar’ which, like many other words, is to be underlined. In this context, the word ‘antar’ is also a legal expression that is used when an interpretation result is obtained. The Supreme Court is those who interpret our laws in the last instance, and it is relatively natural to use the word ‘antar’ in the same way that one should interpret the word ‘should’ as ‘should’ in the Constitution. Otherwise, in the case of the majority in this Chamber, we are a little premature here with the minority, I will refer to the last sentence of the Right Party of the Christian People's Party and the Advance Party of the Committee, which reads: ‘These members will note that, for the future, government councils in similar cases show greater caution towards an expressed majority view.’ As I said in my introduction, that sentence is just for the inspiration of existing, future and potential states. I hope, of course, that the Labour Party puts its trust in that, for example. State Council Clemet is not so total tone deaf – since we are first in the language of musicality here – as the Foreign Council Guessed. Finally, with regard to the content of a private school like Oasen, I understand that it can challenge our vision of democracy. But when you look at the representative Stoltenberg, or as far as the children of a representative from another furnished home, Jan Tore Sanner, it's almost amazing how harmonious they work despite having gone to a private school, at least based on how Giske and some others look at private schools, because in the case of Oasis, there's been quite a lot of coaching. You can almost get the impression that no children are able to learn anything, as about most of the time according to someone agrees to learn anti-sex attitudes, give children rice, get up early in the morning and otherwise cry in the sleep. If the corresponding energy in October was used to postpone the conversion system e.g., I think it would have been better spent time. Otherwise it's just to point out what the representative Engeset said, that there's a certain difference between instruction and control, and that it's about the time. I would recommend that the Arbeiderpartiet and SV also in later cases are a little more aware of what is actually in those terms. It does not seem that it was until this debate took place.
ParlaMint-NO_2002-01-10.ana.ud1968e276	The President would just like to remind the representative Dahl that the term ‘you’ is not used from the Spokesman’s Chair. We use the address ‘the representative’.
ParlaMint-NO_2002-01-10.ana.ud1968e280	As for the word ‘antar’ in the legal language, I think Dahl is definitely right, and legal language from this pulpit can be both entertaining and perhaps even instructive, but here it is mostly the popular language that is used. It's kind of part of this hall's role and function -- only it doesn't get too popular, then maybe the president can have some opinions about it. I forgot to say something about this with a review of discretion. Again, Dahl is of course right in terms of the formalities. But it is true that the Storting can bring forward the decision and the decision the Stortinget wants, no matter what the Council of State has or has not done. It's just a question of – I would almost say – how things come into place, and there's a decision being made here. So this is what several of the representatives have been talking about here, which I think eventually, leaves a little bit of the criticism and the comment that lies within this matter. The representative, Mr. Augan, is talking about how the handling was critical. The representative's salary talks about the government's need to be musical. There is talk of how the Council of State has dealt with this matter, the procedure, the dates, the time spent, etc. Yes, if you think there is something to point to there, only then I believe that it would be a matter for the control committee, and that it might be of interest to see if there are any formal errors that have happened there. What I'm trying to say – and I'm not going to try to narrow down the investigation that Stortinget is going to do, in any way – is that I'm wondering if it's a check that in this case, by a new majority, the musicality of the former state councils should be assessed in relation to this room. I see that there is something you can use in a debate, which you can use in the political daily activities, but saying that it's a control task to make sure that a government council has dealt with an earlier majority in this room in a'musical' way, I think it's boring a little wrong. So my assessment of this matter is based on the comment made by the minority of the committee – the majority of the room: it is a comment that does not therefore address formalities, which does not imply that the Council of State has assessed this matter incorrectly in relation to existing legislation, which does not address a faulty or time-consuming procedure by the Council of State, etc. – that's none of it. What is stated in this note is: ‘By its refusal to grant approval, the Ministry carried out a fundamental assessment which is partly contrary to what the majority of the population had as an express contrary assessment’, etc. That's what you're pointing at. And what I'm saying is that you can think of it, you can have an opinion about that, you can debate that, but I don't think this is a reasonable matter for the control committee to deal with. In that case, I repeat what I said earlier: if it is the case that after elections new magnification is about to begin to assess whether a state council has been sufficiently responsive to this room in matters in which it is up to the Council of State to assess and make decisions, I think it is going to put a lot of hold on this speaker.
ParlaMint-NO_2002-01-10.ana.ud1968e298	Now maybe this is a debate for especially interested people. But I think it is politically, constitutionally interesting to hear representatives of the current government actually seriously believe that the Storting should use time and effort to assess how the various government councils use their discretion, in cases where they are under law required to use their discretion. This can also be very politically interesting, as there is still a minority government and the size of a number of issues will have different political motives to be able to criticise, take up and assess the judgement of the various governments. I could understand that if this had been an interpellation, and I could understand that if this had been taken up as a general political matter in the Stortinget where one had sought to express that the government council had acted against the wishes of Stortinget in relation to how the private school law was going to develop, and how one wanted the private school offer to develop in that country. But when one goes to the step of actually writing committee comments in the control and constitution committee where one tries to instruct the Council of State in his judgement in connection with the protocols of the Council of State, one is on a very – yes, I would say – dangerous path, where in the future there will be questions not only about the musical abilities of the councils but more about how the Storting should be able to perform its artistic activity. The size will, as you know, be much more difficult to conduct than the government and the various state councils, because it will at any time be the various political motives behind the wish of the Great Britain, which will be decisive for the observations to be made by the Council of State in the exercise of discretion. I think it would be much more fair if you had taken this up as a matter of your own, or if in a general political case you had taken the council because you were politically dissenting. But trying to turn this into a constitutional question through the Control and Constitutional Committee on how to exercise discretion, it really surprises me that representatives of today's minority government actually in the staging room here argue that should become future practice. We're going to try to deal with reality and try to avoid falling for the same ones – I'm sorry to say that – the stupidities in the future.
ParlaMint-NO_2002-01-10.ana.ud1968e309	I find it very difficult to understand the point made by the representative of the Ombudsman several times, that this is a question of the distribution of majority and minority voting in this Chamber and the fact that, in the meantime, there has been a big shot that makes the Storting look a little different than it did before the elections. With regard to this specific case, it seems to me to be completely irrelevant, because no one has at any time been in any doubt in the course of this case about where the majority of the Storting was, and where the minority of the Storting was. It was exactly the same distribution of the majority and minority in the previous magnification as it is in this magnificence. So that argument seems completely irrelevant to me. Let me also say that I find it very difficult to understand the reasoning that considering a government's handling of a matter that has been very controversial and that has attracted long-term attention in the public and throughout Norwegian society should not fall within the overall remit of the control committee to exercise control over the government's activities. Then I have to say that we could, for good reason, put an end to the whole committee, because then there is no such thing as the control of the quality of government's office by the Stortinge. In this case, it has been amazing that the bulk of the population in the previous period, once again, criticised the Council of State's handling of this matter in a completely unintelligible way. Neither the Council of State nor anyone else could be in doubt that the bulk of the population was very critical of the Council of State’s office at this point. And when the council then accomplished not only closing its ears for this criticism and pretending that he had not perceived it, but then overtime, after the government set up as a business ministry, did once again provoke the majority of the population and marked that he saw, in principle, not interested in what the majority of the population thought, if the Supervisory and Constitutional Committee did not have a mandate to evaluate it afterwards, then I must say that I do not understand what we are going to do with such a committee at all. Then Stortinget has, in a way, abdicated from its control function. So to what was my main score. I fully agree with those who, in general, are skeptical of what is called big business in the populace. I believe it is very little desirable that the Storting should somehow enter into the government's unique marks. But when there are sometimes problems with that border, it is not certain that the responsibility for it lies with the Storting. In specific cases, there may be minority government and the relevant Council of State acting in such a way as to force the Storting to go to the outer boundary of its field of competence, and this is, in my view, a classic example of it. State Council Geske almost begged Stortinget to take over his task, and had it not been for the voters to have solved the problem in advance, it is quite right that then it would have been the task of the majority of the population to solve that problem by asking the council to find another job.
ParlaMint-NO_2002-01-10.ana.ud1968e320	I felt an urgent need to sign when I heard the post of President of the Grand Duchy, Cosmo, which I thought ended up in the department for quite special posts. It's a formulation that says, "The God gives an office, he also gives understanding." One might also say, "Everyone is promoted up to his own incompetence level. If the current President of the United Kingdom has been seriously injured in believing that what is the basis for this debate lies not only on the side, but also far from the work of the Committee on Control and Constitutional Affairs, I would strongly recommend that he go back a little to the legal basis, the debates, the formal basis on which this committee was set up, and what the work of the Committee actually has. Because it has been clearly concluded that there are no restrictions on the possibility of raising cases in connection with the review of the State Council's protocols. There has been varying practices in dealing with the protocols, based on government decisions in individual cases in specified administrative areas. This was previously actually the very central part of Storting's control of the government and the executive. I think you just have to think that this is and will be an important part of the Size control function afterwards.
ParlaMint-NO_2002-01-10.ana.ud1968e325	Kjell The Englishman has had the word twice and gets the word for a brief comment.
ParlaMint-NO_2002-01-10.ana.ud1968e328	First to the representative Wage – this by a minority and majority in this Chamber and the reason why I have pointed it out. I fully agree that it has no particular relevance to this matter. But if this practice is introduced, if a new majority can take up a case and have an assessment of the judgement of the former Council of State, so that this kind of role and function is given in the Committee of Control and Constitutional Affairs, I think this will be a rather unfortunate and premature matter in the years to come. Then I have to be allowed to say that this is a matter that is known by the Storting, which is open, which lies here, which has been debated, which can be taken up again, and which can be used in any way. There's one thing that's in this room. There is nothing the Control and Constitutional Committee has found and sees as necessary to bring to the square. So the Committee on Control and Constitutional Affairs has, in my opinion, created an interpellation instead of what they are actually going to do. I agree with the representative Engeset that it is, of course, up to the Supervisory and Constitutional Committee itself to find the boundaries that are necessary, and I think that is what we are working towards. This debate shows that.
ParlaMint-NO_2002-01-10.ana.ud1968e337	I was not really going to get involved in this debate, because I think debates on the private school law and the enforcement of the private school law belong primarily to the debates that the Education Committee is dealing with. Nevertheless, I think there are some things that need to be corrected by what has been said in the debate. The first is the issue of the decision of the Storting concerning the Oasis, and whether it was binding on the government or not. We took it seriously in relation to the process that had been in Stortinget, and the decision that had been made there, actually limited the discretion that the Stortinget itself has added through the private school law to the department, that we asked the law department in the Ministry of Justice to assess it. They came to a quite unambiguous and clear conclusion that the decision that had been taken was not to be understood as such a restriction on the discretion that the Stortinget law gave to the ministry. Then we are faced with the situation that the Storting itself has added a judgement to the ministry that we as the government are required to exercise, which is in the form of law, and on which that decision has not changed anything. It may seem to be used in a different way, but if you want to do something other than what the law imposes on the government and the ministry, you have to do it in the form of decisions in Stortinget, not by sight. In fact, part of the majority behind the decision taken in Stortinget last spring, namely the Central Party and the parliamentary leader of the Central Party Odd Roger Enoxsen, specifically said that this was not to be understood as an instruction by the Department, but – as he said – a good and well-meaning advice. And of course we should listen to that advice, but we disagreed with it, and made a different decision. It's a matter that's quite parallel to this one, and it's the matter of the Urtehagen Muslim School, which the government Bondevik handled when Jon Lilletun was the Council of State. There was a clear majority in Stortinget against giving Urtehagen Muslim school grants under the Private School Act. The Labour Party and the Advance Party were against it. The progress party even went and suggested, neatly enough, a decision to instruct the government to say no to the Urtehagen school. The Workers' Party said: we have been to a private school law that gives it the discretion to make that assessment, to the Ministry. That's why we don't agree to such a decision, but our clear advice to the government is to say no to the Urtehagen school. Jon Lilletun knew that there was a majority in the Stortinget who wanted to say no to the school, but he still chose to say yes, because under the private school law he had understood that. It would not have been in our wildest fantasies, even though we had a majority in the Committee on Control and Constitution, together with the Advance Party, to make it a matter in the Committee on Control, but it has become a whole new practice since then. The truth was that you had a majority in the Stortinget that wanted Oasis school to get support under the private school law, but you didn't have a majority to instruct the government. In the Committee, this was even done, for example: by the representative on the pay side, launched and discussed proposals to instruct, but he was unable to bring a large number of people on it, and thus lost. In the election, he was given a different majority, and then a rematch later on in the Committee on Control and Constitutional Affairs – just as many people here have been involved. The representative then says that – and that needs to be corrected – this was a decision that was made when we were the Ministry of Business. There is an actual error that shows that you may not have been fully involved in the matter. When Jon Lilletun made some decisions at the end of the Bondevik government in March 2000, some of these were made after they had become the Ministry of Business, that's quite correct, but we made our decision before we became any business ministry. We were a government when all the decisions were made. After we became the Ministry of Business, no such decisions were made. There have been many problematic issues in the Committee on Control and Constitutional Affairs, but there has been a willingness of most parties to demonstrate constitutional cleanliness by dealing with the laws and responsibilities given between the magnificence and government. It is a complex matter that requires many years of experience and legal study. I understand that you've got people who believe they're legally competent. I believe that the conclusions drawn here do not promise good for the possibilities of legal examination.
ParlaMint-NO_2002-01-10.ana.ud1968e357	No pay is given the word for a brief comment.
