ParlaMint-NO_2002-05-22.ana.ud696e28	The called alternate of the Rogaland County, Inger Lise Aarrestad, has taken the seat.
ParlaMint-NO_2002-05-22.ana.ud696e138	I'm sorry that the government is so passive in relation to this particular challenge. The reference to the evaluation by 2004 does not actually solve any problems for those who have already received both removal notices, have been warned that the rental of land is increasing by more than a thousand percent, and have also been brought into a dilemma by the fact that they now have to go to court with their contracts. I had expected the government to actually now contribute to solving the problems of the many who come up in such cases, and at least did as the evening post writes in today's leadership, irritating something slowly, and perhaps also trying to create some remedial measures. The Prime Minister does not now consider the possibility of slowing down, i.e. at least create transitional arrangements, for which a majority would certainly be possible in this Chamber?
ParlaMint-NO_2002-05-22.ana.ud696e147	Well, I agree that there's reason to be slow. In the case of the land under public control, inter alia: State forest and the Information Service Fund have been issued guidelines to have transitional arrangements to slow down the process. And very many of those who have attached empty have it known on public owned land through either the State Forest or the Information Society Fund. So the government has taken the consequences of that. In the case of other reasons, private reasons, the Stoltenberg government itself sent out a letter of consultation in August 2001 with some proposals for amendments to the Law on Landfill. I think it is reasonable that we are now processing the hearing replies requested by the Stoltenberg government itself. We're going to do that, and on that basis we're going to see if we also find the need to do something faster than originally foreseen in 2004. But I think this also requires a proper procedure based on the letter of hearing sent out by the Stoltenberg administration itself. It would be unreasonable not to treat it properly.
ParlaMint-NO_2002-05-22.ana.ud696e157	No Marte Thorkildsen – for follow-up questions.
ParlaMint-NO_2002-05-22.ana.ud696e160	The government that is responsible for this, in essence, is of no interest to the public. What interests us a lot is that there are many people who have now experienced a dramatic increase in a fee, which can actually lead to someone having to move from a farm to a land. I wonder if it really is reasonable to assume that you have to balance the considerations, whether that is really possible, when, for example, it is. is that part of those who have a party contract has actually paid down what the plot is worth, and has invested in infrastructure in the plot, which makes it even more unreasonable when they then get a strong increase in the fixation fee, which can lead to the fact that those who have the least money have to move.
ParlaMint-NO_2002-05-22.ana.ud696e167	I agree that if someone is forced to move from the farm and land due to the adjustment of the attachment fee, there is a verdict that none of us would accept. That's why we're willing to look at the results of this law. As I said, in the case of public land, the Government itself has proposed that one should have a transitional arrangement, slowly so that such cases do not occur. If it occurs in cases of private law or on private grounds, it is clear that those who attach land should not accept without delay the fees they may be charged. They have partner organisations that they can use, they have the worst case lawyers they can use, and the government is willing to look at the results if they become completely unreasonable. But on the other hand, we probably have to admit some of us who have been away from this, that part of the fixation fees that were before were completely symbolic, and perhaps for some really unreasonably low. Party fees were down to 200-300 kroner a year, and it was also unfair to those who fasted away. Now you've tried to find a better balance between this. But if there's some imbalance in some direction, the government is willing to look at it again.
ParlaMint-NO_2002-05-22.ana.ud696e178	Let's go to the next main question.
ParlaMint-NO_2002-05-22.ana.ud696e181	I have a question for the Prime Minister, because the Bondevik government at the Ministry of Defence has decided to immediately stop the acquisition of some material from Israel and also freeze existing contracts. This means that no material is to be received on contracts already concluded with the Defence, that no material with substantial content of Israeli subcontracting is to be received, that no new contracts are to be concluded, that material-related meetings are not to be carried out, that Israeli personnel are not to participate in service, follow-up, repair, etc. of materials acquired previously from Israel and not to be made available to the public. This, in effect, grumbles under anti-Semitistic attitudes toward Israel, and is a hostile attitude. How can Prime Minister Bondevik be known to act like this – hostile – towards Israel?
ParlaMint-NO_2002-05-22.ana.ud696e188	Firstly, this government does not act hostilely against Israel. On the contrary, we have been criticised by many that we should be more acute in the criticism of Israel in the current Middle East conflict. Even I have clearly distanced myself from using boycott of possible purchases from Israel as an instrument in the current situation, as some others have advocated. I am pleased that the question has been raised, because it gives me the opportunity to say from the Chair of the Storting that the Norwegian authorities have not introduced boycotts of goods from Israel, even in the defence sector, and do not intend to do so either. As far as the purchase and sale of defence equipment is concerned, there are known some rules. In the case of exports, Norway does not sell arms to countries that are at war, where war threatens, or where there is civil war. Against this background, the purchase of defence equipment from Israel that might have to trigger Norwegian repurchase obligations would not be relevant, as it would be contrary to Norwegian rules on arms exports. In the case of contracts in excess of 75 million. kr, where such repurchase obligations normally enter into. In the case of arms purchases — and in this case from Israel — it is continuously assessed both on the basis of our needs and on the basis of the current situation in the supplier country at all times. There are no general guidelines for the acquisition of defence equipment from warring countries. However, there are specific guidelines on the acquisition of defence equipment from Israel, which were last clarified on 14 January 1998. These mean that any arms purchase from Israel shall be submitted to the Ministry of Defence and approved by the Minister of Defence. The guidelines now referred to by the representative Hagen arose on the basis of the fact that there had been a clearing of such purchases without one having followed the instructions that it should be submitted to political management. Therefore, there was a tightening and a so-called freezing, in order to have a review of what might be the case with possible contracts. But it's not a boycott.
ParlaMint-NO_2002-05-22.ana.ud696e201	Then I wonder what in the world the Prime Minister's definition of boycott is in terms of defence acquisitions. There are no rules – I am aware that there is no legal basis for rules on acquisitions. There are guidelines and decisions for the export of Norwegian defence equipment, but not the other way around. It's just rules for Israel. There are no rules for any other country in the world. It is in itself an enemy-minded act to pick out exactly the land of Israel. And when you freeze, for example: not to carry out material-related meetings – not to meet, not to talk – when not to accept material from existing contracts, when not to allow Israeli personnel to participate in the service of already purchased material, this is in some cases a boycott of defence equipment that has not ever been carried out in relation to any other country. I want to give the Prime Minister a chance: will the Prime Minister ensure that this directive, which was adopted by the Ministry of Defence because there were some writings in the Newspaper, is immediately repealed, withdrawn, and that the Prime Minister again, with his government, adopts a more friendly attitude towards Israel?
ParlaMint-NO_2002-05-22.ana.ud696e208	This government has a friendly attitude toward Israel, and we stand for it. But we also reserve the right to criticize friends if necessary. My best friends sometimes give me a corrective. I appreciate such friends much more than friends who agree with everything I say and do. The best friends are the ones who are also brave enough to give correction. Such Israel-friends are we. We reserve the right to speak out if we believe that Israel, for example. Drive excessive retaliation, in the same way that we criticize the Palestinians for not having done enough to stop cruel acts of terror, as we have also been given examples of the very last few days. So Norway's attitude towards the Middle East and Israel is no reason for Carl I. Hagen to see any doubt about it. As far as guidelines are concerned, they exist for exports, and if the purchase of defence equipment from Israel triggers a buy-back requirement, we cannot buy for export purposes. As far as imports are concerned, there is a policy to be reviewed by policy management. Therefore, a freezer has been carried out – for a review. We're going to make sure that the usual routines apply. There shouldn't be any boycott. The Prime Minister will take care of that.
ParlaMint-NO_2002-05-22.ana.ud696e215	There will be follow-up questions – Morten Højlund.
ParlaMint-NO_2002-05-22.ana.ud696e218	From the Prime Minister's last reply to the representative Hagen, I can't see that he answered the question of whether or not to withdraw these regulations, after which, among other things. there is no opportunity to meet Israeli colleagues. This is relatively dramatic, and it goes far beyond what is involved in the repurchase, export and import of defence equipment. It's about relationships and contacts. It is about follow-up of service contracts, service on material from contracts already concluded. This is something that is being noticed, not least in Israel, but also in the United States, and the signals we send can be quite alarming. We are previously aware that Norway has had and has trade boycotts against regimes like Burma, and that we have previously had it against the apartheid regime in South Africa, which was well-founded and natural. And it's not unnatural that you draw parallels to that type of boycott, even though of course we see that this is much more limited.
ParlaMint-NO_2002-05-22.ana.ud696e225	As I have prepared in my 17th May speech, and as I have said now two or three times from the pulpit of the Great Government, it is not relevant for the Government to introduce any boycott against Israel, either in terms of defence material. The background to this, as the representatives Hagen and Højlund have referred to, was an episode in which the current 1998 guidelines on the political clearance of the purchase of material from Israel by the Ministry of Defence were not followed. It required a review of the whole situation with regard to what is going on with possible purchases. This is going to the Ministry of Defence's political direction for clearance. Therefore, this so-called freezing writing. The Minister of Defence himself wants to ensure — and the Prime Minister wants to see — that once a person has been subjected to this situation, which was exceptional and required lighting, he comes back to normal. Once it is completed, it becomes normal.
ParlaMint-NO_2002-05-22.ana.ud696e233	Let's move on to the next main question.
ParlaMint-NO_2002-05-22.ana.ud696e236	I would like to ask the Prime Minister a question. Yesterday, a report on Difference Norway, which uses government statistics, collected public statistics and concluded that differences in Norway are increasing. That's especially because the richest tenth, or 5 pst. by the Norwegian people, really withdraw from the vast majority, primarily because they have large incomes from capital and dividends, which are very lowly taxed. I wonder if the Prime Minister agrees with SV that having little differences between people is a better society. All social research shows that if you manage to keep a society with small differences between people, it will be out of proportion to health, compared to most people's ability to take education and crime. Does the Prime Minister agree?
ParlaMint-NO_2002-05-22.ana.ud696e247	The Prime Minister agrees that we have too many differences in our society and that it is desirable to balance them. That was the background to the fact that, during the central government, I made sure that we had a big message that provided an analytical basis for how the differences in Norway have developed, and suggested measures to correct it. In the extension of this work, the Co-operation Government has focused in particular on how to help people out of poverty, because the most important thing in the work of cushioning needs to be to help those who are poor, to get out of poverty. To illustrate: It doesn't help the poor if Kjell Inge Smoke has a million more or less in income. The only thing that can help the poor is that they themselves get the money to get out of poverty. That's why I think SV should also be much more concerned with that side of Difference Norway. There I must say that I am disappointed with that report SV submitted yesterday. It's kind of old news, descriptions of statistics, etc. on differences in society, but there are few or few concrete measures to help people out of poverty. The co-operation administration submitted proposals for such measures of 250 million. more than the Stoltenberg government proposed last autumn, and we intend to follow-up to the autumn with new proposals for action and a separate action plan for the fight against poverty in Norway. I think we should become more concrete in this regard, and first of all focus on how to lift up those who have difficulties in our society, and help them to get a better life situation. That's the most important thing, and it seems to this government to follow up. Here we have invited SV to cooperate. That invitation is pending.
ParlaMint-NO_2002-05-22.ana.ud696e256	The Prime Minister knows very well that if there is one party to this big deal that has promoted an innumerable number of proposals and has constantly challenged the bulk of the population to really do something to combat poverty in one of the world's richest countries, it is SV. I think that liberalism should cost the Council of State and also give other parties recognition when they do a real job. I am surprised that the Government, which has said it should be concerned with combating poverty, is now asking for more time. The government is not able to find the poor so precisely that it is absolutely certain that there is not a single penny too much for someone who wears a lot from before, while at the other end of the scale, among those who are really rich in Norway, there is no fine-tuning. There you distribute tax credits into a cabin and torment without asking where the money is really going. But if you really want to fight poverty, it's important to know the starting point for combating poverty: whether you have a society with big differences at the bottom or a society with smaller differences at the bottom. [[The President clubs.]] Does the Prime Minister agree that if you have a society of greater equality, there is a better starting point for combating poverty?
ParlaMint-NO_2002-05-22.ana.ud696e265	The President requests that the speaking time be observed. In addition, the President assumes that it was a delay that the Prime Minister was demolished to the Council of State.
ParlaMint-NO_2002-05-22.ana.ud696e270	It was a delay, which I deeply regret!
ParlaMint-NO_2002-05-22.ana.ud696e275	I realized that, so I'm not getting close to that. I have already answered yes to Kristin Halvorsen's repeated questions, so it would be unnecessary to repeat them. I have previously given – and I have no problem repeating it from Stortinget’s pulpit – recognition to SV that they have a strong commitment in this area. But it actually has – with respect to reporting – other parties, among others. My own party, and the Co-operation Board, which I now lead. We haven't just sat down to research and figure out which groups this applies first and foremost. We made proposals for 250 million. kr more to immediate measures in addition to the proposed last autumn by the Stoltenberg Government; it also had some proposals. This shows that we haven't just conducted investigations to gain time. Now, when we're going to move on, I think it's also right to hit exactly who this first applies to. We do that with new measures for the autumn. We don't distribute treasures in 'hidden and torment'. The taxes we promoted last year went partly to business and partly to people with lower and middle incomes. We're standing by.
ParlaMint-NO_2002-05-22.ana.ud696e286	There will be follow-up questions – Siv Jensen.
ParlaMint-NO_2002-05-22.ana.ud696e289	I must first say that I fully agree with the Prime Minister that it is more important to combat poverty from below than to pursue a policy of envy towards the very few who have much but who at the same time contribute in an important way through capital injections into Norwegian business. Then it's more interesting to know what the government de facto is doing to combat poverty. This has been a sustained debate since last year's elections, and the government has been very good at talking about how important it is to combat poverty, without having seen concrete results from it. The government and the Prime Minister are very good at operating comparative manoeuvres in relation to what previous governments have done, and what this government does – without the visible results coming. Therefore, I would challenge the Prime Minister to ask: What has the Government done? And what will the Government do in the near future that will produce visible results?
ParlaMint-NO_2002-05-22.ana.ud696e296	Firstly, we put concrete measures into the budget we put forward last year, in addition to what the Stoltenberg government proposed. We increased the children's supplement to disability pensioners, which is among those who are poor. We proposed to keep the cash support out of the calculation basis when measuring economic social assistance, because we do not think that those who have cash support should be punished, but unfortunately, as far as I remember, we did not get the bulk of the money with us – strangely enough. We proposed increasing efforts for drug users. We proposed adjustments to the indicative social aid rates. We proposed increased grants for light and heat under the housing support scheme, and we proposed increased minimum tax deductions. These were concrete measures, which Siv Jensen obviously did not or did not remember. We are now working on further measures. Among other things, I can mention: measures in the housing sector, social networking for those who fall through there and labour market measures and rehabilitation of drug users. It's coming to the harvest.
ParlaMint-NO_2002-05-22.ana.ud696e303	Jens Stoltenberg – for follow-up questions.
ParlaMint-NO_2002-05-22.ana.ud696e307	The government's problem in the fight against poverty is that you choose to give billions of dollars in lower taxes first and foremost to those who have the most. Thus there will be less money left to bet on those who have the least. It is also the reason that the Government is constantly using for not being able to grant more for important social purposes, that the budgetary balance sheet is so tight. It's tight because you spend money on lower taxes. It is also not right, as the Prime Minister has said several times, that his government used more for those who have the least. A wide range of areas have been cut to finance some of the measures – 60 million. less to long-term sick to get them back to work, more than $10 million less to labour market measures to get long-term unemployed back to work, and cut social housing measures. That's what you did in a budget where you got several billion extra kroner to go with. Nevertheless, it was decided to cut off measures for those who have the least. That's the government's problem, and I'm asking if the Prime Minister admits that all the promises now are not going to go away.
ParlaMint-NO_2002-05-22.ana.ud696e314	I maintain that the Co-operation Government made a much greater effort than the Stoltenberg government in terms of measures to combat poverty in Norway. I am aware that this is a sore point for Stoltenberg, but that is a fact. It was perhaps a little surprising that a cooperative government took this grip. With regard to a few of the measures now mentioned by Stoltenberg, these are, as he himself said, measures to get people back to work. It's completely in line with the Labour Party line, the so-called line of work – one of the most important things to get people out of poverty is to get them back to work, and I agree with that. I find it difficult to understand what is meant to be criticised by the Workers' Party. So it's said that we give many billions of tax dollars to those who have the most. That's not right either. In terms of personal taxation, we increased the minimum deduction in addition to the Stoltenberg government’s proposal, i.e. tax relief for those who have the least – tax relief at the bottom. I assume that the representative Stoltenberg is thinking about the dividend tax. It was to avoid an unfortunate double taxation, which was quite strange, and it was to get people who have capital, to use it in business instead of placing it in property, cabins, houses, boats or whatever it might be.
ParlaMint-NO_2002-05-22.ana.ud696e323	There will be follow-up questions – Øystein Djupedal.
ParlaMint-NO_2002-05-22.ana.ud696e326	I am pleased that the Prime Minister agreed that he is concerned that the differences have become so large. If you're going to do something about this, you first have to know what to do. What we have presented in our report is overwhelming evidence that the differences over the 1990s have increased dramatically. This means that one seventh of the workforce is outside the ordinary labour market, which means that it has become more difficult for young people to enter the housing market. Self-esteem has increased partly dramatically in health and social services and in childcare rates. Almost all parameters, income and wealth included show that differences in Norway have increased. This government has chosen to focus on a fine-skinned net for the poorest, so not an unworthy needy will get a single penny, while the money floats in different directions. There is a very good example of dividend tax – SEK 1.5 billion has been given to the richest in Norway. What I was very surprised about, and to which I ask for the Prime Minister's comment, is the following: His own social minister says in today's newspaper that this is the result of an envy policy. I would like the Prime Minister to insist that this is the Government's position on these serious problems.
ParlaMint-NO_2002-05-22.ana.ud696e333	I heard someone else on the radio this morning, namely, sir. Djupedal, who took part in a debate with Jagland at a bar yesterday. There the representative, Mr. Djupedal, said something very interesting, which I agree with, and which is entirely in line with what the Social Minister himself has said, namely that we need to use more so-called tailors' stitching, not clothing stitches. So we're going to figure out how to reach the right groups of measures. I understand that now SV has switched on, and I think that is good. There is certainly a good basis for working together on the action plan against poverty that the Government will present to the autumn. I also agree with Djupedal that you have to know what to do. That was the background for the Center government to provide the Smoothing message, which gave us a good analytical basis. It is also the basis for us to draw on research environments, public authorities and non-governmental organisations until the autumn in order to arrive at actions that can work, not because we are so afraid that we should spend too much on those who do not necessarily need the money, but to use them to reach those who should be reached. And I understand that SV agrees – as a starting point.
ParlaMint-NO_2002-05-22.ana.ud696e340	The president is somewhat concerned that the nightlife at Oslo's bars is being drawn into the main hall, but considering that there is a prime minister from the Christian People's Party who does that, it gets passed. Magnhild Melting Group Kleppa – for follow-up questions.
ParlaMint-NO_2002-05-22.ana.ud696e345	It is good that the Prime Minister today mentions the Equalization Notice. It may seem that the Bondevik II administration has forgotten that message. One of five strategies was simply a fairer tax system. The reason why this was maintained so strongly was that one wanted to be able to subtract from the ones that have the most, to raise more to the bottom. When the municipal minister presented the municipal proposition, she pulled her shoulders and said, "The government has no more money! There was a tight setup, and we know who's going through it. It affects those who need special follow-up in school, kindergartens, etc. They're weak groups. Is it the case that the Government has sidelined the strategy of a fairer distribution and that the Prime Minister has agreed with his Minister for Social Affairs, who says that now SV must stop massaging? The centre party has also not intended to stop massaging. We want to continue the fight against extra differences.
ParlaMint-NO_2002-05-22.ana.ud696e354	Neither has the government thought, so in that way we're on the same team. I maintain that the most important thing for those who suffer in our society is that they get help. And now I think we should focus on: how do we combat poverty? The government has not, and the Prime Minister has long since forgotten the excellent aberration message that the questioner and the Prime Minister were together about the responsibility for. It is at the bottom when we are now working on our action against poverty in Norway. The cooperative government also wants a fairer tax system. That's why we increased the minimum subtraction, which first of all reaches those who need it the most. That was also why we pushed up the top tax entry point, because it had already begun to hit quite ordinary revenues, contrary to what was intended. We will also continue to work to reduce housing taxes, which are also unreasonable for many common people – to mention another example.
ParlaMint-NO_2002-05-22.ana.ud696e365	Let's move on to the next main question.
ParlaMint-NO_2002-05-22.ana.ud696e368	I also have a question for the Prime Minister. Today, the City Council in Vardø is shutting down all policy activities with immediate effect. Of course, we can start a discussion about everything that has been done for Vardø and all that has been done for Finnmark. I see that in some editorials in the newspapers such a debate has started, but I honestly don't think it is very fruitful. What we are seeing from Vardø now is a signal of abstinence – disengagement in relation to the dismantling of service provision and the disappearance of jobs. What has happened is that you simply give up, and you no longer see yourself able to carry out the tasks and obligations that you have. Nor does it lead to saying that what the elected representatives of Vardø are doing is illegal, so my question to the Prime Minister is: How will the Prime Minister meet the situation that has now arisen in Vardø?
ParlaMint-NO_2002-05-22.ana.ud696e377	I agree with the representative, Mr Enoksen, that little help to meet people in Vardø is that what happens now if the city council fails to do its job is contrary to the law. That access actually doesn't have one. This problem therefore needs to be addressed in another way. It is true that there has been a reduction in the number of jobs in Vardø over a long period of time and under changing governments, also under the responsibility of the representative, Mr Enoxsen. This has happened both in the case of public jobs and in the case of private jobs. Therefore, this government has also announced that we will seek to channel new state jobs to Vardø. That work is in progress, and this government is taking seriously both by the Minister of State and not least by the Minister of Labour and Administration, who is directly responsible for it. Such suggestions will come. I think that instead of resigning, as I understand it is a cry based on a difficult situation, the municipality should enter into cooperation with the state, both through the county and the department concerned, to find remedial measures on the difficult situation that has arisen. This is the Government for its part open to. Moreover, in the case of the municipal economy in general, it is true that it is tight in many municipalities. The government has put forward a proposal in the municipal economic proposition that is well against previous municipal economic propositions, including from governments in which the central party has participated. That doesn't mean we've solved the problem, far from it. But we're looking for within the responsible financial framework we have to rely on, gradually improving the municipal economy through a growth of 1 1/4 pst. in relation to the previous year.
ParlaMint-NO_2002-05-22.ana.ud696e389	I note that the Prime Minister has a desperate need to compare what this government is doing with what the previous government he led did. I had actually intended to refrain from this in this round. I was also going to refrain from mentioning the local economy, but stick to what is happening in Vardø. This time it's Vardø it's about, but I actually think we can get pretty fast to see that this is also going to spread to other places. I want to take a concrete example of what people experience as completely meaningless in part of the reorganisation that is taking place today. I want to use Aetat as an example of this. This weekend I became aware that in an area of the country that I know very well, several offices have merged into a regional office. The distance between two of these offices is so large that it is not possible for employees to commute from their old job and to their new job. This has led them to keep their old workplace as a workplace, but they are behind locked doors and have to do internal work. They don't accept the users. This means that the users of the service have to commute back and forth five hours, while the employees, with 20 years of competence, are still sitting in the office, but are not allowed to serve the customers. Does the Prime Minister consider this to be a meaningful way of driving modernisation?
ParlaMint-NO_2002-05-22.ana.ud696e398	Firstly, I agree with the representative of Enoxsen that there are more municipalities than Vardø in a difficult situation. The government is set to enter into a dialogue and seek to assist within the framework we have at our disposal. Many municipalities have carried out efficiency and rationalisation work over many years, and feel that they have nothing more to do with this. Others may still have additional potential for this. Such possibilities must and must be investigated. In the case of Aetate, they are in a reorganization process that is well known for the Storting and has also been part of the treatment here. Taking a position on how individual offices now organise themselves, distances and relationships with the employees and those to be served by the office, is impossible for the Prime Minister to take over the Spokesman of the Stortinge. I think the representative of Enoch has a sense of that. In the revised national budget, we propose to strengthen Aetat by 15 million. kr to facilitate transition problems.
ParlaMint-NO_2002-05-22.ana.ud696e405	There will be follow-up questions – Inge Ryan.
ParlaMint-NO_2002-05-22.ana.ud696e408	Vardø is not unique in the sense of experiencing demise. I receive a lot of e-mails and telephones from individuals and municipalities that are actually stated about the situation. But at the same time, I also receive enquiries from people who are happy to get started and contribute to shaping a forward-looking and new district policy. The announced district commission from the Prime Minister is very well received by many. But many are impatient to get started, because they see the urgency of finding new approaches to district policy. My question to the Prime Minister is therefore: Does the Prime Minister agree that it is important to get this work going quickly, and is the Government on track with this important job for District Norway?
ParlaMint-NO_2002-05-22.ana.ud696e415	Let me first give Ryan a well-deserved reward for having taken a constructive approach to how we should proceed in the field of district policy. It is not just a question of moving on in the old tracks and being concerned only with appropriations for old instruments, which have also largely not had the desired effect, but be willing to think new, new instruments. There, Ryan and SV have been deserving of very many others in this debate. Ryan also proposed the creation of a district commission on this very basis. I took a positive view of that, and we intend to follow it up. I agree that one should not wait too long. But as the representative Ryan well knows, there is currently an expert committee, appointed by the previous government, which can now provide us with valuable basic material. We are open to the fact that after the en route report from this sample, coming to the harvest, the time may be at the heart of a broader policy-making commission. We will assess this when this comes, and we would like to consult with SV.
ParlaMint-NO_2002-05-22.ana.ud696e422	Oddbjørg Ausdal Starrfelt – for follow-up questions.
ParlaMint-NO_2002-05-22.ana.ud696e425	I would like to ask a follow-up question to the Minister for Transport. I agree with the Government that we get many emails and many messages from District Norway about frustration – frustrations over the Bondevik government's missing district policy. Many will, but will not, because the active substance is not present. And the drop that was asked to float into Vardø was the closure of Vardø Airport. The same thing in Narvik. And then I'd like to ask the Minister for Transport, did she have contact with other departments? Did she get an overview of the closure of state workplaces in Vardø, and to the extent in Narvik, before she made suggestions to shut down airports? She had contact with the municipality of Vardø, with the municipality of Narvik, to see what was possible, and what they could bear, for one could easily imagine in a situation where a moralist over the frustration of people. In the Labour Party we understand very well that they are frustrated.
ParlaMint-NO_2002-05-22.ana.ud696e432	The transport sector is very central to rural policy in Norway. It has been, and it will still be. I'm very concerned that we need to find good district solutions in the area of transportation, as well as in aviation. That's why we went to the step of proposing those closures, because we saw in these regions there was a gain to pick up that there was a different traffic base at the nearest airports. That is why, as such, the region will benefit from our gripping them. I would also like to remind you, in the same way as the Prime Minister has done, that it was under the previous government that the transport plan was presented, where it was asked to carry out such a review of the airports in Norway. It was implemented, and we have followed it up.
ParlaMint-NO_2002-05-22.ana.ud696e439	Carl I. Hagen – for follow-up questions.
ParlaMint-NO_2002-05-22.ana.ud696e442	I'm going back to the Prime Minister. This is about Vardø Municipality. The free revenues of Vardø Municipality were 34,876 kroner per employee, according to the Central Bureau of Statistics. built-in last year, 50 pst. above the national average. Vardø Municipality's administration costs NOK 5 121 per month. The population, almost twice as much as the national average. The medical coverage per person 1000 inhabitants are 0.99, against the national average 0.77. In all fields, Vardø is in a special class relative to the national average: higher childcare coverage, more elderly with home services, twice as many children following child protection, higher operating costs per year. place in the institutional care of the elderly, etc. And there are three fewer students per year. primary school class in relation to the national average. Does the Prime Minister agree that it is also necessary to look into the municipality's own governance after the cause of any problems? When they are spent in relation to the national average, local politicians may in fact be responsible themselves, and they should not be blamed on the state.
ParlaMint-NO_2002-05-22.ana.ud696e451	As I said in a previous answer, there is a need in many municipalities to go through the use of resources. Many municipalities have done so to a large extent, they have streamlined and rationalised, and feel that they have come into the leg and are no longer able to do so. Some municipalities, as I said in a previous answer, probably still have a potential for better resource use. I do not know the details of the Vardö situation in the various areas of which the representative Carl I. Hagen now mentioned examples, but I just think on such a background that it will be more constructive that the State and Vardø Municipality enter into a dialogue, for example. through the county, on how to make even better use of resources, if any. The closure of political functions is not such a constructive approach. The state is open to dialogue.
ParlaMint-NO_2002-05-22.ana.ud696e457	Marit Arnstad – for follow-up questions.
