ParlaMint-NO_2002-12-18.ana.ud519e28	The representative of Olav Gunnar Ballo will make a private proposal.
ParlaMint-NO_2002-12-18.ana.ud519e131	The government will pursue an offensive energy policy, but it must also be environmentally friendly. In the case of gas power plants, Stortinge well knows the contrast that exists at that point. We have accepted that the three pending applications for gas power plants can be realized as part of a compromise in the Sem Declaration, but the companies themselves have so far not wanted to do so. This is due, inter alia, to: previous low prices. So believing that opening up to a number of conventional gas power plants is going to solve the power situation is not realistic. The oil and energy minister has launched the objective of releasing 10 TWh by 2010, by investing in new renewable energy sources and energy saving. We want to make better use of existing hydropower plants through upgrading and expansion and building several small power plants, we have put forward a strategy for increasing the use of gas, and we are putting considerable emphasis on the development of CO2-free gas power plants. This is an offensive strategy for better balance in the power market.
ParlaMint-NO_2002-12-18.ana.ud519e141	Sylvia Brustad – for follow-up questions.
ParlaMint-NO_2002-12-18.ana.ud519e144	I am surprised that the Prime Minister does not have a more offensive strategy or takes this problem more seriously, either in relation to having a strategy to get more power into the market or to take seriously that many people in April are going to feel that the bill is rising by about NOK 4000 – 5000 on average. The answer we got from the Government is $450 more a year. So it's a drop in the ocean in relation to these increases. That's 20 million. kr for information measures, but it does not help those who have major problems paying the bills over Christmas. As the representative of Stoltenberg said here, we have submitted several proposals that can remedy that situation. And my question to the Prime Minister is: Will the Prime Minister make sure that his party traps here in the house seriously evaluate this, and that we can make sure that we get arrangements that make people not just referred to the social office – which will actually be a consequence of this if the government doesn't agree to do anything?
ParlaMint-NO_2002-12-18.ana.ud519e151	There is no difference between the Labour Party and the Government Parties in taking this situation seriously. The government does. I have to say that the Workers' Party has been responsible for energy policy for many years and has not taken measures that have brought the now called for balance to the power market. Of course, we will also consider the proposals that are being put forward in Stortinget, as I said in a reply to the representative of Stoltenberg. The measures we have already proposed will remedy the situation somewhat for 75 000 households who are among the most disadvantaged. In addition, the Minister for Oil and Energy has initiated a meeting with the power industry to discuss measures for consumers with low paying capacity. So we're going to give 20 million. kr to information measures. This can be very important for many consumers, so that they can get better acquainted with energy saving opportunities and get better informed on the power market to get better out of it. And as I said earlier, we want to consider further measures.
ParlaMint-NO_2002-12-18.ana.ud519e158	Odd Roger Enoksen – for follow-up questions.
ParlaMint-NO_2002-12-18.ana.ud519e161	There has been broad agreement in the 1990s on an energy policy which implies that it is the market that determines whether or not new capacity is being built up – there is price and demand. In many parts of the 1990s, we have had a surplus of power. It's a situation that's now turned around, and we're going to have a long-term situation with a deficit of power. Unless the authorities are willing to go in with incentives to implement additional measures, to build up new capacity or to modernise existing power plants, new capacity will not be built up with the price picture we have traditionally had. Therefore, it is absolutely necessary for the authorities to go in. But the situation in the autumn has been that the power plants have exported large amounts of electricity to Sweden for a dry year. We've kept the Swedes on cheap power. Now Norwegian consumers are paying the bill for this. We have emptied the warehouses as far as November, despite lack of water. And my question to the Prime Minister is: Does the Government intend at all to take action to secure the supply situation in dry years, as we have had this year?
ParlaMint-NO_2002-12-18.ana.ud519e168	I believe that I was now involved in the offensive energy policy that the oil and energy minister has set up. It will help to bring about a better balance in the market. With regard to the free energy market in the Nordic region, to which the representative of Enoxsen now referred, this is justified by the Energy Act, which in its time was proposed by a central party council, Eivind Reiten, which has mainly worked well. I wonder if anyone has intended to reverse the free energy market in the Nordic region and change the Energy Act. I don't think that's the way to go. As the representative, Mr. Enoksen, said, this has worked very well for a long time. Now we are in an exceptional situation because of low rainfall in the harvest and a relatively early and cold winter. We have to remedy the situation for those who have the most difficulty, and I can also inform you that the NVE will now grant exemptions from the regulations, so that the network companies can actively offer monthly invoices to their customers for a limited period of time.
ParlaMint-NO_2002-12-18.ana.ud519e175	A manifest misunderstanding, President!
ParlaMint-NO_2002-12-18.ana.ud519e180	No, there's no room to solve obvious misunderstandings, there's follow-up questions and answers. Let's go to the next main question.
ParlaMint-NO_2002-12-18.ana.ud519e185	I also have a question for the Prime Minister. This is also about the power price, but it has a completely different angle, namely the fact that the state is now receiving significant revenue as a result of the high electricity prices, and that we still have a sky-high electricity charge. In the 1999 financial debate, the Prime Minister said: ‘It is not possible to see the electricity charge isolated from the electricity price in general. In fact, we in Norway today have a very cheap current. It will also be after this increase in the electricity charge...» In the same debate, the Chief Speaker of the Left said that the price of energy has to rise. So he wanted higher prices, the same as SV always wanted, to force households to use less power. But the Prime Minister has seen the electricity charge along with the electricity price. Is it not a natural consequence of the principle that the Prime Minister has repeatedly asserted that we are now substantially reducing the electricity charge, and possibly temporarily removing it, in order to get lower prices immediately?
ParlaMint-NO_2002-12-18.ana.ud519e195	Now the Stortinget has just adopted the State budget for 2003, including the electricity tax. I think it would be strange if the Prime Minister a few days after this happened, he says that now we're going to change a part of a budget line that's got a majority here in Stortinget. It is true that one must be able to see the electricity charge and the electricity price in the context, so I also defended an increase in the electricity charge during the time of the central government. Last year, the first year of the Cooperative Government, we proposed, as far as I remember, a reduced electricity charge. I think we need to see developments over a little longer time before another starts to charge the electricity tax. We cannot begin to change part of a budget a few days after its adoption. It is true that the country is likely to have increased revenues due to electricity prices for a while now, but other taxes and taxes are also moving. Developments in the Norwegian economy and the world economy may mean that we can get lower revenues than predicted in other areas, so that one cannot see an increase in income in isolation. As usual, how this picture develops with regard to the revenue side of the budget will come back to us in the revised national budget. My tip is that there will be both pluses and minuses on the revenue side of the budget after half a year.
ParlaMint-NO_2002-12-18.ana.ud519e202	The main background of the budget was an assessment of the economic outlook by May, June, July and possibly until August. So things have changed significantly. In the national budget, a certain assessment was made, of course also by electricity prices. Now, the Norwegian people are actually experiencing an increase in taxes and taxes. All households receive a higher expenditure growth, partly directly to the country in the form of the electricity price. Is it not natural, then, to adhere to the premise of the budget that was now adopted, namely to reduce the electricity tax and, where appropriate, also the VAT on electricity, to what was the precondition for the budget when it was being dealt with? This has changed in just a few weeks, a dramatic change, and then, if you were to focus on what was planned for the state budget and the national budget, you should reverse, you should put down the sky-high electricity price for households.
ParlaMint-NO_2002-12-18.ana.ud519e208	I think everyone understands that if you were to run and revise the budget every two weeks based on things that have happened, one would come a completely wrong one from the farm. A prime minister cannot stand in the Stortinget just after the Stortinget has adopted a budget, and say that now we're changing it. We have clear procedures for reviewing budgets if the assumptions are changed over a slightly longer period, and that is primarily in relation to the revised national budget. It's, and it's in the name, a revision of the budget. And then of course, we'll be able to get back to this, if you see that here the cost picture has become quite different from what you thought, and then not just over a few weeks, but over a few months. But I would also like to remind you that, after the budget framework was adopted in Stortinget, we have, happily, received an interest rate reduction of half a percent, which facilitates the economy of many households, for the municipalities with approx. 400 million. kr, and for enterprises. But, of course, we're not changing the budget line from that.
ParlaMint-NO_2002-12-18.ana.ud519e215	There will be three follow-up questions – first Heidi Sørensen.
ParlaMint-NO_2002-12-18.ana.ud519e218	In Norway, we use approx. one-tenth of what we charge for electricity, for support measures for an additional and new renewable energy sources. What makes Norwegian households so hard hit by the fluctuations in the electricity market is that we are so unilaterally dependent on electricity for heating. In Sweden, parts of what is included in the electricity charge are used to provide support schemes to people who are unilaterally dependent on electricity for heating. If you install a heat pump, you get 8000 kroner, if you install waterborne heat, you get 20,000 kroner, and if you do what I have done and buy a pellet stove, you get 8000 kroner. SV has proposed similar support measures: we use a bit of the electricity charge and help those who rely unilaterally on electricity for heating to get a more flexible and environmentally friendly source of heating. I want to ask the Prime Minister if he wants to participate in such schemes and arrange the electricity charge so that the first kilowatt we buy costs less than the last one.
ParlaMint-NO_2002-12-18.ana.ud519e223	I can't just take a stand from the pulpit now on all the individual proposals from Sweden that Heidi Sørensen mentioned, and earmarking revenue for certain expenditure purposes is a system with which the Storting is generally held back. It is crucial not whether it comes from the electricity tax, but whether there is an increased grant for the development of alternative energy for an additional measure. We have invested significantly in this in recent years, there has been a clear increase over several years, and I have also worked hard for whether I have been in government or I have been in a big deal. We have established Enova, which will be a very important instrument for such actions as the representative Sørensen mentioned here. In general, I think SV and the government in this area are in line, and then we will continue to discuss concrete individual measures.
ParlaMint-NO_2002-12-18.ana.ud519e228	Rolf Terje Klungland – for follow-up questions.
ParlaMint-NO_2002-12-18.ana.ud519e231	It should not surprise anyone that we have an anti-employee government. They have now expanded the overtime framework, they are in favour of weakening job protection, they want to weaken the health pay system, and yesterday the Minister of Oil and Energy was here and said that he would use workers as an input into energy policy. In fact, he encouraged large consumers, especially the power-intensive industry, to stop their production so that they could sell the electricity. Then we've seen through the media that it's not certain that those who are being permitted or cancelled from these businesses will get leaven once. Does the Prime Minister think it is a right policy to use employees in this inadequate energy policy that the Government is pursuing?
ParlaMint-NO_2002-12-18.ana.ud519e236	The President is very much in doubt whether this has anything to do with the main question.
ParlaMint-NO_2002-12-18.ana.ud519e239	Yes, I must also say that I am strongly in doubt about that, and it was a presentation of the government's policy that at the point after point was misleading and wrong. Firstly, of course, this is not an anti-employee government. We have led an economic policy now that, together with other factors, has contributed to a reduction in interest rates. It is employee friendly. We are in the process of working with the social organisations in terms of income policy, including: the employee organisations. It is employee friendly. We have no desire to weaken the sickness pay system. That is why we are working on a project for an inclusive working life to try to bring down the rapid increase in sick pay without interfering with employees’ rights. We have not intended to use the employees in such a trendy way as the representative of Klungland now gave the impression, and I am also convinced that the Minister for Oil and Energy will not recognize himself in that description.
ParlaMint-NO_2002-12-18.ana.ud519e250	Øyvind Waksdal – for follow-up questions.
ParlaMint-NO_2002-12-18.ana.ud519e253	Yesterday, in the Minister of Oil and Energy's statement, we were told that the government's measures to fine the high electricity prices were a few hundred-fold increase in housing support for disadvantaged people, and that 20 million were to be disposed of. kr on an information campaign. This can only be described as a provocation against the Norwegian people. The government and the majority of the population, despite numerous warnings from the Progress Party, have now led us into a power crisis with prices that force more and more people to go to the social office, and while people out there have to bleed like that, the Norwegian state – the richest state in the world – hopes in extra billions, among other things. in the form of VAT. Is the Prime Minister comfortable with such a situation, and what does he actually want to do to plow these extra billions back to the Norwegian people?
ParlaMint-NO_2002-12-18.ana.ud519e258	As I have expressed several times, no one is comfortable with a situation where the power price is so high. This is because, as I have stated earlier, a low-precipitation harvest and a relatively early and cold winter. Then such situations may arise. We are now taking measures to address problems for those who are coming out the most difficult, and we are pursuing an energy policy that will provide a better balance in the longer term. We are not in favour of the policies of the Progress Party – we cannot call it force-socialism, since it is the Progress Party, but a similar policy – which, in my view, is a little environmentally friendly, and the Cooperation Government is taking the environment seriously. It has to do with future generations. With regard to billions of income, I have to remind the representative that there are different factors in the Norwegian and international economy that allow incomes to fluctuate both up and down. We will get an overview of this when we come to the revised national budget. We cannot today say how this income picture evolves.
ParlaMint-NO_2002-12-18.ana.ud519e266	Then we move on to the next main question. Otherwise, power-socialism is not an inconvenient word.
ParlaMint-NO_2002-12-18.ana.ud519e271	I would like to ask the Prime Minister a question. Last night's evening number of the evening post says Marit Solli, who is the head of the Slum Station in Oslo, that they notice a strong move in terms of people who are really struggling in front of Christmas, and who need extra food bags from the Salvation Army to get Christmas to go around. «Users have become 50 per cent more since 2000,» reports the Slurry Station of the Salvation Army, and the Bymission of the Church also reports the same. So there are more people who are now struggling with what we can call direct poverty, in one of the richest countries in the world. What does the Prime Minister think about this situation?
ParlaMint-NO_2002-12-18.ana.ud519e278	I believe that it is unworthy of our welfare society that there are still so many poor people in Norway who have such problems as the representative Kristin Halvorsen now referred to. I'm going to visit one of the organizations that Kristin Halvorsen mentioned, namely the Church's City Mission, which is doing an impressive job in this area. I think we need the voluntary organizations, which reach the most disadvantaged, as well as what we can do on the part of the authorities. As you know, the co-operation administration has taken action in the 2002 budget to help the poor beyond the proposed Stoltenberg government, among others. We increased the children's supplement to the underprivileged, we increased the rates of the guidance social assistance scheme, we adjusted the price of the grant to light and heat in the housing support scheme, which had not been done for a long time, and where the Workers' Party actually proposed the closure of the template grant, and we strengthened the housing support scheme. We also have several actions in progress for 2003, which I am sure the representative will be aware of, among other things. strengthening the follow-up service for the homeless, many of which we have in Oslo, improving the housing support system for disadvantaged families of children, grants for urban youth measures, measures to combat poverty through the work of voluntary organisations. This is presented to the State budget for 2003 and the longer-term poverty plan. And this is precisely because we have the same concerns as the representative Halvorsen, that is, that there are still too many in our own society that fall through in our welfare systems.
ParlaMint-NO_2002-12-18.ana.ud519e285	It must be a real declaration of failure for this government when it is not just that one cannot eliminate poverty, but that it is actually increasing. Because even though the Prime Minister is for non-governmental organisations, it is not possible for the Government to aim for the Church’s City Mission, the Salvation Army and others who do a very necessary and important job to do more because of public failure. And that's the situation. Many of those who come to the Salvation Army or to the Church's Bymition have been rejected in the social office. They don't have the opportunity to get another penny for Christmas in the social office, and that's the background for them to come. This is not a jubilee for those who are the poorest among us. It feels unworthy and difficult to go to the end station of the poor, who are the Salvation Army. I have a concrete challenge for the Prime Minister. It's like today that it's up to the municipalities if people get an extra contribution from the social services for Christmas. Most of us get half tax credits because we take into account that we have extra costs for Christmas, but that's not for social clients. [[The President clubs.]] Does the Government want to help all municipalities make an extra contribution to their social clients in connection with Christmas?
ParlaMint-NO_2002-12-18.ana.ud519e292	I must ask the representatives to have respect for the speaking time. That's the only way we can solve this with roughly equivalent ratios.
ParlaMint-NO_2002-12-18.ana.ud519e295	I am convinced that those who sit at the social offices are absolutely thinking about themselves. I can't go out with a decree from here today on this, but the social offices in the municipalities that are close and have visits to the clients, I think they're the closest to evaluating it, so that everyone gets to celebrate a most dignified Christmas. Some of the things that really upset me when I walk around Oslo – and I've also been out with the Salvation Army recently – are the homeless, those who don't have a roof over my head. Next year, the follow-up service for the homeless in the big cities is strengthened by 30 million. NOK, and it is precisely to give a handshake to that work. And it's going to happen in collaboration between volunteers and the public. Of course, there is no goal for the Bymission and the Salvation Army to have more to do. This is in addition to the other measures we have proposed in the State budget.
ParlaMint-NO_2002-12-18.ana.ud519e302	There will be follow-up questions – Magnhild Melting Group Kleppa.
ParlaMint-NO_2002-12-18.ana.ud519e305	Is it the fact that the Prime Minister is here and really happy with the Government's efforts, when the situation is so substantial that the differences are increasing and there are more people asking for help from the Salvation Army, and the Salvation Army reports that they are actually getting less in their Christmas rhythms this year than before? It's a serious hindrance when this government has actually made sure that on permitting there are several families of children who have to spend more. Over the New Year there will be pressure towards more overtime, there is a risk of contraction in sick pay, decisions have already been made about less for child care for single families, and we know the situation in municipalities. A poverty package is good, but does the Prime Minister not see that if one now reduces the targets that one has when it comes to additional tax havens and allows cash support to go only to those who look after their children's homes, will one have much more to do with those who have the least?
ParlaMint-NO_2002-12-18.ana.ud519e314	The Prime Minister will never be satisfied with the government's efforts until we have been able to properly combat the problems that the representative Kleppa has now addressed. I thought it was nice that the two of us could work together in the central government on the so-called Equalizer message. Much of the groundwork of the co-operation administration has been followed up, namely the action plan to combat poverty in Norway. It's actually the first time a government has put forward such a plan, and it could possibly value some more. In the 2003 budget, we have proposed a number of measures in the care sector and in the fight against poverty of about 400 million. a total of DKK, which is intended to benefit these groups. I mention several measures in the labour market, including: for long-term social welfare beneficiaries, extended social security rights for lone parents in education, strengthening the follow-up service for the homeless, measures in the big cities, more low-threshold services in the care of drug users, etc. I'm sorry, I'm not coming anymore. I think maybe you should focus on this instead of just attacking the government's tax policy.
ParlaMint-NO_2002-12-18.ana.ud519e321	Karin Andersen – for follow-up questions.
ParlaMint-NO_2002-12-18.ana.ud519e324	What upsets SV is that we have a prime minister who is obviously more concerned with plans and paper than with reality and trying to do something with it. For reality, here is the one, in what was in the Evening Post last night, that poverty is increasing despite the plans put forward. Yesterday, Stortinget and the Government granted NOK 5.8 billion and thought it was good to spend so much more on contaminating the Barents Sea. All errors were then admitted, while those who go to the social office are to be tested for their needs and experience unworthiness. And many of them end up at the City Mission of the Church and at the Salvation Army. How is it possible for the Prime Minister to be a helpless spectator to allow this to develop during his reign?
ParlaMint-NO_2002-12-18.ana.ud519e334	I must say that I myself get quite upset when representatives stand and accuse the Prime Minister of being insensitive and a helpless spectator – in an area where I have actually engaged quite strongly. I had hoped that I could have let go of this. I must also mention that the measures I have referred to for 2003 have, of course, not yet been able to work, because the 2003 budget is starting to work from 1 January. Then it is not possible to set it up against the situation today. Actually, I think I know a little bit about it. I have visited the Salvation Army. I'm going to visit the Church's Bymission today. I'm going to get a clear picture of reality. I've been out in Oslo streets with those who work there, so I know some of that reality, not just through descriptions in the evening post. That is why this government has now presented the most comprehensive measures ever proposed to combat poverty. Perhaps we could concentrate on working together on them – and would like to strengthen them – instead of making such accusations that I feel that I am now being subjected to.
ParlaMint-NO_2002-12-18.ana.ud519e343	Let's move on to the next main question.
ParlaMint-NO_2002-12-18.ana.ud519e346	I also have a question for the Prime Minister. I think it is necessary to follow up on a question of the situation on the energy market, primarily because the Prime Minister answers very evasively both in terms of the question of those who are poor and will have problems with a sharp increase in the electricity price, and in terms of the problems that some industrial workers are currently facing, also as a result of the electricity price. The Prime Minister chooses in a familiar style to show that the Workers' Party has had influence, and that we have had an industrial minister named Eivind Reiten, who came from the Senter Party. According to my head bill, Prime Minister Bondevik has been Prime Minister in Norway for three and a half of the last five years. And then my simple question is: does not the Prime Minister then have responsibility for the current situation in terms of electricity supply in the market, and also for the situation of those who will be hit by a sharp increase in the electricity price?
ParlaMint-NO_2002-12-18.ana.ud519e355	Yes, I can assure the representative of Solberg that the Prime Minister is fully aware of his responsibility, and I also know how long I have been a prime minister. But others who have also been responsible cannot run from it either. We have to take responsibility, we who have been responsible for energy policy, for social policy and for measures to combat poverty. As far as the last point is concerned, I believe that this government has done more – and it shows the facts – than any previous government has done. So I'm not running away from that responsibility at all. But the fact that we have had an unusually low rainfall harvest, and the fact that we got a relatively early and cold winter, I guess the Prime Minister alone cannot take responsibility for it. But the energy policy and measures to remedy the difficult situation this creates too many, of course the government of the country, together with the Stortinget, is responsible for, and the prime minister is fully aware of that responsibility. That is also why we are proposing the measures that I have outlined in the previous answer.
ParlaMint-NO_2002-12-18.ana.ud519e360	It was good to hear that the Prime Minister takes that responsibility, after he has used most of his answers to point out to everyone else who has and should take responsibility. I have recorded that the most concrete answer the Prime Minister and the Government have to those who will have problems with the electricity bill is 30 kroner more a month in housing support. I don't think the Prime Minister has answered so far whether he himself believes that it is a satisfactory way to help those people who will get an increase of perhaps NOK 4000 – 5000 on their electricity bill in April.
ParlaMint-NO_2002-12-18.ana.ud519e367	I have explained further measures beyond that. I have explained measures to guide customers in the energy market, which can actually mean significant savings in relation to the current bills that many people have today. I have explained that the Council of State has initiated a meeting with the power companies to assist those who come out the most difficult. I have explained that a derogation is granted from the regulation, so that the transmission system companies can actively offer monthly invoices to their customers for a limited period in the future, which can remedy the exceptional and difficult situation. I have also stated that the Government will continuously consider further measures. So my answer didn't just go on one point, as the representative Solberg said.
ParlaMint-NO_2002-12-18.ana.ud519e372	The President allows three follow-up questions – first Trond Giske.
ParlaMint-NO_2002-12-18.ana.ud519e375	One of the measures mentioned by the Government to remedy the power situation is that large consumers of energy, i.e. industry, should either shut down their business or leave off their employees. The Minister of Energy said yesterday that power-intensive industries have the opportunity to sell power to the market if they reduce their activity in winter. And I assume that with still high prices more companies will assess their power consumption in winter. In plain text, this means that employees are either to be cancelled or permitted, to go into unemployment, and that there is going to be a way to solve the power crisis. That's why I think it was rather strange to hear the Prime Minister reject the question of whether you actually use employees in the industry as an input to solve the energy crisis. That's exactly what the oil and energy minister actually says. My question to the Prime Minister is: Does he also mean that thousands more of industrial workers should be pushed into unemployment to solve the power problems in Norway?
ParlaMint-NO_2002-12-18.ana.ud519e382	No, we're not going to use increased unemployment as a tool to reduce electricity prices. I can be sure of that. For this government, full employment is a primary goal, it's the whole main line behind our budget. It could be enterprises that are in a situation where they have power for sale. They shall not push people into unemployment to obtain it, but they may be in a situation where they have free power for sale. It can remedy the situation. In such cases, of course, it may be reasonable. But it's something other than actively using unemployment as a tool to reduce electricity prices.
ParlaMint-NO_2002-12-18.ana.ud519e389	Øyvind Waksdal – for follow-up questions.
ParlaMint-NO_2002-12-18.ana.ud519e392	Yesterday the Storting got a statement from the Minister of Oil and Energy about the precarious situation in the power market. Despite extremely high electricity prices that force more and more people in the social office, obviously the government has not understood the seriousness of the situation. You have to continue your endless desert hike in the hope that only people use less power, everything needs to be taken care of. And unfortunately, you still have the same belief that alternative energy sources are going to save the situation, despite the fact that it obviously hasn't worked. For many years this situation has been warned by the Progress Party, but unfortunately deaf ears have been spoken of. Will the Prime Minister now, as the Head of Government, show action and cut through so that we can increase power generation and thereby get cheaper electricity – of course, in addition to lowering taxes – so that people can live with the electricity bill?
ParlaMint-NO_2002-12-18.ana.ud519e400	The representative of Waksdal's claim that the government has not understood the seriousness is not correct even if it is repeated. The government has understood the seriousness, and we take this as seriously as the parties on the Storting. I have explained both the short-term and the long-term measures that the Government is in favour of. I am aware that they do not all coincide with the policies of the Progress Party, but that does not mean that the energy policy of the Progress Party, and even less its environmental policy, is better than the policy of the Cooperation Government. We are putting in place increased measures in the context of the housing aid scheme, in terms of information measures, and in terms of payment deadlines for consumers. We are also willing to consider further measures, both those that may be proposed in the Stortinget, and continuously in other ways. We can get back to that. But I do not think it is right to leave the electricity charge to a kind of yes, just after the Storting has decided it.
ParlaMint-NO_2002-12-18.ana.ud519e409	There will be follow-up questions – Marit Arnstad.
ParlaMint-NO_2002-12-18.ana.ud519e412	I notice that the Government will invest in further information measures and additional measures, and that is good. Not all of the measures mentioned by the Prime Minister are entirely new, but they are nevertheless good. At the same time, I also believe that there is a need to think about new energy developments in the future. Many of the measures we are now putting in are going to expand wind power, expand heat solutions, and they go in relation to industries, businesses and industry. Very few of the measures are targeted at consumers. To create an environmentally friendly energy policy in the years to come, we need to combine environmental friendliness and consumer friendliness. That is why I think it was a little too simple that the Prime Minister now rejected the question of designating the electricity tax for action against households, because it should be one of the measures that the Government now has to assess. Why can't people see that part of the fee they pay can be used when they choose to act environmentally friendly and energy friendly, for example. When they install waterborne heat? And why can't they also get a tax deduction for that kind of investment?
ParlaMint-NO_2002-12-18.ana.ud519e421	I will not leave the pulpit to reject further good measures. And seeing the relationship between environmental friendliness and consumer friendliness, that is, it's worth paying for the individual to act environmentally friendly, I agree with that is a good principle. If one does so by beginning to designate parts of the electricity charge for the transfer to certain energy saving and an increment measures, I am somewhat more in doubt about that. But as I said, I'm not going to categorically reject it. We would like to discuss this further, but I am well aware that the Storting is generally reluctant to designate the use of income from certain charges. I'll take that into account. But, as I said, both in the service of the environment and consumers, we must consider such proposals. It will in any case not be able to remedy the situation we are up in this winter.
ParlaMint-NO_2002-12-18.ana.ud519e426	Let's move on to the next main question.
