ParlaMint-NO_2002-02-07.ana.ud1617e38	The representative of Heidi Sørensen will make a private proposal.
ParlaMint-NO_2002-02-07.ana.ud1617e169	The investigation of sexual abuse against children has been of varying quality for too long. The report ‘Sexual abuse against women and children’, prepared by Åse Texmo and Lisbeth Aarvik for the Nordic Women’s University in 1998, shows in detail how the lack of competence combined with the lack of status and the lack of willingness to prioritize matters leads to a large number of such cases being resolved. Of course, this has enormous significance for the children involved, while losing the opportunity to take action against many of the adults who commit such abuses. Since this discussion is about the investigation, I would like to mention carefully that SV looks with concern at the fact that the offer to offenders is very variable and sometimes non-existent, and we hope to have a majority for both a resolution of the criminal justice system and of the psychiatry in the future. SV has stressed the importance of being together with other parties about the comments, because we believe it is important that the Committee combines leadership to strengthen the job of detecting and investigating sexual abuse against children. In principle, we could imagine explicitly stating that the police districts should have reimbursed the costs of participating in the continuing education courses at the Police College dealing with domestic violence and SO issues, precisely because we see that these are areas that had earned a much greater degree of consciousness and competence. There is reason to believe that more police officers and women than those currently attending the courses could want to do so, but that economic arguments are used not to do so. This may have to do with economics, but it may also be that such cases have less status than for example. drug-related crime. By removing the economic argument, we might get more people to train in this area, as well as that the signal effect would be strong. However, we have been content to ask the Directorate of Police to facilitate such participation, and now expect a job to be done to spread competence and insight. SV is also very concerned that this field becomes a major topic in primary education at the Police College. Nine hours is little in the big context, and we're of the opinion that the interest in a field also depends on insight. We therefore hope that the Department will take a closer look at this, preferably in cooperation with the Police Joint Organisation. There is a lot of good will in the police, and many have gradually gained invaluable knowledge about both domestic violence and sexual assault issues. Not least, many women possess such competence after being literally cast into it as young, newly trained police officers. This competence hopes that we will now have a greater place in the efforts of our own family violence coordinators in the police districts, and we assume that SO issues will be given much greater attention in the future. SV will closely monitor how this is done and how this initiative will work in practice. We are particularly concerned that teamwork is being facilitated, and that the police officers and women who are going to work on these very heavy and serious issues get the follow-up they deserve. There has to be a status attached to dealing with family violence, rape and sexual assault. Not least, we need to find out how important it is to address this early, and that the people involved are getting help and treatment. We have to do what we can to prevent the victims from being attacked in the next round, and the abuses are repeated, for example. after a stay without adequate help and treatment. We also hope that, in the context of the action plan ‘Violence against women’, there will be a greater level of awareness of this throughout the auxiliaries and that cooperation will be improved between them. Finally, I would like to stress the important work done by the National Resource Centre for sexually abused children, and I hope that the Department finds reason to make the Centre permanent, or at least extend the Centre's term of office.
ParlaMint-NO_2002-02-07.ana.ud1617e182	We often say – and we mean it well: the children are the most important thing we have, not least in view of the future. But also for some time, for children have the right to be children, to experience security, to experience care, to experience that they can unfold as small people without obligations and without responsibility. That's the child's right. When adults use the child as a means for themselves, there is perversion, which is totally unacceptable. The case that we have to deal with today has its background. Firstly, it was clearly stated that when it came to child abuse, there were few cases that were reported. Of the cases that were reported, too many cases were committed, and the fact that they were dismissed was usually due to the lack of sufficient evidence to carry the case forward. In the cases that were passed on in the legal system, it was only a fraction that led to the killing of the invaders. And the reason was that you had too much evidence. Why was that so? First, because the police did not have enough competence to investigate such cases. You weren't equipped, neither professionally nor otherwise, to deal with this. Secondly, because in different places around the country, it was difficult to obtain the necessary professionals who could be involved in securing evidence within a reasonable time after the abuses were committed. It could go up to four weeks from a notification of an infringement and until legal proceedings had been carried out that were of such a nature that they could be used in a subsequent legal proceedings. And what happened in the four weeks that went on? Well, then the child was kind of left to himself. It wasn't allowed to talk to other adults about what had happened, because if it did, the child's statement would not be useful in a future trial, because the child would then be affected by the adults, which was disqualifying. And thirdly, the awareness of these things that I've pointed to led to things that were involved in assault being prioritised at many offices – if not consciously, so subconsciously: we know that we can't do this, so we're going to postpone it. So what was the result of this? The most important thing was that the children felt failed by the adult community. We didn't take the kids seriously. We subvert their experience, saying indirectly to the children that they're lying. That's terrible. That is why it is necessary for us to grasp it. The result was also an arrogance among people. It was thought and felt that there was no sense in reporting such cases, since it nevertheless led to nothing but further inconveniences. The third thing that led to this was, unfortunately, that we had some murders in this context. People were accused and convicted on a wrong basis. And there's nothing that's so devastating to these things that when people stand up behind and say that what they said, was not true, it was dictated or obtained under pressure from someone else. That's why it's necessary that we do something about it. And that's why the Christian People's Party proposed in the 2000 Treaty debate to establish a central knowledge base on these things, so that you could have a comprehensive body that could be deployed for use throughout the country. We would then avoid discrimination, by not only being able to conduct interrogations and provide adequate help to the child, which could be used in an pending trial, where professionals were available. That's why I'm glad we got where we are today. We've got a unanimous attitude, and I'm glad. The Labour Party voted against establishing a central knowledge base when this was presented in the debate on the throne, but I am pleased that we agree and have met – perhaps not in what, according to the Christian People's Party's opinion, is the best option, but however: this is a beginning of something that I think might be important. A psychologist’s report, published in the Evening Post on 11 January of this year, states: ‘The protection of children and the judiciary is lacking in the understanding and competence of the child’s response to criminal offences.’ Children choose to keep quiet, and they do so because of shame, threats and desire to protect. This report states that it appears that both child protection and justice require children to be able to express themselves clearly about abuse when close persons are suspected. Children don't. So the public is becoming more concerned with proper behaviour in relation to laws and regulations than focusing on the child's interests. It's a misunderstanding. It is the child’s interests and the child’s future that must be at the heart of our attention in these matters. That's why we in the Christian People's Party are not so afraid that there could be some mix-ups when the Kripos boss originally suggested that they should be able to relate to other disciplines. I have confidence that the police would be so professional that they could distinguish between string and bart. But when you've gone away from it, I think it's very right – and it's also underlined from the other parties from this pulpit – that you have to have access to the necessary staff that can go into the matter in question. And that's true no matter where you're in the country. We've been through the host system. And I think it's interesting to read what was in Drammen's Official Journal on January 14th this year. It is told from the Modum Länsmannskontor about a employee who has worked at Kripos and who has now come to this office. This has resulted in a rather significant increase in research into such issues in Modum – probably not because in Modum there is so much worse than elsewhere, but because you have got competent staff to work on these things, the cases are also revealed. That's what's a primary purpose and an intention of this. Those who are truly the object of abuse shall be taken seriously. They're told it's not you who's guilty. You will receive the necessary help, and the guilty one will be taken. Then, in order to take it as the last point, as there are 25 seconds left of my speaking time, it is also important that the legal protection of the accused is respected. It can quickly become a psychosis where everyone has to take the attacker. Then we have to make sure that what we're doing is right, and I think we can achieve that with what we're starting up and establishing today.
ParlaMint-NO_2002-02-07.ana.ud1617e204	Sexual assault on children is the lowest of all lawbreakers. As big politicians, we are always content to be conscious of our responsibilities with regard to turning around and giving security to our youngest inhabitants. There are many positive and constructive actions in the staging and setting up of the Judicial Committee. But I want to focus on a couple of things that could be even clearer. The setting points out that there are often newcomers with a lack of experience who are assigned the task of providing competences in these difficult issues. It is then reasonable to ask the question of the best competence on the other side of the table and is the one to defend the possible attacker. Can we put in place measures to strengthen the competence of those who are responsible for the interests of the children? Research in this area is difficult and not least highly sensitive. It's also resource-requiring. Online sex rings flourish, often directed at children. Do we have sufficient resources to investigate these six rings? The centre party supports SV’s view where one questions whether all police districts are able to ensure continuity, competence and quality to an adequate degree. As I said in the introduction, sexual abuse against children is the most serious of all offences. The centre lot will therefore follow developments in this area closely. Otherwise, we'll support the setting from the committee.
ParlaMint-NO_2002-02-07.ana.ud1617e215	Sexual abuse against children is a crime where there is probably a big difference between the actual number of offences committed each year and the number of cases recorded. For various reasons, many children choose to remain silent about their experiences. This is a very worrying situation, because the actions are targeting the smallest and most vulnerable among us. Effective and improved police action aimed at sexual abuse of children is likely to result in more victims becoming safe enough to report the situation. This is how we can remedy a traumatic and difficult life situation for the many who are being abused. In addition, it can help to overcome, through criminal prosecution and conviction, to a greater extent than at present, the impossibility of committing new crimes. In several ways, the police represent one of our most important social institutions dealing with people in a difficult life situation. Too many people will be in contact with the police as a door opener to other parts of the auxiliaries. This applies not least in relation to children and is related to the formalised cooperation procedures existing between the police and the child protection authorities. In this respect, effective investigation of sexual abuse against children will be important both in relation to the general fight against crime, in relation to the detection of the offender in each case and in order to help the victim of the offence. Several studies have pointed out that improvements can still be made in this area. Cases of sexual abuse against children raise particular problems compared to other types of crime. As a few other areas, this type of issue confronts the police with specific requirements for competence. Police need not only general knowledge of the investigation of sexual abuse but also insight into the specific issues raised when questioning young children. Furthermore, the need for competence increases when disabled or foreign-language children are involved. In criminal proceedings, it is also important that the police engage in external professional competence in a way that ensures proper and good responsibilities between the police and the treatment system. Although much has been done in recent years, among other things. improving the provision of training at the Police College is not enough to give the necessary assurance to the treatment of this type of criminal matter. It was therefore an important initiative that was taken when the Stortinget asked for the opportunity to establish a central knowledge base with competence for sexual abuse against children in October 2000. Since the Storting took this important initiative, the police reform has been adopted and implementation is under way. The police reform with large police districts provides a better basis for building up and maintaining peak competence in this area. Criminal matters perpetrated in Norway occur in a police district. This is where the police's main mission is to be carried out under the direction of the local police chief. It is therefore necessary to pay close attention to measures targeting the police districts in the area we are dealing with today. On the other hand, Norwegian police have always had the urge and the opportunity to seek assistance for the investigation of particularly complex and comprehensive cases at the Crime Police Centre, Kripos. This also applies to issues of sexual abuse against children. As a central assistance body, Kripos may provide assistance to the investigation initiated by a police district. This will always provide significant qualitative and quantitative assistance to the local police. Strengthening police action in this area therefore needs to balance action both against the police in general and strengthening Kripos as a central body of expertise. The proposal to strengthen Kripos with hospitants provides the institution with better manning opportunities to assist local police in the investigation of sexual abuse of children. At the same time, it provides a basis for increased competence in police districts when personnel return after the hospitation period. In this sense, a grip has been taken that strengthens both the central level and the local level. The proposal also requires the establishment of a knowledge base at Kripos. This will include staff of various professional professionals who may be associated with the police in dealing with sexual assaults. Once the police know where to get information about external competence, it will also be easier to use it. Attention needs to be paid to developing this knowledge base through regular knowledge exchange, networking and mutual training activities. Finally, let me comment that I have of course noticed that the Committee is concerned that this will be implemented in practice. It is that when you are going to build a point competence, you have to build it up. There's a lot of ways to do it. It is the final result that is absolutely crucial, and it is crucial that in each police district there is competence to deal with these issues. It will probably be natural in many ways to look at the competences to be built up in family violence and sexualized violence, especially with children, in a context. It's a complex and challenging relationship that several of the speakers have been involved in. I have noticed the practical concerns – to put it that way – expressed by the Committee, and will, of course, follow this up in my further work on the matter.
ParlaMint-NO_2002-02-07.ana.ud1617e247	It's going to be line change.
ParlaMint-NO_2002-02-07.ana.ud1617e251	I agree with the Council of State that thorough practical work needs to be done in the individual police districts in order to be able to solve these difficult tasks of investigating child abuse. The report to Texmo and Aarvik points out that the rate of provision is unacceptable in terms of sexual assaults against children. The figures from the Statistical Centre show that the same is true of sexual assaults against adults. Yesterday's newspaper read that the number of rape reports has doubled in ten years. It is positive that several girls now dare to report rape cases. What's the problem is that despite multiple reviews, the number of convictions is almost halfway across the 10-year period. So the percentage for convictions has fallen from 9 p.m., as it was in 1993, to 4 p.m., as it is today. When several girls now take the burden of reporting a rape case, they should not experience that their case is being dismissed. I am afraid that with regard to the measures we have taken in recent years to get more girls to report rape cases, we will experience that we can have a rather severe setback. Why should you take the burden of reporting a case when you still feel that it is being hospitalised? I will therefore challenge the Dørum Government Council on which further action he will take to ensure that more cases, including in the case of sexual assault, rape against women, end up with conviction.
ParlaMint-NO_2002-02-07.ana.ud1617e258	It's the way in every case that you have to have evidence that holds. That is why what the Committee has been discussing is that we must have sufficient competence to meet the issue properly, with the right seriousness and understanding when they come to the police. At the same time, the police need to take stock of the experience gained after each harvest in the various areas that the representative has now travelled to ensure evidence. There's been a build-up of experience in sexual assault against women. It also underlines some of the Committee's concerns about child abuse. Now you shouldn't take these facts together. What happens is that we go into the private sphere, and when you go into the private sphere, whether it's family violence or relationships that are revealed in connection with sexual abuse or child abuse, you have to be aware of – there are some of the experiences that the police have done in general, including in the area of sexual assault. through the so-called Stovner project on family violence – that securing evidence early is crucial. Building up this competence and ensuring that it is widely known by the police is one of the Committee's points, and this build-up of competence is linked to various stages of police professional development. It is related to the basic training you receive. It is linked to the skills developed in each police district and is linked to the training required. That's the sum of these measures that can increase the quality of the investigation and lead to results other than what was now referred to by the representative in her reply.
ParlaMint-NO_2002-02-07.ana.ud1617e263	Any conviction in any criminal case depends on the basis of the investigation and the evidence provided by it. That's why it's a very important thing we have up to treatment here today. The quality depends on the crew and the technical equipment available. That's the last thing I want to draw attention to. It is a fact that when the committee visited Kripos, Kripos clearly expressed the need for more and new and modern equipment in order to enhance their ability to provide evidence. Then it should be a paradox for the Minister — it is always interesting to hear what the Minister has of political views and visions regarding the progress of these kinds of matters — to record that there are actually private organisations assisting Kripos to supply them with the equipment they think they need. My question to the Minister may be quite simple, but at the same time quite crucial: what kind of thanks will the Minister take for the police to have access to the necessary equipment, which they actually believe they need in order to strengthen the basis for conviction and good investigation in all criminal cases?
ParlaMint-NO_2002-02-07.ana.ud1617e272	It becomes very operational this question of what kind of thank you the Council of State takes. The Council of State has, at the excellent help of Stortingen, got a police directorate. He has also, through the excellent help of Stortingen, identified key priority areas. Then I trust that through this system you manage the heads in such an efficient way that you get currency for the heads that are there. This applies to both crews and, of course, equipment. Then I have to add, without knowing specifically the situation in Kripos that the representative mentions, that I have nothing against doing practical good work in collaboration with others, as long as you get a good result as an effect of this. It is also pointed out by the Committee that it is important to use professionals, which cannot always be in their own ranks, because it is essential to ensure that the matter is dealt with in a good manner. And as I myself took up in my post: it will also be here about the relationship with other agencies than the police when we talk about children. It will be the relationship with child protection authorities and, where appropriate, professional authorities. And then you're completely dependent on being able to cooperate with others. I'm well aware that in police Norway there is a demand for equipment. In general, there is probably a lot of money spent on a lot of good equipment, but you can always discuss whether the priorities have been in the right place. The new police reform actually gives the police districts the opportunity to have a very sharp searchlight on this. Maybe it's been like this before that there have been some watertight shots between what you use on different sides of the police work. The reform itself makes those shots disappear. This is where the fight against crime and the means to achieve it, which counts, and I think that through the reform we will see that we can also have an impact on the area on which the representative asks, namely that we are technically equipped in the way necessary to solve complex issues.
ParlaMint-NO_2002-02-07.ana.ud1617e279	There are many challenges to this field. A piece of it is also about getting a criminal service that is able to deal with attackers, so that the abuses do not repeat. My soul struck me on a round trip to prisons one of these men, who only perpetrated on young boys when he was in a crisis situation, and only boys who were at the age he was when he was abused as a child's orphan. So it's pretty complex problems we're dealing with here. On the other hand, raising the competence of the healthcare system, school and kindergarten, so that they know what to look for in order to discover that children are exposed to abuse. Actually, I think it would have been appropriate to also have a debate on this with closed religious environments, which is now on the poster as part of the debate on the issue of forced marriage and honorary death in Muslim environments. But this also applies in other closed religious environments where the problem of abuse is a taboo area, and where one may also be more protective of one another. So it's in itself a challenge from me to the Government to address this to the different religious environments. My direct challenge now is on the report that I have here, which the Council of State has seen. Is it the case that the Council of State will look at the issue of a system of trials with a regional unit of acute competence on issues of violence, rape and morality, and if it turns out that we are not able to increase the competence of each police district, which is also to be spread downwards in the underlying units, he will then look at the possibility of a pilot scheme, for example. in the north, what situation might be especially summer?
ParlaMint-NO_2002-02-07.ana.ud1617e292	To be direct: I know the Texmo report from the last time I was Minister of Justice, and then drew the conclusion: correct diagnosis – crazy solution. The diagnosis is that it is not good enough to deal with matters, you point out that there is not enough competence. But in the police, as we have now organized in large farms, building relationships across the board can quickly become a sleeping pad for those who are to build up their skills. And I'll be allowed to direct the Storting's attention to another matter that's important. I think the police in many ways have had a pay system that has made people often aim strategically for wage development and perhaps not for career development. Without me wanting to talk about salary levels at any time, I think it is also important for the police to get a payroll system that allows you to plan a career that is so that you can follow certain tracks, both professionally and careerally, that you can bet on your skills. There are many issues within Police Norway that can help increase competence. It's essentially one of the conditions I'm pointing at. Anyone who has met the association of people who the police now work with sexual assault knows that it's a very committed group. You know that there's a group that -- yes, how do we express it -- has a call, a strong emotional commitment and does a good job. I believe that the emergence of this forum will be an incredibly important contributor to focusing on what I experience is the main concern of the representative Thorkildsen. So I'd like to say in the end that for me an assault is an assault, no matter where there is. I will not comment on closed environments, but we have many types of closed environments in Norway, and there is every reason to be aware. At least I can assure you of one thing: I will not accept any kind of abuse or oppression in the name of any ice cream. And let me finally say, to make it explicitly clear, since minority questions came up: I describe gender mutilation as child abuse.
ParlaMint-NO_2002-02-07.ana.ud1617e303	The cord shift is over.
ParlaMint-NO_2002-02-07.ana.ud1617e306	It's bad to be exposed to a crime. It is especially serious if you are subjected to violence or other physical abuse. But some of the most raw and offensive things we can imagine are rape and other forms of sexualized violence. Sexualized violence against children is a problem for which it has been too taboo to talk about, and for which it has been most pleasant for many to close their eyes. Fortunately, the work we are doing today marks the fact that we have children's rights on the agenda in an important and correct way. The fact that it has been difficult and little priority to expose sexualised violence against children has weakened children's rights and protection opportunities. The report from the Nordic Women’s University in 1998 was one of too many. Five years after the Bjugn case, researchers asked if we were better able to deal with morals. Unfortunately, the documentation collected did not suggest that. A police lawyer stated in connection with the research project: ‘The issues are down-prioritised despite the fact that most people know that there are important issues — the refusal I believe is largely due to uncertainty and lack of competence.’ In conclusion, in the three northern states there were some major differences in how these cases were dealt with, both between the police districts and within the same police district. According to the report of the University of Women, a police investigator stated that: ‘The branch type is operated by fire-jets on the investigator’. Overall treatment was largely personal and random, and it constituted a legal security problem for those who have the least opportunity to take up their own objections, namely children. Abuse and violence against children are too serious to be mistreated by the police. It is important that both the competences and priorities of these fields of action are improved. It is alarming in the light of the work done, and the report from the Nordic Women's University, that it appears that there has been a decline in the trend of clarification over the past two years and that the average time taken to deal with these issues has increased. Police are an important factor in the fight against sexual abuse and other abuses against women and children. Strengthening education in this area will, hopefully, lead to the detection of several abuses and to better assistance for victims of abuse. At the same time, Kripos must relate to external trade unions that can assist the police, as a unanimous increase is taking place today. It is also a unanimous increase that is now in favour of establishing a central knowledge base with competence for sexual abuse against children, and that this competence should benefit the whole country. We in the Workers' Party are concerned that teams are being built around the country with good competence, and that individuals will not be left alone with responsibility. It is of great importance that society reacts to the attackers and that children be treated in a way that minimises the adverse effects of the attack. Of course, it is also important that we take action to prevent abuse, i.e. prevention measures. Some of the most raw and offensive things we can imagine are rape and other forms of sexualized violence. It is important that the work we are doing to prevent sexual violence is followed up, and it is important that the legal security of children is strengthened.
