ParlaMint-NO_2002-06-17-2.ana.ud761e30	The representative of Ursula Evje, who has been on leave, has once again taken his seat.
ParlaMint-NO_2002-06-17-2.ana.ud761e223	I think the purpose of the law actually draws up these premises quite clearly. It is important that medical innovation comes to the fore of individuals and society, but it is necessary to set limits. That is why the Labour Party's government in its time proposed a biotechnology law. We didn't have it until it came in 1994. That is why, as early as 1987, the majority of the Stortinges proposed a ban on research into fertilised eggs. You can almost believe, by listening to the debate here today, that this is something Health Minister Højbräten has made up. But it has actually been Storting's policy since 1987. It is in the view that I have expressed when it comes to research on fertilized eggs and therapeutic cloning, that we are going to research to find solutions to these mysteries that the representative Kristoffersen pointed to. We're going to put resources on it, and we're going to do it. We're going to do it in Norway. But we don't have to do it in all areas, and we shouldn't do it when research violates human dignity, as you do it by researching a germinal human life. It has been the view of the majority since 1987. It's still my view, and it's also the government's view of therapeutic cloning. But we will actively seek other ways to the same goal, where we do not have the same ethical concerns, namely research on adult stem cells, which shows promising possibilities. It will be our alternative strategy for the same goal.
ParlaMint-NO_2002-06-17-2.ana.ud761e228	A majority in the vote – among others government parties and the Socialist Left Party – add up to a rematch. 6 of the Biotechnology Act. It deals with outreach genetic guidance to the close family of a patient, where a genetic examination has shown that there may be a risk of heritable disease in the immediate family. In the context of the 1999 legislative amendment, Odelstinget decided that the experience of the new paragraph should be evaluated and presented to the Stortinget in 2005. My question to the Minister of Health is: Does the Minister of Health now mean – after this discussion of the communication in Stortinget – to present a bill that changes the cap. 6, and make a ban on genetic guidance, as previously agreed by Odelstinget? If so, I would strongly recommend to the Minister of Health that this amendment be pending until the evaluation has been carried out. There is a significant minority in the Storting relative to those who passed the law in their time, and it is not very good to change the laws in such cases as the majority of the population changes.
ParlaMint-NO_2002-06-17-2.ana.ud761e235	It'll be up to the Biggest if it will change the laws as the majority of the Biggest changes. I don't want to, like, put myself into it. But it's true, as Alvheim's representative says, that the rule that we've taken up here is relatively fresh. There is relatively little experience in its practice. That is why the Government of the message has not provided any evaluation of it at this time. The majority of the Committee requests that the issue be assessed in the context of the proposal we have announced. When the majority of the committee so requests, I find it natural to comply with that request.
ParlaMint-NO_2002-06-17-2.ana.ud761e242	I note that part of the debate today has been on the use of ultrasound as a foetal diagnostic tool and criticism from the minority related to its regulation. At the same time, I register that in connection with St.meld. No 25 for 1992-93, presented by the government of Harlem Brundtland, a new law and proposal to regulate foetal diagnostics was announced. The message reads: «Footer diagnostics affects sensitive areas where it can be easily played on unfounded fears, notions and prejudices. The development of such offers should therefore take place within a public health service and not be part of a private market-driven offer. Foetal diagnosis with a view to detecting genetic disease or developmental abnormalities in the foetus shall take place only at institutions approved by the Ministry of Social Affairs.’ Ultrasound was problematized in the message at that time. Among other things, a second opinion was recommended at that time, but at that time it did not address ultrasound in relation to the embryo diagnosis itself. But there was a question mark in regulating the use of ultrasound. What I want to ask the Council of State is whether he sees what the Government is doing now, as a different approach to the Harlem Brundtland government at the time in 1993, and that one sort of leaves one track and goes into another. Or does the Council of State see this in the extension of a law on foetal diagnostics, and that it is then necessary to look at the various aids in use and whether they should also be covered by the law?
ParlaMint-NO_2002-06-17-2.ana.ud761e254	Let me first – since I did not get it in my main post – praise the case rapporteur for the job he has done with this demanding matter. As far as the question is concerned, I see that the whole starting point for us to have a biotechnology law in our time was a desire from the entire political environment to put a framework around a development that was supposed to end, but which was not known where to end – a desire to set a legislative and social framework for development, which could ensure that it became a good thing for society as a whole and did not lead to a sorting society and a society in which respect for human dignity was violated. So it's that way that evolution is dynamic. Medical and technological developments are very rapid, and therefore the Stortinget assumed that after five years it would be necessary to evaluate the law and adjust it in relation to the dynamic development of medical, professional and technological developments. That's the track we're now following. Ultrasound is an excellent example. Ultrasound 15 years ago and ultrasound today are two different things. The law is the same, and the fact that one then looks at developments and assesses whether the law and its application are good enough in relation to such developments is, in my view, in line with the best intentions and with the objective paragraph of the Biotechnology Act.
ParlaMint-NO_2002-06-17-2.ana.ud761e263	The Council of State was involved in several areas in which the majority has pointed out things and made calls that should be followed up. However, in the field of foetal diagnostics, there is one area in which the Council of State did not comment on such a majority comment calling on the Ministry and the Government. This does not apply to ultrasound, but to foetal water diagnostics. We're referring to the fact that today there are six institutions that are approved for performing foetal water diagnostics. The majority ask the Government to facilitate the expansion of the number of institutions so that the offer will be well available to women throughout the country, while maintaining the offer in a proper manner – and I agree with the Council of State that, among other things, this area must be within public control and in the performance of public institutions.
ParlaMint-NO_2002-06-17-2.ana.ud761e270	I agree with the majority that the provision of foetal diagnostics should be available throughout the country and that it should be available with sufficient quality throughout the country. It is therefore necessary to approve institutions that are required to carry out foetal diagnostics, and it is therefore necessary to supervise and control those institutions. I have noticed the view of the majority of the committee that the number of institutions and the geographical distribution of institutions that are today seem to be somewhat scarce in relation to such an objective, and I will follow that up.
ParlaMint-NO_2002-06-17-2.ana.ud761e277	So the chord change is over.
ParlaMint-NO_2002-06-17-2.ana.ud761e280	The Labour Party, together with the majority of the Social Committee, has been engaged by the involuntary childless. That's what we're going to do. The working party wishes to facilitate as much as possible for the involuntary childless as possible. Int. S. No 238 on the evaluation of the law on the medical use of biotechnology allows us to use the methods that are possible in other countries to help the childless. We therefore separate layers by the majority of the committee in the area of egg donation. So last week we were able to read about a 58-year-old woman who had become pregnant at egg donation in the United States. That's not exactly how we want it to be. Therefore, we also have an upper age limit in Norway for artificial fertilisation. However, this provides a good example of the fact that national restrictions that are perceived to be unfair can undermine existing laws, by involuntary childless leaving and receiving treatment in other countries. Egg donation is a recognised treatment for the childless and is permitted in most European countries. The working party believes this to help women who are not themselves fertilising or who are carriers of serious heritable diseases. We believe that sperm donation and egg donation should be equated. That is why, through our comments, we have made this view known. We also refer to the Biotechnology Study Opinion to the Department dated 31 May 1999. I allow myself a quote: «Eggdonation removes the present gender injustice in artificial fertilisation.» And it goes on to say: ‘In addition to giving the couple a genetic child to one partner, egg donation would allow the couple to carry out a pregnancy which could lead to a stronger relationship with the child.’ With this in mind, in the Workers' Party, it makes little sense that conception outside the body can only happen with the couple's own eggs and sperm cells, when by conception by artificial insemination one can use donor semen. We cannot see that this discrimination can be justified on medical grounds. Nor can we see that this does not take the child into account, as we believe that the child's situation will be the same, both legally, socially and biologically. The majority of the Committee would like us to continue to import semen from Denmark, where the semen donor is entitled to be anonymous, but concludes that the anonymity of the sperm donor should be lifted. There's hardly any logic in it. The working party therefore still believes what we meant in the setting up of the Biotechnology Act, Innst. O. No 67 for 1993-94, where the majority consisted of the Right, the Advance Party and the Workers' Party. At that time the majority showed that it is best for the child if the sperm donor remains anonymous and that it is the social danger that has all duties and rights in relation to the child. Donor has had no desire to have this child, but has wanted to help the childless couple. It is therefore still not natural for us to compare the anonymous sperm donor with biological parents. In the Labour Party, we believe that these points of view must still apply. The entire Committee recognises the potential of stem cell research and that this has created expectations for the recovery of serious diseases. But the majority do not want to regulate so that this can be applied in full. There is reason to stress that on the part of the Workers' Party, the central objective is to research in stem cells the cure of disease. We are aware that there is still a great deal of knowledge about stem cells. Therefore, we are very concerned about the importance of generating new knowledge, as basic research in this area contributes to later clinical use of technology. We are concerned that Norway should slow down in relation to internationally important knowledge. Norway should be involved in the development of knowledge, otherwise it would be unreasonable for us to apply the successive innovations. Because we're forced to make use of them, it's going to be a demand from the population.
ParlaMint-NO_2002-06-17-2.ana.ud761e314	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2002-06-17-2.ana.ud761e318	In fact, the management of the biotechnology notification that we are involved in today is a milestone for Norwegian biotechnology policy. It doesn't show at least the large width that's behind the multiples. There is an upgrade of human dignity that has been achieved, and this result could actually contribute to the formation of an international standard of lawmaking and ethical restraint in biotechnology. That's what I thought, both for the future and for the future. The Government Party, SV and the Center Party are united on perhaps the most important matter of this period when it applies to future human beings. And there's good reason to give great praise, as others have done, to the case-speaker Olav Gunnar Ballo, who has been so good in the case-law that a layman has understood things that he didn't understand in the message. The Labour Party and the Progress Party are in a liberal fraction. They have actually not taken the results of modern research in Norway inwards. Asmund Kristoffersen and Gunn Olsen's concerns in this area show that they cannot have come up with the results of the University of Oslo on adult stem cells. There's a research that the majority wants to bet on. It is a major step forward in the ethical assessment that one still maintains the ban on researching fertilised eggs. What will the minority do when technology has come so far that one has no eggs left by artificial fertilization? What about their research? We want to avoid the sorting society. It's also interesting what the Workers' Party says on page 11 of the setting, when this is true of anonymity. They say: «These members are of the opinion that the long practice of anonymous sperm donors has not led to problems for those born by this method.» A former Minister of Health says in our country today: "This has been a dilemma for me for a long time." He also says: 'In many conversations it turns out that our coming fellow human beings themselves are not coming up. They must have help from us here and now to speak up." And on the other hand, ‘If the child wants to know, in good and bad, who the biological danger is, I don’t know who of us has the legitimate right to deny them this.’ This legitimate right will continue to be claimed by the Labour Party, as they oppose the otherwise agreed committee in this area. It was to hope that also the Labour Party, like its former Health Minister, would reflect on such a matter. And it takes some time for the new laws to come, so much can happen before that time. I would like to point out that the representative Gunn Olsen was concerned that the plurality will focus on the import of semen from Denmark. I can't believe it's in the message. On the other hand, it says that one will look for the creation of a Norwegian semen bank when one has anonymity.
