ParlaMint-NO_2002-02-06.ana.ud218e28	Magnar Lund Bergo will make a private proposal.
ParlaMint-NO_2002-02-06.ana.ud218e130	I want to ask the Minister for Fisheries follow-up questions. When he says that one should mainly rely on fishing grounds fleet, I will ask this follow-up question: how will it be possible, when one knows that a fishing boat today costs between 50 and 150 million. kr, and when one has the tax and tax rules that one today has in the fishing industry, with write-off rules that are hopeless? When there is no possibility of setting aside tax-free funds, how will the Minister for Fisheries keep up with the desire to have a fishing land fleet? I don't think so.
ParlaMint-NO_2002-02-06.ana.ud218e138	Let me start by saying that it's an old tradition that we mainly have a fishing nest fleet. However, the structure and ownership of vessels vary from one group to another. In the sea fishing fleet, you have a different ownership structure than you have in the coastal fleet. When the Ownership Committee now investigates issues related to the need for fleet renewal, the need for external capital and capacity adjustment and the need for stable raw material supply by the rural industry, I will not go out and draw conclusions until the sample that has been cut down has done its job. But it is quite clear in the Sem statement that we must combine the consideration of fishing gear fleet with a time-consuming ownership structure, and that a fishing gear fleet is the bearer of the ownership of the fishing fleet.
ParlaMint-NO_2002-02-06.ana.ud218e145	Odd Roger Enoksen – for follow-up questions.
ParlaMint-NO_2002-02-06.ana.ud218e148	Just this with capital formation, I think, is interesting to follow up, because the more unit quotas are being introduced into increasingly large parts of the coastal fleet as well. We see parts of the fishing are being closed, as has been done for Group II, with reduced quotas and closure – a restriction on access for Group II. The Minister for Fisheries is calling for a reduction in universal service obligations. Major parts of Norwegian fisheries policy are changing with the new government, which will lead to larger units, fewer fishermen, more centralisation within the industry and also the need for capital. In a situation where the Minister of Fisheries orders us to have a fishing trip fleet, the Government on the other hand cuts the appropriations for the SND, which is to be included and financed. You give general tax relief. And then we see that in larger and larger parts of the fish, it becomes fictional schemes, where it seems to look like we have a fishing nest fleet, but where there are backers with capital behind it. This is an unfortunate development, because it links those who enter the industry to some fish farms and makes them more or less housekeepers. What does the Minister for Fisheries intend to do to counteract such developments?
ParlaMint-NO_2002-02-06.ana.ud218e153	The most important thing in the Norwegian fishing industry now is to ensure good profitability, and that is to ensure recruitment, in order to trigger the high value creation potential associated with the marine sector. Without a profitability on board the fleet, which makes young people find it attractive to continue fishing as an important economic pathway, we have lost. Without recruiting to ensure the transfer of competence from sea to land, to new industries, we will fail. But that's essentially the profitability. In this context, I have better faith that profitability and tax rules that can generate equity are a better tool than anything else. But it is stated that a fishing rage fleet should also continue to be the support beam, based on the Sem-Declaration on which the Government stands, and I will manage it on that basis. In this case, we have to take inwards that changing governments have not strictly managed it. I have taken hold of it, precisely on the basis of the desire to comply with the legislation that is.
ParlaMint-NO_2002-02-06.ana.ud218e164	Olav Gunnar Ballo – for follow-up questions.
ParlaMint-NO_2002-02-06.ana.ud218e167	We now see a crisis in the coastal community of Hasvik in Finnmark, precisely as a result of lack of local ownership, and ensuring local supplies. It is in combination with the increasing number of jet fleets and the fact that the coastal fishing fleet is back with its broken back. What does the Minister for Fisheries intend to do in his fisheries policy so that coastal communities such as Hasvik will have the opportunity to survive in the future, with their dependence on fish as a resource?
ParlaMint-NO_2002-02-06.ana.ud218e172	With the visions for the development of the Norwegian fishing industry, it will just be the districts that will reap and benefit from that development. And I'm not in any doubt for a moment that many of the fishing forces along the coast that are strong and have a lot of competence will be involved in the development that we're going to have. As far as Hasvik is concerned, there is no lack of local ownership or anything related to this with the local ownership that is the cause of major problems now. A company that has disposed of several facilities has taken bankruptcy. In connection with this, the Minister has taken the initiative to meet the municipality on Friday, with the Norwegian Raw Fish Team and with the Fisheries Directorate, to see how we are going to deal with it and to ensure that supplies are not stopped, in the purchase in the municipality of Hasvik, in order to ensure both the supply of the fishing fleet and the maintenance of the competence of the fishing industry.
ParlaMint-NO_2002-02-06.ana.ud218e179	Let's move on to the next main question.
ParlaMint-NO_2002-02-06.ana.ud218e182	I have the following questions for the Minister of Agriculture: When Stortinget treated St.meld. No 19 In the case of Norwegian agriculture and food production, it was stressed by the majority that: [[1999 - 2000]] ‘frontier trade should be slowed down in order to maintain sufficient flows of goods and value creation throughout the country’. A survey was published in the Ministry of Agriculture in 1999, which showed that the price differences on a representative food basket were quite precise between Norway and Sweden. Under the direction of the Labour Party in the Ministry of Agriculture, price differences were reduced. Now they're increasing. My question is, what does the Council of State intend to do?
ParlaMint-NO_2002-02-06.ana.ud218e194	In the last half of the year, the main contribution to balancing price differences between Norway and Sweden in food products was the reduction in half-food prices from 1 July last year, as is well known, among others. The working party and the centre parts were behind. What we can see in retrospect is that the price reduction of just under 10 pst. which was expected as part of the VAT reduction has been continued. Accurate price surveys every month thereafter show that we have now received a level that is approx. 10 pst. lower, and has remained until the study in December. It has been an important contribution. With regard to the price range and future developments in border trade, there is probably a relatively complex issue that concerns more than the prices of food. We know that it's also about the price of a lot of other products. It's about alcohol, about tobacco, there's a lot of conditions. It is clear that the Government’s objective, as set out in the Sem Declaration, is to maintain a policy that increases cost-effectiveness, and to keep prices as low as possible throughout the food chain on the Norwegian side, from primary production through industry, in order to maintain maximum competitiveness for Norwegian food.
ParlaMint-NO_2002-02-06.ana.ud218e201	I thank you for your answer. Another problem that came out completely in the news last night was that in three out of ten shops in Oslo customs found illegal imports of meat. And it's not just illegal imports of meat, but these products get very little satisfactory treatment and storage conditions. At a time when both manufacturers and industry also handle food on the basis of a high level of food safety in Norway, trade in goods is very worrying. What will the Council of State do? We must not get into the situation in Norway that there is reasonable meat in the shops, without a guarantee of where the food comes from, where in addition food safety can be called into question.
ParlaMint-NO_2002-02-06.ana.ud218e209	Yes, I share the representative's view, this is very worrying. We may have reason to believe, for example: In view of the figures provided by the customs authorities in the TV2 statement yesterday, this is the great darkness. The meat turnover in both shops and restaurants in the capital area is inconclusive. That is why there is a need for increased supervision, both by customs and police, in so far as this is about criminal offences, but also from food surveillance, which is now shared – the Food Authority, etc. – which during this year is reorganised into a comprehensive food surveillance system in which the country operates everything and where the aim is to strengthen and improve the quality of food monitoring. We have to control more. The dangerous thing about the discovery of smuggler meat, as we now see, is not just the loss of income that the Norwegian State has, but the fact that meat is being marketed that we cannot guarantee the quality and health impact of. So, in addition to having good control by the Norwegian authorities, consumers have to ask where this meat comes from and be critical when they shop.
ParlaMint-NO_2002-02-06.ana.ud218e214	There will be follow-up questions – Marit Arnstad.
ParlaMint-NO_2002-02-06.ana.ud218e217	There are in particular many myths about the prices of agricultural products. While some cross-border elections from Eastfold buy Swedish food at a dumped price, Swedes travel from Storlien to Meråker and trade at the Bonnpreis in Meråker. So there's a lot of myths out there about the price picture of agricultural products. I want to get to grips with the last thing that Mr Gaundal's representative was concerned about, namely the quality and what is now being seen about illegal imports. The confidence in Norwegian agriculture is high. Consumers have great confidence in what is produced in Norwegian agriculture. It is based both on the fact that Norwegian agriculture has never been close to being an industrialised agriculture — it may be something to think about for an agricultural minister who is eager to make the big ones even bigger — and on the security of the quality of the food you actually buy. That is what is now being challenged by these illegal imports, and by the way this food is stored. It weakens the quality of food. This trust should not be challenged, and I have to repeat the question to the Minister of Agriculture: what will be done in concrete terms in relation to illegal imports, which are still quite easy to identify?
ParlaMint-NO_2002-02-06.ana.ud218e224	Firstly, with regard to the part relating to food supervision, I said in my first response to Mr Gaundal that the new Food Safety Authority has to increase its efforts in order to check that sales are carried out within the framework of the law, and that there is a safe food being marketed. It will also be possible to discover more and more whether meat that has been illegally admitted to Norway is being sold. In addition, it is the task of the customs authorities to become even more neat and competent to reveal what is illegal imports into Norway – and unfortunately we have reason to believe that there is a significant amount of smuggling here. From the point of view of an agricultural minister, it is not least the fear that such foodstuffs will be marketed, where we cannot guarantee the safety of people's health when they eat it, which is the most worrying. In addition to improving supervision by authorities, it is important to have alert consumers who are critical. If you eat at a restaurant and suspect the meat – and you may have it – you should be critical and ask where it comes from. That's all right; it's okay to ask both cook and restaurant where the meat comes from.
ParlaMint-NO_2002-02-06.ana.ud218e231	There are additional wood that has drawn on follow-up questions – the first is Øystein Hedstrøm.
ParlaMint-NO_2002-02-06.ana.ud218e234	The Sem Declaration states that the price differences of food between Norway and our neighbouring countries will be reduced. In Sweden and Denmark, there is a completely different debate than in Norway, because the average food prices are 25 pst. higher than in the rest of Europe. When we talk about Swedish trade, it is actually so cheap now that some Eastern folds travel to Sweden, to Little Norway, and buy pork ribs so cheap that they use it to feed the bikkja with! What measures should the Government take to reduce food prices and reduce price differences? We've got to figure out the reef in the food chains. NILF, ECON and other institutes have looked at this and looked at who has increased their margins in the food chain. Former Minister of Agriculture Bjarne Håkon Hanssen focused a lot on the final stage [[President clubs]]
ParlaMint-NO_2002-02-06.ana.ud218e243	The President will earnestly ask that you try to look a little bit at the clock and observe the speaking time, otherwise it will be very unfair for those who do not get the word at all because the time has run out.
ParlaMint-NO_2002-02-06.ana.ud218e246	I can repeat that in our work to reduce costs, attention has been paid to all stages of the Norwegian food chain. I am pleased to note that the intermediates, wholesale links, not least on the meat side, are now carrying out major structuralisations. We know with pain that slaughterhouses are being laid down in many districts, and it is being rationalised, just to be able to increase cost-effectiveness, i.e. so that the intermediate can do its tasks in a cheaper way. This government is directing the same attention to the last leg that the previous government had. We carry out regular price surveys. Although it is not primarily the Ministry of Agriculture's task, I think this is so important that we carry out ongoing price surveys in order to keep up with and keep the pressure on the chains, so that costs are as low as possible. The goal is the right price to the right quality. I also have to say, like a little parentheses, that border trade has always been, and it's gone a little bit both ways. But it's important that it doesn't take over completely.
ParlaMint-NO_2002-02-06.ana.ud218e255	Inge Ryan – for follow-up questions.
ParlaMint-NO_2002-02-06.ana.ud218e258	It is highly focused on price – price, price, price. It seems that the Minister of Agriculture is now focusing a lot on price. In the past, the Minister of Agriculture was much more concerned with quality. I think he should hold on to it. We know that Norway is a sink in organic food production, a quality food that many demand. We know that manufacturers today are unable to produce according to demand. What is done by the agricultural authorities to get the quality of food, for which people are willing to pay, more in focus, so that you get away from the hysterical price discussion that is taking place in the media and elsewhere?
ParlaMint-NO_2002-02-06.ana.ud218e265	I think it's possible to have more thoughts in my head at the same time. I think it's always important to have pressure on every part of a food chain like this in order for them to be as effective as possible. But I think it is also possible to focus on the fact that very many – a growing part of the market – want to demand quality at a higher price. I think that's very central. I recently heard a talk by a director of one of the biggest food dealers in Europe. He said that there is very little focus on the price of the food turnover they are currently planning for 5–6 years ahead, in relation to consumer demands for animal welfare in production, on the ethics of production and on the health aspect, which we know Europe as a whole is concerned about following the major crises. So the food market will always be compounded. Some people are very concerned about the price, and we need to have cost-effective deliveries to them. But it is also a growing market for quality, where price is not important. It's actually MMI studies that show that scarcely 50 pst. consumers do not look at prices in food shops at all.
ParlaMint-NO_2002-02-06.ana.ud218e273	Sign Eye - for follow-up questions.
ParlaMint-NO_2002-02-06.ana.ud218e276	Control of illegal imports of meat both in the merchandise and in the restaurant industry, as we saw on TV yesterday, shows that there is a lot of illegal happening. But at the same time, the resources deployed to take illegal imports are very small compared to what is now being discovered. When only seven checks are made a week – I guess – it is clear that in Oslo, with all the restaurants and all the shops here, many years will pass before a review is carried out by most people. It also shows that there are very small opportunities to be taken. Will the Council of State take the initiative to do something, so that we can get a much better and faster control, and that it also includes resources?
ParlaMint-NO_2002-02-06.ana.ud218e283	As is well known, in this area, it is likely that in most other areas, limited resources, limited budgetary frameworks, and the budgets have to do maximum within them. I feel confident that the agencies are doing everything they can within the budget framework they have. It will be in the current budgetary procedure, if new information is made available when the Government is working on its budgets, to look at the basis for an increase in the use of resources in some areas. I think there are figures that show that there will be a natural assessment when new budgets are to be created in the future. As far as food surveillance itself is concerned, which does not go to customs and illegal imports and police tasks, but which go to the control of food security, we know that we are going through a lot of reorganization. There are many different directorates to gather for a wide range of food supervision. There are huge resources – a billion dollars and 1,500 people – and the whole point of that reorganisation is to manage less and control more, be more out there. I can promise that when we get the reorganisation we're doing this year, we're going to have much more control over the food that's being marketed, and consumers are going to be even safer.
ParlaMint-NO_2002-02-06.ana.ud218e290	Let's move on to the next main question.
ParlaMint-NO_2002-02-06.ana.ud218e293	I want to ask the Minister for Fisheries a question. The Right-State Council is now to introduce a new charge, the so-called structural charge. I think we belong to the echo of party leader Jan Petersen: not a crown in tax and tax suction! But enough about it. I have understood that the structural charge should be to reduce the capacity of the fishing fleet. I guess that's good. But what I'm wondering is that one in this round is doing something like not doing in the previous round, when one in the pelagic sector built up the unit quota system, where it was that sector alone that so far paid the value with capacity reduction. Now, what's going on is that you get a structure tax that's for everyone, so that everyone here is going to pay for a service they don't actually get. Then is my question: Does the Council of State think this is fair?
ParlaMint-NO_2002-02-06.ana.ud218e302	It is true that a so-called structural charge is planned to take capacity into the coastal fleet. This is a fee and a structural fund requested by Norway’s Fiskarlag in its decision at the last national meeting. This is part of what was negotiated in the fisheries agreement in the autumn, so this is clearly in line with what the fishing industry itself is asking for and wants to contribute to increasing profitability. It is true that structural changes have been made in other parts of the fleet, but it should be well known that significant funds have been used in the form of condensation subsidies, including: financed by the Fisheries Agreement, entered into other fleet groups. We now have the regulation out for consultation. Then we'll see what the reactions are, and then we'll decide how the fund is to be set up, who's to contribute, the amount of the fee and the other legislation. But I am aiming for this to be implemented from 1 January 2003.
ParlaMint-NO_2002-02-06.ana.ud218e309	I am fully aware that the Norwegian Fisheries Team has asked for such a scheme, but I am not so sure if they asked that this would apply to the entire fleet, that those who have actually already paid for a part in order to have a structural and capacity reduction, among other things. Of the ring-fleet, would be on it. Another thing that Norway’s Fiskarlag said in its decision was that this would be a spice layer where the fisherman on the one hand and the state on the other hand would be involved in making a contribution. The listening note that is now out, as I understand it, does not add up to a state contribution, but only that this fee should be on the fishing fleet itself – and therefore as large as 1 pst. Does the Council of State think it's reasonable? Then one has gone away from the fisherman team's original desire to share, and that this should be a spice layer.
ParlaMint-NO_2002-02-06.ana.ud218e318	The out-of-court regulation is well in line with both the Fishlayer’s decisions and the ambitions of this government to increase the profitability of all parts of the fleet. So it's not right that this should be a one-sided fee and a fund funded by the fishermen. Already in this year's agreement, funds have been put into the structure and for conditioning, but it would be wrong for a regulation of a fund to signal or alert a size of a state share. There, the Stortinge shall have a word in the team in the annual budgets. So initially, we're going to set up a fund funded by a first-stage fee, where fishermen themselves contribute to that structural change because they can then, in the next round, discard the gain that lies there through fewer actors and better profitability. In terms of the delimitation, who's going to be involved and finance this, we're going to get back to it, but I remember that it's not like other parts of the fleet just financed it themselves. The Condensation Grant is an old scheme.
ParlaMint-NO_2002-02-06.ana.ud218e327	There will be follow-up questions – Bendiks H. Arnesen.
ParlaMint-NO_2002-02-06.ana.ud218e330	I have recorded that the Association of Fishermen has stated that the introduction of this structural charge may result in this being a sleeping cushion for the structural change that must take place in the fleet, and you go so far as to say that you fear that this can stop. Does the Minister for Fisheries share that fear? What kind of arguments does the Minister for Fisheries have in this regard?
ParlaMint-NO_2002-02-06.ana.ud218e337	No, I certainly don't share any concern that this would be a sleep cushion – in which case it would be a troubled sleep. This is a strong tool, which both the state and the actors are helping to get going, and to the extent that you should have it as a sleeping cushion, I think there is more reason to worry and stay awake at night if we are unable to bring about structural changes that will increase profitability. So it's just this fund and the tools that we want to put into this context, which are going to give a safe sleep, also for the fishermen.
ParlaMint-NO_2002-02-06.ana.ud218e345	Let's move on to the next main question.
ParlaMint-NO_2002-02-06.ana.ud218e348	I have a question for Minister of Culture and the Church, Mr. Svarstad Haugland. We all grunt at the back of the woman’s vision that some imams and parts of the immigrant environment stand for – but it is in a way known logic from patriarchal structures. There is exploding power in equality and women's liberation also in Norwegian religious communities; it is not always that equality is accepted there either. I have understood that the Government stands for a position in which equality is a human right and shall not be relative to faith or culture. How are we to demand equality in the immigrant and religious communities, when we do not have equality as a premise and the equality law does not apply in the Norwegian Church and in other religious communities?
ParlaMint-NO_2002-02-06.ana.ud218e357	I fully agree with Andersen's representative that equality is important, and that equality should also apply within the Norwegian Church. The discussion has been on whether to impose on the Church of Norway the obligation that equality laws should apply or whether it should choose for itself. I think that the Norwegian Church itself should be able to choose if they want equality laws to apply, and as we see now, the Norwegian Church has even been given the favour of equality because they follow the requirements and so it is within the practice of the Church. And that must be the most important thing. Otherwise I agree with Karin Andersen that there are different views of equality within different religious environments, but at the same time I would like to stress that for my part and for the Government it is important that the idea of equality permeates the whole of Norwegian society. We must go further in relation to our new immigrant groups, and we must also be prejudiced in relation to the different beliefs and beliefs of life that we have in Norway.
ParlaMint-NO_2002-02-06.ana.ud218e366	Then I have to be allowed to follow up the Council of States and say that there is now an incredibly great need to be clear – unambiguous and inconclusive – when we talk about these fundamental values that equality is in the Norwegian community. Then the Council of State says that she believes that the Norwegian Church will be free to choose. All right. Other religious communities should be allowed to choose freely. But at the same time, it's important to influence. How has the Government intended to be clear and inconclusive and to influence so that one cannot opt out of one of the most important premises of Norwegian society? The government has stated that the principle of equality should not be cultural or religious. It is important that the Council of State is more concrete than saying that we should work for this. I think the Council of State must also recognise that there are environments within different types of religious communities, whether they are traditional Norwegian or foreign, that strongly oppose these ideas.
ParlaMint-NO_2002-02-06.ana.ud218e373	It is important for me to be able to combine the freedom of trust, which we want to give to the various groups, by being very clear that discrimination should not take place. I think we can be involved and influence in dialogue with the different trust societies. I don't want to impose them, for example. equality laws are incorporated into their legislation, but when it comes to discrimination against women, the suppression of women, taking away women's choices, for example. When it comes to spouses, we must be quite clear that this is not legal in Norway. To this we say, among other things: to a part of the Refreshulas that they should also teach about the Norwegian Equality Act. There is a clear indicator that what is Norwegian law should also apply to the different trust societies. It's a good thing to combine it with giving religious freedom to the faith communities, as we also want.
ParlaMint-NO_2002-02-06.ana.ud218e378	There will be follow-up questions – Aud Gaundal.
ParlaMint-NO_2002-02-06.ana.ud218e381	Some young women from our new countrymen pointed out that the Muslim school was not a good response. It was then the State Council Lilletun who approved that school. My question is whether the Council of State still believes that that decision was correct, and what kind of action she can take in relation to the fact that, after all, it is an approved school. How can one come in with another woman's vision and another information? Then, too, it has been found that we lack routines, among other things. in the case of pregnant women, where there has been sexual mutilation. Does the Council see a need for health professionals to be more closely involved in tackling the problem in this area?
ParlaMint-NO_2002-02-06.ana.ud218e388	Now I'm aware that there are also Norwegians who disagree that one should be allowed to start freshly, because they're different in what these private spheres stand for. That some Muslim people also disagree with us about having Muslim schools, we know that. Nevertheless, we believe that the parental right, that all parents have the right to choose school for their children, is so important that one will create Muslim schools. Personally, I think the Muslim children would enjoy going to Norwegian school, but I'm not going to judge the Muslim parents well for their children. What needs to be very clear here is that the Muslim schools should also follow Norwegian laws and prefected values, such as: are in the equality law. We have to follow this up, so that we have the same requirements for these schools and the other incubators as for the Norwegian school.
ParlaMint-NO_2002-02-06.ana.ud218e393	Siri Hall Arnøy – for follow-up questions.
ParlaMint-NO_2002-02-06.ana.ud218e396	The Minister of the Church has, among other things: at Holmgang was liberatingly ready in his emphasis that in Norway there is a natural right to choose to marry of love. Since the Minister now shows such great faith in dialogue, my question to the Minister of the Church about this view in Norway also includes homosexuals and lesbians, and how, as Minister of Church Affairs, she wants to promote this view, possibly in a dialogue with the Norwegian Church, for which she is particularly responsible.
ParlaMint-NO_2002-02-06.ana.ud218e403	I'm also concerned that human beings should be allowed to live with the ones they're happy about. When it comes to the Christian People's Party's view of the law of partnership, the representative knows well, we were opposed to it when it was signed. At the same time, we must show respect for those who use the laws and enter into partnerships. When it comes to what the Church itself is going to do in that debate, I think it is important to point out the dialogue in the Church, and I want to be a state council for the Church that is listening to what the Church itself wants and stands for. I'm not going to use my political overtones to force those opinions, nor through the appointment of pros and bishops to force my theological opinions. Church itself is a community of trust, they must be allowed to function like that, with the freedom it gives.
ParlaMint-NO_2002-02-06.ana.ud218e411	Then we go to the next main question.
ParlaMint-NO_2002-02-06.ana.ud218e414	I would like to ask the Minister of Culture a question. In the 2002 budget, the government had put in EUR 18 million. kr to the cultural school bag. So in the Bondevik II scheme, there was a cut of $6 million. kr, which now means that the offer of cultural schools for children in all counties is considerably weakened. My question to the Minister of Culture will therefore be: What will the Council of State do to ensure that all children receive a cultural school offer through the cultural school bag?
ParlaMint-NO_2002-02-06.ana.ud218e423	It's quite right that we cut 6 million. kr on the cultural school bag, because the previous government spent far too little money on cultural buildings around our municipalities. We chose to prioritize part of the funds from the school to cultural buildings. Now the money was redistributed during the treatment in Stortinget, so what the money finally went to, I don't think entirely, but there were corks of more cultural buildings or more to the cultural school. The funds available to the cultural school today are far too few to offer to all municipalities and all counties. If necessary, a step-up plan is needed to make it possible. At the rate it's been given in the last few years, it can be a long way to go, but we'll see what we can do in our budget rounds. We have to get back to that. At least I'm concerned that the cultural school bag should not be packed up and laid down, but developed further. I would also like to stress that the funds we cut are cut at the central level, the central organisations, who still have to drive them to communicate to children and young people. They still have to do their job. The money to go to the county goes unabated to the county. With regard to the dissemination of art and culture in schools, the curriculum sets out to do so for all. The cultural school should in a way be the supplement – the plus – that is used to make it better. And then we get to hope that through further budget management, we will be able to strengthen the measures for children and young people around our municipalities.
ParlaMint-NO_2002-02-06.ana.ud218e432	It is good to hear that the thoughts and plans are good, but we can't get anything special out of it if it doesn't come with the money. For the Workers' Party, it is important to ensure that children and young people receive good cultural opportunities. In fact, I feel that this is one of the most important things that politicians can do for the time being. The fact that children and young people get a relationship with culture early makes them develop identity and become whole people. When money disappears and is transferred to something else, it's actually a priority as well. When the government elected children and young people through the cultural school system, it becomes difficult to understand how to get more culture out to the schools. I don't think the answer to that is better cultural building, but a school offer that applies to everyone.
ParlaMint-NO_2002-02-06.ana.ud218e439	Now I think quite a lot in this room know that around the municipalities in Norway there are many who are waiting to get support for exactly their cultural building. There are some areas that haven't been added yet and they're queued. But, as I said, the committee at Stortinget, when the government negotiated with the Labour Party, did not add any more to the cultural school because they gave priority to other things within the budget framework that they had been given to consult. If the number is 18 million. kr should be a sign that one has a huge effort on cultural school bags, I actually have to disappoint the representative that one doesn't come that far a cork of 18 or 12 million. kr. But I want to underline again that the $12 million. If this is the case, the unabated will go to the state, and the national institutions will continue to be run by means of dissemination to children and young people. The cut that was made is not a disaster for cultural communication. But here we're going to keep cooking, and then we have to try to get a escalation plan. At least I want to have it with me when we are going to have negotiations on the budget. The result will be in the autumn.
ParlaMint-NO_2002-02-06.ana.ud218e446	There will be follow-up questions – Torny Pedersen.
ParlaMint-NO_2002-02-06.ana.ud218e449	We have talked hot and long about the children of Norway growing up in poverty. Several parties were in the campaign and promised measures to combat poverty among these children, and in particular were concerned with all the opportunities these children could not take part in. They cannot participate in a lot of leisure activities, class tours and cultural activities taking place in the arena outside the school. Does the Council of State see that an offer of cultural school related to the ordinary school day can give these children an arena similar to other children, and that a good cultural school offer builds up differences between the children who have rich parents and those who have parents with slightly worse finances?
ParlaMint-NO_2002-02-06.ana.ud218e454	I am a little uncertain whether I will answer this question. The first part is actually the responsibility of the Social Minister and the second part is the responsibility of the Minister of Education. None of these issues are directly under my department. What I can say on behalf of the Government is that, first of all, we have focused on coping with poverty. We've started, and we're going to work on it, because it's done too little in the years that are behind us. And secondly, we're concerned with both their woes and well, and that we're going to have cultural communication and provision for children and young people. In general, I can answer that, but I don't think it's right for me to go into details that there are two other ministers who have the primary responsibility for it.
ParlaMint-NO_2002-02-06.ana.ud218e463	Ågot Valle – for follow-up questions.
ParlaMint-NO_2002-02-06.ana.ud218e466	I will agree with the Minister of Culture that it is relatively indifferent if you have 18 million. kr or 12 mill. kr to the cultural school bag. Small money is anyway. But I'm a little worried when she minimizes a cut of $6 million. kr, and even more, on the cultural budget, which, of course, needs a boost when it loses, we look at cultural statistics. But now leave it. The cultural school bag is about the dissemination of art and culture to young people throughout the country. It also requires an up-to-date apparatus at municipal level. Now we see that culture and cultural competence are perplexing around the municipalities. That is a result, among other things. because culture is lawless, and it is moneyless in a poor community economy. Then I come back to a question that is terribly important to us in SV, namely: Will the Minister of Culture support a cultural law that can ensure all accessibility to art and culture?
