ParlaMint-NO_2002-06-18.ana.ud2644e82	The representative of Heidi Sørensen will make a private proposal.
ParlaMint-NO_2002-06-18.ana.ud2644e280	I'm very happy that the Center Party focuses on our commitment to an introduction program for biofuels. We have promoted a Document No. Eight proposals to put in place such a programme, and we've also been given an insight into the implementation of such a programme. It is also in the position, as a majority comment. In the case of other measures that we want to reduce greenhouse gas emissions, SV's policy is so that we do not want to build the natural gas power plant. It represents 2.1 million. tonnes of CO2. We will not build Industrialkraft’s project on Forest – 2.1 million. tonnes of CO2. We don't want any gas power plant on Snow White. That's 0.9 million. tonnes. We also want to secure waste landfills and stop new landfilling of organic waste – 1.5 million. tonnes. We can keep going. We want conversion and heating from fossil fuels to bioenergy – 2.3 million. tonnes. The biofuel programme represents nearly 0,5 million. tonnes of CO2. The electrification will mean 1.5 million. tonnes. In total, this is almost $11 million. tonnes of CO2 savings for which SV enters. Much of this is also agreed by the Centre Party, but at least it represents a list of how we have thought about setting up an offensive climate policy. We have to say no to the large point emissions, such as: gas power plants represent. We can't build them. And we have to put in place mechanisms that make it possible to create a system that works in other areas of emissions that are more widespread. This means that the system will be driven to reduce greenhouse gas emissions.
ParlaMint-NO_2002-06-18.ana.ud2644e287	The cord shift is over.
ParlaMint-NO_2002-06-18.ana.ud2644e291	This year it is 10 years since the adoption of the UNFCCC at the major world summit in Rio de Janeiro. In September the Heads of State meet again, this time in Johannesburg. It's time to ask ourselves what we've achieved in these ten years, because there have been some important changes. In 1992, there was considerable scientific uncertainty as to whether it was really man-made activity that had begun to change the earth’s climate. Today, there is broad scientific consensus that the climate is changing and that climate change is man-made. Over the past ten years, we have not least had an international climate agreement, and Norway has ratified the Kyoto Protocol as one of the first countries. But the challenges are still huge. Despite the enormous increase in both wind power and solar energy in the global context over the last decade, the world still receives 90 pst. of its commercial energy needs covered by fossil fuels. fossil gas emissions have increased by almost 10 pst. In Johannesburg, the climate problem will again become an important topic. It must then be a fundamental recognition that the climate problem is linked to the ever-increasing difference between poor and rich internationally. On the one hand, in the rich part of the world, we have added to an ever-increasing consumption and an increasingly energy-intensive way of life, which has made it possible for us to cope with most of the greenhouse gas emissions. On the other hand, poverty and population growth lead to land robbery in poor countries, to the deforestation of forests, and to desertification and pollution. At the same time, it is the poorest countries that will be hardest hit by climate change. That is why, in the rich countries, we have a great responsibility to go ahead. We need to convert more environmentally friendly energy production, into a transport policy that reduces greenhouse gas emissions, and into a technological change that also reduces greenhouse gas emissions by industry. This is what today's treatment should have resulted in. In this setting, a number of concrete proposals have been made – some are better than others. The Labour Party is involved in the best proposals, but apart from two proposals, one that the Government should consider electrification, and one that the Government must cooperate with the industry, the Government is not involved in any of these proposals. The government does not agree with the proposal to start electrification of the socket. The government does not agree with the proposal to establish a phased conversion of heating with fossil fuels to heating with new renewable energy sources. The Government does not participate in the proposal to establish a temporary and equal aid scheme for new renewable energy sources equivalent to half of the electricity charge per year. 1 January 2002. The government does not agree that the pollution law will be the basis for greenhouse gas emissions until 2008. The Government does not agree with the proposal to establish a hydrogen fund to be used to strengthen hydrogen as an alternative fuel. The Government does not agree with the proposal to launch an introduction programme for biofuels. Nor does the government agree to draw up an overall plan for energy recovery in industry, based on the identification of the possibilities for exploiting recovered energy. If the government had wanted to, it could be on all the proposals that the Workers' Party is on. Then we could have really talked about offensive environmental policies. But unfortunately it's not like that. The Norwegian climate challenge is about starting the transformation into a more environmentally friendly society. Then we have to shift the transport sector, for example. by investing in biofuels and hydrogen. Then we have to add more waterborne heat and expand new renewable energy, and then we have to develop our industry to reduce emissions. When the Government presented its climate report, it also presented a plan for how much reductions the measures in the message would lead to. The early allowance system would reduce emissions by 1.6 million. tonnes, and on the cap you could reduce by 1.5 million. tonnes. Reducing the use of fuel oil could lead to 1 million. tonnes in reduced emissions and measures in the waste sector would reduce emissions by 2 million. tonnes. And that sounded great! But when we got the message on the table and were to read it, we didn't find these numbers anywhere. The Committee asked the Government twice, but the Government would not repeat the figures from the press conference in a formal letter to the Storting. It just showed that it had been a calculus example. In addition, when the government parties cannot account for the figures provided by the Minister for the Environment, they cannot be taken into account by the Workers' Party. But let's see that we're still putting one of them to work. So let's assume that the narrow national allowance system would reduce emissions by 1.6 million. tonnes. So this is going to be 1.6 million. the tonnages flying the flag of the Government in the climate communication. In environmental policy it should be such that it is the results that count. I therefore think it is sad that the Government has been so suspended in its own proposal that it has not been interested in assessing other solutions at all, and that despite the fact that the solution that the Workers' Party and the Centre are entering into this setting will actually lead to greater reductions than the Government's arrangements. Our proposal is that there should be strict requirements for the industry to reduce its emissions collectively. In this way, industry can, in the same way as in the sulphur agreement, enter into a fissure layer, and for example. investment in one measure in a factory capable of reducing emissions by 500000 tonnes. In this way, we would ensure greater flexibility and not least predictability that is so important to industry. In this way we can also impose stricter requirements, and we therefore propose that the industry reduce its emissions by 30 pst, or 5 million. tonnes, by 2008. In order to stimulate the development of new technologies, we propose the creation of a carbon fund, where the state is also involved and contributing. Furthermore, our proposal requires action to be implemented in Norway. That is why, like what has been proposed in the EU, we will not open up the use of what is called the Clean Development Mechanism until 2008, because we believe that the industry should commit itself to implementing the reductions nationally. So we have made a proposal that is different from what the Workers' Party agreed to in St.meld. No 54 for 2000-2001. We had hoped it could have been a compromise for which we could have gathered a broad majority. Unfortunately, this was not the case, but we are still promoting the proposal. We do this from the simple explanation that our proposal leads to stronger reductions than the government's arrangement, and that it is a better arrangement for industry and for all the jobs in the districts that it is about. We have promoted a scheme that is a third possibility for the Government. Tonight, when we are going to vote on the proposals, I will already inform you that the Workers' Party will vote in favour of the vote I that the Stortinget asks the Government to have a close dialogue with the industry. It should be unnecessary for government parties to promote such a proposal in a committee position, but we will not vote against it. We will vote for it, in the hope that the Government in the Odelstingsproposition will come back with an arrangement that is more flexible, more predictable and that results in greater reductions than the government has now proposed. I would like to bring up the proposals that the Workers' Party is included in the vote.
ParlaMint-NO_2002-06-18.ana.ud2644e346	Synnove Konglevoll has taken up the suggestions she referred to. It's going to be line change.
ParlaMint-NO_2002-06-18.ana.ud2644e351	There is a lot you agree on, and I'll come back to that more later. We agree on the recognition of our responsibilities. This also applies to industry, said the representative of Konglevoll. I would like to point out that the industry is perhaps the one that has done the most in this area. As seen, the industry is not also «also», but industry must also continue its commitment to climate change emissions. The parties to the government have not been involved in all the proposals, that is quite correct. A number of proposals have been put forward, and it is clear that many of them can be examined, assessed and passed on, but it is not possible to decide on a number of new proposals over the table and say that we agree. It's a little bit daunting when you talk about these 30 percent and 20 percent and you think that one is much better than the other. I am not interested in the debate all the time about who is best. What we must now be interested in is how to implement good measures that really improve the environment, reduce climate change and at the same time have the second thought in mind, that industry must also survive. That's why there's a number of things that we're concerned about in this message. We're concerned about achieving the 20 pst goal, which I think is as good as the 30 percent if you compare apples and apples and oranges and oranges. It's also how we want to work more on electrification of the socket, which we think is one of the most important things that you should do in the future. But we have proposed that these things should be done in cooperation with industry, not least because we need to see what the European Union is doing and what the other countries are doing, so that we get out well in sum. We want offensive environmental policies, and we want to do so in cooperation with industry. I can't see that we're going to make a fight here about who's most environmentally friendly. We're going to make sure that things are done. That's what's important.
ParlaMint-NO_2002-06-18.ana.ud2644e362	The representative Onarheim won't have a fight about who's the most environmentally friendly, and he makes himself the spokesperson for the industry. What is so good about the proposal proposed by the Workers' Party is that it is actually a proposal that we can combine the two things: we can bring about strong reductions in greenhouse gas emissions in Norway, while at the same time providing predictability for industry. The reason why the industry is so negative to the proposal put forward by the Government is that there is a rather high cost of implementing measures on quotas in Norway. If measures are to be implemented that will reduce emissions so much that an allowance can be sold, a high quota price will soon be achieved. If industry is to pay such a quota price, it will be expensive for industry, especially for some of the most vulnerable sectors of industry. That is why we have put forward a proposal for industry to join forces in constructive cooperation, for example. to find out that in this enterprise we can join together in a split layer in order to bring about a reduction that the industry as a whole can benefit from. It is a proposal that will make it more predictable, while at the same time triggering good concrete measures in industry, thus making industry better equipped at the time we have ahead of us, where there will be ever more stringent requirements.
ParlaMint-NO_2002-06-18.ana.ud2644e369	In the process of presenting this case, the Labour Party has been very unclear on the issue of national allowances for 2002. There have been various signals in the media, and when you read the setting, it helps to create even more uncertainty and confusion. It is in the setting in a note from the Workers' Party and the Centre Party: ‘It is also important that Norway implements measures that deliver significant emission reductions before the entry into force of the international allowance system from 2008.’» What are ‘substantial emission reductions’? Is that more than what the Government proposes, or is it less? It goes on to say: ‘If an allowance system is to function well, it is necessary to include several types of establishments and a larger geographical area.’;» What is the concept of ‘larger geographical area’ when talking about a national quota system? And in the case of «multiple activities», what are the activities to be affected by a national quota system, any charges? If you look a little further in the special remarks of the Labour Party, it says that: ‘desires, however, to base an allowance system for that sector for the period before 2008 by allocating a total allowance of 70 pst. in relation to 1990 emissions, and that the industry as a whole implements, by agreement, measures with the greatest effect'. What happens if new enterprises are established and production is increased? Production in Norway is thus achieved by the purest energy available, namely hydropower.
ParlaMint-NO_2002-06-18.ana.ud2644e395	I have some problems understanding how the representative of Korsberg can make it clear that we have been unclear in the media in relation to what we think about an early national quota system. We have said nothing in the media other than what we came up with after we had evaluated it for a period of time and promoted our suggestions in the setting. We have not had any different views on this matter. We have put forward a proposal on this in the Innst. S. No 240. We believe that this is the best proposal, and we all believe that it is. So ask the representative of Korsberg what are significant reductions. The answer is that with the reductions that we are proposing, which could come through the measures we have proposed, for example. Converting fossil fuels to bioenergy and to new renewable energy will result in greater reductions than will be the case with the Government's scheme. So we don't want an early national quota system, until 2008, precisely on the basis of the arguments that it has to be a larger geographical area, i.e. more countries, and that it has to be wider than what it is added to the option. That is why we are in favour of a ‘bobble solution’ from 2005-2008. When the Kyoto Protocol enters into force in 2008, the situation will be different. Then it is that the Workers' Party has made a proposal, subjected to such a quota system in St.meld. No 54 for 2000-2001 to which it has been added in this setting.
ParlaMint-NO_2002-06-18.ana.ud2644e404	I want to start by giving the Workers' Party a boost for good cooperation on the action page before 2005. I have a question for the representative, Kollevoll, about the Arbeiderpartiet will also join II about electrification of the socket, which is now in the setting. Otherwise, the numerical magic in this case is quite accommodating. The Labour Party claims that their climate policy is more offensive and that their proposals for the quota system are more offensive. They want to reduce emissions for the ETS sector by 30 pst. instead of our wish for 20 pst. Here the Workers' Party takes a "russer". The ‘Russian’ in this context is the name of ‘hot air’, non-existent reductions. Norway, like almost all other industrialised countries, has distanced itself from this calculation. But here, the Workers' Party introduces the concept of Norwegian climate policy. We can subtract the emissions from factory closures or planned closures from the Workers' Party's 30 pst reduction target. on 1990 emissions. Then one to 20 pst. real reductions, and this is the Government’s objective. At the same time, the Workers' Party writes in the setting for the notification that they should decrease to 11.8 million tonnes of CO2. This is in pure tonnes a less ambitious target than the Government's design. When we keep future deposits outside, we're down by 10.7 million tons of CO2. It is possible that 11.8 million tonnes in the internal world of the Workers' Party are less than 10.7 million tonnes, but in the real world we call this tricking with numbers.
ParlaMint-NO_2002-06-18.ana.ud2644e413	With regard to the Roman number proposal on electrification, I would like to point out that we have a proposal that is much more offensive than the proposal for which there is a majority, namely to consider different conditions for electrification. We have a proposal to start work on electrification of the socket. We believe that this is a much better proposal. So to the claim of the representative Vaggen Malvik that the majority's 20 pst. reduction is more than our proposal of 30 pst. reduction. The representative Malvik came here with a figure from the pulpit, 10.7 million tons. My question is then: if this is the actual number that this proposal will lead to, why can't you write it in the settings? If there is to be a hold in the argument of the representative Vaggen Malvik, the Minister for the Environment has to confirm that figure in the course of today's debate, and that would in the event that we get a new moment into the debate. But the problem with the majority setup that we can read in the setting is that we don't get any concrete number to deal with, and it's impossible to get a clear answer to how the government parties intend to calculate. And then they also say that's what they're going to get back to in the proposition. For example, the majority of the Committee has a note on page 11, which, in one note, describes objectives in ways that can be understood differently. In the first section, reference is made to ‘that the Government’s ambition is a 20 pst. the reduction of emissions in 1990 for these sectors for the period 2005-2007, i.e. the emissions in 1990 minus 20 pst. However, the section below states that ‘the government’s approach will stimulate new measures to reduce overall emissions by 20 pst. in existing industry». And then you have to ask, what does existing industry mean? The one that existed in 1990? The one that exists today, so that closures should be counted? Or the one that exists in 2005-2008? This is very unclear, and it would have been nice if the council could clear up on it.
ParlaMint-NO_2002-06-18.ana.ud2644e422	So the chord change is over.
ParlaMint-NO_2002-06-18.ana.ud2644e425	Norway has ratified the Kyoto Protocol as one of the first countries. It happened on 21 May this year. This is a protocol which obliges. Norway is among the world's largest oil and gas producers, so that we build our prosperity on what is among the main causes of global climate emissions, namely fossil fuels. The speech of experts and researchers is largely unambiguous. We are facing a major challenge in limiting greenhouse gas emissions in order to avoid major and dramatic climate change globally. Maybe they're not to avoid, but we can do something active in terms of limiting the scale. We have a responsibility especially in recognizing that changes in the climate primarily affect those parts of the world that have the most difficult history, namely the Third World. The UNFCCC with the Kyoto Protocol represents important milestones in reducing global greenhouse gas emissions. However, the Kyoto Protocol, which includes emissions obligations for developed countries for the period 2008-2012, is only a first step. Far greater emission reductions need to be able to prevent undesirable climate developments. St.meld. No 54 for 2000–2001, Norwegian climate policy, was presented by the government of Stoltenberg in June 2001. The PCF joined the main features of this message. However, the Government has submitted an Additional Communication to the Norwegian Climate Policy based on a wish, which is also set out in the Sem Declaration, to pursue a more offensive climate policy over the period 2005-2007, i.e.: before the first Kyoto period expires in 2008. In its additional Communication, the Government proposes the introduction of a national ETS from 2005 and the implementation of a number of other national measures. The Government will: reducing greenhouse gas emissions by introducing an allowance scheme for the period 2005-2007 for emission sources that do not currently have a CO2 tax, where this is practicable to include emissions of CO2 and other greenhouse gases from the energy and emission intensive industry and, where appropriate, other activities that together account for approximately. 30 pst. of the Norwegian emissions at the level of ambition shall be a 20 pst reduction. in relation to the 1990 emissions adjusted for closures and extensions in the period open to a limited joint national implementation compared to emission sources which do not have a responsibility or which would be burdensome and costly to assign a responsible operator for the use of allowances authorised under the Kyoto Protocol that Norway should cooperate with other countries to develop an international allowance market and that we ourselves should have an offensive attitude to this development internationally allocate allowances free of charge on the basis of historical emissions in a way that helps to prevent the relocation of activities from Norway and trigger reductions in emissions establish an effective and appropriate reporting and control regime to charge for breach of the quota obligation on the basis of a target to achieve emission reductions in Norway, and taking into account that the climate costs of those subject to allowances before 2008 do not become so high that they result in closures of activities that will be viable in the 2008–2012 Kyoto Protocol commitment period 2008–2012 In the case of fees, it is important to note the majority opinion of the Committee on the return of fees to the industry for conversion and technological development. Furthermore, the Government will extend the allowance obligation to other sectors from 2008 onwards so that the allowance system becomes the main instrument for fulfilling the obligations under the Kyoto Protocol. It shall also promote an out-of-the-box proposal with proposals for the legalisation of the quota system. The main objective of introducing an early allowances system is to trigger additional cost-effective measures in Norway. In addition, we believe that the quota system could have an important learning effect and thus make a strong contribution to our being prepared to meet the requirements and mechanisms set out in 2008. The 2005 national quota system is particularly hard on the process industry. Until now, this industry has not paid CO2 or other taxes on its climate emissions. It is worth noting that the Government is warning that the design of the national quota system will take place in a close dialogue with industry.
ParlaMint-NO_2002-06-18.ana.ud2644e479	It's going to be line change.
ParlaMint-NO_2002-06-18.ana.ud2644e483	I have listened with interest to the representatives of Meling's posts and noted in particular the attempts to explain to them what the right party is really contributing to applying Norwegian business and Norwegian industry here today. It can't be easy for a party that has been trying to make itself a business party for many years to stand here today and defend a policy that puts many businesses and tens of thousands of jobs at risk. I would therefore like to ask: why in the world has the Right not listened to the industry in this matter and accepted the extended hand from there to conclude agreements instead of injunctions and prohibitions? And what does the Right mean that, in retrospect, after the adoption of a national quota regime, a dialogue with the industry, as it says in the 'I' position? This must be the last team.
ParlaMint-NO_2002-06-18.ana.ud2644e490	From individual teams and parties, including: from the Progress Party, it has been made the utmost to blackmail the impact of the 2005 government climate policy. For my part, I feel that it must be because of ignorance about what the Government is actually warning. Fortunately, I'm not alone in that perception. It is nice to record that the investment will and the belief in the future are in place in this sector. An article in the Evening Post of 11 June mentions an investment of 600 million. kr at the Amersham factory at Lindesnes. 14 June, today's Business could tell that Finnish Outokumpu will bet approx. $2.5 billion in Nordzink, Odda. In addition, we know that there are investments in aluminiumworks at Husnes, in Sunndal and in Lake Mosjö for approx. $8 billion. It testifies to the willingness to invest and confidence in the Government regarding the design of the framework conditions.
