ParlaMint-NO_2002-06-18-2.ana.ud2212e76	Can the President ask for a withdrawal in silence? Please, Councillor Børge Burnde!
ParlaMint-NO_2002-06-18-2.ana.ud2212e219	What the Minister for the Environment is now saying in relation to industry is not entirely suspended. The Minister for the Environment said instead that no industrial workplaces would be lost. And he goes on to say that the scheme is carefully designed and takes into account the competitive industry. The problem is that the industry does not experience the government's proposal in this way or the reality that Børge Burnde describes. What we have been demonstrated in this matter is a great distrust from the Government to the industry. There is a total lack of dialogue with a very important industry in Norway, and it is an industry that has proven in practice that it takes the environmental challenges seriously, through voluntary agreements in terms of sulphur and aluminium, to address something. They have told us that they are also willing to take their toes this time, and they are willing to take more than what the Government proposes. Does Børge Burnde think that Managing Director Harald Grande at TTI is also wrong when he says that Regeringa's proposal will mean the hook on the door and 200 jobs less? What does Børge Burnde say to the Salt Post leader recently, entitled «Rights are not an industrial party». It goes on to say: ‘... to reduce CO2 emissions by introducing a tax that breaks down the most environmentally friendly industry, it is and will become completely wrong environmental policy’.» Are they also wrong? I have to say that I understand very well that the Minister of the Environment's party traps in this house feel the need to impose on Børge Brende, through a Roman decision, to engage in a dialogue with the industry. We have to vote in favour. But the question is: Does Børge Burnde think that everyone else, including the whole industry and Bellona, is wrong when they say that the Government's proposal means closures, or is it such that the Government is now on the glide away from its proposal and provides a guarantee that no work is to be laid off? In that case, it's a happy day today.
ParlaMint-NO_2002-06-18-2.ana.ud2212e235	I am a little in doubt if the representative Brustad listened to my reply to the representative, Mr Enger, where I, in turn, stretched out a hand in relation to the fact that we in the Stortinget should also sit down and look at a design of a national quota system that, as I also said in my first post, will not involve the closure of jobs. Job closures occur in the process industry. The magnesium production of Hydro on the High Island is decommissioned, but it is not due to the quota system. I think we can manage to have offensive climate policies and make demands on the industry, but within the framework of the industry's ability to maintain its competitiveness. I think you can expect a slightly more constructive attitude from the Labour Party, and actually a little more honest attitude, because you're trying to ride two horses at once. In fact, I believe that the Workers' Party here appears to be the emperor's new clothes. On the one hand, we claim that our system should reduce greenhouse gases by 30 pst. in the process industry, and that it is much more offensive, but at the same time no one should notice these reductions to the Workers' Party. At the same time, it is said that it is not possible to implement any more reasonable reductions in industry when the Government proposes 20 pst. reduction. But 30 pst., as the Workers' Party suggests, it is completely possible to do. The point is, this isn't hanging on to anything. The working party has resigned from the process when the Storting for the first time received a concrete follow-up to the Kyoto agreement. It has acted as a stifler in relation to the government's efforts to establish a constructive dialogue with industry and to bring about national greenhouse gas reductions. Instead of contributing constructively, such as: SV has done, the Working Party has signed up and has not contributed. I had hoped that we could get a broad consensus here in Stortinget that Norway should be early in ratifying, that we should be a driver of international climate work, and that we should also reduce nationally. Instead, the Workers' Party has chosen to volunteer, play a game and act like the emperor's new clothes. It's very disappointing, and I didn't expect that.
ParlaMint-NO_2002-06-18-2.ana.ud2212e244	The cord shift is over. Both yesterday evening and today, there are some people who take on a vocabulary that the President does not think is particularly useful for the future political debate and for the relationship between magnification and government.
ParlaMint-NO_2002-06-18-2.ana.ud2212e249	Today will go into history as a sad day for Norwegian industry. Trade unions have protested, industrial leaders have warned, but despite this, the bulk of population has turned the deaf ear to and will today adopt a national quota regime for greenhouse gas emissions. This without looking at other countries with which we compete, and what kind of measures they might take before 2008. The majority of the population clearly believe that the most important thing for Norway is to be the best in the class. It is more important to pursue unilateral Norwegian symbol policies without taking into account the consequences. Obviously, it does not matter to the majority if we are to have any industrial production in Norway at all in the future, and unfortunately it does not matter whether tens of thousands of jobs can be lost. The same majority also close their eyes to the fact that the only thing they can achieve with this symbolism policy is that large parts of industrial production are being moved out of the country. We all know that most of the industrialized countries with which we compete have a completely different energy production than the one we have, and what kind of environmental benefit do we get? Absolutely no environmental benefit. Instead, we have brought about a deterioration in the situation. As I said at the outset, industry has warned strongly against a unilateral Norwegian quota regime. Instead, they have come with an extensive hand and offered to enter into agreements on emission reductions, which we have good experience with, among other things. in the case of sulphur. But no then, injunctions and bans are the only right way, according to the majority in this Chamber. Industry has already implemented many cost-effective reductions in so-called greenhouse gases. We in the Progress Party trust that the Norwegian industry itself is best suited to assess the costs and effects of further actions. At least Norwegian industry should be allowed to make full use of the Kyoto mechanisms, so that it could also invest in so-called climate action abroad. It would often have been cheaper to invest in such measures abroad rather than in modern industry in Norway. The Progress Party will not be involved in anti-competitive measures that weaken the Norwegian industry. We want to ensure Norwegian business long-term and predictable framework conditions, framework conditions that are no worse than in the countries with which we compete. It's sad to see that this obviously doesn't have a very high priority for any other party in this room.
ParlaMint-NO_2002-06-18-2.ana.ud2212e262	The threat of climate change is perhaps the greatest challenge facing mankind in the future. Therefore, in our choice of climate policy instruments, it is most important to facilitate the reduction of emissions. Unfortunately, we are not on the right track with the majority position here today. On the action side, the majority position is for puzzles, and for industry, the majority is completely lost. I'm going to focus in my post on the last, certainly to the surprise of several. Industrialists, business managers and trade unions have given clear information. Links between the right and SV will lead to company closures. This will lead to increased emissions globally, and it will hit District Norway and the export industry very hard. We live as lotto millionaires in Norway today. Everyone should see that we are in a Japanese era where tax relief and symbolism policies are leading issues in public opinion. During the political strike in the Norwegian Chemical Workers' Association on 6 June, the case-rapporteur said that Norway is so rich that we have to afford to be a leading country for the implementation of the quota system. Who's rich? Is it the companies that are currently dealing with red numbers? There are, of course, these majority will impose new costs in the form of allowances. Yes, Norway as a nation is a rich country. We are thanks to our export industry. I would like to point out that the Ekofisk field has earned approx. NOK 1 100 billion in its lifetime – a gigantic sum of which the nation has benefited. At the same time, the process industry has had two to three times higher revenues in the country during the same period. We know that our oil and gas resources are not renewable resources. We also know that further processing our water resources is an inexhaustible source, at least as long as it rains. It may actually seem that not everyone has understood this. Industry has a major challenge in this regard. They must make the Minister for the Environment and the majority realize that Norway as a nation and the world community are serving to have this industry in a well-developed and high-tech country. The working party has had a thorough and comprehensive discussion of the matter. We've listened, we've worked, we've concluded and come up with solutions that will take care of the jobs in the industry, and that will be, to the most extent, the better for the environment. We have a higher level of ambition than the majority, but we're using a sustainable model. We know that jobs, economics, belongings and the environment are related. If the Norwegian melting industry chooses to move out of the country, emissions will increase dramatically. Not only the climate emissions, but mercury, tar and sulphur emissions will increase. Does that make sense in relation to the environment? We know that when a wild closure of the industry encounters resistance, when people stand without work, when people are forced to move without having to sell their houses, when the demonstration trains stand on the lion's tray, then they will be held responsible for those who want such a policy. The Minister for the Environment has chosen to focus on international environmental issues. He has attacked other countries in a way that they have felt uncomfortable. We're supposed to be offensive, so that's good. But the fact that the same Minister for the Environment understands so little of the impact of national environmental measures is surprising. It should surprise more than the Workers' Party that today's decision obliges the Government to cooperate with business. One should at least believe that the ‘fashion’ right did not need such a call.
ParlaMint-NO_2002-06-18-2.ana.ud2212e288	We have now had a number of articles related to the two communications on Norwegian climate policy. There has been a lot of discussion about which government is most ambitious in climate policy, and there has been considerable disagreement about instruments to achieve the objectives set by the communications. There has been a lot of black paint, and with strong speech. I'd like to take a slightly different angle of incidence. I think it's important for our sponsors, the voters, to understand what's central in this discussion. In my opinion, this is the following: A very robust majority, all except the Progress Party, sees the seriousness of climate change. Neither of us knows with certainty the extent to which anthropogenic greenhouse gas emissions affect the environment, but the majority is based on the UN Panel on Climate Change and the reports they produce, and the majority want to follow the precautionary principle. It will be irresponsible to wait and see. The majority agree that it is important to implement measures as soon as possible and do not wait for the Kyoto Agreement which, hopefully, will enter into force from 2008. The majority agree that industry needs to implement measures at this early stage and reduce emissions by around 20 pst. in relation to 1990. The working party has set the number to 30 pst., but the comparison stops. At best, the reduction of the Workers' Party is about the same as the government parties and SV add up. At the same time, the majority agree that the measures imposed on the industry must not lead to the imposition of burdens on enterprises that will be viable under the Kyoto regime to the point of moving them out or shutting them down in this early period. A large majority agree that despite significant emissions, the Norwegian process industry is among the world’s top companies in terms of greenhouse gas emissions. Decommissioning or relocation of activities will therefore not serve the environment but increase emissions. Climate challenges are global! Why do I take this angle of incidence and point to what a large majority agrees on, instead of continuing the discussion about what we disagree about? I think it is because it is necessary to demonstrate to the Norwegian people and ourselves in the Storting that greenhouse gas emissions are serious, that the Stortinget believes it is absolutely necessary to intensify the process of bringing these emissions down, and that our commitments under the Kyoto Protocol will require us all to contribute to these reductions. Climate change is global. That is why we must work in parallel to ensure that as many countries as possible join the Kyoto Protocol. In addition to industry, measures to reduce greenhouse gas emissions need to be taken. include the transport sector, waste management and increased commitment to renewable energy. In this comprehensive perspective, I do not believe that we need to overshadow the main challenge in terms of how the early actions are to be implemented. However, industry is anxious about how unilateral measures against Norwegian industry will work. The Government Parties and SV clarify in the setting in the form of Roman Numeral Decisions that the detailed design of the early quota system must and must be done in close cooperation with industry. In this context, the allocation of allowances to enterprises and industries is to be discussed, including: account is taken of special conditions in the base year 1990, the technology available to businesses to reduce emissions and the costs involved. The reason why the Bondevik government has wanted a quota system is that it is market-based and that it gives both authorities and industry some experience with the system. The majority of the Committee also wants industry to be able to use international Kyoto mechanisms, such as: the green development mechanism. This too will be important learning that can benefit from the implementation of the Kyoto Protocol. I have noticed in the debate, not without surprise, that the Progress Party is very concerned about the industry. I'm very happy about that. It stands in stark contrast to the party that some time ago said: «Industry we no longer need – put it in a mill bag, maybe we need it when the oil is finished.» In cooperation with the industry requested by the majority of the committees, account must also be taken of what is happening in the EU and elsewhere in the world, and the decision on cooperation will be a safety valve in order to have an effective and good system of emission reduction requirements in several areas but with which industry can live. It is only in reliable and good cooperation between authorities, businesses and organisations that necessary results can be achieved. And it's only when we all understand the need and the importance of reducing our climate emissions that we can succeed. It says about serious consequences. The size shall determine an important start to this work.
ParlaMint-NO_2002-06-18-2.ana.ud2212e312	The Stoltenberg government presented the climate announcement last June. Since then, international clarifications have been made regarding further work on the Kyoto Agreement, including: through the meetings of Bonn and Marrakech. These are clarifications that are very important for Norway to be able to meet its Kyoto obligations through national measures. The Committee has followed up a large number of St.melding. No 54 for 2000–2001 from the Labour Party Government, among others a stronger focus on electrification of the North Sea and emphasising work on generating gas power plants with CO2 management. Only through new technology can we save the global climate. I expect the government to follow up the hydrogen project at the Notodden and the pilot plant with CO2-free gas power plants. With this in mind, it is disappointing and almost a derailment that the Government, together with the SV, will push forward a national peculiar quota trade for the most competitive part of Norwegian industry. Even more provocative is the fact that Environment Minister Børge Brende almost daily refers to this industry as a high-emission industry, and he repeatedly points out that this industry does not pay CO2 or electricity taxes. After all, it's a wild policy that the Right has also been in favour of, but then they were in opposition. The truth is that the Norwegian process industry is the only sector in Norway which has actually reduced its greenhouse gas emissions to this day and which still wants to reduce its emissions further if the Bondevik government facilitates reasonable framework conditions. The Norwegian process industry is the most environmentally friendly process industry in the world, but is totally dependent on conditions of competition that are no worse than the other country can offer its industry. And no other country has imposed or will impose on its industry neither electricity charge nor climate cost before 2008. A nationally narrow system, proposed by the Government of Bondevik, supported by SV, although with a number of reservations and self-contradictory premises, is not an offensive climate policy but simply a retreat in the climate debate. I'll call it a technology brake, where the Norwegian process industry loses influence, and the whole country loses as an environmental nation. A narrow and early introduction of allowances system with individual allowance obligations in 2005-2008 per year. the holding, all treated equally in the allocation of free allowances, will destroy thousands of industrial jobs in rural areas. No one currently has allowances to sell, and the cost of action is from NOK 210 per person. tonnes and upwards. If Norcem in Kjöpsvik alone should take 20 pst. from 1990 levels, it means NOK 666 000 per year. employed in additional expenditure with calculation after NOK 200 per year. tonnes. Norway has already implemented significant environmental measures. They include: put heavily on alternative fuels instead of coal and coke. Norcem Kjöpsvik has thus reduced its emissions by almost 40 pst. CO2 per unit tons of cement. Elkem Salten in Northern Ireland is also actively involved in environmental action. They have tripled the consumption of tiles and significantly reduced the use of coal and coke. Here, quota trading will cost NOK 108 000 per year. employed. Production will stop and approx. 250 jobs disappear with sub-enterprises such as depends on the waste heat from the plant. The inner salt already has an unemployment rate of more than 5 pst. If this industry itself is allowed to take responsibility for its own environmental problems, they are willing to reduce CO2 emissions by 30 pst. But then they have to have the opportunity, as the Workers' Party says, to make agreements and allocate responsibility themselves. Why does this have to be so difficult? Why not build on the good experience of the 1997 aluminium agreement and the sulphur agreement from time to time with the Stoltenberg government, an agreement which is currently chosen by country in the EU and which has produced very good results? [[The President clubs.]]
ParlaMint-NO_2002-06-18-2.ana.ud2212e340	Time's up.
ParlaMint-NO_2002-06-18-2.ana.ud2212e343	Is the objective of the Minister for the Environment a showdown in the Johannesburg suitcase? [[The President clubs.]]
ParlaMint-NO_2002-06-18-2.ana.ud2212e349	The President shall draw the attention of the representative to the fact that the speaking time is up. Before we go to the three-minute posts, the president will urge us to take collective responsibility for the fact that there are several things on the agenda besides the evening, so that we do not get into the situation that we are dealing with important matters at noon. 02.00–-03:00 at night. The collective responsibility lies with those who are sitting in the hall now, as much as those who are going to have the word late tonight in other matters. The following speakers shall have a speaking time of up to 3 minutes.
