ParlaMint-NO_2002-12-17.ana.ud1638e61	The representative of Sylvia Brustad will make a private proposal.
ParlaMint-NO_2002-12-17.ana.ud1638e204	The representative, Mr. Waksdal, and I have been exposed to the fact that headlines and ingresses are not always entirely consistent with what is below, and as you have really said. The joy I expressed was that a majority position had been reached. I was a little bit in doubt if we could make it. It was joyous. The second thing that is pleasing is that the message is given to the majority, and the message describes all these things. The reason why you have a special comment that you worked with the Working Party a little bit back and forth was just to clarify what you really meant. So my opinion is that we have a message that forms a good basis. We cannot initiate an impact assessment without seeing what it contains. But it is our hope and our faith, as I said, that it will be so fundamental and so thorough that it is possible to make a decision on the continuation of petroleum activity in the northern regions, in the Barents Sea. The hope is, of course, that you should find oil and gas that is propelling.
ParlaMint-NO_2002-12-17.ana.ud1638e211	Snow White Saka has appeared, and in the setting associated with Snow White Saka a multiple of: ‘Although the project appears to have a robust economy’... ‘Do not tolerate the project’s large exceedances...’ If one heard the debate on the radio today early, where it was found that a majority of the population has moved by 135 million. kr in relation to a kindergarten settlement, one must start to wonder what is going to happen now when we are talking about 5.8 billion kroner in excess – or two opera houses, which are actually talking about. I believe that the case-speaker calls this unacceptable. But then, as a responsible politician, he should put his foot down, stop and see if this project should actually be implemented, as SV has proposed today. So my first question to Onarheim is about a 5.8 billion kroner overrun does not require a review based on that, that the project does not tolerate large overruns. My other question is what many people have been talking about, this at the pace of the Barents Sea. So SV added Onarheim plural for what is in the Sem Declaration. Nevertheless, Onarheim chose to go to the Labour Party to negotiate a different result from what is stated in the Sem Declaration. The question then is: is it true what Stavanger Aftenblad wrote yesterday that the impact assessment must contain a conclusion that one can start in 2003? Or is it, in fact, as the Sem Declaration says, that all the gaps in knowledge must be tested? What do the Right and Government really mean about this?
ParlaMint-NO_2002-12-17.ana.ud1638e225	As for what to do on Snow White, there is something that belongs to the operator and the board of directors for the development. Having said that, I have to say that I feel quite at home compared to considering just such projects. What is now done is "sunk cost", to say it this way, you will never get that money back. What needs to be assessed now is the current costs from now on to the completion of the project. That's what you can now calculate for profitability, because the second thing is already lost, that money's gone. There has to be a case that the board of directors of the project, the rightholders, have to decide, and it is clear that the state is also strong inside since it has large interests. I think the Sem declaration is quite clear. I read it quite differently than the representative of Langeland. It says: ‘The cooperative government will carry out an impact assessment of full-year petroleum activity in the northern sea areas of Lofoten and northwards. Until such a plan is in place, the Barents Sea shall not be opened further to petroleum activities.» As I read this, and as I have been assured, this impact assessment will, of course, produce a number of problem areas that need to be addressed. But it is not that an impact assessment provides answers to all questions. So in the first place, the government will have to look at what knowledge gaps might have to be reconstructed, what other means are available to you, and what will be required of the operators if you want to continue. So I don't see that there's any conflict between what you've got in this message, what's in the notes, and what's in the Sem statement.
ParlaMint-NO_2002-12-17.ana.ud1638e237	The cord shift is over.
ParlaMint-NO_2002-12-17.ana.ud1638e241	Norway is a significant oil and gas nation, and it has shaped Norwegian society for over 30 years. The industry has given us enormous values, provided us with many jobs both on land and at sea, and it has built up a considerable competence that it is important to take care of. From the start of the southern part of the North Sea, oil and gas extraction has expanded northwards. Security and the environment have thus received even greater attention in relation to the challenges in these marine areas, and it has also received attention during the consideration of this matter in the Committee. The Labour Party and the majority of the Committee want the oil industry to remain an important industry for many years to come, and we support the so-called long-term development path. However, it is a demanding objective at a time when we unfortunately have to record that the interest in Norwegian socket has decreased. It's low search activity, and we see that the interest of foreign companies has decreased. We also see that many jobs are lost by day and that many are at risk because of this situation. Therefore, it is important that we give the industry the political signals that are needed for it to continue to have faith and willingness to bet on Norwegian pedestal. I am therefore pleased that it has been possible to reach an agreement between the Workers' Party and the government parties, which gives clear signals. In particular, I would like to thank the President-in-Office for his constructive cooperation. There is no doubt that the Barents Sea is the most debated, especially in relation to the challenges related to fisheries and the environment – and we must take this seriously. It is important, as the Labour Party and Government Parties assume, that the impact assessment for further all-year petroleum activities from the Lofoten and the North Sea, which are under way, will be thorough and comprehensive so that it can provide a good basis for dealing with the issue of further petroleum activities in the area, so that we can then determine which areas can be opened up for petroleum activities and which sea areas should be petroleum-free. I therefore assume that the Council of State will ensure that this impact assessment, which has been announced in the autumn of 2003, will be as good a tool as we need to make a decision. Then, in addition, we are in favour of the management plans for the area. There are still many identified oil and gas resources on the base that have not yet been extracted. One challenge that the Committee as a whole is how we can increase the rate of exploitation in the fields. An extraction rate of less than 50 pst. In oil fields, we can't settle down. For this, more research is needed, and I perceive that there is a broad consensus about it. In addition, it is nevertheless necessary to look at the framework conditions, including the tax and depreciation rules for so-called tail production and for small and marginal fields. As the Labour Party sees it, this will be very socio-economic, and we look forward to the Government following up on this too. So finally a few words about Snow White from my side. I will, of course, await the orientation of the Council of State, as I understand he will give later today, but I have to agree with most of what Mr Onarheim said in relation to this project. It is very serious about the exceedances we have now received on the table, but I will wait for further comments until I have heard the statement by the Council of State here.
ParlaMint-NO_2002-12-17.ana.ud1638e256	It's going to be line change.
ParlaMint-NO_2002-12-17.ana.ud1638e259	It's always interesting to hear a working party politician talk about Norwegian oil and gas activity. The interesting thing is that you never fully know what is coming, because a few in the Workers' Party are for Norwegian oil and gas activity, others are both for and against, as the representative Brustad – can’t quite decide – while a third group is completely against it anyway. The last time we saw it was during the Snow White debate here in the hall. There are almost as many views in the Workers' Party on Norwegian oil and gas policy as the Workers' Party has members, or glaring representatives – and members and representatives are getting fewer, fortunately. Only to mention the names of the three groups mentioned above is the Groningensrepresentative Konglevoll, in any case. The representative voted against the Snow White extension, and has been opposed to activity in the northern regions – his own part of the country. In the case of the other group, to which the representative Brustad belongs, I refer to statements in the evening post, where the representative Brustad is both unclear and anti-oil and gas activity in the Barents Sea. And then to one of the few who's in favour of activity in the northern regions, big business representative Tore Nordtun. I quote from Stavanger Aftenblad December 6th: ‘The oil companies shall be allowed to continue drilling in areas already allocated. The oil company Agip is going to expand its Goliath find 80 kilometers from Hammerfest. And there will be new blocks in the Barents Sea as soon as possible." This pronounced Tore Nordtun from the Workers' Party. Since there are droughts in the oil industry and the industry is experiencing difficult conditions, why does the representative Brustad not agree with his party colleague Nordtun, so that it will again be active in the Barents Sea?
ParlaMint-NO_2002-12-17.ana.ud1638e271	I think the representative of Korsberg and we had all been served with whether the Progress Party concentrated on its own party and were not so concerned about other parties. I expect the representative of Korsberg to know well what is in the setting, and that there is a unanimous attitude on the part of the Labour Party in this matter. In addition, I would also like to point out very strongly that the Workers' Party, together with some other parties in this Chamber, has for many years been a driving force for Norway to be a large oil nation, and increasingly a gas nation. It is also fixed for future use by this setting. We also clearly state that we are concerned about the low search activity, that we are concerned about jobs that are now being lost, and that we are concerned about falling interest from foreign companies. That is exactly why I am very pleased that we have received a majority by working with the government parties and give clear signals that we need a thorough impact assessment in relation to the Barents Sea, and that it comes to the harvest. So we're assuming that on the basis of it we can decide what to do next. However, unlike the Progress Party, we are concerned that we must also take account of environmental and fisheries interests. That, in all contexts of environmental policy, the Party of Advancement is to shake its head, ridicule it, etc., is to be given the responsibility of the Party of Advancement. But I demand respect for the fact that it's allowed to have two thoughts in my head at once: being in order for us to have oil activity, using gas in the future as well, but at the same time thinking that it would be wrong if we didn't also give ourselves time and opportunity to assess what it means in relation to environmental and fisheries challenges. That is why we have called for a thorough impact assessment, and we expect that on the basis of it we can decide what to do next. It is not unclear, I think it is very clear.
ParlaMint-NO_2002-12-17.ana.ud1638e283	I think it's a little strange that the Workers' Party, like Right, also chooses a strategy in relation to the excesses on Snow White where one disclaims a bit of the responsibility that one has. Now we have a $5.8 billion negative that far. We don't know how much that amount will eventually be, it's probably going to be much bigger. What the majority said during the treatment of Snow White was that this project does not tolerate large exceedances. So my question is, is 5.8 billion dollars a great exceedance? If it is, should one not reconsider, stop and think about what one does before one gets even more calculations? I also remember that Statoil for two years ago actually didn't want to expand the field, but then did a grip here in this hall, a change of tax rules so Statoil went back on as a builder. So here the political majority must not disclaim the responsibility for the bills that are now coming. The political majority has absolutely a responsibility here. So to what I still think is a little bit unclear. The Labour Party representative from Rogaland, who is named, has pressed for speeding up the Barents Sea. In my opinion, that is what is stated in the setting, in relation to the official statement made by the Workers' Party. But when we now hear the representative Brustad, I become a little more uncertain. I wonder: What has the Labour Party achieved in the negotiations with the representative of Onarheim and the Government in relation to the opening of the Barents Sea? Is it the case that the Labour Party has had an impact that one should start drilling when the first impact assessment is carried out?
ParlaMint-NO_2002-12-17.ana.ud1638e292	I will first answer the question about Snow White and about SEK 5.8 billion is a great exceedance. Yes, it is clearly a great exceedance. It's too much exceedance, and it's very serious that we get as much exceedance in such an early stage of a project as this is. That means that this has to be taken seriously, that means that when such things happen, it is important that the Storting is informed very quickly. But I don't want to say anything more now until I hear what the council briefs us on, a little later today. With regard to the Barents Sea, I believe that the Workers' Party has achieved that we are now giving clearer signals than it could be before this treatment. What I think is quite clear in that decision is that we assume that the impact assessment will be thorough, good and comprehensive, and that work I have already understood is under way. When we get this investigation to the autumn, unless something special arises, we can get a basis for making a decision on where to go – where to open it and where to be free of petroleum, if that is the conclusion. I think that's the clear signal from a majority of the committee, and of course I assume that the government is following up.
ParlaMint-NO_2002-12-17.ana.ud1638e299	Several have not asked for the word for a line.
ParlaMint-NO_2002-12-17.ana.ud1638e302	Norwegian oil and gas activities will play a vital role in the industrial development of the country in the years to come and will also make a significant contribution to the financing of the welfare society. It is therefore essential that we facilitate the conditions to ensure the competitiveness of the Norwegian base, so that we will continue to ensure the necessary investments in the future. The government's announcement provides a good description of the reality of the state of things, and two trajectories for the continental shelf are outlined. One is the path of weather, and the other is the long-term path of development. It is hardly surprising that the Progress Party supports the long-term development path. To achieve this, it helps little with just beautiful words and pious desires. In addition, active action is required. A unanimous committee writes that ‘In the future, investments will be important in order to achieve a greater degree of extraction in the existing fields’. It is also written that: «the authorities should therefore provide a framework which makes it profitable to increase the rate of extraction and to facilitate the profitable extraction of smaller oil and gas fields». So far, everything's fine. But what do you do to achieve this? Unfortunately, little or nothing. The Progress Party put forward proposals in the financial position for a review of the tax regime on the socket, in particular with a view to providing incentives for profitable niche and tail production, without receiving support for this. Today, we are promoting proposals to reduce a wide-ranging range of oil industries, which are to review the current tax regime in order to improve this and to develop incentives for niche and tail production. Here, too, we are all alone. It once again shows that the majority doesn't mean anything about what they write in the setting. Another important contribution to increasing the rate of exploitation is, of course, focusing on research and development. It is worrying that, as the largest player on the base, the State does not contribute any more to this type of research, all the time it is the State that will gain most of the profit by increasing the rate of exploitation. I have on several occasions made proposals to set up a petroleum research fund of DKK 10 billion, where the return will go to this type of activity and research. This too has gone against the bulk of the population. However, I am pleased that the majority has now asked the Government to come to Stortinget with alternative models of public co-financing of this research, including a petroleum-oriented research fund. Of course, in order to achieve the objectives of the long-term development pathways, it is essential that new oil and gas provinces are also open to both exploration and extraction. Here, too, a majority of the committee says very nicely, but here too there is a lack of concrete action. Despite the fact that hundreds of millions have been spent on extensive investigations, there is a need to re-examine and re-examine. Not enough with that – the majority cannot say clearly today that when the last impact assessment is completed the next harvest, if no new, insoluble problems are found, you give a clear signal. Once again, the Progress Party is all alone. If the Norwegian base is still attractive, we must give clear signals to the oil industry that we will provide the new and prospective areas as well as framework conditions that must be long-term and stable. It is also important for our supplier industry to have equal access to assignments, so that we avoid redundancies and omissions and fragmentation of competences that take decades to build up. With this, I take up the proposal of the Advance Party in the vote.
ParlaMint-NO_2002-12-17.ana.ud1638e334	Øyvind Vaksdal has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_2002-12-17.ana.ud1638e339	Sometimes I think, so fine it would have been to live in the world of the Advance Party. In the world of the Progress Party, there are many simple solutions to complex questions. If the Advance Party had only done as they would, we would apparently have had both lower taxes, no fees, cheaper kindergartens, perfect hospitals, all the elderly would be happy, we would have had cheaper spirits, cheaper bacon, cheaper gasoline and no environmental problems. It's just one problem: in the real world, the calculation doesn't go up to the Progress Party. In the real world, we cannot solve the challenges in the health sector with a fingertip. In the real world there are environmental problems, and we have to take them seriously. Not unexpectedly, the Progress Party in this setting has placed itself on a barrel and drive line for oil extraction in the Barents Sea. The progress party says, on the contrary, no to an overall investigation – they will start now, and preferably yesterday. But the Progress Party has recently begun to become a slightly more responsible party. And I'd like to ask, doesn't the Progress Party see any problems in operating oil in the Barents Sea? Doesn't the Progress Party even see that there are some areas of the Barents Sea where it may at least be a little bit problematic? The second question concerns research. It is fine that the Progress Party in this position and in the debate here is concerned with research. But it was so that when they were going to cooperate with the Government about the budget, they got a big cut in research, for example. within CO2 free gas power plants. This weakens research in this area in Norway, an area in which Norway is well ahead of the international community. And I wonder how the Progress Party thinks there's a connection between word and action here.
ParlaMint-NO_2002-12-17.ana.ud1638e351	I heard a little about the Progress Party's world from the representative, Konglevoll, and I appreciated that – it's going to be so much better for most people, and that's quite right. Of course, I would like to welcome Konglevoll and the Norwegian Labour Party after – and they often come after a few years. It was about that we stood for a tune and driving policy when it was about this with the Barents Sea. I'm going to reject that most strongly. We've consistently figured out the walls and we're going down. We've spent many, many years and a half billion dollars in different investigation projects. We believe this has been investigated enough, but we have recorded that both the industry and others have accepted this investigation that is currently in progress. And when it is finished until the harvest – if there are no serious problems – it is time to say ‘go’. When it comes to research, we've been working on it for a long time. But, as the representative of Konglevoll well knows, the term ‘CO2-free gas power plant’ does not exist today. It's not possible to do that,' says all the researchers. But now they have replaced and say “gas power with CO2 management”. Everyone says that this can be up at the earliest and go about approx. 10 years. So we don't want to spend money on the kind of things that are so far ahead of us, which are so uncertain.
ParlaMint-NO_2002-12-17.ana.ud1638e360	Oil and gas policy is important for Norway. It is important for the industry with stable assumptions, including stable policy assumptions — in other words, maximum consensus and predictability. During the examination of the Snow White project less than 10 months ago, the Progress Party said about the impact assessment for the Barents Sea: ‘These members find it totally unnecessary to have further impact assessments on the Barents Sea.’ As you know, no complete impact assessment has been carried out so far. Government lots and the Workers' Party shall provide for a clear procedure on the basis of which decisions on future petroleum activities are to be taken. Today, in the comments in the setting, the Progress Party says: ‘The Government requests that drilling in already granted licences may be carried out as soon as the ongoing impact assessment for the Lofoten-Barents Sea has been carried out and if it does not identify significant and new problem areas.’ It is gratifying that the party of progress here has met the parties of government and the Workers' Party significantly, but in particular the reverse operation is not predictable. Then it becomes interesting if Waksdal can tell us others – and especially the oil industry – why he has changed his mind about this.
ParlaMint-NO_2002-12-17.ana.ud1638e379	I agree with the Halleraker representative that this industry may need above others both long-term and stable framework conditions, for this requires huge investments that will not waste any of them for many, many years. So that's where we agree. In the case of further impact assessments, I said quite clearly in my previous reply that we have accepted that the industry has also accepted that a new investigation should be carried out, but we were not initially a member of it. As far as I am aware, there have been 174 different investigations, and that has been spent NOK 0.5 billion. What we say clearly today is that we want to drill the allocated licences as soon as the latest impact assessment is completed, if there are no problems there that can't be solved.
ParlaMint-NO_2002-12-17.ana.ud1638e386	Today I am very curious about where the pain limit of the Progress Party really goes. We've been clearly demonstrated in the past that an opera building costing NOK 3 billion caused terrible pain, as they did the "rack" and felt sick. How many billions in exceedances do we have to look at the Snow White project before it starts to get uncomfortable with the Progress Party? Three billion kroner was obviously quite fine, but 5.8! It's two opera houses. At least it has to hurt a little bit – if not otherwise, given that more and more people are starting to question what Statoil really is doing up there in the Snow White field. That they cheat of money is raised above any doubt. But that to those degrees they have led the Storing behind the light with the estimates, is alarming. Of course, such projects involve a certain degree of uncertainty in relation to the economy, but also in relation to environmental damage. That's why we in SV are followers of the precautionary principle. We have no illusions that the Progress Party must share SV's concerns about the environmental and fisheries interests in the region, but money is actually a language we expect the Progress Party to understand. The representative of Onarheim has called the exceedances unacceptable. So my question to the Progress Party and the representative, Vaksdal, is: How high does it take to estimate the excess costs to make the government's best friend and budget buddy feel that the responsibility weighs – and lowers the foothold of this unwise use of money on the Snow White project?
ParlaMint-NO_2002-12-17.ana.ud1638e395	I record that the representative Vaggen Malvik is concerned with the pain limit of the Advance Party. With regard to the Snow White project, we in the Progress Party are also seriously concerned about the cost developments that have taken place. It may seem that there has been a poor overview by the operator when a filed the matter. But as far as I know, the Council of State will be briefing on this at a little later. Then we might get answers to some of the questions about why it has gone so wrong as it has. We too are deeply concerned about this development. The cradle Malvik mentioned opera building. As I see it, we'll never make money on an opera building. The snow-white project will at least waste money, even if it has been a cost drop now.
ParlaMint-NO_2002-12-17.ana.ud1638e404	The cord shift is over.
