ParlaMint-NO_2002-05-29.ana.ud356e28	The called alternate of the Akershu County, Harald Espelund, has taken the seat.
ParlaMint-NO_2002-05-29.ana.ud356e233	SV is the only party that in its budget removed the cash support, because we thought it did not work after the intention. During the evaluation of cash support, on which the Council of State was involved, it was found that mothers, in particular, are employed in the health and social sector who work less. It is also a feature of development that cash support leads to more part-time and less full-time work for women. This does not seem to be a desirable development, because it enumerates women who have low wages with poor working conditions and poorer opportunities to earn equivalent pensions compared to men. The study also shows that mothers have adapted in terms of reduced working hours. It has been claimed that there is an unused care potential among fathers. The cash support does not mobilise this. Does the Council of State for Equality think that this is OK, that it is a good development, and that this is an expression of freedom of choice for parents?
ParlaMint-NO_2002-05-29.ana.ud356e238	I would very much like to see far more men avail themselves of the opportunity that lies for more time with the children. Unfortunately, this has not been done according to the evaluation of the cash support, but as I have previously pointed out in the Stortinget on other questions, there are also other issues related to why most women are at home when the children are young. Many of us have probably experienced the same thing: being married to men who serve far better than us. As Minister for Gender Equality, I must therefore also work intensively — and do — in the field of gender equality. I hope that the work evaluation project that is now under way, which is going on with full enthusiasm, will make it possible for us here too to see a much greater justice a little after a while, so that even fathers can afford to be at home with the children, and that there is not too much going on in the economy. Otherwise, I once again want to point out the possibilities we have – the freedom of choice for the parents. It's important.
ParlaMint-NO_2002-05-29.ana.ud356e245	Åslauga Haga – for follow-up questions.
ParlaMint-NO_2002-05-29.ana.ud356e248	I think the main reason why the cash support was adopted was that the cash support was considered a time reform. Now we see, no matter how we turn around and turn on the numbers, that there is limited to what extent there has become more time to get together between parents and children. The government tends to be concerned with the fact that schemes are set up by an institution shall be targeted. It does not seem to be the case in this case, and I believe that the obvious thing to do when we have now got a good deal of numbers on the table is to limit the cash support so that you say that only those who choose to be at home with the children will have cash support. And my question to the Council of State is whether there will be an arrangement that she will reflect on, not least so that we can ensure that we have in the long run a cash support scheme that just contributes to what it was supposed to be, namely a time reform.
ParlaMint-NO_2002-05-29.ana.ud356e256	Once again I would like to point out that there were three different objectives with the cash support. I'm not going to repeat them. And I want to say that parents are more at home with the children. There may have been different expectations as to how much this would turn out, but at least it shows that parents are more than two and a half hours per child. the week after the introduction of the cash support. It is also a reality. The question raised by the representative Haga has been discussed. And no, I haven't had and I don't intend to take that question up again. It has been discussed among the political parties in the past, and I see no reason why parents should not also have an freedom of choice in this area when it comes to how they want to use the cash support. Once again, I have the genuine belief that parents know what is best for their children, and it was also important when it came to government subsidies, to equate financially with those who had kindergartens and those who didn't.
ParlaMint-NO_2002-05-29.ana.ud356e265	Let's go to the next main question.
ParlaMint-NO_2002-05-29.ana.ud356e268	I have a question for the Davøy Council. In recent times, we have been able to read, for example: in the daily newspaper Sunday, 12 May, that the Council of State believes that children should decide more in their daily lives, and that the Council of State in the context of the revision of the Children's Act, among others. will propose that minor children have the right of destination in respect of which of the parents the child wishes to live. We have also heard from professionals that it is unheard of that, for example. a seven-year-old must choose either mother or father in the event of a breakup. Should this not be a matter between parents, without expecting a child to have opinions on the matter? We know that a number of conflicts arise in child distribution matters, and that conflicts persist in who should have the daily care of the child. The Council of State considers that, for example: You want a seven-year-old to decide where he or she's going to live? And doesn't the Council of State think this could put a seven-year-old in a serious loyalty conflict?
ParlaMint-NO_2002-05-29.ana.ud356e279	First, I want to make it clear that I do not believe that children should have the right of destination in such cases. But what is my starting point is that Article 12 of the UN Convention on the Rights of the Child requires Member States to: ‘guarantee a child who is able to form his/her own views, the right to express his/her views freely in all matters relating to the child and give the child’s views due weight in accordance with his/her age and maturity’. So we're talking about children's rights and their ability to express themselves in matters relating to them. And in this regard, we're working on a proposition with changes in the Children's Act. I want to raise this issue as part of the work on that law, and possibly propose a change in line with the UN Convention on the Rights of the Child. But it is not a matter of children having decision-making powers. It must be grown-up.
ParlaMint-NO_2002-05-29.ana.ud356e289	I thank the Council of State for the answer. Nevertheless, we have seen many ghastly examples from nationwide TV where the child has been used as a weapon in the fight of parents, and it is very much to demand from a seven-year-old that he or she – whether it is a right or an opportunity to speak – should choose sides after an uproaring break in life. This problem could have been solved in a much more flexible way by the Stortinge, for example. adopts a proposal from the Progress Party on automatic shared care, which some both from the Right and the Christian People's Party have spoken before. And then I would like to ask the Council of State: Will automatic shared care be part of the change in the Children's Act when this is presented?
ParlaMint-NO_2002-05-29.ana.ud356e298	I agree with the representative Woldseth that we have seen many problematic issues when families go into disintegration, where children in different contexts are torn between their parents. In any case, children are strongly affected by family conflicts, even when families break up. I'm not talking about children necessarily having to speak, but many children, even though they are under the age of 12, actually have a lot of opinions and perhaps want to be allowed to express their own opinions by means of good caregivers. That's the question we're raising, in the context of the revision of the Children's Act. So this will come to the hearing, and we'll get a number of points of view. I'm sure the debate will be big. I've already noticed some newspaper posts, and I think that's positive. Of course, when it comes to shared care, it's something that we're going to follow up. What we end up with, it's too early for me to say, but it's raised as a problem, and it'll be censured, to say it like this, in connection with the Children's Act.
ParlaMint-NO_2002-05-29.ana.ud356e305	There will be follow-up questions – Ulf Erik Knudsen.
ParlaMint-NO_2002-05-29.ana.ud356e308	A large number of requests are made for parental conflicts in the event of a breakup of life as a proxy and as a member of the family committee. It's tragic and bad things that go out on both children and adults. Many countries have moved towards shared care as a general rule in the event of a breakup. This takes away much of the struggle about the child, and it forces parents to cooperate. It puts the children in the center and takes primary consideration of them. I believe that the Council of State has not yet concluded on what will be included in this revision of the Children's Act. My questions are: What reasons can the Council of State see that you may not want to enter into shared care? When can we expect the specific issue of the child law to come to Stortinget?
ParlaMint-NO_2002-05-29.ana.ud356e315	The matter comes to Stortinget till the fall. I believe the representative Knudsen and I agree that it is wise and proper for children to have contact with both parents. That's the starting point for all the work we do. I am of the genuine opinion that regardless of whether the parents live together or not, it is important that the child has contact with both parents, both mother and father. When it comes to the issue of shared care, I do not want to advance anything in relation to what comes to the harvest. I can't answer it exactly, but of course I'm taking with me the views that come from the pulpit in this room.
ParlaMint-NO_2002-05-29.ana.ud356e324	Let's go to the next main question.
ParlaMint-NO_2002-05-29.ana.ud356e327	I want to follow up on something more in relation to the fact that the Municipality of Oslo wants to compete with parts of the drug service, and I therefore have a question for the Social Minister. The Minister of Social Affairs said today that this treatment abroad should be exceptional and adapted to the individual. But when it comes to outsourcing and you use the tendering principle, it's probably more price and the measurable units there that count, than to tailor a scheme for a special person. The measures for drug users are many. Treatment during detoxification and weaning is one thing, but at the same time it needs to build up a drug-free, normal living situation with a proper place of residence, work, often with a previous need for education and vocational training — at all a social network in the neighbourhood where the drug user is in and wants to be in the future. By putting this out of competition, moving it abroad, you don't get that close. I would like to follow up on this with the supervisory task, but the Council of State will be able to answer the first question now.
ParlaMint-NO_2002-05-29.ana.ud356e337	First, I would like to say that I have been made aware that I have supplied a wrong information, which should be corrected. It was said that municipalities received NOK 2–2.5 billion more in free income, but that is total income. So to the question. My starting point is that we should have sufficient competence, and we should also have the capacity and quality of the offer in relation to the care at home. With regard to the special situation in the Municipality of Oslo, there is reason to state that the municipality does not compete in the area but buys services under public acquisition law. The municipality of Oslo is the absolute administrative centre for the quality assurance of interventions for drug users. And based on a Swedish computer system, a quality assurance system has been developed, approved by the City Council, based on Swedish research, which is considered world leaders in this field. But the main point is that the offer should be good enough and large enough, and that there are offers here at home that have first priority. In the case of long-term treatment courses and social rehabilitation, offers abroad, including in Sweden and Denmark, will be very poorly suited. In order to return to society, networks, help to live and get into work must be provided in the community at home. This is a responsibility for the municipalities and the county councils, but also for the state. In this way, I understand that the intention is the same with the questioner as with the answer.
ParlaMint-NO_2002-05-29.ana.ud356e344	I probably don't share all the views of the Social Minister. However, in terms of quality assurance, and that the Municipality of Oslo is a specialist in quality assurance for drug users, we hope that they are also specialists in quality assurance for the elderly, in relation to the competitive outsourcing there. We have recently received in the media some examples of the fact that anti-competitive care for the elderly in this area is not the best. So to this with supervision and quality assurance. According to the media, there is a clear disagreement between the district doctor in Oslo and the state councils as regards the supervisory authority vis-à-vis foreign institutions. The Council of State has now had a few days to prepare this. What does the Council of State have to say today about the possibilities of such outsourcing to enter and ensure that the offer is good enough, that a county councillor, for example, where appropriate, may enter and follow the offer and be able to ensure quality?
ParlaMint-NO_2002-05-29.ana.ud356e351	I would like to state once again that the Municipality of Oslo does not compete in the field, but buys services under the law on public acquisitions. In Swedish institutions, with some experience in relation to the Municipality of Oslo, the Board of Directors has supervisory powers, even if there are Norwegian clients in the institutions. In addition, the practice is that the drug budget carries out monitoring visits once per year. years, either the institution is located in Norway, Sweden or Denmark. In addition, the local social services, i.e. the metropolitan part of Oslo, carry out several follow-up and surveillance visits. But this is an area that I'm going to follow closely, so that we have clarity in this for the future.
ParlaMint-NO_2002-05-29.ana.ud356e358	There will be follow-up questions – Harald T. Nesvik.
ParlaMint-NO_2002-05-29.ana.ud356e361	It does not surprise anyone when I say that I have a slightly different view than both the last and the previous questioner who addressed this with the possible outsourcing of competition and the use of other countries' services in the care of drug users. We must, among other things, acknowledge that the offer we offer in Norway is not good enough, it is long waiting lists. We also need inspiration from abroad, we need inspiration from other environments, cf. some of the models we use in Norway for detoxification and weaning, such as the Minnesota model and some other things that Norway has not developed. Is the Council willing to look at the Norwegian offer, to ensure that we also have a sufficient number of places in Norway for those who need it? Will the Council of State quickly ensure that we get a significant increase for more clients in the use of methadone and Subutex? And further, does the Council of State agree that it doesn't matter which side of the Norwegian-Swedish border you get an offer, as long as the drug user gets an offer?
ParlaMint-NO_2002-05-29.ana.ud356e368	As I pointed out earlier, it is important that we have sufficient capacity in the Norwegian offer, that there is good enough quality and flow in the treatment chain and a clear responsibility here at home. It is also important here at home to do research in this area, because we can do too little in relation to what actually works out of drug services, and what is the correct dosage to get effect. It has been a target for us in 2002, it also carries the budget for this year's bid, and we are going to follow up the effort we had in relation to methadone, especially for 2002, in our further work. It is important to stress that Denmark and Sweden — which are exceptional — are the two countries which have legislation that is compatible with Norwegian legislation. In addition, I do not think that drug users should be sent for services where quality, capacity and effectiveness have not been guaranteed, and that this is as important as motivation.
ParlaMint-NO_2002-05-29.ana.ud356e375	Let's go to the next main question.
ParlaMint-NO_2002-05-29.ana.ud356e378	I want to ask a question to the Minister of Economic Affairs and Trade. In today's business last Friday, the research manager Ådne Cappelen of the Statistical Central Bureau stated that the development of Norwegian industry has been much worse than expected in recent years. In the revised national budget, the Government itself determines that industrial production fell last year and that competitiveness is significantly impaired. The working party is committed to preventing such development. But it doesn't seem like the government is taking the situation seriously enough. After the suggestions and opinions that come along, it seems the opposite. The government has cut massively in transfers for the development of new industries, and the use of money in the revised national budget is increasing worryingly. Do the Councils see the seriousness of the situation? And if he does, why have the measures let him wait? And does the government plan to do something to improve the situation?
ParlaMint-NO_2002-05-29.ana.ud356e389	As the questioner suggested, employment, industrial production and the competitiveness of Norwegian industry have been weakened throughout the 1990s. There are several reasons for this. We've had a lower productivity growth than our competitors, we've had a smaller increase in the technology content of our products, we've had a higher interest rate, we've had a higher wage and price rise. There are many things that affect the competitiveness of Norwegian industry. Now it would probably be a shame to blame this government for the situation that has persisted in the 1990s, in relation to what this government could have accomplished in the six months it has been in place. But at least what I can say is that we are more than concerned about maintaining the competitiveness of Norwegian industry, but there are, as I said, many factors that affect it. Now I guess the questioner didn't directly suggest what it was he was thinking about when it was about massive cuts in what was going on to speed up the industrial employment. But at least I feel absolutely convinced that the most important thing for Norwegian industry to be part of the important district employment we have had is that we have a general framework for the industry that is competitive in relation to the countries with which we compete. There are many things that affect you. Perhaps the most important thing is that we keep fiscal policy in order, that we have a level of interest that is now not running smoothly, and that we have a cost and wage trend for the rest that is not completely detracting from our competitors. And of course, in the case of a competitive Norwegian business, and not least for the powerful industry, what we do about the ESA case related to the electricity charge will be important.
ParlaMint-NO_2002-05-29.ana.ud356e398	I interpret the answer as that the government has not intended to do anything concrete. However, what the Government has done in the revised national budget is to make maximum use of the economic opportunities it has. This in itself will lead to that in Norway we will still have an excessive interest rate. On top of that, the Government has provided a climate notification with quota trading that will selectively affect industrial enterprises. Minister of Finance Per-Kristian Foss has been out and announced that the industry will be charged electricity. And then we have a historically high dollar rate. The Minister of Industry has previously stated that he is in favour of extraordinary charges. Does the answer to the Minister of Industry now mean that he does not have a say in his own government?
ParlaMint-NO_2002-05-29.ana.ud356e403	I guess the last question doesn't expect the questioner to answer. In the case of an electricity charge or not a electricity charge, at least I would like to remember what happened in this room a year ago. Then I was at least one of those who helped to drive back the workers' party government's proposal to introduce an electricity charge for the industry. I definitely see that the total tax and tax burden to which the Norwegian industry is subject is an important piece in measuring competitiveness, including, of course, the electricity tax. Now it's like we're in dialogue with ESA to make arrangements that are within the framework. Within such a system, there are several alternative solutions that are common, both schemes involving electricity taxes and schemes in which no electricity tax is imposed. The government's view of it will probably be presented the first week of October.
ParlaMint-NO_2002-05-29.ana.ud356e411	There will be follow-up questions – Tore Nordtun.
ParlaMint-NO_2002-05-29.ana.ud356e414	I heard in the previous reply that the Minister of Industry believes that interest rates are an important factor, and I fully agree with him on that. But does the Minister think that the revised national budget now presented by the Government points in the right direction in terms of reducing interest rates? But to my main question, where I'm going to go concretely into two industrial companies: Odda Smelting Plant is a company that now has major challenges, and is about to stop completely. They have taken the initiative to restructure their production which is highly environmentally friendly and which will bring it on a whole new track. There is a remarkable inaction on the part of the Minister of Industry and the Government on that issue. I can mention the other company that now seems to be facing a bad future, namely Braathen's "aircraft workshop at Sola, the only aircraft workshop we have in Norway. In SAS, the state is the joint owner – once again an incredible inaction by the Government and the Minister in relation to backing up a little and helping to find solutions to these major challenges we have. [[President clubs]] What does the Minister for Industry intend to do? Or should he still be a passive spectator?
ParlaMint-NO_2002-05-29.ana.ud356e421	The President reminds us that you have to structure your posts so that you can ask the question.
ParlaMint-NO_2002-05-29.ana.ud356e424	Sounds reasonable to me, President. But although the representative had not been asked the question, I understood where he wanted to go. To Odda Melting Works and Inaction: I do not report to the representatives daily what I do. But to the extent that it should be of interest to what has been done by initiatives relating to Odda Smelteverk, I can say that there have been meetings with up to several government councils. There has been a meeting with the Ministry of the Environment, with the Ministry of Local and Regional Affairs and with the Ministry of Industry and Trade related to the actual situation of Odda Smelteverk. I've had a meeting with the board, with those in the administration, with the employees and with the owners to look at the possibilities that exist, related to individual projects that have been there. The conclusion was that there was no reason why the Ministry of Economic Affairs would intervene or recommend the Stortinget to grant special amounts to Odda Smelteverk. In the case of Braathens, which is part of SAS, I just want to point out that it's the owner and the board that do the job.
ParlaMint-NO_2002-05-29.ana.ud356e433	Morten Lund – for follow-up questions.
ParlaMint-NO_2002-05-29.ana.ud356e436	The newly elected board member of the Right, Jens Petter Ekorenes, said at a meeting in the SND that the Sunnmare industry is built up solely because the state has been helpful with loans and support. And he was talking about an alternative to flagging out. He was optimistic. It's possible to do it, but the option of flagging out is to get even better. But we need state help. Both loans and support from SND are still needed. He strongly warned against simply improving the general framework conditions. The process industry says the same thing: we have to keep the special conditions that we have. If it doesn't go wrong. The maritime industries say the same thing: we have to have tax conditions other than other industries in Norway; without that, we can't. All of these therefore require selective measures in addition to good framework conditions. I would like to ask the Council of State: who is it that addresses the Council of State and the Government, and that concludes that now it is only good framework conditions that will bring about Norwegian industry?
ParlaMint-NO_2002-05-29.ana.ud356e445	Morten Lund has some relatively erroneous premises when he asks the reason why there are only general framework conditions that the Government has as a means of bringing about new start-ups and further development. It is simply a complete error. We spend billions on selective measures in Norwegian industry, in Norwegian business, to speed up innovation and innovation. What we have said is that, in the review we have of the instruments, we will adjust the focus to a greater extent on start-up – in order to achieve more new start-ups. In the case of Ekorenes, the representative named him as a newly elected member of the Right Central Council, which is correct. And as the media has shown, I was a significant contributor to it. I think it is important to include people from business in political parties too – they are the ones who wear the shoe. I would also recommend other parties. I think it would be very wrong to say that the Sunnmare industry has only been created because of SND and state measures. That, I think, is an insult to the Sunnmare industry.
ParlaMint-NO_2002-05-29.ana.ud356e454	Let's go to the next main question.
ParlaMint-NO_2002-05-29.ana.ud356e457	International marketing of Norway as a tourist country is the responsibility of the Ministry of Industry and Trade. On a recent state visit to Canada, Queen Sonja made an article. As far as I know, the Council of State Gabrielsen was also present there. During the Questionnaire, the Queen was asked if Norway did enough to market the country touristically. The answer from the Queen was: «No, we're not good enough. We have so much more to offer than what is being shown today." We have much more to offer in terms of art, culture, history, tradition – and of modern Norway. So my question to the Council of State is, how will he follow up on this? I would like to remind you that there was a decision in Stortinget last year to step up this with the marketing and brand construction of Norway, a five-year plan. How, then, will the Council of State follow up on this in the State budget and in the future?
