ParlaMint-NO_2002-10-23.ana.ud1679e28	The representative of Steinar Bastesen will make a private proposal.
ParlaMint-NO_2002-10-23.ana.ud1679e114	I want to ask a question to the Minister for Social Affairs. The government says it will fight poverty by targeting its policies against those who really need it. Yesterday, we read about the Bekkum family, which has a very disabled child. Like many other disabled people, this family is severely affected by the government's desire to impose strong restrictions on the possibility of deducting large costs of disease from the tax. The Bekkum family saves society annual costs because they don't want to send four-year-old Anders to the institution. So the government says they want to target their actions better. I have to ask the Minister for Social Affairs: what is the goal of measures that can turn the Bekkum family into debt slaves?
ParlaMint-NO_2002-10-23.ana.ud1679e123	The government has made a clear priority: the poorest first, and as far as I can see, there is also a broad welcome on the measures proposed in the poverty plan to lift the poor Government. It's an important job and an important effort the Bekkum family is doing. It is also the case that persons with a particularly serious or long-term illness, who have a tax burden that may be disproportionately burdensome, may continue to apply for a tax reduction or remission for cheap reasons. Refurbishment loans can also be applied for from the municipality or the Husbank for the conversion of housing. It is also the case that the Ministry of Local and Regional Affairs, next autumn, will present a big message discussing housing policy, in particular issues raised by the representative Hanssen, which will be discussed. In particular, the government will monitor developments in this area and will also consider any effects and changes in the system.
ParlaMint-NO_2002-10-23.ana.ud1679e133	I think the Social Minister has to answer the question she's getting. Targeting must mean that the Government has a very conscious policy when designing different schemes for different groups. Therefore, it must be thoughtful when the Government makes a proposal such as this. The Bekkum family hit as hard as it does. There must be a conscious thinking and strategy behind it. The new roof 2 scheme does not help the Bekkum family, and the measures in the poverty plan do not help the Bekkum family. The only new costs they receive as a result of the Government's proposals for the State budget are significant new ones. It may be that this is what the government wants to do, but the Minister of Social Affairs needs to have a reason why the Bekkum family is going to get all these new costs. We're talking about new costs of 420 000 kroner.
ParlaMint-NO_2002-10-23.ana.ud1679e142	I have pointed out the arrangements and opportunities that the Bekkum family has, and do not repeat them. The government has made a clear priority, and that is that it is the poorest first. As far as I can see, it's actually a big uproar about it. Of course, we still want to have broad arrangements, but we also want to focus more on targeting and on individual solutions and tailoring. Instead of having the broad prob lems – as the representative pointed out – we have prioritised measures for the major consumers of healthcare, chroniclers and disabled people, who we know have large costs of illness and, as seen through it, are also covered by the costs that are not covered under the current self-interest.
ParlaMint-NO_2002-10-23.ana.ud1679e151	There will be follow-up questions – Øystein Djupedal.
ParlaMint-NO_2002-10-23.ana.ud1679e154	It's interesting to hear the Social Minister say it's those who have it hard, who have to pay for the poorest, because that's what's real. Many who are able today to care for or care for their own, or who themselves have a serious illness, have a special deduction on the tax on large costs of disease that they are now to be deducted from. So it can be said, as the Minister of Social Affairs said, that this can be applied for in particular. New bureaucratic arrangements are therefore needed to replace good social arrangements. This is just one of many very unsocial proposals in the government budget. It's quite encouraging to hear that it is said directly that these people who are actually able to care for their own, the family Bekkum included, are now going to have an extra strain, a burden that society has to bear on another team. That means that these nurturing people are likely to end up in an institution instead of being at home with their own family and being cared for by it. Does the Minister for Social Affairs really think this is a good social policy? Does not the Minister of Social Affairs see the profoundly unsocial nature of the proposal now presented by the Government?
ParlaMint-NO_2002-10-23.ana.ud1679e165	I repeat that the government has prioritised. We've given priority to the poorest first. We have wanted to target services and not necessarily have all the broad arrangements. I just want to mention that the 800,000 that are being issued today, cannot possibly be poor all of them. The choice is simple: should we give a little bit to everyone, or should we give more to those who need it the most? The government has chosen the last one. The Bekkum family is doing an important job. I have pointed to schemes that enable them to continue their work, and the Government will be committed to following developments in this area.
ParlaMint-NO_2002-10-23.ana.ud1679e170	Britt Hildeng – for follow-up questions.
ParlaMint-NO_2002-10-23.ana.ud1679e173	It seems that it is reasonable for the Council of State to send a bill of 75 million. kr for sick people. But at the same time that the government tightens the taxes for the sick, they're going to raise the tax of 100 million. kr to those who receive private health insurance from their employer. As the Council of State knows, you only get health insurance if you're quite healthy. How can the Council of State defend using the tax system in such a way that on the one hand you take 75 million. kr from the sickest and at the same time is 100 million. kr for those who are healthy? Is this an expression of the government's social profile, and is this an expression of giving to the poorest?
ParlaMint-NO_2002-10-23.ana.ud1679e178	Increasing the peak tax rate on ordinary income may not be enough to give the most to the rich. The government has made a clear priority. It's the poorest first, and it can't possibly be that anyone who gets a free card today – I repeat it – is poor. The choice for us has been easy when we're also going to be willing to prioritize, to target, and to think about the individuals who have the most difficulty, how important it is to protect those who have the greatest costs. We know that about some chroniclers and disabled people, and we just want to make sure that it's those who get a new roof 2.
ParlaMint-NO_2002-10-23.ana.ud1679e183	Harald T. Nesvik – for follow-up questions.
ParlaMint-NO_2002-10-23.ana.ud1679e186	The Council of State says that it will target the measures so that the poorest will come first. The problem is that some of the measures proposed by the Government in the case of excesses are also affecting those who are poor. By raising the prom from NOK 1 350 to NOK 1 850, you hit exactly the group that really has the least from before, right in the middle of the face. When the government talks about targeting the measures, I think you might be so honest to say that here we will save money. ‘targeting’ is another way of saying it, that fewer people will have access to the schemes, we will save money, and there are significant amounts that the Government has committed here. In this context, I would like to ask the Council of State: can we also expect this government to target measures such as cash support? Is it going to target measures such as child welfare? Is that really what we're going to see from this government, if it's going to catch up with what the Council of State is talking about?
ParlaMint-NO_2002-10-23.ana.ud1679e193	The poorest first – that is the clear priority. The budget is tight, and it is tight to facilitate the creation and maintenance of jobs. Work is also the most important measure of creating a social profile. It is the most important measure to help the poor out of poverty. We see that the broad welfare systems are important in preventing poverty, but they are necessarily not the most important ones to help people out of poverty.
ParlaMint-NO_2002-10-23.ana.ud1679e199	We move on to the next main question – Sigbjørn Molvik.
ParlaMint-NO_2002-10-23.ana.ud1679e202	I have a question for the Social Minister. Yesterday's newspaper not only mentioned Anders Bekkum, who has been mentioned, but also another reference: 'The rich hope in', 'Chooses themselves in tax-free dividends'. These two essays show with all possible clarity an image of a Difference Norway. Since the accession of the Government, the Minister for Social Affairs has had a high profile in combating poverty and has just presented St.meld. No 6 for 2002-2003, Action plan against poverty. After reading this big message, it is not possible to find any evidence that the government is concerned with balancing economic and social differences in our country. I would therefore like to ask the Council of State: does the Government want to balance the economic and social differences in Norway?
ParlaMint-NO_2002-10-23.ana.ud1679e211	Work is the main way out of poverty, and the Government is focusing on measures to help more people get into work. The biggest differences in Norway are between those who are at work and those who are not at work. Helping more people manage themselves just through having their own work is the safest way to reduce the differences. The broad welfare systems are important. It is important to maintain cohesion, but despite the fact that we have had cohesion for many decades, it is still the case that we have poor people in this country. Then we have to be able to do both parts, both targeting and prioritizing, but also having cohesion in mind.
ParlaMint-NO_2002-10-23.ana.ud1679e218	I thank you for the answer, but I did not realize that the stas council responded to what I asked for. When the picture shows that many of the richest are getting even richer, and many of those who are poor are now experiencing contractions that relate to both illness and work, these developments are on the wrong track. It's not true, as the Council of State says, that we've had cohesion for many years. Evolution has gone the other way. Does the Council of State think that such long-term, systematic and targeted efforts as the Government puts forward will succeed only by redistributing between those who are in need, without slowing down those from which rage?
ParlaMint-NO_2002-10-23.ana.ud1679e225	I think that the important thing is to focus on prioritizing those who need it the most, as well as continuing to focus on cohesion. The broad, good solutions are important, but we still see that someone falls outside. It requires priority. It requires individual solutions. It requires tailoring. Focusing on a tax profile in relation to the richest we have had, and we should still have, but it has not helped so that we do not have the poor today.
ParlaMint-NO_2002-10-23.ana.ud1679e230	There will be follow-up questions – Magnhild Melting Group Kleppa.
ParlaMint-NO_2002-10-23.ana.ud1679e233	Based on the two questions that have been asked now, it is almost impossible to see that the government is both busy reducing poverty and smoothing out differences. When it comes to the poorest and the proposed plan, other parts of the budget clearly show that it is those who fall outside the labour market, those who have to go out of work, those who have to go out of work, those who have to go out of work, and those who have to pay for it themselves. The fact that the state council just referred to the family that was named, to schemes that are empty, tells us that instead she is busy actually contributing to more poor people. [[The President clubs.]] When the tax relief for over-measurement is greater than the plan of action for the poor...
ParlaMint-NO_2002-10-23.ana.ud1679e240	The government prioritizes the poorest first. I'll repeat it. When the representative Meltveit Kleppa says that we hit the unemployed, I would like to say that what the unemployed primarily need is work. She points out that we have a measure that allows us to look like we're taking one hand and giving the other. The important thing is that we have active measures, not passive measures, that we have targeted measures and not just the broad measures, that we have measures that capture the individual, and that we do not have passive benefits as far as possible. We strengthen the follow-up of the unemployed with 220 new annual works in Aetat. At the same time, we are demanding the unemployed. We evaluate labour market measures, and it turns out that time is the most critical factor for those who are unemployed. If you go out of work for too long, you're more likely to stay in the trap. The longer you go free, the harder it is to get to work. This is about targeting and prioritizing, and helping people out of poverty.
ParlaMint-NO_2002-10-23.ana.ud1679e245	Kristin Halvorsen – for follow-up questions.
ParlaMint-NO_2002-10-23.ana.ud1679e248	I would like to ask a follow-up question to Minister of Culture Svarstad Haugland, who is also head of the Christian People's Party. It is wrong, as the Minister for Social Affairs says, that the slogan for this government is 'the poorest first'. The first thing the government did in the budget last year was to remove this tax on dividends that now really have given those who have the most, a lot in their pockets. So the slogan of the Government is 'the richest first'. What must be the correct slogan for this budget is that it must be made more poor before we go into distribution. Because that's what happens to them in terms of restitution, in terms of excesses, and in terms of the redistribution profile that the Government has set up, where one takes from those who have little from before, so that they will be truly poor before they finally become worthy enough of this government to lift up. Is this Christian People's Party's partitioning policy?
ParlaMint-NO_2002-10-23.ana.ud1679e255	Now it's time for one to be careful about interfering with the disciplines of other government councils. That should also be respected by Mr Halvorsen. That being said, there is one thing we also need here in this country. It is that we have investors who can invest in Norwegian business, which can create safe jobs. Then it's important to both facilitate an active business and actually have people in this country who can invest in Norwegian business. Today, investment is actually going down. Secondly, the poorest people need the most are employers who can create safe jobs. Drawing an image of the wholeness of this budget as a fight against the poor is simply turning the whole thing upside down. We give priority to the poorest first. One of the ways in which we can give priority to them is to facilitate a business that is safe and that can also create jobs. These things must be viewed in a context. I would also like to remind you of the aberration message presented by the Bondevik I government. It did not contain any suggestions to take from the richest. But it's important to lift up those who have the worst. That's actually what we're doing.
ParlaMint-NO_2002-10-23.ana.ud1679e265	Let's go to the next main question.
ParlaMint-NO_2002-10-23.ana.ud1679e268	Local cultural life has a lot to say for children and the growing-up environment of young people. Theatre, music and dance enrich the lives of the community, the individual children and the young. In this context, cultural schools have made a lot of sense and have produced many talents within different genres that are actually leading practitioners in their fields today. At the same time, we know that many people are on the waiting list to join us, and it is reported that municipalities feel compelled to reduce their offers. Offers that would reach many, in a way, just become an exclusive offer. Often, there is close cooperation between the cultural schools and the other cultural life in the municipality, such as corps and choirs. Now I know that the cultural schools are not directly under the responsibility of the Minister of Culture. I know that. However, it affects most of the policy area for which the Council of State is responsible. [[The President clubs.]] My question is: does the Council of State worry that local cultural life is thus drained for resources and competences, and is it in line with the government's policy to make cultural schools something exclusive? [[The President Clubs Again]]
ParlaMint-NO_2002-10-23.ana.ud1679e275	The number of days shall be kept by all of them.
ParlaMint-NO_2002-10-23.ana.ud1679e278	It is quite right for the representative to say that when it comes to the spheres of culture, it is not my responsibility, nor was it the previous question. It's important that we have a rich cultural life. And of course, it's also true that the spheres of culture are an important factor in it. But to say that the cultural sphere is just an exclusive offering is, to say it mildly, quite brittle. We know that in many municipalities there are many who are on the waiting list and that they would like to have had a better supply. I am happy that the cultural spheres are legally established, and I also hope that the municipalities will give priority to them. Now we also know that in the budget we have submitted, unfortunately, the free resources of the municipalities were somewhat restricted because of decisions taken here in this Chamber, so they don't have as much free money as we could have liked, and so it might go beyond the spheres of culture. I hope they'll be able to screen them, and so the permissions of the cultural spheres are not the setting of the traps. What I would also like to mention when it comes to the cultural budget, otherwise, is that one of the priority tasks from my side, etc. has been supporting the various museums we have around Norway. It is also part of the collective cultural service that municipalities should provide to both children and young people. It has our priorities from my point of view, so that cultural life continues to flourish and grow around our municipalities.
ParlaMint-NO_2002-10-23.ana.ud1679e289	I thank you for your answer. I want to stop a little bit by this with the exclusive, that it's just for someone. In fact, the municipalities around do not have the opportunity to participate with more funds, because the municipal funds around are bottom-up. In the Austevoll municipality of Hordaland, there is actually a proposal to cut the entire cultural school in order to balance the budget. The rapporteur told me that we have so many challenges in school and care for the elderly that it's actually the cultural school this is going to go beyond. How does the Minister of Culture think to meet the negative developments that very many actors say affect the schools of culture?
ParlaMint-NO_2002-10-23.ana.ud1679e296	We are probably also watered down by the way that when first-time advisers come out with their draft budgets, there are some proposals that fortunately are agreed upon by the Cultural Government, the Government and the City Government around, and I hope that our local politicians will be awakened to the cultural sphere's value. But what I'm forced to add is that unfortunately, the free framework of the municipalities is being restricted in relation to what was the Government's intention in the municipal economic proposition. I won't repeat why it happened, but we know it's a tight budget. When one from Stortinget’s side puts more tasks in the municipalities, the framework for our local politicians becomes a priority within less. I'm sorry about that, but it's actually something that the Skjälaa has as much responsibility for – and perhaps as big – as the Government.
ParlaMint-NO_2002-10-23.ana.ud1679e301	There will be follow-up questions – Trond Giske.
ParlaMint-NO_2002-10-23.ana.ud1679e304	The budget presented by the Minister of Culture, Mr Haugland really represents a turning point in cultural policy. For the first time, the first page of the cultural budget states that this budget involves ‘in practice a lower level of activity at most cultural institutions’. So from a situation where, by Minister of Culture, the Minister of Culture has tried to develop cultural life in Norway, we have for the first time a budget leading to ‘a lower level of activity at most cultural institutions’. But not enough of that, it's the municipal budgets around the country that are mainly going to hit cultural life. The free frameworks are being restricted, not because of the kindergarten reform, but because the total municipal economy is as tight as the government imposes – probably in cooperation with the Progress Party. We made a change in the key, which gives a boost, but at the same time cuts the government in free-fund appropriations, in cultural buildings and in the development of cultural schools. My question is: does the Minister of Culture not see that the tight urban frameworks are affecting cultural life, affecting voluntary Norway?
ParlaMint-NO_2002-10-23.ana.ud1679e311	I believe the representative is aware that the budget framework is tight, among other things. because the Storting had agreed to a budget increase of over $10 billion before we could start giving priority. And the Labour Party has actually voted in favour of about nine billion. They have taken a lead in budgetary work, which means that we cannot prioritize culture as high as we would have liked. I think one of the differences in this budget and the previous ones is that I've actually been honest. In the past, the cultural budget has also been cut, but it has not been included in the budget text. You can actually find such a cultural budget if you go back in time. What it has been important for me to give priority to is, among other things. the district museum, also to be involved and to facilitate the continued existence of a living cultural life and not to cut institutions, so that they can continue the activities they have today. Then I hope that we get better times in the years to come, and that culture will also enjoy it.
ParlaMint-NO_2002-10-23.ana.ud1679e324	Let's move on to the next main question.
ParlaMint-NO_2002-10-23.ana.ud1679e327	The question goes to the Minister of Social Affairs. The government’s action plan against poverty does not help those who have the least. It has been made clear in this questioning process. And if one goes into the government budget, a policy is presented in which those who are poor, those who have the least, will pay the tax reliefs that those who have more, get. This increases the differences in society. Examples include removing the system of prescription medicines – i.e. increasing excess weight – for the elderly and the disabled. All the poor, as well as the rich, get a historical addition to the excess of drugs in general, and in addition a tax on temporary disability benefits is introduced. In addition, a number of cut suggestions are being made to make the situation worse for many. Then I have to ask: Robin Hood took from the rich and gave to the poor. Why does the government do the opposite, i.e. Hit the poor?
ParlaMint-NO_2002-10-23.ana.ud1679e335	From the post of the representative Kristoffersen I can understand it so that he wants everyone to be smeared thinly rather than targeted to those who really need it the most. We have made a clear priority: the poorest first – I repeat it – and I also see that there is a partial breakdown of the measures. We want more people to get to work, it is targeted, and they get to work faster, and we have promoted more measures in this area, including: earmarked places for labour market measures for long-term recipients of social assistance and young people under 25 years of age. When it comes to day money, I've been up to it on a previous question. The most important thing is to ensure that the long-term unemployed come to work. The representative, Kristoffersen, mentions the tax arrangement in relation to disability. I want to say that the system we have today is bad. Many disabled people are either out of work or locked up in a small job by the system, and disabled people who want to work beyond 20 pst. position, is actually experiencing a loss. I also thought that there was a broad dissension that work would pay off. And just that's too bad for a social welfare trap that the government wants to remove.
ParlaMint-NO_2002-10-23.ana.ud1679e344	I hear about target fixing, and I heard the representative Britt Hildeng on a previous question give an example of a tax tightening of 75 million. For the sickest, I'll give you 100 million. kr in tax relief for private insurers. This is a target fix that's perfectly clear. The question then arises: how can the Council of State today defend a tax system that thus affects the weakest and gives to a group that probably already has enough? Another suggestion that has been made by many people is that the government has removed the possibility of having an extra income for the disabled up to 1G, i.e. approx. 54,000 kroner, which for most people will be a good supplement to get a decent life. We know from surveys that just dissatisfied are those who have the weakest economy in society. We also think that this is a strange targeting, which we strongly react to. Why does the government do this? I also remember my first question.
ParlaMint-NO_2002-10-23.ana.ud1679e351	There were several questions. I choose to start with the last one. It is important – and I also thought there was a great deal of consensus – that the work line should apply, that the workers should also be able to work as much as they like, and that it should actually pay off to work. The disability allowance compensates for a loss of working capacity and shall ensure income through social security first and labour income at the top. Then it won't pay to work. We need to reverse the negative development in which more and more people fall out of work and become permanent beneficiaries, but those who do not have the prospect of working capacity should, of course, have the security of non-employment benefits. In line with the Sandman Committee's preferences, the government has proposed new rules precisely for a combination of work and social security that ensure that it will also pay off for disadvantaged people to work more. It's necessary. We believe today's rules are too bad.
ParlaMint-NO_2002-10-23.ana.ud1679e360	There will be follow-up questions – Gunn Olsen.
ParlaMint-NO_2002-10-23.ana.ud1679e363	The Council of State has now repeated on several occasions ‘the poorest first’. But that's not going to be right anymore for that reason. The poorest are first hit by the current draft budget. It's nice to bet 325 million. On a poverty level, it does not help to tear it apart bit by bit through the proposals that are now in the budget – many poverty-promoting proposals. The Minister of Social Affairs says, we agree with her, that work is one of the most important measures to combat poverty. How, then, can the Minister of Social Affairs defend the attacks on the day-to-day pay system, the social benefit period, the holiday allowance supplement, the waiting days and the qualification requirements for entering the labour market in the budget?
ParlaMint-NO_2002-10-23.ana.ud1679e370	We can defend that because the most important jobless person needs is work. The need for the unemployed is active – not passive. The government is just strengthening Aetat because you're going to work in a different way. We strengthen them with 220 new jobs, and at the same time we have made demands on the unemployed that you actually have to be a jobseeker. Time is important. The passive use of daily allowances for three years – we have learned that you can do so without contact with Aetat – is a much safer trap to actually stay unemployed. Then it is important to turn it around by saying: shorter time, more activity, more action and a much greater commitment both from the jobseeker and from the authorities to help, just to give the unemployed what he needs most, namely work.
ParlaMint-NO_2002-10-23.ana.ud1679e375	Let's go to the next main question.
ParlaMint-NO_2002-10-23.ana.ud1679e378	My question goes to the Minister of Social Affairs. The state of the Kingdom in TV 2 recently revealed with all clarity the counterpowers of the Ministry of Health and Social Affairs against providing lifesaving treatment to young drug addicts. Subutex is a drug against opiates that has been authorised to be marketed in Norway since 1999 for treatment of individuals down to 15 years of age. However, the Ministry has created a so-called recruitment rule that does not allow general practitioners to prescribe the product Subutex without the patient taking part in a medicine-assisted measure. Under 25 years of age are excluded from such treatment under the legislation. In my opinion, the appeal rule has no medical justification, nor do I know any Western country that has similar restrictions on the use of Subutex for the treatment of drug addicts. I assume that the rule of appeal is based on a law and ask the Minister of Social Affairs to tell me what law this rule is based on.
ParlaMint-NO_2002-10-23.ana.ud1679e387	First of all, I want to say that the Government is concerned about all the instruments that can save lives. We are committed to having a chain of actions that are linked and that allow us to provide help to those who need it. If it works, then we'll apply it. Here and now I can't tell you what the legal basis is. What I can say, is that the government a while ago has taken up today's rules, which were adopted by the Stoltenberg government, precisely because we wanted to review them, evaluate them, and possibly extend the criteria so that more people can get offers. The representative Alvheim points to the 25-year limit contained in today's rules. I want to say that it is actually also given the opportunity for a number of exceptions. I see there's over 20 in the so-called MARIO system here in the Oslo area that's under 25 years old. But as I said, we've taken this on board, and we're busy using the tools that can save lives and give dignity back to the individual, who can then be able to handle their lives better than what you do by being a heroin addict.
ParlaMint-NO_2002-10-23.ana.ud1679e396	I thank the Council of State for the answer, with which I can in no way be satisfied. The appeal rule, in addition to a series of circulars from the Ministry of Health and the Ministry of Social Affairs, has resulted in no general practitioner/addictor dares to prescribe the Subutex drug to young drug addicts for fear of losing their medical license. A removal of the rule of requisition will equate the drug users with the other patient groups, and the decision-maker will be able to print Subutex and administer the treatment as they do in all other contexts. My follow-up question to the Council of State will be: Will the Minister of Social Affairs, together with the Minister of Health, consider removing the appeal rule to save the lives of as many young drug addicts as possible?
ParlaMint-NO_2002-10-23.ana.ud1679e405	It is quite right, as the representative says, that the Ministry of Health is responsible for medically assisted rehabilitation, but I have the coordinating and overall responsibility. We're going to review the rules and also look at an extension of the criteria when the Social and Health Directorate is coming back this fall with a review. What is important in that review is that we look at a chain of measures and that the instruments we have are linked. Here is also what Mr Alvheim's representative has to say.
ParlaMint-NO_2002-10-23.ana.ud1679e411	There will be follow-up questions — Åslaug Haga.
ParlaMint-NO_2002-10-23.ana.ud1679e414	Drug treatment may, in some cases, be important, but the main focus should, in our view, remain on drug-free treatment. The main problem, as we see it, in the care system today is that we do not have the ability to achieve a continuous treatment chain. Drug users have no guarantee of having an adapted treatment scheme when they have been through detoxification and investigation. There's crazy use of public money. My question to the Minister for Social Affairs is therefore whether she feels that this is an acceptable situation, or whether she might consider setting up so-called waiting rooms that allow people who have been through detoxification and investigation to have concrete follow-up until an adapted treatment system is adopted.
ParlaMint-NO_2002-10-23.ana.ud1679e421	No, I don't feel that today's situation is satisfactory – at all. This is why the Government has proposed to clear up the responsibilities and bring together the responsibilities of specialised health services, such as health care. The acute detoxification of drug users is, to health businesses. Drug abusers shall be guaranteed the same access to healthcare as everyone else, and healthcare for addicts shall be treated in the same way as other health services for both organisation and rights. The aim is to improve treatment provision. The loops in today's treatment system are deadly – people die. The important thing about reorganization and clarifying responsibility is to get this chain to hang together, that someone takes their hand when they go from one place to another.
ParlaMint-NO_2002-10-23.ana.ud1679e426	Harald T. Nesvik – for follow-up questions.
ParlaMint-NO_2002-10-23.ana.ud1679e429	In his reply to John I. Alvheim, the Minister of Social Affairs said that evaluation and evaluation would be carried out on the criteria underlying the possibility of obtaining the medically assisted rehabilitation, such as: Subutex or buprenorphine, which is the active substance, is concerned. How long have you planned to spend on that evaluation? When can we expect this to change so that more people can get help and get under the scheme? If this goes over time, we're actually at risk of people dying while they're waiting to get into a system that's very important in order to have a reasonably normal lifestyle. So my question to the Minister for Social Affairs is, When can we expect to see the outcome of this evaluation and, if necessary, the changes to come?
ParlaMint-NO_2002-10-23.ana.ud1679e436	The assessment by the Social and Health Directorate now expects the Ministry of Health to receive during the autumn of this year. I would like to stress that there is no other government that has invested so much in precisely medically assisted rehabilitation as we have done, not only in the measures we have put in place this year, but also in the proposals we have made for 2003.
ParlaMint-NO_2002-10-23.ana.ud1679e443	Let's move on to the next main question.
ParlaMint-NO_2002-10-23.ana.ud1679e446	My question also goes to the Minister of Social Affairs. There have been many questions about unsocial proposals in the state budget, and that also concerns what I am going to address. One of the many suggestions that are profoundly unsocial is that you should now get to grips with how much you can get for school and school when you go back to rehab. This means that many people who today have the opportunity to take courses that cost more than NOK 50000 will not have this opportunity in the future. What this means is that you save a couple of tens of millions of dollars to make a contraction in a system that's actually very successful. What this means is that many of those who are disabled and who are struggling to enter the labour market cannot get the courses that are adapted to their needs. This is the safest way to disapprove people – they are permanently out of the labour market. I've understood the government there that it's busy preventing people from being disapproved, from getting people back to work. At least the government says it's been a priority task. Why, then, does the government do this, which is the safest way to put many of the disabled permanently out of the labour market?
ParlaMint-NO_2002-10-23.ana.ud1679e455	The most important thing is to make sure that people get into work, that they can work, and that you have special arrangements. The Intention Agreement, which is an agreement between the parties and the State, is precisely designed to facilitate the availability of tools to work even if one is unable to deliver 100 pst.
ParlaMint-NO_2002-10-23.ana.ud1679e460	With all due respect, this had nothing to do with my question. The point is that you have a system today where those who are disabled and are re-entering can get a course and a school in order to be able to be re-habilitated back to the labour market, either in the job you have had before, or in another job. This is a targeted, solid measure that actually avoids people being put out of the labour market, that people can get the opportunity to get back into the labour market, which I also assumed this Government was concerned about. In any case, many different documents say that this is a priority task for the Government. So you go all the way into these systems that actually work, which gives people the opportunity to come back. Now you put a roof on how much this school can cost. Many courses are more expensive than this. That makes sense, for many of these courses are expensive. It costs money to rehabilitate people back into the labour market. And why do you cut this to save a few tens of millions when the gain for society and the individual is infinite by having the opportunity to give more expensive direction than what the government is now proposing?
ParlaMint-NO_2002-10-23.ana.ud1679e467	We have chosen to give priority to those who need it the most. We also want a change in relation to the fact that those who are going back to work will have a much more active follow-up from Aetat. There is also an assessment of the need for education and training.
ParlaMint-NO_2002-10-23.ana.ud1679e473	There will be follow-up questions – Heikki Holmås.
