ParlaMint-NO_2002-03-22.ana.ud407e41	The representative of Inga Marte Thorkildsen will make a private proposal.
ParlaMint-NO_2002-03-22.ana.ud407e185	Let me first thank you for the answer. I stand here with the Health Inspectorate's supervisory notice for 2001, that is the last supervisory notice. On page 6 a joint monitoring of the provision of health care to the elderly is reported in Buskerud, and the incidence is: ‘Despite the time needed to correct defects and deficiencies, an oversight from Buskerud shows unsatisfactory conditions for many older people. Often they don't get to lie down and get up when they want to." This is a small example of a message that could be drawn from more examples. I believe that a key issue we are now facing in the debate is why this is happening. Why do we get such a notification of supervision for 2001 after the ageing effort adopted in 1997 has been going on for several years? Why does what happens happen, for example? in Buskerud? And I don't think Buskerud stands out. Is there a lack of will, or is there a lack of ability in Kommune-Norway? That is what I think is at the heart of the debate that we have to decide on in the coming time. I agree with the Social Minister that this is not just about money. This is about lack of management, lack of competence and lack of attitudes. But it's also about lack of money. When an assistant nurse goes alone on the night shift with responsibility for 20-30 residents, many of whom are dying, it cannot be said that the problem is a lack of management. The problem is a lack of people. If more people are to work in such situations, municipalities must have a stronger financial backbone to hire more people and to recruit the right professional competence. Care in the final phase of life acts, for example: about time to sit down. That's why I think it's going to be a crossroads when the government comes up with a big message about the care of the elderly, about the government's ability to link the need for skills, management, attitudes, etc., to meet what I think is the will of the Stortinge, and signal that this is also about continuing the strong commitment that has been made to the local economy to achieve fundamental goals in the care of the elderly.
ParlaMint-NO_2002-03-22.ana.ud407e203	I am very pleased with this interpellation – I can't hide it – because it makes visible and shows that it is more than the government that is concerned with the care of the elderly and the quality of it. The questions are, why is there a breach anyway? Why is there unworthiness in the care of the elderly? I think the answer is complex and difficult, and at the same time I want to say that it is not – as the representative Hanssen also mentioned – so that the money or the number of hands alone is the answer. Kommune-Norge has basically the same framework conditions, and most municipalities in our country have good and worthy care. We also see that the supervision actually works when it is revealed that it is broken and that it is imposed. It is the municipalities that have operational responsibilities, but at the same time it is important that we provide the framework conditions centrally in terms of both law and supervisory authorities, and also facilitate recruitment. My serious concern at the moment is that we get so much negative focus on care for the elderly – despite the many good examples – that it helps to weaken recruitment. We have our own plan of recruitment with regard to health and social workers. We have a campaign going on, and we're going to keep working and looking at it. We will also have close cooperation with the people involved and involve them in the further work, both the user organisations, the professional organisations, where this work has already been started, the municipalities, with visits outside, and also the Municipal Councils' Central Association, of course, to bring them into the work we are already doing in relation to the care of the elderly. It is also important that the Stortinge is involved in a conversation and discussion when we give ourselves a skipper in the care of the elderly and get on more regular trips, because we are always going to have older people, and we are going to have to make sure that we have good and dignified care for the elderly. Then it is that all forces must contribute. But we also have to be able to have a good discussion about how we can make even assumptions so that municipalities can plan within what goes on money and personnel, and making good services.
ParlaMint-NO_2002-03-22.ana.ud407e214	I think it is very important to hold on to what the representative Hanssen had to say, that the older people's effort adopted in 1997 has not been a failure. Many municipalities have made a great effort to meet expectations. They deserve praise and not rice for it. I don't think the municipalities now need fines, they need money. It may seem that we have a common political goal at Stortinget that we must now give room to improve the quality of care for the elderly, but it is not given that we agree as to how to achieve the goal. Now we have to seriously focus on content and not just the number. There is content that will be the quality stamp of a good care for the elderly. I think there is a broad consensus in the Stortinget that good care for the elderly is about choice of value. If we are to prevent loneliness and isolation, if we are to prevent malnutrition and morbidity, we need sufficient people and competences. In my opinion, this is a lot about giving elderly care a different status. This will make it easier to recruit professionals and bring more medical expertise into the care system. Good quality work takes time. The working party is of the opinion that the municipalities themselves are the best providers of quality, given that they get resources for it. The working party does not wish to solve the challenges of putting the old into tender. We are of the opinion that the outsourcing of competition is very difficult in terms of care. Good care and care are largely about time, but it is also about money. We fear that minimum standards in the form of too few people will be the result of competitive outsourcing. There are no convincing good results from the experiments we know, either here in Oslo or for example. in Denmark, where the private sector of home services has recently found itself too low to be able to cope with profits. Prices must be up by 30 pst. This is not surprising," says Finn Heizelmann, Director of the Service Development Institute. He goes on to say: it is difficult to save on the competitive outsourcing of soft care services, because it is time for the citizen who is crucial for service and quality. This believes the Workers' Party is part of the core of the matter. The backbone of our common well-being is services provided by government employees. That's where the center of gravity still has to be. The Workers' Party is opposed to privatisation because it means that the public disclaims the responsibility for giving everyone an equal offer. For the Workers' Party, it is essential that municipalities do not organise themselves away from governance and control over well-being.
ParlaMint-NO_2002-03-22.ana.ud407e227	In this case, the Minister of Social Affairs has also shown that she is a minister for the users of the services. There is a need for a quality reform in Norwegian care for the elderly, and the government is in the process of doing so. A quality reform will provide a starting point for both older people and municipalities to know what level to expect. However, it must be assumed that care for the elderly in Norway is very good. Senior care employees do a fantastic job to give the user a decent old age. As a result, the meeting with the care of the elderly is largely a positive experience for both users and their relatives. Last week we saw older people from Stavanger and Bærum being received at the hospital in Spain. A long and good and warm stay awaits them there. This is an offer that one just a few years ago looked at as utopias, and as I think they themselves had never dreamed they would get. But it is also an image of the challenges we face. Older people and their relatives will have greater expectations both that the offer is there when the need arises, and not least for a person to receive flexible and personalized offers. I hope that the Government in its work on its own big message on quality in care for the elderly will focus on this aspect, which I am not concerned about, given the Minister's sense of tailoring. There is a link between quality and economics. But that's not the only connection. The surveys carried out in municipalities show that hospitals with equal conditions have different levels of supply. Then there is also a management issue at both institutional and municipal level. Quality regulations will force municipalities to introduce quality assurance measures. Supervisory responsibilities will be strengthened. It's positive. By means of constructive supervision, users and relatives of individual institutions and municipalities will be able to feel confident that quality requirements are being met. Each leader will receive constructive feedback on which areas are good and where improvements are possible. In this work, it is important that supervision, and not least the feedback on supervisory results, be carried out in such a way as to create dialogue and trust between the supervisory authorities and those under control. We've seen examples of the opposite. I broadly agree with the views of the inter-pellant on the reform of the elderly and its follow-up. I am therefore pleased that the Workers' Party opens up broad cooperation, and that means that it is a good idea for us to be able to continue the historical and political consensus that underpins the elderly reform both in the follow-up to the ageing campaign and in the quality announcement.
ParlaMint-NO_2002-03-22.ana.ud407e240	I think it's too strong when the Minister of Social Affairs says that the vast majority of Norwegian municipalities have good care for the elderly. I don't think that's right. There are several aspects that we need to consider if we are to get a decent care for the elderly, in which we are all interested. And I want to start with the first, that's to change attitudes to older and older sick people. The wave of fire is a negatively charged concept. And when we hear and read about municipalities that complain that the resources used in the care of the elderly are affecting the growth of children and young people, we blame the elderly who are often denied a feeling of guilt, including in the media, that they want to die as soon as possible because they do not want their grandchildren to grow up worse because of their money consumption. And when we recently heard from the nursing school in Stavanger that a large part of the students there say that it's not cool enough to work in the care of the elderly because these people are going to die anyway, yes, then we've come very far towards a negative attitude towards older people who want to reproduce and have consequences across the board. Point two, which I think we need to look at, is a state funding of the care of the elderly. And until that happens, we have to be able to do the same thing as we do in kindergartens: let the municipal grant and the state grant go in as a direct transfer from the state to the municipalities, so that the municipalities have the means to make the care of the elderly better. If we get full government funding, we also have the option of freedom of choice for the elderly sick – they can choose the institution they want to be at. I hope we don't get too far in too long, and this government should facilitate such a development. What's the problem today, and as little has been talked about, at least on the part of the social minister, is the manning at our nursing home today. It is simply too poor; it is not much higher than it was in the 1970s, and the age difference between patients today and that time is away from 15 to 20 years, and we get a stronger and stronger intensive treatment of patients after they have been discharged from hospitals. It simply lacks hands in our public institutions. The Minister of Social Affairs said very little about this. And I want to challenge the Minister of Social Affairs: will one in this message that comes to the Stortinget also consider proposing a minimum crew at our public health home? And finally, I'm opposed to starting to fine the municipalities. There will be no more money from it – neither will care. I would like the Stortinget to adopt an Elder Caregiver's office.
ParlaMint-NO_2002-03-22.ana.ud407e255	I would first like to make it clear that from the SV it is important that the old-age reform, which concerns the construction of nursing homes and nursing homes, is continued so that the municipalities achieve the coverage that Stortinget provided. We believe that the state still has to contribute financially to get this done. So I share the interpellant's views in this area. In order to ensure that this reform does not just become a housing reform, it is essential, in the SV's view, to ensure good quality and decent standards of the provision of old, sick and nursing sheep, both in nursing homes, in nursing homes and in home-based care. In other words, we need a quality reform. The Minister of Social Affairs was in his intervention on several important measures to which one can immediately join. But I still think that there is a clear flaw in what the government is presenting, and that is the question of manning. All the measures mentioned by the Minister of Social Affairs depend on our having a sufficient number of hands to carry out the enormously important social tasks that we have in the care of the elderly. We know that we already have a shortage of people in the care sector. And everything suggests that this situation might get worse. Statistics from the Central Bureau show that in 2010, Norway will be lacking in 12,000 year-old jobs only in the case of help nurses. Today's figure is approx. 3,000. In the case of nurses, a recent survey conducted by the Telemark College of Nurses shows that less than 10 pst. Of these, they want to work in the care of the elderly after having completed their education, so that it can also become precarious here. I'm afraid here we are facing what I would call a ticking bomb, and that in a few years' time, the media we've seen in the last few weeks about unworthy situations in the care of the elderly may become more – and perhaps worse. It is therefore essential that the Government and the Stortinge are given much greater attention to the recruitment crisis in the care sector. And to reverse this negative development, in my opinion, there are two important assumptions. One premise is to raise the level of pay for these groups, and the other is a higher basic staff in the care of the elderly and caregivers. These quality measures have a price, and that's what I want most from the Council of State. How does the Government intend to finance this increased quality? The debate here in the Chamber has now shown that the Government has solid support in Stortinget if it wants to give municipalities an economic boost to get this quality increase in place.
ParlaMint-NO_2002-03-22.ana.ud407e272	The reform of the elderly has been a major reform, on which we have a broad political agreement. It is invested over 30 billion kroner in nursing homes and sick homes. Nevertheless, it is reported that there is still a need for more places and that the coverage in relation to needs has not been better. Something has to be done wrong. At the same time as we're looking for reasons that the result hasn't been as expected, it's a fact that there's been a significant standard rise, and that many more have got one. A message I have received from Kommune-Noreg is that in the conversion of institutions there has been a lot of pain about centimeters instead of looking for decent and practical solutions. The government will come back with its own case to the Storting on the completion and completion of the older reforms. Then we'll hopefully get answers to this and more questions that we're asking. As important as the physical upgrading we are about to complete is the operation and care of care and care. The quality of care for the elderly is far more than good buildings and modern rooms. There's a custom need for care, from those who need someone to look into one another at a time, to those who have to hold a hand in the final phase of life. Others need spiritual help and comfort, perhaps in connection with prayer. No one should have to experience that this is difficult to achieve. This has to do with the absolute respect for human beings. The life and family situation of those living in a nursing home or in a nursing home is different. Some are often visited, some are never visited. Cooperation with voluntary teams and organisations will be an important complement to the care services for which the municipality has a basic responsibility. In order for municipalities to operate the old-age reform alongside all other important tasks, they must be provided with means to enable them to take care of the elderly whom I believe all decent politicians want. Finally, I would like to point out that there are a good number of older people who are in a situation of life and family that make them take care of in the world, even though it is less often than it was a few years ago. The public should actively contribute to the smooth functioning of this home care system. Let me finish by saying that today we heard on NRK Radio a bomb of news. We heard the representative Bjarne Håkon Hanssen tell us that now the Labour Party wanted to go in to complete the 25pst coverage. But there was a large majority in Stortinget for already last fall. There was a Christian People's Party with and – as far as I think – also the Workers' Party. So welcome after – when one discovers what one has been on. To put it this way, recycled news, old news, can be good news.
ParlaMint-NO_2002-03-22.ana.ud407e291	If the Workers' Party and the Advance Party had been more concerned with the quality and content of care for the elderly in the previous ageing period, the municipalities would have been more involved today. Then they had a greater chance of leading development and focusing on the good examples to recruit more people for this field. The coordination of supervision between hospitals and the care services or the quality regulations that both the elderly, their relatives and their family members could adhere to would then have been in place. St.meld. No 28 for 1999-2000 Care 2000 contained proposals in this area. The message was one year in Stortinget – and was later well preserved by the labor party government of which Bjarne Håkon Hanssen was part. The central party believes it is good that the social minister now follows up quickly a work where, unfortunately, the last two years have happened too little. Interpellanten is busy building trust in the municipalities through a strengthened municipal economy and a worthy end to the old age plan. First, one third of municipalities report cuts in care, school and culture now in 2002. Resources must be allocated. But then also John I. Alvheim has to set up. Where is he in the fight to secure the municipalities a better economy? Second: When the Worker's Party now focuses unilaterally on a norm of whole-day care and care for 25 pst. Of the 80-year-olds, I have to remind you that the 1997 Elder Plan also laid a foundation for the improvement of old buildings and the provision of care services other than those over 80 years old. It's on the background the municipalities have laid their plans. They have done so in consultation with county, county and house-banking. The central party's view is that the municipalities that have planned in consultation with state authorities, several of whom have even changed their plans in the course of the process, have notified their needs before 1 October. If it's a matter of creating trust, all of these municipalities must be safe. We see it as an attempt on the part of the Workers' Party to avoid liability when they now have to look away from statements that they themselves put into St.meld. No 50 for 1996-97. The centre part will clearly extend the seniority plan. We want to strengthen the local economy, we reject fines, and we are calling for offensive policies from the Government to recruit labour. When will there be a recruitment plan that looks at both the challenge and the tools to recruit more – and here is pay clear?
ParlaMint-NO_2002-03-22.ana.ud407e309	It's spent 30 billion dollars trying to get the care of the elderly. Now it has to be said that many municipalities have done their job. But unfortunately, in many municipalities, it's still the same conditions for the elderly as it was before we granted the 30 billion. That's the basic problem. And then one has to ask the question: why are there so many differences around the country regarding care for the elderly? It is my reverential claim that it goes on funding, of course. It seems to me that the Centre Party and the representative Kleppa are much more concerned with a municipal bureaucracy than with the care of the elderly. There can be no obstacle to getting government funding to ensure that the money is guaranteed to reach the care of the elderly, if that is what everyone has in mind. I am provoked when there are still representatives of the Stortinget who use the term «best mother out for tender». It was Gunn Olsen's representative who criticised this with outsourcing and referred to Denmark where there were no good examples. The head of the municipal committee and I were on a committee trip this week to Sarpsborg. They have put off their nursing home, with the result that they have primarily saved money. But they have also had a user survey that shows that users are very satisfied, the bosses are very satisfied, and the employees are very pleased. And the strange thing about this is that when Sarpsborg announced vacancies, there were 80 applicants for 20 jobs. And so there's private operation. Now it can be said that it is like that with Swedish drivers, but the point is that everyone is satisfied. Why can it not also be possible in Norway to look at alternative solutions to provide good care for the elderly? That's what I'm asking. There are now many Norwegian interests building care, rehabilitation and health homes in Spain. I had an example of my table a week ago. Norwegian interests build 400 rehabilitation sites and 40 nursing homes, with Norwegian employees. They have no problem filling the places if the Storting opens up alternative funding so that the elderly and the sick can use this type of care. But here's a stop, simply because the bulk of the population is more concerned about bringing the money that's to be spent on this, into a municipal bureaucracy. Thus, the funds to be used for the care of the elderly disappear.
ParlaMint-NO_2002-03-22.ana.ud407e324	I am not sure whether the quality of care for the elderly is getting so much better through this debate today, when we still stand in the trenches and use words like ‘municipal bureaucracy’ as shell words and ‘privatisation’ as the magic formula. I think we need to get something ethical into this, and that put the Bondevik I government up through Care 2000. It was then talked about by some teams that there was a saying in the course of course. But I actually think there's a need to go through those words and those concepts and make them concrete, and materialize them, among other things. through financial appropriations, so that we have the opportunity to do what we're doing in a slightly tumultuous way. There is not so much news about care for the elderly today, as reported in the media this morning. The target of 25 pst. coverage for the population over 80 years has been in place for a long time. Also this with quality regulations we could have had a long time ago if the government had followed care in 2000 and put out the regulatory work, and also returned with laws if necessary. Like Gunn Olsen's representative, I don't think there are fines, penalties and laws that the municipalities need now, but resources – resources in terms of economics and personnel. I want to focus on a slightly different sector than what has been the main theme here today, and that is the medical content of care for the elderly. I believe that several nurses would apply to the care of the elderly if the medical profession had received a higher status. And then I don't think the Minister for Social Affairs has the right thing to do when she talks about new regulations for pre-treated patients. We deal with older people between levels of responsibility – almost like parcels. And that's wrong, Social Minister. It has to be that we have a greater ethical responsibility at all levels and a greater sense of what this should be. It's too bad to cure in the nursing homes. It's too poor medical-professional offer in hospitals. Older people often have complex and sometimes complicated diagnoses, and then they are treated for the femoral fracture they get there for, or for something that might just be an adverse reaction in an overall diagnosis. We have to get this up. Then it might also be that the nursing students say that these are not just people who are going to die; these are people who need a worthy care, care and treatment until the end of the day. This is what we put too little emphasis on in the discussion on care and care for the elderly. I can't believe it's the freedom of choice that's the big deal either. At least the freedom of choice does not give equality. How much freedom of choice do they have over 80 years in my municipality to choose a nursing home and at the same time be close to their family and relatives? How much freedom of choice do you have in an area like this in Oslo when you suddenly collapse and get a hundred percent nurturing and you don't intend to choose until you've become a hundred percent nurturing? He/she must be admitted to an emergency facility. I think it's best taken care of that we have a public service to provide coverage for everyone.
ParlaMint-NO_2002-03-22.ana.ud407e339	At first I have to say that there was a strange post by the representative of Meltveit Kleppa. She said that the Workers' Party focused one-sidedly on 25 pst. coverage. We focused on it, but also on a lot of other things. The Labour Party wants to discharge itself of responsibility," said Magnhild Meltveit Kleppa. No, we chose a little painful road in 1997. We chose to spend 29 billion kroner on increasing service provision and better care for the elderly. I know that this wasn't completely unproblematic, because there were others on the track who had other priorities, without me going into it right now. So we chose services for cash payments. It was at the bottom. We took responsibility for and initiative for the action plan that we are now discussing and may be able to continue to achieve the objective of sustainable care. It was the initiative of the Labour Party government in 1997, and we are proud of that. The problem is not that we were built for many nursing homes, because it has given very many older people better and more worthwhile care. But we also have a greater ambition. As Bjarne Håkon Hanssen mentioned in his post, we want to signal that we are moving forward in the development of care for the elderly in a good quality way. We want more hospitals, when it is now documented that that's the need, and that's what municipalities can best tell us. Therefore, it is important how the Government interacts with the municipalities. So we're signalling a continuation of a reform that is necessary for the elderly. All the municipalities have to have a chance. The special thing – for those who have not understood it – with what has been said today is that the municipalities that are not in the target today must have an opportunity to move on. The future model must take account of the fact that many municipalities have not actually done the job on which Stortinget challenged them. Today, therefore, we signal that in the future financing of care for the elderly, it must be such that older people throughout Norway receive a valuable offer. Therefore, we want to put at the bottom a prerequisite that the municipalities move on to one is in goal. In addition, in the case of the so-called wave of old age – a word that I do not like to use – we have to bear in mind that many municipalities today have not actually reached the peak, so that future funding must guarantee that these municipalities are in fact able to offer services that the other municipalities already have.
