ParlaMint-NO_2002-03-08.ana.ud2419e49	The representative of Kenneth Svendsen will make a private proposal.
ParlaMint-NO_2002-03-08.ana.ud2419e248	There is no doubt that the situation is a crisis in Aetat. The many letters and melanos give clear messages. It is also serious that because of the failure of public services, individuals have problems paying their expenses. But that this should be the biggest challenge anywhere, as the representative Britt Hildeng says, I don't understand. We still have a very low unemployment rate, and Aetat is dealing with much more extensive unemployment before. For Aetat, things have gone off in an unfortunate way. First it was turbulent times, with cheating and fantasy. Then the focus was on Aetat Business, which collapsed as a card house. Then came new replication rules and not least the introduction of a new computer system. We – most of us – have to take joint responsibility for the new rules of recycling. It was also supposed to be a zero-sum game, where those who were once least had to get a little bit more, and where those who had the most lost a little bit. And the latter is obviously difficult and perhaps not an answer to the poverty problem, but it's not necessarily unfair. It was also provided that the various social welfare schemes could be compared. What surprises me is that new arrangements create so much root. There are arbitrary arrangements for those who have come out badly, with any debt collection, as many have mentioned, because of system errors and card tariffs in Aetat. The idea that Aetat should become a qualification seat to a greater extent is challenging. Everyone wants change, but no one wants change, it's called. The Christian People's Party believes it's important that Aetat is able to do the very important job of qualifying people so that they can get back to work. The opportunities for participation in the labour market are important for self-respect, for economics and for social contacts. This is about man's future, and about a working labour market. Then the department must leave data troubles, complaints storms, delays and unintelligible notification cards. I thought it was funny that both Regeninga and Aetat have taken care of the problems. I hope that's $15 million. kr may create a bit of optimism, and I cannot escape the idea that the liquid problems most users have could be significantly reduced if the possibilities of exemption had not been removed. It's never too late to turn around. Work is positive, even if it happens on weekends while qualifying for new tasks. So a little word in the end: as a mother of four children, I'll say 17 per cent. Children’s care today is a joke.
ParlaMint-NO_2002-03-08.ana.ud2419e273	There is a need for a debate on the capacity to participate in the labour market. One of the five strategies in the Smooth message is a softer workline. It means a stronger commitment to the participation of more people in the labour market, and it involves legislative changes to be closed. The centre party will have a public labour market seat to provide both jobseekers and job-seekers. We want to add knowledge and insight to the many individuals who need advice, guidance and follow-up. We want to add those who can play teams with public and private companies and organizations, and we know that it means a crew that is consistent with the tasks to be solved. We stuck with the 30 million that were deposited by the Stoltenberg government, because we thought it was necessary for 2002. Now we are in a situation of increasing unemployment – 80,000 unemployed. So even more than last year, there is a need for individual guidance, follow-up and enhanced cooperation with external partners. Now we see that the number of sick messages is increasing, and that there is frustration among those added. And then there will be a change in legislation, for which the Storting must take responsibility, a change in legislation that comes before the necessary training and information is given and the technical is in place. The last thing I think is that both the magnification and the government have to go inward, that there has to be a connection between the introduction date and the instructions that are to be in place at the front. In the case of new rules on rehabilitation, the Workers' Party, through the welfare notification, has taken the initiative for a new regulatory framework for rehabilitation and rehabilitation. Many years have passed, and many calculations have been made to ensure a simpler and more prudent regulatory framework. In spite of this, it is now embarrassing to note that this legislation is not in the best interests of the most disadvantaged in the face of practice. There was no such thing as meaning. The center party, which was involved in this, at least didn't mean to frame those who now have the lowest income. I share here Karin Andersen's assessment. Now the government has one thing to do, and it's temporary to clean up, advance the municipalities to give those who are now the most difficult, order in the bills, courage and faith, so that they can really come back to work.
ParlaMint-NO_2002-03-08.ana.ud2419e288	After all the enquiries I've received after New Year's on new rules for refurbishment and rehabilitation, there's no doubt that this has given many unfortunate results and many despaired people. The new rules have been a disaster for many, says the head of district work at Aetat in Moss. Those are strong words, but they actually come from someone sitting in the middle of it. And there's hardly any local in this country who haven't had a huge deal on the subject. Psychiatric health protection in Eastfold, which also follows drug clients over several years, from protection to hospitalisation and then institution treatment, tells of a former heroin user who is in the process of reintroduction. As for all others who are going through such a race to get out of work and get out of work, this race started with social assistance as the only economic source of income, and then turns to rehabilitation money and, finally, vocational rehabilitation. Until this year, these have been economically independent. But from the New Year, they experience a huge economic decline as they go from rehabilitation money to vocational rehabilitation, and the entire rehabilitation process, which so far has cost the state a lot of money, stops. In this case, gross monthly income decreased from approx. NOK 10000 to NOK 6600. Then I ask, is this the security we want to give these people? The Labour Party believes that the Government must now clean up. Have the Storting decided something where the consequences are as great as what we hear about in many cases, we have to be willing to review this again. And when the government additionally cuts in the budgets of Aetat and grants 30 million. kr less than the Workers' Party, which means fewer jobs and fewer people to deal with the problems, has, of course, further reinforced chaos, even if there is an additional allocation now in March. This is very serious. There have been so many financial problems in the transition to the new scheme that they consider interrupting the resettlement plan and seeking disability benefit. Others have had to go to the social office to get help. The working party believes that we must take this seriously and clean it up. We are very busy getting fewer on disability benefits and more in work. Then these have to apply, get the opportunity to do that. If the Bondevik government is serious about its commitment to poverty measures, which they have been strongly involved in and said, it is actually strange that they are weakening the means we have to do it.
ParlaMint-NO_2002-03-08.ana.ud2419e301	I get bored if the Storting and the Government just become a strong defender of the system and don't put the users in focus. Cost neutrality is not indifferent,' said the Council of State, and I can agree on that. It's important to take a height for it, and it's important to take a height for a fair system. But I don't agree with the Council of State that the introduction problem would come anyway. The computer system that was introduced two days ago was, of course, the system to deal with the payments – the benefits. At least it should have been in place before the rule change came into force. The benefits of rehabilitation should come back to us as we know it – there are already proposals for improvements to treatment in Stortinget. But in this context, it is equally important to focus on the working environment that we experience in Aetat. There is evidence that the state of the building is such that it is a very large percentage of sick leave. It's a big element of stress and stress damage, and not least they feel they're adding a bad conscience there because they can't do the job that they know they're going to do, that's to provide service to users in line with what users require. This has become a bad circle. In fact, the situation is that those who are going to get people a job – that is, those who are going to work to convey work to people – themselves get sick in the system they are experiencing today. Now rapid and good action is important. No one is interested in users losing confidence in the most important qualification seat in Norway. I hope that the Government will provide 15 million in addition to the signals we have received today. kr to Aetat in connection with the revised budget, will also raise the risk when it comes to the problem of the working environment in Aetat, that the Government will see closer to the manning situation, so that they can add to the job they have set to do.
ParlaMint-NO_2002-03-08.ana.ud2419e310	The representative Eye hoped that the government would ‘clean up’, and we do that with the greatest pleasure. We are constantly cleaning up the matters that the previous government left behind. The crisis in Aetat is one of the things that the previous government left behind. The rules for reintroduction are something Stortinget and previous governments have left behind. We're doing that cleanup, and we're taking it very seriously. I think it was very sad that the representative Karin Andersen perceived it there that we were not concerned about putting the users in focus and doing something for them. That is exactly what we have been doing in implementing the rules for reintroduction. These include: therefore we are now assessing the appropriateness of the notification card system. We are in the process of fully reviewing whether the benefits will result in an adverse outcome, and whether adjustments will therefore be necessary. That's why we say that the information and training work in Aetat needs to be strengthened. If it didn't come out clearly enough in my first post, I'll just clarify it now. Uppøen Hansen said we were defenders of the system. I can assure Mr. Hansen that we are not! We are working on a concrete action plan for the transformation and implementation of Aetat into the qualification kit that everyone is talking about so nicely. I'll have the opportunity to come back to it a little bit in connection with the next interpellation, so I can assure you that we won't be system defenders. On the other hand, we have a great deal of respect for the Storting. Once the Storting has adopted a new system for reintroduction, it will be implemented and we will try to make implementation as clean and quick as possible. We've tried to do that. A few details – just for mentioning it too – in this context: Some users came out very unfortunate in January in connection with the transition. We're very worried about them, and I want to make it clear that many of them got financial help right away. We've asked the department to look at the question of whether there are any of these that have come out particularly unfortunate, because we didn't get the auxiliaries in time. Unfortunately, I cannot give a general guarantee that in situations where a public agency or other employer would be late for payment, all the accompanying costs arising in this connection must also be covered. But we have asked the department to look at the problems of the individual ships, which started in January. Questions were asked if the information was too bad. Yes, the information was too bad! That's one of the reasons why we've gone in with extra funds. Questions have been asked about: Is a 14-day registration card necessary for re-entry? We have asked Aetat to consider whether this is necessary, but we have to remember that replication is a much more complex image now than it was before, and there is a need for close follow-up in some cases. Is it necessary to have payments every 14 days? Can't you have them for months? So half will now be paid monthly, and not every 14 days, so we're trying to be present. We don't think the system is perfect, but we're working on getting better. So in the case of Aetat as such, we don't want to defend the system.
ParlaMint-NO_2002-03-08.ana.ud2419e323	Then the interpellant debate is over.
ParlaMint-NO_2002-03-08.ana.ud2419e341	This will be an extension of the previous interpellation. The starting point here is that the Government and the Storting have said that poverty reduction is a major task. It's probably not the whole truth that work is the only key to this. Social security must also be to live off, for someone has to have it. In addition, everyone has said that it should be easier to combine work and social security. There is an agreement on an inclusive working life, and everyone wants to make it easier for more people to provide for their own work. And then what does one do? Well, at the first crossroads, you go into the apparatus that's going to help people get to work. I regret to say that the Council of State went to the first 'examination' when it came to modernising and combating poverty. He strove to follow his own premise when it came to keeping the workers in focus in the process, which was the first post I heard from the Council of State holding here in the Storting, and in having a user perspective. I must unfortunately say that I think one is left with pure rhetoric and little action. I perceive that the Council of State has not listened to the users, who for several years have pointed out that they do not receive help and individualization, and that he has not listened to the employees, who have pointed out the same thing for several years. It was a bit embarrassing, but necessary retreat that came with a post-allocation. But the damage is extremely great for those who are affected, not just because they get into an economic crisis, but because they lose their courage in a phase in which they should face it. Many interrupt. This is a bomb at all points of achievement. I assume the council knew what he was doing when he cut 30 million. kr, because even in the State budget, it says that unemployment is going to increase. The amendment of the rules on readmission was adopted by Stortinget in May 2000, so it was relatively time. Although the Council of State was not responsible for this entire period, it was possible to pull the brakes. That there are many big and new tasks, you knew about, and that you had a new computer system that wasn't completely without problems, you also knew about. It was known that sick leave and “turnover” were alarmingly great. And despite the fact that the Council of State – I assume – knew this, you cut it. It is such that some of the things to be more effective in this department are the usual dissemination work. I am happy when the Council of State says that Aetat is still going to do it. But what we know about this kind of communication is that in a way, it's the ones that are the most demanding, that require the most of the time. And when you streamline the bit that's going to be easier communication, it doesn't really help when you think you're going to get a lot more resources out of it. There's a kind of a 20-80 pst rule on this, which at least applies in economic theory. And in addition to this, you've been equipped with a computer system just on the piece that needs to be streamlined, on the usual communication, which seems a lot more complicated. All the messages I get from those who sit and do this service are that it is much more heavy now than it was before, and that in addition they do not get an answer to a good part of the questions they have. When this has not gone completely wrong now, it is well because social service employees have also cleaned up for Aetat. SV has been a strong champion of merging Aetat, social security and social security offices, but I have to say that I am worried about this matter. If the social office, which has now rocked this, is to be dragged into the same crisis that Aetat is now in, then I'm worried. Much of today's labour market is staggering, and people are being pushed out. But it's even worse to stand outside. They experience a massive demand to get into work and work, they experience bad advice, many have and get health, social and economic problems, and they meet an auxiliaries who can't help them. Now we have heard from around the country, and I can take some other counties from which I have received messages. From Florø it is reported that the work force is now running out of control. They've been in constant downsizing and conversion for many years, gone from 14 to 8 added, and sick leave is twice as high as in the state. They have funds for action, but they have no one to put them into action. In Fredrikstad Aetat they have 28 pst. sick leave! They report that the Protection Ombudsman has said from above in the system, but is not being heard. Cosmo put in a phone call for employees in the state, so they could call in some good tips and get a Danish tour in a premium. I would recommend that you listen seriously to your employees; they have a lot of sense to come with. So in addition, the department of economy in Fredrikstad has been shut down twice a week because they are not doing this pressure. So here people meet closed doors and short opening hours – not very modern and efficient, you ask me. If you call and you have to hear half of the ‘Skebnesymphony’ on your ear before you receive a reply, the ringcard is exhausted and you have not received any money on your social security, then a reasonable doubt becomes. Many users also say that they must accept the frustration of employees over this situation when they come and have enough of their own problems. Then to the computer system. So the Arena system that's been introduced should do things better. The council assures in reply to me that it has. But I'm kind of in the mood, because the messages from the employees and from the different offices are very different. I was in a radio debate with the Council of State this week. The Council of State said that the employees cannot know whether this system is good enough because they have not yet implemented it. I guess that's a truth with modifications. Parts of this system are in use. What is called main delivery 1, as far as I know, has been used from April 2001. Primary delivery 2 is put into service today and main delivery 3 is to be used later. For example, I'm sitting. by a letter from the Chief Trust Committee in Trondheim to the superiors stating that experience can be summarized as follows: It is an extremely demanding and time consuming system. The requirements for detailing and diversity of information are enormous, and the system requires a level of recording that in practice cannot be achieved under the pressure of work that is common in the job centres and in addition a number of other complaints on this system. So it has been recorded with the registration cards, and it is correct that the Riksrevision has imposed a kind of registration card on this. But must it be so difficult? Could it be that the Council of State is not doing it? I'm a dyslexic soul, and Aetat knows that a lot of those who line up with them are dyslexics and have problems with this. And yet you're making a kind of a double extra tippupong that's almost impossible to understand. And when people send in the cards, they have huge consequences – because you don't get your money! Had it even been that you had received the money and could then have cleaned it up afterwards. No, this system is not modern and effective, and it is not user-friendly at all. So a little bit to Aeta's role. SV believes that Aetat should have a broad role in labour market policy, and that this should not just be a budget for people with special problems. Five consecutive years, the Statistical Centre has shown that measures for the unemployed work. 42 pst. get a job with action, 28 pst. without, and twice as many start in regular education. There can be no point in not increasing efforts in this area. And what we know we have to do is to increase it on qualification, and that it's relatively long-term measures. Today's labour market does not have open arms and shouts for people who do not have enough skills, and not for people with different health problems and who have been out of the labour market for some time. Labour market policy is important for the overall policy, and Aetat's broad interface in practice provides good and necessary knowledge for policy-makers, including at large and government level. There is not enough of the Ministry of Finance's macroeconomic systems to know what this is like. We're going to know what it's like in practice. This is important for business, it is important for welfare and equalisation policy, it is important for empowerment, which is the key to the future society, and it is important for regional and district policies. This is an area that needs far more attention than it has today, and that needs something quite different than a short-sighted focus on saving as much money as possible on the means both to enable the nation to exploit all the resources we have, and also to enable the individual to stand on its own feet as possible, and I hope that the Council of State and the SV can agree.
ParlaMint-NO_2002-03-08.ana.ud2419e362	I wish Aetat’s problems could be solved by replenishing money! It's not like that. Aetat has, as I see it, given enough resources in relation to the tasks to be solved, that the establishment is organised and operated in an efficient and appropriate way. However, the budget must be substantially converted. In this context, it is necessary to clarify what the establishment is going to do, and why. It must be provided with framework conditions reflecting these tasks and it must be given a form of management and an organisation adapted to these tasks and frameworks. Workplaces in Norway were largely established in their time to distribute industrial workers and seafarers to factories and ships. It was a job that was important, and they did well. However, the need for this type of employment service — of uniform labour force for homogeneous enterprises — has gradually become the exception rather than the rule. Both the supply and demand side of the labour market has become much more diverse and complex. With that, communication has become a complicated puzzle game where you have to find exactly the person who fits a tailor-made job. In addition, characteristics other than purely formal qualifications have become important for many jobs, and employers are therefore increasingly in need of selection processes that go beyond purely job placement. This has created a market for private intermediaries that can offer services in addition to the free services provided by Aetat. One of the issues relating to Aeta's tasks is the role of the establishment in this new labour market. The second key issue concerns access to labour. When the employment offices were established, there was also a simple question. Then it was a matter of course that the Norwegians, quite rightly with the line below the last syllabus, worked from 17 to 18 years old until they left retirement as 70-year-olds, and almost all of them had the necessary prerequisites to do a job. Today, the main problem for many jobseekers is that they lack the qualifications that employers demand. At the same time, the initial age of the labour force is for many near 30 years, and the average retirement age has fallen to 59 years. In addition, there is a large and increasing number of people with long-term sick leave or with different forms of disability, which means that we are also not fully exploited by the rest of the potential workforce. That's where Aetat's main task lies, and must lie. We have to mobilise more of the labour force, and we have to make sure that the jobseekers have the qualifications that the market needs. In line with the Sem Declaration’s Government stated that Aetat should develop into a ‘qualification seat’. There is reason to make it clear that it itself does not represent a dramatic change in price. In the last few years, Aetat has been through a major shift towards a ‘qualification seat’. It's e.g. it is worth noting that Aetat now has more disabled persons than ordinary job seekers on action. Therefore, the objective of the Sem Declaration is more a continuation and clarification of a starting line than a reversal of the course. But it remains – and it is central – to adapt the organisation to these new tasks. Some have perceived this task-presence until the department no longer works with the employment service or has contact with the business community. It's wrong. The concept of a ‘qualification seat’ is that Aetat should provide tailor-made offers to individual jobseekers — whether they need little or substantial support, whether they are initially called job-seekers or ordinary jobseekers — in order to bring them to a point where they can be provided to work as much as possible. When they get to that point, the department is going to do what it's always done: help people out of work by familiarizing the companies with the jobseekers and their qualifications, and by making job offers known to the jobseekers. The only new in this respect is that there are now two types of enterprises that are interested in jobseekers – enterprises that are required to have people themselves, and private intermediary companies that are interested in candidates for dissemination. However, as a qualification seat, Aetat needs a different framework than it has traditionally had. One side of this is the question of what the department itself is going to do, and what is to be left to others. Given that the establishment is to be responsible for a good qualification offer to the individual, it should not itself be a course or action organiser. The principle should be that the agency acquires concrete qualification services in the market – by private or public providers – and is responsible for ensuring that the quality of those services meets its objectives. This is already largely the case, but the principle should be clarified and applied as a guide to the business. Another important aspect is the financing of the business. Today, Aetat is financed as a body through appropriations relating to the general level of activity of the establishment, while actions towards users are financed through separate, and partly rule-driven, schemes. In order to encourage and give as much as possible preconditions for qualification work, it is natural to finance the activity much more through pure-bred activity and performance-based schemes. The establishment should receive qualification grants, differentiated according to the needs of the users, for the work with the individual and thereby receive both the opportunity and encouragement to qualify as much as possible. It is also natural that the department receives grants depending on how many jobseekers actually get a job – whether they get a job directly via Aetat or indirectly via private intermediaries who pick them up from Aetat’s CV base. With clearer business frameworks and more activity and performance-based funding, it is also natural to assess whether the establishment should be given a more freer position and more responsibility. In the longer term, it is not unnatural to consider whether others, too, could be involved as qualification actors, and it is already natural to think about the way Aetate is to be organised and developed. Now is not a clearer vision and better framework conditions enough to create a better Aetat. In addition, major and demanding work needs to be done on the adaptation and development of the organisation. It's a job that the establishment and its management themselves have to do. At the political level, we can and should ensure that the necessary freedom of action is given to the development of the organisation. In this context, in a few weeks' time, I will be promoting a proposition to repeal the provisions that currently prevent the effective organisation of Aetate. The remainder is then up to central and local management in the department, to individual employees and to employees’ organisations. I expect the department to take that challenge, and I hope and expect both the organisations and the political environment to stop working to return to Aetat as a central player in the labour market in Norway. It's important that the establishment believes in itself. I'm afraid that the crisis focus that many, both in the organizations and in the political environment, have contributed to the last few weeks and months, not exactly is what the department needs to get up again.
ParlaMint-NO_2002-03-08.ana.ud2419e388	We're not going to have a 'crisis focus', the Council of State says. In a way, it proves once again that focusing on those who are supposed to be helpers is not the most important thing. We got a review now of how the Council of State thinks of its own and Right political organisational theory of how things should be. It's going to be a result unit, it's going to be organised bit by bit, you're going to get the money, they're going to follow the users, and it's going to be a kind of reward system into this system. I just want to shout a big warning: remember what happened in Aetat when they were asked unilaterally to focus on dissemination numbers! It went so wrong that you had to go in with large commissions of investigation, and heads rolled. It was not pleasant for anyone. So we need to focus on what to do here. You can't, as the Council of State says, expect everyone to follow this theory, because that's fine. The point is we have to focus on users, because they know where the shoe prints. I have traveled so much around the workplace in the last five years that I know that there are a lot of competent people there who are able to sew together arrangements that make people come and do things to get to work. I've been very impressed by the job many of these have done with people who I wouldn't have thought would have done it, but who have done it. And that's why it's important to focus on competence and how users perceive this, and not on the Right Principle Program, when organizing this work. There is no need for more money, says the Council of State. Well, that's it! In the context of the budget, the Council of State considered that there was no need for more money, but it did not go more than a month before it became clear to everyone that there was a need for more money. So I have to apologize, but I do not believe in the assurance that there is no need for more money. It may not be when you get organized properly and better and in a different way, but then you have to do it first. And then you have to know what to do. You can't just use the savings knife first -- because you have an ideology that says you have to do it -- and then figure out that this didn't work out so well. Now you have to run a process where those who need this system are also heard. I would recommend, for example: also listen to the organisations of the job-seekers and their experience with the meeting with this department. There's a lot to pick up.
ParlaMint-NO_2002-03-08.ana.ud2419e397	I am very pleased that the representative Karin Andersen mentioned the organisations of the job seekers. Because otherwise I have to say it struck me in the first post of Karin Andersen and in the line now that it is said that we have to listen to the users, and all that is told is that we have to listen to the employees. I am concerned that we should listen to both the users and the employees, but we must not get there that we believe that the employees are the only ones who are able to assess the needs of the users. There are many others who are also able to do so. I also believe that Karin Andersen and I can disagree with the organisation and the use of instruments. I have to propose a scheme for Aetate that reflects what I think professionally and politically is a proper organization, and then we have to disagree about it. But I think at least we have to agree that a system that makes Aetat get more money if they can qualify more, or get more out of work, is a system that will initially force Aetat to listen to users and focus on users' needs. The central thing about user focus is not what Karin Andersen or the Council of State had to be able to listen to, because it's not us who are going to drive Aetat, it's not us who are going to do the work to the users. It's the people who work in the building, who are going to try to develop arrangements that work in relation to the users. And then I might have the naive belief that if you get money depending on what you do with the users, and how big a task you face with the users, it all leads to getting a stronger user focus than you would otherwise have.
ParlaMint-NO_2002-03-08.ana.ud2419e404	It is important to focus on the current weakening of labour market policies. Many enterprises lack labour and this occurs in an increasing period of unemployment. And the weakening that's now taking place in Aetat, means that more people are going to be unemployed. The last talk tells us that the number of both the unemployed and the long-term unemployed is increasing. The government and the Stortinget are investing in an inclusive working life through the intentional agreement that it has been referred to earlier here today. This agreement now lives an uncertain life in my opinion. I'll give it a reason. As I see it, the government will return to the revised budget with a promise of 15 million. kr. These funds are going to take unexpected problems in Aetat, as I understand the Council of State, and not the intentional agreement on an inclusive working life. The work environment in Aetat means that the impact of communication is not good enough, and it happens not least to immigrant groups and those with disabilities. When the Council of State quotes the Sem declaration and says that Aetat should be a ‘qualification seat’, I agree with him in it. But I think we're going to put different interpretations into what a qualification seat is. Anyway, I know that there's a lot of uncertainty about the line that the government wants for Aetat. I don't get this quite clear, and I will once again ask this question to the Council of State, and ask him to answer it at the end of the debate: Is it so that Aetat shall the traditional dissemination work be slowed down to the best of the work to be done for the disabled person? The representative, Andersen, was in on the new computer system. Yeah, that's exactly the same signal I've been given. The system that was introduced a year ago works very hard, and it's time consuming. Delivery 2, which was seen in action this week, is, as I said before, too early to capture any of them yet. But at least it may seem strange that what was supposed to be a payment system was not finished until the rule change for reintroduction was introduced. I see that my time is running out, and then I just get to stop here. But I think there are two important interpellation debates we have had today, and it is very important to focus on these issues.
ParlaMint-NO_2002-03-08.ana.ud2419e423	Former governments have waved in terms of what they want with Aetat, and it looks like this hall continues to do it. The project with Aetat Company was in itself a big change, a big change when it was made, and a big change when it was phased out. This government wants the wing stopped. We define the role of Aetat as an important tool in labour market policy, the main objective of which is to get people to work. The lines that were drawn up in the Sem statement are to a large extent what Aetat is doing today. The political signals that have been given, including: in the 2002 letter of award, it is very clear what the agency is going to do, and there should be no doubt about what we want it to do. Aetat still has a job placement responsibility. But the establishment shall cooperate with the private where appropriate. Aetate shall have a strong focus on qualification work. In order to maximise qualification and dissemination, the funding of the EEAS should be based more on performance-based schemes. The main objective of Aetat shall be to assist priority users, namely young people, the long-term unemployed and immigrants. This room now has an opportunity to provide Aetat with stable working conditions and let Aetat itself build an organisation that is in line with our priorities.
ParlaMint-NO_2002-03-08.ana.ud2419e432	Initially, I will give praise to the Council of State for his contributions. He showed quite clearly that in this case one wants to put the user in focus. I think the interpellant forgot very much about it. She talked a lot about the floor, but she didn't talk about who the floor was for. It's very important that we focus on this, that the department is there for the users and not the opposite, as some public authorities seem to believe in part. I also believe that the intention agreement between the social partners and the state to be dealt with in this Chamber before Easter is important, i.e. the legislative changes to be made to that effect. Part of the debate has agreed to anticipate the events, at least when it is said that it does not seem that the intention agreement is being followed. Well, first of all, we have to make sure that the law comes into place so that we can see if this agreement can work. But I think we're losing focus on how to solve some of these issues. I guess it was just the interpellant who was in the process of bringing together the social services, the social security system and the labour market system. This is very important, especially because some of those who are going out again in the labour market have been in favour of long-term illness, who are former drug users — and others who have fallen out of the labour market. How are they going to get back to work? As today's system works, you probably don't have sufficient competence in all these disciplines. The Minister for Social Affairs has pointed out that there is work to be done on the division of labour between these departments, possibly co-location, perhaps aggregation. For the Progress Party, which has been a champion to merge these floors, it is important that we merge them and not just provide for a co-location. This is important, so you get one department that has the primary responsibility. It is important to be able to follow the user from the time he comes to the public office — follow him throughout the course, provide advice and make sure that he gets the offer he needs before he or she may be out of work again. I also believe that it is very important to consider how we follow up on the Memorandum of Understanding that will soon be adopted in this Chamber. It is important that employers receive the incentive to do so, the framework agreement to which it applies, in order to facilitate employment. It's costing me a lot of time. But society will benefit from it in general, and in particular, the workers and users who will be able to get an organized job will benefit from a change in the system. So I hope that this agreement will work well, and I have great faith in that.
ParlaMint-NO_2002-03-08.ana.ud2419e445	Norman said he wanted to return to Aetat. It was a good statement, and I can imagine, both from past experience and from current experience, giving the Council of State some good advice on the way to repatriating Aetat. My first advice to the Council of State is to have a predictable framework in Aetat. In recent years, employees have been busy constantly discussing the amount of resources they have at all times. This is not an annual phenomenon, but several times a year, the so-called job allocation model is a major issue among employees. It takes too much of Aetat's resources to spend time discussing the number of jobs to be filled, etc., and you take away the attention from what you're going to do. So my recommendation number. 1 is a predictable framework, as the rest of the business community asks for. I also think Aetat should get that – at least over a certain period of time so that you do not need to have this discussion continuously. My second advice is flexibility. Today, we have too rigid a regulation that is imposed from the Directorate of Labour and down to the various employment offices. Our country has different relationships, and it requires different ways to solve the different problems. I use to say it so that the wit is evenly distributed in this country. And I think there's as much sense in the offices around as it is in the Directorates and in the Departments. Yes, maybe it's sometimes more wise when you get out further! By that I mean to say that it is not that a rigid code is always the best. Sometimes, in order to get people to work, flexible solutions need to be developed in collaboration with others, which are actually in conflict with the legislation, but which serve both the individual jobseeker and not least the society because of solutions. It must not be that a person has to go x the number of months off to get a training to get out of work. It is appropriate that the person who becomes unemployed undergoes training already after five days because there is a chance and because it makes sense. You have to have that kind of solution. My third advice concerns this with measurement. We know that the work offices have to be measured all the time. But measurement does not always give the right image. Karin Andersen thought of the same thing: It is a significant difference when you figure out how many people get into work – if you get one out of work one day to feel a roof on a garage somewhere versus that you get one who has worn out for many years, into permanent work. In fact, the work of getting some people out of work can be a lot of weekly work, while for others one can fix it in a few minutes. Therefore, you must not be too busy with measurement, but look more at the whole.
ParlaMint-NO_2002-03-08.ana.ud2419e456	It has been said in the debate today that the labour market is in its worst crisis for a long time. I'm wondering, like the Council of State, if there's a positive approach to the complex problem that we're facing here. What is clear is that Aetat is facing significant challenges, whether or not we should say problems. The users of the establishment clearly feel that you do not get the services you expect and that you need. And there are several reasons for that, as it has been mentioned today. It can be pointed out that one of the stress factors, namely the introduction of the new computer system, is likely to lead to both savings and efficiency in the long term, and it is important to take this into account. The challenges of Aetat therefore appear to be acute now, but they are obvious both in the long term and to a large extent related to the necessary development and adaptation of the organisation. There is no doubt that both management and office have a very central role here. For the political discussion, it is therefore important that we have the long-term perspective with us. I also think it is important to recognise that we in this room actually have a common commitment to this matter and can thus become a little bit more constructive in some discussions. Work on Aetat must be a hard work between the department and the political authorities. This shows that what is now, from the political point of view, the first thing to do is to ensure a balance between the tasks that we are entrusting to Aetate and the resources that we provide. As pointed out, among other things: from the representative of Gitmark, it is also important to provide long-term leadership for the establishment. It also seems as part of the frustration within Aetat has its background in not fully seeing its future role. It is typical for any organisation experiencing uncertainty about its future task that the wear and tear of the people in the organisation is becoming unreasonable. As the interpellant pointed out, Aetat has a very central role in giving as many people as possible the ability to live by their own power, as we say in Christian democracy. Work is a matter of dignity. It is a matter of personal development. It's a matter of man-processing. Work is, of course, our future, major challenge in ensuring the well-being of this country. The discussion about the qualification tool Aetat is complex and important to take, and it is important that we come out with a result that gives the unit stable tasks in the future. In conclusion, I would like to point out that the Solberg Council yesterday stressed that the Government is following closely the development of unemployment, especially among young people, and promised to return to Stortinget, possibly with new resources if necessary.
ParlaMint-NO_2002-03-08.ana.ud2419e473	There is something self-contradicting about the Government's signal currently. The Ministry of Social Affairs reports that several departments are now working to secure an action plan against poverty. The search light shall be set on actions to help individuals out of a difficult situation. Many who wear out in this country have taken a fresh turn as a result of these signals. That's good. But then it's going to go really crazy in that department in Norway that's going to have the main responsibility to help more people get the opportunity to participate in the world of work, i.e. the ability to stand on their own and the ability to get out of a difficult economic situation and a difficult life situation. In order to improve, it is vital to listen to those who have experience as job seekers. It is important to listen to young people who, in fact, – I have met them – have been advised to seek employment. They have been advised to go straight to social security. And it's important to listen to those added who currently have competence, and who are now struggling between pressure, expectation and disease, and to the point where they actually experience rejuvenation in relation to what they're actually doing. The Minister of Social Affairs has already stepped up his efforts. I understand that the Council of State Norman today announces a freer position and greater self-responsibility for Aetat. I think there's every reason to ask questions about whether that's what's the solution. But let me say: the centre party will give its full support to what is involved in softening the legislation, so that Aetat locally, for example. should be more able to play with municipalities and local companies in order for more people to get a job. We are also going to set the regulatory luminosity in relation to the requirements that are currently being imposed when the time period is to be available before the measures are taken. So, we're going to make suggestions that allow more people to get into a job quickly. But we want to strongly warn against a type of waiver that means that there is a greater distance between Aetat and the Government, that the Government thus disclaims responsibility in an area where an actual now, from the Government side, clearly requires enhanced efforts.
