ParlaMint-NO_2002-06-05.ana.ud326e51	The representative Karl Eirik Schjøtt-Pedersen will make a private proposal.
ParlaMint-NO_2002-06-05.ana.ud326e149	Per Sandberg – for follow-up questions.
ParlaMint-NO_2002-06-05.ana.ud326e153	Let me first say that I share the views of the Council of State on the role of the House Bank, largely. Clearly, there are several areas that affect both housing and price. My question and my challenge to the Council of State is in relation to this with the offer and demand for land. Does the Council of State see a job facing the municipalities, perhaps there is a greater obligation to allocate larger areas to plots? So a question in relation to pressed strokes, like Oslo. Here, restrictions are placed on where it can be built. Does the Council of State have a role to play in influencing the process of expanding the areas on which it is possible to build houses in Oslo and in other press areas?
ParlaMint-NO_2002-06-05.ana.ud326e160	I do not intend to impose on any municipalities an obligation to regulate new areas for housing. I believe that the plan we have today shows that it is one of the important purposes we should have when we have land regulation. In fact, I believe that in most parts of this country, responsible municipal politicians are able to see that organising housing – and varied housing – is an important part of the tasks of a municipality. What I think is important is to make sure that we get the planning processes more on the rails, so that it goes faster. We can ensure that private developers who want to create their own private control plan do not experience training in the public bureaucracy and that the construction process gets faster. Both the Minister for the Environment and I come back to Stortinget with suggestions. They may be treated during the harvest holiday. It's an important contribution. It is important that in a number of areas we provide less bureaucracy in the construction process, because it also means less costs.
ParlaMint-NO_2002-06-05.ana.ud326e167	Let's go to the next main question.
ParlaMint-NO_2002-06-05.ana.ud326e170	I have here a pile of solid evidence about the situation in Kommune-Noreg and the dramatic effects of the Government's policies that people now know about the body. It is felt like a special provocation by all the parents and all those who joined the municipalities who prided themselves on the Right, and who voted on the Right because the Right would work for a better school. Here's an example from Nittedal: a teacher per. class including special instruction. And from Fredrikstad: 26 teachers away, five more classes. That's how I could go on. My question to the Minister for Municipalities is these: Will the Minister for Local Government still give priority to tax relief for the richest, rather than a basic security that now seems to be being removed?
ParlaMint-NO_2002-06-05.ana.ud326e177	I am also able to document the situation in the municipalities on a daily basis, and I agree that there are many municipalities that are struggling and have a difficult situation. I believe that the head of the Municipal Committee, representing the Central Party, should think that the situation in Municipal Norway today is not a result of the last year's budget. It is the result of a situation that has built up over several years. There has been a deficit in many municipalities, and there have been major changes. I would remind you that in two of the years when the Senter Party sat with the municipal minister, free revenues ended at minus 0.4 pst, respectively. and minus 0.5 pst. I think the Central Party should include a certain degree of humility in the debate, related to what they have actually contributed when they have been in position to do something in relation to Municipality-Norway. So for 2003, we are in a situation where we have a tight budget, because the government parties and the opposition have been involved in many decisions to be financed only in 2003. I think we should learn from the fact that we should not adopt too much that has effect date from 1 November or 1 October, because then we do not have the overall priorities for each year's budget ahead of us, and then we can get into a situation where we have prioritised other things, perhaps in relation to tasks we already had. But I want to say that there is a division of responsibility between government and big business. Some of the decisions to be financed primarily in 2003 have actually been adopted against the votes of the government parties here in Stortinget. So it's not that there's necessarily a conflict by giving tax relief to the rich. In fact, the reason for reducing the tax burden in Norway is to have a long-term opportunity to have jobs in Norway. And just as worried as I am about the local government economy, I'm worried that more and more companies are moving out of their activity or shutting down. Across the coast there are now problems in the fishing industry. It should worry us as much as what level of cost we put ourselves on.
ParlaMint-NO_2002-06-05.ana.ud326e184	It is alarming that the country has a municipal minister who does not take it into account that this year the municipalities actually have an extra DKK 6 billion in pension expenditure, and that they will have additional pension expenditure in the coming years, which means that hospitals will be standing empty if the state does not set up, that one has to merge school classes, and that teachers will be removed. I register that the Council of State will now share responsibility. The centre party takes responsibility. We actually made sure of a better economy and not a worse one when we were in government, even though the country's economic situation was difficult. And we have repeatedly suggested measures for improvement in the Storting. The Council of State does not answer my question: are we still committed more to tax relief for the richest? Or will she join us and take a roof to secure the basic security in relation to school and care, which is now on the move?
ParlaMint-NO_2002-06-05.ana.ud326e193	It is the way I perceive that the job as a municipal minister is not just talking about the income side of the municipal sector. I have to be equally concerned about how I'm going to bring down the expenses that make sure that this country is driven out in a difficult competitive situation, and that undermines the growth power of the Norwegian economy. Getting taxes and taxes down is an important part of it. It is also important to ensure a responsible economic policy that does not increase interest rates. Because if the interest rate goes up, we know that an interest rate increase of 1 percent point means 800 million. kr more in expenditure of the local government sector. To put it this way: the government in which the Senter Party sat in and had the municipal minister experienced interest rises in 1998. The local government sector had a huge deficit that year because you couldn't keep track of the economy, and because there were unforeseen things happening. But these are the things that happen, and that make us responsible for what we do. With regard to pension expenditure, I would like to draw attention to one thing: there is not one pension corporation that has sent out the bill in 2002 yet. All the numbers we're discussing are theoretical.
ParlaMint-NO_2002-06-05.ana.ud326e200	There will be follow-up questions - Ola T. Heggem.
ParlaMint-NO_2002-06-05.ana.ud326e203	I have noticed the response of the Council of State, both here in the Grand Chamber today and to 90 rapporteurs whom she met here in Oslo two days ago. From my point of view, which is daily in local policy, as rapporteur, this is primarily a matter of welfare for most people, not party politics. So to the question, is it really that the Council of State and the Government originally meant to add that offer, for example, in kindergartens, schools and care for the elderly — important national policy areas — will be reduced around the country? Or is it that the Council of State simply does not believe in all the documentation provided by local politicians over the country these days?
ParlaMint-NO_2002-06-05.ana.ud326e210	This is how we propose a growth in the income of the municipal sector next year. The growth is greatest in the earmarked schemes. It really seems to me to be gross, because I think what's important is that we get the most growth in free income. But the reason for the growth of the earmarked schemes is that we are in the final phase of implementing the elderly care plan, we are building up support for kindergartens, and we are working on implementing the psychiatry plan – which therefore also means a census in the municipal sector. I believe that it is important that we focus on how we can use the money better. It is a potential for conversion and efficiency in Kommune-Norway. It is fully possible for many municipalities to engage more actively in intermunicipal cooperation on many of the administrative tasks in order to find ways to reduce expenditure, for example: to the administration. It is also the case that the consultations we have had with KS and the available data base show negative productivity developments in all areas except kindergartens in the municipal sector. We can't keep doing it like this. We have to figure out better ways to drive.
ParlaMint-NO_2002-06-05.ana.ud326e215	Karin Andersen – for follow-up questions.
ParlaMint-NO_2002-06-05.ana.ud326e219	If the Council of State and the Government are really concerned about business and the future, you have to bet on the school. It must be so good that each student is given optimal use of his/her resources. Yesterday we had a visit to Stortinget from Fredrikstad. Several parents came and were very concerned. They had students who were not disabled but who might need some customized training. It's going to end now. There will be only one teacher in each class, and there will only be special education for those with a defined disability. It's the misuse of resources! These parents said to us: we can choose if we want to teach these kids to read and write now, or we can leave it. And the Council of State should know that there is a majority in the Grand Council for money for a better school. Why then prioritize a government council from a party that promised better school, tax havens and more money to the defense in front of what would sustain the business of which she sails say she is so concerned?
ParlaMint-NO_2002-06-05.ana.ud326e226	I believe that it is essential for a country to have a defence where there is a connection between investment and operations, so that we can take on the commitment it is to have well enough qualified people with good enough equipment if we are to participate in international operations, as we are doing today. In fact, I think it's my responsibility as a politician to make sure that our defence is consistent with the tasks we think we should participate in. That is why it is important that we provide funding. Sending people with insufficient training and insufficient equipment in that kind of situation would be risking Norwegian human lives. We're actually in that kind of situation right now. That's why I would think it was right that we also say that it gives us politicians a responsibility when we participate in international operations. When it comes to investing in school, it's actually like this government does. We're doing it by outlining several major system reforms to improve quality, we're doing it through trials that need to improve teacher training, we're doing it through a number of quality improvement measures. I agree that it is sad that next year we will have a municipal economy that also pushes the school. Therefore, we need to make sure that we have room for the future. [[The President clubs and advertises the next speaker]]
ParlaMint-NO_2002-06-05.ana.ud326e233	Let's move on to the next main question.
ParlaMint-NO_2002-06-05.ana.ud326e236	I have a question for the Minister for Foreign Affairs. The EEA Parliamentary Committee unanimously adopted the following item at its meeting in Reykjavik on 27 May: «... calls on the EEA EFTA States to agree on a common position for the updating of the EEA Agreement Agreement to counteract breaks in the legal homogeneity of the Internal Market as a result of the EC Treaty changes after the entry into force of the EEA Agreement, and to submit its proposal to the Commission at the earlier possible stage.» A unanimous parliamentary committee therefore calls on the EEA/EFTA countries to provide the Commission with a document of their wishes and positions for updating the EEA Agreement. Norway has the primary responsibility that this has been combined with the fact that it has not happened before. Will the Foreign Minister now take an initiative to follow up the unanimous decision of the EEA Parliamentary Committee?
ParlaMint-NO_2002-06-05.ana.ud326e250	There has been a wish from the Norwegian side, and from other EFTA States, that there be a link between the EEA Agreement and the new contract work adopted in the EU after the conclusion of the EEA Agreement. It's a so-called technical update. So that means that it's the technique of what it's about, not material rules. So it's a neatness point of view that's below this, more than a material point of view. However, there has been a desire to get this done. The possibilities for such negotiations have been explored, and we have been very clearly informed by the Commission that on this side of the enlargement negotiations there is no capacity to enter into these types of assessments. It has been made known in a number of contexts, not least in the meeting I last had with Commissioner de Palacio here in Oslo not so many months ago. We have several negotiating arrangements we want to implement with the EU side – not least compensation negotiations on fish, which we will discuss with the bodies of Storting before the summer holidays. It's a substantive, important question and it's priority number. 1st@item: inlistbox We have therefore taken the initiative in terms of progress, the answer we have received on a number of occasions from the European Commission. When Carl I. Hagen says that it is ‘slightly’ from the Norwegian side, he probably understands that it is an expression that is not particularly precise.
ParlaMint-NO_2002-06-05.ana.ud326e261	I really don't accept the Foreign Minister's allegations here about probes. You never get specific answers until you have made a formal enquiry. Commissioner Westerlund told a joint parliamentary committee in Iceland – and it was in an official meeting, not a coffee talk – that they did not refuse to talk to EFTA, but that they were waiting for an EFTA proposal. He also said that the Commission did not see any major problems with the EEA Agreement, but that they would not oppose conversations if EFTA wanted to do so. So the ball is on the EFTA side. Why, then, can the Foreign Minister not see to it that a document is received, ask for formal talks and not just accept that some Commissioners have more than enough to do and would prefer to let go, if, when a formal wish was given to them, a single Commission would perhaps do something? For fisheries too, there should be substance in what we are proposing, namely to try to get fisheries and market access into the EEA Agreement.
ParlaMint-NO_2002-06-05.ana.ud326e270	I'm terribly afraid that what Carl I. Hagen accepts or doesn't, has no special bearing on whether my description is correct or not. It's still right. The term ‘coffee chat’ may not be the most precise one I have heard. Otherwise, I have to say that Carl I. Hagen is now talking about two different processes. The question he originally raised was the question of a technical update of the EEA Agreement. There is a definite need for this because both the Maastricht Treaty and the Amsterdam Treaty have come since that time. Something quite different, far more important, and which is priority no. 1, is what Carl I. Hagen now addressed, the substantive issues related to fishing and export. But that's another thing. Not least, these compensatory negotiations must take place before we have an EU enlargement. It is therefore important to prioritise and put full pressure on it. I can therefore assure Carl I. Hagen that these questions are under good control, and I must say that I am mildly astonished at his use of language. But I'll register it.
ParlaMint-NO_2002-06-05.ana.ud326e284	There will be follow-up questions – Lodve Solholm.
ParlaMint-NO_2002-06-05.ana.ud326e287	I found that the Foreign Minister did not take seriously what the EEA Parliamentary Committee has asked for in a unanimous decision by Reykjavik. Does not a unanimous decision in such an important committee mean anything? The Foreign Minister himself was concerned that the fishing industry now needs an update, or at least market access, in relation to the EU, and when he does not want to take this seriously, I have to ask the question: What initiative will the Foreign Minister take in order for the fisheries industry to have an agreement, or to have market access in the EU that is more segregated than today? If he doesn't do anything, we have trouble following up our intentions that the fishing industry will be one of the main industries of the Norwegian economy in the future.
ParlaMint-NO_2002-06-05.ana.ud326e294	The question that Lodve Solholm is now raising is quite different from what Carl I. Hagen raised, and the EEA Committee raised in Reykjavik. What Carl I. Hagen mentioned was a technical update of the EEA Agreement under the Maastricht Agreement and the Amsterdam Agreement. I fully agree that this is desirable, but on that point several representatives of the Commission have given us very clear information that this is not what they have prioritised before the enlargement negotiations are completed. Because they're very demanding, we know that – and that's what we've been doing on our own. But a completely different issue, which is our priority, is what Lodve Solholm is now addressing, namely the question of how we deal with the situation of losing free trade rights in the candidate countries when the EU is expanding. As I said in the answer to Carl I. Hagen, that's the question we'd like to present to the EEA Committee before the summer vacation. But Lodve Solholm is raising a completely different question in his article now.
ParlaMint-NO_2002-06-05.ana.ud326e307	Thorbjørn Jagland – for follow-up questions
ParlaMint-NO_2002-06-05.ana.ud326e311	I really took the floor just to support the Foreign Minister on this point. I think it is strange that you are now starting to run a completely different race, or require you to run a completely different race on this question. I think it is very important for many reasons that it is the Government that is dealing with Norway's negotiating situation with the EU, which is very complicated, and I am very surprised that the Progress Party is now starting to mix the EEA Agreement and the issue of technical update of it with the fisheries issue. As you know, the fisheries issue was an important reason why we did not become a member of the EU, and that we therefore received a protocol on fisheries related to the EEA Agreement. So there's two very different things. This was not to make a spontaneous question, but to make a spontaneous comment.
ParlaMint-NO_2002-06-05.ana.ud326e318	I appreciate that clarification from the Jagland side, because I think it's very right here to make it clear that one is the question of political substance, but the question that Carl I. Hagen travels, is just a question of a technical outsourcing of the contract work, to get it done more up to two dates. We want to do that, but there is no policy on that issue, and it was on the basis that I was mildly surprised by the language used. It's purely legal technique we're talking about here, and nothing that has to do with substance.
ParlaMint-NO_2002-06-05.ana.ud326e323	Let's move on to the next main question.
ParlaMint-NO_2002-06-05.ana.ud326e326	I have a question for the Minister of Local and Regional Affairs. Two days ago, I received a phone call from the National Association for Traffic Damage. It was a despaired father who had called. Their 20-year-old daughter was enrolled in a nursing home, and in that nursing home there was already a person under 20. There was also another phone, from a man who had been placed in a nursing home when he was 20 years old, and there he had now been for 28 years. It wasn't exactly the place for him, and he didn't see any particular interest in the possibility that he would get out of there either, because now the government at the municipal minister has removed the means of action, the carrot that the municipalities have got to do so that they can provide housing for these young people. The government says that there are probably 1,000 young people living in age institutions, and in the plan they have now submitted, there is a new pilot project 30 per. two years to be allowed to move out. How many years are they supposed to wait?
ParlaMint-NO_2002-06-05.ana.ud326e337	For a number of years, there has been a system of support for printing people from hospitals. We can see that that system has not worked at all, because it is still about the same number of young people living in nursing homes. Instead of having a number of earmarked schemes in general, it is important to have a general framework funding system in relation to how municipalities get income, so that we get rid of part of the bureaucracy and the reporting procedures associated with having earmarked schemes. Thus, in modernising and simplifying a funding system, we are removing some directly earmarked schemes that are currently helping to generate bureaucracy and other things. We have made the assessment that this has hardly given the momentum that it was supposed to do when it was introduced. However, it does not remove the responsibility of municipalities to provide good housing for people with traffic damage outside hospitals, which are specially adapted and calculated for older people. The responsibility of the municipalities to do this is still there, and the municipalities are required to do so. So we believe that this is a grant that didn't give the effect you thought it would have when it came. There has probably been a crush on those who have used it, but there is also a subsidy that requires bureaucracy and reporting procedures. All of this is what we want to reduce, and the main way to reduce this is to give municipalities total responsibility for things without giving some earmarked arrangements in the future.
ParlaMint-NO_2002-06-05.ana.ud326e342	I thank you for the answer, but I find that I think it's just the municipal minister who's doing the job of buying housing without money. The framework for municipalities is now too narrow, they have to cut in schools, they have to put on the prices, they don't have the money to provide young people with disabilities. And then the council says that this grant, which isn't big, hasn't worked, and then we take that money away too. The size of the population has said that by 2005 young people should not live in homes where they are old and sick. I also note that the Government says that this is part of the modernisation policy. I sincerely hope not – that they see it as particularly modern that more than 1,000 young people will live in sickness and old age homes! And I have to ask the Council of State again: does the Government have any good explanation for how they will manage to solve the mission that Stortinget has given them, namely that there will not be any young people living in old age homes after 2005?
ParlaMint-NO_2002-06-05.ana.ud326e351	At least the answer has not necessarily been this form of grant. In the modernisation work, on the basis of which the Government has submitted to the Storting, which is about to delegate and decentralise authority, provide less control procedures and less bureaucracy and move resources from administration to service, it is necessary to remove the elements of the systems that create more bureaucracy. Earmarked schemes of this kind create more bureaucracy. In fact, I felt that the party leader in SV had also recognised in the election campaign, so I thought it was important that we move on to the framework funding and remove the earmarked schemes. What we're doing now is removing a number of earmarked schemes – this is one of them – and integrating them, and some, because they're small and not natural to put into distribution to everyone, we've chosen to liquidate. I think we underestimate how much more bureaucracy we create through, among other things. to have such reporting procedures. The Council of State responsible for such an earmarked scheme, i.e. the Minister of Social Affairs in this context, is responsible for the use of this money in Stortinget. It also requires follow-up.
ParlaMint-NO_2002-06-05.ana.ud326e356	There will be three follow-up questions here – first Sigbjørn Molvik.
ParlaMint-NO_2002-06-05.ana.ud326e359	It may seem that the mayor is almost more concerned with the systems than with the effects. The situation is that there are almost 1000 younger people living in old-age and sick homes. The emigration rate is, as Karin Andersen was inside, approx. 15 per cent. years, and when the Storting's goal is to get all of these out by 2005, we see that we're very, very far from the goal. We're almost not getting close at all. So in this situation, the government is removing the only incentive for the municipalities, municipalities that, as described earlier in this questionnaire, have a very tight financial situation. The question then arises: What other instruments and incentives will the Council of State take to speed up the relocation process, so that we can approach this target by 2005?
ParlaMint-NO_2002-06-05.ana.ud326e366	The reason why municipalities experience more bureaucracy, more designation and more problems in choosing tasks themselves is that we take each sector separately, and then we need to find one solution, one incentive, one way to do things in this room or in the political debate in general in the election campaigns. The sum of that is that there will be less room for action and freedom of action for municipalities to find solutions. Modernization and decentralization give you responsibility. That means that the municipalities are going to do the tasks, but we're going to take away some of the earmarked tools because it's bureaucratic. The argument used in this case may be applied to all other earmarked schemes. If we're going to have a policy that's going to take each piece separately, we're going to end up overlording the municipalities. It is contrary to the objective of this government, which is less detailed management, fewer earmarked schemes and greater autonomy. In that case, real priorities will be given room for action locally.
ParlaMint-NO_2002-06-05.ana.ud326e375	Per Sandberg – for follow-up questions.
ParlaMint-NO_2002-06-05.ana.ud326e379	I find the Council of State's argument a little strange: the incentive grant has not worked, so the Council of State and the Government want to include it in the framework grant – that's how I understand it. But what is it that means that municipalities will be more responsible if they get this in their framework transfers than when there is a earmarked grant? When the Storting has said that by 2005, these young people are going to leave the institution, what is it that causes the Council of State to break the aim of the Stortingen by using a framework grant in relation to the responsibilities of the municipality? There is nothing to suggest that municipalities are neither in that area nor in other areas, for example: health and school, where the money is in the framework transfers, shows responsibility. But right here, the Council of State says that the municipalities are likely to show responsibility, when they haven't done so when it was in the form of incentives. What's the difference between that and that?
ParlaMint-NO_2002-06-05.ana.ud326e384	My starting point is that we have to get fewer earmarked schemes. We have to get more delegation of responsibility to the municipalities, and we have to make sure that they have the opportunity to choose whatever solutions they want. We need to spend less money on bureaucracy and more money on services. All of these individual issues – if we just look at them – can have a good reason, even though I believe that experience now shows that the measure Stortinget invented, which we all thought would be a good measure, has not given the desired effect. We have to start peeling off these arrangements if we're actually going to get decentralised authority and get more room for action to find solutions locally. Now it is that the Progress Party has a different policy in this area – I recognise that. The Progress Party wants to have more earmarked schemes and price financing models at national level. There is disagreement between the Government and the Advance Party. We believe that these types of models must be within the local self-government.
ParlaMint-NO_2002-06-05.ana.ud326e391	Sylvia Brustad – for follow-up questions.
ParlaMint-NO_2002-06-05.ana.ud326e394	There is no disagreement between the Workers' Party and the Government as to the objective that municipalities should have fewer earmarked schemes. But what this case is about is that it's unworthy that young people with traffic injuries and other disabled people are placed in old people's homes together with older people. I think the municipal minister here has demonstrated that she cannot possibly know the reality of this area, at least she is not willing to do anything about it. Because if the reasoning in relation to removing this earmarked scheme, should have had some team, the government should have given the municipalities money so that the municipalities would actually have had an opportunity to do what had to be done to prevent more ports in sick homes from being damaged by the traffic or the like. Moreover, I do not agree that this scheme has not worked for any municipalities. For some of the municipalities that I have met, this was dear money to do something about this. The question is: how does the Minister of Local Affairs think that the municipalities should have any opportunity to do something about this unworthy situation, with the tight municipal structure that this government has now proposed?
ParlaMint-NO_2002-06-05.ana.ud326e401	In the 2001 municipal economicproposition, the then municipal minister Sylvia Brustad presented a list of grant schemes to be included during the period 2001-2007. That list included the inclusion or liquidation of this grant for the municipal economy for 2003 and included it in the municipal economic plan. This means that we follow up on what the Workers' Party put up as a line for dealing with inclusion and liquidation, as an important measure. That's what I think a former state council should bring with it. I believe that when measures no longer appear to work, all the money is dear. But it also has a side cost that we should not underestimate, if we believe we should make this society less bureaucratic. So it's the way the municipalities have and are going to be more able to take responsibility for things. I agree that we need a better local economy in the years to come. The government has also said that in the Sem Declaration. Earlier today, I have responded to why it is difficult in 2003. But if it were to mean that we stopped any inclusion of earmarked grants or other things, the entire modernisation process, the whole possibility of freeing resources from bureaucracy, would also disappear.
ParlaMint-NO_2002-06-05.ana.ud326e410	Let's move on to the next main question.
ParlaMint-NO_2002-06-05.ana.ud326e413	I have a question for the Minister of Local and Regional Affairs. The government has submitted proposals on the municipal economy for 2003. It is a bad suggestion – the municipalities get too little money. The well-being of the whole country will be affected. There will be too little money for hospitals, older people will be the losers. It's very regrettable. In the municipalities the kindergartens are also framed. There will be too little resources to build new kindergartens. The parent payment is too high. That too is unfortunate. When the municipal register is empty, the school grounds will be closed. Children and young people, who are our future, suffer harm. My question to the Solberg Council is therefore: why does the government come up with proposals that weaken the supply of hospitals, in kindergartens and in schools? At the same time, it is clearly important for the Government to give tax reliefs to those who tend the most in our country.
ParlaMint-NO_2002-06-05.ana.ud326e424	In the autumn of 2002, the whole of the United Kingdom can participate in the 2003 budget and can then find room for the enormous improvements that everyone can afford in the debate on this issue. I wish everyone the best of luck with that. I would like to say that we have prioritised the municipal scheme within the limits we believe so far we have available for 2003. It's a tight arrangement. The expenditure incurred primarily in 2003 that we have not financed has been voted in favour of by the Workers' Party, with the exception of relatively small amounts. There is a limited framework the Workers' Party will have if they're just going to remove the so-called tax relief for the rich, which is SEK 1.5 billion, and use it to implement all the promises. I read in the paper today that approx. 3.6 billion more would be spent, among other things. on housing measures. I think we should all take inwards that this municipal arrangement is a tight scheme – yes. We have been quite honest about that from the Government. This means that some municipalities are going to have problems maintaining the level of activity as it is. So at the same time, we've prioritised the community structure for next year, and we've prioritised giving better growth, but there's a huge increase in expenditure in many areas that we need to find containment for. What is a challenge now is also, among other things. that the municipal economy is even more affected than we saw when we presented the municipal structure, by a pay bill that is higher than that contained, for example. in the revised national budget. A salary settlement with a framework of 6.02 for 2002 is higher than expected and considerably higher than the outcome of negotiations both in the front and in the State sectors. I see that we're going to have problems in the local economy next year. I hope we're not going to be able to make more decisions of the kind we've been making, at a late start-up time, so we're going to have a better economy in 2004-2005, and I want the Workers' Party to be happy to contribute to that.
ParlaMint-NO_2002-06-05.ana.ud326e433	State Council Solberg is trying to explain that the government is giving too little money to municipalities to care for the elderly, to kindergartens and to education. Yesterday I met the mother of two children who have difficulty reading and writing. They're in Fredrikstad. There the municipality wears down with poor finances, and many look dark on what will happen next year, when the municipalities will get fewer dollars to help with. Does the government council of Solberg have the impression that poor local economy frames children who don't get the help and follow-up they should have while going to school?
ParlaMint-NO_2002-06-05.ana.ud326e438	It seems to me that children do not get a good offer, whether the reason is the economy, the lack of ability to offer a good offer because they have organized themselves incorrectly, or what the reason is. It is not right that municipalities get less money to go with the next year – they get between 2 and 2.5 billion more to go with in the scheme that has been submitted. What's right is that their expenditure is now increasing more than what growth can cover. Expenditure is rising primarily because of pension costs, which have not yet been taken into account, but we have an estimate by the Government at a permanent higher pension level of between DKK 1.5 and 2 billion. In addition to this, compensation has resulted in higher pension costs, costs of more than DKK 1 billion, which must be paid by 2002, but which are also likely to be paid in relation to 2003. And then there's a question of how much KLP's buffer fund needs to be built up over a short period of time. The law indicates that it can be distributed over three years for pension corporations.
ParlaMint-NO_2002-06-05.ana.ud326e443	There will be follow-up questions – Sigvald Oppebøen Hansen.
