ParlaMint-GR_2021-12-15-S1-commons.u1	Ladies and gentlemen, the meeting begins.
ParlaMint-GR_2021-12-15-S1-commons.u12	After Mr Zebilis, who has already announced himself, the next five colleagues are Mrs Malama, Mr Andrianos, Mr Syntrakis, Mr Vartzopoulos and Mr Giolas. Mr. Zebble, you have the floor.
ParlaMint-GR_2021-12-15-S1-commons.u13	Thank you, Mr President. Mr Ministers, ladies and gentlemen, sometimes the game of governance can be so unpredictable that it can even overhear Harold McMillan's historic phrase for the ruler's awkwardness in the face of the extraordinary events. So no one could imagine today, twenty-two months after the first case was recorded in the country, that the pandemic crisis would still give rise to anxiety and uncertainty. No one could even think that at the same time we would have a storm of events and crises of great intensity in fields such as geopolitical, energy, but also climate crisis. Especially since, for Greece, this multi-level trial has been a crisis in the crisis since 2010, and then our country has been in fiscal adjustment programmes. However, the Greek Government has made available the third largest support package to deal with the effects of the pandemic as a percentage of GDP in the Eurozone and the fourth worldwide according to the recent report by the European Stability Mechanism. In particular, over the period 2020-2022 more than EUR 43.3 billion has been allocated to support measures for society and citizens. This in itself demonstrates the correctness and effectiveness of the economic policy applied. A policy of courageous reforms that emphasised tax reliefs, reductions in contributions, investment incentives, privatizations, restructuring of public bodies and non-performing loans and which resulted in the strengthening and growth of our national economy. This fact is also demonstrated by the provisional information provided by ELSTAT on the progress of the Greek economy in the third quarter of 2021. It is evidence that the growth rate of the economy in the nine months of 2021 is now up to 9.3%, which is the second best performance in the Eurozone according to EUROSTAT. But also international houses such as DBRS, updating their forecasts for the Greek economy, see growth lasting and further decline in the unemployment rate. As well as for the overall management of the pandemic, Greece was assessed as one of the most successful states according to the recent report by the trustworthy Bertelsman Foundation. In action fields such as welfare resilience during the pandemic, the functioning of democratic institutions and the organisation of crisis management in Greece has achieved superior positions in the relevant evaluation scales. In particular, as regards the welfare state, the report points out that the country's health system was underfinanced and unprepared before the crisis, but the government managed to strengthen it decisively by doubling the number of IM beds. We therefore see that during this critical period the government has been tested where the most resilient metals are melting. She was tested in the elevation of the extreme crises and was not bent, she did not back up, she did not even suspend her modernistic work any day. On the contrary, the events have unfolded its will and stubbornness. And he did a lot. It has achieved a great deal in the state, society, the economy, international relations. It achieved a lot because it forged a relationship of truth and trust with society. And that's our big difference because the question was raised before with SYRIZA. Or isn't it? Tomorrow, at the benches of the Athens Chamber of Commerce, Trimela is sitting for the fifth time, I think, Panagiotis Lafazanis. What for? Because this pure ideologist who left the ministerial headquarters believed and defended SYRIZA's ideologies and slogans to the end. And you loaded the man apart from the peculiar offence and half the criminal code. In reality, however, the person who has been condemned and even irrevocably condemned to the crisis of the Greek people is the populism and demagogy which have made their appearance today in this Chamber and, indeed, in a pandemic, serving exclusively small-party interests. Ladies and gentlemen, the 2022 budget brings the country back to development and perspective with arms competitiveness and investment, focusing on e-government, green and balanced regional development by relaunching major infrastructure projects, by implementing the four road projects including the work of bypassing Chalkidiki-Savena, a project of flagship and importance, as the regional budget of EUR 100 million will improve the road safety and quality of life of the inhabitants by creating new growth prospects. Also, in an update and maturation phase, the necessary road works on the bypasses of Vassilikos, Amarynthos and Alive, the launch of which is a precondition for Evia coming out of this special road segregation. In particular, however, we should attach great importance to projects with modern standards and resistant to the climate crisis of plumbing works, such as the flood protection of Lelada, but also to critical rural and water infrastructures such as the Horses and Manicides dams. After all, the tragic effects of the climate crisis have also been addressed by the great ecological disaster in northern Evia. It is very important that the Prime Minister in the consultation of the city of Istia made a commitment yesterday to the Chalkida Strofilia road, a total of fifty-six km long, which will shorten the length of the journey by forty minutes by providing safety and comfort to the road users. We are proud of the fact that with these large projects and the rehabilitation programme we will keep the inhabitants in their place. We will keep them standing and proud with their heads high to lead themselves in trying to regain Northern Evia a place of beautiful, fertile and productive, a place with a much stronger development footprint that will be a model and model of restoration from natural disasters. Thank you very much.
ParlaMint-GR_2021-12-15-S1-commons.u14	Mrs Malama will also speak and then the Deputy Minister, Mr Tsakiris, will speak and we will continue with the four colleagues I have announced. Here, Mrs Malama, you have the floor.
ParlaMint-GR_2021-12-15-S1-commons.u15	Thank you, Mr President. Ladies and gentlemen, the figures of the state budget for 2022 are relentless and show the truth that the government is trying to hide. The economy has returned to the times of twin deficits and the energy and inflation crisis has nullified every prospect of improving the purchasing power and quality of life of the citizen. The government remembered the renowned creative accounting to present a virtual, rather illusion of the reality of the Greek economy. However, the official figures for the state budget leave no room for optimism. And we're explaining: The state budget provides for a primary deficit of 14,000,000 euros, a deficit of 10,000,000 euros in the current account balance, i.e. imports and an increase in public debt by another 5,000,000 euros. These sizes, combined with the inflation that runs with 5%, do you know what it means? National poverty, expensive fuel, exclusion of a huge proportion of citizens from energy, a cold house, that is - to say things understandably - in winter for people. You say we have a high rate of growth. But you read the indicators of recovery in a misleading way. You claim that this year the growth of the economy runs at 6% and you triumph, but reality is quite different. Last year we had a recession in the economy by eleven percentage points. The country's GDP went down by 11%. Since last year, then, the economy has been saying that it will only cover half. In simple terms, for every 10 euros lost last year, only 6 euros are returned this year. So we are talking about nothing - absolutely no explosive development. Of course, what really concerns us is what has been left in the citizen's pocket. The figures here tell the truth: For every 2 euros lost from each citizen's wallet this year, only 1 euro will return this year. In other words, the restrictive measures of the pandemic, the Lockdown, the redundancies, the padlocks, unemployment, have cost half the citizen's purchasing power from 2019 until today. In English simply, in 2019, we lived twice as well as we will live in 2022. These and in response to where we handed you the economy and where you're taking it. You say you support the real economy. You're lying. For 2022 you prepare 3,500,000 euros of new taxes, money to be deducted from the market and from the payroll and the pensioner's wallet. At the same time, you have excluded any new measures to support the economy and the citizens. There is no support measure for businesses, but there is no support measure - otherwise, since you will have them return the advances you have given them - to the workers and the unemployed. You are reducing all benefits and at the same time making fun of the citizens with the allowances you are announcing, but you are not giving them. People are still waiting for their heating allowance. Why are you late to pay for it? Explain to us. You advertised the child’s birth allowance and told us new parents that it has been frozen for two months. What are you waiting for to give it up? You have imposed an informal payment stop to get the numbers out. But get out and say it. You've got SYRIZA's social dividend. This year, however, the world will be spending another year without money. And that's what you call growth? Do you know what it is? Creative accountability of numbers in a real economy that boasts and a quality of life that worsens for citizens. And, of course, the pot is no more than a reduction in the health budget by EUR 820,000,000. Officials have been out and they are trying to hide the truth of the numbers. But there is also the truth of the daily life of the narrow hospitals. There is also the truth of the citizens who, because of this situation in public health, resort - those who have money - to private health structures for their needs. So to them, you can answer, not to us, to see what they have to say to you. In conclusion, I should also like to refer to my area of competence, the area of Macedonia - Thrace of the Ministry of Interior. What does his budget show? Significant increase in the budget relating to the Office of the Secretary-General and to his posters and a corresponding reduction in the regular salary line, with a reduction in permanent staff in the sector due to the non-retirement. What does that mean? You are creating year after year a cosmopolitan state, with inflated ministers offices and at the same time reducing the true ability of the state to manage public policies. If we would like to remember something of your old slogan, we would say that you are bringing back the notorious're-establishment of the state', of blue appointments, that is, of the costly ministerial offices. In particular, as far as the Macedonian-Thracian sector is concerned, however, you are aware of it as a customary structure, which will serve only to take up a position in the first series of rituals, parades, crowns, etc. At the same time, you are fervently reducing the human resources and responsibilities of the sector in essential and critical areas, such as the evaluation of private investment projects, for example. This is the truth of the budget for the Macedonia - Thrace sector as much as you are trying to hide it. Thank you.
ParlaMint-GR_2021-12-15-S1-commons.u16	Mr President, can I have the floor for a minute, please?
ParlaMint-GR_2021-12-15-S1-commons.u17	Here, Minister, you have the floor for a minute. Of course, not every time you hear something to ask for the floor. I don't give you time as you're disciplined. You have the floor for a minute.
ParlaMint-GR_2021-12-15-S1-commons.u18	I have kept notes from various colleagues, but I am taking the floor for the last colleague. Madam colleague, you said about creative accounting, you said that the loss of wealth is eleven units in 2020 and the six will be replaced. I inform you that the loss is nine units in 2020 and at least seven will be replaced. So what you said is utopian, unrealistic and unrealistic a year ago is being implemented. It's just the statements of your officers. Secondly, you said that the country is poor this year. The available income for citizens, the money in households' pockets only in the second quarter of 2021 is EUR 33 000 000, while in the second quarter of 2019 - where you ruled - it was EUR 32 000 000. So the overall wealth in citizens' wallets is higher in the second quarter of 2021. And finally, you said about the heating allowance. The heating allowance has been paid, not ‘it will be paid’. It's paid...
ParlaMint-GR_2021-12-15-S1-commons.u19	An advance.
ParlaMint-GR_2021-12-15-S1-commons.u20	EUR 55.5 million was granted to three hundred and eighty-five thousand of one beneficiary. The next dose is on December 30th and I can remind you that this is all an advance. For your days, you did not give an advance, but you did at the end of the period next year. Thank you very much.
ParlaMint-GR_2021-12-15-S1-commons.u21	Here, Mr. Chakiri, you have the floor.
ParlaMint-GR_2021-12-15-S1-commons.u22	Thank you, Mr President. Ladies and gentlemen, the state budget for the financial year 2022 is being discussed here today in plenary session of the Greek Parliament, a budget which is being discussed in the wake of a global health, economic and social crisis, which, like her, has to live all of mankind since the last World War, and we all wish that it will be the last time that the budget is being discussed under such circumstances. Uncertainty, however, has begun to give the dogma to optimism, since we have a super gun in our patron, this kind of vaccination. And while we see exit from the pandemic, other parameters - such as energy costs - are trying, without being very successful, to blur this hopeful image, since Greece is at a better level than the other European countries. Ladies and gentlemen, the 2022 budget is being tabled much more favourable than last year's budget. Despite the difficulties, 2021 has been a year of unprecedented recovery and recovery of the economy at spectacular growth rates. In this debate, we are called on to vote on a budget which marks not only the next day of a huge health crisis that we have experienced for two consecutive years, but which will record the transition of the economy from the strong 2021 recovery that passes, to the highest and sustainable growth in 2022, through a more extroverted, competitive, innovative, fair, smart, green and digital production model. Our country in 2022 can also have a strong and stable economy, leading at European but also global level. As the Minister of Finance said - and I repeat just his words, because they are important - "This year's budget creates a sense of realistic optimism for the prospects of the Greek economy, and this is because it records the positive performance of the Greek economy, confirming the effectiveness of our policy, highlights the country's important development potential, responds with adequacy to the new challenges and incorporates policies that combine economic efficiency with social justice". In the Ministry of Development and Investment - and as far as my powers are concerned - we have managed to approve our country first of all from all the other European countries for the new Regional Development Partnership, the new ESDP, for the 2021-2027 programming period, which also marks the beginning of the implementation of an ambitious regional development strategy, as you can see. The new ESDP has five main pillars: innovative and smart economic transformation, energy transition, green and blue investment, transport infrastructure, human resources and spatial investment, as well as two specific objectives that are a fair transition, demining, as well as technical assistance. However, the bet for our country is not only to be able to absorb European funds - one of which we have proved that we can achieve it, since a few days ago, and after hard work, our country first went across the European Union to absorb the existing NSRF at a rate close to 80% - but our bet now is to make proper use of it, in line with the needs created during the pandemic. Let me remind you that in the past European Union funds for combined transport, port infrastructure, have been poorly exploited, contrary to other countries, which today support their further development on the basis set at the time, highlighting and competitive advantages. The efficient use of the co-financed resources of the ESRB was one of the main public funding instruments of the Greek economy throughout the past year and the pandemic. In the conditions of the unprecedented crisis caused by the pandemic, we responded with a serious strategy and planning to the dual objective that was entrusted to us, namely, the rational use of the resources of the NRP and their effective use in tackling the effects of the pandemic on the economy. We have worked with coordinated moves, which were aimed at improving the institutional framework of the co-financed programmes, simplifying the procedures for the inclusion and monitoring of investments, continuing to monitor progress at project level through specific action plans, mobilising and energising co-ordinated ministries and regions, the smooth financing of projects through the Public Investment Programme, which has been overtaken over the past two years, and the targeted revision of the operational programmes of the ESDP last June and November. The high rates of absorption have also been reflected in increased requests for payment to the European Commission. A total of EUR 12.8 billion has been requested so far and has been invaded by state funds. More of these, together with national funding, have been to the market, obviously. But also flagship projects of over EUR 200 million were integrated in 2021 and show the development, upgrading and the social face of our country and I could mention a number of things. In conclusion, I would like to say that a significant contribution in 2021 - which will continue to exist through European programmes and in 2022 - is the strengthening and access to financing for small and medium-sized enterprises through financial instruments and, for example, the fact that, in the middle of a pandemic with the financial instruments only in 2021, the Guarantee Fund and the TFSF gave more than EUR 3 billion to more than thirty thousand companies. Ladies and gentlemen, I call on you all to vote in favour of the 2022 budget, which, in my opinion, lays the foundations for our country's return to normality, while relaunching the economy with stronger and more stable prospects. Thank you very much.
ParlaMint-GR_2021-12-15-S1-commons.u23	Good.
ParlaMint-GR_2021-12-15-S1-commons.u24	Mr President, can I just ask the Minister one question?
ParlaMint-GR_2021-12-15-S1-commons.u25	No, Mr. Femmelle. If Parliamentary representatives start asking many questions to the ministers on Friday, 50 Members will not speak.
ParlaMint-GR_2021-12-15-S1-commons.u26	I would only like the floor for 20 seconds.
ParlaMint-GR_2021-12-15-S1-commons.u27	Here, please.
ParlaMint-GR_2021-12-15-S1-commons.u28	Thank you, Mr President. Mr. Secretary, since you're here, and there's beside you and the Minister of Finance, there's a question all over the market, construction and small and medium-sized enterprises. There is a delay in payments of at least 1 billion to the NSRP, which has to do with all the small and medium-sized ones who have actually joined into legislation on pandemic measures, but also with all construction projects, very long delays, which have deprived the market in the face of Christmas. At least, the rumours say that this comes because there is a lack of payments from the Ministry of Finance. However, the point is that whoever is responsible has raised a big issue today: are the problems in terms of the implementation of the ESDP serious? That's our question.
ParlaMint-GR_2021-12-15-S1-commons.u29	Mr. Tsakiris, you have the floor to answer.
ParlaMint-GR_2021-12-15-S1-commons.u30	Thank you for the question. First of all, I would also read that there has been one billion lost from the NSRP. There's not a 1 billion missing from the NRP, obviously. As you know, we have very accelerated the execution of the ESDP and, therefore, payments. Especially with the pandemic, I should like to tell you that we have had five hundred thousand integrations of small and medium-sized enterprises and various other actions, which must go into a difficult payment mechanism so far - which we have simplified too much - and these people are paid as the actions go on. We have reduced the payment time of the ESRB in two to three months, unlike previous periods, which took over twelve months. Nevertheless, the system is overloaded, payments are made at a very fast pace, but the demand that exists cannot be met by this mechanism. I say it publicly. It's only a matter of days that some people have been paid, not paid yet. There's no payment stop. There is a huge demand for payments and a mechanism, which is simplified, even though we have built it well, cannot respond because of the great demands. I repeat that the payment times of the ESRB - you know very well how difficult it is - have fallen by far. So everyone's gonna be paid very soon.
ParlaMint-GR_2021-12-15-S1-commons.u31	Mr Ioannis Andrianos, Member of the New Republic of the Argolidos, has the floor.
