Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2013-03-25-LEG17-Senato-sed-4	ParlaMint-IT_2013-03-25-LEG17-Senato-sed-4.ana.u1	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 4, Day (2013-03-25)	2013-03-25	Upper house	17 Legislatura	-	-	4 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	-	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2013-03-25-LEG17-Senato-sed-4	ParlaMint-IT_2013-03-25-LEG17-Senato-sed-4.ana.u12	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 4, Day (2013-03-25)	2013-03-25	Upper house	17 Legislatura	-	-	4 Seduta	-	Reference	English	Regular	MP	notMinister	SCpI	Scelta Civica per l'Italia	-	Centre	MauroMario	Mauro, Mario	M	1961	
ParlaMint-IT-en_2013-03-25-LEG17-Senato-sed-4	ParlaMint-IT_2013-03-25-LEG17-Senato-sed-4.ana.u13	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 4, Day (2013-03-25)	2013-03-25	Upper house	17 Legislatura	-	-	4 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	-	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2013-03-25-LEG17-Senato-sed-4	ParlaMint-IT_2013-03-25-LEG17-Senato-sed-4.ana.u14	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 4, Day (2013-03-25)	2013-03-25	Upper house	17 Legislatura	-	-	4 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.1	Movimento 5 Stelle	-	Big tent	CrimiVitoClaudio	Crimi, Vito Claudio	M	1972	
ParlaMint-IT-en_2013-03-25-LEG17-Senato-sed-4	ParlaMint-IT_2013-03-25-LEG17-Senato-sed-4.ana.u15	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 4, Day (2013-03-25)	2013-03-25	Upper house	17 Legislatura	-	-	4 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	-	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2013-03-25-LEG17-Senato-sed-4	ParlaMint-IT_2013-03-25-LEG17-Senato-sed-4.ana.u16	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 4, Day (2013-03-25)	2013-03-25	Upper house	17 Legislatura	-	-	4 Seduta	-	Reference	English	Regular	MP	notMinister	PdL	Il Popolo della Libertà	-	Centre-right	BonfriscoAnnaCinzia	Bonfrisco, Anna Cinzia	F	1962	
ParlaMint-IT-en_2013-03-25-LEG17-Senato-sed-4	ParlaMint-IT_2013-03-25-LEG17-Senato-sed-4.ana.u17	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 4, Day (2013-03-25)	2013-03-25	Upper house	17 Legislatura	-	-	4 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	-	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2013-03-25-LEG17-Senato-sed-4	ParlaMint-IT_2013-03-25-LEG17-Senato-sed-4.ana.u18	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 4, Day (2013-03-25)	2013-03-25	Upper house	17 Legislatura	-	-	4 Seduta	-	Reference	English	Regular	MP	notMinister	PD	Partito Democratico	-	Centre-left	ToniniGiorgio	Tonini, Giorgio	M	1959	
ParlaMint-IT-en_2013-03-25-LEG17-Senato-sed-4	ParlaMint-IT_2013-03-25-LEG17-Senato-sed-4.ana.u19	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 4, Day (2013-03-25)	2013-03-25	Upper house	17 Legislatura	-	-	4 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	-	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2013-03-25-LEG17-Senato-sed-4	ParlaMint-IT_2013-03-25-LEG17-Senato-sed-4.ana.u20	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 4, Day (2013-03-25)	2013-03-25	Upper house	17 Legislatura	-	-	4 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	-	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2013-03-25-LEG17-Senato-sed-4	ParlaMint-IT_2013-03-25-LEG17-Senato-sed-4.ana.u21	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 4, Day (2013-03-25)	2013-03-25	Upper house	17 Legislatura	-	-	4 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	-	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2013-03-25-LEG17-Senato-sed-4	ParlaMint-IT_2013-03-25-LEG17-Senato-sed-4.ana.u22	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 4, Day (2013-03-25)	2013-03-25	Upper house	17 Legislatura	-	-	4 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	-	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2013-03-25-LEG17-Senato-sed-4	ParlaMint-IT_2013-03-25-LEG17-Senato-sed-4.ana.u23	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 4, Day (2013-03-25)	2013-03-25	Upper house	17 Legislatura	-	-	4 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	-	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
