ParlaMint-IS_2016-09-28-159.u1	There's gonna be time for a meeting at the same time. 12,30-115 today.
ParlaMint-IS_2016-09-28-159.u12	A respectable president. There's been a lot of talk about health care for these elections, and that's fine, because few lawsuits are as important as health issues. No one can claim anything other than that the government today has the priorities for health care. Now everybody's talking about the importance of it, but there's been no need for people to be willing to support the government in setting priorities, because if priorities are set in health, that means that other areas need to be pinched. There's a sound that doesn't fit. ... anticoagulation. This morning, we received another report on health care. We've received a report from McKinsey, which is very good. It shows that, despite the increase in health care, there has been a decrease in efficiency in the land hospital, something that we need to consider in particular. This morning we were at a meeting for a report made available on health issues by the Economic Area of the Business Association. It is a very clear report that I encourage everyone to study. It shows that we have increased much in health matters, but on top of this, age - adjusted donations are of the highest level that occurs within OECD, and there is something that we need to take into account. Similarly, paying parts relative to other nations of OECD are found to be very low as a proportion of GDP. We're on a couple there in the North countries, of course, we have a lower payment party than at least two of the northern countries. Another factor that comes out also because men talk about the North countries is that we cut ourselves off compared with the North countries when it comes to health care. What's your special situation? We have almost exclusively a government system while the North countries have more and less in the hands of a private member. [[The president calls.]] I think it's important, more dignified, that we discuss these matters from fact rather than wishful thinking.
ParlaMint-IS_2016-09-28-159.u13	V.E.G. President. Hv. paritaprevir The Helgi of Hrafn Gunnarsson began an interesting discussion earlier, which included... on election participation and general interest in politics and elections. We have seen that in recent years and decades, there has been a decrease in the trend in neighboring countries. For a long time, the situation in this country was that we did not seem to be on the same route as the neighboring nations in this regard. Thus, in general there has been a much larger vote than that in most controlled countries, where it is not mandatory to apply the voting rights, as some countries do. However, there may be certain signs of danger. The results of 2014 rural elections showed a significantly lower rate of attendance than we have seen before. This was different from what happened during the 2013 elections and, in fact, 2009, when the vote was great. But we saw a certain fall at the district convention in 2014. This may be an indication of some development that we need to take to heart. In the short frame of time, I believe that our role is primarily to encourage people to take advantage of the voting rights, to encourage participation. In the long run, no doubt we need to consider larger changes. But I'm not entirely sure that more elections or increased demand for the nation to walk to the top of the others, and these matters are the way to deal with this. [[The president calls.]] The danger, of course, is that the more people are called at the board, the less interested they will be in the long term.
ParlaMint-IS_2016-09-28-159.u14	A respectable president. I wanted to come up and discuss only the issues we have at the council that came unexpectedly from the highest level. Industrial Minister on generators to Back where the highest power is. Minister wants to set up laws that take away the National Protection and cryopreserve the current process, but the Commission of Environment and Resources is going to review charges from Land Protection on Exploitation Directives in these areas. Now it is so, and we've gone over it here, that the thing is urgent about financial interests and all that, there's no need for me to go over it all again. However, it is fairly arbitrary to intervene in legal processes that are very successful in enforcing laws that take away the protested society's rights, such as Land Protection. There's a lot of concern that going that way. Also, as it has now been found that we do not have to wait long for the Commission's decision on environmental and resource matters. It is estimated that the decision will be made in 10,◯14. October. Well, then you have to ask yourself, "Am I the highest? Ministers have a problem with how that decision sounds if they are afraid to wait for him. A professional health committee is going to settle the issue today and make sure that we do not wait for that decision. [[The president calls.]]
ParlaMint-IS_2016-09-28-159.u15	A respectable president. It's a little strange to stand here and vote on where this case should go, whether it should go to the right. The financier or the Economic and Business Committee, because Congress laws say in Article 13. the role of the budget board is, but it is, by permission of the President: The board is about the government's financial resources, financial resources, government property, loans, and government responsibilities and the financial debt of state funds. Here we are dealing with a bill to legalize the law on the Penitentiary of the State's Pension Fund. Therefore, I feel that this vote is unnecessary, but I suggest that this case be referred to at the highest level. The financial and economic minister did in the discussion, ending it at home. Is that short? Is it true here, here, here with Congress?
ParlaMint-IS_2016-09-28-159.u16	Mr. President. In Congress, the same as 13th. Article 9 of the Council of Economic and Business Affairs reports that the Economic and Business Committee is to be discussed on pensions. Of course, the committee has been discussing the work of pension funds and has recently completed the investments of pension funds. In view of this, I would have viewed the part of the matter that we now, the system change itself, should be at home. The Economic and Business Committee. Of course, in terms of the pension commitments displayed in the budget bill, they belong to a financial committee. I think it is only natural for the General to describe this will in the light of the contemporaneous opinion of the matter.
ParlaMint-IS_2016-09-28-159.u17	A respectable president. For decades, the development of contaminated industry has been leading in Iceland. It has been estimated that large factories that use extraordinary electricity to produce aluminium and then silicas are good for Icelandic society. No doubt this is how it was in 1970 that building a powerful electronic system for the whole country and doing so in connection with selling heavy electricity for a major industry was a major factor. That's what few share. However, today, in 2016, the tourist industry is the most reliant industry, and 80% of foreign tourists are coming to the country to beat the uninhabited vastness of the country, where human hands have not yet left their mark. This is so desirable, because there are few places in the world that still have these vast places, and we have to fit. At that time, the climate issues are so urgent that the next ten years are crucial to this, and there we need to change the course. It should be clear to everyone. We in Iceland will experience the effects of climate change very quickly, for the rising temperature and acidification of the sea will have tremendous economic and social effects here. It has been consistently held, including of the highest order. Minister, the industry is the most important carrion in society's construction. To save the inhabited earth, the solution is to build a large industry. For the sake of business, big business is built. However, it has often been so much that we have had to move into the country hundreds of workers, for a foreign labor force has not been enough. But how much does this policy cost us? The industry is given a discount of taxes and fees for state and community. She'll pay, for example. Not a full insurance bill like any other company. This is short - lived, so we do not lose money. Rather, we are developing incentives for anticipated income and activities, that we are not paying anything for the big business. Nothing is far from true. It is true that the industry does not pay, but everyone else does, the public with its tax money, the general company, who, of course, have to pay off all their taxes and expenses. It's not here in a void where nothing costs. She uses the electricity required to activate, she uses line tunes, she uses the roads, she uses social security funds, etc. She uses this infrastructure, but she doesn't suggest the same thing to them as the rest of the community. I'm curious about the hundreds of billions of dollars that have taken up direct expenses from the government over the years for heavy industry, not in the form of taxes, but in direct expenses. Roads have been constructed, electric lines built by dams, along with tunnels, constructed by harbor fortresses, and this is how I can proceed, all in the name of a major industry. We can stop at the activation costs only. At the expense of construction, the cost of megawatts can be estimated to be 300 million dollars. This will only take into account the cost of activation. That means 300 megawatts are costing over $100 billion. And what's on the drawing table? Thorsil takes 78 megawatts, Silicor of the Grunartan 80 megawatt. This has been discussed with commercialism factories, 350 megawatts, caves in Helgavik, 625 megawatts. That's how we could keep going. As a result of land induction, such projects are borrowing and there is a financial risk to the taxpayers who are the owners. It would be good if a minister could pull all this cost together, although I know that it is, of course, difficult, and so interesting to hear from him how many dollars have paid in return for these expenses. Some have said, "It's no longer a major policy in Iceland, we're watching from her. " It would be wish it were true. If we look at what has been discussed here at the council, it was seriously discussed for a week when we would take the activation part of a frame plan out of parentheses and let it go alone through the council but let go of the reservation. What for? Yes, because we have factories that don't start, Bounty factories and factories in Helguvík. This is what's controlling another trip in Iceland. This government has a big industrial policy and wants to activate for the industry. If she wants to, I'll finally ask if it's the highest. Ministers want to continue nationalization and put the financial risks of all these activations on the public side of the public. [[The president calls.]]
ParlaMint-IS_2016-09-28-159.u18	Mr. President. It is a joy to discuss a matter as large as this one's schedule. I appreciate the opportunity to do that, but at the same time, it's hard to get over the whole area. There are many things to do in this special discussion about the intention of making a fortune. Hv. An apocalyptic said that in recent years, the structure of contaminated industry was some of the core of our work policy for Icelanders. I don't think it's quite true, however, when we disappeared from being simply a fisherman community, a people who built their livelihood on getting valuables in the ocean, and began to activate, and it set off an aluminium that was built in Straumsvík. This gave us more support for the economy. I don't think there's any questions about how the standard of living in Iceland has improved greatly as we have used sustainable energy in our country. We are the people of the world who, for example, are the people of the world. for homes, the highest percentage of sustainable energy for energy sources, both electricity and heat. It is important to remember that the development of industrial companies in Iceland has helped to build up the electricity system, which benefits from the small industry, agriculture, all over the country. There are only three or four companies in Iceland who buy 3/4 of the power in the electricity system - 3/4 of the whole power - so it's the right choice to negotiate with as large an enterprise as their energy spending has had a considerable impact. I believe that the benefits of the country's standard of living, for our economy, have been very different to the economy. By doing so, we have received additional support, and the indirect effect was tremendously positive. Without this structure, we could not have seen settlements flourish, industry, electricity spread across the country in the way it has been. I want to agree with what. A senator when it comes to looking up a new job structure, a creative article. She specifically mentioned the tourism services, but it is all the other thing that we need to focus on in increasing numbers, articles that do not have this natural limitation of energy for growth, but can grow in foreign soil, e.g. ... usingtechnology. We'll see a lot of companies crash from Iceland in that field. I mention the software companies that need to include. A strong and steady economic environment. In that sense, I completely agree. A senator, the way forward is not to multiplies in Iceland. I can't picture things like that. that countries will grow in Iceland in the future. I can't see it. I can see, however, that smaller industrial companies can crash here, and we can get more diversity in the company of the electronic companies. I allow me to point this out because the question is, has all of this brought back to me, has we taken on more commitment than can be justified in terms of the risk, that it is to consider that Landing is just over 40% at this time, own money is more than 200 billion, property beyond the debt of more than 200 billion? After just two or three years, land - healing will pay 15, 20, even 25 billion each year to the State's profit - 1,25 billion each year. In recent years, land activation has carried on tremendous projects, but at the same time, it has paid up to 80 billion dollars of debt. The company is enormously powerful, and because of the future we can see, I have talked about creating a stable fund in the country and reinvesting the use of energy resources into the stability fund and having it as a kind of a caution fund for us to balance the balance between economic trends we may have to live with. I don't think that we're supposed to get the possession of land reactivations to private people, including the U.S. In view of this, although I've suggested in years the idea that we could share our possession with pension funds, that idea has not been well established. [[The president calls.]] I don't think we should be rocking the boat anything about the possession of that company.
ParlaMint-IS_2016-09-28-159.u19	Mr. President. The old deal with the big business is not to be followed. A recent example in the discussion is the company of Alcoa, whose investment agreement will always avoid the law on the ban on the use of so - called financial gain. It just means one thing, the company's interest is and they'll be deported, and no tax paid by them to Icelandic society. Such contracts that carry the money of our resources out of the country must never be made again. The nations of the world are now competing to attract foreign companies, and they use their tax systems to do so. This need to be avoided because while other companies work alongside those who have to pay their dues and taxes, and we, the people of the country, will be made up of important money that should be used in the health or school. Under the right categories here, random special contracts were made with large companies that were not open to others on the land. However, it was under the leading cohesion of the conjugal woman, and entourage of Katrín's Júlíusdóttir, the then industrial minister, that changes and general rules of investment agreements were adopted. Now every company located outside the capital area has the right to the same appeal investment agreements for an investment of a specific size. General rules replace the decisions made by politicians that take note of how the wind blows. We want to get some foreign investments into Iceland, and hopefully we'll see a more diverse business in the near future that creates good and well - paying jobs, but such investments are supposed to be in agreement with people and the environment and are to be used to build a powerful welfare and employment life in this country.
ParlaMint-IS_2016-09-28-159.u20	V.E.G. President. Thank you. paritaprevir This big industry discussion was Ólafsdóttir's heart. When we talk about major activities, we need to put these things into some sort of temporal link between social change, employment and environment changes, but this is a work with secondary work and the services associated with it is a major source of global rewards and is important work in sectoral and markets. We are competing to reach this country with multinational conglomerates in this area, and then energy is a precious competitive element, as well as the crucialness of government treaties. Of course, this is and will be at some extent around and nature's expense, and the cost of a sacrifice in the form of an alternative choice for innovation, as well as the balance we try and want to use and protect and use. This is energy - building development, and consideration must be given to funding energy production on the production sector and the impact on the economy, the economic management in an effort to have equal increase in valuables, economic growths based on production growth, thereby maintaining stability and thereby promoting real and improved quality of living. Indeed, there is much positive about industry, and such activities have been used in recent years to produce lower energy prices to the public. We come out best in comparison with the Northern countries, and a small pay on electricity to Icelandic households, taking into account the distribution costs and tax returns far lower than the power of Europe's control countries. The preeminents of the cost of the efficient fortress are the reason and benefitable development of energy systems. It has been faster and more efficient because of a major industry that has thus laid the basis for a lower price for consumers and an increase in prosperity. [[The president calls.]] I agree with what. Specialist and the highest. Ministers for sacrificial gains are today larger in terms of tourism and climate.
ParlaMint-IS_2016-09-28-159.u21	Mr. President. We in the left movement ◯ Green supply is supported by the general will for an enterprise in the country, legislation on generalism. However, the trade policy of these government groups over the years has primarily been aimed at industrial development. It has been the great solution, the old - fashioned solution that has been gone. We left greens don't think that we should be looking for activation projects to produce large amounts of electricity. Today, more than 80% of the nation's electricity generation is going to become a major industry. For example, in the South, with most of the energy produced, only about 4% remain in that region. I think we're about to start looking much more... in order that our Grand Creator of Iceland... is the human labor of the people who live here. We're supposed to look at the job structure in small and medium-sized enterprises and to ensure that it is, for example, the electronic security of all citizens of the country. can provide three-phase electricity across the country where people are starting a business. We have many things here that we should look to other than industry. It has also been observed that the industry leaves only part of its profits in the country. Of course, this is totally unacceptable and must be avoided because of the fact that there is a thin self - interest here. Me and the Icelanders - we were laughing at our left when we talked about wanting something other than a industry, what it was, a mountain grass? But what else is this today? Is it not a travel service that is becoming one of the nation's largest occupations? This government has done nothing to face the tremendous increase in the number of tourists and its infrastructure. [[The president calls.]]
ParlaMint-IS_2016-09-28-159.u22	A respectable president. This is one of the conversations I would like to have longer, as is true of a number of special discussions in case of that. I can agree with things as high as possible. The Secretary of Economics said and welcomed the final words in particular. When authorities decide to use some sort of appeal, whether by law or by tax appeal or by any means like it, they are somehow directing the market. You can't always be completely against it or by it. It's not that simple. Admittedly, there may be good reason for doing so. It affects other markets too. When authorities decide that electricity should be used primarily for a particular type of industry, it also affects the possibility that other persons will have to use the same electricity for other trades. It's a control. The course that was here for a long time, away from the way people look at it today, was to take advantage of it in a major industry. Today, it is the tourism industry that thrives, which should not have surprised anyone, especially not according to the presentation of some political parties that have been here for a long time. However, there is also another industry that cannot necessarily predict the need or at least not able to thrive better with cheap electricity. Having cheap electricity is precious. It offers new industry to try new solutions, especially when it comes to energy exchange solutions can be a key factor in its success. It is important, then, that the authorities have not been trying to direct their efforts on certain industrial branches, which they merely arranged to see how they would work a decade or two or three in the future. The markets also need to be allowed to make use of technology and development that cheap electricity can produce and, in fact, only cheap electricity can provide. That means there is plenty of electricity, which means that it has not been spent in the industry that is in advance required of the majority of energy that we can offer and can sell in advance of certain uses. [[The president calls.]]
ParlaMint-IS_2016-09-28-159.u23	A respectable president. I think it's a very important discussion. Underground is one of the major issues of this nation, the big industrial policy and the conflict of industrialism. I think it's a big step in the whole matter of hearing the highest. Secretary of the budget says there will be no more members. I think it's important to hear that. To me, it has been quite obvious that it was the right thing to say. Energy simply does not exist. Besides, it's a very hard job policy. What a thrill it is to hear, too, the emphasis as high as possible! Ministers will create innovation, ingenuity, creative articles, tourism. That's a new tone. There are a lot of people in this room and out in society who have fought that tone to be the dominant part of the nation's employment policy instead of the big industry. What was the "Crumb's " language about? I think that's the biggest big issue of industrialism ever. They were completely divided. That was what was called the largest project in Iceland. Unmanageable nature was destroyed. Nature, then, is now totally acknowledged to bring us great benefits and much currency and is sought for. This was destroyed and not even paid for money at the time. It was taken to a major indiscriminate for one company that takes all this energy. This was questioned in a very interesting way that would ever be profitable because energy prices were so low. Since then, it has taken years to try to unwind. It has been found that the company does not even pay the taxes it should pay in Iceland. This outstanding example, and it has evidently taken a little time for many in the Polish, of course, is now, when history gives light to this, a remarkable testimony that the big business is completely absurd. [[The president calls.]] [[The president calls.]] [[The president calls.]] We are to focus on travel services, creative articles, and all the things that we stressed in the budget of 2012. [[The president calls.]]
ParlaMint-IS_2016-09-28-159.u24	A respectable president. Hv. paritaprevir Ólafsdóttir spoke of the cost of construction. The rest of us talk mostly about investments, profitables, as set out at the highest level. The minister of finance went over here on land reactivation earlier. There are a number of tourists who come here to examine nature, but there are just as many tourists that go to our use of sustainable energy resources, our fortresses, and go up to the highlands. This has led us to the lowest electrical price paid in all the countries in which we compare ourselves. Thus, the nation has gained indirect benefits from the course being run here. It is vital for us if we are to attract and strengthen foreign investment and domestic land. There we are competing with other nations, and we do not offer the best opportunities offered internationally, that is clear. We're talking government policy. During this election period, actually last spring, the employment committee of the Parliamentary Parliamenture proposal for new investments in Icelandic commercial life was taken care of. These issues are discussed in detail, how we see the development of employment in the coming years and decades. In this regard, we look forward to the end of a great deal of activity in the sense that it has been so far. We look at the construction of energy-rich industrial or energy industry requiring 10 to 50 megawatts across the scattered areas and highlighting the infrastructure of the electrical distribution network necessary for all regions to live on the same occasion in those substances. In fact, under this council resolution, the policy of the government, the policy of the Independence Party, the representatives of all classes except the bright future. A bright future brought wealth to these subjects, but we signed it, representing the Independence Party, the forwarding party, and the left green. At some point, it would have been heard to learn that we are getting along on how we see an Icelandic job life build up in energy - related industry over the years and decades. [[The president calls.]] [[The president calls.]] But a bright future did not end.
ParlaMint-IS_2016-09-28-159.u25	V.E.G. President. This will be discussed in a special discussion of agreements, and it will be replaced by: industry. I'd like to say in my own small part that it's indiscriminate agreements and bills and laws that we've decided about them are necessary. Other nations have such laws. It's actually a fight for the companies. But what's a big business? Is the big work for 600 people? Yes, perhaps. Is Bakkakur from Húsavík, with 93 employees, as the precise Germans said would be working there? No, hardly. It's just like a nice frozen-house. Keep in mind that we are in international contracts, international environments, where we need to be involved in competition. Therefore, indiscriminate agreements are essential. Of course, we need to act wisely. I agree with that, and I've previously said in the General's deliveries: there will be no more studios in Iceland. We've had enough. We shouldn't have all the eggs in the same basket. It should also be welcomed and mentioned that land induction, this magnificently large and big business that all of us can be proud of, has our own money of $40 billion. In addition, every day we Icelanders earn money from this company in the low energy expenditures in Iceland that are not known in our neighboring countries. Let's keep that in mind. However, there is probably a big difference between the electricity contract made at the Stramswoven plant just after the powder disappeared from 1960 or between 1960 and 1970 and the electricity agreements made today. The situation is different. It is my opinion that land induction could be our interest in trying to get the highest price of the energy in contracts, whether small or medium-sized enterprises that knock on our door. [[The president calls.]] A respectable president. Everyone else enjoys it. The industry, tourism, or fishing, or other people. Everyone enjoys what's been there.
